ギルドリーヴ 	 Levemete
オーラムヴェイル 	 The Aurum Vale
七谺 	 Hall of the Seven Echoes
秘石の塔 	 Monument Tower
ハルオーネの射目 	 The Fury's Gaze
聖ダナフェンの旅程 	 Daniffen Pass
ゼーメル要塞 	 Dzemael Darkhold
大審門 	 Gates of Judgement
ストーンヴィジル 	 Stone Vigil
ホワイトブリム前哨地 	 Whitebrim Front
ベヒーモスの縄張り 	 Behemoth's Dominion
スノークローク大氷壁 	 Snowcloak
剣ヶ峰 	 The Nail
雲廊 	 Steps of Faith
雲海 	 Sea of Clouds
白狼門（中央森林西方面） 	 White Wolf Gate (Central Shroud)
迷霧湿原 	 Fogfens
銀泪湖北岸 	 North Silvertear
レヴナンツトール 	 Revenant's Toll
崩壊したキャンプ 	 Camp Revenant's Toll
タングル湿林 	 The Tangle
早霜峠 	 Rathefrost
カストルム・セントリ 	 Castrum Centri
聖コイナク財団の調査地 	 Saint Coinach's Find
唄う裂谷 	 Singing Shards
黙約の塔 	 The Keeper of the Lake
エバーシェイド
[長老の木] 	 Everschade
(The Guardian Tree)
クリスタルタワー 	 Crystal Tower
銀泪湖 	 Silvertear Falls
ブレイブハート号 	 The Braveheart
対戦受付 	 Entry Counter
船着場：ウルヴズジェイル 	 Wolves' Den Docks
ミスト・ヴィレッジ 	 Mist
ラベンダーベッド 	 The Lavender Beds
ゴブレットビュート 	 The Goblet
閲兵場 	 Parade Ground
ヴィア・プラエトリア 	 Via Praetoria
魔導城プラエトリウム 	 The Praetorium
廃棄物処分場 	 Waste Disposal
ヴィア・プリンシパリス 	 Via Principalis
第V閉鎖区 	 Area V
中央交差路 	 Central Crossing
魔列車停留場 	 Phantom Train Depot
アーマメンタリウム 	 Armamentarium
飛空艇発着場 	 Dreadnaught Landing
青燐水汲上場 	 Ceruleum Pumps
ダンスタン監視哨 	 Dunstan's Spire
魔導城プラエトリウム 	 The Praetorium
最上層 	 Sky Level
管理層 	 Castrum Control
防御層 	 Castrum Defense
主要層 	 Main Level
基部層 	 Ground Level
工房層 	 Research Level
飛空艇プラットフォーム 	 Airship Platform
対空防御区 	 Anti-aircraft Station
魔導アーマー駐機庫 	 Magitek Armor Bay
外縁通路 	 Outer Walk
軍団長室 	 Command Chamber
基部中枢区 	 Central Hall
斜行リフト 	 The Echelon
スカエウァ研究室 	 Laboratorium Primum
魔導工房区 	 Magitek Research
工房リフト 	 Magitek Lift
ポルタ・デクマーナ 	 Porta Decumana
魔導兵器認証室 	 Armor Recognition Chamber
ハウリングアイ外縁 	 The Howling Eye
船着場：モラビー造船廠 	 Moraby Drydocks Landing
船着場：幻影諸島 	 Isles of Umbra Docks
ロータノ海 	 Rhotano Sea
ラグナロク級拘束艦 	 The Ragnarok
メテオ探査坑浅部 	 Upper Aetheroacoustic Exploratory Site
メテオ探査坑深部 	 Lower Aetheroacoustic Exploratory Site
ラグナロク級拘束艦 	 The Ragnarok
稼働隔壁 	 Ragnarok Drive Cylinder
中枢区画 	 Ragnarok Central Core
第一艦橋 	 Ragnarok Main Bridge
案内人：ナルの祠 	 Labyrinth Guide (to the Minotaur Malm)
案内人：ミノタウロスマルム 	 Labyrinth Guide (to Nald's Reflection)
砂の家 	 The Waking Sands
案内人：白狼門 	 White Wolf Gate Guard
軍団兵員区 	 Training Area
船着場：鏡池桟橋 	 Mirror Planks Docks
船着場：ラベンダーベッド 	 Lavender Beds Docks
ポルタ・デクマーナ 	 Porta Decumana
古代の民の迷宮 	 Labyrinth of the Ancients
古代の民の迷宮階層1 	 Lower Labyrinth
古代の民の迷宮階層2 	 Upper Labyrinth
石の家 	 The Rising Stones
灰の陣営 	 Ring of Ash
カッパーベル銅山 (Hard) 	 Copperbell Mines (Hard)
ハウケタ御用邸 (Hard) 	 Haukke Manor (Hard)
下層1 	 First Lower Ring
下層2 	 Second Lower Ring
下層3 	 Third Lower Ring
中層1 	 First Central Ring
中層2 	 Second Central Ring
中層3 	 Third Central Ring
上層 	 Upper Ring
山スポット25 	 山スポット25
シルクスの塔 	 Syrcus Tower
サスタシャ浸食洞 (Hard) 	 Sastasha (Hard)
ワンダラーパレス (Hard) 	 The Wanderer's Palace (Hard)
シールロック 	 Seal Rock
アバラシア 	 Abalathia's Spine
ドラヴァニア 	 Dravania
シリウス大灯台 (Hard) 	 Pharos Sirius (Hard)
リムサ・ロミンサ市街 	 Limsa Lominsa
ウルヴズジェイル 	 ウルヴズジェイル
ラノシア 	 La Noscea
ゴールドソーサー 	 ゴールドソーサー
ウルダハ市街 	 Ul'dah
ザナラーン 	 Thanalan
グリダニア市街 	 Gridania
黒衣森 	 The Black Shroud
クルザス 	 Coerthas
モードゥナ 	 Mor Dhona
アバラシア 	 Abalathia's Spine
ドラヴァニア 	 Dravania
イシュガルド市街 	 Ishgard
クガネ市街 	 Kugane
ギラバニア 	 Gyr Abania
オサード 	 Othard
クリスタリウム市街 	 The Crystarium
ユールモア市街 	 Eulmore
ノルヴラント 	 Norvrandt
懺悔の回廊 	 The Way of Penance
寛容の回廊 	 The Torn's Rest
愚者の広間 	 The Fool's Rest
裸者の広間 	 Confession Chamber
審問の間 	 The Way of Forgiveness
断罪の間 	 Interrogation Chamber
贖罪の回廊 	 The Way of Redemption
告解の間 	 Execution Chamber
出入口 	 Exit
潮騒のオシュフォーンの独房 	 Ser Aucheforne of the High Tide's Cell
鈍物ベルガンドの独房 	 Bergand the Broken's Cell
十本指のタタビの独房 	 Tatabi Tenfingers' Cell
沼人ユーキルの独房 	 Joukil Halfmoor's Cell
レディ・ダーランドルの独房 	 Lady Cliaie d'Arlendre's Cell
出入口 	 Exit
若木の祭壇 	 Greenwood Altar
名も無き墓 	 Unmarked Tomb
絶対王ガルヴァンスの墓 	 Tomb of King Galvanth the Dominator
イニク家の墓 	 The Ak–Inik Tomb
大木の祭壇 	 Hardwood Altar
メナ家の墓 	 The Ak–Mena Tomb
古木の祭壇 	 Wormwood Altar
石橋 	 Stone Bridge
幽寂の円環 	 Eternal Calm
壺室 	 Interring Chamber
カーラインカフェ 	 Carline Canopy
冒険者ギルド 	 Adventurers' Guild
カーラインカフェ
[冒険者ギルド] 	 Carline Canopy
(Adventurers' Guild)
旅館「とまり木」 	 The Roost
グリダニア・ランディング 	 Airship Landing
ミスタル連橋 	 Mistalle Bridges
水車四辻 	 The Knot
青狢門 	 Blue Badger Gate
古樫の高堂 	 The Oak Atrium
木工師ギルド 	 Carpenters' Guild
古樫の高堂
[木工師ギルド] 	 The Oak Atrium
(Carpenters' Guild)
フィガガ大水車 	 Figaga's Gift
どんぐり遊園 	 Acorn Orchard
ベルラン連橋 	 Berlends Bridges
白狼門 	 White Wolf Gate
朱獺門 	 Red Otter Gate
神勇隊司令砦 	 Quiver's Hold
弓術士ギルド 	 Archers' Guild
神勇隊司令砦
[弓術士ギルド] 	 Quiver's Hold
(Archers' Guild)
黒檀商店街 	 Ebony Stalls
紫檀商店街 	 Rosewood Stalls
木陰の東屋 	 Shaded Bower
アトリエ「フェン・イル」 	 Atelier Fen–Yll
革細工師ギルド 	 Leatherworkers' Guild
工芸「フェン・イル」 	 Fen–Yll Fineries
鬼哭隊屯所 	 Wailing Barracks
槍術士ギルド 	 Lancers' Guild
鬼哭隊屯所
[槍術士ギルド] 	 Wailing Barracks
(Lancers' Guild)
武具屋「セントールアイ」 	 The Centaur's Eye
玄猪門 	 Black Boar Gate
アプカル滝 	 Apkallu Falls
碩老樹瞑想窟 	 Stillglade Fane
幻術士ギルド 	 Conjurers' Guild
碩老樹瞑想窟
[幻術士ギルド] 	 Stillglade Fane
(Conjurers' Guild)
豊穣神祭壇 	 Nophica's Altar
ミィ・ケット野外音楽堂 	 Mih Khetto's Amphitheatre
グレートローム農場 	 Greatloam Growery
園芸師ギルド 	 Botanists' Guild
グレートローム農場
[園芸師ギルド] 	 Greatloam Growery
(Botanists' Guild)
口笛粉屋 	 The Whistling Miller
紅茶川 	 Black Tea Brook
囁きの渓谷 	 Whispering Gorge
翡翠湖 	 Jadeite Flood
ハートストリーム 	 Heartstream
ムントゥイ醸造庫 	 The Mun–Tuy Cellars
エーテライト・プラザ 	 Gridania Aetheryte Plaza
双蛇党：統合司令部 	 Adders' Nest
東桟橋
黒衣森：東部森林 	 Westshore Pier
East Shroud
チョコボ留 	 Chocobokeep
アトリエ「フェン・イル」
[革細工師ギルド] 	 Atelier Fen-Yll
(Leatherworkers' Guild)
東桟橋 	 Westshore Pier
先には進めないようだ 	 You cannot proceed any further.
青狢門（中央森林東方面） 	 Blue Badger Gate (Central Shroud)
黄蛇門（北部森林方面） 	 Yellow Serpent Gate (North Shroud)
1F 	 Ground Floor
2F 	 Second Floor
B1F 	 Cellarage
エントランス 	 Foyer
食料庫 	 Spence
紅薔薇の間 	 Red Hall
倉庫 	 Storeroom
音楽室 	 Clarichord Chamber
書庫 	 Library
白百合の間 	 White Hall
黄撫子の間 	 Yellow Hall
ワイン藏 	 Bottlery
被疑者の間 	 Accusation Chamber
拷問の間 	 Abacination Chamber
ナル大門 	 Gate of Nald
不滅隊：作戦本部 	 Hall of Flames
クイックサンド 	 The Quicksand
クイックサンド
[冒険者ギルド] 	 The Quicksand
(Adventurers' Guild)
宿屋「砂時計亭」 	 The Hourglass
プラチナミラージュ 	 Platinum Mirage
格闘士ギルド 	 Pugilists' Guild
プラチナミラージュ
[格闘士ギルド] 	 Platinum Mirage
(Pugilists' Guild)
エメラルドアベニュー 	 Emerald Avenue
コロセウム 	 The Coliseum
剣術士ギルド 	 Gladiators' Guild
コロセウム
[剣術士ギルド] 	 The Coliseum
(Gladiators' Guild)
武具店「ルディウス」 	 The Rudius
ナナモ新門 	 Gate of the Sultana
アルダネス聖櫃堂 	 Arrzaneth Ossuary
エラリグ墓地 	 Erralig's Burial Chamber
呪術士ギルド 	 Thaumaturges' Guild
アルダネス聖櫃堂
[呪術士ギルド] 	 Arrzaneth Ossuary
(Thaumaturges' Guild)
宝飾店「エシュテム」 	 Eshtaime's Aesthetics
エシュテム直営工房 	 Eshtaime's Lapidaries
彫金師ギルド 	 Goldsmiths' Guild
エシュテム直営工房
[彫金師ギルド] 	 Eshtaime's Lapidaries
(Goldsmiths' Guild)
アマジナ鉱山社 	 Amajina & Sons Mineral Concern
採掘師ギルド 	 Miners' Guild
アマジナ鉱山社
[採掘師ギルド] 	 Amajina & Sons Mineral Concern
(Miners' Guild)
オニキスレーン 	 Onyx Lane
ゴールドコート 	 The Gold Court
ルビーロード国際市場 	 Ruby Road Exchange
ウェルヘッドリフト 	 Wellhead Lift
織物「サンシルク」 	 Sunsilk Tapestries
裁縫師ギルド 	 Weavers' Guild
織物「サンシルク」
[裁縫師ギルド] 	 Sunsilk Tapestries
(Weavers' Guild)
ザル大門 	 Gate of Thal
サファイアアベニュー国際市場 	 Sapphire Avenue Exchange
パールレーン 	 Pearl Lane
ミルバネス礼拝堂 	 Milvaneth Sacrarium
フロンデール薬学院 	 Frondale's Phrontistery
錬金術師ギルド 	 Alchemists' Guild
フロンデール薬学院
[錬金術師ギルド] 	 Frondale's Phrontistery
(Alchemists' Guild)
フロンデール歩廊 	 Scholars' Walk
ロイヤル・プロムナード 	 Royal Promenade
ウルダハ・ランディング 	 Airship Landing
宿り木の扉 	 Ivy Door
浸食洞 	 Sastasha Seagrot
霧髭のアジト 	 Dead Man's Drink
霧髭入江 	 Mistbeard Cove
浸食洞 	 Sastasha Seagrot
叫びの池 	 Wauling Pond
行き止り 	 Empty Room
クァールのねぐら 	 The Cattery
第一舷梯門 	 The First Rambade
漕ぎ手室 	 Rowers' Quarters
出入口 	 Exit
航海士室 	 Navigator's Quarters
甲板員室 	 Deckhands' Quarters
船長室 	 Captain's Quarters
懲罰房 	 The Hole
第二舷梯門 	 The Second Rambade
海人門 	 Waverider Gate
隠れ桟橋 	 The Sultana's Lap
Ａ１坑道 	 Shaft A1
Ｂ１坑道 	 Shaft B1
Ｂ４坑道 	 Shaft B4
再開発区Ｅ１坑道 	 Shaft E1
再開発区Ｅ２坑道 	 Shaft E2
人喰いの淵 	 Maneater Rip
喚きの立坑 	 The Screaming Dark
嘆きの立坑 	 The Crying Dark
巌窟王の玉座 	 The Cold Throne
未開の茂み 	 Thicktwine
ブレイフロクスの避難地 	 Brayflox's Runstop
泥濘の水源地 	 Mudstop Watergush
ブレイフロクスの野営地 	 Brayflox's Longstop
ブレイフロクスの監視小屋 	 Brayflox's Watchbox
避難地の前庭 	 Runstop Frontblock
避難地の裏庭 	 Runstop Backblock
野営地の前庭 	 Longstop Frontblock
竜のねぐら 	 Dragonsleep
野営地の内門 	 Longstop Gutgate
拳闘の間 	 Hall of the Cesti
剣闘の間 	 Hall of the Secutores
獣闘の間 	 Hall of the Bestiarii
フロンデール薬学院小児病棟 	 Frondale's Home for Friendless Foundlings
政庁層 	 Hustings Strip
上甲板層 	 Upper Decks
下甲板層 	 Lower Decks
アスタリシア号 	 The Astalicia
コーラルタワー
[斧術士ギルド] 	 Coral Tower
(Marauders' Guild)
コーラルタワー 	 Coral Tower
銃術士ギルド 	 Musketeers' Guild
メルヴァン税関公社 	 Mealvaan's Gate
メルヴァン税関公社
