呪術士ギルドのヤヤケは冒険者に頼みごとがあるようだ。			呪術士ギルドのヤヤケは冒険者に頼みごとがあるようだ。			声を聞きし者							
ナルザル様の名を出したからには、看過できません。それに、貴方という冒険者の存在についてだけは、真実となりました。			ナルザル様の名を出したからには、看過できません。それに、貴方という冒険者の存在についてだけは、真実となりました。			声を聞きし者							
……もう、おわかりですね？			……もう、おわかりですね？			声を聞きし者							
東ザナラーンの「ハイブリッジ」へ向かいなさい。異界と現世を繋ぐ空間の裂け目、「ヴォイドクラック」から現れる妖異を倒し、その血を大地に刻むのです。			東ザナラーンの「ハイブリッジ」へ向かいなさい。異界と現世を繋ぐ空間の裂け目、「ヴォイドクラック」から現れる妖異を倒し、その血を大地に刻むのです。			声を聞きし者							
ククルカの言葉によれば、そのようにすることで「シャトトの魔石」が手に入るとのこと。			ククルカの言葉によれば、そのようにすることで「シャトトの魔石」が手に入るとのこと。			声を聞きし者							
「シャトトの魔石」とは、古い寓話に度々描かれる宝石。そもそも、存在するかどうかさえ、怪しい石なのですが……。			「シャトトの魔石」とは、古い寓話に度々描かれる宝石。そもそも、存在するかどうかさえ、怪しい石なのですが……。			声を聞きし者							
真相がどうあれ、務めを果たしたなら、この「アルダネス聖櫃堂」へ、まっすぐお戻りなさい。よろしいですね？			真相がどうあれ、務めを果たしたなら、この「アルダネス聖櫃堂」へ、まっすぐお戻りなさい。よろしいですね？			声を聞きし者							
(-？？？？-)……冒険者よ……。			(-？？？？-)……冒険者よ……。			声を聞きし者							
吾輩は、誇り高きアマルジャ族の術士「カザグ・チャー」。言語を解するならば、其の武器、収めよ。吾輩、汝に危害を加える所存は無し。			吾輩は、誇り高きアマルジャ族の術士「カザグ・チャー」。言語を解するならば、其の武器、収めよ。吾輩、汝に危害を加える所存は無し。			声を聞きし者							
……委細承知。其が、同志ククルカの告げし預言の者か。			……委細承知。其が、同志ククルカの告げし預言の者か。			声を聞きし者							
今しがた、此の地に流るる「地脈」に、妖異の生き血を捧げし者がおる。……其は、汝に相違あるまい？			今しがた、此の地に流るる「地脈」に、妖異の生き血を捧げし者がおる。……其は、汝に相違あるまい？			声を聞きし者							
預言か導きか、それは術士に問うがよい。吾輩は務めを成すのみ、汝に「シャトトの魔石」を与えん。			預言か導きか、それは術士に問うがよい。吾輩は務めを成すのみ、汝に「シャトトの魔石」を与えん。			声を聞きし者							
そして、其の石の力が如何なるものや。それは、汝自身に問うがよい……思索生知。			そして、其の石の力が如何なるものや。それは、汝自身に問うがよい……思索生知。			声を聞きし者							
おかえりなさい、Forename Surname。魔物を倒してきたようですね。それで、「シャトトの魔石」は手に入ったのですか？			おかえりなさい、Forename Surname。魔物を倒してきたようですね。それで、「シャトトの魔石」は手に入ったのですか？			声を聞きし者							
むむ……確かにこれは……寓話や古の魔道書に記される、「シャトトの魔石」の記述と一致します。			むむ……確かにこれは……寓話や古の魔道書に記される、「シャトトの魔石」の記述と一致します。			声を聞きし者							
それに、このほとばしる魔力……。これはいったい……？			それに、このほとばしる魔力……。これはいったい……？			声を聞きし者							
架空の存在とはいえ、「シャトトの魔石」はナルザル神の恩寵を受けし術士が持つとされるもの。			架空の存在とはいえ、「シャトトの魔石」はナルザル神の恩寵を受けし術士が持つとされるもの。			声を聞きし者							
……偶然にしては、できすぎています。この件について、詳しく調べる必要がございましょう。			……偶然にしては、できすぎています。この件について、詳しく調べる必要がございましょう。			声を聞きし者							
Forename Surname。無論、貴方も無関係ではございませんよ？			Forename Surname。無論、貴方も無関係ではございませんよ？			声を聞きし者							
ククルカが、獄中にいながらにして、外の者に指示を出したという可能性もあります。そう、貴方のような冒険者を使って……。			ククルカが、獄中にいながらにして、外の者に指示を出したという可能性もあります。そう、貴方のような冒険者を使って……。			声を聞きし者							
ただちに、緊急の会合を開きます。導師を招集しますので、ここでお待ちなさい。			ただちに、緊急の会合を開きます。導師を招集しますので、ここでお待ちなさい。			声を聞きし者							
(-？？？？-)それには及ばん。			(-？？？？-)それには及ばん。			声を聞きし者							
大罪人ククルカ・タタルカ……！なぜここに！　釈放の許しがおりるはずが……！			大罪人ククルカ・タタルカ……！なぜここに！　釈放の許しがおりるはずが……！			声を聞きし者							
無礼者！　大魔道士ククルカ様と呼べ！100年の瞑想を経て、ナルザル神の御言葉を授かりし御方であるぞ！			無礼者！　大魔道士ククルカ様と呼べ！100年の瞑想を経て、ナルザル神の御言葉を授かりし御方であるぞ！			声を聞きし者							
……そなたらと違い、聞き分けがよい看守だった……と、答えればよいか？			……そなたらと違い、聞き分けがよい看守だった……と、答えればよいか？			声を聞きし者							
言ったはずだ……我が聞いたは、ナルザル神のお告げ。神の御言葉を疑おうとは、さて、どちらが罪人であろうな？			言ったはずだ……我が聞いたは、ナルザル神のお告げ。神の御言葉を疑おうとは、さて、どちらが罪人であろうな？			声を聞きし者							
詭弁を……。お気をつけなさい、貴方の口は災禍の源となりましょう。			詭弁を……。お気をつけなさい、貴方の口は災禍の源となりましょう。			声を聞きし者							
……災いをもたらすは、我が口にあらず。			……災いをもたらすは、我が口にあらず。			声を聞きし者							
神ナルザルは、我に告げた。間もなく「ヴォイドゲート」の封印がほどかれる、と……。			神ナルザルは、我に告げた。間もなく「ヴォイドゲート」の封印がほどかれる、と……。			声を聞きし者							
「ヴォイドゲート」開かれしとき、大気は邪気に満ち、古の妖異が蘇らん……。これを閉ざすは「シャトトの魔石」を授かりし者……。			「ヴォイドゲート」開かれしとき、大気は邪気に満ち、古の妖異が蘇らん……。これを閉ざすは「シャトトの魔石」を授かりし者……。			声を聞きし者							
預言に示されし冒険者……Forename Surname、そなたである。			預言に示されし冒険者……Forename Surname、そなたである。			声を聞きし者							
その「シャトトの魔石」……「黒魔道士の証」を携え、「ヴォイドゲート」を閉ざすための「カギ」を集める旅に出るのだ。			その「シャトトの魔石」……「黒魔道士の証」を携え、「ヴォイドゲート」を閉ざすための「カギ」を集める旅に出るのだ。			声を聞きし者							
お待ちなさい！そのような勝手が許されると……。			お待ちなさい！そのような勝手が許されると……。			声を聞きし者							
黙れ、小娘。貴様の耳は、飾り物か？			黙れ、小娘。貴様の耳は、飾り物か？			声を聞きし者							
導師を名乗るならば、知らぬとは言わせん。ナルにもザルにもあらぬ異界、妖異のはびこる「ヴォイド」の存在を。			導師を名乗るならば、知らぬとは言わせん。ナルにもザルにもあらぬ異界、妖異のはびこる「ヴォイド」の存在を。			声を聞きし者							
「ヴォイド」の力が強まり、その干渉に「界」を隔てる壁が耐えきれなくなったとき、空間の裂け目が広がり、「ヴォイドゲート」が開かれる。			「ヴォイド」の力が強まり、その干渉に「界」を隔てる壁が耐えきれなくなったとき、空間の裂け目が広がり、「ヴォイドゲート」が開かれる。			声を聞きし者							
これを閉ざすことができるのは、古の破壊の力「黒魔法」をもって他にない。			これを閉ざすことができるのは、古の破壊の力「黒魔法」をもって他にない。			声を聞きし者							
「黒魔法」……！			「黒魔法」……！			声を聞きし者							
Forename Surname。その「シャトトの魔石」は、黒魔法を操る術士の証。破壊の力を導く者として、「黒魔道士」を名乗るがよい。			Forename Surname。その「シャトトの魔石」は、黒魔法を操る術士の証。破壊の力を導く者として、「黒魔道士」を名乗るがよい。			声を聞きし者							
ヴォイドゲートを閉ざす、ひとつめのカギは、既にその身に宿る……。			ヴォイドゲートを閉ざす、ひとつめのカギは、既にその身に宿る……。			声を聞きし者							
そのカギ……「黒魔法」が、そなたの身に馴染むまで、いましばらくの時間を要するであろう。			そのカギ……「黒魔法」が、そなたの身に馴染むまで、いましばらくの時間を要するであろう。			声を聞きし者							
この後のことは、「ミルバネス礼拝堂」にて、我が使い「ラライ」より話を聞くがよい……。			この後のことは、「ミルバネス礼拝堂」にて、我が使い「ラライ」より話を聞くがよい……。			声を聞きし者							
「破壊の力」を恐れるでない。そなたなら、その力を従え、必ずや使命を果たすことができるであろう……。			「破壊の力」を恐れるでない。そなたなら、その力を従え、必ずや使命を果たすことができるであろう……。			声を聞きし者							
ククルカ様は、礼拝堂の奥にて瞑想を続けています。しばらく黒魔道士の経験を積んでから、ここを訪れなさい。私が師に代わりて、あなたの務めをお伝えしましょう。			ククルカ様は、礼拝堂の奥にて瞑想を続けています。しばらく黒魔道士の経験を積んでから、ここを訪れなさい。私が師に代わりて、あなたの務めをお伝えしましょう。			声を聞きし者							
「黒魔道士」のジョブクエストが開始されました。次のクエストは「黒魔道士レベル35」以上で受注可能になります。			「黒魔道士」のジョブクエストが開始されました。次のクエストは「黒魔道士レベル35」以上で受注可能になります。			声を聞きし者							
敵の気配を感じた！！			敵の気配を感じた！！			声を聞きし者							
新しいジョブを修得しました！受け取ったソウルクリスタルを装備することで、ジョブチェンジができます。			新しいジョブを修得しました！受け取ったソウルクリスタルを装備することで、ジョブチェンジができます。			声を聞きし者							
ジョブチェンジしたあとには、「ギアセット」を登録してみましょう！現在の装備が記録され、即座に着替えられるようになります。			ジョブチェンジしたあとには、「ギアセット」を登録してみましょう！現在の装備が記録され、即座に着替えられるようになります。			声を聞きし者							
「ギアセット」の登録は、装備変更と同じ「マイキャラクター」の画面から行えます。			「ギアセット」の登録は、装備変更と同じ「マイキャラクター」の画面から行えます。			声を聞きし者							
ミルバネス礼拝堂のラライは冒険者に連絡があるようだ。			ミルバネス礼拝堂のラライは冒険者に連絡があるようだ。			時を告げし血							
ラライから依頼を受けた。南ザナラーンのサゴリー砂漠の南東にある「ヴォイドクラック」を調べ、現れた妖異を討伐し、「妖異の鮮血」を入手しよう。			ラライから依頼を受けた。南ザナラーンのサゴリー砂漠の南東にある「ヴォイドクラック」を調べ、現れた妖異を討伐し、「妖異の鮮血」を入手しよう。			時を告げし血							
妖異の鮮血を入手した。南ザナラーンのサゴリー砂漠の南東にある「ヴォイドクラック」に「妖異の鮮血」を刻もう。			妖異の鮮血を入手した。南ザナラーンのサゴリー砂漠の南東にある「ヴォイドクラック」に「妖異の鮮血」を刻もう。			時を告げし血							
ヴォイドクラックに妖異の鮮血を刻んだ。ウルダハのミルバネス礼拝堂にいる「ラライ」に報告しよう。			ヴォイドクラックに妖異の鮮血を刻んだ。ウルダハのミルバネス礼拝堂にいる「ラライ」に報告しよう。			時を告げし血							
ラライに報告した。冒険者の身に宿った黒魔法が馴染むまでしばらくかかるので、しばらく鍛錬を積んでから自分のところを訪れるよう、ラライは語った。※黒魔道士のレベルが40以上になると、ラライから次の黒魔道士クエストを受注することができます。			ラライに報告した。冒険者の身に宿った黒魔法が馴染むまでしばらくかかるので、しばらく鍛錬を積んでから自分のところを訪れるよう、ラライは語った。※黒魔道士のレベルが40以上になると、ラライから次の黒魔道士クエストを受注することができます。			時を告げし血							
サゴリー砂漠のヴォイドクラックを調べ妖異を討伐し、妖異の鮮血を入手			サゴリー砂漠のヴォイドクラックを調べ妖異を討伐し、妖異の鮮血を入手			時を告げし血							
ヴォイドクラックに妖異の鮮血を刻む			ヴォイドクラックに妖異の鮮血を刻む			時を告げし血							
ミルバネス礼拝堂のラライに報告			ミルバネス礼拝堂のラライに報告			時を告げし血							
黒魔道士Forename Surname。よくぞ参られました。			黒魔道士Forename Surname。よくぞ参られました。			時を告げし血							
得体の知れぬ力の目覚めに、恐れをなして逃げ出すかと思いましたが……。なかなかどうして、神経が図太いご様子。			得体の知れぬ力の目覚めに、恐れをなして逃げ出すかと思いましたが……。なかなかどうして、神経が図太いご様子。			時を告げし血							
「ヴォイドゲート」を閉ざすがため、新たなカギを手に入れる旅の支度が、整ったようですね。……では、ククルカ様からのお言葉をお伝えしましょう。			「ヴォイドゲート」を閉ざすがため、新たなカギを手に入れる旅の支度が、整ったようですね。……では、ククルカ様からのお言葉をお伝えしましょう。			時を告げし血							
……。			……。			時を告げし血							
「ヴォイドゲート」を閉ざすための……新たなカギ……次なる「黒魔法」を会得せよ……。			「ヴォイドゲート」を閉ざすための……新たなカギ……次なる「黒魔法」を会得せよ……。			時を告げし血							
南ザナラーン「サゴリー砂漠」の南東にて……「ヴォイドクラック」から現れた妖異を倒し、大地にその血を刻みこめ……。			南ザナラーン「サゴリー砂漠」の南東にて……「ヴォイドクラック」から現れた妖異を倒し、大地にその血を刻みこめ……。			時を告げし血							
その血は、大地を脈々と流れるエーテルを伝い……荒野にて待つ、いまだ見ぬ友に「時」を告げるだろう……。			その血は、大地を脈々と流れるエーテルを伝い……荒野にて待つ、いまだ見ぬ友に「時」を告げるだろう……。			時を告げし血							
務めを果たしたとき、「黒魔道士の証」に光が満ちる。破壊を知りて、正しきを導く光……「ヴォイドゲート」を閉ざすカギが、そなたに刻まれよう。			務めを果たしたとき、「黒魔道士の証」に光が満ちる。破壊を知りて、正しきを導く光……「ヴォイドゲート」を閉ざすカギが、そなたに刻まれよう。			時を告げし血							
……以上です。あなたの務め、理解いたしましたか？			……以上です。あなたの務め、理解いたしましたか？			時を告げし血							
よくぞ務めを果たされました。ですが、目覚めた黒魔法がその身に馴染むまで、いましばらくの時間を要するはず。			よくぞ務めを果たされました。ですが、目覚めた黒魔法がその身に馴染むまで、いましばらくの時間を要するはず。			時を告げし血							
しばし鍛錬を積み、また私を訪れなされよ。そのときまで、さらばでございます、黒魔道士Forename Surname……。			しばし鍛錬を積み、また私を訪れなされよ。そのときまで、さらばでございます、黒魔道士Forename Surname……。			時を告げし血							
黒魔道士のレベルが40以上になると、ラライから次の黒魔道士クエストを受注することができます。			黒魔道士のレベルが40以上になると、ラライから次の黒魔道士クエストを受注することができます。			時を告げし血							
敵の気配を感じた！！			敵の気配を感じた！！			時を告げし血							
ミルバネス礼拝堂のラライは冒険者に連絡があるようだ。			ミルバネス礼拝堂のラライは冒険者に連絡があるようだ。			異郷なる友							
ラライから依頼を受けた。東ザナラーンのバーガンディ滝にいる「カザグ・チャー」と話そう。			ラライから依頼を受けた。東ザナラーンのバーガンディ滝にいる「カザグ・チャー」と話そう。			異郷なる友							
カザグ・チャーと話した。西ザナラーンの物言わぬ王にいる「ドゾル・メロック」と話そう。			カザグ・チャーと話した。西ザナラーンの物言わぬ王にいる「ドゾル・メロック」と話そう。			異郷なる友							
ドゾル・メロックと話した。西ザナラーンの物言わぬ王にある「ヴォイドクラック」を調べ妖異を討伐し、「妖異の鮮血」を入手しよう。			ドゾル・メロックと話した。西ザナラーンの物言わぬ王にある「ヴォイドクラック」を調べ妖異を討伐し、「妖異の鮮血」を入手しよう。			異郷なる友							
妖異の鮮血を入手した。西ザナラーンの物言わぬ王にある「ヴォイドクラック」に「妖異の鮮血」を刻もう。			妖異の鮮血を入手した。西ザナラーンの物言わぬ王にある「ヴォイドクラック」に「妖異の鮮血」を刻もう。			異郷なる友							
ヴォイドクラックに妖異の鮮血を刻んだ。西ザナラーンの物言わぬ王にいる「ドゾル・メロック」と話そう。			ヴォイドクラックに妖異の鮮血を刻んだ。西ザナラーンの物言わぬ王にいる「ドゾル・メロック」と話そう。			異郷なる友							
ドゾル・メロックと話した。西ザナラーンの物言わぬ王にいる「メンディカント269 ダ・ザ」と話そう。			ドゾル・メロックと話した。西ザナラーンの物言わぬ王にいる「メンディカント269 ダ・ザ」と話そう。			異郷なる友							
メンディカント269 ダ・ザと話した。西ザナラーンの物言わぬ王にある「ヴォイドクラック」を調べ現れた妖異を討伐し、「妖異の鮮血」を入手しよう。			メンディカント269 ダ・ザと話した。西ザナラーンの物言わぬ王にある「ヴォイドクラック」を調べ現れた妖異を討伐し、「妖異の鮮血」を入手しよう。			異郷なる友							
妖異の鮮血を入手した。西ザナラーンの物言わぬ王にある「ヴォイドクラック」に「妖異の鮮血」を刻もう。			妖異の鮮血を入手した。西ザナラーンの物言わぬ王にある「ヴォイドクラック」に「妖異の鮮血」を刻もう。			異郷なる友							
ヴォイドクラックに妖異の鮮血を刻んだ。西ザナラーンの物言わぬ王にいる「メンディカント269 ダ・ザ」と話そう。			ヴォイドクラックに妖異の鮮血を刻んだ。西ザナラーンの物言わぬ王にいる「メンディカント269 ダ・ザ」と話そう。			異郷なる友							
メンディカント269 ダ・ザと話した。西ザナラーンの物言わぬ王にいる「カザグ・チャー」と話そう。			メンディカント269 ダ・ザと話した。西ザナラーンの物言わぬ王にいる「カザグ・チャー」と話そう。			異郷なる友							
カザグ・チャーと話した。東ザナラーンのバーガンディ滝にいる「カザグ・チャー」に報告しよう。			カザグ・チャーと話した。東ザナラーンのバーガンディ滝にいる「カザグ・チャー」に報告しよう。			異郷なる友							
カザグ･チャーに報告した。冒険者の実力と覚悟を見届けたカザグ・チャーは、一族に語り継がれてきた予言を果たすため、冒険者の使命に全面的な協力を約束した。※黒魔道士のレベルが45以上になると、カザグ・チャーから次の黒魔道士クエストを受注することができます。			カザグ･チャーに報告した。冒険者の実力と覚悟を見届けたカザグ・チャーは、一族に語り継がれてきた予言を果たすため、冒険者の使命に全面的な協力を約束した。※黒魔道士のレベルが45以上になると、カザグ・チャーから次の黒魔道士クエストを受注することができます。			異郷なる友							
バーガンディ滝のカザグ・チャーと話す			バーガンディ滝のカザグ・チャーと話す			異郷なる友							
物言わぬ王のドゾル・メロックと話す			物言わぬ王のドゾル・メロックと話す			異郷なる友							
ヴォイドクラックを調べ妖異を討伐し、妖異の鮮血を入手			ヴォイドクラックを調べ妖異を討伐し、妖異の鮮血を入手			異郷なる友							
ヴォイドクラックに妖異の鮮血を刻む			ヴォイドクラックに妖異の鮮血を刻む			異郷なる友							
ドゾル・メロックと話す			ドゾル・メロックと話す			異郷なる友							
メンディカント269 ダ・ザと話す			メンディカント269 ダ・ザと話す			異郷なる友							
ヴォイドクラックを調べ妖異を討伐し、妖異の鮮血を入手			ヴォイドクラックを調べ妖異を討伐し、妖異の鮮血を入手			異郷なる友							
ヴォイドクラックに妖異の鮮血を刻む			ヴォイドクラックに妖異の鮮血を刻む			異郷なる友							
メンディカント269 ダ・ザと話す			メンディカント269 ダ・ザと話す			異郷なる友							
カザグ・チャーと話す			カザグ・チャーと話す			異郷なる友							
バーガンディ滝のカザグ・チャーに報告			バーガンディ滝のカザグ・チャーに報告			異郷なる友							
黒魔道士Forename Surname。二度の務めを果たし、「黒魔道士」に課せられた重き使命に相応しき面構えになってきましたね。			黒魔道士Forename Surname。二度の務めを果たし、「黒魔道士」に課せられた重き使命に相応しき面構えになってきましたね。			異郷なる友							
「黒魔道士」という存在を知る者は魔法を修める者の間でも、そう多くはいません。伝承上の存在として、僅かに文献が残されている程度。			「黒魔道士」という存在を知る者は魔法を修める者の間でも、そう多くはいません。伝承上の存在として、僅かに文献が残されている程度。			異郷なる友							
けれど、礼拝堂の書庫に眠る禁書の端々には、複雑な暗号で隠された「黒魔法」に関する秘密が記されていたのです。			けれど、礼拝堂の書庫に眠る禁書の端々には、複雑な暗号で隠された「黒魔法」に関する秘密が記されていたのです。			異郷なる友							
100年前に、それを読み解いた者こそ、我が師ククルカ様。元来、「黒魔道士」とは、ナルザル神のお告げを授かり、「ヴォイドゲート」を閉ざす使命を帯びた者なのだとか。			100年前に、それを読み解いた者こそ、我が師ククルカ様。元来、「黒魔道士」とは、ナルザル神のお告げを授かり、「ヴォイドゲート」を閉ざす使命を帯びた者なのだとか。			異郷なる友							
けれど……ご存知のとおり「黒魔法」は強大な破壊の力。力というものは使い道を誤れば、途方もない悲劇を生み出しましょう。			けれど……ご存知のとおり「黒魔法」は強大な破壊の力。力というものは使い道を誤れば、途方もない悲劇を生み出しましょう。			異郷なる友							
エオルゼアから「黒魔道士」が消えたのも、きっと……。我が師はただひと言、「過ちを繰り返してはならぬ」とおっしゃっていましたが……。			エオルゼアから「黒魔道士」が消えたのも、きっと……。我が師はただひと言、「過ちを繰り返してはならぬ」とおっしゃっていましたが……。			異郷なる友							
黒魔道士Forename Surnameよ。ククルカ様より、次なるお言葉をいただいております。強大な破壊の力を使う者として、心してお聞きなさい。			黒魔道士Forename Surnameよ。ククルカ様より、次なるお言葉をいただいております。強大な破壊の力を使う者として、心してお聞きなさい。			異郷なる友							
……。			……。			異郷なる友							
そなたが大地に捧げた血に応えるべく、3種族の民が、このザナラーンの大地に参じた……。			そなたが大地に捧げた血に応えるべく、3種族の民が、このザナラーンの大地に参じた……。			異郷なる友							
彼らは、古に途絶えた「黒魔法」の在処を継ぐ者……そなたの持つ黒魔道士の証「シャトトの魔石」に、新たなる輝きを与えん……。			彼らは、古に途絶えた「黒魔法」の在処を継ぐ者……そなたの持つ黒魔道士の証「シャトトの魔石」に、新たなる輝きを与えん……。			異郷なる友							
力を導く者たる証を示せ……さすれば、異郷なる民、そなたを支える友とならん。			力を導く者たる証を示せ……さすれば、異郷なる民、そなたを支える友とならん。			異郷なる友							
東ザナラーンの「バーガンディ滝」にて待つ、アマルジャ族「カザグ・チャー」を訪ねるのだ……。			東ザナラーンの「バーガンディ滝」にて待つ、アマルジャ族「カザグ・チャー」を訪ねるのだ……。			異郷なる友							
……以上です。アマルジャ族といえば、我らウルダハの仇敵。きっと、何か深い理由があってのことでしょう……。			……以上です。アマルジャ族といえば、我らウルダハの仇敵。きっと、何か深い理由があってのことでしょう……。			異郷なる友							
黒魔道士Forename Surname。お行きなさい、「ヴォイドゲート」を閉ざす使命のために。			黒魔道士Forename Surname。お行きなさい、「ヴォイドゲート」を閉ざす使命のために。			異郷なる友							
一別以来。術士ククルカに導かれし[Race]よ。			一別以来。術士ククルカに導かれし[Race]よ。			異郷なる友							
かねて、汝に託した「シャトトの魔石」。吾輩と汝を重ねて巡り合わせた。大願成就よ。いざ時機到来……汝、其の尊き名を聞かせよ。			かねて、汝に託した「シャトトの魔石」。吾輩と汝を重ねて巡り合わせた。大願成就よ。いざ時機到来……汝、其の尊き名を聞かせよ。			異郷なる友							
Forename Surname。吾輩は、アマルジャの術士「カザグ・チャー」。曽祖父より受け継がれし命に従い、この地に馳せ参じた。			Forename Surname。吾輩は、アマルジャの術士「カザグ・チャー」。曽祖父より受け継がれし命に従い、この地に馳せ参じた。			異郷なる友							
遠路遥々、恐悦至極。ウルダハの者に出会えば狙われる身上ゆえ、このような場所に、身を隠す羽目と相成っている。			遠路遥々、恐悦至極。ウルダハの者に出会えば狙われる身上ゆえ、このような場所に、身を隠す羽目と相成っている。			異郷なる友							
へぇえッェ、アンタがッァ……まぁまぁ悪くねェなッァ！お手並み拝見させてもらうぜッェ！			へぇえッェ、アンタがッァ……まぁまぁ悪くねェなッァ！お手並み拝見させてもらうぜッェ！			異郷なる友							
アマルジャ族　カザグ・チャー見たー目　こわーい。けど　やさーしい。なかよーく　しよーねー？			アマルジャ族　カザグ・チャー見たー目　こわーい。けど　やさーしい。なかよーく　しよーねー？			異郷なる友							
このふたりは、イクサル族の「ドゾル・メロック」とコボルド族の「メンディカント269 ダ・ザ」。吾輩と同じ使命を、一家眷族より継ぎし者たちなり。			このふたりは、イクサル族の「ドゾル・メロック」とコボルド族の「メンディカント269 ダ・ザ」。吾輩と同じ使命を、一家眷族より継ぎし者たちなり。			異郷なる友							
歪み極まりし地脈に血を捧げし者へ「シャトトの魔石」を授け、目覚めの試練を課すべし。其の者に、一家眷族に継がれし知を託す事が、吾輩の務め。			歪み極まりし地脈に血を捧げし者へ「シャトトの魔石」を授け、目覚めの試練を課すべし。其の者に、一家眷族に継がれし知を託す事が、吾輩の務め。			異郷なる友							
汝、背負いし使命を果たすがために、其の身を捧げる覚悟であろう。			汝、背負いし使命を果たすがために、其の身を捧げる覚悟であろう。			異郷なる友							
西ザナラーンの「物言わぬ王」へ向かうがよい。彼の地の「ヴォイドクラック」より現れる妖異を討ち、その血を大地に刻み込むのだ。			西ザナラーンの「物言わぬ王」へ向かうがよい。彼の地の「ヴォイドクラック」より現れる妖異を討ち、その血を大地に刻み込むのだ。			異郷なる友							
「物言わぬ王」には、吾輩たちも向かう手筈。心配無用、彼の地で落ち合うとしようぞ。まずは、「ドゾル・メロック」と合流せよ。			「物言わぬ王」には、吾輩たちも向かう手筈。心配無用、彼の地で落ち合うとしようぞ。まずは、「ドゾル・メロック」と合流せよ。			異郷なる友							
試練を乗り越えし其の時。「シャトトの魔石」は、新たな輝きに満ちようぞ。			試練を乗り越えし其の時。「シャトトの魔石」は、新たな輝きに満ちようぞ。			異郷なる友							
こいつだッァ……この「ヴォイドクラック」を、アンタの力で閉じてみてくれよッォ！！終わったら、教えてくれよなッァ！！			こいつだッァ……この「ヴォイドクラック」を、アンタの力で閉じてみてくれよッォ！！終わったら、教えてくれよなッァ！！			異郷なる友							
