オールド・シャーレアンの小柄なグリーナーは、冒険者のことを探しているようだ。			オールド・シャーレアンの小柄なグリーナーは、冒険者のことを探しているようだ。			ギルドシップのモブハント（初級）							
まあ、アタシの兄貴なんだけどさ……。いつものとおりなら、知神の港で暇そうにしてるはずだから、「黒髪のルガディン族」を見かけたら、声をかけてみるといい！			まあ、アタシの兄貴なんだけどさ……。いつものとおりなら、知神の港で暇そうにしてるはずだから、「黒髪のルガディン族」を見かけたら、声をかけてみるといい！			シャーレアン初級史学講義							
いつものとおりなら、知神の港で暇そうにしてるはずだから、「黒髪のルガディン族」を見かけたら、声をかけてみるといい！			いつものとおりなら、知神の港で暇そうにしてるはずだから、「黒髪のルガディン族」を見かけたら、声をかけてみるといい！			シャーレアン初級史学講義							
むむ……？吾輩に、何か御用ですかな？			むむ……？吾輩に、何か御用ですかな？			シャーレアン初級史学講義							
妹に紹介された、と……なるほど。たしかに、シャーレアンの歴史を手引きするならば、魔法大学にて史学講師を務める吾輩が適任でありましょうな。			妹に紹介された、と……なるほど。たしかに、シャーレアンの歴史を手引きするならば、魔法大学にて史学講師を務める吾輩が適任でありましょうな。			シャーレアン初級史学講義							
ではさっそく……こちらの望遠鏡をどうぞ。シャーレアンのことを知るなら、何よりもまず、守護神「サリャク」について、解説させていただかねば！			ではさっそく……こちらの望遠鏡をどうぞ。シャーレアンのことを知るなら、何よりもまず、守護神「サリャク」について、解説させていただかねば！			シャーレアン初級史学講義							
知神サリャク像の観察を開始します。気になる部分にズームし、左クリック[???]ボタン/[???]ボタンで確認しましょう！			知神サリャク像の観察を開始します。気になる部分にズームし、左クリック[???]ボタン/[???]ボタンで確認しましょう！			シャーレアン初級史学講義							
初級シャーレアン史講座……お楽しみいただけましたかな？			初級シャーレアン史講座……お楽しみいただけましたかな？			シャーレアン初級史学講義							
では、講座の締めくくりとして、「サリャク像」の足元まで、ご案内いたしましょう。さあ、こちらへ……！			では、講座の締めくくりとして、「サリャク像」の足元まで、ご案内いたしましょう。さあ、こちらへ……！			シャーレアン初級史学講義							
……サリャク像足元にある扉をご覧くだされ。			……サリャク像足元にある扉をご覧くだされ。			シャーレアン初級史学講義							
この扉の先、つまりサリャク像の内部には、「道なき道の間」と呼ばれる部屋がありましてな。			この扉の先、つまりサリャク像の内部には、「道なき道の間」と呼ばれる部屋がありましてな。			シャーレアン初級史学講義							
特定分野の知識を極めたり、その道の発展に貢献した者が、この扉の先に招かれ、「賢人」の称号を授与されるのです。			特定分野の知識を極めたり、その道の発展に貢献した者が、この扉の先に招かれ、「賢人」の称号を授与されるのです。			シャーレアン初級史学講義							
知識を重んじるシャーレアン人にとって、賢人とは崇敬の対象であり、禁書の閲覧許可などの特権を持つ者。彼らが中心となり、この国の歴史は紡がれてきたのです。			知識を重んじるシャーレアン人にとって、賢人とは崇敬の対象であり、禁書の閲覧許可などの特権を持つ者。彼らが中心となり、この国の歴史は紡がれてきたのです。			シャーレアン初級史学講義							
ちなみに賢人位の授与式は、秘儀中の秘儀でしてな。その内容は、吾輩と言えども解説はできぬのです。どうかご容赦を……。			ちなみに賢人位の授与式は、秘儀中の秘儀でしてな。その内容は、吾輩と言えども解説はできぬのです。どうかご容赦を……。			シャーレアン初級史学講義							
講義はここまでとしましょう。少しでも、貴方の好奇心が満たされたのなら良いのですが。では、「バルドスィス」によろしくお伝えくだされ。			講義はここまでとしましょう。少しでも、貴方の好奇心が満たされたのなら良いのですが。では、「バルドスィス」によろしくお伝えくだされ。			シャーレアン初級史学講義							
おっ、帰ってきたね。だいぶ話し込んでたみたいじゃないか。			おっ、帰ってきたね。だいぶ話し込んでたみたいじゃないか。			シャーレアン初級史学講義							
実は兄貴、史学で賢人位を目指してるんだけど……専門知識での貢献が公に認められるには、師匠筋の推薦が必須でさ。国全体がせわしない今、いろいろ滞ってるらしいんだよね。			実は兄貴、史学で賢人位を目指してるんだけど……専門知識での貢献が公に認められるには、師匠筋の推薦が必須でさ。国全体がせわしない今、いろいろ滞ってるらしいんだよね。			シャーレアン初級史学講義							
それで最近、ぼーっと海を眺めることが多くてね。異国の人との会話が、気分転換になればと思って……声をかけさせてもらったわけさ。			それで最近、ぼーっと海を眺めることが多くてね。異国の人との会話が、気分転換になればと思って……声をかけさせてもらったわけさ。			シャーレアン初級史学講義							
利用しちまったみたいで、すまないが、お礼代わりにこいつを贈るから、許しておくれ。……ようこそ、知の都シャーレアンへ！			利用しちまったみたいで、すまないが、お礼代わりにこいつを贈るから、許しておくれ。……ようこそ、知の都シャーレアンへ！			シャーレアン初級史学講義							
特殊ルール： レベルアジャスト黙考のモノペトロスにいる想い人を待つ女性は、人手を必要としているようだ。			特殊ルール： レベルアジャスト黙考のモノペトロスにいる想い人を待つ女性は、人手を必要としているようだ。			待ち人はいずこへ							
ニュンクレフの岩付近で茶髪の男性議員を探す			ニュンクレフの岩付近で茶髪の男性議員を探す			待ち人はいずこへ							
茶髪の男性議員に「つつく」をする			茶髪の男性議員に「つつく」をする			待ち人はいずこへ							
想い人を待つ女性と話す			想い人を待つ女性と話す			待ち人はいずこへ							
はぁ……なんで来てくれないの……。			はぁ……なんで来てくれないの……。			待ち人はいずこへ							
わっ、すみません……独り言、聞かれちゃいましたよね。実は、恋人と待ち合わせをしていたんですが、いつになっても現れなくて……。			わっ、すみません……独り言、聞かれちゃいましたよね。実は、恋人と待ち合わせをしていたんですが、いつになっても現れなくて……。			待ち人はいずこへ							
彼、哲学者議会の議員なんですけど、ここ最近ずっと、働き詰めなんです。それで、たまには休暇をとろうって約束したんですけど……。			彼、哲学者議会の議員なんですけど、ここ最近ずっと、働き詰めなんです。それで、たまには休暇をとろうって約束したんですけど……。			待ち人はいずこへ							
そうだ、もしニュンクレフの岩の辺りに行かれるなら、私の恋人がいないか見てみてくれませんか？			そうだ、もしニュンクレフの岩の辺りに行かれるなら、私の恋人がいないか見てみてくれませんか？			待ち人はいずこへ							
ありがとうございます！彼は、アウラ族の「茶髪の男性議員」ですので、もしもいた場合は、私が待っていたと伝えてください！			ありがとうございます！彼は、アウラ族の「茶髪の男性議員」ですので、もしもいた場合は、私が待っていたと伝えてください！			待ち人はいずこへ							
彼は、アウラ族の「茶髪の男性議員」ですので、もしもいた場合は、私が待っていたと伝えてください！			彼は、アウラ族の「茶髪の男性議員」ですので、もしもいた場合は、私が待っていたと伝えてください！			待ち人はいずこへ							
効率よく……物資を……するには……輸入を活性……ために……グリーナーにさらなる要請を……どうあれ……決して不手際は……急がないと……。			効率よく……物資を……するには……輸入を活性……ために……グリーナーにさらなる要請を……どうあれ……決して不手際は……急がないと……。			待ち人はいずこへ							
茶髪の男性議員は思索に耽っているようだ。「つついて」みたら、こちらに気づくだろうか……？			茶髪の男性議員は思索に耽っているようだ。「つついて」みたら、こちらに気づくだろうか……？			待ち人はいずこへ							
………………。			………………。			待ち人はいずこへ							
茶髪の男性議員は思索に耽っているようだ。「つついて」みたら、こちらに気づくだろうか……？			茶髪の男性議員は思索に耽っているようだ。「つついて」みたら、こちらに気づくだろうか……？			待ち人はいずこへ							
うわっ……！？			うわっ……！？			待ち人はいずこへ							
えっ……彼女が待ってる……？			えっ……彼女が待ってる……？			待ち人はいずこへ							
しまった、仕事の考え事に夢中で、約束の時間を過ぎていることに気づきませんでした。って、言い訳しても仕方ないですよね、早く行かなきゃ……！			しまった、仕事の考え事に夢中で、約束の時間を過ぎていることに気づきませんでした。って、言い訳しても仕方ないですよね、早く行かなきゃ……！			待ち人はいずこへ							
そ、そうだ、お礼をいたしますので、お手数ですが、あなたも彼女のところまでいらしてください。よろしくお願いします！			そ、そうだ、お礼をいたしますので、お手数ですが、あなたも彼女のところまでいらしてください。よろしくお願いします！			待ち人はいずこへ							
ありがとうございます、おかげで恋人に会うことができました。彼なら、議会の仕事で徹夜続きだったみたいなので、ひとまず先に自宅に戻るよう言っておきました。			ありがとうございます、おかげで恋人に会うことができました。彼なら、議会の仕事で徹夜続きだったみたいなので、ひとまず先に自宅に戻るよう言っておきました。			待ち人はいずこへ							
それにしても……やっぱりニュンクレフの岩にいたんですね。あの岩は、シャーレアンの開祖でもある賢者ニュンクレフが、考え事をするときに座っていたという逸話があるんですよ。			それにしても……やっぱりニュンクレフの岩にいたんですね。あの岩は、シャーレアンの開祖でもある賢者ニュンクレフが、考え事をするときに座っていたという逸話があるんですよ。			待ち人はいずこへ							
第六霊災の大洪水の際に、方舟を作って多くの人を救ったニュンクレフは、彼がもっとも尊敬している偉人なんです。			第六霊災の大洪水の際に、方舟を作って多くの人を救ったニュンクレフは、彼がもっとも尊敬している偉人なんです。			待ち人はいずこへ							
だから、時間を忘れているなら、あそこにいるのかなって……。……それじゃ私は、彼の疲れが少しでも癒えるように、温かいお茶でも用意しに戻りますね。			だから、時間を忘れているなら、あそこにいるのかなって……。……それじゃ私は、彼の疲れが少しでも癒えるように、温かいお茶でも用意しに戻りますね。			待ち人はいずこへ							
あっと、そうでした、お礼を渡さないと……。彼から預かっている分も合わせて……これをどうぞ。おかげで助かりました、本当にありがとう。			あっと、そうでした、お礼を渡さないと……。彼から預かっている分も合わせて……これをどうぞ。おかげで助かりました、本当にありがとう。			待ち人はいずこへ							
特殊ルール： レベルアジャスト漂流者の丘のミコッテ族の少女は、何やら困っているようだ。			特殊ルール： レベルアジャスト漂流者の丘のミコッテ族の少女は、何やら困っているようだ。			逃げたカーバンクル							
街の中でカーバンクルのぬいぐるみを探す			街の中でカーバンクルのぬいぐるみを探す			逃げたカーバンクル							
ミコッテ族の少女と話す			ミコッテ族の少女と話す			逃げたカーバンクル							
ね……ねえっ、おねえちゃんおにいちゃん！おねがいがあるんだけど……おはなし、聞いてくれませんか？			ね……ねえっ、おねえちゃんおにいちゃん！おねがいがあるんだけど……おはなし、聞いてくれませんか？			逃げたカーバンクル							
ホント！？じ、じつは……あたしのぬいぐるみが、逃げ出しちゃったんだ。			ホント！？じ、じつは……あたしのぬいぐるみが、逃げ出しちゃったんだ。			逃げたカーバンクル							
何と言う？			何と言う？			逃げたカーバンクル							
ぬいぐるみが？			ぬいぐるみが？			逃げたカーバンクル							
逃げた……？			逃げた……？			逃げたカーバンクル							
うん、あたしがエーテルを込めたら、走り出して……。パパとママにおねがいして買ってもらった、だいじな、ぬいぐるみなのに！			うん、あたしがエーテルを込めたら、走り出して……。パパとママにおねがいして買ってもらった、だいじな、ぬいぐるみなのに！			逃げたカーバンクル							
なくしたって言ったら、ふたりとも、ガッカリしちゃう……。だから、おねがい。さがすの、手伝って……！			なくしたって言ったら、ふたりとも、ガッカリしちゃう……。だから、おねがい。さがすの、手伝って……！			逃げたカーバンクル							
やった！あたしは、あの子がもどってないか、おうちを見てくるから……			やった！あたしは、あの子がもどってないか、おうちを見てくるから……			逃げたカーバンクル							
おねえちゃんおにいちゃんは、あの子がむかった北のほうで、黄色い「カーバンクルのぬいぐるみ」を、さがしてみて！おわったら、ここに集合ね！			おねえちゃんおにいちゃんは、あの子がむかった北のほうで、黄色い「カーバンクルのぬいぐるみ」を、さがしてみて！おわったら、ここに集合ね！			逃げたカーバンクル							
黄色いカーバンクルのぬいぐるみだ。もう動いていないようだが……漂流者の丘に戻り、「ミコッテ族の少女」に届けてあげよう。			黄色いカーバンクルのぬいぐるみだ。もう動いていないようだが……漂流者の丘に戻り、「ミコッテ族の少女」に届けてあげよう。			逃げたカーバンクル							
あの子、やっぱりいなかった。もう、会えないのかな……。			あの子、やっぱりいなかった。もう、会えないのかな……。			逃げたカーバンクル							
わあ……みつけてくれたの！？おねえちゃんおにいちゃん、すごい！「お姉ちゃん」みたい！			わあ……みつけてくれたの！？おねえちゃんおにいちゃん、すごい！「お姉ちゃん」みたい！			逃げたカーバンクル							
お姉ちゃんはね、前にウチの近くに住んでて、よく遊んでくれたの！おっきくて、やさしくて……あたしの、あこがれのひと！			お姉ちゃんはね、前にウチの近くに住んでて、よく遊んでくれたの！おっきくて、やさしくて……あたしの、あこがれのひと！			逃げたカーバンクル							
そのお姉ちゃんから、カーバンクルをつくれる、すごい魔法使いのお友達のおはなしをきいて……だから、このぬいぐるみ、買ってもらったんだ……！			そのお姉ちゃんから、カーバンクルをつくれる、すごい魔法使いのお友達のおはなしをきいて……だから、このぬいぐるみ、買ってもらったんだ……！			逃げたカーバンクル							
いつか、あたしもカーバンクルをじょうずに動かして、お姉ちゃんにほめてもらうんだ！			いつか、あたしもカーバンクルをじょうずに動かして、お姉ちゃんにほめてもらうんだ！			逃げたカーバンクル							
おねえちゃんおにいちゃん、はい、これ！助けてもらったらお礼をするんだよって、パパが言ってたから。ぬいぐるみ、みつけてくれて、ありがとう……またね！			おねえちゃんおにいちゃん、はい、これ！助けてもらったらお礼をするんだよって、パパが言ってたから。ぬいぐるみ、みつけてくれて、ありがとう……またね！			逃げたカーバンクル							
特殊ルール： レベルアジャストアゴラのトフウィブは、冒険者に仕事を頼みたいようだ。			特殊ルール： レベルアジャストアゴラのトフウィブは、冒険者に仕事を頼みたいようだ。			ブック・デリバリー！							
注文された本を届ける			注文された本を届ける			ブック・デリバリー！							
トフウィブと話す			トフウィブと話す			ブック・デリバリー！							
おっ、冒険者とは珍しい……けど、ちょうどいいタイミング！急で悪いんだけど、仕事を依頼できないかな！？			おっ、冒険者とは珍しい……けど、ちょうどいいタイミング！急で悪いんだけど、仕事を依頼できないかな！？			ブック・デリバリー！							
注文された本を取り置いていたんだけど、みんな急に「配達してほしい」って言い出してさ。お願いだ、ちゃんと報酬を支払うから……！			注文された本を取り置いていたんだけど、みんな急に「配達してほしい」って言い出してさ。お願いだ、ちゃんと報酬を支払うから……！			ブック・デリバリー！							
うおぉん、ありがとー！それじゃ、簡単に説明するよ。届けてほしい本は、全部で3冊！			うおぉん、ありがとー！それじゃ、簡単に説明するよ。届けてほしい本は、全部で3冊！			ブック・デリバリー！							
『イシュガルド占星論』は「オールブライト家の使用人」さんへ！『雲海紀行』は「饒舌な愛書家」さんへ！そして『草之海紀行』は「精悍なグリーナー」さんへ！			『イシュガルド占星論』は「オールブライト家の使用人」さんへ！『雲海紀行』は「饒舌な愛書家」さんへ！そして『草之海紀行』は「精悍なグリーナー」さんへ！			ブック・デリバリー！							
場所は……地図に印をつけとくよ。代金はもうもらってるので、届けるだけでオッケー！終わったらちゃんとお礼をするから、戻ってきてね！			場所は……地図に印をつけとくよ。代金はもうもらってるので、届けるだけでオッケー！終わったらちゃんとお礼をするから、戻ってきてね！			ブック・デリバリー！							
代金はもうもらってるから、届けるだけでオッケーだよ！急なお願いで悪いけど、よろしくね！			代金はもうもらってるから、届けるだけでオッケーだよ！急なお願いで悪いけど、よろしくね！			ブック・デリバリー！							
オールブライト家へ、ようこそ。恐れ入りますが、お約束はございますか？			オールブライト家へ、ようこそ。恐れ入りますが、お約束はございますか？			ブック・デリバリー！							
書籍の配送でございますね。『イシュガルド占星論』……たしかに、受領を命じられた書名です。			書籍の配送でございますね。『イシュガルド占星論』……たしかに、受領を命じられた書名です。			ブック・デリバリー！							
しかし……高名な占星術師である当家の主が、なぜ、遅れたイシュガルドの占星術にご興味を……？			しかし……高名な占星術師である当家の主が、なぜ、遅れたイシュガルドの占星術にご興味を……？			ブック・デリバリー！							
あらいけない。主の行いに疑問を持つなど、使用人としてあるまじきことですわ。ともあれ、配達ありがとうございました。			あらいけない。主の行いに疑問を持つなど、使用人としてあるまじきことですわ。ともあれ、配達ありがとうございました。			ブック・デリバリー！							
おっ、注文した本の配達かな？待っていたんだよ。			おっ、注文した本の配達かな？待っていたんだよ。			ブック・デリバリー！							
そうそう、『雲海紀行』！著者が14歳とあって、質や信憑性を疑問視していたんだが、文通している東方の愛書家仲間から、強く勧められてね。			そうそう、『雲海紀行』！著者が14歳とあって、質や信憑性を疑問視していたんだが、文通している東方の愛書家仲間から、強く勧められてね。			ブック・デリバリー！							
アバラシア雲海の風物が詳しく記されていて、非常に読みごたえがあるらしい。闘パイッサという奇祭の記述が、特に興味深いそうでね。			アバラシア雲海の風物が詳しく記されていて、非常に読みごたえがあるらしい。闘パイッサという奇祭の記述が、特に興味深いそうでね。			ブック・デリバリー！							
届けてくれて、ありがとう！いやあ、読むのが楽しみだ……！			届けてくれて、ありがとう！いやあ、読むのが楽しみだ……！			ブック・デリバリー！							
ん、なんだアンタ？俺に用かい？			ん、なんだアンタ？俺に用かい？			ブック・デリバリー！							
おっと、本の配達か。こりゃすまない。『草之海紀行』、確かに受け取ったぜ！			おっと、本の配達か。こりゃすまない。『草之海紀行』、確かに受け取ったぜ！			ブック・デリバリー！							
実は俺、調達任務でオサード小大陸に行くんだよ。で、この本を読んで、東方地域……特にアジムステップの文化を知っておこうと思ったんだ。			実は俺、調達任務でオサード小大陸に行くんだよ。で、この本を読んで、東方地域……特にアジムステップの文化を知っておこうと思ったんだ。			ブック・デリバリー！							
どれどれ……………………「草原に住むアウラ・ゼラ51部族の生活様式は多種多様であり、　例えば男だけのブドゥガ族は、他所の男を奪い構成員を増やす」			どれどれ……………………「草原に住むアウラ・ゼラ51部族の生活様式は多種多様であり、　例えば男だけのブドゥガ族は、他所の男を奪い構成員を増やす」			ブック・デリバリー！							
おいおいおいおいマジかよ！なんだか怖くなってきたが……もう少し読み込んでみるかね。なんにせよ、配達、ありがとよ。			おいおいおいおいマジかよ！なんだか怖くなってきたが……もう少し読み込んでみるかね。なんにせよ、配達、ありがとよ。			ブック・デリバリー！							
おかえりー！無事に届けられたみたいだね！			おかえりー！無事に届けられたみたいだね！			ブック・デリバリー！							
シャーレアンの書店は、この国で出版された本はもちろん、異国の書籍も多数取り扱っていてね。港に船が着くたびに、大忙しなんだ。			シャーレアンの書店は、この国で出版された本はもちろん、異国の書籍も多数取り扱っていてね。港に船が着くたびに、大忙しなんだ。			ブック・デリバリー！							
手伝ってくれて、とても助かったよ。これ、少ないけどお礼！ありがとね！			手伝ってくれて、とても助かったよ。これ、少ないけどお礼！ありがとね！			ブック・デリバリー！							
オールド・シャーレアンのノルトータは、冒険者に感心しているようだ。			オールド・シャーレアンのノルトータは、冒険者に感心しているようだ。			ギルドシップのモブハント（中級）							
ジャ・ラクシャイと話す			ジャ・ラクシャイと話す			ギルドシップのモブハント（中級）							
「ギルドシップのモブハント（中級）」は、「メインクエスト：暁月のフィナーレ」を、特定の状態まで完了することで、受注できるようになります。			「ギルドシップのモブハント（中級）」は、「メインクエスト：暁月のフィナーレ」を、特定の状態まで完了することで、受注できるようになります。			ギルドシップのモブハント（中級）							
Forenameさん、おかえりなさい！バリバリ実力を示しておられるようで、何よりです。			Forenameさん、おかえりなさい！バリバリ実力を示しておられるようで、何よりです。			ギルドシップのモブハント（中級）							
これなら、中級の依頼もお願いできますね。この先は、さらなる難題ばかりですので……あなたが引き受けてくださるなら、心強いかぎりですよ！			これなら、中級の依頼もお願いできますね。この先は、さらなる難題ばかりですので……あなたが引き受けてくださるなら、心強いかぎりですよ！			ギルドシップのモブハント（中級）							
たとえば、中級の依頼には、現在立ち入ることすら難しい、「ガレマルド」地域のサンプル回収などが含まれておりまして、かなり危険度が高いんです。			たとえば、中級の依頼には、現在立ち入ることすら難しい、「ガレマルド」地域のサンプル回収などが含まれておりまして、かなり危険度が高いんです。			ギルドシップのモブハント（中級）							
それだけならともかく……いえ、これ以上は、手配書をまとめている、「ジャ・ラクシャイ」から、直接説明を受けてくださいませ。			それだけならともかく……いえ、これ以上は、手配書をまとめている、「ジャ・ラクシャイ」から、直接説明を受けてくださいませ。			ギルドシップのモブハント（中級）							
ふふふ、まさかこんなに早く、この部署の闇をお見せすることになるとは……。まずは、ジャ・ラクシャイの話を聞いてみてください。			ふふふ、まさかこんなに早く、この部署の闇をお見せすることになるとは……。まずは、ジャ・ラクシャイの話を聞いてみてください。			ギルドシップのモブハント（中級）							
はいはい、聞こえてたよー。中級の厄介さについて知りたければ、とりあえず具体例を聞いてみるのが、手っ取り早いかな。			はいはい、聞こえてたよー。中級の厄介さについて知りたければ、とりあえず具体例を聞いてみるのが、手っ取り早いかな。			ギルドシップのモブハント（中級）							
えーと、例えばコレ……クリジエールさんからの依頼なんか、その好例だね。			えーと、例えばコレ……クリジエールさんからの依頼なんか、その好例だね。			ギルドシップのモブハント（中級）							
シャーレアン唯一の「宇宙生物学者」を自称する彼女は、学会追放の要因にもなった「宇宙生命体」の存在を証明するため、「月」の生物のサンプルを所望してるんだ。			シャーレアン唯一の「宇宙生物学者」を自称する彼女は、学会追放の要因にもなった「宇宙生命体」の存在を証明するため、「月」の生物のサンプルを所望してるんだ。			ギルドシップのモブハント（中級）							
そんな感じで、中級以降の依頼には、どう実行したものかわからない、奇天烈な案件もあってさ。誰もこなせず残り続けるから、私たちも頭を抱えてるんだよね。			そんな感じで、中級以降の依頼には、どう実行したものかわからない、奇天烈な案件もあってさ。誰もこなせず残り続けるから、私たちも頭を抱えてるんだよね。			ギルドシップのモブハント（中級）							
とはいえ、依頼は依頼。寄せられた依頼には真摯に向き合い、報酬や難度を鑑みて、それをボードに張り出すのが私たちの仕事……。			とはいえ、依頼は依頼。寄せられた依頼には真摯に向き合い、報酬や難度を鑑みて、それをボードに張り出すのが私たちの仕事……。			ギルドシップのモブハント（中級）							
「ギルドシップボード」を見て、こなせそうな依頼があったら、ぜひ挑戦してほしいな。今後は「中級」のモブハントも、よろしくね！			「ギルドシップボード」を見て、こなせそうな依頼があったら、ぜひ挑戦してほしいな。今後は「中級」のモブハントも、よろしくね！			ギルドシップのモブハント（中級）							
「ギルドシップ・モブ手配書：中級」が開放された！			「ギルドシップ・モブ手配書：中級」が開放された！			ギルドシップのモブハント（中級）							
オールド・シャーレアンとラザハンの「ギルドシップボード」から、「ギルドシップ・モブ手配書：中級」を、入手できるようになりました。			オールド・シャーレアンとラザハンの「ギルドシップボード」から、「ギルドシップ・モブ手配書：中級」を、入手できるようになりました。			ギルドシップのモブハント（中級）							
