プラ・エンニ茸窟のスール＝オールは、グランソンが出した答えを聞きたいようだ。			プラ・エンニ茸窟のスール＝オールは、グランソンが出した答えを聞きたいようだ。			いつか君が言った言葉							
道は、オレ自身が決めなくちゃならないってことだな？なら、オレはディカイオシュネーを討つ……。ミリンダのために、そして……ブランデンのためにな！			道は、オレ自身が決めなくちゃならないってことだな？なら、オレはディカイオシュネーを討つ……。ミリンダのために、そして……ブランデンのためにな！			いつか君が言った言葉							
ブランデンのためじゃと？			ブランデンのためじゃと？			いつか君が言った言葉							
憎悪だけが力の根源たり得るわけじゃない。同じ絶望を味わったあいつの無念を、オレが代わりに晴らす……。そんな決意も、オレの剣に鋭さを与えてくれる気がしてな。			憎悪だけが力の根源たり得るわけじゃない。同じ絶望を味わったあいつの無念を、オレが代わりに晴らす……。そんな決意も、オレの剣に鋭さを与えてくれる気がしてな。			いつか君が言った言葉							
ディカイオシュネーへの復讐も、ブランデンの救済も、どちらも果たそうと言うのか……。			ディカイオシュネーへの復讐も、ブランデンの救済も、どちらも果たそうと言うのか……。			いつか君が言った言葉							
相棒が、背中を押してくれたからな。それにミリンダが生きていたら、きっとそうしろと言ってくれたと思うんだ……。			相棒が、背中を押してくれたからな。それにミリンダが生きていたら、きっとそうしろと言ってくれたと思うんだ……。			いつか君が言った言葉							
そうだろ、相棒？			そうだろ、相棒？			いつか君が言った言葉							
待たせて悪かったな！さあ、今度こそあの野郎との決着といこうぜ！スール＝オール、「双頭狼の爪」の在処を教えてくれ！			待たせて悪かったな！さあ、今度こそあの野郎との決着といこうぜ！スール＝オール、「双頭狼の爪」の在処を教えてくれ！			いつか君が言った言葉							
待て、その前にワシが知る限りの情報を話しておこう。			待て、その前にワシが知る限りの情報を話しておこう。			いつか君が言った言葉							
まず、フッブート王国の三国宝は、次期王位継承者に受け継がれる装飾品のことでな。最後の持ち主は、第一王女であるソールディア姫じゃった。			まず、フッブート王国の三国宝は、次期王位継承者に受け継がれる装飾品のことでな。最後の持ち主は、第一王女であるソールディア姫じゃった。			いつか君が言った言葉							
これらの品々は、姫の死後、フッブート王国の宝物殿に納められておったが、一年ほど前に侵入者が、そのうちふたつを持ち出したのじゃ。			これらの品々は、姫の死後、フッブート王国の宝物殿に納められておったが、一年ほど前に侵入者が、そのうちふたつを持ち出したのじゃ。			いつか君が言った言葉							
「双頭狼の牙」と「双頭狼の眼」のことだな？			「双頭狼の牙」と「双頭狼の眼」のことだな？			いつか君が言った言葉							
うむ……宝物殿は結界によって護られておったが、その外に持ち出されたことで、ふたつの国宝は、ディカイオシュネーの感知に引っかかったのじゃろう……。			うむ……宝物殿は結界によって護られておったが、その外に持ち出されたことで、ふたつの国宝は、ディカイオシュネーの感知に引っかかったのじゃろう……。			いつか君が言った言葉							
忠誠を誓ったソールディア姫ゆかりの品が、近くにあると気づき、無意識に奪還を試みたってわけか。			忠誠を誓ったソールディア姫ゆかりの品が、近くにあると気づき、無意識に奪還を試みたってわけか。			いつか君が言った言葉							
おそらくはな……。ワシとて、ソールディア姫に仕えた身じゃ。その遺品でもある三国宝を掘り起こされていい気はせん。			おそらくはな……。ワシとて、ソールディア姫に仕えた身じゃ。その遺品でもある三国宝を掘り起こされていい気はせん。			いつか君が言った言葉							
なら、なおさらディカイオシュネーからも、「双頭狼の牙」と「双頭狼の眼」を取り戻すべきじゃないのか？そのためにも……。			なら、なおさらディカイオシュネーからも、「双頭狼の牙」と「双頭狼の眼」を取り戻すべきじゃないのか？そのためにも……。			いつか君が言った言葉							
わかっておる。ゆえに、おぬしらに「双頭狼の爪」の在処を教えよう。ディカイオシュネーをおびき出し、引導を渡してやってくれ。			わかっておる。ゆえに、おぬしらに「双頭狼の爪」の在処を教えよう。ディカイオシュネーをおびき出し、引導を渡してやってくれ。			いつか君が言った言葉							
ティム・グースのあたりまで行ったら、その「幻惑破りの胞子」を振りかけるのじゃ。さすれば不可視の魔法が解け、「双頭狼の爪」が姿を現すじゃろう。			ティム・グースのあたりまで行ったら、その「幻惑破りの胞子」を振りかけるのじゃ。さすれば不可視の魔法が解け、「双頭狼の爪」が姿を現すじゃろう。			いつか君が言った言葉							
安心しな、爺さん。ブランデンの肉体は、オレたちが必ず奪い返してやるさ。ディカイオシュネーの野郎を倒すことでな。			安心しな、爺さん。ブランデンの肉体は、オレたちが必ず奪い返してやるさ。ディカイオシュネーの野郎を倒すことでな。			いつか君が言った言葉							
そうと決まれば行こうぜ、相棒！			そうと決まれば行こうぜ、相棒！			いつか君が言った言葉							
頼むぞ……グランソン、Forename……。			頼むぞ……グランソン、Forename……。			いつか君が言った言葉							
…………。			…………。			いつか君が言った言葉							
幻惑破りの胞子に反応して、不可視の魔法が解除された！			幻惑破りの胞子に反応して、不可視の魔法が解除された！			いつか君が言った言葉							
こいつが「双頭狼の爪」か……。			こいつが「双頭狼の爪」か……。			いつか君が言った言葉							
さて、あとはどうやってあの野郎を誘い出すか……一度戻って、爺さんに相談してみるか。			さて、あとはどうやってあの野郎を誘い出すか……一度戻って、爺さんに相談してみるか。			いつか君が言った言葉							
……早速、嗅ぎつけてきやがったか。話が早くて助かるぜ。			……早速、嗅ぎつけてきやがったか。話が早くて助かるぜ。			いつか君が言った言葉							
罪喰いに体を乗っ取られてもなお、主のために剣を振るうとはね。その忠誠心、ひとりの男として尊敬に値する……が、お前のお姫さんは、そんなことを望んでないんじゃないか？			罪喰いに体を乗っ取られてもなお、主のために剣を振るうとはね。その忠誠心、ひとりの男として尊敬に値する……が、お前のお姫さんは、そんなことを望んでないんじゃないか？			いつか君が言った言葉							
行くぞ、Forename！ブランデンの誇りを汚す、罪喰い野郎を叩き斬るんだ！			行くぞ、Forename！ブランデンの誇りを汚す、罪喰い野郎を叩き斬るんだ！			いつか君が言った言葉							
ティム・グースのあたりまで行ったら、その「幻惑破りの胞子」を振りかけるのじゃ。さすれば不可視の魔法が解け、「双頭狼の爪」が姿を現すじゃろう。			ティム・グースのあたりまで行ったら、その「幻惑破りの胞子」を振りかけるのじゃ。さすれば不可視の魔法が解け、「双頭狼の爪」が姿を現すじゃろう。			いつか君が言った言葉							
さあ、行こうぜ！あの野郎をぶっ倒して、すべてを終わらせるぞ！			さあ、行こうぜ！あの野郎をぶっ倒して、すべてを終わらせるぞ！			いつか君が言った言葉							
おいおい、いったい何が始まるんだ？			おいおい、いったい何が始まるんだ？			いつか君が言った言葉							
姑息な真似しやがって！待っててくれ、相棒！			姑息な真似しやがって！待っててくれ、相棒！			いつか君が言った言葉							
チッ……やはり、一筋縄でいく相手じゃねえな。相棒、そっちは無事か？			チッ……やはり、一筋縄でいく相手じゃねえな。相棒、そっちは無事か？			いつか君が言った言葉							
嫌な予感がするぜ……こっちはオレに任せてくれ！相棒はもう一方を頼む！			嫌な予感がするぜ……こっちはオレに任せてくれ！相棒はもう一方を頼む！			いつか君が言った言葉							
さすがにやるな……だが、ここで倒れるわけにはいかないんでね！			さすがにやるな……だが、ここで倒れるわけにはいかないんでね！			いつか君が言った言葉							
またか……しつこい野郎は嫌われるぜ！			またか……しつこい野郎は嫌われるぜ！			いつか君が言った言葉							
今度はオレの番ってわけかい……相棒、悪いが頼んだぜ！			今度はオレの番ってわけかい……相棒、悪いが頼んだぜ！			いつか君が言った言葉							
ふぅ～、助かった……やっぱ頼りになるぜ、アンタ！			ふぅ～、助かった……やっぱ頼りになるぜ、アンタ！			いつか君が言った言葉							
こんな所で死んでたまるか……オレは……ミリンダの……。			こんな所で死んでたまるか……オレは……ミリンダの……。			いつか君が言った言葉							
ハァ……ハァ……ハァ……とっとと消えやがれ、罪喰い野郎……！その身体は、お前が使っていいもんじゃねぇ！			ハァ……ハァ……ハァ……とっとと消えやがれ、罪喰い野郎……！その身体は、お前が使っていいもんじゃねぇ！			いつか君が言った言葉							
終わったぜ、ミリンダ……。			終わったぜ、ミリンダ……。			いつか君が言った言葉							
(-ブランデンの幻影-)ソールディア……。剣となり、あなたを守ると誓ったのに……。オレは……果たせなかった……。			(-ブランデンの幻影-)ソールディア……。剣となり、あなたを守ると誓ったのに……。オレは……果たせなかった……。			いつか君が言った言葉							
こいつは……ブランデン……？			こいつは……ブランデン……？			いつか君が言った言葉							
(-ブランデンの幻影-)オレは……もう二度と畏れたりはしない……。どんな犠牲を払ってでも、オレの正義を成してみせる……。それが、ソールディアへの手向けだ……。			(-ブランデンの幻影-)オレは……もう二度と畏れたりはしない……。どんな犠牲を払ってでも、オレの正義を成してみせる……。それが、ソールディアへの手向けだ……。			いつか君が言った言葉							
いや……ブランデンの記憶の残滓か……。それが、肉体から解き放たれたとでもいうのか……？			いや……ブランデンの記憶の残滓か……。それが、肉体から解き放たれたとでもいうのか……？			いつか君が言った言葉							
おい、ブランデン！彼女の最期の言葉を呪いに変えて、己を責めるのはやめろ！そんなこと、ソールディア姫は望んじゃいないはずだ！			おい、ブランデン！彼女の最期の言葉を呪いに変えて、己を責めるのはやめろ！そんなこと、ソールディア姫は望んじゃいないはずだ！			いつか君が言った言葉							
(-ブランデンの幻影-)フッ……こんなオレを、きっとあなたは叱るだろうな。だから……もしもまた巡り会えた時は……今度こそ、あなたが信じたオレで在りたい……。			(-ブランデンの幻影-)フッ……こんなオレを、きっとあなたは叱るだろうな。だから……もしもまた巡り会えた時は……今度こそ、あなたが信じたオレで在りたい……。			いつか君が言った言葉							
(-ブランデンの幻影-)ありがとう、ソールディア……。あなたと出会うことができて良かった……。			(-ブランデンの幻影-)ありがとう、ソールディア……。あなたと出会うことができて良かった……。			いつか君が言った言葉							
消えちまったな……。			消えちまったな……。			いつか君が言った言葉							
これで、ふたたび三国宝がそろったか……。今度こそ、スカベンジャーどもに掘り起こされないよう、厳重に保管してもらわなくちゃな。			これで、ふたたび三国宝がそろったか……。今度こそ、スカベンジャーどもに掘り起こされないよう、厳重に保管してもらわなくちゃな。			いつか君が言った言葉							
ブランデンやソールディア姫には、安らかに眠っていてもらいたいだろ？			ブランデンやソールディア姫には、安らかに眠っていてもらいたいだろ？			いつか君が言った言葉							
それじゃ、プラ・エンニ茸窟に戻るとしようぜ。「スール＝オール」の爺さんが首を長くして待っているはずさ。			それじゃ、プラ・エンニ茸窟に戻るとしようぜ。「スール＝オール」の爺さんが首を長くして待っているはずさ。			いつか君が言った言葉							
スール＝オールの爺さんは、このあたりで「幻惑破りの胞子」を使えって言ってたっけか？			スール＝オールの爺さんは、このあたりで「幻惑破りの胞子」を使えって言ってたっけか？			いつか君が言った言葉							
戻ったか……！して、ブランデンは、ディカイオシュネーはどうなった！？			戻ったか……！して、ブランデンは、ディカイオシュネーはどうなった！？			いつか君が言った言葉							
おいおい爺さん、オレたちの顔を見たらわかるだろ？			おいおい爺さん、オレたちの顔を見たらわかるだろ？			いつか君が言った言葉							
そうか、そうか……。良かったのう、ブランデン……。			そうか、そうか……。良かったのう、ブランデン……。			いつか君が言った言葉							
おぬしも、ようやく悲願の仇討ちを成すことができたのじゃな。			おぬしも、ようやく悲願の仇討ちを成すことができたのじゃな。			いつか君が言った言葉							
そうだな……思えば、オレはこれまで、ディカイオシュネーを殺すことだけを考えて生きてきた。これからは何のために生きていけばいいんだろうな……。			そうだな……思えば、オレはこれまで、ディカイオシュネーを殺すことだけを考えて生きてきた。これからは何のために生きていけばいいんだろうな……。			いつか君が言った言葉							
生きる意味など、生きていればいくらでも見つかるものじゃ。			生きる意味など、生きていればいくらでも見つかるものじゃ。			いつか君が言った言葉							
ハハッ、さすが長生きしてる爺さんは言うことが違うねえ。			ハハッ、さすが長生きしてる爺さんは言うことが違うねえ。			いつか君が言った言葉							
ところで、爺さんよ。こいつを預かってくれないか？			ところで、爺さんよ。こいつを預かってくれないか？			いつか君が言った言葉							
これは……フッブート王国の三国宝……！そうか、ディカイオシュネーから回収できたのじゃな？			これは……フッブート王国の三国宝……！そうか、ディカイオシュネーから回収できたのじゃな？			いつか君が言った言葉							
そいつはアンタが持っててくれ。あのふたりも、それを望んでいるはずさ。			そいつはアンタが持っててくれ。あのふたりも、それを望んでいるはずさ。			いつか君が言った言葉							
……承った。ブランデンとソールディア姫が安らかに眠れるよう、未来永劫、この地で守っていこう。			……承った。ブランデンとソールディア姫が安らかに眠れるよう、未来永劫、この地で守っていこう。			いつか君が言った言葉							
さて、当初の目的だったディカイオシュネーの討伐も済んだことだ、酒場のマスターに報告がてら、挨拶しておかないとな。オレは「彷徨う階段亭」に戻るぜ。			さて、当初の目的だったディカイオシュネーの討伐も済んだことだ、酒場のマスターに報告がてら、挨拶しておかないとな。オレは「彷徨う階段亭」に戻るぜ。			いつか君が言った言葉							
爺さん、元気でな。			爺さん、元気でな。			いつか君が言った言葉							
あやつが多幸な人生を歩むことを願うばかりじゃ。これまで受けた悲しみを上回るほどのな……。			あやつが多幸な人生を歩むことを願うばかりじゃ。これまで受けた悲しみを上回るほどのな……。			いつか君が言った言葉							
無論、おぬしもな。			無論、おぬしもな。			いつか君が言った言葉							
ワシはいつでもここにいる。無駄に長生きしている老いぼれの話が聞きたくなった時は、いつでも訪ねるがよい。			ワシはいつでもここにいる。無駄に長生きしている老いぼれの話が聞きたくなった時は、いつでも訪ねるがよい。			いつか君が言った言葉							
さあ、「スール＝オール」の爺さんに報告しようぜ。			さあ、「スール＝オール」の爺さんに報告しようぜ。			いつか君が言った言葉							
よう、相棒。マスターへの挨拶なら、もう済ませたぜ。			よう、相棒。マスターへの挨拶なら、もう済ませたぜ。			いつか君が言った言葉							
思えば、ここに来たばかりの頃のオレは、復讐のことばかり考えていて、周りの連中と衝突することもあった。そんな時、グリナードが助け舟を出してくれてな。			思えば、ここに来たばかりの頃のオレは、復讐のことばかり考えていて、周りの連中と衝突することもあった。そんな時、グリナードが助け舟を出してくれてな。			いつか君が言った言葉							
その時の礼も含めて、感謝の言葉を伝えておいたよ。憑き物が落ちたようなオレの顔を見て、彼は笑っていたがな。			その時の礼も含めて、感謝の言葉を伝えておいたよ。憑き物が落ちたようなオレの顔を見て、彼は笑っていたがな。			いつか君が言った言葉							
さて、心残りも片付けたことだし、オレは失礼させてもらうぜ。アンタにも世話になったな、相棒。			さて、心残りも片付けたことだし、オレは失礼させてもらうぜ。アンタにも世話になったな、相棒。			いつか君が言った言葉							
何と声をかける？			何と声をかける？			いつか君が言った言葉							
どこへ行く？			どこへ行く？			いつか君が言った言葉							
…………			…………			いつか君が言った言葉							
さあねえ、今さらオレの居場所なんてどこにもないだろうからな。だが、オレの力を必要としている連中はいるかもしれない……。そいつらのために戦い続けるのも、悪くはない。			さあねえ、今さらオレの居場所なんてどこにもないだろうからな。だが、オレの力を必要としている連中はいるかもしれない……。そいつらのために戦い続けるのも、悪くはない。			いつか君が言った言葉							
そんな顔をするなよ。また会うことくらいあるだろうさ。			そんな顔をするなよ。また会うことくらいあるだろうさ。			いつか君が言った言葉							
とは言え、今さらオレの居場所なんてどこにもないだろうがな。だが、オレの力を必要としている連中はいるかもしれない……。そいつらのために戦い続けるのも、悪くはない。			とは言え、今さらオレの居場所なんてどこにもないだろうがな。だが、オレの力を必要としている連中はいるかもしれない……。そいつらのために戦い続けるのも、悪くはない。			いつか君が言った言葉							
ミリンダが生きていたら、そうしろと言っただろうしな。それに……ブランデンが生きていたら、そうしただろうさ。			ミリンダが生きていたら、そうしろと言っただろうしな。それに……ブランデンが生きていたら、そうしただろうさ。			いつか君が言った言葉							
それじゃ、ひとまずはお別れだ！あばよ、相棒！			それじゃ、ひとまずはお別れだ！あばよ、相棒！			いつか君が言った言葉							
アンタと旅したことは忘れないぜ！オレが生きている限りな！			アンタと旅したことは忘れないぜ！オレが生きている限りな！			いつか君が言った言葉							
ワシはいつでもここにいる。無駄に長生きしている老いぼれの話が聞きたくなった時は、いつでも訪ねるがよい。			ワシはいつでもここにいる。無駄に長生きしている老いぼれの話が聞きたくなった時は、いつでも訪ねるがよい。			いつか君が言った言葉							
彷徨う階段亭のグランソンは、冒険者に話があるようだ。			彷徨う階段亭のグランソンは、冒険者に話があるようだ。			顔に傷のある男							
グランソンと話した。流浪の賞金稼ぎを名乗るグランソンは、かつて「光の戦士」と呼ばれた「ブランデン」と同じ姿の罪喰いである、四使徒の1体、「ディカイオシュネー」の討伐を目論んでいるようだ。グランソンから協力を持ちかけられた冒険者はこれを引き受け、腕試しを行うことになった。レイクランドの水晶公の門付近にいる「グランソン」と話そう。			グランソンと話した。流浪の賞金稼ぎを名乗るグランソンは、かつて「光の戦士」と呼ばれた「ブランデン」と同じ姿の罪喰いである、四使徒の1体、「ディカイオシュネー」の討伐を目論んでいるようだ。グランソンから協力を持ちかけられた冒険者はこれを引き受け、腕試しを行うことになった。レイクランドの水晶公の門付近にいる「グランソン」と話そう。			顔に傷のある男							
グランソンと話した。レイクランドの迷える羊飼いの森にある指定地点で見渡して、現れた罪喰いを討伐しよう。			グランソンと話した。レイクランドの迷える羊飼いの森にある指定地点で見渡して、現れた罪喰いを討伐しよう。			顔に傷のある男							
指定地点で見渡して、現れた罪喰いを討伐した。迷える羊飼いの森にいる「グランソン」と話そう。			指定地点で見渡して、現れた罪喰いを討伐した。迷える羊飼いの森にいる「グランソン」と話そう。			顔に傷のある男							
グランソンと話した。レイクランドの風化した大地にある指定地点で再度見渡して、現れた罪喰いを討伐しよう。			グランソンと話した。レイクランドの風化した大地にある指定地点で再度見渡して、現れた罪喰いを討伐しよう。			顔に傷のある男							
指定地点で見渡して、現れた罪喰いを討伐した。風化した大地にいる「グランソン」と話そう。			指定地点で見渡して、現れた罪喰いを討伐した。風化した大地にいる「グランソン」と話そう。			顔に傷のある男							
グランソンと話した。一連の戦いを見ていたグランソンは、冒険者の腕前に納得したようだ。クリスタリウムの彷徨う階段亭に戻り、「グランソン」と話そう。			グランソンと話した。一連の戦いを見ていたグランソンは、冒険者の腕前に納得したようだ。クリスタリウムの彷徨う階段亭に戻り、「グランソン」と話そう。			顔に傷のある男							
グランソンと話して、正式にディカイオシュネーの討伐に協力することになった。グランソンの旅の支度が調うのを待ってから、再びこの場所を訪れよう。※いずれかのTANKジョブのレベルが72以上になると、彷徨う階段亭のグランソンから次のTANKロールクエストを受注することができます。			グランソンと話して、正式にディカイオシュネーの討伐に協力することになった。グランソンの旅の支度が調うのを待ってから、再びこの場所を訪れよう。※いずれかのTANKジョブのレベルが72以上になると、彷徨う階段亭のグランソンから次のTANKロールクエストを受注することができます。			顔に傷のある男							
水晶公の門付近のグランソンと話す			水晶公の門付近のグランソンと話す			顔に傷のある男							
指定地点で見渡して罪喰いを討伐			指定地点で見渡して罪喰いを討伐			顔に傷のある男							
グランソンと話す			グランソンと話す			顔に傷のある男							
指定地点で再度見渡して罪喰いを討伐			指定地点で再度見渡して罪喰いを討伐			顔に傷のある男							
グランソンと話す			グランソンと話す			顔に傷のある男							
彷徨う階段亭のグランソンと話す			彷徨う階段亭のグランソンと話す			顔に傷のある男							
この辺りじゃ見かけない顔だな。だが、その身のこなし……かなりの手練だ。そうなんだろ？			この辺りじゃ見かけない顔だな。だが、その身のこなし……かなりの手練だ。そうなんだろ？			顔に傷のある男							
おっと、怪しいもんじゃないぜ。オレの名はグランソン、流浪の賞金稼ぎってとこだ。主にはぐれ罪喰いを狩っている。			おっと、怪しいもんじゃないぜ。オレの名はグランソン、流浪の賞金稼ぎってとこだ。主にはぐれ罪喰いを狩っている。			顔に傷のある男							
アンタをひと目見て、ビビっときたのさ。なかなか強そうなヤツだなってね。もしや、噂に聞く「闇の戦士」ってヤツかい？			アンタをひと目見て、ビビっときたのさ。なかなか強そうなヤツだなってね。もしや、噂に聞く「闇の戦士」ってヤツかい？			顔に傷のある男							
ま、アンタが誰だろうとどうでもいいさ。だが、その隠しきれていない強者の風格には惹かれるものがある。どうだい、オレと一緒に「あの野郎」と戦わないかい？			ま、アンタが誰だろうとどうでもいいさ。だが、その隠しきれていない強者の風格には惹かれるものがある。どうだい、オレと一緒に「あの野郎」と戦わないかい？			顔に傷のある男							
グランソンになんと言う？			グランソンになんと言う？			顔に傷のある男							
「あの野郎」って？			「あの野郎」って？			顔に傷のある男							
内容次第だ			内容次第だ			顔に傷のある男							
オレはどうしても「あの野郎」を倒さなければならない。かつて「光の戦士」と呼ばれたブランデンと同じ姿をした罪喰い、四使徒の1体、「ディカイオシュネー」をな……。			オレはどうしても「あの野郎」を倒さなければならない。かつて「光の戦士」と呼ばれたブランデンと同じ姿をした罪喰い、四使徒の1体、「ディカイオシュネー」をな……。			顔に傷のある男							
ディカイオシュネーは、ドン・ヴァウスリーが討たれてもなお、活動を維持し続けている。おそらく、四使徒は群れに寄らないはぐれた個体なんだろう。			ディカイオシュネーは、ドン・ヴァウスリーが討たれてもなお、活動を維持し続けている。おそらく、四使徒は群れに寄らないはぐれた個体なんだろう。			顔に傷のある男							
「光の戦士」として一度はこの世界を救ったブランデンが、世界崩壊の原因を作った大罪人だってことは知ってるだろ？			「光の戦士」として一度はこの世界を救ったブランデンが、世界崩壊の原因を作った大罪人だってことは知ってるだろ？			顔に傷のある男							
あの野郎は死んで罪喰いとなった後も、ノルヴラントの住人に悲しみを振りまき続けているんだ。絶対に、生かしておくわけにはいかねえ。			あの野郎は死んで罪喰いとなった後も、ノルヴラントの住人に悲しみを振りまき続けているんだ。絶対に、生かしておくわけにはいかねえ。			顔に傷のある男							
……オレがあの野郎を追う理由は他にもあるが、まずは、アンタの実力をこの目で確かめたい。どうだ？　乗ってくれるか？			……オレがあの野郎を追う理由は他にもあるが、まずは、アンタの実力をこの目で確かめたい。どうだ？　乗ってくれるか？			顔に傷のある男							
フッ、即答とは頼もしいねえ。			フッ、即答とは頼もしいねえ。			顔に傷のある男							
早速だが、クリスタリウムの周辺に、はぐれ罪喰いが出没したという情報がある。腕試しには丁度いいだろう、さあ、外に出ようぜ。			早速だが、クリスタリウムの周辺に、はぐれ罪喰いが出没したという情報がある。腕試しには丁度いいだろう、さあ、外に出ようぜ。			顔に傷のある男							
よう、待ってたぜ。			よう、待ってたぜ。			顔に傷のある男							
さっそくだが、迷える羊飼いの森の辺りに、はぐれ罪喰いが出没するらしい。見渡して、探してみてくれるか？			さっそくだが、迷える羊飼いの森の辺りに、はぐれ罪喰いが出没するらしい。見渡して、探してみてくれるか？			顔に傷のある男							
あー、そうそう……アンタも知ってのとおりだと思うが、ヤツらは化け物ではあるが、元はと言えば人や獣なんだ。これ以上苦しまないように……楽にしてやってくれ。			あー、そうそう……アンタも知ってのとおりだと思うが、ヤツらは化け物ではあるが、元はと言えば人や獣なんだ。これ以上苦しまないように……楽にしてやってくれ。			顔に傷のある男							
この辺りに、はぐれ罪喰いが出没すると言われている。見渡して、探してみてくれるか？			この辺りに、はぐれ罪喰いが出没すると言われている。見渡して、探してみてくれるか？			顔に傷のある男							
罪喰い相手でも物怖じせず、確実に仕留めるその度胸……どうやら、かなりの場数を踏んできていると見た。			罪喰い相手でも物怖じせず、確実に仕留めるその度胸……どうやら、かなりの場数を踏んできていると見た。			顔に傷のある男							
だが、風化した大地に出没するはぐれ罪喰いは、一筋縄じゃいかない相手と聞いている。			だが、風化した大地に出没するはぐれ罪喰いは、一筋縄じゃいかない相手と聞いている。			顔に傷のある男							
それじゃ、行こうか。アンタの力を、もっとオレに見せてくれ！			それじゃ、行こうか。アンタの力を、もっとオレに見せてくれ！			顔に傷のある男							
