七賢人の庭のネムジジは、冒険者のことを待ち構えていたようだ。			七賢人の庭のネムジジは、冒険者のことを待ち構えていたようだ。			「パンデモニウム」への警告							
ネムジジさん、ルイスノさん、先ほど提案してくださったサンプル集めを、至急お願いします。他にどんな記憶が封じられているか、突き止めねば。			ネムジジさん、ルイスノさん、先ほど提案してくださったサンプル集めを、至急お願いします。他にどんな記憶が封じられているか、突き止めねば。			「パンデモニウム」への警告							
そして……Forenameさん。どうか、もうひとつ依頼をさせていただけませんでしょうか。この、我々に警告を発している「誰か」について……！			そして……Forenameさん。どうか、もうひとつ依頼をさせていただけませんでしょうか。この、我々に警告を発している「誰か」について……！			「パンデモニウム」への警告							
貴方からいただいた情報から推察するに、このクリスタルも、古代人により生み出された可能性が高い。			貴方からいただいた情報から推察するに、このクリスタルも、古代人により生み出された可能性が高い。			「パンデモニウム」への警告							
となると、「パンデモニウム」なる言葉の調査も、世界分断前まで、時代を遡る必要があると私は考えます。			となると、「パンデモニウム」なる言葉の調査も、世界分断前まで、時代を遡る必要があると私は考えます。			「パンデモニウム」への警告							
それが可能なのは、ただひとり。異なる世界を経由することで、過去の世界へと渡り、終末の謎を解き明かしてみせた、貴方だけ……。			それが可能なのは、ただひとり。異なる世界を経由することで、過去の世界へと渡り、終末の謎を解き明かしてみせた、貴方だけ……。			「パンデモニウム」への警告							
我々も、過去と現代を行き来するなど、あまりに信じがたい話だと語り合っていたのですが……。そのお顔を見るに、やはり真実なのですね。			我々も、過去と現代を行き来するなど、あまりに信じがたい話だと語り合っていたのですが……。そのお顔を見るに、やはり真実なのですね。			「パンデモニウム」への警告							
ふたたび……「第一世界」でしたか？そちらを経由し、過去へと赴いてはいただけませんでしょうか。どうか「パンデモニウム」とは何か、突き止めてください……！			ふたたび……「第一世界」でしたか？そちらを経由し、過去へと赴いてはいただけませんでしょうか。どうか「パンデモニウム」とは何か、突き止めてください……！			「パンデモニウム」への警告							
ありがとうございます……。そのクリスタルも、調査の間は貴方にお預けいたします。過去の世界へと赴く過程で、また反応を示すかもしれませんから。			ありがとうございます……。そのクリスタルも、調査の間は貴方にお預けいたします。過去の世界へと赴く過程で、また反応を示すかもしれませんから。			「パンデモニウム」への警告							
(-クリスタルから響く記憶-)この声……聞こえたら……。			(-クリスタルから響く記憶-)この声……聞こえたら……。			「パンデモニウム」への警告							
(-クリスタルから響く記憶-)どうか……「パンデモニウム」へと……！			(-クリスタルから響く記憶-)どうか……「パンデモニウム」へと……！			「パンデモニウム」への警告							
(-？？？？-)…………ッ！			(-？？？？-)…………ッ！			「パンデモニウム」への警告							
(-穏やかな目をした青年-)君は…………			(-穏やかな目をした青年-)君は…………			「パンデモニウム」への警告							
(-穏やかな目をした青年-)いや、雰囲気が似ていたから、友人かと思ったのだけれど……どうやら別人らしい。			(-穏やかな目をした青年-)いや、雰囲気が似ていたから、友人かと思ったのだけれど……どうやら別人らしい。			「パンデモニウム」への警告							
私の名前は……「テミス」。君が彼女彼の言う「星」ならば、その訪れを待っていた者、ということになるのかな……。			私の名前は……「テミス」。君が彼女彼の言う「星」ならば、その訪れを待っていた者、ということになるのかな……。			「パンデモニウム」への警告							
さて、もう少しちゃんと自己紹介といこう。仮面を付けていないことからもお察しのとおり、私は、エルピスの者ではない。			さて、もう少しちゃんと自己紹介といこう。仮面を付けていないことからもお察しのとおり、私は、エルピスの者ではない。			「パンデモニウム」への警告							
ある調査のために、エルピスを訪問したんだが……まさか、宙空に突如として現れた人と、ぶつかろうとはね。			ある調査のために、エルピスを訪問したんだが……まさか、宙空に突如として現れた人と、ぶつかろうとはね。			「パンデモニウム」への警告							
面白い登場だったけど……さて、君は何処のどなたかな？よくよく見てみれば、人とは異なる性質を持っているようだ。			面白い登場だったけど……さて、君は何処のどなたかな？よくよく見てみれば、人とは異なる性質を持っているようだ。			「パンデモニウム」への警告							
何と言う？			何と言う？			「パンデモニウム」への警告							
アゼムの使い魔だ			アゼムの使い魔だ			「パンデモニウム」への警告							
自分も調査のためにエルピスへ来た			自分も調査のためにエルピスへ来た			「パンデモニウム」への警告							
ふぅん、アゼムの……。実は、先ほど話した友人というのが彼女彼なのだが……君のような使い魔を所持していたとは知らなかったよ。			ふぅん、アゼムの……。実は、先ほど話した友人というのが彼女彼なのだが……君のような使い魔を所持していたとは知らなかったよ。			「パンデモニウム」への警告							
それにしても、使い魔か……面白い。彼女彼に遣わされたと……いうことは、君も「パンデモニウム」の異変を調査に来たのかな？			それにしても、使い魔か……面白い。彼女彼に遣わされたと……いうことは、君も「パンデモニウム」の異変を調査に来たのかな？			「パンデモニウム」への警告							
ふぅん、君も……。もしかして、その調査というのは、「パンデモニウム」に関係しているのかな？			ふぅん、君も……。もしかして、その調査というのは、「パンデモニウム」に関係しているのかな？			「パンデモニウム」への警告							
かくいう私も、パンデモニウムを調べに来たんだよ。よければ、君がここへと至った経緯を教えてもらえないかい？			かくいう私も、パンデモニウムを調べに来たんだよ。よければ、君がここへと至った経緯を教えてもらえないかい？			「パンデモニウム」への警告							
なるほど、概ね理解できたよ。……今の話で、君が何処からエルピスへ来たのかという部分に、触れられていなかったのは気になるところだけど……。			なるほど、概ね理解できたよ。……今の話で、君が何処からエルピスへ来たのかという部分に、触れられていなかったのは気になるところだけど……。			「パンデモニウム」への警告							
誰でも、初対面の相手に話したくない秘密くらいあるだろう。それよりも今は、君のいう謎のクリスタルとやらを、少し、見せてもらえないかい？			誰でも、初対面の相手に話したくない秘密くらいあるだろう。それよりも今は、君のいう謎のクリスタルとやらを、少し、見せてもらえないかい？			「パンデモニウム」への警告							
ふむ、あいにく私も詳しい内容までは見通せないけど……。たしかに、誰かの記憶が封じられているようだ。			ふむ、あいにく私も詳しい内容までは見通せないけど……。たしかに、誰かの記憶が封じられているようだ。			「パンデモニウム」への警告							
ありがとう……。しかし、誰の記憶であれ警告を発したというのであれば、やはり、パンデモニウムで何かが起きているらしいね。			ありがとう……。しかし、誰の記憶であれ警告を発したというのであれば、やはり、パンデモニウムで何かが起きているらしいね。			「パンデモニウム」への警告							
……パンデモニウムは、このエルピスの直下に存在する。ラハブレア院が管理する施設だ。			……パンデモニウムは、このエルピスの直下に存在する。ラハブレア院が管理する施設だ。			「パンデモニウム」への警告							
その内部には、世界へ解き放つべきではないと判断された、危険な創造生物が、研究のために収容されている。			その内部には、世界へ解き放つべきではないと判断された、危険な創造生物が、研究のために収容されている。			「パンデモニウム」への警告							
むろん、厳重に管理されているのだが……つい先日のこと、施設周辺から異様なエーテルが検知されるとともに、内部との通信が途絶してしまったんだ。			むろん、厳重に管理されているのだが……つい先日のこと、施設周辺から異様なエーテルが検知されるとともに、内部との通信が途絶してしまったんだ。			「パンデモニウム」への警告							
私は……十四人委員会絡みの組織の人間でね。今回の事態を受けて、調査に向かおうとしていたというわけさ。			私は……十四人委員会絡みの組織の人間でね。今回の事態を受けて、調査に向かおうとしていたというわけさ。			「パンデモニウム」への警告							
……そこで、ひとつ提案をさせてもらえないかい？			……そこで、ひとつ提案をさせてもらえないかい？			「パンデモニウム」への警告							
クローディエンが「パンデモニウム」の研究を始めたことで、彼の助手や協力者が、装備を交換してくれるようになりました。			クローディエンが「パンデモニウム」の研究を始めたことで、彼の助手や協力者が、装備を交換してくれるようになりました。			「パンデモニウム」への警告							
アポリア本部の「ミレニー」か、ラザハンの「ヨール」にアイテムを渡すことで、装備を入手できます。			アポリア本部の「ミレニー」か、ラザハンの「ヨール」にアイテムを渡すことで、装備を入手できます。			「パンデモニウム」への警告							
汐沫の庭のテミスは、冒険者に提案があるらしい。			汐沫の庭のテミスは、冒険者に提案があるらしい。			万魔殿へと至る							
テミスは冒険者の到来を予測しており、ともに調査へと向かいたいと考えていたらしい。エルピスのアナグノリシス天測園で「ラハブレア院の職員」と話そう。			テミスは冒険者の到来を予測しており、ともに調査へと向かいたいと考えていたらしい。エルピスのアナグノリシス天測園で「ラハブレア院の職員」と話そう。			万魔殿へと至る							
職員からパンデモニウムへと入る許可を得られた。エルピスのレーテー海にある転移装置の前で「テミス」と話そう。			職員からパンデモニウムへと入る許可を得られた。エルピスのレーテー海にある転移装置の前で「テミス」と話そう。			万魔殿へと至る							
パンデモニウムの結界に、何者かが攻撃を加えているらしい。内部で何が起きているかを突き止めるためにも、パンデモニウムの調査へと赴こう。※コンテンツファインダーから攻略に参加できます。			パンデモニウムの結界に、何者かが攻撃を加えているらしい。内部で何が起きているかを突き止めるためにも、パンデモニウムの調査へと赴こう。※コンテンツファインダーから攻略に参加できます。			万魔殿へと至る							
パンデモニウムから飛び出てきた青年「エリクトニオス」を倒した。パンデモニウム正門で、倒れているエリクトニオスの様子を見ている「テミス」と話そう。			パンデモニウムから飛び出てきた青年「エリクトニオス」を倒した。パンデモニウム正門で、倒れているエリクトニオスの様子を見ている「テミス」と話そう。			万魔殿へと至る							
エリクトニオスは、創造生物を必死に元の状態に戻そうとしていた仲間たちを、助けに向かいたいという。冒険者とテミスも、彼に協力してパンデモニウム内部へと向かうことになった。パンデモニウムの門前へと向かい、内部の様子を窺おう。			エリクトニオスは、創造生物を必死に元の状態に戻そうとしていた仲間たちを、助けに向かいたいという。冒険者とテミスも、彼に協力してパンデモニウム内部へと向かうことになった。パンデモニウムの門前へと向かい、内部の様子を窺おう。			万魔殿へと至る							
ラハブレア院の職員と話す			ラハブレア院の職員と話す			万魔殿へと至る							
テミスと話す			テミスと話す			万魔殿へと至る							
「万魔殿パンデモニウム：辺獄編1」を攻略			「万魔殿パンデモニウム：辺獄編1」を攻略			万魔殿へと至る							
テミスと話す			テミスと話す			万魔殿へと至る							
さて……私からの提案は、シンプルなものさ。目的地が同じなら、共にパンデモニウムへ向かおうじゃないか。ひとりよりふたりのほうが、調査の効率も上がるだろう？			さて……私からの提案は、シンプルなものさ。目的地が同じなら、共にパンデモニウムへ向かおうじゃないか。ひとりよりふたりのほうが、調査の効率も上がるだろう？			万魔殿へと至る							
私と一緒なら、パンデモニウムへ入る許可も簡単に得られるはずだ。それに君は……私が待ちわびていた「星」のようだしね。			私と一緒なら、パンデモニウムへ入る許可も簡単に得られるはずだ。それに君は……私が待ちわびていた「星」のようだしね。			万魔殿へと至る							
もともと私は、同じくパンデモニウムの異変を察知した同僚と、ふたりで調査へ向かおうとしていたんだよ。			もともと私は、同じくパンデモニウムの異変を察知した同僚と、ふたりで調査へ向かおうとしていたんだよ。			万魔殿へと至る							
だが、同僚の方が渋ってね。組織の人間がふたりも動けば、世間の注目を集めると言うのさ。そして、こうも言った……。			だが、同僚の方が渋ってね。組織の人間がふたりも動けば、世間の注目を集めると言うのさ。そして、こうも言った……。			万魔殿へと至る							
「大丈夫、自分に代わる星が君の前に現れるだろう」って。			「大丈夫、自分に代わる星が君の前に現れるだろう」って。			万魔殿へと至る							
その同僚というのが、君と見間違えた「友人」さ。彼女彼の言葉を信じて、待ち続けて正解だったよ……。			その同僚というのが、君と見間違えた「友人」さ。彼女彼の言葉を信じて、待ち続けて正解だったよ……。			万魔殿へと至る							
もっとも、空から降ってくるとは思わなかったけれどね。			もっとも、空から降ってくるとは思わなかったけれどね。			万魔殿へと至る							
ともかく、パンデモニウムへ入るには、施設を管理しているラハブレア院に許可をもらう必要がある。まずは、アナグノリシス天測園にいる職員のところへいこう。			ともかく、パンデモニウムへ入るには、施設を管理しているラハブレア院に許可をもらう必要がある。まずは、アナグノリシス天測園にいる職員のところへいこう。			万魔殿へと至る							
エルピスへ向かう前に、最低限の話は通しておいた。すぐに許可が下りるはずさ。			エルピスへ向かう前に、最低限の話は通しておいた。すぐに許可が下りるはずさ。			万魔殿へと至る							
十四人委員会発行の推薦どおり、パンデモニウムへの視察希望が……2名。ひとりは、随分と変わったエーテルをお持ちのようですな。			十四人委員会発行の推薦どおり、パンデモニウムへの視察希望が……2名。ひとりは、随分と変わったエーテルをお持ちのようですな。			万魔殿へと至る							
おふたりのエーテルを、こちらで登録させていただきます。これで以後、パンデモニウムへと至る転移装置の使用はもちろん、施設を囲む結界も、あなた方を阻むことはありません。			おふたりのエーテルを、こちらで登録させていただきます。これで以後、パンデモニウムへと至る転移装置の使用はもちろん、施設を囲む結界も、あなた方を阻むことはありません。			万魔殿へと至る							
ほら、言っただろう？私と一緒なら、簡単にパンデモニウムへ入れるって。これで君も、私と一緒に調査へと向かえるわけだ。			ほら、言っただろう？私と一緒なら、簡単にパンデモニウムへ入れるって。これで君も、私と一緒に調査へと向かえるわけだ。			万魔殿へと至る							
……入るのは結構ですが、内部の創造生物は貴重な実験体。「獄卒」たちの指示をちゃんと聞いてくださいますよう、お願いいたします。			……入るのは結構ですが、内部の創造生物は貴重な実験体。「獄卒」たちの指示をちゃんと聞いてくださいますよう、お願いいたします。			万魔殿へと至る							
「獄卒」は、パンデモニウム内で働く者たちのことさ。ずいぶんと禍々しい呼び名だが……それには理由があってね。			「獄卒」は、パンデモニウム内で働く者たちのことさ。ずいぶんと禍々しい呼び名だが……それには理由があってね。			万魔殿へと至る							
本来、世界にとって危険である創造生物は処分されるのが決まり。しかしラハブレア院では、まだ研究価値がある創造生物に限り、パンデモニウムに収容して、研究を行っております。			本来、世界にとって危険である創造生物は処分されるのが決まり。しかしラハブレア院では、まだ研究価値がある創造生物に限り、パンデモニウムに収容して、研究を行っております。			万魔殿へと至る							
当然、そうした創造生物を外部へ逃がすわけにはいきません……。「獄卒」は研究員ではなく、創造生物を施設内に縛り付け、厳重に監視を行う、番人なのです。			当然、そうした創造生物を外部へ逃がすわけにはいきません……。「獄卒」は研究員ではなく、創造生物を施設内に縛り付け、厳重に監視を行う、番人なのです。			万魔殿へと至る							
創造生物にとって、パンデモニウムはただの収容施設ではない。獄卒により、いっさいの自由を奪われた「大監獄」なのさ。			創造生物にとって、パンデモニウムはただの収容施設ではない。獄卒により、いっさいの自由を奪われた「大監獄」なのさ。			万魔殿へと至る							
……あなた方も、何の調査で向かうのか知りませんが、もし問題を見つけられましたら、すぐにご報告を。一応は、ラハブレア様に沙汰を仰がねばなりませんので。			……あなた方も、何の調査で向かうのか知りませんが、もし問題を見つけられましたら、すぐにご報告を。一応は、ラハブレア様に沙汰を仰がねばなりませんので。			万魔殿へと至る							
一応、か……。現状では、問題など何も起きていないという認識なのかい？			一応、か……。現状では、問題など何も起きていないという認識なのかい？			万魔殿へと至る							
獄卒たちからは、何の報告もありません。多少のエーテル的な揺らぎは観測されていますが……問題あれば、それこそすでにラハブレア様が動いているはずです。			獄卒たちからは、何の報告もありません。多少のエーテル的な揺らぎは観測されていますが……問題あれば、それこそすでにラハブレア様が動いているはずです。			万魔殿へと至る							
……なるほどね。あのラハブレアが、管轄下のパンデモニウムの状況を、把握していないはずがない、と。			……なるほどね。あのラハブレアが、管轄下のパンデモニウムの状況を、把握していないはずがない、と。			万魔殿へと至る							
……「あの」と言うあたり、こちらの御方は、ずいぶんと、ラハブレア様のことをご存知のようですな。あなた方……もしや、ラハブレア様になにか縁でも？			……「あの」と言うあたり、こちらの御方は、ずいぶんと、ラハブレア様のことをご存知のようですな。あなた方……もしや、ラハブレア様になにか縁でも？			万魔殿へと至る							
何と言う？			何と言う？			万魔殿へと至る							
彼とは面識がある			彼とは面識がある			万魔殿へと至る							
ラハブレアのことはよく知っている……			ラハブレアのことはよく知っている……			万魔殿へと至る							
……使い魔と思しき貴方も、ラハブレア様と対面しているとは。他者と積極的に交流するような御方ではありませんので、かなり、稀有な体験をなさっていますね。			……使い魔と思しき貴方も、ラハブレア様と対面しているとは。他者と積極的に交流するような御方ではありませんので、かなり、稀有な体験をなさっていますね。			万魔殿へと至る							
……本当に、珍しい方々だ。ラハブレア様は、他者に自身のことを話す御方ではない……。あの御人について詳しく知る者など、そうはいませんから。			……本当に、珍しい方々だ。ラハブレア様は、他者に自身のことを話す御方ではない……。あの御人について詳しく知る者など、そうはいませんから。			万魔殿へと至る							
ともかく、ラハブレア様は十四人委員会に名を連ねる御方……。その活動の害となる行動は厳に慎むよう、お願いいたします。			ともかく、ラハブレア様は十四人委員会に名を連ねる御方……。その活動の害となる行動は厳に慎むよう、お願いいたします。			万魔殿へと至る							
さあ、いよいよパンデモニウムを拝むときがきたよ。転移装置は、ここから北東の浮島にあるらしい。さっそく、向かおうじゃないか……！			さあ、いよいよパンデモニウムを拝むときがきたよ。転移装置は、ここから北東の浮島にあるらしい。さっそく、向かおうじゃないか……！			万魔殿へと至る							
パンデモニウムへと至る転移装置は、北東の浮島です。……急がないと、置いていかれますよ？			パンデモニウムへと至る転移装置は、北東の浮島です。……急がないと、置いていかれますよ？			万魔殿へと至る							
これが、転移装置だね。しかし……君もラハブレアと面識があったとは。ますます君に興味が湧いてきたよ。			これが、転移装置だね。しかし……君もラハブレアと面識があったとは。ますます君に興味が湧いてきたよ。			万魔殿へと至る							
でも、先ほど言ったとおり……今はまだ、お互いこれ以上の詮索は止めておくとしよう。			でも、先ほど言ったとおり……今はまだ、お互いこれ以上の詮索は止めておくとしよう。			万魔殿へと至る							
時が来れば、私たちはもっと理解し合えるはずさ。この出会いが運命なのなら、ね。			時が来れば、私たちはもっと理解し合えるはずさ。この出会いが運命なのなら、ね。			万魔殿へと至る							
今は、パンデモニウムへ。私も実際に足を踏み入れるのは初めてなんだ。さあ、いざ……！			今は、パンデモニウムへ。私も実際に足を踏み入れるのは初めてなんだ。さあ、いざ……！			万魔殿へと至る							
「パンデモニウム」へと転移しますか？			「パンデモニウム」へと転移しますか？			万魔殿へと至る							
