幻術士ギルドのエ・スミ・ヤンは冒険者に頼みがあるようだ。			幻術士ギルドのエ・スミ・ヤンは冒険者に頼みがあるようだ。			偉人の後継者							
どうして……僕が……？こ、こんなことって……！			どうして……僕が……？こ、こんなことって……！			偉人の後継者							
新しいジョブを修得しました！受け取ったソウルクリスタルを装備することで、ジョブチェンジができます。			新しいジョブを修得しました！受け取ったソウルクリスタルを装備することで、ジョブチェンジができます。			偉人の後継者							
ジョブチェンジしたあとには、「ギアセット」を登録してみましょう！現在の装備が記録され、即座に着替えられるようになります。			ジョブチェンジしたあとには、「ギアセット」を登録してみましょう！現在の装備が記録され、即座に着替えられるようになります。			偉人の後継者							
「ギアセット」の登録は、装備変更と同じ「マイキャラクター」の画面から行えます。			「ギアセット」の登録は、装備変更と同じ「マイキャラクター」の画面から行えます。			偉人の後継者							
キャンプ・トランキルのラヤ・オ・センナは冒険者にやらせたいことがあるようだ。			キャンプ・トランキルのラヤ・オ・センナは冒険者にやらせたいことがあるようだ。			森の嘆き							
ラヤ・オ・センナから依頼を受けた。中央森林のスカンポの安息所にある樹の「指定地点」を鎮めよう。			ラヤ・オ・センナから依頼を受けた。中央森林のスカンポの安息所にある樹の「指定地点」を鎮めよう。			森の嘆き							
スカンポの安息所にある、怒りに囚われた樹を鎮めた。南部森林のキャンプ・トランキルにいる「ラヤ・オ・センナ」に報告しよう。			スカンポの安息所にある、怒りに囚われた樹を鎮めた。南部森林のキャンプ・トランキルにいる「ラヤ・オ・センナ」に報告しよう。			森の嘆き							
ラヤ・オ・センナに報告した。精霊が怒りに囚われることと、黒衣森の乱れには密接な関係があると彼女は語った。その乱れを癒すための存在が白魔道士であり、角尊であるかどうかは関係ないというが、それを受け入れることのできない弟ア・ルン・センナのことを心配しているようだ。ア・ルン・センナに認めてもらえるよう、白魔道士として修業に励もう。※白魔道士のレベルが40以上になると、ラヤ・オ・センナから次の白魔道士クエストを受注することができます。			ラヤ・オ・センナに報告した。精霊が怒りに囚われることと、黒衣森の乱れには密接な関係があると彼女は語った。その乱れを癒すための存在が白魔道士であり、角尊であるかどうかは関係ないというが、それを受け入れることのできない弟ア・ルン・センナのことを心配しているようだ。ア・ルン・センナに認めてもらえるよう、白魔道士として修業に励もう。※白魔道士のレベルが40以上になると、ラヤ・オ・センナから次の白魔道士クエストを受注することができます。			森の嘆き							
スカンポの安息所の指定地点を鎮める			スカンポの安息所の指定地点を鎮める			森の嘆き							
キャンプ・トランキルのラヤ・オ・センナに報告			キャンプ・トランキルのラヤ・オ・センナに報告			森の嘆き							
へぇ……前より白魔道士らしい顔つきになってる。でもまだまだ、今のあんたは雛チョコボみたいなものよ？「鎮撫の儀」までに覚えること、いっぱいあるんだから。			へぇ……前より白魔道士らしい顔つきになってる。でもまだまだ、今のあんたは雛チョコボみたいなものよ？「鎮撫の儀」までに覚えること、いっぱいあるんだから。			森の嘆き							
そもそも、儀式をするためには、まず精霊と交感できるようにならないとね。			そもそも、儀式をするためには、まず精霊と交感できるようにならないとね。			森の嘆き							
ちょうど、「スカンポの安息所」の近くに、「長老の木」ほどの大きさではないけど、怒りに囚われた樹があるのよ。			ちょうど、「スカンポの安息所」の近くに、「長老の木」ほどの大きさではないけど、怒りに囚われた樹があるのよ。			森の嘆き							
この樹の精霊を鎮め、癒してあげてほしいの。樹に向かって手を掲げ、精霊の心と直接、交感するのよ。			この樹の精霊を鎮め、癒してあげてほしいの。樹に向かって手を掲げ、精霊の心と直接、交感するのよ。			森の嘆き							
その時、もしかしたら……精霊の怒りが、魔物を喚んでしまうかもしれないわ。でも、恐れないでForename。			その時、もしかしたら……精霊の怒りが、魔物を喚んでしまうかもしれないわ。でも、恐れないでForename。			森の嘆き							
まずは魔物を追いはらい、心を落ち着けて、樹の精霊と交感すれば……必ず怒りに囚われた心を鎮め、癒せるはずだから。			まずは魔物を追いはらい、心を落ち着けて、樹の精霊と交感すれば……必ず怒りに囚われた心を鎮め、癒せるはずだから。			森の嘆き							
あたしたち白魔道士の力は、癒しのための力よ。そのことを、決して忘れないで。			あたしたち白魔道士の力は、癒しのための力よ。そのことを、決して忘れないで。			森の嘆き							
……さっき、精霊の怒気が、ひとつ減ったのを感じたわ。見事にやり遂げたようね、Forename。			……さっき、精霊の怒気が、ひとつ減ったのを感じたわ。見事にやり遂げたようね、Forename。			森の嘆き							
精霊と交感して、その心を癒したことでわかったろうけど、黒衣森と精霊ってね、分けられないものなのよ。			精霊と交感して、その心を癒したことでわかったろうけど、黒衣森と精霊ってね、分けられないものなのよ。			森の嘆き							
今、黒衣森がおかしくなっているのも同じ……！本来なら少し森が傷ついても、精霊たちが調和を保つの。でも、精霊が怒りに囚われれば「敵」を排除しようとする。			今、黒衣森がおかしくなっているのも同じ……！本来なら少し森が傷ついても、精霊たちが調和を保つの。でも、精霊が怒りに囚われれば「敵」を排除しようとする。			森の嘆き							
「敵」とは、森にとっての異物……人もその内に含むのよ。だからこそ、長老の木に棲まう大精霊を鎮めなくては！私たち、白魔道士がね。			「敵」とは、森にとっての異物……人もその内に含むのよ。だからこそ、長老の木に棲まう大精霊を鎮めなくては！私たち、白魔道士がね。			森の嘆き							
そこには、種族や部族の違いなんて関係がないのよ。精霊と交感し、森を癒す……癒し手として、純粋にその「力」だけが求められるの。			そこには、種族や部族の違いなんて関係がないのよ。精霊と交感し、森を癒す……癒し手として、純粋にその「力」だけが求められるの。			森の嘆き							
……そこら辺、ア・ルンにもわかってほしいのよね。まったくあの子ってば、二十歳にもなろうっていうのに、伝統に縛られて、アッタマが固いんだから……。			……そこら辺、ア・ルンにもわかってほしいのよね。まったくあの子ってば、二十歳にもなろうっていうのに、伝統に縛られて、アッタマが固いんだから……。			森の嘆き							
そりゃ、「角尊」としての立場やプライドにこだわるア・ルンの気持ちはわかるわよ……？			そりゃ、「角尊」としての立場やプライドにこだわるア・ルンの気持ちはわかるわよ……？			森の嘆き							
でも実際問題、それじゃ解決できない問題はあるんだもの。そろそろ、あの子にも納得してもらわないと……。			でも実際問題、それじゃ解決できない問題はあるんだもの。そろそろ、あの子にも納得してもらわないと……。			森の嘆き							
……よし、少し時間をくれる？あんたのことをア・ルンが認められるように、ちょっと方法を考えてみるわ。			……よし、少し時間をくれる？あんたのことをア・ルンが認められるように、ちょっと方法を考えてみるわ。			森の嘆き							
敵の気配を感じた！！			敵の気配を感じた！！			森の嘆き							
その行動は出現した敵を倒さないと実行できません			その行動は出現した敵を倒さないと実行できません			森の嘆き							
キャンプ・トランキルのラヤ・オ・センナは冒険者に頼みがあるようだ。			キャンプ・トランキルのラヤ・オ・センナは冒険者に頼みがあるようだ。			角尊の誇り							
ラヤ・オ・センナから依頼を受けた。東部森林の茨の森にいる「ア・ルン・センナ」と話そう。			ラヤ・オ・センナから依頼を受けた。東部森林の茨の森にいる「ア・ルン・センナ」と話そう。			角尊の誇り							
ア・ルン・センナと話した。東部森林の茨の森にある樹の「指定地点」と交感しよう。			ア・ルン・センナと話した。東部森林の茨の森にある樹の「指定地点」と交感しよう。			角尊の誇り							
茨の森にある樹を鎮めた。南部森林のキャンプ・トランキルにいる「ラヤ・オ・センナ」に報告しよう。			茨の森にある樹を鎮めた。南部森林のキャンプ・トランキルにいる「ラヤ・オ・センナ」に報告しよう。			角尊の誇り							
ラヤ・オ・センナに報告した。ラヤ・オ・センナは、ア・ルン・センナが納得したことで、いよいよ大精霊を鎮める儀式の準備に入ると語った。儀式の準備に備えて、修行を怠らないようにしよう。※白魔道士のレベルが45以上になると、ラヤ・オ・センナから次の白魔道士クエストを受注することができます。			ラヤ・オ・センナに報告した。ラヤ・オ・センナは、ア・ルン・センナが納得したことで、いよいよ大精霊を鎮める儀式の準備に入ると語った。儀式の準備に備えて、修行を怠らないようにしよう。※白魔道士のレベルが45以上になると、ラヤ・オ・センナから次の白魔道士クエストを受注することができます。			角尊の誇り							
茨の森のア・ルン・センナと話す			茨の森のア・ルン・センナと話す			角尊の誇り							
指定地点を鎮める			指定地点を鎮める			角尊の誇り							
キャンプ・トランキルのラヤ・オ・センナと話す			キャンプ・トランキルのラヤ・オ・センナと話す			角尊の誇り							
Forename、頼みたいことがあるのよ。ア・ルンについての話なんだけど、いいかしら？			Forename、頼みたいことがあるのよ。ア・ルンについての話なんだけど、いいかしら？			角尊の誇り							
ア・ルンが「角尊」じゃないあんたのことを、頑固に受け入れていないことは知ってるでしょう？			ア・ルンが「角尊」じゃないあんたのことを、頑固に受け入れていないことは知ってるでしょう？			角尊の誇り							
もう、あたしが何を言っても聞かないのよね。余計に話がこじれちゃうだけで……。			もう、あたしが何を言っても聞かないのよね。余計に話がこじれちゃうだけで……。			角尊の誇り							
それであの子、あんたが要らないことを実証しようとして、ひとりであちこち出向いて、精霊を鎮めて回ってるの。			それであの子、あんたが要らないことを実証しようとして、ひとりであちこち出向いて、精霊を鎮めて回ってるの。			角尊の誇り							
精霊を鎮めるのは簡単なことじゃないのに……。あんな無茶を続けてたら、いつか倒れちゃうわ。心配よ……あの子は、周りが見えないところがあるし。			精霊を鎮めるのは簡単なことじゃないのに……。あんな無茶を続けてたら、いつか倒れちゃうわ。心配よ……あの子は、周りが見えないところがあるし。			角尊の誇り							
……お願い、Forename。ア・ルンのことを、助けてあげてくれない？			……お願い、Forename。ア・ルンのことを、助けてあげてくれない？			角尊の誇り							
それに、あの子のことを助ければ、ア・ルンもあんたのことを認めるようになるかも。			それに、あの子のことを助ければ、ア・ルンもあんたのことを認めるようになるかも。			角尊の誇り							
今、ア・ルンは「茨の森」に行ってるはずよ。あの子に何かあったら、カヌ・エ姉さまに顔向けできない。頼むわね、Forename！			今、ア・ルンは「茨の森」に行ってるはずよ。あの子に何かあったら、カヌ・エ姉さまに顔向けできない。頼むわね、Forename！			角尊の誇り							
き、君は……Forename！ラヤ・オ姉さまが、よこしたんだね？			き、君は……Forename！ラヤ・オ姉さまが、よこしたんだね？			角尊の誇り							
はは……なんかみっともないところ、見られちゃったな。せめてあと1本……精霊の古木を癒そうと思ったのに、疲れ果てて、一歩も歩けなくなっちゃったよ……。			はは……なんかみっともないところ、見られちゃったな。せめてあと1本……精霊の古木を癒そうと思ったのに、疲れ果てて、一歩も歩けなくなっちゃったよ……。			角尊の誇り							
もう、癒すべき樹は目の前だっていうのに……足がいうことを聞かないなんて……！			もう、癒すべき樹は目の前だっていうのに……足がいうことを聞かないなんて……！			角尊の誇り							
……ちゃんと、精霊を鎮めたんだね。			……ちゃんと、精霊を鎮めたんだね。			角尊の誇り							
一応……手伝ってくれてありがとう、と言っておくよ。でも、僕はやっぱり……。			一応……手伝ってくれてありがとう、と言っておくよ。でも、僕はやっぱり……。			角尊の誇り							
ア・ルン、本当はわかっているんでしょう？			ア・ルン、本当はわかっているんでしょう？			角尊の誇り							
ラヤ・オ姉さまっ！？どうして、ここに！？			ラヤ・オ姉さまっ！？どうして、ここに！？			角尊の誇り							
あんたたちが心配で、追いかけてきたのよ。どうせ、素直になれないだろうと思ってたし。			あんたたちが心配で、追いかけてきたのよ。どうせ、素直になれないだろうと思ってたし。			角尊の誇り							
ア・ルン……大事なことを見失ってない？			ア・ルン……大事なことを見失ってない？			角尊の誇り							
いい、大切なのは大精霊を鎮めることよ？黒衣森を元通りに、平和で静かな森に戻すことよ？			いい、大切なのは大精霊を鎮めることよ？黒衣森を元通りに、平和で静かな森に戻すことよ？			角尊の誇り							
だったら角尊だ何だなんてのは、小さいことじゃない。こだわってたら、肝心なときに失敗しちゃうわ。			だったら角尊だ何だなんてのは、小さいことじゃない。こだわってたら、肝心なときに失敗しちゃうわ。			角尊の誇り							
う、うん……。			う、うん……。			角尊の誇り							
ふぅ、ようやく納得してくれたみたいね。あたしたちがやるべきは、大精霊を鎮めること。そのために……3人で儀式をやる、そういうことよ。			ふぅ、ようやく納得してくれたみたいね。あたしたちがやるべきは、大精霊を鎮めること。そのために……3人で儀式をやる、そういうことよ。			角尊の誇り							
じゃ、「キャンプ・トランキル」に戻るわよ。ここはもう大丈夫、心配いらないわ。			じゃ、「キャンプ・トランキル」に戻るわよ。ここはもう大丈夫、心配いらないわ。			角尊の誇り							
ア・ルンが頑なだったのにも、理由はあるのよ。それは……白魔法が「森を守るための力」であると同時に、「森を滅ぼせる禁忌の力」でもあるからなの。			ア・ルンが頑なだったのにも、理由はあるのよ。それは……白魔法が「森を守るための力」であると同時に、「森を滅ぼせる禁忌の力」でもあるからなの。			角尊の誇り							
……今から3000年ほど昔、「第五星暦」のころの話よ。当時は、恐ろしい「第五霊災」の寒波の名残で、今と比べ物にならないくらい、世界は冷えきっていた。			……今から3000年ほど昔、「第五星暦」のころの話よ。当時は、恐ろしい「第五霊災」の寒波の名残で、今と比べ物にならないくらい、世界は冷えきっていた。			角尊の誇り							
それを乗り越えるために、人々は「魔法」を手にした……「第五星暦」っていうのはね、そんな時代だったの。			それを乗り越えるために、人々は「魔法」を手にした……「第五星暦」っていうのはね、そんな時代だったの。			角尊の誇り							
人々は寒さをしのぐため、異種族との戦いのため、そして何より富と繁栄のために、より強い魔法を求めた。			人々は寒さをしのぐため、異種族との戦いのため、そして何より富と繁栄のために、より強い魔法を求めた。			角尊の誇り							
それが破壊をもたらす禁呪、「黒魔法」よ。そして時を同じくして、黒魔法への抑止力ともなり、癒しと浄化に用いるべく編み出された魔法があった。			それが破壊をもたらす禁呪、「黒魔法」よ。そして時を同じくして、黒魔法への抑止力ともなり、癒しと浄化に用いるべく編み出された魔法があった。			角尊の誇り							
わかるでしょう、それが「白魔法」ね。人々はふたつの強大な魔法の力を手に入れ、その文明は栄華を極めた。			わかるでしょう、それが「白魔法」ね。人々はふたつの強大な魔法の力を手に入れ、その文明は栄華を極めた。			角尊の誇り							
でも、時が経つにつれて……白魔道士たちですら、さらなる繁栄のために白魔法を濫用し、森を汚しはじめた。			でも、時が経つにつれて……白魔道士たちですら、さらなる繁栄のために白魔法を濫用し、森を汚しはじめた。			角尊の誇り							
強大な魔法は、膨大なエーテルを消費するわ。濫用すれば、エーテルが枯れ果て、土地は荒廃する。それは白魔法の行使でも、例外じゃないの。			強大な魔法は、膨大なエーテルを消費するわ。濫用すれば、エーテルが枯れ果て、土地は荒廃する。それは白魔法の行使でも、例外じゃないの。			角尊の誇り							
だから、エーテルを枯渇させる一因である白魔法は、癒しの力でありながら、禁忌とされたってわけ。……でも、たったひとつだけ例外があった。			だから、エーテルを枯渇させる一因である白魔法は、癒しの力でありながら、禁忌とされたってわけ。……でも、たったひとつだけ例外があった。			角尊の誇り							
それが……あたしたち角尊なのよ。ア・ルンはね、白魔法を伝承してきた存在の末裔として、角尊であることに、責任と誇りを感じているのよ……。			それが……あたしたち角尊なのよ。ア・ルンはね、白魔法を伝承してきた存在の末裔として、角尊であることに、責任と誇りを感じているのよ……。			角尊の誇り							
でも、ア・ルンもあんたの実力を見たら、なんとか納得してくれたようだし……これで本格的に、「鎮撫の儀」の準備ができるわね。			でも、ア・ルンもあんたの実力を見たら、なんとか納得してくれたようだし……これで本格的に、「鎮撫の儀」の準備ができるわね。			角尊の誇り							
「長老の木」に宿る大精霊が、まだ完全に怒りに呑まれていないとはいえ、儀式は早いに越したことはないわ。			「長老の木」に宿る大精霊が、まだ完全に怒りに呑まれていないとはいえ、儀式は早いに越したことはないわ。			角尊の誇り							
元の静謐(せいひつ)な黒衣森を取り戻すためにも、あたしたち全員が協力し合うことが大事よ、いいわね？			元の静謐(せいひつ)な黒衣森を取り戻すためにも、あたしたち全員が協力し合うことが大事よ、いいわね？			角尊の誇り							
あんたが受け継いだ「ソウルクリスタル」の持ち主、ア・トワ・カント様も、そう望んでいるに違いないわ。			あんたが受け継いだ「ソウルクリスタル」の持ち主、ア・トワ・カント様も、そう望んでいるに違いないわ。			角尊の誇り							
敵の気配を感じた！！			敵の気配を感じた！！			角尊の誇り							
その行動は出現した敵を倒さないと実行できません			その行動は出現した敵を倒さないと実行できません			角尊の誇り							
キャンプ・トランキルのラヤ・オ・センナは、冒険者に伝えたいことがあるようだ。			キャンプ・トランキルのラヤ・オ・センナは、冒険者に伝えたいことがあるようだ。			偉人の足跡							
