ラザハンの小さな少年は、頼みたいことがあるようだ。			ラザハンの小さな少年は、頼みたいことがあるようだ。			紳士の長い眠り							
こうして帰ってきたまでは良かったんですが……なぜか、ヒルディブランド様が気絶したまま目覚めないんです～！			こうして帰ってきたまでは良かったんですが……なぜか、ヒルディブランド様が気絶したまま目覚めないんです～！			紳士の長い眠り							
寝る子は育つと言うそうですが、いくらなんでも眠り過ぎなんで、いい加減、起こしてあげたいんですよ～。			寝る子は育つと言うそうですが、いくらなんでも眠り過ぎなんで、いい加減、起こしてあげたいんですよ～。			紳士の長い眠り							
だから、ナシュの特製お薬を試していたんですが、まったく効果がなくて……			だから、ナシュの特製お薬を試していたんですが、まったく効果がなくて……			紳士の長い眠り							
でもでも、いっしょに「事件の狭間」に行った、マントラ商会の主、「チュパカブラ」さんが、協力を申し出てくれたんですよ～。			でもでも、いっしょに「事件の狭間」に行った、マントラ商会の主、「チュパカブラ」さんが、協力を申し出てくれたんですよ～。			紳士の長い眠り							
ご無沙汰してます。サジャトラ商会の主、「ジュブラカ」です。			ご無沙汰してます。サジャトラ商会の主、「ジュブラカ」です。			紳士の長い眠り							
そ、そんな怖い顔しないでください。「次元の狭間」で散々な思いをして、私も改心したんです。			そ、そんな怖い顔しないでください。「次元の狭間」で散々な思いをして、私も改心したんです。			紳士の長い眠り							
悪事を働いて、あなたにも多大なご迷惑をおかけしたこと、大変、申し訳ございませんでした。			悪事を働いて、あなたにも多大なご迷惑をおかけしたこと、大変、申し訳ございませんでした。			紳士の長い眠り							
きちんと罪を償い、いまは心を入れ替えて、ラザハンでまじめに薬屋を営んでいます。			きちんと罪を償い、いまは心を入れ替えて、ラザハンでまじめに薬屋を営んでいます。			紳士の長い眠り							
ナシュさんにも埋め合わせをと思い、この工房を紹介しました。ヒルディブランドさんが快復されるまで、協力は惜しみませんよ。			ナシュさんにも埋め合わせをと思い、この工房を紹介しました。ヒルディブランドさんが快復されるまで、協力は惜しみませんよ。			紳士の長い眠り							
では、私は仕事があるので、これにて失礼します……。			では、私は仕事があるので、これにて失礼します……。			紳士の長い眠り							
そうだ～、新たなお薬が完成したところでした！次こそきっと目覚めてくれますよ……！			そうだ～、新たなお薬が完成したところでした！次こそきっと目覚めてくれますよ……！			紳士の長い眠り							
何と言う？			何と言う？			紳士の長い眠り							
ヒルディブランドの容態が診たい			ヒルディブランドの容態が診たい			紳士の長い眠り							
お薬では目覚めないかも			お薬では目覚めないかも			紳士の長い眠り							
わかりました～。ヒルディブランド様は、カーマ区の部屋に寝かせてあるので、さっそく向かいましょう～！			わかりました～。ヒルディブランド様は、カーマ区の部屋に寝かせてあるので、さっそく向かいましょう～！			紳士の長い眠り							
そうですか～？だとしたら、冒険者さんにも、その容態を診てもらった方がよさそうですね。			そうですか～？だとしたら、冒険者さんにも、その容態を診てもらった方がよさそうですね。			紳士の長い眠り							
ヒルディブランド様は、カーマ区の部屋に寝かせてあるので、さっそく向かいましょう～！			ヒルディブランド様は、カーマ区の部屋に寝かせてあるので、さっそく向かいましょう～！			紳士の長い眠り							
やあ、彼女は君の友達だったのか。家賃を払ってもらったんで、部屋の一角を貸しているんだ。昏睡状態の彼、早く快復するといいね……。			やあ、彼女は君の友達だったのか。家賃を払ってもらったんで、部屋の一角を貸しているんだ。昏睡状態の彼、早く快復するといいね……。			紳士の長い眠り							
この部屋も、チュパカブラさんが手配してくれたんですよ。では、さっそくヒルディブランド様の容態を診てください～。			この部屋も、チュパカブラさんが手配してくれたんですよ。では、さっそくヒルディブランド様の容態を診てください～。			紳士の長い眠り							
ヒルディブランドの観察を開始します。気になる部分にズームし、左クリック[???]ボタン/[???]ボタンで確認しましょう！			ヒルディブランドの観察を開始します。気になる部分にズームし、左クリック[???]ボタン/[???]ボタンで確認しましょう！			紳士の長い眠り							
この症状には見覚えがある。「未明の間」で寝かされていた賢人たちと同じだ……。			この症状には見覚えがある。「未明の間」で寝かされていた賢人たちと同じだ……。			紳士の長い眠り							
ハッ……。			ハッ……。			紳士の長い眠り							
ヒルディブランド様の容態、どうでしたか～？			ヒルディブランド様の容態、どうでしたか～？			紳士の長い眠り							
何と言う？			何と言う？			紳士の長い眠り							
「魂」が抜けたのかもしれない			「魂」が抜けたのかもしれない			紳士の長い眠り							
誰かに「喚ばれた」のかもしれない			誰かに「喚ばれた」のかもしれない			紳士の長い眠り							
う～ん……ナシュ、よくわからないです～。どうすれば、ヒルディブランド様は目覚めるんでしょう？			う～ん……ナシュ、よくわからないです～。どうすれば、ヒルディブランド様は目覚めるんでしょう？			紳士の長い眠り							
タマシイを肉体に戻す？だとしたら、そのタマシイはどこに行っちゃったんですか～？			タマシイを肉体に戻す？だとしたら、そのタマシイはどこに行っちゃったんですか～？			紳士の長い眠り							
何と言う？			何と言う？			紳士の長い眠り							
おそらく、第一世界			おそらく、第一世界			紳士の長い眠り							
この世界とは別の異世界			この世界とは別の異世界			紳士の長い眠り							
う～ん、やっぱりよくわかりませんが、冒険者さんはその世界に行くことができるんですか～？			う～ん、やっぱりよくわかりませんが、冒険者さんはその世界に行くことができるんですか～？			紳士の長い眠り							
さすがです～！ヒルディブランド様のタマシイの捜索をお願いします～！			さすがです～！ヒルディブランド様のタマシイの捜索をお願いします～！			紳士の長い眠り							
では、その世界に行ったら、人や事件が集まりそうな場所で聞き込みしてください。それが事件屋の基礎ですからね～。			では、その世界に行ったら、人や事件が集まりそうな場所で聞き込みしてください。それが事件屋の基礎ですからね～。			紳士の長い眠り							
それと、ヒルディブランド様のことですから、向こうでも、眠っていたり記憶を失っていたりするかもしれません。			それと、ヒルディブランド様のことですから、向こうでも、眠っていたり記憶を失っていたりするかもしれません。			紳士の長い眠り							
そんなときのために、「ナシュの特製お薬」を持っていってください！それじゃあ、よろしくお願いします～！			そんなときのために、「ナシュの特製お薬」を持っていってください！それじゃあ、よろしくお願いします～！			紳士の長い眠り							
ヒルディブランド様が、眠っていたり記憶を失っていたりしたら、遠慮なく、「ナシュの特製お薬」を使ってくださいね～。			ヒルディブランド様が、眠っていたり記憶を失っていたりしたら、遠慮なく、「ナシュの特製お薬」を使ってくださいね～。			紳士の長い眠り							
よっ、お前さんか。どうした、一杯やりにきたわけじゃなさそうだな……？			よっ、お前さんか。どうした、一杯やりにきたわけじゃなさそうだな……？			紳士の長い眠り							
……なるほど、つまりは人探しってことだな。そいつの特徴を言ってみてくれるか？			……なるほど、つまりは人探しってことだな。そいつの特徴を言ってみてくれるか？			紳士の長い眠り							
何と言う？			何と言う？			紳士の長い眠り							
片眼鏡をつけたヒュム族だ			片眼鏡をつけたヒュム族だ			紳士の長い眠り							
ボロボロの服を着ているはず			ボロボロの服を着ているはず			紳士の長い眠り							
その特徴なら聞き覚えがあるぞ……。確か賞金稼ぎの連中が、光り輝く幻影との戦いの折に、そんな男を見かけたと言っていたはずだ。			その特徴なら聞き覚えがあるぞ……。確か賞金稼ぎの連中が、光り輝く幻影との戦いの折に、そんな男を見かけたと言っていたはずだ。			紳士の長い眠り							
おい、ジオット！こっちに来て、こいつの話を聞いてくれ……！			おい、ジオット！こっちに来て、こいつの話を聞いてくれ……！			紳士の長い眠り							
まったく、気分良く呑んでおったというのに……			まったく、気分良く呑んでおったというのに……			紳士の長い眠り							
誰かと思ったら、Forenameではないか。ワシに何の話じゃ？			誰かと思ったら、Forenameではないか。ワシに何の話じゃ？			紳士の長い眠り							
お前さんは……見覚えがあるのう。そうか、あの時のピカピカ野郎との戦いのときに見かけたの！ワシに何の話じゃ？			お前さんは……見覚えがあるのう。そうか、あの時のピカピカ野郎との戦いのときに見かけたの！ワシに何の話じゃ？			紳士の長い眠り							
ふむ……。確かに、あの戦場でお前さんらと別れたあと、そんな特徴の男を見かけたぞい。			ふむ……。確かに、あの戦場でお前さんらと別れたあと、そんな特徴の男を見かけたぞい。			紳士の長い眠り							
そやつは、ほかのピカピカ野郎と違って襲ってくることもなく、「おかしなポーズ」をきめておったのじゃが……			そやつは、ほかのピカピカ野郎と違って襲ってくることもなく、「おかしなポーズ」をきめておったのじゃが……			紳士の長い眠り							
怪しかったもんで、とりあえず始末しておいたわい！			怪しかったもんで、とりあえず始末しておいたわい！			紳士の長い眠り							
その後のことは知らん。もういいじゃろう、ワシは呑むのに忙しいもんでの……。			その後のことは知らん。もういいじゃろう、ワシは呑むのに忙しいもんでの……。			紳士の長い眠り							
(-？？？？-)こ、これは「闇の戦士」様……！			(-？？？？-)こ、これは「闇の戦士」様……！			紳士の長い眠り							
お久しぶりです、先ほどから話が聞こえていたのですが、まさか、あなただったとは……。			お久しぶりです、先ほどから話が聞こえていたのですが、まさか、あなただったとは……。			紳士の長い眠り							
突然、すみません。「おかしなポーズ」をしていたと耳に入り、それが、探している男の特徴と同じだったもので……。			突然、すみません。「おかしなポーズ」をしていたと耳に入り、それが、探している男の特徴と同じだったもので……。			紳士の長い眠り							
なんでも、レイクランドに不審な男が現れたそうで、自分たちが調査を頼まれていたのです。			なんでも、レイクランドに不審な男が現れたそうで、自分たちが調査を頼まれていたのです。			紳士の長い眠り							
そして、その不審者の特徴が、「おかしなポーズ」をするというものなんですよ。			そして、その不審者の特徴が、「おかしなポーズ」をするというものなんですよ。			紳士の長い眠り							
まだ、これといった被害こそ出ていませんが、大事になる前に、捕まえたいと思っています。もしや、あなたも不審者の調査を？			まだ、これといった被害こそ出ていませんが、大事になる前に、捕まえたいと思っています。もしや、あなたも不審者の調査を？			紳士の長い眠り							
いや、それは違う。こいつは、人探しに来たんだ……。			いや、それは違う。こいつは、人探しに来たんだ……。			紳士の長い眠り							
何と言う？			何と言う？			紳士の長い眠り							
尋ね人は、その不審者かも……			尋ね人は、その不審者かも……			紳士の長い眠り							
「おかしなポーズ」をする知人を探している			「おかしなポーズ」をする知人を探している			紳士の長い眠り							
お前さんの尋ね人と、セイラーたちが追う不審者の特徴が一致してると……。なら、一緒に探してみるってのはどうだ？			お前さんの尋ね人と、セイラーたちが追う不審者の特徴が一致してると……。なら、一緒に探してみるってのはどうだ？			紳士の長い眠り							
そ、それは、願ってもないことです！実は、これから目撃情報を集めに行こうとしていまして……			そ、それは、願ってもないことです！実は、これから目撃情報を集めに行こうとしていまして……			紳士の長い眠り							
目的地はレイクランドの「サレン郷」です。さっそく現地に向かい、村人たちから情報を集めてみましょう！			目的地はレイクランドの「サレン郷」です。さっそく現地に向かい、村人たちから情報を集めてみましょう！			紳士の長い眠り							
お前さんが探しているのは、いったいどんな奴なのか……よくわからんが、とにかく見つかるといいな。			お前さんが探しているのは、いったいどんな奴なのか……よくわからんが、とにかく見つかるといいな。			紳士の長い眠り							
不審者の調査というのは、小さな依頼ではありますが、人々のためなら、どんなことでも引き受けるようにしています。			不審者の調査というのは、小さな依頼ではありますが、人々のためなら、どんなことでも引き受けるようにしています。			紳士の長い眠り							
たかが不審者といっても侮れません。被害が出る前に、何とか捕まえないと……。			たかが不審者といっても侮れません。被害が出る前に、何とか捕まえないと……。			紳士の長い眠り							
ああ、例の不審者なら俺も遭遇した。オスタル厳命城に魚を売りに行く最中だったんだが、迷える羊飼いの森で出くわしたんだ。			ああ、例の不審者なら俺も遭遇した。オスタル厳命城に魚を売りに行く最中だったんだが、迷える羊飼いの森で出くわしたんだ。			紳士の長い眠り							
その異様な格好に、腰を抜かすほど驚いたんだが、ひたすら「おかしなポーズ」をしていてな。その隙に逃げ出したんで、何事もなかったよ。			その異様な格好に、腰を抜かすほど驚いたんだが、ひたすら「おかしなポーズ」をしていてな。その隙に逃げ出したんで、何事もなかったよ。			紳士の長い眠り							
噂の不審者のことを聞きたいって？私は森でキノコ狩りをしていたときに、その人に声をかけられたの。			噂の不審者のことを聞きたいって？私は森でキノコ狩りをしていたときに、その人に声をかけられたの。			紳士の長い眠り							
不気味な見た目にギョッとしたけど……この辺りは魔物の縄張りだから危険だって、私に忠告してくれたのよ。			不気味な見た目にギョッとしたけど……この辺りは魔物の縄張りだから危険だって、私に忠告してくれたのよ。			紳士の長い眠り							
見た目とは違って、とっても紳士的だったわ。			見た目とは違って、とっても紳士的だったわ。			紳士の長い眠り							
ほう、あの男の話を聞きたいのか。あれはクリアメルトに行った帰りのことじゃった。湯上がりに一杯ひっかけたわしは、森に迷い込んでしまっての。			ほう、あの男の話を聞きたいのか。あれはクリアメルトに行った帰りのことじゃった。湯上がりに一杯ひっかけたわしは、森に迷い込んでしまっての。			紳士の長い眠り							
日も暮れ始め焦っておったところ、わしの手を優しく引いてくれた者がおったのじゃ。			日も暮れ始め焦っておったところ、わしの手を優しく引いてくれた者がおったのじゃ。			紳士の長い眠り							
その男は、わしを森の外まで送ってくれてな、奇抜な出で立ちじゃったが、丁寧に一礼して去っていきおった。あんな「紳士的な不審者」、見たことないぞい！			その男は、わしを森の外まで送ってくれてな、奇抜な出で立ちじゃったが、丁寧に一礼して去っていきおった。あんな「紳士的な不審者」、見たことないぞい！			紳士の長い眠り							
異様な格好をした不審者は、ひたすら「おかしなポーズ」をしていたんだ。			異様な格好をした不審者は、ひたすら「おかしなポーズ」をしていたんだ。			紳士の長い眠り							
あの人は、私に忠告してくれたのよ。見た目こそ不気味だったけど、とっても紳士的だったわ。			あの人は、私に忠告してくれたのよ。見た目こそ不気味だったけど、とっても紳士的だったわ。			紳士の長い眠り							
あの「紳士的な不審者」は、わしを救ってくれたのじゃ。出で立ちは、ことのほか奇抜じゃったがな……。			あの「紳士的な不審者」は、わしを救ってくれたのじゃ。出で立ちは、ことのほか奇抜じゃったがな……。			紳士の長い眠り							
うーむ、いったいどういうことだ……？			うーむ、いったいどういうことだ……？			紳士の長い眠り							
聞き込みを終えたようですね。不審者について、どんな情報がありましたか……？			聞き込みを終えたようですね。不審者について、どんな情報がありましたか……？			紳士の長い眠り							
なるほど……。こちらが集めた情報でも、不審者は人に危害を加えることもなく、ときに人助けすらしたことがあったそうです。			なるほど……。こちらが集めた情報でも、不審者は人に危害を加えることもなく、ときに人助けすらしたことがあったそうです。			紳士の長い眠り							
そんなわけで「紳士的な不審者」などと、矛盾した呼び方をする者もいたほどでして……。			そんなわけで「紳士的な不審者」などと、矛盾した呼び方をする者もいたほどでして……。			紳士の長い眠り							
ともかく、皆、「迷える羊飼いの森」で遭遇しているようなので、その「紳士的な不審者」を探しにいきましょう。			ともかく、皆、「迷える羊飼いの森」で遭遇しているようなので、その「紳士的な不審者」を探しにいきましょう。			紳士の長い眠り							
「紳士的な不審者」とは、いったい……。			「紳士的な不審者」とは、いったい……。			紳士の長い眠り							
それにしても、この広い森の中で、どうやって「紳士的な不審者」を探しましょう？			それにしても、この広い森の中で、どうやって「紳士的な不審者」を探しましょう？			紳士の長い眠り							
さすがは「闇の戦士」様、なにかコツがあるようですね。あなたの一挙手一投足を真似させてもらいます。			さすがは「闇の戦士」様、なにかコツがあるようですね。あなたの一挙手一投足を真似させてもらいます。			紳士の長い眠り							
どうする？			どうする？			紳士の長い眠り							
「紳士の舞」を踊る			「紳士の舞」を踊る			紳士の長い眠り							
「事件屋のマンボ」を踊る			「事件屋のマンボ」を踊る			紳士の長い眠り							
(-聞き覚えのある声-)その舞には覚えがありますぞ……！			(-聞き覚えのある声-)その舞には覚えがありますぞ……！			紳士の長い眠り							
つ、罪喰い……！？			つ、罪喰い……！？			紳士の長い眠り							
いや、あれは……罪喰いじゃない！			いや、あれは……罪喰いじゃない！			紳士の長い眠り							
何と言う？			何と言う？			紳士の長い眠り							
ヒルディブランドだ！			ヒルディブランドだ！			紳士の長い眠り							
光の紳士だ！			光の紳士だ！			紳士の長い眠り							
(-フォーギヴン・ブランド-)ヒルディブランド……？いいえ、私の名は、フォーギヴン・ブランド。大胆不敵で知的な紳士の罪喰いなのです……。			(-フォーギヴン・ブランド-)ヒルディブランド……？いいえ、私の名は、フォーギヴン・ブランド。大胆不敵で知的な紳士の罪喰いなのです……。			紳士の長い眠り							
(-フォーギヴン・ブランド-)光の紳士……？いいえ、私の名は、フォーギヴン・ブランド。大胆不敵で知的な紳士の罪喰いなのです……。			(-フォーギヴン・ブランド-)光の紳士……？いいえ、私の名は、フォーギヴン・ブランド。大胆不敵で知的な紳士の罪喰いなのです……。			紳士の長い眠り							
何と言う？			何と言う？			紳士の長い眠り							
いいや、旅の事件屋、ヒルディブランドだ！			いいや、旅の事件屋、ヒルディブランドだ！			紳士の長い眠り							
いいや、大胆不敵で知的な紳士の事件屋だ！			いいや、大胆不敵で知的な紳士の事件屋だ！			紳士の長い眠り							
(-フォーギヴン・ブランド-)じけん……や……！？うぐ……じけん……じけんや……アガガガガガガガガガ。			(-フォーギヴン・ブランド-)じけん……や……！？うぐ……じけん……じけんや……アガガガガガガガガガ。			紳士の長い眠り							
なんと、彼はあなたのお知り合いなのですか？			なんと、彼はあなたのお知り合いなのですか？			紳士の長い眠り							
行方不明になり探していた、と……。しかし、自分のことを罪喰いだと思い込んでいるなんて、あまりに不憫です。			行方不明になり探していた、と……。しかし、自分のことを罪喰いだと思い込んでいるなんて、あまりに不憫です。			紳士の長い眠り							
どうにかして、記憶を取り戻させる方法はないものでしょうか？			どうにかして、記憶を取り戻させる方法はないものでしょうか？			紳士の長い眠り							
爆弾！？そんな、危ないですよ……！			爆弾！？そんな、危ないですよ……！			紳士の長い眠り							
た、た、大変だ！人を殺してしまったぁぁぁぁ！！			た、た、大変だ！人を殺してしまったぁぁぁぁ！！			紳士の長い眠り							
なんてことするのですか、冒険者殿！			なんてことするのですか、冒険者殿！			紳士の長い眠り							
おや、私はなぜこんなところに……？			おや、私はなぜこんなところに……？			紳士の長い眠り							
確かギルちゃんやナシュと一緒に、「事件の狭間」とかいう場所を彷徨っていたはずですが……			確かギルちゃんやナシュと一緒に、「事件の狭間」とかいう場所を彷徨っていたはずですが……			紳士の長い眠り							
……ここは、どこ？私は誰ですかな？			……ここは、どこ？私は誰ですかな？			紳士の長い眠り							
怪しいポーズに、怪しい輝き……さては、お前さんも連中の一味じゃな……！？			怪しいポーズに、怪しい輝き……さては、お前さんも連中の一味じゃな……！？			紳士の長い眠り							
ならば喰らえい、ドワーフパンチッ！グーっとやって………			ならば喰らえい、ドワーフパンチッ！グーっとやって………			紳士の長い眠り							
バァァァァァーン！！！			バァァァァァーン！！！			紳士の長い眠り							
つ、つ、罪喰いだぁぁぁぁ！			つ、つ、罪喰いだぁぁぁぁ！			紳士の長い眠り							
私は……ツミクイ……？			私は……ツミクイ……？			紳士の長い眠り							
その人の過去を視たぞ……。自分のことを、罪喰いだと勘違いする顛末を……。			その人の過去を視たぞ……。自分のことを、罪喰いだと勘違いする顛末を……。			紳士の長い眠り							
お前もか……。これまでに視た、どの過去の情景よりも、くだらないものを視てしまった気がするぞ……。			お前もか……。これまでに視た、どの過去の情景よりも、くだらないものを視てしまった気がするぞ……。			紳士の長い眠り							
冒険者殿、ここはいったいどこでしょう？			冒険者殿、ここはいったいどこでしょう？			紳士の長い眠り							
ダイイチ世界？なんと、この私が異世界に……！？			ダイイチ世界？なんと、この私が異世界に……！？			紳士の長い眠り							
まさか、見知らぬ異世界にまで、私の復活に駆けつけるファンがいるとは……！！			まさか、見知らぬ異世界にまで、私の復活に駆けつけるファンがいるとは……！！			紳士の長い眠り							
迷える羊飼いの森のヒルディブランドは、無駄に張り切っている。			迷える羊飼いの森のヒルディブランドは、無駄に張り切っている。			士女の再会							
ヒルディブランドの「魂」を原初世界に持ち帰るため、ベーク＝ラグを頼ることになった。クリスタリウムの博物陳列館にいる「セイラー」と話そう。			ヒルディブランドの「魂」を原初世界に持ち帰るため、ベーク＝ラグを頼ることになった。クリスタリウムの博物陳列館にいる「セイラー」と話そう。			士女の再会							
セイラーと話し、ベーク＝ラグにヒルディブランドの「魂」をソウル・サイフォンにこめてもらった。ラザハンのカーマ区にいる「ナシュ・マカラッカ」に、「紳士的なソウル・サイフォン」を渡そう。			セイラーと話し、ベーク＝ラグにヒルディブランドの「魂」をソウル・サイフォンにこめてもらった。ラザハンのカーマ区にいる「ナシュ・マカラッカ」に、「紳士的なソウル・サイフォン」を渡そう。			士女の再会							
