ヴォロク連王宮のエレンヴィルは、冒険者たちを待っていたようだ。			ヴォロク連王宮のエレンヴィルは、冒険者たちを待っていたようだ。			継承の儀							
ウクラマト、「探してくる」とか言ったけど、どこで何を探してくるのかしら？			ウクラマト、「探してくる」とか言ったけど、どこで何を探してくるのかしら？			継承の儀							
ウクラマトの名義で予約してあるはずだ。悪いが、こいつらを案内してやってくれ。			ウクラマトの名義で予約してあるはずだ。悪いが、こいつらを案内してやってくれ。			継承の儀							
かしこまりました。			かしこまりました。			継承の儀							
俺はウクラマトを探してくる。お前たちは、部屋で荷ほどきでもして準備を整えた後、シャバーブチェのそばまで来てくれ。			俺はウクラマトを探してくる。お前たちは、部屋で荷ほどきでもして準備を整えた後、シャバーブチェのそばまで来てくれ。			継承の儀							
では、皆さん、あらためまして……ようこそ、「フォルアード・キャビンズ」へ！			では、皆さん、あらためまして……ようこそ、「フォルアード・キャビンズ」へ！			継承の儀							
お部屋をご利用の際は、私までお申しつけくださいませ。			お部屋をご利用の際は、私までお申しつけくださいませ。			継承の儀							
出発の準備を終え、ここで仲間を待ちますか？			出発の準備を終え、ここで仲間を待ちますか？			継承の儀							
お待たせ。こっちはいつでも出発できるわよ。			お待たせ。こっちはいつでも出発できるわよ。			継承の儀							
って、ウクラマトとエレンヴィルがまだみたいね。			って、ウクラマトとエレンヴィルがまだみたいね。			継承の儀							
よっ、みんな揃ってるな。			よっ、みんな揃ってるな。			継承の儀							
そちらは？			そちらは？			継承の儀							
旅先の情報がほしいなら、そこの出身者から話を聞いた方が早いと思ってよ。協力してくれる奴を探して連れてきた。			旅先の情報がほしいなら、そこの出身者から話を聞いた方が早いと思ってよ。協力してくれる奴を探して連れてきた。			継承の儀							
やれやれ、行動力だけはある奴だ。			やれやれ、行動力だけはある奴だ。			継承の儀							
「だけ」は余計だ！			「だけ」は余計だ！			継承の儀							
王女の手助けができるなんて、とても、とても、光栄ですよ。			王女の手助けができるなんて、とても、とても、光栄ですよ。			継承の儀							
私で良ければ、何でも聞いてよ。どこに転がっているかわからないからね、商機は。			私で良ければ、何でも聞いてよ。どこに転がっているかわからないからね、商機は。			継承の儀							
ありがとよ、ふたりとも！			ありがとよ、ふたりとも！			継承の儀							
そうだ、彼らから話を聞く前に、ウクラマトとエレンヴィルに、これを渡しておくよ。今回のように別行動を取るなら、持っておいた方がいいからね。			そうだ、彼らから話を聞く前に、ウクラマトとエレンヴィルに、これを渡しておくよ。今回のように別行動を取るなら、持っておいた方がいいからね。			継承の儀							
なんだよ、これ？			なんだよ、これ？			継承の儀							
リンクパールという、特別な巻き貝から採れる宝珠さ。同じ貝から採れたもの同士を持っていれば、離れていても会話ができるんだ。			リンクパールという、特別な巻き貝から採れる宝珠さ。同じ貝から採れたもの同士を持っていれば、離れていても会話ができるんだ。			継承の儀							
へぇー！　そりゃ便利だな！			へぇー！　そりゃ便利だな！			継承の儀							
それじゃあ、便利なものをもらったところで、話を戻すぞ。まずは、ふたりの協力者のことを紹介させてもらうぜ！			それじゃあ、便利なものをもらったところで、話を戻すぞ。まずは、ふたりの協力者のことを紹介させてもらうぜ！			継承の儀							
あなたは、どちらの部族の方に興味があるのかしら？			あなたは、どちらの部族の方に興味があるのかしら？			継承の儀							
ふたりの王子と比べれば、経験や実績は劣ってるが、親しみやすさという点では、ウクラマトに分がある。だから協力者も、すぐに見つけられるわけだな。			ふたりの王子と比べれば、経験や実績は劣ってるが、親しみやすさという点では、ウクラマトに分がある。だから協力者も、すぐに見つけられるわけだな。			継承の儀							
やはり、ハヌハヌ族はバヌバヌ族とよく似ているね。羽根の鮮やかさは、ずいぶんと違うようだけれど。			やはり、ハヌハヌ族はバヌバヌ族とよく似ているね。羽根の鮮やかさは、ずいぶんと違うようだけれど。			継承の儀							
ペルペル族って、なんで、あんな仮面を被ってるのかしら？			ペルペル族って、なんで、あんな仮面を被ってるのかしら？			継承の儀							
さあ、さあ、私で答えられることなら何でも聞いてください。			さあ、さあ、私で答えられることなら何でも聞いてください。			継承の儀							
ここで連王宮と繋がりを持てたのは僥倖だったよ。活かしてみせるさ、商売に。			ここで連王宮と繋がりを持てたのは僥倖だったよ。活かしてみせるさ、商売に。			継承の儀							
トライヨラ叙事詩には、いろんな部族が登場する。その中でも、この街から比較的近い場所に、集落を構えているハヌハヌ族とペルペル族を連れてきた。			トライヨラ叙事詩には、いろんな部族が登場する。その中でも、この街から比較的近い場所に、集落を構えているハヌハヌ族とペルペル族を連れてきた。			継承の儀							
ハヌハヌ族は「葦の章」に登場する部族で、前にも話したとおり、お祭り好きの陽気な連中でな。コザマル・カに集落がある。			ハヌハヌ族は「葦の章」に登場する部族で、前にも話したとおり、お祭り好きの陽気な連中でな。コザマル・カに集落がある。			継承の儀							
もう一方の小柄な部族は、「金の章」に登場する商売の民、ペルペル族……。オルコ・パチャで何種類もの特産品を作ってるらしい。			もう一方の小柄な部族は、「金の章」に登場する商売の民、ペルペル族……。オルコ・パチャで何種類もの特産品を作ってるらしい。			継承の儀							
さて、どちらから先に情報を聞いて、その集落を訪ねるのか……。			さて、どちらから先に情報を聞いて、その集落を訪ねるのか……。			継承の儀							
Forename、選んでくれねぇか？冒険者の勘ってやつで、ビシっと決めてくれ！			Forename、選んでくれねぇか？冒険者の勘ってやつで、ビシっと決めてくれ！			継承の儀							
本クエストをコンプリート後、メインクエストが2つのルートに分岐します。			本クエストをコンプリート後、メインクエストが2つのルートに分岐します。			継承の儀							
「ハヌハヌ族の協力者」と「ペルペル族の協力者」の、どちらか一方からクエストを受注した時点で、一時的に、もう一方のクエストは受注不可能になります。			「ハヌハヌ族の協力者」と「ペルペル族の協力者」の、どちらか一方からクエストを受注した時点で、一時的に、もう一方のクエストは受注不可能になります。			継承の儀							
ただし、受注したクエストから連なる、一連のクエストを最後までコンプリートすることで、もう一方の協力者からのクエストが受注可能になります。			ただし、受注したクエストから連なる、一連のクエストを最後までコンプリートすることで、もう一方の協力者からのクエストが受注可能になります。			継承の儀							
どちらを先に選んだ場合でも、物語の展開や、報酬が変化することはありません。好きな部族に話しかけて、継承の儀の路(みち)を進みましょう！			どちらを先に選んだ場合でも、物語の展開や、報酬が変化することはありません。好きな部族に話しかけて、継承の儀の路(みち)を進みましょう！			継承の儀							
シャバーブチェ付近のハヌハヌ族の協力者は、質問を待っているようだ。			シャバーブチェ付近のハヌハヌ族の協力者は、質問を待っているようだ。			コザマル・カ							
ハヌハヌ族の集落はこの前の大嵐で被害を受けており、伝統の祭ができない状態らしい。トライヨラのグルージャジャ凱旋門にいる「ウクラマト」と話そう。			ハヌハヌ族の集落はこの前の大嵐で被害を受けており、伝統の祭ができない状態らしい。トライヨラのグルージャジャ凱旋門にいる「ウクラマト」と話そう。			コザマル・カ							
ウクラマトと話した。グルージャジャ凱旋門から外に出て、コザマル・カを目指そう。			ウクラマトと話した。グルージャジャ凱旋門から外に出て、コザマル・カを目指そう。			コザマル・カ							
コザマル・カにあるハヌハヌ族の集落、オック・ハヌへ向かうことになった。コザマル・カのウユー・ウブにいる「クルル」と話そう。			コザマル・カにあるハヌハヌ族の集落、オック・ハヌへ向かうことになった。コザマル・カのウユー・ウブにいる「クルル」と話そう。			コザマル・カ							
クルルと話した。コザマル・カのオック・ハヌ前にいる「エレンヴィル」と話そう。			クルルと話した。コザマル・カのオック・ハヌ前にいる「エレンヴィル」と話そう。			コザマル・カ							
エレンヴィルと話し、オック・ハヌに到着した。			エレンヴィルと話し、オック・ハヌに到着した。			コザマル・カ							
ウクラマトと話す			ウクラマトと話す			コザマル・カ							
クルルと話す			クルルと話す			コザマル・カ							
エレンヴィルと話す			エレンヴィルと話す			コザマル・カ							
本クエストから連なるクエストをコンプリートするまで、クエスト「オルコ・パチャ」が受注不可能になります。			本クエストから連なるクエストをコンプリートするまで、クエスト「オルコ・パチャ」が受注不可能になります。			コザマル・カ							
おやおや、おやおや、もうお帰りになったのですか。王女のツケで飲食できることなど、滅多にありませんから、もっと、もっと、ゆっくりでも良かったのに。			おやおや、おやおや、もうお帰りになったのですか。王女のツケで飲食できることなど、滅多にありませんから、もっと、もっと、ゆっくりでも良かったのに。			コザマル・カ							
さて、さて、私たちについて何が知りたいと？			さて、さて、私たちについて何が知りたいと？			コザマル・カ							
お前らの集落への行き方を確認しときたくてよ。たしか、グルージャジャ凱旋門を南に向かったあと、コザマル・カの川沿いの街道を進んでいけばいいんだったよな？			お前らの集落への行き方を確認しときたくてよ。たしか、グルージャジャ凱旋門を南に向かったあと、コザマル・カの川沿いの街道を進んでいけばいいんだったよな？			コザマル・カ							
然り、然り。ただし、この間の大嵐の影響で道はぬかるみ、いつも以上に歩きにくいと同胞から聞いております。			然り、然り。ただし、この間の大嵐の影響で道はぬかるみ、いつも以上に歩きにくいと同胞から聞いております。			コザマル・カ							
加えて集落の方では、家屋が壊れるなど被害があったとか。幾人か死傷者も出たそうで、伝統の祭りさえ、まともにできない状態のようです。			加えて集落の方では、家屋が壊れるなど被害があったとか。幾人か死傷者も出たそうで、伝統の祭りさえ、まともにできない状態のようです。			コザマル・カ							
……聞きたいことがそれだけでしたら、私はこれで！皆さん、どうか、どうか、道中お気をつけて。			……聞きたいことがそれだけでしたら、私はこれで！皆さん、どうか、どうか、道中お気をつけて。			コザマル・カ							
ああ、ありがとよ。悪路に足を取られないよう慎重に進むことにするぜ。			ああ、ありがとよ。悪路に足を取られないよう慎重に進むことにするぜ。			コザマル・カ							
ハヌハヌ族の集落を大嵐が襲ったのか……心配だな……。「グルージャジャ凱旋門」から、コザマル・カを目指そう。			ハヌハヌ族の集落を大嵐が襲ったのか……心配だな……。「グルージャジャ凱旋門」から、コザマル・カを目指そう。			コザマル・カ							
ペルペル族の方も、あとで話を聞かせてくれ。アタシらが帰ってくるまでの間、シャバーブチェで、好きなだけ飲み食いしてていいからよ！			ペルペル族の方も、あとで話を聞かせてくれ。アタシらが帰ってくるまでの間、シャバーブチェで、好きなだけ飲み食いしてていいからよ！			コザマル・カ							
この先は、コザマル・カに通じています。			この先は、コザマル・カに通じています。			コザマル・カ							
この門を出て南に進めば、コザマル・カに到着するのね。			この門を出て南に進めば、コザマル・カに到着するのね。			コザマル・カ							
ハヌハヌ族は友好的な連中だから、きっとおたくらのことを喜んで出迎えてくれるだろう。その余裕があれば、だが……。			ハヌハヌ族は友好的な連中だから、きっとおたくらのことを喜んで出迎えてくれるだろう。その余裕があれば、だが……。			コザマル・カ							
ハヌハヌ族には、祭りを開く風習があるのか……。大嵐の影響で中止していなければ、見てみたかったね。			ハヌハヌ族には、祭りを開く風習があるのか……。大嵐の影響で中止していなければ、見てみたかったね。			コザマル・カ							
あらためて見ても、大きい門ね。もっとも、あの連王グルージャジャにしてみれば、これくらいの大きさは必要なのかもしれないけれど……。			あらためて見ても、大きい門ね。もっとも、あの連王グルージャジャにしてみれば、これくらいの大きさは必要なのかもしれないけれど……。			コザマル・カ							
みんな、準備はいいか？			みんな、準備はいいか？			コザマル・カ							
よし、それじゃあ……コザマル・カに向けて出発だ！			よし、それじゃあ……コザマル・カに向けて出発だ！			コザマル・カ							
ここを通してくれ！			ここを通してくれ！			コザマル・カ							
湿地帯と言うだけあって、水が豊かな土地のようだね。			湿地帯と言うだけあって、水が豊かな土地のようだね。			コザマル・カ							
あの大きな滝の下まで行ってみたいわ！ここからだと、かなり距離があるようだけど。			あの大きな滝の下まで行ってみたいわ！ここからだと、かなり距離があるようだけど。			コザマル・カ							
私たちも行きましょう。ウクラマトさんは、エレンヴィルさんが追ってくれているから、はぐれることはないと思うけれど……。			私たちも行きましょう。ウクラマトさんは、エレンヴィルさんが追ってくれているから、はぐれることはないと思うけれど……。			コザマル・カ							
なんだかんだで面倒見がいいのよね、エレンヴィルって。幼なじみの絆、ということかしら。			なんだかんだで面倒見がいいのよね、エレンヴィルって。幼なじみの絆、ということかしら。			コザマル・カ							
ともかく、ハヌハヌ族の協力者に教えてもらったとおり、街道沿いに進んで、彼らの集落を目指しましょう。			ともかく、ハヌハヌ族の協力者に教えてもらったとおり、街道沿いに進んで、彼らの集落を目指しましょう。			コザマル・カ							
いてて……。滝ばっか見てたせいで……。			いてて……。滝ばっか見てたせいで……。			コザマル・カ							
私たちの見立てが正しければ、ここに連王の選者がいるはずだけれど……。			私たちの見立てが正しければ、ここに連王の選者がいるはずだけれど……。			コザマル・カ							
ここがハヌハヌ族の集落か……！一見して、雲海のバヌバヌ族とは異なる文化を、築いてきたことがわかるね。			ここがハヌハヌ族の集落か……！一見して、雲海のバヌバヌ族とは異なる文化を、築いてきたことがわかるね。			コザマル・カ							
さっきの大きな滝から落ちてきた水が河となって、そこら中を流れてるのね。			さっきの大きな滝から落ちてきた水が河となって、そこら中を流れてるのね。			コザマル・カ							
全員揃ったな。約1名、あれほど気をつけろと言ったのに、道を外れてぬかるみで転んだ王女様がいたが。			全員揃ったな。約1名、あれほど気をつけろと言ったのに、道を外れてぬかるみで転んだ王女様がいたが。			コザマル・カ							
Forenameたちには、黙っててくれって言っただろ！			Forenameたちには、黙っててくれって言っただろ！			コザマル・カ							
と、とにかく！ここがハヌハヌ族の集落……「オック・ハヌ」だ！			と、とにかく！ここがハヌハヌ族の集落……「オック・ハヌ」だ！			コザマル・カ							
シャバーブチェ付近のペルペル族の協力者は、質問を待っているようだ。			シャバーブチェ付近のペルペル族の協力者は、質問を待っているようだ。			オルコ・パチャ							
ペルペル族の集落があるオルコ・パチャへの道は荒れており、徒歩で向かうのは難しいようだ。トライヨラのアルパカ停留場にいる「ペルペル族の協力者」と話そう。			ペルペル族の集落があるオルコ・パチャへの道は荒れており、徒歩で向かうのは難しいようだ。トライヨラのアルパカ停留場にいる「ペルペル族の協力者」と話そう。			オルコ・パチャ							
ペルペル族の協力者によると、アルパカは足腰がとても強く、山道を難なく進むことができるらしい。アルパカ停留場からアルパカに乗ってオルコ・パチャに向かおう。			ペルペル族の協力者によると、アルパカは足腰がとても強く、山道を難なく進むことができるらしい。アルパカ停留場からアルパカに乗ってオルコ・パチャに向かおう。			オルコ・パチャ							
ペルペル族の集落、ワチュン・ペロへ向かう途中、織物職人のボロノックと出会った。オルコ・パチャのワチュン・ペロ入口にいる「エレンヴィル」と話そう。			ペルペル族の集落、ワチュン・ペロへ向かう途中、織物職人のボロノックと出会った。オルコ・パチャのワチュン・ペロ入口にいる「エレンヴィル」と話そう。			オルコ・パチャ							
エレンヴィルによると、ペルペル族は話し好きで、雑談から商談に繋げるのが上手いようだ。上手くペルペル族と付き合っていこう。			エレンヴィルによると、ペルペル族は話し好きで、雑談から商談に繋げるのが上手いようだ。上手くペルペル族と付き合っていこう。			オルコ・パチャ							
ペルペル族の協力者と話す			ペルペル族の協力者と話す			オルコ・パチャ							
エレンヴィルと話す			エレンヴィルと話す			オルコ・パチャ							
本クエストから連なるクエストをコンプリートするまで、クエスト「コザマル・カ」が受注不可能になります。			本クエストから連なるクエストをコンプリートするまで、クエスト「コザマル・カ」が受注不可能になります。			オルコ・パチャ							
ういうい。待ってる間、好きなだけ食べさせてもらったよ、ブルケブさんのタコスをね。			ういうい。待ってる間、好きなだけ食べさせてもらったよ、ブルケブさんのタコスをね。			オルコ・パチャ							
それで、私たちについて知りたいことって？			それで、私たちについて知りたいことって？			オルコ・パチャ							
おたくらの集落がある、「オルコ・パチャ」への行き方を確認させてくれ。			おたくらの集落がある、「オルコ・パチャ」への行き方を確認させてくれ。			オルコ・パチャ							
たしか、グルージャジャ凱旋門を出たあと、最初の分岐を西に折れて、そのまま進めばいいんだよな？ほかに注意点があったら教えてくれ。			たしか、グルージャジャ凱旋門を出たあと、最初の分岐を西に折れて、そのまま進めばいいんだよな？ほかに注意点があったら教えてくれ。			オルコ・パチャ							
合ってるよ、本来ならね。だけど、今は徒歩だと厳しいかも……こないだの大嵐で荒れちゃってるんだよ、道がさ。			合ってるよ、本来ならね。だけど、今は徒歩だと厳しいかも……こないだの大嵐で荒れちゃってるんだよ、道がさ。			オルコ・パチャ							
でも、行く方法がないわけじゃないよ。こんなときにこそ頼りになる存在を、私たちは知ってるからね。さあついてきて、「アルパカ停留場」に！			でも、行く方法がないわけじゃないよ。こんなときにこそ頼りになる存在を、私たちは知ってるからね。さあついてきて、「アルパカ停留場」に！			オルコ・パチャ							
ハヌハヌ族の方も、あとで話を聞かせてくれ。アタシらが帰ってくるまでの間、シャバーブチェで、好きなだけ飲み食いしてていいからよ！			ハヌハヌ族の方も、あとで話を聞かせてくれ。アタシらが帰ってくるまでの間、シャバーブチェで、好きなだけ飲み食いしてていいからよ！			オルコ・パチャ							
げっ……頼りになる存在って、やっぱり……！？			げっ……頼りになる存在って、やっぱり……！？			オルコ・パチャ							
たしかに、こいつなら……。			たしかに、こいつなら……。			オルコ・パチャ							
もしかして、この子たちに乗れるのかしら！			もしかして、この子たちに乗れるのかしら！			オルコ・パチャ							
事前にペルペル族の協力者から話を聞いていて正解だったね。荒れた道で立ち往生だなんて、想像したくない。			事前にペルペル族の協力者から話を聞いていて正解だったね。荒れた道で立ち往生だなんて、想像したくない。			オルコ・パチャ							
ただでさえペルペル族は小柄な部族なのに、仮面を被っているおかげで、性別や年齢が掴みづらいわね。			ただでさえペルペル族は小柄な部族なのに、仮面を被っているおかげで、性別や年齢が掴みづらいわね。			オルコ・パチャ							
さっそく紹介しよう！私たちが頼りにしてる存在……アルパカだよ！			さっそく紹介しよう！私たちが頼りにしてる存在……アルパカだよ！			オルコ・パチャ							
この動物は足腰がとても強くてね、オルコ・パチャに向かう険しい山道もなんのその！おまけに荷物もたくさん積めるから重宝してるのさ、行商でね。			この動物は足腰がとても強くてね、オルコ・パチャに向かう険しい山道もなんのその！おまけに荷物もたくさん積めるから重宝してるのさ、行商でね。			オルコ・パチャ							
私たちにとってのチョコボのような存在なのね。			私たちにとってのチョコボのような存在なのね。			オルコ・パチャ							
こいつらはエオルゼアにはいねぇのか？			こいつらはエオルゼアにはいねぇのか？			オルコ・パチャ							
アルパカは、ヨカ・トラル固有の動物だ。エオルゼアにはチョコボ、東方には馬がいるからな、わざわざ慣れない環境で繁殖させようって奴はいない。			アルパカは、ヨカ・トラル固有の動物だ。エオルゼアにはチョコボ、東方には馬がいるからな、わざわざ慣れない環境で繁殖させようって奴はいない。			オルコ・パチャ							
ふぅん……それはそうと、どうしてもこいつに乗らなきゃだめなのか……？			ふぅん……それはそうと、どうしてもこいつに乗らなきゃだめなのか……？			オルコ・パチャ							
もしかして、ウクラマトさんはアルパカが苦手なの？			もしかして、ウクラマトさんはアルパカが苦手なの？			オルコ・パチャ							
子どものころ、イタズラで毛を引っ張ろうとして、唾を吐きかけられてからな……。それがまた、とんでもなく臭ぇんだ……。			子どものころ、イタズラで毛を引っ張ろうとして、唾を吐きかけられてからな……。それがまた、とんでもなく臭ぇんだ……。			オルコ・パチャ							
そんなことが……。			そんなことが……。			オルコ・パチャ							
乗り心地はどうなのかしら？			乗り心地はどうなのかしら？			オルコ・パチャ							
