木工師ギルドのベアティヌは、相談したいことがあるようだ。			木工師ギルドのベアティヌは、相談したいことがあるようだ。			新人木工師、チェミ・ジンジャル！							
そうだ、Forenameさん！師匠も一目置いているあなたが一緒なら、話を聞いてもらえるかもしれません！			そうだ、Forenameさん！師匠も一目置いているあなたが一緒なら、話を聞いてもらえるかもしれません！			新人木工師、チェミ・ジンジャル！							
そうと決まれば、善は急げです！ともに「ベアティヌ」師匠の下へと参りましょう！			そうと決まれば、善は急げです！ともに「ベアティヌ」師匠の下へと参りましょう！			新人木工師、チェミ・ジンジャル！							
フフフフ、ふたりそろって、仲が良いですね……。もう、すっかり打ち解けたみたいで、先生、悲し……嬉しいですよ……本当に……それで、何かご用ですか……？			フフフフ、ふたりそろって、仲が良いですね……。もう、すっかり打ち解けたみたいで、先生、悲し……嬉しいですよ……本当に……それで、何かご用ですか……？			新人木工師、チェミ・ジンジャル！							
師匠、今カーラインカフェでは、東方様式の家具が流行っているようです！			師匠、今カーラインカフェでは、東方様式の家具が流行っているようです！			新人木工師、チェミ・ジンジャル！							
ギルドの売上向上のため、我々も流行にならって、東方様式の家具を作ってみてはいかがでしょうか！？			ギルドの売上向上のため、我々も流行にならって、東方様式の家具を作ってみてはいかがでしょうか！？			新人木工師、チェミ・ジンジャル！							
……突然どうしたのです？そんな形だけを、摸倣してもいいことなど…………			……突然どうしたのです？そんな形だけを、摸倣してもいいことなど…………			新人木工師、チェミ・ジンジャル！							
……ふう。どうやら決意は固いようですね……。いいでしょう……その代わり、先生から条件があります。			……ふう。どうやら決意は固いようですね……。いいでしょう……その代わり、先生から条件があります。			新人木工師、チェミ・ジンジャル！							
チェミ……あなたが直接東方を訪れ、そこに住む人たちと触れ合いながら、東方様式の研究をするのです……。			チェミ……あなたが直接東方を訪れ、そこに住む人たちと触れ合いながら、東方様式の研究をするのです……。			新人木工師、チェミ・ジンジャル！							
家具には、その土地の文化や、そこに住む人々の想いが込められています。それを汲み取って形にしなければ、同じ物は作れません。			家具には、その土地の文化や、そこに住む人々の想いが込められています。それを汲み取って形にしなければ、同じ物は作れません。			新人木工師、チェミ・ジンジャル！							
なーんだ、そんなことでいいんですか！では、すぐにでも出発いたします！無事に東方へと着いたら、連絡しますね～！			なーんだ、そんなことでいいんですか！では、すぐにでも出発いたします！無事に東方へと着いたら、連絡しますね～！			新人木工師、チェミ・ジンジャル！							
では不肖、このチェミ・ジンジャル！木工師ギルドを救済するべく、東方へと行って参ります！			では不肖、このチェミ・ジンジャル！木工師ギルドを救済するべく、東方へと行って参ります！			新人木工師、チェミ・ジンジャル！							
あの子……本当にわかっているんですかね……。			あの子……本当にわかっているんですかね……。			新人木工師、チェミ・ジンジャル！							
Forenameさん、今回は、弟子の相談に乗ってくださり、ありがとうございました。			Forenameさん、今回は、弟子の相談に乗ってくださり、ありがとうございました。			新人木工師、チェミ・ジンジャル！							
ひとまず、あの子が無事に東方へと辿り着き、文でも送ってくるのを、気長に待つとしましょうか……。フフフフ……。			ひとまず、あの子が無事に東方へと辿り着き、文でも送ってくるのを、気長に待つとしましょうか……。フフフフ……。			新人木工師、チェミ・ジンジャル！							
「木工師」の新たなクラスクエストが開始されました。次のクエストは「レベル63」以上で、木工師ギルドのベアティヌから受注可能です。			「木工師」の新たなクラスクエストが開始されました。次のクエストは「レベル63」以上で、木工師ギルドのベアティヌから受注可能です。			新人木工師、チェミ・ジンジャル！							
今後の「木工師」のクラスクエスト受注条件は、コンプリート後のジャーナルで確認できます。			今後の「木工師」のクラスクエスト受注条件は、コンプリート後のジャーナルで確認できます。			新人木工師、チェミ・ジンジャル！							
うう……緊張してきました……。Forenameさん、骨は拾ってくださいね……！！			うう……緊張してきました……。Forenameさん、骨は拾ってくださいね……！！			新人木工師、チェミ・ジンジャル！							
木工師ギルドのベアティヌは、冒険者に依頼したいことがあるようだ。			木工師ギルドのベアティヌは、冒険者に依頼したいことがあるようだ。			槍の持ち主を訪ねて							
前回までの冒険録：木工師ギルドマスター、ベアティヌは、友人であるゲイルハードとちょっとしたことから口論を始めてしまった。ゲイルハードは喧嘩別れしたまま戦場に赴き、行方知れずとなる。衝撃を受けるベアティヌだが、ゲイルハードの生存を信じて、冒険者に彼のための弓の製作を依頼する。赴いた激戦の地……はたして、ゲイルハードは生きていた。届けられた弓は、彼の手で力強く引き絞られ、その矢がみごと敵将を射抜く。ベアティヌは木工師としての冒険者の成長を喜び、指導を通じて自身も成長できた、と告げるのだった……。　　　　　　　　　　　　*　*　*ベアティヌから壊れた槍を渡された。持ち主を探すため、イシュガルドの神殿騎士団本部にいる「古参の神殿騎士」に「穂先の欠けた槍」を見せよう。			前回までの冒険録：木工師ギルドマスター、ベアティヌは、友人であるゲイルハードとちょっとしたことから口論を始めてしまった。ゲイルハードは喧嘩別れしたまま戦場に赴き、行方知れずとなる。衝撃を受けるベアティヌだが、ゲイルハードの生存を信じて、冒険者に彼のための弓の製作を依頼する。赴いた激戦の地……はたして、ゲイルハードは生きていた。届けられた弓は、彼の手で力強く引き絞られ、その矢がみごと敵将を射抜く。ベアティヌは木工師としての冒険者の成長を喜び、指導を通じて自身も成長できた、と告げるのだった……。　　　　　　　　　　　　*　*　*ベアティヌから壊れた槍を渡された。持ち主を探すため、イシュガルドの神殿騎士団本部にいる「古参の神殿騎士」に「穂先の欠けた槍」を見せよう。			槍の持ち主を訪ねて							
古参の神殿騎士から、槍の持ち主の手がかりを得た。イシュガルドの雲霧街にいる「バルトヴュー」に「穂先の欠けた槍」を渡そう。			古参の神殿騎士から、槍の持ち主の手がかりを得た。イシュガルドの雲霧街にいる「バルトヴュー」に「穂先の欠けた槍」を渡そう。			槍の持ち主を訪ねて							
バルトヴューに壊れた槍を渡した。穂先の欠けた槍の持ち主はバルトヴューの亡き父だった。バルトヴューは亡き父をよく思っていないようだったが、木工師を必要としているようだ。独り立ちした冒険者の顧客となるだろう。木工師としての鍛錬を続けながら、バルトヴューの依頼を待とう。※木工師のレベルが53以上になると、雲霧街のバルトヴューから次の木工師クエストを受注することができます。			バルトヴューに壊れた槍を渡した。穂先の欠けた槍の持ち主はバルトヴューの亡き父だった。バルトヴューは亡き父をよく思っていないようだったが、木工師を必要としているようだ。独り立ちした冒険者の顧客となるだろう。木工師としての鍛錬を続けながら、バルトヴューの依頼を待とう。※木工師のレベルが53以上になると、雲霧街のバルトヴューから次の木工師クエストを受注することができます。			槍の持ち主を訪ねて							
イシュガルドの古参の神殿騎士に穂先の欠けた槍を見せる			イシュガルドの古参の神殿騎士に穂先の欠けた槍を見せる			槍の持ち主を訪ねて							
バルトヴューに穂先の欠けた槍を渡す			バルトヴューに穂先の欠けた槍を渡す			槍の持ち主を訪ねて							
私の大木、Forenameさん……。フフフフ……腕を磨いてますか？			私の大木、Forenameさん……。フフフフ……腕を磨いてますか？			槍の持ち主を訪ねて							
今日は貴方にお願いがあるんです……。ある槍の……持ち主を探してほしいのですよ。			今日は貴方にお願いがあるんです……。ある槍の……持ち主を探してほしいのですよ。			槍の持ち主を訪ねて							
先日、鬼哭隊の隊士から一本の槍が届けられたのです。何でも、北部森林の巡回中に拾ったらしいのですが、かなりの業物なので、ぜひ持ち主を探したいと……。			先日、鬼哭隊の隊士から一本の槍が届けられたのです。何でも、北部森林の巡回中に拾ったらしいのですが、かなりの業物なので、ぜひ持ち主を探したいと……。			槍の持ち主を訪ねて							
フフフ……先生、ひと目でわかっちゃいました……。穂先こそ欠けていましたが、その槍は……本場、イシュガルドのランスだと！			フフフ……先生、ひと目でわかっちゃいました……。穂先こそ欠けていましたが、その槍は……本場、イシュガルドのランスだと！			槍の持ち主を訪ねて							
しかも、使い込まれてなお、艶やかなトネリコの柄からは、作り手と使い手の愛……そう、愛が感じられた……。まさしく逸品中の逸品だったんです！			しかも、使い込まれてなお、艶やかなトネリコの柄からは、作り手と使い手の愛……そう、愛が感じられた……。まさしく逸品中の逸品だったんです！			槍の持ち主を訪ねて							
フフフ……先生、これを届けてくれた隊士に感謝しました。そして、同じ気持ちになりました……。これほど愛された槍は、必ず持ち主の手に返るべきだと！			フフフ……先生、これを届けてくれた隊士に感謝しました。そして、同じ気持ちになりました……。これほど愛された槍は、必ず持ち主の手に返るべきだと！			槍の持ち主を訪ねて							
すっかりこの地に根をはった私の代わりに、世界に枝を伸ばす貴方が、この「穂先の欠けた槍」を、イシュガルドの持ち主に返してあげてください。			すっかりこの地に根をはった私の代わりに、世界に枝を伸ばす貴方が、この「穂先の欠けた槍」を、イシュガルドの持ち主に返してあげてください。			槍の持ち主を訪ねて							
幸い、手がかりはあります……。柄に刻まれた「有翼の皇冠」の紋、これは「神殿騎士団」の紋章と一致します。			幸い、手がかりはあります……。柄に刻まれた「有翼の皇冠」の紋、これは「神殿騎士団」の紋章と一致します。			槍の持ち主を訪ねて							
神殿騎士団の誰かに見せれば、何かわかるでしょう。貴方だけが頼りなんです……頼みましたよ……。フフフ……フフフフフ……。			神殿騎士団の誰かに見せれば、何かわかるでしょう。貴方だけが頼りなんです……頼みましたよ……。フフフ……フフフフフ……。			槍の持ち主を訪ねて							
神殿騎士団の誰かに見せれば、何かわかるでしょう。貴方だけが頼りなんです……頼みましたよ……。フフフ……フフフフフ……。			神殿騎士団の誰かに見せれば、何かわかるでしょう。貴方だけが頼りなんです……頼みましたよ……。フフフ……フフフフフ……。			槍の持ち主を訪ねて							
私はかれこれ、ン十年ドラゴン族と戦っておる。ここではかなりの古参になるが……。……その老いぼれに、冒険者がなんの用だ？			私はかれこれ、ン十年ドラゴン族と戦っておる。ここではかなりの古参になるが……。……その老いぼれに、冒険者がなんの用だ？			槍の持ち主を訪ねて							
ほう、この「穂先の欠けた槍」の持ち主を探しておるのか。フムフム……確かに我が神殿騎士団の紋章が入っておる。しかも、この型は、私が初めて支給された槍と同じもの……。			ほう、この「穂先の欠けた槍」の持ち主を探しておるのか。フムフム……確かに我が神殿騎士団の紋章が入っておる。しかも、この型は、私が初めて支給された槍と同じもの……。			槍の持ち主を訪ねて							
そういえば、同期でドラゴン族討伐に出陣しながらも、道中の魔物に殺された愚者がいたな……。奴の槍だけ見つからなかったため、覚えておるよ。			そういえば、同期でドラゴン族討伐に出陣しながらも、道中の魔物に殺された愚者がいたな……。奴の槍だけ見つからなかったため、覚えておるよ。			槍の持ち主を訪ねて							
確か、奴の息子が「雲霧街」にいるはずだ。騎士どころか従騎士にすらなれぬ、腑抜けだがな。……名は、「バルトヴュー」と言ったかのう。			確か、奴の息子が「雲霧街」にいるはずだ。騎士どころか従騎士にすらなれぬ、腑抜けだがな。……名は、「バルトヴュー」と言ったかのう。			槍の持ち主を訪ねて							
確か、奴の息子が「雲霧街」にいるはずだ。騎士どころか従騎士にすらなれぬ、腑抜けだがな。……名は、「バルトヴュー」と言ったかのう。			確か、奴の息子が「雲霧街」にいるはずだ。騎士どころか従騎士にすらなれぬ、腑抜けだがな。……名は、「バルトヴュー」と言ったかのう。			槍の持ち主を訪ねて							
よう、俺がバルトヴューだ。しがない兵卒に、冒険者が用でもあるのか？			よう、俺がバルトヴューだ。しがない兵卒に、冒険者が用でもあるのか？			槍の持ち主を訪ねて							
……これは……確かに…………俺の親父のものだ。ずっと槍だけ見つからなかったんだが……何でまた、黒衣森で拾われたんだ？			……これは……確かに…………俺の親父のものだ。ずっと槍だけ見つからなかったんだが……何でまた、黒衣森で拾われたんだ？			槍の持ち主を訪ねて							
もうずっと昔……俺がガキだった頃のことさ……神殿騎士団だった親父は、ドラゴン族討伐に向かったまま、帰ってこなかった……。			もうずっと昔……俺がガキだった頃のことさ……神殿騎士団だった親父は、ドラゴン族討伐に向かったまま、帰ってこなかった……。			槍の持ち主を訪ねて							
後日、発見された遺体には、無数の爪痕があってな。魔物に殺されたんだろうって話だった……。……フン、間抜けな男さ。			後日、発見された遺体には、無数の爪痕があってな。魔物に殺されたんだろうって話だった……。……フン、間抜けな男さ。			槍の持ち主を訪ねて							
ここイシュガルドでは、ドラゴン族との戦いで死ねば、英雄として称えられるが、魔物相手じゃ見向きもされねぇ。親父が愚者とされた俺は……おかげで人生どん底さ。			ここイシュガルドでは、ドラゴン族との戦いで死ねば、英雄として称えられるが、魔物相手じゃ見向きもされねぇ。親父が愚者とされた俺は……おかげで人生どん底さ。			槍の持ち主を訪ねて							
だからこそ、俺は自分の手でドラゴン族を狩って、己の力を示し、栄誉を掴まなくちゃならないんだ！			だからこそ、俺は自分の手でドラゴン族を狩って、己の力を示し、栄誉を掴まなくちゃならないんだ！			槍の持ち主を訪ねて							
……ところで、あんたは木工師のようだな。だったら俺に、弓を作っちゃくれないか？			……ところで、あんたは木工師のようだな。だったら俺に、弓を作っちゃくれないか？			槍の持ち主を訪ねて							
俺も昔は槍を振っていたんだが、親父のような無駄死にはしたくないんでね。今じゃ槍を捨て、弓でドラゴン族を狩っているんだ。			俺も昔は槍を振っていたんだが、親父のような無駄死にはしたくないんでね。今じゃ槍を捨て、弓でドラゴン族を狩っているんだ。			槍の持ち主を訪ねて							
今、この木工師さんと話してるんだ、ちょっと待ってくれ。ああ、こいつは俺の息子のフィリパレだ。……ほら、挨拶は？			今、この木工師さんと話してるんだ、ちょっと待ってくれ。ああ、こいつは俺の息子のフィリパレだ。……ほら、挨拶は？			槍の持ち主を訪ねて							
すまねえな、男手ひとつで育てたもんだから、全くもって愛想がなくてよ。			すまねえな、男手ひとつで育てたもんだから、全くもって愛想がなくてよ。			槍の持ち主を訪ねて							
フィリパレにも、弓を持たせて狩りをやらせているんだ。あいつが捕ってくる野鳥も、貴重な食料さ。いつか楽にさせてやりたいんだが……。			フィリパレにも、弓を持たせて狩りをやらせているんだ。あいつが捕ってくる野鳥も、貴重な食料さ。いつか楽にさせてやりたいんだが……。			槍の持ち主を訪ねて							
そんな有様なもんで、今は支払える金がない。少しばかり稼ぎが貯まったら、俺に弓を作ってくれよ。……頼んだぜ、木工師さんよ！			そんな有様なもんで、今は支払える金がない。少しばかり稼ぎが貯まったら、俺に弓を作ってくれよ。……頼んだぜ、木工師さんよ！			槍の持ち主を訪ねて							
「木工師」の新たなクラスクエストが開始されました。次のクエストは「レベル53」以上で、雲霧街のバルトヴューから受注可能です。			「木工師」の新たなクラスクエストが開始されました。次のクエストは「レベル53」以上で、雲霧街のバルトヴューから受注可能です。			槍の持ち主を訪ねて							
今後の「木工師」のクラスクエスト受注条件は、コンプリート後のジャーナルで確認できます。			今後の「木工師」のクラスクエスト受注条件は、コンプリート後のジャーナルで確認できます。			槍の持ち主を訪ねて							
また、新たな依頼「収集品取引」が受けられます。イシュガルドの聖レネット広場にいる、「モルゲイン」を訪ねてみましょう。			また、新たな依頼「収集品取引」が受けられます。イシュガルドの聖レネット広場にいる、「モルゲイン」を訪ねてみましょう。			槍の持ち主を訪ねて							
さらに、熟練の職人だけが製作可能な、難度の高い製品の製法が記されたレシピ帳、「秘伝書」が入手できるようになります。			さらに、熟練の職人だけが製作可能な、難度の高い製品の製法が記されたレシピ帳、「秘伝書」が入手できるようになります。			槍の持ち主を訪ねて							
レヴナンツトールにいる、「ガイディング・スター」を訪ねてみましょう。			レヴナンツトールにいる、「ガイディング・スター」を訪ねてみましょう。			槍の持ち主を訪ねて							
雲霧街のバルトヴューはまたヌーグルヴィルに負けてしまったようだ。このクエストのコンプリートに必要な納品物を製作するためには、「木工秘伝書:第3巻」の修得が必要です。			雲霧街のバルトヴューはまたヌーグルヴィルに負けてしまったようだ。このクエストのコンプリートに必要な納品物を製作するためには、「木工秘伝書:第3巻」の修得が必要です。			父と子の宿命							
バルトヴューによると、壊された罠にヌーグルヴィルの弱点を知るヒントがあるという。クルザス西部高地の聖フィネア連隊の露営地にいる「寒がりの騎兵」と話そう。			バルトヴューによると、壊された罠にヌーグルヴィルの弱点を知るヒントがあるという。クルザス西部高地の聖フィネア連隊の露営地にいる「寒がりの騎兵」と話そう。			父と子の宿命							
壊された罠は、寒がりの騎兵に薪にされてしまっていたが、引っかかっていたという槍の穂先を渡された。雲霧街にいる「バルトビュー」に「槍の穂先」を渡そう。			壊された罠は、寒がりの騎兵に薪にされてしまっていたが、引っかかっていたという槍の穂先を渡された。雲霧街にいる「バルトビュー」に「槍の穂先」を渡そう。			父と子の宿命							
バルトヴューに槍の穂先を渡した。彼は、父がヌーグルヴィルと戦って死んだことを知り、槍で竜に挑むと決意したようだ。「アダマントライデント」を製作し、雲霧街の「バルトヴュー」に納品しよう。「アダマントライデント」を製作するためには、「木工秘伝書:第3巻」の修得が必要です。			バルトヴューに槍の穂先を渡した。彼は、父がヌーグルヴィルと戦って死んだことを知り、槍で竜に挑むと決意したようだ。「アダマントライデント」を製作し、雲霧街の「バルトヴュー」に納品しよう。「アダマントライデント」を製作するためには、「木工秘伝書:第3巻」の修得が必要です。			父と子の宿命							
アダマントライデントをバルトヴューに納品した。バルトヴューは、父のために戦う決意をフィリパレに伝えてほしいようだ。イシュガルドの聖大厩舎付近にいる「フィリパレ」と話そう。			アダマントライデントをバルトヴューに納品した。バルトヴューは、父のために戦う決意をフィリパレに伝えてほしいようだ。イシュガルドの聖大厩舎付近にいる「フィリパレ」と話そう。			父と子の宿命							
フィリパレと話した。彼とともに戦いの顛末を見届けるために、「聖フィネア連隊の露営地」北でバルトヴューに合流しよう。			フィリパレと話した。彼とともに戦いの顛末を見届けるために、「聖フィネア連隊の露営地」北でバルトヴューに合流しよう。			父と子の宿命							
バルトヴューは見事にヌーグルヴィルを倒した。「聖フィネア連隊の露営地」北の「バルトヴュー」と話そう。			バルトヴューは見事にヌーグルヴィルを倒した。「聖フィネア連隊の露営地」北の「バルトヴュー」と話そう。			父と子の宿命							
バルトヴューと話した。彼とともに墓参りをするため、クルザス西部高地のゴルガニュ牧場東にいる「バルトヴュー」と話そう。			バルトヴューと話した。彼とともに墓参りをするため、クルザス西部高地のゴルガニュ牧場東にいる「バルトヴュー」と話そう。			父と子の宿命							
バルトヴューと話した。彼が復讐と父の汚名返上を成し遂げたのは、冒険者が製作した槍のおかげだと感謝された。今後も木工師としての腕を振るい、多くの顧客を満足させよう。※以下の条件を満たすと、木工師ギルドのベアティヌから、新たなクラスクエストを受注することができます。1.「メインクエスト：竜詩戦争 戦後編」の、　「宿命の果て」を完了する。			バルトヴューと話した。彼が復讐と父の汚名返上を成し遂げたのは、冒険者が製作した槍のおかげだと感謝された。今後も木工師としての腕を振るい、多くの顧客を満足させよう。※以下の条件を満たすと、木工師ギルドのベアティヌから、新たなクラスクエストを受注することができます。1.「メインクエスト：竜詩戦争 戦後編」の、　「宿命の果て」を完了する。			父と子の宿命							
聖フィネア連隊の露営地の寒がりの騎兵と話す			聖フィネア連隊の露営地の寒がりの騎兵と話す			父と子の宿命							
雲霧街のバルトヴューに槍の穂先を渡す			雲霧街のバルトヴューに槍の穂先を渡す			父と子の宿命							
