錬金術師ギルドのセヴェリアンは、憤慨しているようだ。			錬金術師ギルドのセヴェリアンは、憤慨しているようだ。			奇怪な死体							
……丁度いい、渡りに船とはこのことだな。助手であるお前に、面倒な雑用……いや、一任したい大役があるのだ。			……丁度いい、渡りに船とはこのことだな。助手であるお前に、面倒な雑用……いや、一任したい大役があるのだ。			奇怪な死体							
銅刃団から我がギルドに、ある依頼が持ち込まれてな。ウルダハの都市外で見つかった、不審な死体の検死を依頼したいというのだ。			銅刃団から我がギルドに、ある依頼が持ち込まれてな。ウルダハの都市外で見つかった、不審な死体の検死を依頼したいというのだ。			奇怪な死体							
大方、貧民かなにかの腐乱死体だろうが……愚鈍な受付が勝手に引き受けてしまった以上、調べねばなるまい。エラリグ墓地前の「銅刃団の衛兵」から話を聞いてこい。			大方、貧民かなにかの腐乱死体だろうが……愚鈍な受付が勝手に引き受けてしまった以上、調べねばなるまい。エラリグ墓地前の「銅刃団の衛兵」から話を聞いてこい。			奇怪な死体							
錬金術師ギルドから派遣された者か？			錬金術師ギルドから派遣された者か？			奇怪な死体							
よし、検死を依頼したい遺体は、ここ、「エラリグ墓地」の中だ。ついてきてくれ。			よし、検死を依頼したい遺体は、ここ、「エラリグ墓地」の中だ。ついてきてくれ。			奇怪な死体							
どうした？件の死体が安置されているのは「エラリグ墓地」だぞ。速やかに向かうがいい。			どうした？件の死体が安置されているのは「エラリグ墓地」だぞ。速やかに向かうがいい。			奇怪な死体							
今回錬金術師ギルドに検死を依頼したのは、この棺の中で眠る遺体が、本当に死んでいるのかどうか知りたいからだ。			今回錬金術師ギルドに検死を依頼したのは、この棺の中で眠る遺体が、本当に死んでいるのかどうか知りたいからだ。			奇怪な死体							
遺体の生死を確認するだなんて、おかしな話だと思うか？きっと、そこの「真新しい棺」の中の遺体を見てもらえば、オレの言っていることを理解してもらえるはずだ。			遺体の生死を確認するだなんて、おかしな話だと思うか？きっと、そこの「真新しい棺」の中の遺体を見てもらえば、オレの言っていることを理解してもらえるはずだ。			奇怪な死体							
棺の中に、若い女性が横たわっている。呼吸も脈も感じられず、完全に死を迎えているようだが、どこか、今にも動き出しそうな奇妙な違和感を感じる……。			棺の中に、若い女性が横たわっている。呼吸も脈も感じられず、完全に死を迎えているようだが、どこか、今にも動き出しそうな奇妙な違和感を感じる……。			奇怪な死体							
どうだ？やっぱり、死んでるか？脈もなけりゃ、呼吸もしてない……死んでるはずだよな……。			どうだ？やっぱり、死んでるか？脈もなけりゃ、呼吸もしてない……死んでるはずだよな……。			奇怪な死体							
だが、あんたも感じただろう？その遺体から、今にも目覚めて動き出しそうな違和感を……。呼吸も心臓も止まってるってのに……不気味なもんだぜ。			だが、あんたも感じただろう？その遺体から、今にも目覚めて動き出しそうな違和感を……。呼吸も心臓も止まってるってのに……不気味なもんだぜ。			奇怪な死体							
不審な点は、ほかにもある。この国は、墓地に埋葬するにも大金が必要でな。金のないヤツの遺体は荒野に棄てられ、魔物のエサになる。			不審な点は、ほかにもある。この国は、墓地に埋葬するにも大金が必要でな。金のないヤツの遺体は荒野に棄てられ、魔物のエサになる。			奇怪な死体							
かくいうこの遺体も、都市外に棄てられていてな。それだけなら、餓死した貧民の成れの果てとでも思うところだが、いくつか奇妙な点があったんだ。			かくいうこの遺体も、都市外に棄てられていてな。それだけなら、餓死した貧民の成れの果てとでも思うところだが、いくつか奇妙な点があったんだ。			奇怪な死体							
たとえば、身なりこそ貧民の格好だが、肌は日に焼けておらず清潔で、爪の手入れまでしてあった。貧乏暮らしじゃなく、それなりの生活を営めていたってことさ。			たとえば、身なりこそ貧民の格好だが、肌は日に焼けておらず清潔で、爪の手入れまでしてあった。貧乏暮らしじゃなく、それなりの生活を営めていたってことさ。			奇怪な死体							
そして、頭部に残る殴打された痕……これは他殺を連想させる。だが、何より不可解なのは、この暑いザナラーンの荒野に、放置されていたにもかかわらず、少しも腐敗していない点だ。			そして、頭部に残る殴打された痕……これは他殺を連想させる。だが、何より不可解なのは、この暑いザナラーンの荒野に、放置されていたにもかかわらず、少しも腐敗していない点だ。			奇怪な死体							
どうやら、あんたにも原因はわからないようだな。ともかくギルドマスターの「セヴェリアン」にも相談してみてくれ。何かわかったら、銅刃団まで連絡を頼むよ。			どうやら、あんたにも原因はわからないようだな。ともかくギルドマスターの「セヴェリアン」にも相談してみてくれ。何かわかったら、銅刃団まで連絡を頼むよ。			奇怪な死体							
さあ、棺の中の遺体を調べてくれ。頼りになるのは、あんたら錬金術師だけなんだ。			さあ、棺の中の遺体を調べてくれ。頼りになるのは、あんたら錬金術師だけなんだ。			奇怪な死体							
どうだ、少しは楽しめそうな依頼内容だったか？			どうだ、少しは楽しめそうな依頼内容だったか？			奇怪な死体							
ほう……腐敗しない奇妙な死体だと？銅刃団からの依頼なぞ、退屈な雑事だろうと決めつけていたが、なかなかどうして、興が乗る話ではないか！			ほう……腐敗しない奇妙な死体だと？銅刃団からの依頼なぞ、退屈な雑事だろうと決めつけていたが、なかなかどうして、興が乗る話ではないか！			奇怪な死体							
よし、私も件の死体を調べに向かおう。お前は私の調査結果が出るまで、適当に時間を潰していろ。例えば……偉大なるこの私に近づくための修学なんてどうだ？			よし、私も件の死体を調べに向かおう。お前は私の調査結果が出るまで、適当に時間を潰していろ。例えば……偉大なるこの私に近づくための修学なんてどうだ？			奇怪な死体							
はあ、まったく……面倒なもん見つけちまったなあ。			はあ、まったく……面倒なもん見つけちまったなあ。			奇怪な死体							
「錬金術師」の新たなクラスクエストが開始されました。次のクエストは「レベル63」以上で、錬金術師ギルドのセヴェリアンから受注可能です。			「錬金術師」の新たなクラスクエストが開始されました。次のクエストは「レベル63」以上で、錬金術師ギルドのセヴェリアンから受注可能です。			奇怪な死体							
今後の「錬金術師」のクラスクエスト受注条件は、コンプリート後のジャーナルで確認できます。			今後の「錬金術師」のクラスクエスト受注条件は、コンプリート後のジャーナルで確認できます。			奇怪な死体							
錬金術師ギルドのセヴェリアンは、何やら深遠なる野暮用を押しつけたいようだ。			錬金術師ギルドのセヴェリアンは、何やら深遠なる野暮用を押しつけたいようだ。			ココロニモナイコト							
前回までの冒険録：天才肌の錬金術師ギルドマスター、セヴェリアンの「小間使い」として入門を許された冒険者は、瞬く間にその天性を開花させ、彼の「助手」へと昇格する。セヴェリアンが寝食を忘れて究めんとする「究極の錬金術」とは、失われた生命の創成……最愛の恋人ワ・ナージャの復活だった。冒険者の尽力により秘術は発動し、セヴェリアンは恋人の魂とつかのまの再会を果たす。そして彼は、晴れやかな笑顔で告げるのだった……お前は「最高の助手」だよ、と。　　　　　　　　　　　　*　*　*セヴェリアンから野暮用を頼まれた。錬金術師ギルドにいる「ディートリッヒ」に話しかけ、レヴナンツトールへの届けものを受け取ろう。			前回までの冒険録：天才肌の錬金術師ギルドマスター、セヴェリアンの「小間使い」として入門を許された冒険者は、瞬く間にその天性を開花させ、彼の「助手」へと昇格する。セヴェリアンが寝食を忘れて究めんとする「究極の錬金術」とは、失われた生命の創成……最愛の恋人ワ・ナージャの復活だった。冒険者の尽力により秘術は発動し、セヴェリアンは恋人の魂とつかのまの再会を果たす。そして彼は、晴れやかな笑顔で告げるのだった……お前は「最高の助手」だよ、と。　　　　　　　　　　　　*　*　*セヴェリアンから野暮用を頼まれた。錬金術師ギルドにいる「ディートリッヒ」に話しかけ、レヴナンツトールへの届けものを受け取ろう。			ココロニモナイコト							
ディートリッヒと話した。モードゥナのレヴナンツトールにいる「ウィルトウェーク」に、預かった「セヴェリアンの鑑定書」を渡そう。			ディートリッヒと話した。モードゥナのレヴナンツトールにいる「ウィルトウェーク」に、預かった「セヴェリアンの鑑定書」を渡そう。			ココロニモナイコト							
ウィルトウェークにセヴェリアンの鑑定書を渡した。セヴェリアンの企みにより、まんまと犯罪捜査への協力を引き受けさせられたようだ。レヴナンツトール周辺で多発する「錬金術」を用いた犯罪の真相を暴くため、冒険者ギルドのウィルトウェークらに協力していこう。※錬金術師のレベルが53以上になると、レヴナンツトールのウィルトウェークから次の錬金術師クエストを受注することができます。			ウィルトウェークにセヴェリアンの鑑定書を渡した。セヴェリアンの企みにより、まんまと犯罪捜査への協力を引き受けさせられたようだ。レヴナンツトール周辺で多発する「錬金術」を用いた犯罪の真相を暴くため、冒険者ギルドのウィルトウェークらに協力していこう。※錬金術師のレベルが53以上になると、レヴナンツトールのウィルトウェークから次の錬金術師クエストを受注することができます。			ココロニモナイコト							
ディートリッヒと話す			ディートリッヒと話す			ココロニモナイコト							
レヴナンツトールのウィルトウェークにセヴェリアンの鑑定書を渡す			レヴナンツトールのウィルトウェークにセヴェリアンの鑑定書を渡す			ココロニモナイコト							
我が最高の助手であるお前に、ぜひ依頼したい野暮用がある。単純なようでいて、底知れぬほど奥深い仕事。いや……「究極」の一端に触れたお前にしか、頼めぬ用事なのだ！			我が最高の助手であるお前に、ぜひ依頼したい野暮用がある。単純なようでいて、底知れぬほど奥深い仕事。いや……「究極」の一端に触れたお前にしか、頼めぬ用事なのだ！			ココロニモナイコト							
ふふ……その深遠なる野暮用とは……レヴナンツトールにいる我が知人に、ある書類を届ける仕事だ！書類は受付の「ディートリッヒ」から受け取りたまえ。			ふふ……その深遠なる野暮用とは……レヴナンツトールにいる我が知人に、ある書類を届ける仕事だ！書類は受付の「ディートリッヒ」から受け取りたまえ。			ココロニモナイコト							
ふふ……深遠なる野暮用とは……レヴナンツトールにいる我が知人に、ある書類を届ける仕事だ！書類は受付の「ディートリッヒ」から受け取りたまえ。			ふふ……深遠なる野暮用とは……レヴナンツトールにいる我が知人に、ある書類を届ける仕事だ！書類は受付の「ディートリッヒ」から受け取りたまえ。			ココロニモナイコト							
……例の用事、やっぱりあなたが押しつけられましたか。この「セヴェリアンの鑑定書」を、レヴナンツトールの「ウィルトウェーク」さんに届けてください。			……例の用事、やっぱりあなたが押しつけられましたか。この「セヴェリアンの鑑定書」を、レヴナンツトールの「ウィルトウェーク」さんに届けてください。			ココロニモナイコト							
……あれ、ギルドマスターから何も聞いてないんですか？えっとですね、このウィルトウェークさんというのは、冒険者ギルドに所属され、治安維持の任にあたっている方です。			……あれ、ギルドマスターから何も聞いてないんですか？えっとですね、このウィルトウェークさんというのは、冒険者ギルドに所属され、治安維持の任にあたっている方です。			ココロニモナイコト							
セヴェリアン様はその方に、ある事件現場に残された「遺留品」の鑑定を依頼されまして。いま渡したのが、その鑑定結果です。			セヴェリアン様はその方に、ある事件現場に残された「遺留品」の鑑定を依頼されまして。いま渡したのが、その鑑定結果です。			ココロニモナイコト							
あなたに託した理由は、何やら面倒くさそうな話だから……コホン……いまの失言は忘れてください。きっと重大な禁秘が関わるため、信頼できる人に託したのでしょう。			あなたに託した理由は、何やら面倒くさそうな話だから……コホン……いまの失言は忘れてください。きっと重大な禁秘が関わるため、信頼できる人に託したのでしょう。			ココロニモナイコト							
「セヴェリアンの鑑定書」を、レヴナンツトールの「ウィルトウェーク」さんに届けてください。			「セヴェリアンの鑑定書」を、レヴナンツトールの「ウィルトウェーク」さんに届けてください。			ココロニモナイコト							
冒険者ギルドに所属して、治安を乱す連中を取り締まってるんだ。そこのおっきいのは、相棒のウィルトウェーク。よろしくね！			冒険者ギルドに所属して、治安を乱す連中を取り締まってるんだ。そこのおっきいのは、相棒のウィルトウェーク。よろしくね！			ココロニモナイコト							
ウルダハの錬金術師ギルドから、書類が届く予定なんだ。そろそろ到着しても、いい頃合だが……。			ウルダハの錬金術師ギルドから、書類が届く予定なんだ。そろそろ到着しても、いい頃合だが……。			ココロニモナイコト							
……おっ、君がセヴェリアンの使いだったか！冒険者ギルドのウィルトウェークだ、治安維持を担当している。こいつは相棒のチャネネ、よろしくな！			……おっ、君がセヴェリアンの使いだったか！冒険者ギルドのウィルトウェークだ、治安維持を担当している。こいつは相棒のチャネネ、よろしくな！			ココロニモナイコト							
さて、セヴェリアンの鑑定結果は……やはり、錬金術が関係していたか！どうやらこいつは、デカいヤマを掘りあてちまったようだぞ。			さて、セヴェリアンの鑑定結果は……やはり、錬金術が関係していたか！どうやらこいつは、デカいヤマを掘りあてちまったようだぞ。			ココロニモナイコト							
セヴェリアンからどこまで聞いているか、わからないが……最近、このレヴナンツトール周辺で妙な事案が相次いでいる。だが、複数犯の犯罪集団であるということ以外、わかっていない。			セヴェリアンからどこまで聞いているか、わからないが……最近、このレヴナンツトール周辺で妙な事案が相次いでいる。だが、複数犯の犯罪集団であるということ以外、わかっていない。			ココロニモナイコト							
鍵のかかった部屋から、中にいた者が忽然と姿を消したり、開けた形跡のない金庫から、中身だけがなくなっていたり……。手口の見えない失踪や不審死、盗難が起きているんだよ。			鍵のかかった部屋から、中にいた者が忽然と姿を消したり、開けた形跡のない金庫から、中身だけがなくなっていたり……。手口の見えない失踪や不審死、盗難が起きているんだよ。			ココロニモナイコト							
セヴェリアンによると、遺留品は錬金術で使う触媒らしい。おそらくは、錬金術を悪用する集団が暗躍している。……というわけで、これから、君の力を借りることになるぞ！			セヴェリアンによると、遺留品は錬金術で使う触媒らしい。おそらくは、錬金術を悪用する集団が暗躍している。……というわけで、これから、君の力を借りることになるぞ！			ココロニモナイコト							
……君、もしかして、鑑定書を届けろとしか言われてないの？もしも鑑定結果がクロだったら、錬金術の専門家を派遣してくれるよう、要請したんだけど？			……君、もしかして、鑑定書を届けろとしか言われてないの？もしも鑑定結果がクロだったら、錬金術の専門家を派遣してくれるよう、要請したんだけど？			ココロニモナイコト							
同封の書状にも、こう書いてあったぞ。「彼女彼は、私が絶大なる信頼を寄せる最高の助手。　私にかわり、今後の捜査に全面協力してくれるだろう」……。			同封の書状にも、こう書いてあったぞ。「彼女彼は、私が絶大なる信頼を寄せる最高の助手。　私にかわり、今後の捜査に全面協力してくれるだろう」……。			ココロニモナイコト							
すごいね、あのセヴェリアン先生がそこまで言うなんて！彼女彼の腕前は、信じてよさそうだよ！			すごいね、あのセヴェリアン先生がそこまで言うなんて！彼女彼の腕前は、信じてよさそうだよ！			ココロニモナイコト							
ぜひ君を、一連の犯罪の「捜査顧問」として迎えさせてくれ！もちろん報酬も用意してあるぞ。今後の仕事の依頼は、この場所で行うことにしよう。			ぜひ君を、一連の犯罪の「捜査顧問」として迎えさせてくれ！もちろん報酬も用意してあるぞ。今後の仕事の依頼は、この場所で行うことにしよう。			ココロニモナイコト							
「錬金術師」の新たなクラスクエストが開始されました。次のクエストは「レベル53」以上で、レヴナンツトールのウィルトウェークから受注可能です。			「錬金術師」の新たなクラスクエストが開始されました。次のクエストは「レベル53」以上で、レヴナンツトールのウィルトウェークから受注可能です。			ココロニモナイコト							
今後の「錬金術師」のクラスクエスト受注条件は、コンプリート後のジャーナルで確認できます。			今後の「錬金術師」のクラスクエスト受注条件は、コンプリート後のジャーナルで確認できます。			ココロニモナイコト							
また、新たな依頼「収集品取引」が受けられます。イシュガルドの聖レネット広場にいる、「モルゲイン」を訪ねてみましょう。			また、新たな依頼「収集品取引」が受けられます。イシュガルドの聖レネット広場にいる、「モルゲイン」を訪ねてみましょう。			ココロニモナイコト							
さらに、熟練の職人だけが製作可能な、難度の高い製品の製法が記されたレシピ帳、「秘伝書」が入手できるようになります。			さらに、熟練の職人だけが製作可能な、難度の高い製品の製法が記されたレシピ帳、「秘伝書」が入手できるようになります。			ココロニモナイコト							
レヴナンツトールにいる、「ガイディング・スター」を訪ねてみましょう。			レヴナンツトールにいる、「ガイディング・スター」を訪ねてみましょう。			ココロニモナイコト							
レヴナンツトールのウィルトウェークは、冒険者に「クローン」について調べてほしいようだ。このクエストのコンプリートに必要な納品物を製作するためには、「錬成秘伝書:第3巻」の修得が必要です。			レヴナンツトールのウィルトウェークは、冒険者に「クローン」について調べてほしいようだ。このクエストのコンプリートに必要な納品物を製作するためには、「錬成秘伝書:第3巻」の修得が必要です。			ココロココニアラズ							
一連の事件の黒幕は、近東の錬金術師ワーウードだった。彼が作った人造生命体クローンについて、「チャネネ」から話を聞こう。彼女はモードゥナの「聖コイナク財団の調査地」にいるようだ。			一連の事件の黒幕は、近東の錬金術師ワーウードだった。彼が作った人造生命体クローンについて、「チャネネ」から話を聞こう。彼女はモードゥナの「聖コイナク財団の調査地」にいるようだ。			ココロココニアラズ							
チャネネと話した。ワーウードの最終目標は、クローンを通じて「永遠の命」を得ることのようだ。銀泪湖北岸で「チャネネ」と合流し、ワーウードの捕縛を見届けよう。			チャネネと話した。ワーウードの最終目標は、クローンを通じて「永遠の命」を得ることのようだ。銀泪湖北岸で「チャネネ」と合流し、ワーウードの捕縛を見届けよう。			ココロココニアラズ							
ついにワーウードが捕縛された。レヴナンツトールに戻り、「ウィルトウェーク」の話を聞こう。			ついにワーウードが捕縛された。レヴナンツトールに戻り、「ウィルトウェーク」の話を聞こう。			ココロココニアラズ							
ウィルトウェークと話した。ワーウードは、自身が錬金術師であることを否認しているようだ。供述を覆すため、ウルダハの錬金術師ギルドにいる「セヴェリアン」に知恵を借りよう。			ウィルトウェークと話した。ワーウードは、自身が錬金術師であることを否認しているようだ。供述を覆すため、ウルダハの錬金術師ギルドにいる「セヴェリアン」に知恵を借りよう。			ココロココニアラズ							
セヴェリアンと話した。彼の試薬を使えば、ワーウードに反証を突きつけられる。レヴナンツトールの「ウィルトウェーク」に「セヴェリアンの試薬」を届けよう。			セヴェリアンと話した。彼の試薬を使えば、ワーウードに反証を突きつけられる。レヴナンツトールの「ウィルトウェーク」に「セヴェリアンの試薬」を届けよう。			ココロココニアラズ							
ウィルトウェークと話した。ワーウードの罪を証明するために、彼が所持していたのと同じ魔道書が必要らしい。「インデックス・オブ・オーラムレギス」を製作し、レヴナンツトールの「ウィルトウェーク」に納品しよう。「インデックス・オブ・オーラムレギス」を製作するためには、「錬成秘伝書:第3巻」の修得が必要です。			ウィルトウェークと話した。ワーウードの罪を証明するために、彼が所持していたのと同じ魔道書が必要らしい。「インデックス・オブ・オーラムレギス」を製作し、レヴナンツトールの「ウィルトウェーク」に納品しよう。「インデックス・オブ・オーラムレギス」を製作するためには、「錬成秘伝書:第3巻」の修得が必要です。			ココロココニアラズ							
ギルド本部の特使の前で、ワーウードの罪を証明した。彼は自身の魂をクローンに移し、ひそかに逃走を図るも、冒険者に進路をふさがれ未遂に終わる。最後にレヴナンツトールの「ウィルトウェーク」と話し、報酬を受け取ろう。			ギルド本部の特使の前で、ワーウードの罪を証明した。彼は自身の魂をクローンに移し、ひそかに逃走を図るも、冒険者に進路をふさがれ未遂に終わる。最後にレヴナンツトールの「ウィルトウェーク」と話し、報酬を受け取ろう。			ココロココニアラズ							
ウィルトウェークから報酬を受け取った。首謀者のワーウードに審判が下されたことで、一連の事件はついに解決の目を見た。捜査顧問の仕事から得た知見を活かし、終わりなき探究の道を歩んでゆこう。※以下の条件を満たすと、錬金術師ギルドのセヴェリアンから、新たなクラスクエストを受注することができます。1.「メインクエスト：竜詩戦争 戦後編」の、　「宿命の果て」を完了する。			ウィルトウェークから報酬を受け取った。首謀者のワーウードに審判が下されたことで、一連の事件はついに解決の目を見た。捜査顧問の仕事から得た知見を活かし、終わりなき探究の道を歩んでゆこう。※以下の条件を満たすと、錬金術師ギルドのセヴェリアンから、新たなクラスクエストを受注することができます。1.「メインクエスト：竜詩戦争 戦後編」の、　「宿命の果て」を完了する。			ココロココニアラズ							
聖コイナク財団の調査地のチャネネと話す			聖コイナク財団の調査地のチャネネと話す			ココロココニアラズ							
唄う裂谷の西でチャネネと合流			唄う裂谷の西でチャネネと合流			ココロココニアラズ							
ウィルトウェークと話す			ウィルトウェークと話す			ココロココニアラズ							
錬金術師ギルドのセヴェリアンと話す			錬金術師ギルドのセヴェリアンと話す			ココロココニアラズ							
レヴナンツトールのウィルトウェークにセヴェリアンの試薬を渡す			レヴナンツトールのウィルトウェークにセヴェリアンの試薬を渡す			ココロココニアラズ							
インデックス・オブ・オーラムレギスを製作ウィルトウェークにインデックス・オブ・オーラムレギスを納品			インデックス・オブ・オーラムレギスを製作ウィルトウェークにインデックス・オブ・オーラムレギスを納品			ココロココニアラズ							
レヴナンツトールのウィルトウェークと話す			レヴナンツトールのウィルトウェークと話す			ココロココニアラズ							
いよいよ、捜査も大詰めだ！ララフェル族のならず者の供述で、事件の全貌が明らかになってきたぞ！			いよいよ、捜査も大詰めだ！ララフェル族のならず者の供述で、事件の全貌が明らかになってきたぞ！			ココロココニアラズ							
首謀者は、たったひとりの錬金術師……。犯罪集団と思われていたが、共犯どもは、ケチな雇われ者にすぎなかったようだ。			首謀者は、たったひとりの錬金術師……。犯罪集団と思われていたが、共犯どもは、ケチな雇われ者にすぎなかったようだ。			ココロココニアラズ							
……すべてを仕組んだ黒幕は、「ワーウード」という名だ！近東はサベネア島の出身で、外法な禁術も厭わぬ危険人物として、悪名高い存在らしい。			……すべてを仕組んだ黒幕は、「ワーウード」という名だ！近東はサベネア島の出身で、外法な禁術も厭わぬ危険人物として、悪名高い存在らしい。			ココロココニアラズ							
奴が作っていた人造生命体「クローン」についてだが……「聖コイナク財団の調査地」に情報を持つ人物がいる。先に向かった「チャネネ」から、話を聞いてみてくれ。			奴が作っていた人造生命体「クローン」についてだが……「聖コイナク財団の調査地」に情報を持つ人物がいる。先に向かった「チャネネ」から、話を聞いてみてくれ。			ココロココニアラズ							
奴が作っていた人造生命体「クローン」についてだが……「聖コイナク財団の調査地」に情報を持つ人物がいる。先に向かった「チャネネ」から、話を聞いてみてくれ。			奴が作っていた人造生命体「クローン」についてだが……「聖コイナク財団の調査地」に情報を持つ人物がいる。先に向かった「チャネネ」から、話を聞いてみてくれ。			ココロココニアラズ							
冒険者ギルドのチャネネという人が話を聞きにきたぞ。たしかに古代アラグ史の文献を紐解くと、人造の生命体……「クローン」なるものが研究されていたとの記述が散見される。			冒険者ギルドのチャネネという人が話を聞きにきたぞ。たしかに古代アラグ史の文献を紐解くと、人造の生命体……「クローン」なるものが研究されていたとの記述が散見される。			ココロココニアラズ							
ウネとドーガという、古代アラグの「遺産」と接触したことで、我々は、魔科学の所産たる人造生命体「クローン」について、多くの知見を得ることができた……。			ウネとドーガという、古代アラグの「遺産」と接触したことで、我々は、魔科学の所産たる人造生命体「クローン」について、多くの知見を得ることができた……。			ココロココニアラズ							
だが、「クローン」の存在を知る者すら稀な現代において、不完全ながら、その技術を甦らせた錬金術師がいようとは……！この件は、今後も刮目していく必要がありそうだ。			だが、「クローン」の存在を知る者すら稀な現代において、不完全ながら、その技術を甦らせた錬金術師がいようとは……！この件は、今後も刮目していく必要がありそうだ。			ココロココニアラズ							
ラムブルースさんという人に、話を聞いてきたの。古代アラグ帝国で、人造生命体「クローン」が研究されていた……という、記録があることを教えてくれたよ！			ラムブルースさんという人に、話を聞いてきたの。古代アラグ帝国で、人造生命体「クローン」が研究されていた……という、記録があることを教えてくれたよ！			ココロココニアラズ							
ねえ君、ラムブルースさんと知り合いだったの？古代アラグ帝国の生んだ人造生命体「クローン」については、彼女彼もよく知っているだろうが……って前置きされちゃったよ！？			ねえ君、ラムブルースさんと知り合いだったの？古代アラグ帝国の生んだ人造生命体「クローン」については、彼女彼もよく知っているだろうが……って前置きされちゃったよ！？			ココロココニアラズ							
「クローン」とは肉体の複製品……「魂のない分身」らしいの。共犯の話と合わせると、ワーウードの目的は「永遠の命」……！若い分身に魂を移植しつづけ、不老不死を達成しようってわけ！			「クローン」とは肉体の複製品……「魂のない分身」らしいの。共犯の話と合わせると、ワーウードの目的は「永遠の命」……！若い分身に魂を移植しつづけ、不老不死を達成しようってわけ！			ココロココニアラズ							
……これで、すべてがつながったよ！古代アラグの遺物を盗んだのは「クローン」の錬成に使うため。人拐いをくりかえしたのは、人体実験に使うため。			……これで、すべてがつながったよ！古代アラグの遺物を盗んだのは「クローン」の錬成に使うため。人拐いをくりかえしたのは、人体実験に使うため。			ココロココニアラズ							
例の双子は、魂を「移植」する実験の犠牲者みたい……。遺体は本物の失踪者で、生きてるほうが「クローン」。実験は失敗し、男性は命を落とした……。			例の双子は、魂を「移植」する実験の犠牲者みたい……。遺体は本物の失踪者で、生きてるほうが「クローン」。実験は失敗し、男性は命を落とした……。			ココロココニアラズ							
言葉を発しない「近東風の若者」と「自失状態の失踪者」……彼らこそ、魂のない人造生命体「クローン」だったんだよ！			言葉を発しない「近東風の若者」と「自失状態の失踪者」……彼らこそ、魂のない人造生命体「クローン」だったんだよ！			ココロココニアラズ							
……でも、ワーウードの悪行も、ここまでだ！銀泪湖北岸に、新しいアジトがあることがわかったの。身柄を確保しにいくから、現地で合流しましょ！			……でも、ワーウードの悪行も、ここまでだ！銀泪湖北岸に、新しいアジトがあることがわかったの。身柄を確保しにいくから、現地で合流しましょ！			ココロココニアラズ							
