彷徨う階段亭のサイエラは、冒険者に聞きたいことがあるようだ。			彷徨う階段亭のサイエラは、冒険者に聞きたいことがあるようだ。			時を超えた想い							
あのクリスタルがどうなったのか気になっていてね。もしや、四使徒やアシエンと戦った君なら、何か知っているんじゃないか？			あのクリスタルがどうなったのか気になっていてね。もしや、四使徒やアシエンと戦った君なら、何か知っているんじゃないか？			時を超えた想い							
そうか……アルバートのクリスタルは、セトに託したんだな。彼らの絆を思えば、君の判断は正しかろう。			そうか……アルバートのクリスタルは、セトに託したんだな。彼らの絆を思えば、君の判断は正しかろう。			時を超えた想い							
ところで、ものは相談なんだが……君が持つ、残り4人のクリスタル……私に預からせてくれないか？			ところで、ものは相談なんだが……君が持つ、残り4人のクリスタル……私に預からせてくれないか？			時を超えた想い							
むろん、アルバートの魂を受け継いだ君が、これまでと同様に、持ち続けるというのも道理ではあろう。だが、君には戻らねばならない世界があるはずだ。			むろん、アルバートの魂を受け継いだ君が、これまでと同様に、持ち続けるというのも道理ではあろう。だが、君には戻らねばならない世界があるはずだ。			時を超えた想い							
私は、彼らに見せてやりたいんだ。彼らが守ろうとしたこの世界が、明日へ向かっていく姿を。			私は、彼らに見せてやりたいんだ。彼らが守ろうとしたこの世界が、明日へ向かっていく姿を。			時を超えた想い							
……なに、今すぐに結論を出さなくてもいいさ。四使徒の討伐に関わった賞金稼ぎたちと話し合ってから、答えを決めてくれ。			……なに、今すぐに結論を出さなくてもいいさ。四使徒の討伐に関わった賞金稼ぎたちと話し合ってから、答えを決めてくれ。			時を超えた想い							
ング、ング、ング……プハァ……。			ング、ング、ング……プハァ……。			時を超えた想い							
なんじゃ、お前さんか。さては、一杯ひっかけに来たんじゃな？ワシに何か用か？			なんじゃ、お前さんか。さては、一杯ひっかけに来たんじゃな？ワシに何か用か？			時を超えた想い							
ほう、四使徒から取り戻した英雄のクリスタルについて、相談したいことがあるじゃと？			ほう、四使徒から取り戻した英雄のクリスタルについて、相談したいことがあるじゃと？			時を超えた想い							
そういうことなら、ほかの賞金稼ぎたちも呼ばねばなるまい。ルー・リークの小僧にタダ酒の約束を果たしてもらう、良い機会じゃ！			そういうことなら、ほかの賞金稼ぎたちも呼ばねばなるまい。ルー・リークの小僧にタダ酒の約束を果たしてもらう、良い機会じゃ！			時を超えた想い							
この酒場にいない連中は、ワシが呼んでこよう。お前さんは、「ケリッグ」のもとで待っておれ！			この酒場にいない連中は、ワシが呼んでこよう。お前さんは、「ケリッグ」のもとで待っておれ！			時を超えた想い							
4人のクリスタルについては、今すぐ結論を出さなくてもいい。四使徒の討伐に関わった賞金稼ぎたちと話し合ってから、答えを決めてくれ。			4人のクリスタルについては、今すぐ結論を出さなくてもいい。四使徒の討伐に関わった賞金稼ぎたちと話し合ってから、答えを決めてくれ。			時を超えた想い							
よう、Forenameじゃないか。どうしたんだ？			よう、Forenameじゃないか。どうしたんだ？			時を超えた想い							
なるほどな。ほかの賞金稼ぎたちを集めて、相談したいことがあると。			なるほどな。ほかの賞金稼ぎたちを集めて、相談したいことがあると。			時を超えた想い							
ジオットさんの言う、ルー・リークさんとの約束って何ですか？			ジオットさんの言う、ルー・リークさんとの約束って何ですか？			時を超えた想い							
そういや、思いだしたぜ！あのお坊ちゃんに、タダ酒を振る舞ってもらう約束をしてたんだった！			そういや、思いだしたぜ！あのお坊ちゃんに、タダ酒を振る舞ってもらう約束をしてたんだった！			時を超えた想い							
そうとなれば善は急げだ！テイナー、さっそく料理と酒を注文してきてくれ！			そうとなれば善は急げだ！テイナー、さっそく料理と酒を注文してきてくれ！			時を超えた想い							
……わかりました。でも、おごりだからって飲み過ぎちゃダメですよ？酔ったケリッグさんをお部屋まで運ぶの、大変だから……。			……わかりました。でも、おごりだからって飲み過ぎちゃダメですよ？酔ったケリッグさんをお部屋まで運ぶの、大変だから……。			時を超えた想い							
またせたの！小僧と根暗剣士を呼んできてやったぞい！			またせたの！小僧と根暗剣士を呼んできてやったぞい！			時を超えた想い							
オレたちに相談があると聞いてな。詳しく話を聞かせてくれ。			オレたちに相談があると聞いてな。詳しく話を聞かせてくれ。			時を超えた想い							
……あのエルフ族の給仕係が、ナイルベルトたちのかつての仲間であり、影の王だって？おまけに、ノルヴラントとは別の世界からやってきた？			……あのエルフ族の給仕係が、ナイルベルトたちのかつての仲間であり、影の王だって？おまけに、ノルヴラントとは別の世界からやってきた？			時を超えた想い							
その話が本当だとすると、いろいろと疑問が浮かびますが……			その話が本当だとすると、いろいろと疑問が浮かびますが……			時を超えた想い							
ああ、そうだな。あの女、いったい何歳なんだ？			ああ、そうだな。あの女、いったい何歳なんだ？			時を超えた想い							
いや、もっとほかに気にすることがあるだろ……。			いや、もっとほかに気にすることがあるだろ……。			時を超えた想い							
やはりの……。あの給仕係がタダ者ではないことは、酒場の常連であるワシには、とっくにわかっておった。			やはりの……。あの給仕係がタダ者ではないことは、酒場の常連であるワシには、とっくにわかっておった。			時を超えた想い							
いつも、気分良く酒を呑んでいるはずなのに、気づけば無一文で、店の外に放り出されておるのじゃ……。きっと、これが影の王の力……			いつも、気分良く酒を呑んでいるはずなのに、気づけば無一文で、店の外に放り出されておるのじゃ……。きっと、これが影の王の力……			時を超えた想い							
えっと、それはただの飲み過ぎじゃ……。			えっと、それはただの飲み過ぎじゃ……。			時を超えた想い							
ともかく、だ。相棒は、ブランデンたちのクリスタルを、サイエラに託して良いか、決めあぐねているんだな？			ともかく、だ。相棒は、ブランデンたちのクリスタルを、サイエラに託して良いか、決めあぐねているんだな？			時を超えた想い							
ブランデンたちにとって、この世界には数え切れない思い出や、大切な人たちが眠っているはずだ。			ブランデンたちにとって、この世界には数え切れない思い出や、大切な人たちが眠っているはずだ。			時を超えた想い							
ならば、この世界に留まらせてやるのが、ナイルベルトたちのためでもある……ってか。俺も同感だ。			ならば、この世界に留まらせてやるのが、ナイルベルトたちのためでもある……ってか。俺も同感だ。			時を超えた想い							
アルバートのクリスタルが、この世界にある以上、ラミットの願いは、当人に聞くまでもないと思うぞい。			アルバートのクリスタルが、この世界にある以上、ラミットの願いは、当人に聞くまでもないと思うぞい。			時を超えた想い							
何はともあれ、レンダ・レイたちは、この世界が好きだったんだろ？なら、ここにいたいんじゃないか……みんな、一緒で。			何はともあれ、レンダ・レイたちは、この世界が好きだったんだろ？なら、ここにいたいんじゃないか……みんな、一緒で。			時を超えた想い							
答えは出たようですね。			答えは出たようですね。			時を超えた想い							
そうと決まれば、酒を取れ！ワシらの世界のために戦った英雄のために！献杯じゃ！			そうと決まれば、酒を取れ！ワシらの世界のために戦った英雄のために！献杯じゃ！			時を超えた想い							
(-賞金稼ぎたち-)献杯ッ！			(-賞金稼ぎたち-)献杯ッ！			時を超えた想い							
さあ、しんみりするのは、ここまでだ。今日は、俺の奢りだからな、楽しんでくれ！			さあ、しんみりするのは、ここまでだ。今日は、俺の奢りだからな、楽しんでくれ！			時を超えた想い							
あいにく、オレは飲めないんでね。このジュースでも、ちびちびやらせてもらうさ。			あいにく、オレは飲めないんでね。このジュースでも、ちびちびやらせてもらうさ。			時を超えた想い							
あ、それは……！			あ、それは……！			時を超えた想い							
まったく……飲み食いしただけで、どうしてこうなるんだ？君たちの馬鹿騒ぎは酒場中に響いていたぞ。			まったく……飲み食いしただけで、どうしてこうなるんだ？君たちの馬鹿騒ぎは酒場中に響いていたぞ。			時を超えた想い							
おかげで、君たちが出した結論も聞こえてきたが……本当に良いのか？			おかげで、君たちが出した結論も聞こえてきたが……本当に良いのか？			時を超えた想い							
何と言う？			何と言う？			時を超えた想い							
語り部に託したぞ……！			語り部に託したぞ……！			時を超えた想い							
皆が出した結論だから……			皆が出した結論だから……			時を超えた想い							
……ありがとう。自分の役割は肝に銘じておくさ。			……ありがとう。自分の役割は肝に銘じておくさ。			時を超えた想い							
……ありがとう。君たちに後悔はさせないつもりさ。			……ありがとう。君たちに後悔はさせないつもりさ。			時を超えた想い							
……ありがとう。			……ありがとう。			時を超えた想い							
これは……			これは……			時を超えた想い							
クリスタルを通じて、彼らの記憶の残滓が流れ込んでくる……！			クリスタルを通じて、彼らの記憶の残滓が流れ込んでくる……！			時を超えた想い							
なんてことだ……。クソッ……！			なんてことだ……。クソッ……！			時を超えた想い							
彼らは、みなアルバートと同じだったんだ……。アシエンの口車に乗せられて、彼らの想いを利用したこの私を、最後まで…………			彼らは、みなアルバートと同じだったんだ……。アシエンの口車に乗せられて、彼らの想いを利用したこの私を、最後まで…………			時を超えた想い							
最後まで仲間だと……友だと思っていてくれたんだ……。			最後まで仲間だと……友だと思っていてくれたんだ……。			時を超えた想い							
ぼくたちに話したいことがある？では、「ケリッグ」さんも交えて話しましょうか。			ぼくたちに話したいことがある？では、「ケリッグ」さんも交えて話しましょうか。			時を超えた想い							
ようやく、宴の後片付けが終わったよ。次に酒盛りを開く時は、事前に教えておいてくれ。私とグリナードだけでは、酒を捌ききれないのでね。			ようやく、宴の後片付けが終わったよ。次に酒盛りを開く時は、事前に教えておいてくれ。私とグリナードだけでは、酒を捌ききれないのでね。			時を超えた想い							
それはそれとして、君には本当に感謝してもしきれない。君が託してくれた彼らの想いは、私が、英雄譚の語り部として……何よりも、「光の戦士たち」の友人として、生涯語り継いでいくさ。			それはそれとして、君には本当に感謝してもしきれない。君が託してくれた彼らの想いは、私が、英雄譚の語り部として……何よりも、「光の戦士たち」の友人として、生涯語り継いでいくさ。			時を超えた想い							
次のクエストをすべてコンプリートすることで、サブクエスト「第一世界へ」を受注することができます。			次のクエストをすべてコンプリートすることで、サブクエスト「第一世界へ」を受注することができます。			時を超えた想い							
クロニクルクエスト「極まりし武神ラーヴァナ」、「極まりし雲神ビスマルク」、「極まりし魔神セフィロト」、「極まりし女神ソフィア」、「極まりし鬼神ズルワーン」。			クロニクルクエスト「極まりし武神ラーヴァナ」、「極まりし雲神ビスマルク」、「極まりし魔神セフィロト」、「極まりし女神ソフィア」、「極まりし鬼神ズルワーン」。			時を超えた想い							
ウッ……やはり、酒は受けつけんな……。			ウッ……やはり、酒は受けつけんな……。			時を超えた想い							
うそだろ……あいつらに奢ったぶんの支払いで、ここ数日の稼ぎが、全部吹っ飛んだぞ……！？			うそだろ……あいつらに奢ったぶんの支払いで、ここ数日の稼ぎが、全部吹っ飛んだぞ……！？			時を超えた想い							
いやあ、呑んだ呑んだ！酔っ払ったのは、いつぶりじゃったか……。さてと、さっそく迎え酒を呑まねばならんの！			いやあ、呑んだ呑んだ！酔っ払ったのは、いつぶりじゃったか……。さてと、さっそく迎え酒を呑まねばならんの！			時を超えた想い							
いてて……まだ頭がズキズキしやがる。			いてて……まだ頭がズキズキしやがる。			時を超えた想い							
もう、おごりだからって、調子に乗りすぎです。あれほど、ほどほどにって釘を刺しておいたのに……。			もう、おごりだからって、調子に乗りすぎです。あれほど、ほどほどにって釘を刺しておいたのに……。			時を超えた想い							
彷徨う階段亭のグリナードは、冒険者の凱旋を待ちわびていたようだ。			彷徨う階段亭のグリナードは、冒険者の凱旋を待ちわびていたようだ。			影の英雄譚							
サイエラから、悪しき存在の討伐を依頼された。クリスタリウムの天蓋の座で「サイエラ」と話そう。			サイエラから、悪しき存在の討伐を依頼された。クリスタリウムの天蓋の座で「サイエラ」と話そう。			影の英雄譚							
悪しき存在というのは、四使徒が生まれる要因となった「すべての元凶」だという。コルシア島の偏屈者の小屋で「サイエラ」と話そう。			悪しき存在というのは、四使徒が生まれる要因となった「すべての元凶」だという。コルシア島の偏屈者の小屋で「サイエラ」と話そう。			影の英雄譚							
すべての元凶とは、かつてアルバートたちと旅をともにしていたシルヴァだという。アム・アレーンのアンバーフィールドで「サイエラ」と話そう。			すべての元凶とは、かつてアルバートたちと旅をともにしていたシルヴァだという。アム・アレーンのアンバーフィールドで「サイエラ」と話そう。			影の英雄譚							
シルヴァは、ナイルベルトが捨てた「追慕の心」を盗み、自らの力に変えたという。ラケティカ大森林のシチュア湿地で「サイエラ」と話そう。			シルヴァは、ナイルベルトが捨てた「追慕の心」を盗み、自らの力に変えたという。ラケティカ大森林のシチュア湿地で「サイエラ」と話そう。			影の英雄譚							
シルヴァは、レンダ・レイからも、彼女が捨てた「自由なる心」を盗んだらしい。イル・メグのリェー・ギア城で「サイエラ」と話そう。			シルヴァは、レンダ・レイからも、彼女が捨てた「自由なる心」を盗んだらしい。イル・メグのリェー・ギア城で「サイエラ」と話そう。			影の英雄譚							
シルヴァは、ブランデンが捨て去った「温情の心」も盗み、己の力にしていたらしい。コルシア島のトメラの村で「サイエラ」と話そう。			シルヴァは、ブランデンが捨て去った「温情の心」も盗み、己の力にしていたらしい。コルシア島のトメラの村で「サイエラ」と話そう。			影の英雄譚							
シルヴァは、ラミットが捨てた「伝統の心」を盗み、仲間にも知られることなく、人知を超えた力を手にしたらしい。サイエラは、アルバートたちが倒した「影の王」の正体に、冒険者が気づいているのではないかと問いかけた。決戦の地、レイクランドのラクサン城にある「指定地点」で待機して、周囲を見張ろう。			シルヴァは、ラミットが捨てた「伝統の心」を盗み、仲間にも知られることなく、人知を超えた力を手にしたらしい。サイエラは、アルバートたちが倒した「影の王」の正体に、冒険者が気づいているのではないかと問いかけた。決戦の地、レイクランドのラクサン城にある「指定地点」で待機して、周囲を見張ろう。			影の英雄譚							
冒険者の前に剣を手に現れたサイエラ。彼女は、「影の王」となりアルバートたちに立ちはだかった「シルヴァ」だった。彼女の正体は、第十三世界で生まれた、英雄のなり損ないだった。シルヴァは、四使徒を討った冒険者に討たれたいと、ここまで冒険者を導いたのだった。冒険者と話すことで、シルヴァは死すことなく、酒場に戻って真実を伝える語り部となることを決めた。彷徨う階段亭に戻り「サイエラ」と話そう。			冒険者の前に剣を手に現れたサイエラ。彼女は、「影の王」となりアルバートたちに立ちはだかった「シルヴァ」だった。彼女の正体は、第十三世界で生まれた、英雄のなり損ないだった。シルヴァは、四使徒を討った冒険者に討たれたいと、ここまで冒険者を導いたのだった。冒険者と話すことで、シルヴァは死すことなく、酒場に戻って真実を伝える語り部となることを決めた。彷徨う階段亭に戻り「サイエラ」と話そう。			影の英雄譚							
サイエラは、彼女自身ができなかったぶん、冒険者には真の英雄として歩み続けてほしいようだ。			サイエラは、彼女自身ができなかったぶん、冒険者には真の英雄として歩み続けてほしいようだ。			影の英雄譚							
天蓋の座のサイエラと話す			天蓋の座のサイエラと話す			影の英雄譚							
偏屈者の小屋のサイエラと話す			偏屈者の小屋のサイエラと話す			影の英雄譚							
アンバーフィールドのサイエラと話す			アンバーフィールドのサイエラと話す			影の英雄譚							
シチュア湿地のサイエラと話す			シチュア湿地のサイエラと話す			影の英雄譚							
リェー・ギア城のサイエラと話す			リェー・ギア城のサイエラと話す			影の英雄譚							
トメラの村のサイエラと話す			トメラの村のサイエラと話す			影の英雄譚							
ラクサン城の指定地点で待機			ラクサン城の指定地点で待機			影の英雄譚							
彷徨う階段亭のサイエラと話す			彷徨う階段亭のサイエラと話す			影の英雄譚							
おお、我らが英雄の凱旋だな！			おお、我らが英雄の凱旋だな！			影の英雄譚							
なんだ、忘れちまったのか？この酒場から「四使徒」を倒す英雄が現れたら、俺としても誇らしいって話をしたことをよ！			なんだ、忘れちまったのか？この酒場から「四使徒」を倒す英雄が現れたら、俺としても誇らしいって話をしたことをよ！			影の英雄譚							
あの時は「夜」の訪れで舞い上がってたから、冗談半分で言ったんだが、まさかすべての使徒を倒すとはな！まさしく英雄……いや、大英雄だぜ！			あの時は「夜」の訪れで舞い上がってたから、冗談半分で言ったんだが、まさかすべての使徒を倒すとはな！まさしく英雄……いや、大英雄だぜ！			影の英雄譚							
私はマスターと違って、最初にお目にかかったときから信じていましたよ？貴方が、四使徒を倒してくれるって……。			私はマスターと違って、最初にお目にかかったときから信じていましたよ？貴方が、四使徒を倒してくれるって……。			影の英雄譚							
ハッ……調子のいいヤツめ！			ハッ……調子のいいヤツめ！			影の英雄譚							
が、そんな話はともかく、せっかく来店してくれたんだ。一杯奢るから、罪喰いとの戦いの旅について聞かせてくれ！			が、そんな話はともかく、せっかく来店してくれたんだ。一杯奢るから、罪喰いとの戦いの旅について聞かせてくれ！			影の英雄譚							
なんて……なんて、ヤツらなんだ……。どうやら、俺は四使徒たち……いや、「光の戦士たち」のことを誤解していたようだぜ……。			なんて……なんて、ヤツらなんだ……。どうやら、俺は四使徒たち……いや、「光の戦士たち」のことを誤解していたようだぜ……。			影の英雄譚							
命がけで、悪しき存在を倒したはずなのに、それが世界の崩壊に……「光の氾濫」に繋がっちまうだなんて！			命がけで、悪しき存在を倒したはずなのに、それが世界の崩壊に……「光の氾濫」に繋がっちまうだなんて！			影の英雄譚							
彼らの魂に安らぎあれ！今日、この一杯は、彼らに捧げよう……！			彼らの魂に安らぎあれ！今日、この一杯は、彼らに捧げよう……！			影の英雄譚							
まったく、相変わらずマスターは情にもろいんだから……。さあ、マスター、愉しいお話はここまでにして、お客さんの相手をしてきてくださいな。			まったく、相変わらずマスターは情にもろいんだから……。さあ、マスター、愉しいお話はここまでにして、お客さんの相手をしてきてくださいな。			影の英雄譚							
やれやれ、この店にサイエラがいるかぎり、俺の方には安息が訪れることはなさそうだぜ。じゃあな、英雄！　いつでも、立ち寄ってくれよ！			やれやれ、この店にサイエラがいるかぎり、俺の方には安息が訪れることはなさそうだぜ。じゃあな、英雄！　いつでも、立ち寄ってくれよ！			影の英雄譚							
Forenameさん、本日は貴重な話をありがとうございました。その上で、厚かましいのですが……聞いてほしい話があるのです。			Forenameさん、本日は貴重な話をありがとうございました。その上で、厚かましいのですが……聞いてほしい話があるのです。			影の英雄譚							
まだ、残っているのですよ。倒すべき……存在してはならない悪しき存在が……。四使徒を倒した貴方に、ぜひその討伐を依頼したいのです。			まだ、残っているのですよ。倒すべき……存在してはならない悪しき存在が……。四使徒を倒した貴方に、ぜひその討伐を依頼したいのです。			影の英雄譚							
もしも興味を持ってくださるのでしたら、「天蓋の座」にいらしてください。どうか、よろしくお願いします。			もしも興味を持ってくださるのでしたら、「天蓋の座」にいらしてください。どうか、よろしくお願いします。			影の英雄譚							
サイエラのヤツ、俺を仕事に追いやっておきながら、急用があるとかで帰っちまいやがった……。どうしたってんだ？			サイエラのヤツ、俺を仕事に追いやっておきながら、急用があるとかで帰っちまいやがった……。どうしたってんだ？			影の英雄譚							
来てくださったのですね。貴方は、やはり私が思ったとおりの人です。			来てくださったのですね。貴方は、やはり私が思ったとおりの人です。			影の英雄譚							
倒すべき悪しき存在がいると知れば無視はできず、助けを求められれば、つい手を差し伸べてしまう。やはり、貴方は「良い人」です……。			倒すべき悪しき存在がいると知れば無視はできず、助けを求められれば、つい手を差し伸べてしまう。やはり、貴方は「良い人」です……。			影の英雄譚							
フフ、そう身構えないでくださいな。討伐すべき悪しき存在がいるという話は、嘘などではありません。しかも、あの四使徒が生まれる要因となった者なのです。			フフ、そう身構えないでくださいな。討伐すべき悪しき存在がいるという話は、嘘などではありません。しかも、あの四使徒が生まれる要因となった者なのです。			影の英雄譚							
酒場のウェイトレスに過ぎない私が、そのような依頼を持ちかけるのが不思議ですか？			酒場のウェイトレスに過ぎない私が、そのような依頼を持ちかけるのが不思議ですか？			影の英雄譚							
ですが、話の順序が逆なのです……。私は、一連の事件に終止符を打つために酒場で働き、四使徒を倒せる人材を探し、賞金稼ぎたちに紹介したのですから。			ですが、話の順序が逆なのです……。私は、一連の事件に終止符を打つために酒場で働き、四使徒を倒せる人材を探し、賞金稼ぎたちに紹介したのですから。			影の英雄譚							
すでに倒すべき「すべての元凶」の正体は、目星がついています。ですが、その者を追うには、根気がいることでしょう。			すでに倒すべき「すべての元凶」の正体は、目星がついています。ですが、その者を追うには、根気がいることでしょう。			影の英雄譚							
どうか長旅となる覚悟をした上で、来てください。最初の手がかりがあるのはコルシア島……「偏屈者の小屋」にて、お待ちしております。			どうか長旅となる覚悟をした上で、来てください。最初の手がかりがあるのはコルシア島……「偏屈者の小屋」にて、お待ちしております。			影の英雄譚							
はるばる、ご足労いただき、ありがとうございます。どうやら私と同様、しっかりと長旅の準備を、整えてきてくださったようですね。			はるばる、ご足労いただき、ありがとうございます。どうやら私と同様、しっかりと長旅の準備を、整えてきてくださったようですね。			影の英雄譚							
ここは、ある意味において、すべてが始まった場所です。若き冒険者「アルバート」と癒やし手「ラミット」の出会いの場、貴方も、その様子を視たのでしょう？			ここは、ある意味において、すべてが始まった場所です。若き冒険者「アルバート」と癒やし手「ラミット」の出会いの場、貴方も、その様子を視たのでしょう？			影の英雄譚							
彼らは若く、未熟でしたが、ある才を秘めていました。貴方と同じく「英雄」となるべき異能を有していたのです。			彼らは若く、未熟でしたが、ある才を秘めていました。貴方と同じく「英雄」となるべき異能を有していたのです。			影の英雄譚							
が、その才が開花するのは、後のこと……。当初は、一介の冒険者として旅し、放浪の騎士「ブランデン」や、森の狩人「レンダ・レイ」を、仲間に加えていきました。			が、その才が開花するのは、後のこと……。当初は、一介の冒険者として旅し、放浪の騎士「ブランデン」や、森の狩人「レンダ・レイ」を、仲間に加えていきました。			影の英雄譚							
そんなときです。一行にエルフ族の女剣士が加わったのは……。			そんなときです。一行にエルフ族の女剣士が加わったのは……。			影の英雄譚							
何かが引っかかりませんか？大罪人「光の戦士たち」は、ぜんぶで5人のはず。			何かが引っかかりませんか？大罪人「光の戦士たち」は、ぜんぶで5人のはず。			影の英雄譚							
ですが、魔道士「ナイルベルト」と出会う以前に、今や人々の記憶から忘れ去られた仲間が加わっていたのです。彼女の名は「シルヴァ」……。			ですが、魔道士「ナイルベルト」と出会う以前に、今や人々の記憶から忘れ去られた仲間が加わっていたのです。彼女の名は「シルヴァ」……。			影の英雄譚							
貴方が視た過去の情景にも、その姿があったはずです。思い出せましたか？			貴方が視た過去の情景にも、その姿があったはずです。思い出せましたか？			影の英雄譚							
彼女こそが「すべての元凶」……獅子身中の虫だったのです。			彼女こそが「すべての元凶」……獅子身中の虫だったのです。			影の英雄譚							
さあ、次の場所へ向かいましょう。ここで確認したいことは、できましたので……。次はアム・アレーンの「アンバーフィールド」です。			さあ、次の場所へ向かいましょう。ここで確認したいことは、できましたので……。次はアム・アレーンの「アンバーフィールド」です。			影の英雄譚							
お待ちしておりました、Forenameさん。さあ、さっそく物語を再開しましょう。それが「すべての元凶」に至る近道なのですから……。			お待ちしておりました、Forenameさん。さあ、さっそく物語を再開しましょう。それが「すべての元凶」に至る近道なのですから……。			影の英雄譚							
女剣士シルヴァを加え、5名になったアルバート一行は、当時ナバスアレンの領地だった、アム・アレーンにやってきました。そして、坑道に住み着いた魔物の討伐依頼を受けます。			女剣士シルヴァを加え、5名になったアルバート一行は、当時ナバスアレンの領地だった、アム・アレーンにやってきました。そして、坑道に住み着いた魔物の討伐依頼を受けます。			影の英雄譚							
ここで、同じ討伐目標を奪い合う競争相手として出会ったのが、エルフ族の魔道士「ナイルベルト」でした。			ここで、同じ討伐目標を奪い合う競争相手として出会ったのが、エルフ族の魔道士「ナイルベルト」でした。			影の英雄譚							
地震による坑道の崩落という想定外の出来事から、共闘を余儀なくされたことで、彼らは手を取り合います。そして、見事に魔物「ボヴァイン」を倒したのでした。			地震による坑道の崩落という想定外の出来事から、共闘を余儀なくされたことで、彼らは手を取り合います。そして、見事に魔物「ボヴァイン」を倒したのでした。			影の英雄譚							
この時、ナイルベルトは、件の魔物が持つ、莫大な魔力を秘めた鉱石「魔光石」を求めていたそうです。次元の狭間へと落ちた、親友を救うために……。			この時、ナイルベルトは、件の魔物が持つ、莫大な魔力を秘めた鉱石「魔光石」を求めていたそうです。次元の狭間へと落ちた、親友を救うために……。			影の英雄譚							
ですが、魔光石の魔力を大地に還元せねば、地盤は崩壊し、山に呑まれて多くの人々が生き埋めになる。結局、ナイルベルトは目の前の人々を救う道を選びました……。			ですが、魔光石の魔力を大地に還元せねば、地盤は崩壊し、山に呑まれて多くの人々が生き埋めになる。結局、ナイルベルトは目の前の人々を救う道を選びました……。			影の英雄譚							
私心を捨て他者を救う、まさに英雄的な決断を下したとき、ナイルベルトは不思議な光を放つクリスタルを手にしたそうです。つまり、これこそが「光の戦士」誕生の瞬間だったのですよ……。			私心を捨て他者を救う、まさに英雄的な決断を下したとき、ナイルベルトは不思議な光を放つクリスタルを手にしたそうです。つまり、これこそが「光の戦士」誕生の瞬間だったのですよ……。			影の英雄譚							
以降、正式に旅の仲間となったナイルベルトは、一行の頭脳として活躍し「智慧の魔人」と呼ばれるようになります。そう、智慧……「プロネーシス」です。			以降、正式に旅の仲間となったナイルベルトは、一行の頭脳として活躍し「智慧の魔人」と呼ばれるようになります。そう、智慧……「プロネーシス」です。			影の英雄譚							
一方、英雄としての第一歩を踏み出したナイルベルトを見て、女剣士シルヴァは、内心ほくそ笑んでいたことでしょう……。			一方、英雄としての第一歩を踏み出したナイルベルトを見て、女剣士シルヴァは、内心ほくそ笑んでいたことでしょう……。			影の英雄譚							
彼女は、彼が捨てた「追慕の心」を盗み、密やかに自らの力へと変えていたのですから……。			彼女は、彼が捨てた「追慕の心」を盗み、密やかに自らの力へと変えていたのですから……。			影の英雄譚							
何のことかわからないですか？いずれ、理解できますよ。			何のことかわからないですか？いずれ、理解できますよ。			影の英雄譚							
