デルタ管区の管理システムは、静かに佇んでいる。			デルタ管区の管理システムは、静かに佇んでいる。			未登録竜への罰則							
ひとりにつき、8人の討伐により、排除は完了する見込みです。すみやかに行動に移ってください。アラグ帝国万歳！　ザンデ皇帝陛下に栄光あれ！			ひとりにつき、8人の討伐により、排除は完了する見込みです。すみやかに行動に移ってください。アラグ帝国万歳！　ザンデ皇帝陛下に栄光あれ！			やり慣れたお仕事							
ザ……ザザ……侵入者の排除を確認しました。忠実なるアラグ帝国軍将兵の皆さまの奮闘を称えます。			ザ……ザザ……侵入者の排除を確認しました。忠実なるアラグ帝国軍将兵の皆さまの奮闘を称えます。			やり慣れたお仕事							
最後の反乱から5000年ほど経過しています。今後は警備を強化するよう執政官にレポートを……ザザ……。			最後の反乱から5000年ほど経過しています。今後は警備を強化するよう執政官にレポートを……ザザ……。			やり慣れたお仕事							
第VI転送リングの製造システムは、静かに佇んでいる。			第VI転送リングの製造システムは、静かに佇んでいる。			兵器循環							
製造システムから、資源供給のため、老朽化した兵器の破壊を頼まれた。アジス・ラーの古代のカテドラルにいる「魔導コロッサスIII」を3体討伐しよう。			製造システムから、資源供給のため、老朽化した兵器の破壊を頼まれた。アジス・ラーの古代のカテドラルにいる「魔導コロッサスIII」を3体討伐しよう。			兵器循環							
魔導コロッサスIIIを討伐した。第VI転送リングの「製造システム」に報告しよう。			魔導コロッサスIIIを討伐した。第VI転送リングの「製造システム」に報告しよう。			兵器循環							
製造システムに報告した。冒険者が破壊した魔導コロッサスIIIの残骸では、新しい兵器を製造できないようだ……。			製造システムに報告した。冒険者が破壊した魔導コロッサスIIIの残骸では、新しい兵器を製造できないようだ……。			兵器循環							
魔導コロッサスIIIを討伐			魔導コロッサスIIIを討伐			兵器循環							
製造システムに報告			製造システムに報告			兵器循環							
ザ……ザザ……材料不足に伴う、兵器の製造プラントの停止から、5014年が経過……。直ちに資源の供給を再開してください……。			ザ……ザザ……材料不足に伴う、兵器の製造プラントの停止から、5014年が経過……。直ちに資源の供給を再開してください……。			兵器循環							
補給路が断たれている場合は、老朽化した兵器を破壊し、再利用することを推奨します。規定性能に満たない鉄巨人タイプを、3体ほど破壊してください。			補給路が断たれている場合は、老朽化した兵器を破壊し、再利用することを推奨します。規定性能に満たない鉄巨人タイプを、3体ほど破壊してください。			兵器循環							
補給路が断たれている場合は、老朽化した兵器を破壊し、再利用することを推奨します。規定性能に満たない鉄巨人タイプを、3体ほど破壊してください。			補給路が断たれている場合は、老朽化した兵器を破壊し、再利用することを推奨します。規定性能に満たない鉄巨人タイプを、3体ほど破壊してください。			兵器循環							
ザ……ザザ……兵器破壊を確認……。しかし、検出した残骸は、アラグ帝国製ではない模様……劣悪な模造品の可能性大……正しい資材の供給を要望します！			ザ……ザザ……兵器破壊を確認……。しかし、検出した残骸は、アラグ帝国製ではない模様……劣悪な模造品の可能性大……正しい資材の供給を要望します！			兵器循環							
ガンマ管区の監査システムは、静かに佇んでいる。			ガンマ管区の監査システムは、静かに佇んでいる。			未熟な帝国技術							
監査システムから、未登録物資の調査のため、サーメット製コンテナを5個回収するよう頼まれた。アジス・ラーのカストルム・ソルスにある「サーメット製コンテナ」を5個回収しよう。			監査システムから、未登録物資の調査のため、サーメット製コンテナを5個回収するよう頼まれた。アジス・ラーのカストルム・ソルスにある「サーメット製コンテナ」を5個回収しよう。			未熟な帝国技術							
サーメット製コンテナを回収した。ガンマ管区の「監査システム」に「サーメット製コンテナ」を渡そう。			サーメット製コンテナを回収した。ガンマ管区の「監査システム」に「サーメット製コンテナ」を渡そう。			未熟な帝国技術							
監査システムにサーメット製コンテナを渡した。コンテナを調べた監査システムは、中身を未熟で劣悪な複製品だと判断した。			監査システムにサーメット製コンテナを渡した。コンテナを調べた監査システムは、中身を未熟で劣悪な複製品だと判断した。			未熟な帝国技術							
サーメット製コンテナを入手			サーメット製コンテナを入手			未熟な帝国技術							
監査システムにサーメット製コンテナを渡す			監査システムにサーメット製コンテナを渡す			未熟な帝国技術							
ザ……ザザ……未登録物資が放置されています。対象を「サーメット製コンテナ」と設定。調査する必要があるため、5個ほど回収をお願いします。			ザ……ザザ……未登録物資が放置されています。対象を「サーメット製コンテナ」と設定。調査する必要があるため、5個ほど回収をお願いします。			未熟な帝国技術							
ザ……ザザ……未登録物資が放置されています。対象を「サーメット製コンテナ」と設定。調査する必要があるため、5個ほど回収をお願いします。			ザ……ザザ……未登録物資が放置されています。対象を「サーメット製コンテナ」と設定。調査する必要があるため、5個ほど回収をお願いします。			未熟な帝国技術							
ザ……ザザ……未登録物資が放置されています。対象を「サーメット製コンテナ」と設定。調査する必要があるため、5個ほど回収をお願いします。			ザ……ザザ……未登録物資が放置されています。対象を「サーメット製コンテナ」と設定。調査する必要があるため、5個ほど回収をお願いします。			未熟な帝国技術							
未登録物資の確認……スキャン完了しました。内部にアラグ帝国製部材の複製品を確認。技術的には未熟で、劣悪な複製です。			未登録物資の確認……スキャン完了しました。内部にアラグ帝国製部材の複製品を確認。技術的には未熟で、劣悪な複製です。			未熟な帝国技術							
真に遺憾です。知的財産は守りましょう……ザザ……。			真に遺憾です。知的財産は守りましょう……ザザ……。			未熟な帝国技術							
第IV転送リング付近の狩猟システムは、静かに佇んでいる。			第IV転送リング付近の狩猟システムは、静かに佇んでいる。			狩るか、狩られるか							
狩猟システムからエンプーサの狩猟を勧められた。アジス・ラーのベータ管区にいる「エンプーサ」を4体討伐しよう。			狩猟システムからエンプーサの狩猟を勧められた。アジス・ラーのベータ管区にいる「エンプーサ」を4体討伐しよう。			狩るか、狩られるか							
エンプーサを討伐した。第IV転送リング付近の「狩猟システム」に報告しよう。			エンプーサを討伐した。第IV転送リング付近の「狩猟システム」に報告しよう。			狩るか、狩られるか							
狩猟システムに報告した。どうやら、冒険者はハンティングする側ではなく、ハンティングされる側だったようだ……。			狩猟システムに報告した。どうやら、冒険者はハンティングする側ではなく、ハンティングされる側だったようだ……。			狩るか、狩られるか							
エンプーサを討伐			エンプーサを討伐			狩るか、狩られるか							
狩猟システムに報告			狩猟システムに報告			狩るか、狩られるか							
……ザザ……こちらは、「魔科学研究所」福利厚生部門です！気晴らしにスリリングな、ハンティングはいかがですか？			……ザザ……こちらは、「魔科学研究所」福利厚生部門です！気晴らしにスリリングな、ハンティングはいかがですか？			狩るか、狩られるか							
健康的な市民生活は、日々の適度な運動から！本日のターゲットは、「エンプーサ」4体です！さあ、己の限界に挑戦してみましょう！			健康的な市民生活は、日々の適度な運動から！本日のターゲットは、「エンプーサ」4体です！さあ、己の限界に挑戦してみましょう！			狩るか、狩られるか							
健康的な市民生活は、日々の適度な運動から！本日のターゲットは、「エンプーサ」4体です！さあ、己の限界に挑戦してみましょう！			健康的な市民生活は、日々の適度な運動から！本日のターゲットは、「エンプーサ」4体です！さあ、己の限界に挑戦してみましょう！			狩るか、狩られるか							
ザ……ザザ……業務連絡、業務連絡、主任研究員……ザザ……の、新型対人生体兵器「エンプーサ」が排除された模様……。			ザ……ザザ……業務連絡、業務連絡、主任研究員……ザザ……の、新型対人生体兵器「エンプーサ」が排除された模様……。			狩るか、狩られるか							
まことに遺憾です。ところで……ハンティング対象であるあなたが、なぜ、生きているのでしょうか……ザザ……。			まことに遺憾です。ところで……ハンティング対象であるあなたが、なぜ、生きているのでしょうか……ザザ……。			狩るか、狩られるか							
第IV転送リング付近の保全システムは、静かに佇んでいる。			第IV転送リング付近の保全システムは、静かに佇んでいる。			胞子汚染							
保全システムによると、コープスフラワーによって大気が汚染されているらしい。アジス・ラーのベータ管区にいる「コープスフラワー」を4体討伐しよう。			保全システムによると、コープスフラワーによって大気が汚染されているらしい。アジス・ラーのベータ管区にいる「コープスフラワー」を4体討伐しよう。			胞子汚染							
コープスフラワーを倒した。第IV転送リング付近の「保全システム」に報告しよう。			コープスフラワーを倒した。第IV転送リング付近の「保全システム」に報告しよう。			胞子汚染							
保全システムに報告した。胞子の異常放出は、コープスフラワーが合成生物用の培養液を吸い上げたことが原因だったそうだ。			保全システムに報告した。胞子の異常放出は、コープスフラワーが合成生物用の培養液を吸い上げたことが原因だったそうだ。			胞子汚染							
コープスフラワーを討伐			コープスフラワーを討伐			胞子汚染							
保全システムに報告			保全システムに報告			胞子汚染							
ザ……ザザ……付近一帯の空気に異常な量の胞子を確認。コープスフラワーから放出したものと思われます。			ザ……ザザ……付近一帯の空気に異常な量の胞子を確認。コープスフラワーから放出したものと思われます。			胞子汚染							
大気汚染が進行しています。すみやかに「コープスフラワー」を駆除してください。			大気汚染が進行しています。すみやかに「コープスフラワー」を駆除してください。			胞子汚染							
大気汚染が進行しています。すみやかに「コープスフラワー」を駆除してください。			大気汚染が進行しています。すみやかに「コープスフラワー」を駆除してください。			胞子汚染							
ザ……ザザ……コープスフラワーの反応消失を確認。お疲れさまでした。			ザ……ザザ……コープスフラワーの反応消失を確認。お疲れさまでした。			胞子汚染							
胞子の異常放出は、対象が、合成生物用の培養液を吸い上げたことが原因と判明。キメラ生成ラボにレポートを提出します……ザザ……。			胞子の異常放出は、対象が、合成生物用の培養液を吸い上げたことが原因と判明。キメラ生成ラボにレポートを提出します……ザザ……。			胞子汚染							
第III転送リングの研究システムは、静かに佇んでいる。			第III転送リングの研究システムは、静かに佇んでいる。			試作キメラ生物							
研究システムから、アラグ帝国軍将兵への協力要請を聞いた。アジス・ラーのベータ管区にいる「アラガン・キマイラ」を2体討伐しよう。			研究システムから、アラグ帝国軍将兵への協力要請を聞いた。アジス・ラーのベータ管区にいる「アラガン・キマイラ」を2体討伐しよう。			試作キメラ生物							
アラガン・キマイラを討伐した。第III転送リングの「研究システム」に報告しよう。			アラガン・キマイラを討伐した。第III転送リングの「研究システム」に報告しよう。			試作キメラ生物							
研究システムに報告した。アラガン・キマイラは、精神が不安定だったり、繁殖力を強化しすぎたりと、問題のあるキメラ生物だったようだ。			研究システムに報告した。アラガン・キマイラは、精神が不安定だったり、繁殖力を強化しすぎたりと、問題のあるキメラ生物だったようだ。			試作キメラ生物							
アラガン・キマイラを討伐			アラガン・キマイラを討伐			試作キメラ生物							
研究システムに報告			研究システムに報告			試作キメラ生物							
ザ……ザザ……キメラ生成ラボより伝達。忠実なるアラグ帝国軍将兵の諸君に、協力要請がでています。			ザ……ザザ……キメラ生成ラボより伝達。忠実なるアラグ帝国軍将兵の諸君に、協力要請がでています。			試作キメラ生物							
生体培養局から逃げ出した試作キメラ生物……「アラガン・キマイラ」が繁殖を繰り返し、増え続けています。ひとりにつき、2体の駆除をお願いいたします。			生体培養局から逃げ出した試作キメラ生物……「アラガン・キマイラ」が繁殖を繰り返し、増え続けています。ひとりにつき、2体の駆除をお願いいたします。			試作キメラ生物							
研究施設から逃げ出した合成生物……「アラガン・キマイラ」が繁殖を繰り返し増え続けています。ひとりにつき、2体の駆除をお願いいたします。			研究施設から逃げ出した合成生物……「アラガン・キマイラ」が繁殖を繰り返し増え続けています。ひとりにつき、2体の駆除をお願いいたします。			試作キメラ生物							
ザ……ザザ……アラガン・キマイラの駆除を確認。お疲れさまです、あなたのノルマは達成されました。			ザ……ザザ……アラガン・キマイラの駆除を確認。お疲れさまです、あなたのノルマは達成されました。			試作キメラ生物							
やはり3種以上の魔物の合成は、精神を不安定化するようです。さらに量産を急ぐ余り、繁殖力を強化した点も問題でしょう。新型種開発のため、データをラボに転送します……。			やはり3種以上の魔物の合成は、精神を不安定化するようです。さらに量産を急ぐ余り、繁殖力を強化した点も問題でしょう。新型種開発のため、データをラボに転送します……。			試作キメラ生物							
ポート・へリックスの訓練システムは、静かに佇んでいる。			ポート・へリックスの訓練システムは、静かに佇んでいる。			アラグ式トレーニング							
訓練システムは、アラグ帝国軍将兵用のトレーニングプログラムを開始した。アジス・ラーのアルファ管区にいる「ルークスナッパー」を5体討伐しよう。			訓練システムは、アラグ帝国軍将兵用のトレーニングプログラムを開始した。アジス・ラーのアルファ管区にいる「ルークスナッパー」を5体討伐しよう。			アラグ式トレーニング							
ルークスナッパーを5体討伐した。ポート・ヘリックスの「訓練システム」に報告しよう。			ルークスナッパーを5体討伐した。ポート・ヘリックスの「訓練システム」に報告しよう。			アラグ式トレーニング							
訓練システムに報告した。何か大切なことを知るための訓練だったようだが、大事な部分の音声がかすれていて確かなことはわからなかった。			訓練システムに報告した。何か大切なことを知るための訓練だったようだが、大事な部分の音声がかすれていて確かなことはわからなかった。			アラグ式トレーニング							
ルークスナッパーを討伐			ルークスナッパーを討伐			アラグ式トレーニング							
訓練システムに報告			訓練システムに報告			アラグ式トレーニング							
ザ……ザザ……忠実なるアラグ帝国軍将兵の皆さま、こんにちは。本日のトレーニングプログラムはこちらです。			ザ……ザザ……忠実なるアラグ帝国軍将兵の皆さま、こんにちは。本日のトレーニングプログラムはこちらです。			アラグ式トレーニング							
訓練用に設置した「ルークスナッパー」を5体、再起不能にしてください。それでは、皆さまの健闘を祈ります。			訓練用に設置した「ルークスナッパー」を5体、再起不能にしてください。それでは、皆さまの健闘を祈ります。			アラグ式トレーニング							
訓練用に設置した「ルークスナッパー」を5体、再起不能にしてください。それでは、皆さまの健闘を祈ります。			訓練用に設置した「ルークスナッパー」を5体、再起不能にしてください。それでは、皆さまの健闘を祈ります。			アラグ式トレーニング							
ザ……ザザ……おめでとうございます。本日のトレーニングプログラムはクリアされました。			ザ……ザザ……おめでとうございます。本日のトレーニングプログラムはクリアされました。			アラグ式トレーニング							
本日のザザ……で、ザ……ザ……の大切さを、知ることができたでしょう。アラグ帝国万歳！　ザンデ皇帝陛下に栄光あれ！			本日のザザ……で、ザ……ザ……の大切さを、知ることができたでしょう。アラグ帝国万歳！　ザンデ皇帝陛下に栄光あれ！			アラグ式トレーニング							
アルファ管区の保安システムは、静かに佇んでいる。			アルファ管区の保安システムは、静かに佇んでいる。			暴走する治安維持							
保安システムによると、治安維持用の兵器が暴走しているようだ。アジス・ラーのポート・ヘリックス東で「エンフォースドロイド208」を討伐しよう。			保安システムによると、治安維持用の兵器が暴走しているようだ。アジス・ラーのポート・ヘリックス東で「エンフォースドロイド208」を討伐しよう。			暴走する治安維持							
エンフォースドロイド208を討伐した。アルファ管区の「保安システム」に報告しよう。			エンフォースドロイド208を討伐した。アルファ管区の「保安システム」に報告しよう。			暴走する治安維持							
保安システムに報告した。アラグ帝国の時代に、「試作機暴走事件」という多くの被害を出した事件があったようだ。			保安システムに報告した。アラグ帝国の時代に、「試作機暴走事件」という多くの被害を出した事件があったようだ。			暴走する治安維持							
エンフォースドロイド208を討伐			エンフォースドロイド208を討伐			暴走する治安維持							
保安システムに報告			保安システムに報告			暴走する治安維持							
ザ……ザザ……エラー、エラーが発生しています。アジス・ラー治安維持兵器のシステムにアクセス不可。			ザ……ザザ……エラー、エラーが発生しています。アジス・ラー治安維持兵器のシステムにアクセス不可。			暴走する治安維持							
「エンフォースドロイド208」が暴走し、忠実なるアラグ市民の脅威と化しています……。直ちにシステムを強制排除してくださ……ザザ……。			「エンフォースドロイド208」が暴走し、忠実なるアラグ市民の脅威と化しています……。直ちにシステムを強制排除してくださ……ザザ……。			暴走する治安維持							
「エンフォースドロイド208」が暴走し、忠実なるアラグ市民の脅威と化しています……。直ちにシステムを強制排除してくださ……ザザ……。			「エンフォースドロイド208」が暴走し、忠実なるアラグ市民の脅威と化しています……。直ちにシステムを強制排除してくださ……ザザ……。			暴走する治安維持							
ザ……ザザ……暴走した治安維持兵器の反応が消失……「試作機暴走事件」の再発は、どうやら免れたようです。			ザ……ザザ……暴走した治安維持兵器の反応が消失……「試作機暴走事件」の再発は、どうやら免れたようです。			暴走する治安維持							
研究員、および、一般市民……総計209名が、犠牲になったあの惨劇の再来を、貴方が阻止したのです。不壊勲章の候補者として推薦します……IDを……ザザ……。			研究員、および、一般市民……総計209名が、犠牲になったあの惨劇の再来を、貴方が阻止したのです。不壊勲章の候補者として推薦します……IDを……ザザ……。			暴走する治安維持							
ポート・へリックスの清掃システムは、静かに佇んでいる。			ポート・へリックスの清掃システムは、静かに佇んでいる。			清掃の恐怖							
清掃システムによると、清掃端末が暴走しているようだ。アジス・ラーのアルファ管区にいる「アラガンワーク・ハーベストマン」を5体討伐しよう。			清掃システムによると、清掃端末が暴走しているようだ。アジス・ラーのアルファ管区にいる「アラガンワーク・ハーベストマン」を5体討伐しよう。			清掃の恐怖							
アラガンワーク・ハーベストマンを討伐した。ポート・ヘリックスの「清掃システム」に報告しよう。			アラガンワーク・ハーベストマンを討伐した。ポート・ヘリックスの「清掃システム」に報告しよう。			清掃の恐怖							
清掃システムに報告した。清掃端末のエラー再発を防止するため、執政官に交換を進言するよう言われてしまった……。			清掃システムに報告した。清掃端末のエラー再発を防止するため、執政官に交換を進言するよう言われてしまった……。			清掃の恐怖							
アラガンワーク・ハーベストマンを討伐			アラガンワーク・ハーベストマンを討伐			清掃の恐怖							
