ショートストップ野営地のタップクリクスは、冒険者を疑いの目で見ている。			ショートストップ野営地のタップクリクスは、冒険者を疑いの目で見ている。			冒険者はゴブの仲間							
そこゆく　どこゆく　冒険者　ひとつ仕事を　頼みたい……「ワイルドビースト」　ブチのめしそいつの魔眼を　3個ほど　取ってほしいぞ　お願いぞ……。			そこゆく　どこゆく　冒険者　ひとつ仕事を　頼みたい……「ワイルドビースト」　ブチのめしそいつの魔眼を　3個ほど　取ってほしいぞ　お願いぞ……。			魔眼を使ってスランプ脱出？							
そこゆく　どこゆく　冒険者　ひとつ仕事を　頼みたい……「ワイルドビースト」　ブチのめしそいつの魔眼を　3個ほど　取ってほしいぞ　お願いぞ……。			そこゆく　どこゆく　冒険者　ひとつ仕事を　頼みたい……「ワイルドビースト」　ブチのめしそいつの魔眼を　3個ほど　取ってほしいぞ　お願いぞ……。			魔眼を使ってスランプ脱出？							
「ワイルドビースト」　ブチのめしそいつの魔眼を　3個ほど　取ってほしいぞ　お願いぞ……。			「ワイルドビースト」　ブチのめしそいつの魔眼を　3個ほど　取ってほしいぞ　お願いぞ……。			魔眼を使ってスランプ脱出？							
シュコォ……シュコォ……おやおや　まあまあ　ありがとさん！これさえ　あれば　スランプ脱出！			シュコォ……シュコォ……おやおや　まあまあ　ありがとさん！これさえ　あれば　スランプ脱出！			魔眼を使ってスランプ脱出？							
プニプニ魔眼を　釣り餌にすれば爆釣　大量　間違いなし！さっそく　試して　みようぞな～！			プニプニ魔眼を　釣り餌にすれば爆釣　大量　間違いなし！さっそく　試して　みようぞな～！			魔眼を使ってスランプ脱出？							
サリャク河のフェルトスモクスは、河を眺めながらイジケているようだ。			サリャク河のフェルトスモクスは、河を眺めながらイジケているようだ。			魔物を倒してスランプ脱出？							
フェルトスモクスは、相変わらず釣果がないようだ。フェルトスモクスが魚を釣れるよう、低地ドラヴァニアのシャーレアン工匠街で「ダムゼルフライ」を5体討伐しよう。			フェルトスモクスは、相変わらず釣果がないようだ。フェルトスモクスが魚を釣れるよう、低地ドラヴァニアのシャーレアン工匠街で「ダムゼルフライ」を5体討伐しよう。			魔物を倒してスランプ脱出？							
ダムゼルフライを討伐した。サリャク河の「フェルトスモクス」に報告しよう。			ダムゼルフライを討伐した。サリャク河の「フェルトスモクス」に報告しよう。			魔物を倒してスランプ脱出？							
フェルトスモクスに報告した。ダムゼルフライを倒しても、釣果は上がらないようだ。フェルトスモクスは、もう一度釣れない原因を考えなおすらしい。			フェルトスモクスに報告した。ダムゼルフライを倒しても、釣果は上がらないようだ。フェルトスモクスは、もう一度釣れない原因を考えなおすらしい。			魔物を倒してスランプ脱出？							
ダムゼルフライを討伐			ダムゼルフライを討伐			魔物を倒してスランプ脱出？							
フェルトスモクスに報告			フェルトスモクスに報告			魔物を倒してスランプ脱出？							
シュコォ……シュコォ……やっぱり　さっぱり　釣果なし……釣り餌を変えて　ダメとなりゃ　釣り場の環境　悪いはず……。			シュコォ……シュコォ……やっぱり　さっぱり　釣果なし……釣り餌を変えて　ダメとなりゃ　釣り場の環境　悪いはず……。			魔物を倒してスランプ脱出？							
川辺をブンブン飛び回る　「ダムゼルフライ」　悪いはず……ブンブンブンブン　うるさくて　魚が逃げるに違いない……。			川辺をブンブン飛び回る　「ダムゼルフライ」　悪いはず……ブンブンブンブン　うるさくて　魚が逃げるに違いない……。			魔物を倒してスランプ脱出？							
「ダムゼルフライ」　5匹　ブチのめし釣り場の環境　劇的改善　釣果も改善　間違いなし……。			「ダムゼルフライ」　5匹　ブチのめし釣り場の環境　劇的改善　釣果も改善　間違いなし……。			魔物を倒してスランプ脱出？							
「ダムゼルフライ」　5匹　ブチのめし釣り場の環境　劇的改善　釣果も改善　間違いなし……。			「ダムゼルフライ」　5匹　ブチのめし釣り場の環境　劇的改善　釣果も改善　間違いなし……。			魔物を倒してスランプ脱出？							
シュコォ……シュコォ……「ダムゼルフライ」　ブチのめした？そいつは　おかしい　釣果は　さっぱり……。			シュコォ……シュコォ……「ダムゼルフライ」　ブチのめした？そいつは　おかしい　釣果は　さっぱり……。			魔物を倒してスランプ脱出？							
はてさてもしや　釣り餌　釣り場　問題アリ？こいつはもしや　考えなおしが　ひつよ～か……？ヒント　掴めた　ありがとね～。			はてさてもしや　釣り餌　釣り場　問題アリ？こいつはもしや　考えなおしが　ひつよ～か……？ヒント　掴めた　ありがとね～。			魔物を倒してスランプ脱出？							
低地ドラヴァニアの疲れ果てたトレジャーハンターは、不安そうな面持ちで体を休めている。			低地ドラヴァニアの疲れ果てたトレジャーハンターは、不安そうな面持ちで体を休めている。			草木庭園 聖モシャーヌ植物園							
疲れ果てたトレジャーハンターから、「聖モシャーヌ植物園」での魔物討伐を頼まれた。彼女たちに協力するため、低地ドラヴァニアの聖モシャーヌ植物園付近にいる「ソーニー」と話そう。			疲れ果てたトレジャーハンターから、「聖モシャーヌ植物園」での魔物討伐を頼まれた。彼女たちに協力するため、低地ドラヴァニアの聖モシャーヌ植物園付近にいる「ソーニー」と話そう。			草木庭園 聖モシャーヌ植物園							
ソーニーから、詳しい話を聞いた。植物園にあるという未来に繋がる宝を手に入れるため、園内の魔物を排除してほしいそうだ。「草木庭園 聖モシャーヌ植物園」を攻略しよう。※コンテンツファインダーから攻略に参加できます。			ソーニーから、詳しい話を聞いた。植物園にあるという未来に繋がる宝を手に入れるため、園内の魔物を排除してほしいそうだ。「草木庭園 聖モシャーヌ植物園」を攻略しよう。※コンテンツファインダーから攻略に参加できます。			草木庭園 聖モシャーヌ植物園							
「聖モシャーヌ植物園」に巣食う魔物を討伐した。植物園入口前で待っている「ソーニー」に報告しよう。			「聖モシャーヌ植物園」に巣食う魔物を討伐した。植物園入口前で待っている「ソーニー」に報告しよう。			草木庭園 聖モシャーヌ植物園							
冒険者が魔物を討伐したおかげで、ソーニーは無事に宝を発見できたそうだ。彼から、ミッドナイト・デューへの報告に付き合うよう頼まれた。イディルシャイアの「ソーニー」と話そう。			冒険者が魔物を討伐したおかげで、ソーニーは無事に宝を発見できたそうだ。彼から、ミッドナイト・デューへの報告に付き合うよう頼まれた。イディルシャイアの「ソーニー」と話そう。			草木庭園 聖モシャーヌ植物園							
ソーニーが発見した宝は、シャーレアンの研究者が品種改良した種や苗木だった。彼らは、この種や苗木を育てて、イディルシャイアの新しい産業とするつもりらしい。遠くない未来、ソーニーたちが振る舞ってくれるイディルシャイア産の野菜や果実の味を楽しみに待とう。			ソーニーが発見した宝は、シャーレアンの研究者が品種改良した種や苗木だった。彼らは、この種や苗木を育てて、イディルシャイアの新しい産業とするつもりらしい。遠くない未来、ソーニーたちが振る舞ってくれるイディルシャイア産の野菜や果実の味を楽しみに待とう。			草木庭園 聖モシャーヌ植物園							
聖モシャーヌ植物園付近のソーニーと話す			聖モシャーヌ植物園付近のソーニーと話す			草木庭園 聖モシャーヌ植物園							
草木庭園 聖モシャーヌ植物園を攻略			草木庭園 聖モシャーヌ植物園を攻略			草木庭園 聖モシャーヌ植物園							
聖モシャーヌ植物園付近のソーニーに報告			聖モシャーヌ植物園付近のソーニーに報告			草木庭園 聖モシャーヌ植物園							
イディルシャイアのソーニーと話す			イディルシャイアのソーニーと話す			草木庭園 聖モシャーヌ植物園							
……え？　何かあったのか、ですって？ええ、お宝探しの最中に問題が起きてね。命からがら戻ってきたところよ……。			……え？　何かあったのか、ですって？ええ、お宝探しの最中に問題が起きてね。命からがら戻ってきたところよ……。			草木庭園 聖モシャーヌ植物園							
それにしてもあなた、ずいぶんと腕が立ちそうね。良ければ力を貸してくれない？とある場所に巣食ってる魔物を、排除してほしいの。			それにしてもあなた、ずいぶんと腕が立ちそうね。良ければ力を貸してくれない？とある場所に巣食ってる魔物を、排除してほしいの。			草木庭園 聖モシャーヌ植物園							
その場所ってのは「聖モシャーヌ植物園」よ。園内の魔物討伐に力を貸してくれるなら、植物園の入口にいる「ソーニー」に声をかけてちょうだい。			その場所ってのは「聖モシャーヌ植物園」よ。園内の魔物討伐に力を貸してくれるなら、植物園の入口にいる「ソーニー」に声をかけてちょうだい。			草木庭園 聖モシャーヌ植物園							
……さて、休憩はこれくらいにして、そろそろ行くわ。イディルシャイアに戻って応援を呼んでこなくちゃ。気が向いたらよろしくね！			……さて、休憩はこれくらいにして、そろそろ行くわ。イディルシャイアに戻って応援を呼んでこなくちゃ。気が向いたらよろしくね！			草木庭園 聖モシャーヌ植物園							
……魔物討伐の応援だって？　ありがてえ！内部には、想像以上に魔物がはびこっていてな。俺たちの腕じゃ、どうにも歯が立たなかったんだよ。			……魔物討伐の応援だって？　ありがてえ！内部には、想像以上に魔物がはびこっていてな。俺たちの腕じゃ、どうにも歯が立たなかったんだよ。			草木庭園 聖モシャーヌ植物園							
元々、この「聖モシャーヌ植物園」は、世界中の植物を集めて研究する施設だったそうだぜ。ところが管理者が消えた今、内部は魔物の楽園ってわけだ。			元々、この「聖モシャーヌ植物園」は、世界中の植物を集めて研究する施設だったそうだぜ。ところが管理者が消えた今、内部は魔物の楽園ってわけだ。			草木庭園 聖モシャーヌ植物園							
いつもなら諦めるところだが、今回は退けねえ理由がある。俺たちが見つけた資料によれば、植物園の中には、「未来に繋がるお宝」が眠ってるはずなんだ……。			いつもなら諦めるところだが、今回は退けねえ理由がある。俺たちが見つけた資料によれば、植物園の中には、「未来に繋がるお宝」が眠ってるはずなんだ……。			草木庭園 聖モシャーヌ植物園							
もちろん、冒険者好みの遺物だってあるはずさ。そういうモンは全部アンタたちにやるから、魔物の排除を頼む！俺はアンタの後に続いて、目的のブツを探すからよ。			もちろん、冒険者好みの遺物だってあるはずさ。そういうモンは全部アンタたちにやるから、魔物の排除を頼む！俺はアンタの後に続いて、目的のブツを探すからよ。			草木庭園 聖モシャーヌ植物園							
冒険者好みの遺物は、全部アンタたちにやるから、魔物の排除を頼む！俺はアンタの後に続いて、目的のブツを探すからよ。			冒険者好みの遺物は、全部アンタたちにやるから、魔物の排除を頼む！俺はアンタの後に続いて、目的のブツを探すからよ。			草木庭園 聖モシャーヌ植物園							
よう冒険者、お疲れさん！後ろから見てたが、アンタ、とんでもなく強いんだな。			よう冒険者、お疲れさん！後ろから見てたが、アンタ、とんでもなく強いんだな。			草木庭園 聖モシャーヌ植物園							
植物園の魔物を排除してくれたおかげで探索は順調、目的のお宝も見つけることができた。ホント、助かったぜ。			植物園の魔物を排除してくれたおかげで探索は順調、目的のお宝も見つけることができた。ホント、助かったぜ。			草木庭園 聖モシャーヌ植物園							
さっそく、ミッドナイト・デューに報告しねえとな。悪いがアンタにも付き合ってもらうぜ。イディルシャイアで待ってるから、声をかけてくれ。			さっそく、ミッドナイト・デューに報告しねえとな。悪いがアンタにも付き合ってもらうぜ。イディルシャイアで待ってるから、声をかけてくれ。			草木庭園 聖モシャーヌ植物園							
植物園の探索に、協力してくれたんだって？ありがとう、本当に助かった。すまないけど、「ソーニー」と一緒に詳しい報告を頼むよ。			植物園の探索に、協力してくれたんだって？ありがとう、本当に助かった。すまないけど、「ソーニー」と一緒に詳しい報告を頼むよ。			草木庭園 聖モシャーヌ植物園							
待ってたぜ、冒険者。それじゃ、ミッドナイト・デューに報告しよう。			待ってたぜ、冒険者。それじゃ、ミッドナイト・デューに報告しよう。			草木庭園 聖モシャーヌ植物園							
……なるほど、植物園の探索は大成功。目的の「未来に繋がるお宝」も回収できたってわけか。コイツは、今からどんな実がなるか楽しみだね！			……なるほど、植物園の探索は大成功。目的の「未来に繋がるお宝」も回収できたってわけか。コイツは、今からどんな実がなるか楽しみだね！			草木庭園 聖モシャーヌ植物園							
アンタもそう思うだろ、冒険者？			アンタもそう思うだろ、冒険者？			草木庭園 聖モシャーヌ植物園							
おいおい、ソーニー。アンタ、冒険者に事情を説明していなかったね！			おいおい、ソーニー。アンタ、冒険者に事情を説明していなかったね！			草木庭園 聖モシャーヌ植物園							
……おおっと、そういやそうだった。			……おおっと、そういやそうだった。			草木庭園 聖モシャーヌ植物園							
俺が探していたお宝ってのは、シャーレアンの研究者たちが品種改良した、農作物の種や苗木のことだったんだ。			俺が探していたお宝ってのは、シャーレアンの研究者たちが品種改良した、農作物の種や苗木のことだったんだ。			草木庭園 聖モシャーヌ植物園							
今のイディルシャイアは、廃都の残置物の回収が主な産業だ。だけど、めぼしい物なんて、いつかは尽きてなくなっちまう。			今のイディルシャイアは、廃都の残置物の回収が主な産業だ。だけど、めぼしい物なんて、いつかは尽きてなくなっちまう。			草木庭園 聖モシャーヌ植物園							
だから、まだ余裕がある今のうちに、新しい産業の筋道をつけなきゃならなくてね。今回の苗木と種の回収も、その一環だったんだ。			だから、まだ余裕がある今のうちに、新しい産業の筋道をつけなきゃならなくてね。今回の苗木と種の回収も、その一環だったんだ。			草木庭園 聖モシャーヌ植物園							
この土地に適した農作物を見つけて栽培に成功すれば、イディルシャイアを支える新しい産業になってくれるはず……。まさに「未来に繋がるお宝」ってわけさ！			この土地に適した農作物を見つけて栽培に成功すれば、イディルシャイアを支える新しい産業になってくれるはず……。まさに「未来に繋がるお宝」ってわけさ！			草木庭園 聖モシャーヌ植物園							
……さて、報告も終わったし、俺はそろそろ行かねえと。お宝のために、気合入れて畑を耕してくるぜ。今回はありがとよ、冒険者！			……さて、報告も終わったし、俺はそろそろ行かねえと。お宝のために、気合入れて畑を耕してくるぜ。今回はありがとよ、冒険者！			草木庭園 聖モシャーヌ植物園							
アタシからも礼を言わせてくれ。イディルシャイアの未来を繋いでくれて、ありがとう！いつか必ず、この街で採れた野菜や果物を振るまわせてもらうよ！			アタシからも礼を言わせてくれ。イディルシャイアの未来を繋いでくれて、ありがとう！いつか必ず、この街で採れた野菜や果物を振るまわせてもらうよ！			草木庭園 聖モシャーヌ植物園							
クイックスピル・デルタのフェルトスモクスは、相変わらず釣り糸をたらしている。			クイックスピル・デルタのフェルトスモクスは、相変わらず釣り糸をたらしている。			狩りをこなしてスランプ脱出？							
フェルトスモクスの話を聞いた。魚が釣れないのは、この辺りに生息するサンベアーが原因のようだ。低地ドラヴァニアのシャーレアン学士街で、「サンベアー」を討伐し、「サンベアーの肉」を4つ入手しよう。			フェルトスモクスの話を聞いた。魚が釣れないのは、この辺りに生息するサンベアーが原因のようだ。低地ドラヴァニアのシャーレアン学士街で、「サンベアー」を討伐し、「サンベアーの肉」を4つ入手しよう。			狩りをこなしてスランプ脱出？							
サンベアーの肉を入手した。クイックスピル・デルタの「フェルトスモクス」に「サンベアーの肉」を渡そう。			サンベアーの肉を入手した。クイックスピル・デルタの「フェルトスモクス」に「サンベアーの肉」を渡そう。			狩りをこなしてスランプ脱出？							
フェルトスモクスにサンベアーの肉を渡した。腹をすかせたフェルトスモクスは、魚が釣れないため、渡したサンベアーの肉で我慢するようだ			フェルトスモクスにサンベアーの肉を渡した。腹をすかせたフェルトスモクスは、魚が釣れないため、渡したサンベアーの肉で我慢するようだ			狩りをこなしてスランプ脱出？							
サンベアーからサンベアーの肉を入手			サンベアーからサンベアーの肉を入手			狩りをこなしてスランプ脱出？							
フェルトスモクスにサンベアーの肉を渡す			フェルトスモクスにサンベアーの肉を渡す			狩りをこなしてスランプ脱出？							
シュコォ……シュコォ……お久しぶりの冒険者　けれども　あれから　魚は釣れずいよいよ　腹が減ってきた……。			シュコォ……シュコォ……お久しぶりの冒険者　けれども　あれから　魚は釣れずいよいよ　腹が減ってきた……。			狩りをこなしてスランプ脱出？							
思うに　原因　「サンベアー」……川に入って　魚を獲って　釣り場荒らしてるに　違いない……。			思うに　原因　「サンベアー」……川に入って　魚を獲って　釣り場荒らしてるに　違いない……。			狩りをこなしてスランプ脱出？							
「サンベアー」　倒して狩って　討ち倒しその肉　4頭ぶんほど　持ってきて……どうか　頼むぞ　お願いぞ……。			「サンベアー」　倒して狩って　討ち倒しその肉　4頭ぶんほど　持ってきて……どうか　頼むぞ　お願いぞ……。			狩りをこなしてスランプ脱出？							
「サンベアー」　倒して狩って　討ち倒しその肉　4頭ぶんほど　持ってきて……どうか　頼むぞ　お願いぞ……。			「サンベアー」　倒して狩って　討ち倒しその肉　4頭ぶんほど　持ってきて……どうか　頼むぞ　お願いぞ……。			狩りをこなしてスランプ脱出？							
「サンベアー」　倒して狩って　討ち倒しその肉　4頭ぶんほど　持ってきて……どうか　頼むぞ　お願いぞ……。			「サンベアー」　倒して狩って　討ち倒しその肉　4頭ぶんほど　持ってきて……どうか　頼むぞ　お願いぞ……。			狩りをこなしてスランプ脱出？							
シュコォ……シュコォ……釣場　荒らしが消え去って　すぐにも釣りをしたいけどまずは　「サンベアーの肉」で　腹ごしらえ！			シュコォ……シュコォ……釣場　荒らしが消え去って　すぐにも釣りをしたいけどまずは　「サンベアーの肉」で　腹ごしらえ！			狩りをこなしてスランプ脱出？							
ホントは魚が　食べたいが　冒険者には　感謝ぞな！…………久しぶりの　肉だぞな！			ホントは魚が　食べたいが　冒険者には　感謝ぞな！…………久しぶりの　肉だぞな！			狩りをこなしてスランプ脱出？							
ショートストップ野営地のタップクリクスは、集まらない見張りに怒っている。			ショートストップ野営地のタップクリクスは、集まらない見張りに怒っている。			見張り召集ゴブ！							
タップクリクスは、「青の手」が侵入しているにも関わらず、一向に集まる気配のない見張りたちに気をもんでいるようだ。低地ドラヴァニアのシャーレン工匠街とシャーレアン選者街で、見張りのゴブリン族を3名探そう。			タップクリクスは、「青の手」が侵入しているにも関わらず、一向に集まる気配のない見張りたちに気をもんでいるようだ。低地ドラヴァニアのシャーレン工匠街とシャーレアン選者街で、見張りのゴブリン族を3名探そう。			見張り召集ゴブ！							
見張り全員に声をかけた。ショートストップ野営地の「タップクリクス」と話そう。			見張り全員に声をかけた。ショートストップ野営地の「タップクリクス」と話そう。			見張り召集ゴブ！							
どうやら、防衛ラインの認識が全員バラバラだったようだ。タップクリクスから、今回のことをスローフィクスに伝えるよう頼まれた。イディルシャイアの「スローフィクス」に今回の件を報告しよう。			どうやら、防衛ラインの認識が全員バラバラだったようだ。タップクリクスから、今回のことをスローフィクスに伝えるよう頼まれた。イディルシャイアの「スローフィクス」に今回の件を報告しよう。			見張り召集ゴブ！							
スローフィクスに、防衛ラインの件を報告した。スローフィクスは、自由な国の自由さに、少し不安になってきたようだ。			スローフィクスに、防衛ラインの件を報告した。スローフィクスは、自由な国の自由さに、少し不安になってきたようだ。			見張り召集ゴブ！							
見張りのゴブリン族を探す			見張りのゴブリン族を探す			見張り召集ゴブ！							
タップクリクスと話す			タップクリクスと話す			見張り召集ゴブ！							
イディルシャイアのスローフィクスに報告			イディルシャイアのスローフィクスに報告			見張り召集ゴブ！							
シュコォ……シュコォ……見張り役たち　もどってこない「青の手」きたのに　もどってこない！			シュコォ……シュコォ……見張り役たち　もどってこない「青の手」きたのに　もどってこない！			見張り召集ゴブ！							
「青の手」　都市に　近づいたなら見張りの役は　ここ集合　応戦作戦　立てる決まり。だけど　ぜんぜん　集まらない～！			「青の手」　都市に　近づいたなら見張りの役は　ここ集合　応戦作戦　立てる決まり。だけど　ぜんぜん　集まらない～！			見張り召集ゴブ！							
あにた　ちょっと　行ってきて！見張りを　3人　呼んできて！「工匠街」と「選者街」　そこに　みんな　いるはずよ～。			あにた　ちょっと　行ってきて！見張りを　3人　呼んできて！「工匠街」と「選者街」　そこに　みんな　いるはずよ～。			見張り召集ゴブ！							
あにた　ちょっと　行ってきて！見張りを　3人　呼んできて！「工匠街」と「選者街」　そこに　みんな　いるはずよ～。			あにた　ちょっと　行ってきて！見張りを　3人　呼んできて！「工匠街」と「選者街」　そこに　みんな　いるはずよ～。			見張り召集ゴブ！							
シュコォ……シュコォ……ほえ～？　「青の手」　侵入した～？それなら　いそいで　戻らなきゃ～。			シュコォ……シュコォ……ほえ～？　「青の手」　侵入した～？それなら　いそいで　戻らなきゃ～。			見張り召集ゴブ！							
シュコォ……シュコォ……「青の手」　侵入したなんて　気づかなかった～。わざわざ　おしらせ　ありがとさん！			シュコォ……シュコォ……「青の手」　侵入したなんて　気づかなかった～。わざわざ　おしらせ　ありがとさん！			見張り召集ゴブ！							
シュコォ……シュコォ……「青の手」　たしかに　いたけれど都市には　そんなに　近くない！			シュコォ……シュコォ……「青の手」　たしかに　いたけれど都市には　そんなに　近くない！			見張り召集ゴブ！							
でもでも　タップクリクス　呼んでるならば仕方がないから　すぐ帰る！			でもでも　タップクリクス　呼んでるならば仕方がないから　すぐ帰る！			見張り召集ゴブ！							
シュコォ……シュコォ……「青の手」　侵入　本当なの～？			シュコォ……シュコォ……「青の手」　侵入　本当なの～？			見張り召集ゴブ！							
シュコォ……シュコォ……おかしい　「青の手」　どこいるの？			シュコォ……シュコォ……おかしい　「青の手」　どこいるの？			見張り召集ゴブ！							
シュコォ……シュコォ……「青の手」　どこにも　見当たらない！			シュコォ……シュコォ……「青の手」　どこにも　見当たらない！			見張り召集ゴブ！							
シュコォ……シュコォ……あにた　呼んできてくれて　ありがと～！			シュコォ……シュコォ……あにた　呼んできてくれて　ありがと～！			見張り召集ゴブ！							
それにしても　みんな　集まるの遅い。「青の手」　侵入したのに　なにしていたの！岩を　越えたら　集合だって　決めたでしょ～！			それにしても　みんな　集まるの遅い。「青の手」　侵入したのに　なにしていたの！岩を　越えたら　集合だって　決めたでしょ～！			見張り召集ゴブ！							
シュコォ……シュコォ……違うよ　岩じゃ　ないないよ～橋を　越えたら　集合よ～！			シュコォ……シュコォ……違うよ　岩じゃ　ないないよ～橋を　越えたら　集合よ～！			見張り召集ゴブ！							
シュコォ……シュコォ……岩でも　橋でも　違ってる！廃墟　越えたら　集合だって　決まってる！			シュコォ……シュコォ……岩でも　橋でも　違ってる！廃墟　越えたら　集合だって　決まってる！			見張り召集ゴブ！							
