情報屋のワイモンドは、冒険者に紹介したい仕事があるようだ。			情報屋のワイモンドは、冒険者に紹介したい仕事があるようだ。			謎の事件屋							
情報屋が手に入れた、最新の案件でね。……っと、その前にだ。お前は「事件屋」の二人組を知ってるか？			情報屋が手に入れた、最新の案件でね。……っと、その前にだ。お前は「事件屋」の二人組を知ってるか？			謎の事件屋							
「事件屋」の二人組を知っている？			「事件屋」の二人組を知っている？			謎の事件屋							
はい			はい			謎の事件屋							
いいえ			いいえ			謎の事件屋							
……だろうな、知らないのは無理もない。			……だろうな、知らないのは無理もない。			謎の事件屋							
第七霊災前、「事件屋」と呼ばれる奴がいた。事件の香りがするところに颯爽と現れては、瞬く間に解決していく、凄腕のオッサンだったよ。			第七霊災前、「事件屋」と呼ばれる奴がいた。事件の香りがするところに颯爽と現れては、瞬く間に解決していく、凄腕のオッサンだったよ。			謎の事件屋							
その事件屋が、ぶっ飛んだ奴でな。月の衛星「ダラガブ」の落下から、エオルゼアを守るため、大量の火薬に火を付け……爆風で空に飛んでいったらしい。			その事件屋が、ぶっ飛んだ奴でな。月の衛星「ダラガブ」の落下から、エオルゼアを守るため、大量の火薬に火を付け……爆風で空に飛んでいったらしい。			謎の事件屋							
その結果、事件屋は死んだ。今は、オッサンの助手をしていた女の子が、あとを継ぐために、色々勉強して頑張っているんだが……。			その結果、事件屋は死んだ。今は、オッサンの助手をしていた女の子が、あとを継ぐために、色々勉強して頑張っているんだが……。			謎の事件屋							
もしかして……お前が「運命の友」なのか？昔、事件屋のオッサンが言ってたんだ。運命の友ができた……ってな。			もしかして……お前が「運命の友」なのか？昔、事件屋のオッサンが言ってたんだ。運命の友ができた……ってな。			謎の事件屋							
オッサンは……死んだよ。月の衛星「ダラガブ」をぶっ壊すために、爆風を使って空高く飛んでいったっていうじゃないか。			オッサンは……死んだよ。月の衛星「ダラガブ」をぶっ壊すために、爆風を使って空高く飛んでいったっていうじゃないか。			謎の事件屋							
落下地点らしき場所には、焼け焦げたチェーンコイフと、オッサンの形の深い深い……穴があったらしい。			落下地点らしき場所には、焼け焦げたチェーンコイフと、オッサンの形の深い深い……穴があったらしい。			謎の事件屋							
当然の結果さ……。でも、奴のおかげでエオルゼアは救われたんだ。			当然の結果さ……。でも、奴のおかげでエオルゼアは救われたんだ。			謎の事件屋							
オッサン亡き後の事件屋稼業は、助手のナシュちゃんが色々勉強して、頑張っているんだが……。			オッサン亡き後の事件屋稼業は、助手のナシュちゃんが色々勉強して、頑張っているんだが……。			謎の事件屋							
さて、ここからがお前さんに頼みたい仕事だ。最近、妙なゾンビーが人々を襲う事件が増えていてな。どうやら助手の彼女は、その「事件」を聞きつけたみたいだ。			さて、ここからがお前さんに頼みたい仕事だ。最近、妙なゾンビーが人々を襲う事件が増えていてな。どうやら助手の彼女は、その「事件」を聞きつけたみたいだ。			謎の事件屋							
さっそく、自作の爆弾をたくさん抱えて、ザナラーンの荒野に出ていっちまったようでな。彼女ひとりじゃ危なっかしいし、手伝ってやってくれねェか？			さっそく、自作の爆弾をたくさん抱えて、ザナラーンの荒野に出ていっちまったようでな。彼女ひとりじゃ危なっかしいし、手伝ってやってくれねェか？			謎の事件屋							
事件屋のオッサンたちとは、ちょっとした知り合いでね。助手のナシュちゃんのことも、ほっとけないんだ。俺が情報屋を開業するきっかけになったのも……なんてな。			事件屋のオッサンたちとは、ちょっとした知り合いでね。助手のナシュちゃんのことも、ほっとけないんだ。俺が情報屋を開業するきっかけになったのも……なんてな。			謎の事件屋							
事件屋のオッサンたちとは、ちょっとした知り合いでね。助手のナシュちゃんのことも、ほっとけないんだ。俺が情報屋を開業するきっかけになったのも……なんてな。			事件屋のオッサンたちとは、ちょっとした知り合いでね。助手のナシュちゃんのことも、ほっとけないんだ。俺が情報屋を開業するきっかけになったのも……なんてな。			謎の事件屋							
ヒルディブランド様……。ゾンビーさんたちを倒すには、どうすれば良いのでしょう……。			ヒルディブランド様……。ゾンビーさんたちを倒すには、どうすれば良いのでしょう……。			謎の事件屋							
あっ！　あなたはもしかして……。			あっ！　あなたはもしかして……。			謎の事件屋							
ナシュのお手伝いに来てくれたんですか～？			ナシュのお手伝いに来てくれたんですか～？			謎の事件屋							
はじめまして、ナシュ・マカラッカといいます。冒険者さんが来てくれて、とても嬉しいです～。			はじめまして、ナシュ・マカラッカといいます。冒険者さんが来てくれて、とても嬉しいです～。			謎の事件屋							
……ナシュもヒルディブランド様みたいに、かっこよく事件を解決したいんですけど……。ひとりじゃ全然、うまくいかないんです……。			……ナシュもヒルディブランド様みたいに、かっこよく事件を解決したいんですけど……。ひとりじゃ全然、うまくいかないんです……。			謎の事件屋							
事件屋のヒルディブランド様は、凄い方だったんです～。			事件屋のヒルディブランド様は、凄い方だったんです～。			謎の事件屋							
エオルゼア中の、ど～んな事件でも華麗に解決しちゃう、大胆不敵で素敵な紳士だったんですよ～！			エオルゼア中の、ど～んな事件でも華麗に解決しちゃう、大胆不敵で素敵な紳士だったんですよ～！			謎の事件屋							
……でも、ヒルディブランド様は……第七霊災で……。			……でも、ヒルディブランド様は……第七霊災で……。			謎の事件屋							
巨大化する小月「ダラガブ」からエオルゼアを守るため、勇敢にも、ひとりでお空に飛んでいってしまったのです……。			巨大化する小月「ダラガブ」からエオルゼアを守るため、勇敢にも、ひとりでお空に飛んでいってしまったのです……。			謎の事件屋							
……そして、「ダラガブ」は姿を消しました。あれはきっと、ヒルディブランド様のおかげなんです。だからナシュは、墓前に誓いました……。			……そして、「ダラガブ」は姿を消しました。あれはきっと、ヒルディブランド様のおかげなんです。だからナシュは、墓前に誓いました……。			謎の事件屋							
ヒルディブランド様……。ダラガブからの生還を楽しみにしていたのに、こんな形で、再会するだなんて……。			ヒルディブランド様……。ダラガブからの生還を楽しみにしていたのに、こんな形で、再会するだなんて……。			謎の事件屋							
- 事件屋ヒルディブランド　ここに眠る -			- 事件屋ヒルディブランド　ここに眠る -			謎の事件屋							
エオルゼアの危機を救うために戦った、光の戦士……。みんな、その名前を思い出せないっていいます。			エオルゼアの危機を救うために戦った、光の戦士……。みんな、その名前を思い出せないっていいます。			謎の事件屋							
でも、ナシュはちゃんと覚えています。ヒルディブランド様が「光の戦士」だったんだって！			でも、ナシュはちゃんと覚えています。ヒルディブランド様が「光の戦士」だったんだって！			謎の事件屋							
ヒルディブランド様が命がけで救った、エオルゼアの未来……。ナシュが守りきってみせます……。			ヒルディブランド様が命がけで救った、エオルゼアの未来……。ナシュが守りきってみせます……。			謎の事件屋							
エオルゼアの平和は……「事件屋ナシュ・マカラッカ」が守ります～！			エオルゼアの平和は……「事件屋ナシュ・マカラッカ」が守ります～！			謎の事件屋							
「変なゾンビーさんがいっぱい事件」のことなら、ナシュ、いろいろ調査をしておきました～！			「変なゾンビーさんがいっぱい事件」のことなら、ナシュ、いろいろ調査をしておきました～！			謎の事件屋							
彼らは、強い影響力を持った「指導者」を得たようです。その指導者への絶対的な忠誠を示すためか、奇妙な信仰の舞をしながら、暴れているようです～。			彼らは、強い影響力を持った「指導者」を得たようです。その指導者への絶対的な忠誠を示すためか、奇妙な信仰の舞をしながら、暴れているようです～。			謎の事件屋							
「ザンラク脇本陣」の西で暴れるゾンビーさんを倒せば、悪の指導者につながる鍵が、見つかるかもしれません！冒険者さん、ぜひお力を貸してください～！			「ザンラク脇本陣」の西で暴れるゾンビーさんを倒せば、悪の指導者につながる鍵が、見つかるかもしれません！冒険者さん、ぜひお力を貸してください～！			謎の事件屋							
「ザンラク脇本陣」の西で暴れるゾンビーさんを倒せば、悪の指導者につながる鍵が、見つかるかもしれません！冒険者さん、ぜひお力を貸してください～！			「ザンラク脇本陣」の西で暴れるゾンビーさんを倒せば、悪の指導者につながる鍵が、見つかるかもしれません！冒険者さん、ぜひお力を貸してください～！			謎の事件屋							
もう何か見つけたんですか～！　冒険者さん、すごいです～！ナシュもゾンビーさんを倒すための「お薬」を、たくさん作ってきたのですが、必要なかったですね～！			もう何か見つけたんですか～！　冒険者さん、すごいです～！ナシュもゾンビーさんを倒すための「お薬」を、たくさん作ってきたのですが、必要なかったですね～！			謎の事件屋							
むむ～、この紙には……指導者の居場所と、合言葉が書いてあるようです！			むむ～、この紙には……指導者の居場所と、合言葉が書いてあるようです！			謎の事件屋							
場所は、サゴリー砂漠の南。合言葉は……「しんし」だそうです～。			場所は、サゴリー砂漠の南。合言葉は……「しんし」だそうです～。			謎の事件屋							
なんだか、素敵な響きの言葉ですね～。ともかく、サゴリー砂漠の南に行ってみましょう！			なんだか、素敵な響きの言葉ですね～。ともかく、サゴリー砂漠の南に行ってみましょう！			謎の事件屋							
地図に記されていた場所はここみたいです～！えぇと……合言葉は何でしたっけ……。			地図に記されていた場所はここみたいです～！えぇと……合言葉は何でしたっけ……。			謎の事件屋							
合言葉は？			合言葉は？			謎の事件屋							
のばら			のばら			謎の事件屋							
しんし			しんし			謎の事件屋							
せんし			せんし			謎の事件屋							
キャンセル			キャンセル			謎の事件屋							
う～ん、もっと素敵な合言葉だったような気がします～！			う～ん、もっと素敵な合言葉だったような気がします～！			謎の事件屋							
オオオオオオ……。我らが「ゾンビー紳士団」の合言葉を叫ぶのは誰ダ……。			オオオオオオ……。我らが「ゾンビー紳士団」の合言葉を叫ぶのは誰ダ……。			謎の事件屋							
おのれヒトの子……我らの合言葉を騙るとは……。殺セ……殺セ……。			おのれヒトの子……我らの合言葉を騙るとは……。殺セ……殺セ……。			謎の事件屋							
(-？？？？-)ゾンビーたちよ……。その振る舞いは、紳士的ではありまセン……。			(-？？？？-)ゾンビーたちよ……。その振る舞いは、紳士的ではありまセン……。			謎の事件屋							
(-落ち着いた声の男-)ヒトの子よ……迷惑をかけまシタ……。あなた方は、早く安全な場所に帰りなサイ……。			(-落ち着いた声の男-)ヒトの子よ……迷惑をかけまシタ……。あなた方は、早く安全な場所に帰りなサイ……。			謎の事件屋							
あ、あれは……そんな……！ヒルディブランド様！？			あ、あれは……そんな……！ヒルディブランド様！？			謎の事件屋							
セ、先生！！すみませんデシタ～！！			セ、先生！！すみませんデシタ～！！			謎の事件屋							
ヒルディブランド様～！お墓から復活してたなんて、ナシュは感動です～！			ヒルディブランド様～！お墓から復活してたなんて、ナシュは感動です～！			謎の事件屋							
(-ゾンビィブランド-)ヒルディブランド……？いいえ、私の名は、ゾンビィブランド……。大胆不敵で知的な紳士のゾンビーなのデス……。			(-ゾンビィブランド-)ヒルディブランド……？いいえ、私の名は、ゾンビィブランド……。大胆不敵で知的な紳士のゾンビーなのデス……。			謎の事件屋							
ゾ、ゾンビーなんかじゃありません～！大胆不敵で知的な紳士の……事件屋さんです！			ゾ、ゾンビーなんかじゃありません～！大胆不敵で知的な紳士の……事件屋さんです！			謎の事件屋							
(-ゾンビィブランド-)しんし……な……じけん……や……！？うぐ……しんし……じけん……アガガガガガガガガガ。			(-ゾンビィブランド-)しんし……な……じけん……や……！？うぐ……しんし……じけん……アガガガガガガガガガ。			謎の事件屋							
やっぱり……衝撃で記憶喪失になっていたんですね。それなら、ナシュのお薬に任せてください～！			やっぱり……衝撃で記憶喪失になっていたんですね。それなら、ナシュのお薬に任せてください～！			謎の事件屋							
(-ゾンビィブランド-)……や、や、やめなさい、ヒトの子よ……。私は生まれながらのゾンビーデス……。			(-ゾンビィブランド-)……や、や、やめなさい、ヒトの子よ……。私は生まれながらのゾンビーデス……。			謎の事件屋							
(-ゾンビィブランド-)ちょっと……ほんとにやめなサイ……。お薬って言うケド、火薬の臭いが尋常じゃありまセン……。ちょ、ほんとにヤメ……。			(-ゾンビィブランド-)ちょっと……ほんとにやめなサイ……。お薬って言うケド、火薬の臭いが尋常じゃありまセン……。ちょ、ほんとにヤメ……。			謎の事件屋							
記憶喪失には、ナシュ特製の薬爆弾です！ナシュ、錬金術とかたくさん勉強したんですよ～！			記憶喪失には、ナシュ特製の薬爆弾です！ナシュ、錬金術とかたくさん勉強したんですよ～！			謎の事件屋							
(-ゾンビィブランド-)アナタ、もう自分で爆弾って言ってるじゃないデスか！ちょっとまって、アアッ！			(-ゾンビィブランド-)アナタ、もう自分で爆弾って言ってるじゃないデスか！ちょっとまって、アアッ！			謎の事件屋							
(-ゾンビィブランド-)アアーーーーーーーーーーーーーーーーーッ！			(-ゾンビィブランド-)アアーーーーーーーーーーーーーーーーーッ！			謎の事件屋							
(-口調が変わった男-)なんてことをするのですか、ナシュ！ま、また死ぬかと思いましたぞ！			(-口調が変わった男-)なんてことをするのですか、ナシュ！ま、また死ぬかと思いましたぞ！			謎の事件屋							
ヒルディブランド様！ナシュのこと、思い出してくれたんですね～！			ヒルディブランド様！ナシュのこと、思い出してくれたんですね～！			謎の事件屋							
そういえば、なぜ私はこんなところに……？あれは確か……エオルゼアに戻ってきたあとでした……。			そういえば、なぜ私はこんなところに……？あれは確か……エオルゼアに戻ってきたあとでした……。			謎の事件屋							
ふぁ～あ……よく寝ましたぞ……。なんだか黒い龍の不思議な夢を……。			ふぁ～あ……よく寝ましたぞ……。なんだか黒い龍の不思議な夢を……。			謎の事件屋							
……ここは、どこ？…………私は、誰ですかな？			……ここは、どこ？…………私は、誰ですかな？			謎の事件屋							
そうだ、何を忘れていたのでしょう！私は……私は旅の事件屋、ヒルディブランドですぞ！			そうだ、何を忘れていたのでしょう！私は……私は旅の事件屋、ヒルディブランドですぞ！			謎の事件屋							
よかったぁ！ナシュ、嬉しいです～！			よかったぁ！ナシュ、嬉しいです～！			謎の事件屋							
フッ……この不死身のヒルディブランド、小月ダラガブや、黒い龍ごときにはやられませんぞ！			フッ……この不死身のヒルディブランド、小月ダラガブや、黒い龍ごときにはやられませんぞ！			謎の事件屋							
おやおや！？ヒルディブランド復活の場に早くも駆けつけるとは！貴方はもしかして……私の……ファン？			おやおや！？ヒルディブランド復活の場に早くも駆けつけるとは！貴方はもしかして……私の……ファン？			謎の事件屋							
よろしい、さっそく事件が私を呼んでいますぞ！早く現場に駆けつけねば！　ハーッハッハッハ！！			よろしい、さっそく事件が私を呼んでいますぞ！早く現場に駆けつけねば！　ハーッハッハッハ！！			謎の事件屋							
事件屋ヒルディブランドは、なにやらワクワクしているようだ。			事件屋ヒルディブランドは、なにやらワクワクしているようだ。			解かれぬ迷宮の扉							
ヒルディブランドは、事件の呼び声が聞こえると言い、ウルダハに向かった。ウルダハの「ナル回廊」に行き、「シルバー・ネトル」、「ボタルフ」、「アグニス」に、何か事件は無いか聞いてみよう。			ヒルディブランドは、事件の呼び声が聞こえると言い、ウルダハに向かった。ウルダハの「ナル回廊」に行き、「シルバー・ネトル」、「ボタルフ」、「アグニス」に、何か事件は無いか聞いてみよう。			解かれぬ迷宮の扉							
どうやら、ウルダハ界隈では武器怪盗による一連の事件が話題らしい。ウルダハにいる情報屋の「ワイモンド」に、詳細を聞いてみよう。			どうやら、ウルダハ界隈では武器怪盗による一連の事件が話題らしい。ウルダハにいる情報屋の「ワイモンド」に、詳細を聞いてみよう。			解かれぬ迷宮の扉							
ワイモンドに話を聞いていると、ヒルディブランドとナシュ・マカラッカが現れた。彼らはさっそく武器怪盗と思われる事件の被害者に会いに行くというが……。			ワイモンドに話を聞いていると、ヒルディブランドとナシュ・マカラッカが現れた。彼らはさっそく武器怪盗と思われる事件の被害者に会いに行くというが……。			解かれぬ迷宮の扉							
ウルダハのナル回廊で情報を集める			ウルダハのナル回廊で情報を集める			解かれぬ迷宮の扉							
ワイモンドと話す			ワイモンドと話す			解かれぬ迷宮の扉							
お墓のなかで寝ていただけなんて、さすがヒルディブランド様、素敵です～！			お墓のなかで寝ていただけなんて、さすがヒルディブランド様、素敵です～！			解かれぬ迷宮の扉							
それにしても、ここがザナラーンとは……。エオルゼアの景色は、随分変わりましたな。			それにしても、ここがザナラーンとは……。エオルゼアの景色は、随分変わりましたな。			解かれぬ迷宮の扉							
ここが荒野であるならば、ウルダハが近いはずですな！？人が集まる都市には、事件がたくさん集まるもの！			ここが荒野であるならば、ウルダハが近いはずですな！？人が集まる都市には、事件がたくさん集まるもの！			解かれぬ迷宮の扉							
フッフッフ……さっそく聞こえますぞ……？この事件屋ヒルディブランド、砂原を撫でる風の中から、迷える子羊たちの呼び声を……キャッチ！			フッフッフ……さっそく聞こえますぞ……？この事件屋ヒルディブランド、砂原を撫でる風の中から、迷える子羊たちの呼び声を……キャッチ！			解かれぬ迷宮の扉							
こうしてはおれませんぞっ。さっそく、ウルダハに向かわなくては！			こうしてはおれませんぞっ。さっそく、ウルダハに向かわなくては！			解かれぬ迷宮の扉							
わわっ、ヒルディブランド様、早いですね～。ナシュも助手の制服に着替えて、ウルダハに行きます～。冒険者さんも、一緒に情報を集めましょう～！			わわっ、ヒルディブランド様、早いですね～。ナシュも助手の制服に着替えて、ウルダハに行きます～。冒険者さんも、一緒に情報を集めましょう～！			解かれぬ迷宮の扉							
ウルダハで起こっている「事件」を探してるのか？最近話題の事件っつったら、アレしかねぇだろう。			ウルダハで起こっている「事件」を探してるのか？最近話題の事件っつったら、アレしかねぇだろう。			解かれぬ迷宮の扉							
「武器怪盗」だよ！俺のダチの父親の従兄弟の息子の親友が、武器怪盗に武器を盗まれたらしいぜ！？			「武器怪盗」だよ！俺のダチの父親の従兄弟の息子の親友が、武器怪盗に武器を盗まれたらしいぜ！？			解かれぬ迷宮の扉							
ウルダハの事件？最近噂になってる「武器怪盗」の話なら、情報屋のワイモンドに聞けばいい。			ウルダハの事件？最近噂になってる「武器怪盗」の話なら、情報屋のワイモンドに聞けばいい。			解かれぬ迷宮の扉							
泥棒騒ぎも、ウルダハじゃ日常茶飯事だろう？最先端の盗みの手口が知りたいなら、情報屋に頼るんだな。			泥棒騒ぎも、ウルダハじゃ日常茶飯事だろう？最先端の盗みの手口が知りたいなら、情報屋に頼るんだな。			解かれぬ迷宮の扉							
事件を探してる、って……。あんた、さっきの半裸の変態のお友達？			事件を探してる、って……。あんた、さっきの半裸の変態のお友達？			解かれぬ迷宮の扉							
「武器怪盗」のことくらい、私に聞かなくても「ミスリルアイ」を読めばわかるでしょ？それとも……経済誌を買うお金もないのかしら？			「武器怪盗」のことくらい、私に聞かなくても「ミスリルアイ」を読めばわかるでしょ？それとも……経済誌を買うお金もないのかしら？			解かれぬ迷宮の扉							
よぉ、ゾンビーの一件は解決したそうじゃねぇか。お前だったら、死んだ事件屋のオッサンの代わりも……。			よぉ、ゾンビーの一件は解決したそうじゃねぇか。お前だったら、死んだ事件屋のオッサンの代わりも……。			解かれぬ迷宮の扉							
ワイモンドどのーーーーー！！！！ワイモンドどのーーーーーーーー！！！！！			ワイモンドどのーーーーー！！！！ワイモンドどのーーーーーーーー！！！！！			解かれぬ迷宮の扉							
う、うああああああああああ！事件屋のオッサン！？　まさか、生きてたのか！？			う、うああああああああああ！事件屋のオッサン！？　まさか、生きてたのか！？			解かれぬ迷宮の扉							
はっはっは、ワイモンド殿は心配性ですな。この通り、私はピンピンしてますぞ！			はっはっは、ワイモンド殿は心配性ですな。この通り、私はピンピンしてますぞ！			解かれぬ迷宮の扉							
助手のナシュ・マカラッカも復活です～。			助手のナシュ・マカラッカも復活です～。			解かれぬ迷宮の扉							
お……おう、確かにいつもの事件屋の二人組だ。オッサン……殺しても死ななさそうな雰囲気だな……。			お……おう、確かにいつもの事件屋の二人組だ。オッサン……殺しても死ななさそうな雰囲気だな……。			解かれぬ迷宮の扉							
それはさておき、ワイモンド殿。このウルダハ界隈で「武器怪盗」なる人物が事件を起こしていると聞きましたぞ！			それはさておき、ワイモンド殿。このウルダハ界隈で「武器怪盗」なる人物が事件を起こしていると聞きましたぞ！			解かれぬ迷宮の扉							
あ、ああ……噂なら知っているよ。ただ、詳しい情報までは追いかけてねぇな。			あ、ああ……噂なら知っているよ。ただ、詳しい情報までは追いかけてねぇな。			解かれぬ迷宮の扉							
何か、些細なことでも構いません。武器怪盗に繋がりそうな情報はありませんかな！？			何か、些細なことでも構いません。武器怪盗に繋がりそうな情報はありませんかな！？			解かれぬ迷宮の扉							
そ、そうだなぁ……関係あるかどうかはわかんねぇが、このウルダハに住む女の子が、武器を盗まれて困っているとか……。			そ、そうだなぁ……関係あるかどうかはわかんねぇが、このウルダハに住む女の子が、武器を盗まれて困っているとか……。			解かれぬ迷宮の扉							
おお、それは武器怪盗の被害者に違いありませんぞ！さっそく被害者の所に……ハッ！			おお、それは武器怪盗の被害者に違いありませんぞ！さっそく被害者の所に……ハッ！			解かれぬ迷宮の扉							
貴方は……先ほどの冒険者殿、いつの間に！			貴方は……先ほどの冒険者殿、いつの間に！			解かれぬ迷宮の扉							
貴方も武器怪盗の事件を追っているとは……。もしかして、私の……ファン？			貴方も武器怪盗の事件を追っているとは……。もしかして、私の……ファン？			解かれぬ迷宮の扉							
貴方とはきっと、またお会いするでしょう！それでは、お先に失礼しますぞ！			貴方とはきっと、またお会いするでしょう！それでは、お先に失礼しますぞ！			解かれぬ迷宮の扉							
事件屋のオッサン……。まだ、被害者の名前を教えてないんだが……。やれやれ、相変わらずそそっかしいなぁ。			事件屋のオッサン……。まだ、被害者の名前を教えてないんだが……。やれやれ、相変わらずそそっかしいなぁ。			解かれぬ迷宮の扉							
情報屋のワイモンドは、盗難の被害者について教えたいようだ。			情報屋のワイモンドは、盗難の被害者について教えたいようだ。			くりかえす恋の悲哀							
ワイモンドに、盗難の被害者について教えてもらった。裁縫師ギルドにいる「イエロー・ムーン」に話しかけよう。			ワイモンドに、盗難の被害者について教えてもらった。裁縫師ギルドにいる「イエロー・ムーン」に話しかけよう。			くりかえす恋の悲哀							
イエロー・ムーンによると、用事を片付けた後、気がついたら片手幻具「ピュアハート」がなくなっていたらしい。犯人の痕跡を探すため、織物店「サンシルク」に向かい、「ヒルディブランド」に話しかけよう。			イエロー・ムーンによると、用事を片付けた後、気がついたら片手幻具「ピュアハート」がなくなっていたらしい。犯人の痕跡を探すため、織物店「サンシルク」に向かい、「ヒルディブランド」に話しかけよう。			くりかえす恋の悲哀							
サンシルクの前では、とくに重要な証拠を得ることはできなかった。次はコロセウムの前に向かい、「ヒルディブランド」に話しかけよう。			サンシルクの前では、とくに重要な証拠を得ることはできなかった。次はコロセウムの前に向かい、「ヒルディブランド」に話しかけよう。			くりかえす恋の悲哀							
コロセウムの前で、ヒルディブランドは何かを思いついたようだ。一方のナシュ・マカラッカは、暑苦しい木箱が気になっているらしい。「ナシュ・マカラッカ」に話しかけてみよう。			コロセウムの前で、ヒルディブランドは何かを思いついたようだ。一方のナシュ・マカラッカは、暑苦しい木箱が気になっているらしい。「ナシュ・マカラッカ」に話しかけてみよう。			くりかえす恋の悲哀							
ナシュ・マカラッカによると、木箱の中が怪しいらしい。彼女にもらった「超炸裂爆弾」を「暑苦しい木箱」に使ってみよう。			ナシュ・マカラッカによると、木箱の中が怪しいらしい。彼女にもらった「超炸裂爆弾」を「暑苦しい木箱」に使ってみよう。			くりかえす恋の悲哀							
暑苦しい木箱を破壊したところ、中から怪しい人々が現れた。「ヒルディブランド」に報告しよう。			暑苦しい木箱を破壊したところ、中から怪しい人々が現れた。「ヒルディブランド」に報告しよう。			くりかえす恋の悲哀							
犯人は、イエロー・ムーン親衛隊の人々だった。そこに現れた新聞記者のエリーいわく、彼らは噂の「武器怪盗」の事件とは無関係らしい。彼女に詳細を聞いてみよう。			犯人は、イエロー・ムーン親衛隊の人々だった。そこに現れた新聞記者のエリーいわく、彼らは噂の「武器怪盗」の事件とは無関係らしい。彼女に詳細を聞いてみよう。			くりかえす恋の悲哀							
イエロー・ムーンと話す			イエロー・ムーンと話す			くりかえす恋の悲哀							
織物「サンシルク」のヒルディブランドと話す			織物「サンシルク」のヒルディブランドと話す			くりかえす恋の悲哀							
ヒルディブランドと話す			ヒルディブランドと話す			くりかえす恋の悲哀							
ナシュ・マカラッカと話す			ナシュ・マカラッカと話す			くりかえす恋の悲哀							
暑苦しい木箱に超炸裂爆弾を使う			暑苦しい木箱に超炸裂爆弾を使う			くりかえす恋の悲哀							
ヒルディブランドと話す			ヒルディブランドと話す			くりかえす恋の悲哀							
やれやれ、オッサンは本当に行っちまったな……。……えっと、盗難の被害にあった女の子の話だよな。			やれやれ、オッサンは本当に行っちまったな……。……えっと、盗難の被害にあった女の子の話だよな。			くりかえす恋の悲哀							
被害者は、裁縫師ギルドにいる「イエロー・ムーン」っていう女の子だ。お前も行って、オッサンを手伝ってやってくれよ。			被害者は、裁縫師ギルドにいる「イエロー・ムーン」っていう女の子だ。お前も行って、オッサンを手伝ってやってくれよ。			くりかえす恋の悲哀							
やだ～、今度はお気に入りの片手幻具、「ピュアハート」がなくなってる～！イエロー・ムーン、困っちゃむ～ん！			やだ～、今度はお気に入りの片手幻具、「ピュアハート」がなくなってる～！イエロー・ムーン、困っちゃむ～ん！			くりかえす恋の悲哀							
フッフッフ……聞こえましたぞ……。			フッフッフ……聞こえましたぞ……。			くりかえす恋の悲哀							
