甲冑師ギルドのハ・ナンザは、冒険者に話したいことがあるようだ。			甲冑師ギルドのハ・ナンザは、冒険者に話したいことがあるようだ。			個性を求めて							
あいつの認めている、あんたになら、何か話してくれるかもしれないと思ってね。悪いんだけど、頼んだよ。			あいつの認めている、あんたになら、何か話してくれるかもしれないと思ってね。悪いんだけど、頼んだよ。			個性を求めて							
「ブランシュティル」の奴に、なぜギルドを辞めたいと言い始めたのか、理由を聞いてみてくれないかい？			「ブランシュティル」の奴に、なぜギルドを辞めたいと言い始めたのか、理由を聞いてみてくれないかい？			個性を求めて							
おお、我が盟友Forenameではないか。深刻な顔をして、いったいどうした？			おお、我が盟友Forenameではないか。深刻な顔をして、いったいどうした？			個性を求めて							
……そうだ。我は、甲冑師ギルドを辞めようと考えている。			……そうだ。我は、甲冑師ギルドを辞めようと考えている。			個性を求めて							
己の技術には自信があるし、こと最近は、以前にも増して、よい甲冑を作れていると思っている。			己の技術には自信があるし、こと最近は、以前にも増して、よい甲冑を作れていると思っている。			個性を求めて							
だが、ハ・ナンザやForenameには、今一歩及んでいないと感じるのだ。それは、いったい何故なのか……。			だが、ハ・ナンザやForenameには、今一歩及んでいないと感じるのだ。それは、いったい何故なのか……。			個性を求めて							
原因を考えた結果、我には、甲冑師としての個性が足りていないのではないか、という結論に達したのだ。			原因を考えた結果、我には、甲冑師としての個性が足りていないのではないか、という結論に達したのだ。			個性を求めて							
そんな考えに至った折、アフトカースルの付近で、風変わりなデザインの兜を被っている冒険者を見かけてな。思わず、声をかけてみたのだ。			そんな考えに至った折、アフトカースルの付近で、風変わりなデザインの兜を被っている冒険者を見かけてな。思わず、声をかけてみたのだ。			個性を求めて							
……すると、「降神祭」で、なんとか奉行とかいう、東方から来た使節を手伝った際に、譲り受けたと言うではないか……！			……すると、「降神祭」で、なんとか奉行とかいう、東方から来た使節を手伝った際に、譲り受けたと言うではないか……！			個性を求めて							
その風変わりなデザインを見て、確信したのだ。我に必要なのは、あのような兜を作れるような、独創性ある個性を身につけることだと。			その風変わりなデザインを見て、確信したのだ。我に必要なのは、あのような兜を作れるような、独創性ある個性を身につけることだと。			個性を求めて							
だが東方に学びに行くとなると、無論、これまでのように仕事を請けることはできない。そこで、あやつにギルドを辞めたいと申し出たのだ。			だが東方に学びに行くとなると、無論、これまでのように仕事を請けることはできない。そこで、あやつにギルドを辞めたいと申し出たのだ。			個性を求めて							
たとえ盟友から説得されようとも、すまないが、この決意、覆すつもりはないぞ！			たとえ盟友から説得されようとも、すまないが、この決意、覆すつもりはないぞ！			個性を求めて							
たとえ盟友から説得されようとも、すまないが、この決意、覆すつもりはないぞ！			たとえ盟友から説得されようとも、すまないが、この決意、覆すつもりはないぞ！			個性を求めて							
どうだい、ブランシュティルの奴、何かしゃべったかい？			どうだい、ブランシュティルの奴、何かしゃべったかい？			個性を求めて							
……なるほど、そういうことだったのかい。ひとまず理由がわかってよかったよ、ありがとう。しかし、どうしたものか……。			……なるほど、そういうことだったのかい。ひとまず理由がわかってよかったよ、ありがとう。しかし、どうしたものか……。			個性を求めて							
突然のForenameの訪問の裏には、やはり、ハ・ナンザの指示があったということか……。			突然のForenameの訪問の裏には、やはり、ハ・ナンザの指示があったということか……。			個性を求めて							
最初からあんたが、しっかり説明してくれていれば、こんな手間をかけずに済んだんだがね……。ともかく、ギルド脱退の理由は聞かせてもらったよ。			最初からあんたが、しっかり説明してくれていれば、こんな手間をかけずに済んだんだがね……。ともかく、ギルド脱退の理由は聞かせてもらったよ。			個性を求めて							
とはいえ、武者修行に出たいという話なら、わざわざギルドを抜ける必要はないだろう……。一時休業という形で、好きなだけ学んでくるがいいさ。			とはいえ、武者修行に出たいという話なら、わざわざギルドを抜ける必要はないだろう……。一時休業という形で、好きなだけ学んでくるがいいさ。			個性を求めて							
ふむ、休業か……確かに悪くない提案だ。我の目的は辞めることではなく、修行なのだからな。			ふむ、休業か……確かに悪くない提案だ。我の目的は辞めることではなく、修行なのだからな。			個性を求めて							
それでは、あらためて……ハ・ナンザよ、我は本日を以て、修行のため休業とさせてもらおう。迷惑をかけるが、我が顧客への対応をどうか頼む。			それでは、あらためて……ハ・ナンザよ、我は本日を以て、修行のため休業とさせてもらおう。迷惑をかけるが、我が顧客への対応をどうか頼む。			個性を求めて							
任せな……修理や調整の依頼は、こっちでどうにかするさ。ただし、中途半端は許さない……自分で納得がいくまで、職人としての技を磨いてくるんだね。			任せな……修理や調整の依頼は、こっちでどうにかするさ。ただし、中途半端は許さない……自分で納得がいくまで、職人としての技を磨いてくるんだね。			個性を求めて							
かたじけない……。では、さっそく準備を整えて、東方へ向かうとしよう。さらばだ、ふたりとも！			かたじけない……。では、さっそく準備を整えて、東方へ向かうとしよう。さらばだ、ふたりとも！			個性を求めて							
やれやれ、相変わらず不器用な奴だね。少しばかり心配だが、しばらく様子見するしかないだろう。何か進展があったら知らせるから、そのときは頼むよ。			やれやれ、相変わらず不器用な奴だね。少しばかり心配だが、しばらく様子見するしかないだろう。何か進展があったら知らせるから、そのときは頼むよ。			個性を求めて							
「甲冑師」の新たなクラスクエストが開始されました。次のクエストは「レベル63」以上で、リムサ・ロミンサのハ・ナンザから受注可能です。			「甲冑師」の新たなクラスクエストが開始されました。次のクエストは「レベル63」以上で、リムサ・ロミンサのハ・ナンザから受注可能です。			個性を求めて							
今後の「甲冑師」のクラスクエスト受注条件は、コンプリート後のジャーナルで確認できます。			今後の「甲冑師」のクラスクエスト受注条件は、コンプリート後のジャーナルで確認できます。			個性を求めて							
甲冑師ギルドのハ・ナンザは、冒険者に依頼したいことがあるようだ。			甲冑師ギルドのハ・ナンザは、冒険者に依頼したいことがあるようだ。			壊れた漢							
前回までの冒険録：甲冑師ギルドマスター、ハ・ナンザと並び立つほどの腕を持つ、孤高の甲冑師ブランシュティル。自身の認める職人を「敵」と呼び、孤独を貫くことこそ、名工への最善の道と信じていたブランシュティルだが、冒険者との腕比べに破れ、一敗地に塗れる。競う相手は「敵」じゃない……仲間との切磋琢磨こそ唯一の道、と信じるハ・ナンザ。彼女のもとで偉大な資質を開花させた冒険者を、ハ・ナンザは「私の理想の体現者」と称賛するのだった……。　　　　　　　　　　　　*　*　*ハ・ナンザから、魔物と戦おうとしている、ブランシュティルの説得を頼まれた。リムサ・ロミンサの甲冑師ギルドにいる「ブランシュティル」と話そう。			前回までの冒険録：甲冑師ギルドマスター、ハ・ナンザと並び立つほどの腕を持つ、孤高の甲冑師ブランシュティル。自身の認める職人を「敵」と呼び、孤独を貫くことこそ、名工への最善の道と信じていたブランシュティルだが、冒険者との腕比べに破れ、一敗地に塗れる。競う相手は「敵」じゃない……仲間との切磋琢磨こそ唯一の道、と信じるハ・ナンザ。彼女のもとで偉大な資質を開花させた冒険者を、ハ・ナンザは「私の理想の体現者」と称賛するのだった……。　　　　　　　　　　　　*　*　*ハ・ナンザから、魔物と戦おうとしている、ブランシュティルの説得を頼まれた。リムサ・ロミンサの甲冑師ギルドにいる「ブランシュティル」と話そう。			壊れた漢							
ブランシュティルと話したが、説得できなかった。甲冑師ギルドの「ハ・ナンザ」に報告しよう。			ブランシュティルと話したが、説得できなかった。甲冑師ギルドの「ハ・ナンザ」に報告しよう。			壊れた漢							
ハ・ナンザに報告した。ブランシュティルを見守ってほしいと頼まれた。低地ラノシアの眼鏡岩付近にいる「ブランシュティル」と話そう。			ハ・ナンザに報告した。ブランシュティルを見守ってほしいと頼まれた。低地ラノシアの眼鏡岩付近にいる「ブランシュティル」と話そう。			壊れた漢							
ブランシュティルは、通りがかったベナテールたちに救われて無事だった。甲冑師ギルドの「ハ・ナンザ」に報告しよう。			ブランシュティルは、通りがかったベナテールたちに救われて無事だった。甲冑師ギルドの「ハ・ナンザ」に報告しよう。			壊れた漢							
ハ・ナンザに報告した。冒険者はハ・ナンザから、ブランシュティルと共に仕事をして導くよう頼まれた。甲冑師ギルドの「ブランシュティル」と話そう。			ハ・ナンザに報告した。冒険者はハ・ナンザから、ブランシュティルと共に仕事をして導くよう頼まれた。甲冑師ギルドの「ブランシュティル」と話そう。			壊れた漢							
ブランシュティルと話した。客の立場に立った甲冑師を目指すという。これからは、ブランシュティルと共に仕事をして、共に成長しよう。※甲冑師のレベルが53以上になると、甲冑師ギルドのブランシュティルから次の甲冑師クエストを受注することができます。			ブランシュティルと話した。客の立場に立った甲冑師を目指すという。これからは、ブランシュティルと共に仕事をして、共に成長しよう。※甲冑師のレベルが53以上になると、甲冑師ギルドのブランシュティルから次の甲冑師クエストを受注することができます。			壊れた漢							
ブランシュティルと話す			ブランシュティルと話す			壊れた漢							
ハ・ナンザに報告			ハ・ナンザに報告			壊れた漢							
眼鏡岩付近のブランシュティルと話す			眼鏡岩付近のブランシュティルと話す			壊れた漢							
甲冑師ギルドのハ・ナンザに報告			甲冑師ギルドのハ・ナンザに報告			壊れた漢							
ブランシュティルと話す			ブランシュティルと話す			壊れた漢							
よう、Forename、達者だったかい？あんたに、頼みたいことがあってね……。実は、ブランシュティルのことなんだ。			よう、Forename、達者だったかい？あんたに、頼みたいことがあってね……。実は、ブランシュティルのことなんだ。			壊れた漢							
勝負に負けてから、ギルドに近寄ろうとしなかったあいつが、ついさっき、珍しく顔を出したんだよ。			勝負に負けてから、ギルドに近寄ろうとしなかったあいつが、ついさっき、珍しく顔を出したんだよ。			壊れた漢							
そしたらあいつ「甲冑とは何かを知るため」とか言って、あろうことか……自分で作った甲冑を着て、魔物と戦いに行こうとしているのさ。			そしたらあいつ「甲冑とは何かを知るため」とか言って、あろうことか……自分で作った甲冑を着て、魔物と戦いに行こうとしているのさ。			壊れた漢							
あいつはガタイこそ良いが、戦いはからっきしの素人だ。危ないから止めようとしたら、ケンカになる始末でね……。			あいつはガタイこそ良いが、戦いはからっきしの素人だ。危ないから止めようとしたら、ケンカになる始末でね……。			壊れた漢							
だが、実力を認めたあんたの言葉なら、聞くかもしれない。すまないんだが、「ブランシュティル」に声をかけて、無謀なことは止めろと説得してやってくれないか？			だが、実力を認めたあんたの言葉なら、聞くかもしれない。すまないんだが、「ブランシュティル」に声をかけて、無謀なことは止めろと説得してやってくれないか？			壊れた漢							
すまないんだが、「ブランシュティル」に声をかけて、無謀なことは止めろと説得してやってくれないか？			すまないんだが、「ブランシュティル」に声をかけて、無謀なことは止めろと説得してやってくれないか？			壊れた漢							
ふん、貴様か……。どうせ、ハ・ナンザめの差し金であろう。……立ち止まらず、貴様は貴様の道を行けばいいものを。			ふん、貴様か……。どうせ、ハ・ナンザめの差し金であろう。……立ち止まらず、貴様は貴様の道を行けばいいものを。			壊れた漢							
これが我の、鍛冶場を離れた末に出した答えなのだ。準備が出来次第、我は、魑魅魍魎が跋扈する場へ向かう。仮にそれで命を落としても……我が甲冑人生に悔いなし！			これが我の、鍛冶場を離れた末に出した答えなのだ。準備が出来次第、我は、魑魅魍魎が跋扈する場へ向かう。仮にそれで命を落としても……我が甲冑人生に悔いなし！			壊れた漢							
止めてくれるな好敵手よ……。「ハ・ナンザ」にも伝えるがいい、これが我が道なのだとな！			止めてくれるな好敵手よ……。「ハ・ナンザ」にも伝えるがいい、これが我が道なのだとな！			壊れた漢							
止めてくれるな好敵手よ……。「ハ・ナンザ」にも伝えるがいい、これが我が道なのだとな！			止めてくれるな好敵手よ……。「ハ・ナンザ」にも伝えるがいい、これが我が道なのだとな！			壊れた漢							
……やれやれ、あんたの言葉にも耳を貸さないなんてね。ひとりで考え込んで、変な方向に凝り固まっちまったか……。			……やれやれ、あんたの言葉にも耳を貸さないなんてね。ひとりで考え込んで、変な方向に凝り固まっちまったか……。			壊れた漢							
あんたは職人としてだけでなく、戦いに関しても玄人だ。その実力を見込んで頼みたい。			あんたは職人としてだけでなく、戦いに関しても玄人だ。その実力を見込んで頼みたい。			壊れた漢							
「ブランシュティル」は「眼鏡岩」の方へ向かうようだから、あんたにも密かに行ってもらって、戦いを見守り、いざとなったら助けてほしいのさ……頼んだよ。			「ブランシュティル」は「眼鏡岩」の方へ向かうようだから、あんたにも密かに行ってもらって、戦いを見守り、いざとなったら助けてほしいのさ……頼んだよ。			壊れた漢							
「ブランシュティル」は「眼鏡岩」の方へ向かうようだから、あんたにも密かに行ってもらって、戦いを見守り、いざとなったら助けてほしいのさ……頼んだよ。			「ブランシュティル」は「眼鏡岩」の方へ向かうようだから、あんたにも密かに行ってもらって、戦いを見守り、いざとなったら助けてほしいのさ……頼んだよ。			壊れた漢							
準備が出来次第、我は、魑魅魍魎が跋扈する場へ向かう。仮にそれで命を落としても……我が甲冑人生に悔いなし！			準備が出来次第、我は、魑魅魍魎が跋扈する場へ向かう。仮にそれで命を落としても……我が甲冑人生に悔いなし！			壊れた漢							
……ケガはないかい？たまたま、僕たちが通りがかったからよかったけど、ろくに戦ったこともないのに、魔物に挑むなんて無茶だよ。			……ケガはないかい？たまたま、僕たちが通りがかったからよかったけど、ろくに戦ったこともないのに、魔物に挑むなんて無茶だよ。			壊れた漢							
でも、甲冑師としての熱意には、感心させられたね。今度、防具を頼んでみようかな……。それじゃあ、気をつけて。			でも、甲冑師としての熱意には、感心させられたね。今度、防具を頼んでみようかな……。それじゃあ、気をつけて。			壊れた漢							
……し、死ぬかと……思った。我の至高の甲冑を纏ってきたが……動きづらくて……全くもって……戦うことが……できなかった……。			……し、死ぬかと……思った。我の至高の甲冑を纏ってきたが……動きづらくて……全くもって……戦うことが……できなかった……。			壊れた漢							
そして……あの恐るべし魔物……ラット！寄ってたかって、飛びかかってくるとは……なんと卑怯な！			そして……あの恐るべし魔物……ラット！寄ってたかって、飛びかかってくるとは……なんと卑怯な！			壊れた漢							
しかし……死を目前にした我は、開眼した……！我はここで一度死んで、生まれ変わったのだ。よし、早速リムサ・ロミンサに戻って再出発としよう！			しかし……死を目前にした我は、開眼した……！我はここで一度死んで、生まれ変わったのだ。よし、早速リムサ・ロミンサに戻って再出発としよう！			壊れた漢							
……ところで、なぜ貴様はこんな所に現れるのだ？まあよい……助力はいらんぞ、我はひとりで帰れるからな……。			……ところで、なぜ貴様はこんな所に現れるのだ？まあよい……助力はいらんぞ、我はひとりで帰れるからな……。			壊れた漢							
ふん、どうせ貴様があの場に現れたのは、ハ・ナンザめの差し金であろう……あの女、余計なことを。			ふん、どうせ貴様があの場に現れたのは、ハ・ナンザめの差し金であろう……あの女、余計なことを。			壊れた漢							
……そうかい、とりあえず無事でよかったよ。でもまだ、ひとりで事を成そうとしているようだね。そんなことでは、きっとすぐに壁にブチ当たるはずだ。			……そうかい、とりあえず無事でよかったよ。でもまだ、ひとりで事を成そうとしているようだね。そんなことでは、きっとすぐに壁にブチ当たるはずだ。			壊れた漢							
尻拭いをさせるようで悪いが……しばらくの間、ブランシュティルに付き合ってやってくれないか？……仕事を通じて、あいつを導いてほしい。			尻拭いをさせるようで悪いが……しばらくの間、ブランシュティルに付き合ってやってくれないか？……仕事を通じて、あいつを導いてほしい。			壊れた漢							
人を導くことで、きっと、あんたも成長できるはずだ。「ブランシュティル」と話して、ともに働いてやっとくれよ。			人を導くことで、きっと、あんたも成長できるはずだ。「ブランシュティル」と話して、ともに働いてやっとくれよ。			壊れた漢							
人を導くことで、きっと、あんたも成長できるはずだ。「ブランシュティル」と話して、ともに働いてやっとくれよ。			人を導くことで、きっと、あんたも成長できるはずだ。「ブランシュティル」と話して、ともに働いてやっとくれよ。			壊れた漢							
……貴様か、無様なところを見せてしまったな。だが、あの戦いで我は痛感した……いかに己が、甲冑を纏い戦う者達のことを考えていなかったかを。			……貴様か、無様なところを見せてしまったな。だが、あの戦いで我は痛感した……いかに己が、甲冑を纏い戦う者達のことを考えていなかったかを。			壊れた漢							
そんな我とともに、仕事を成そうと言うのか？貴様という女男は、つくづくお人好しなのだな……。……よかろう、だが、貴様に出番はない。			そんな我とともに、仕事を成そうと言うのか？貴様という女男は、つくづくお人好しなのだな……。……よかろう、だが、貴様に出番はない。			壊れた漢							
我は猛省し、新たな職人道を歩むことにした。今後は、客の立場に立った甲冑作りを目指すのだ！迷いを乗り越え道筋を見つけた我に、助けなど無用であろう。			我は猛省し、新たな職人道を歩むことにした。今後は、客の立場に立った甲冑作りを目指すのだ！迷いを乗り越え道筋を見つけた我に、助けなど無用であろう。			壊れた漢							
「甲冑師」の新たなクラスクエストが開始されました。次のクエストは「レベル53」以上で、甲冑師ギルドのブランシュティルから受注可能です。			「甲冑師」の新たなクラスクエストが開始されました。次のクエストは「レベル53」以上で、甲冑師ギルドのブランシュティルから受注可能です。			壊れた漢							
今後の「甲冑師」のクラスクエスト受注条件は、コンプリート後のジャーナルで確認できます。			今後の「甲冑師」のクラスクエスト受注条件は、コンプリート後のジャーナルで確認できます。			壊れた漢							
また、新たな依頼「収集品取引」が受けられます。イシュガルドの聖レネット広場にいる、「モルゲイン」を訪ねてみましょう。			また、新たな依頼「収集品取引」が受けられます。イシュガルドの聖レネット広場にいる、「モルゲイン」を訪ねてみましょう。			壊れた漢							
さらに、熟練の職人だけが製作可能な、難度の高い製品の製法が記されたレシピ帳、「秘伝書」が入手できるようになります。			さらに、熟練の職人だけが製作可能な、難度の高い製品の製法が記されたレシピ帳、「秘伝書」が入手できるようになります。			壊れた漢							
レヴナンツトールにいる、「ガイディング・スター」を訪ねてみましょう。			レヴナンツトールにいる、「ガイディング・スター」を訪ねてみましょう。			壊れた漢							
甲冑師ギルドのハ・ナンザは、心配そうな顔をしている。			甲冑師ギルドのハ・ナンザは、心配そうな顔をしている。			東方の甲冑職人							
ハ・ナンザと話した。すでに東方に着いているはずのブランシュティルから、一切連絡が来ていないらしい。クガネで「ブランシュティル」を探そう。			ハ・ナンザと話した。すでに東方に着いているはずのブランシュティルから、一切連絡が来ていないらしい。クガネで「ブランシュティル」を探そう。			東方の甲冑職人							
ブランシュティルを探し出して話した。鍛冶場を探すため、クガネの小鍛冶屋に向かった「ブランシュティル」と話そう。			ブランシュティルを探し出して話した。鍛冶場を探すため、クガネの小鍛冶屋に向かった「ブランシュティル」と話そう。			東方の甲冑職人							
ブランシュティルと話した。ブランシュティルと冒険者は、降神祭の変わり兜を拵えたフウゲツから技術を指南してもらえることになった。エオルゼア式の鎧を作るため、小鍛冶屋の「ウンリュウ」に話しかけ「板金鎧の材料」を入手しよう。			ブランシュティルと話した。ブランシュティルと冒険者は、降神祭の変わり兜を拵えたフウゲツから技術を指南してもらえることになった。エオルゼア式の鎧を作るため、小鍛冶屋の「ウンリュウ」に話しかけ「板金鎧の材料」を入手しよう。			東方の甲冑職人							
ウンリュウから材料を受けとった。「板金鎧の材料」をもとに「騎士向けの板金鎧」を製作し、小鍛冶屋の「フウゲツ」に納品しよう。※「板金鎧の材料」を失った場合は、ウンリュウに話しかけましょう。材料を入手し、再挑戦が可能になります。			ウンリュウから材料を受けとった。「板金鎧の材料」をもとに「騎士向けの板金鎧」を製作し、小鍛冶屋の「フウゲツ」に納品しよう。※「板金鎧の材料」を失った場合は、ウンリュウに話しかけましょう。材料を入手し、再挑戦が可能になります。			東方の甲冑職人							
騎士向けの板金鎧をフウゲツに納品した。熟練の職人であると認められた冒険者は、次回からは東方式の甲冑作りを教えてもらえるようだ。小鍛冶屋の「ブランシュティル」と話そう。			騎士向けの板金鎧をフウゲツに納品した。熟練の職人であると認められた冒険者は、次回からは東方式の甲冑作りを教えてもらえるようだ。小鍛冶屋の「ブランシュティル」と話そう。			東方の甲冑職人							
ブランシュティルと話した。彼も冒険者同様、フウゲツに腕を認められ、指南を約束してもらえたようだ。フウゲツの手が空くまで、甲冑師として腕に磨きをかけておこう。※甲冑師のレベルが65以上になると、小鍛冶屋のブランシュティルから次の甲冑師クエストを受注することができます。			ブランシュティルと話した。彼も冒険者同様、フウゲツに腕を認められ、指南を約束してもらえたようだ。フウゲツの手が空くまで、甲冑師として腕に磨きをかけておこう。※甲冑師のレベルが65以上になると、小鍛冶屋のブランシュティルから次の甲冑師クエストを受注することができます。			東方の甲冑職人							
クガネでブランシュティルを探す			クガネでブランシュティルを探す			東方の甲冑職人							
ブランシュティルと話す			ブランシュティルと話す			東方の甲冑職人							
ウンリュウと話す			ウンリュウと話す			東方の甲冑職人							
製作手帳 クラスクエスト：騎士向けの板金鎧を製作フウゲツに騎士向けの板金鎧を納品			製作手帳 クラスクエスト：騎士向けの板金鎧を製作フウゲツに騎士向けの板金鎧を納品			東方の甲冑職人							
ブランシュティルと話す			ブランシュティルと話す			東方の甲冑職人							
ブランシュティルの奴、すでに東方に到着しているはずなんだ。けど、待てど暮らせど、文のひとつも届きゃしない……。			ブランシュティルの奴、すでに東方に到着しているはずなんだ。けど、待てど暮らせど、文のひとつも届きゃしない……。			東方の甲冑職人							
道中、事故などに見舞われてないといいんだが……。ところで、あんたは東方のクガネってところには、行ったことがあるかい？			道中、事故などに見舞われてないといいんだが……。ところで、あんたは東方のクガネってところには、行ったことがあるかい？			東方の甲冑職人							
もし今度、クガネに行くことがあったら、「ブランシュティル」が無事に着いているか調べてくれないかい？			もし今度、クガネに行くことがあったら、「ブランシュティル」が無事に着いているか調べてくれないかい？			東方の甲冑職人							
東方となると距離も遠いから、さすがに少し不安でね……。手間をかけて悪いが、よろしく頼むよ。			東方となると距離も遠いから、さすがに少し不安でね……。手間をかけて悪いが、よろしく頼むよ。			東方の甲冑職人							
もし今度、クガネに行くことがあったら、「ブランシュティル」が無事に着いているか調べてくれないかい？手間をかけて悪いが、よろしく頼むよ。			もし今度、クガネに行くことがあったら、「ブランシュティル」が無事に着いているか調べてくれないかい？手間をかけて悪いが、よろしく頼むよ。			東方の甲冑職人							
誰かと思えば、我が盟友ではないか……！？このような異郷の地で出会うとは驚いた。			誰かと思えば、我が盟友ではないか……！？このような異郷の地で出会うとは驚いた。			東方の甲冑職人							
まだ、こちらに到着して間もないのだが、この銅像の鎧に、思わず見とれていたのだ。エオルゼアの甲冑とは、まったく異なる形状ではないか！			まだ、こちらに到着して間もないのだが、この銅像の鎧に、思わず見とれていたのだ。エオルゼアの甲冑とは、まったく異なる形状ではないか！			東方の甲冑職人							
……と、感心している場合ではなかったな。鍛冶場を訪ね、指導を仰ぐに足る甲冑職人を、見つけなければならん！			……と、感心している場合ではなかったな。鍛冶場を訪ね、指導を仰ぐに足る甲冑職人を、見つけなければならん！			東方の甲冑職人							
そうだ、よければお主も鍛冶場探しを手伝ってくれんか？			そうだ、よければお主も鍛冶場探しを手伝ってくれんか？			東方の甲冑職人							
かたじけない。聞くところによれば、第一波止場に「小鍛冶屋」という、鍛冶場があるそうだ……そちらに向かおう。			かたじけない。聞くところによれば、第一波止場に「小鍛冶屋」という、鍛冶場があるそうだ……そちらに向かおう。			東方の甲冑職人							
おや、お客さんですかな？			おや、お客さんですかな？			東方の甲冑職人							
どうやら、ここが刀や甲冑を作る職人が集まるという、「小鍛冶屋」であるらしいな……。さっそく、修行したい旨を伝えてみるとするか。			どうやら、ここが刀や甲冑を作る職人が集まるという、「小鍛冶屋」であるらしいな……。さっそく、修行したい旨を伝えてみるとするか。			東方の甲冑職人							
すまない、こちらのギルドの代表はどなたであろうか？突然で申し訳ないのだが、甲冑作りの指南をお願いしたく、エオルゼアより参った者なのだが……。			すまない、こちらのギルドの代表はどなたであろうか？突然で申し訳ないのだが、甲冑作りの指南をお願いしたく、エオルゼアより参った者なのだが……。			東方の甲冑職人							
おやおや、異国からの弟子入り希望者とは、長い歴史でも、初めてのことでしょうね……。どういった事情なのか、伺わせていただけますか？			おやおや、異国からの弟子入り希望者とは、長い歴史でも、初めてのことでしょうね……。どういった事情なのか、伺わせていただけますか？			東方の甲冑職人							
その物言い……も、もしや、貴方がここの代表なのか……？			その物言い……も、もしや、貴方がここの代表なのか……？			東方の甲冑職人							
ええ、いかにも。この小鍛冶屋の甲冑職人を束ねる親方をしている、フウゲツと申します……。			ええ、いかにも。この小鍛冶屋の甲冑職人を束ねる親方をしている、フウゲツと申します……。			東方の甲冑職人							
そ、そうか、では改めて……我が名はブランシュティル。海都「リムサ・ロミンサ」で修行を積んだ甲冑職人だ。			そ、そうか、では改めて……我が名はブランシュティル。海都「リムサ・ロミンサ」で修行を積んだ甲冑職人だ。			東方の甲冑職人							
