選者殿のチャ・ラカ・ティアは、協力者を探しているようだ。			選者殿のチャ・ラカ・ティアは、協力者を探しているようだ。			崖っぷち准教授の論文							
見てくれよ。立派な水槽があるってのに、魚が全然いないだろ……？			見てくれよ。立派な水槽があるってのに、魚が全然いないだろ……？			崖っぷち准教授の論文							
俺の環境エーテル研究室では「水脈」の研究をしてるんだ。ここで言う水脈は、地下水脈のことじゃあなくて、地脈や風脈と同様に、河川や海を流れるエーテルの奔流のことな。			俺の環境エーテル研究室では「水脈」の研究をしてるんだ。ここで言う水脈は、地下水脈のことじゃあなくて、地脈や風脈と同様に、河川や海を流れるエーテルの奔流のことな。			崖っぷち准教授の論文							
環境エーテルが濃い場所には、自然と生命が集まるって法則は、水脈も同じでね。世界的に有名な漁場は、大抵エーテル流が活発な水域なんだ。			環境エーテルが濃い場所には、自然と生命が集まるって法則は、水脈も同じでね。世界的に有名な漁場は、大抵エーテル流が活発な水域なんだ。			崖っぷち准教授の論文							
例えば、極めて濃い水脈は「幻海流」とも呼ばれていて、豊漁をもたらすものとして、漁師たちにも親しまれてるけど……お前も知ってるか？			例えば、極めて濃い水脈は「幻海流」とも呼ばれていて、豊漁をもたらすものとして、漁師たちにも親しまれてるけど……お前も知ってるか？			崖っぷち准教授の論文							
何と言う？			何と言う？			崖っぷち准教授の論文							
聞いたことがある			聞いたことがある			崖っぷち准教授の論文							
知らないが……？			知らないが……？			崖っぷち准教授の論文							
遭遇したことがある！			遭遇したことがある！			崖っぷち准教授の論文							
おっ、さすが腕自慢のグリーナーだな！身近な場所に水脈が存在してるって、わかってくれたら嬉しいよ！			おっ、さすが腕自慢のグリーナーだな！身近な場所に水脈が存在してるって、わかってくれたら嬉しいよ！			崖っぷち准教授の論文							
幻海流は、沖に出て初めて出会うもんだからなぁ。遠洋漁業を経験すれば、遭遇できるかもな！			幻海流は、沖に出て初めて出会うもんだからなぁ。遠洋漁業を経験すれば、遭遇できるかもな！			崖っぷち准教授の論文							
とにかく覚えておいてほしいのは、水棲生物にとっては、水脈の濃さが重要ってこと。			とにかく覚えておいてほしいのは、水棲生物にとっては、水脈の濃さが重要ってこと。			崖っぷち准教授の論文							
言い換えれば、ある水域の魚や生き物を調べれば、そこの水脈……エーテル流の活性状態も見えてくるってことだ。			言い換えれば、ある水域の魚や生き物を調べれば、そこの水脈……エーテル流の活性状態も見えてくるってことだ。			崖っぷち准教授の論文							
そこで俺は、世界中からサンプルとなる魚を集め、各地の水脈に関するデータを集めてるわけさ。			そこで俺は、世界中からサンプルとなる魚を集め、各地の水脈に関するデータを集めてるわけさ。			崖っぷち准教授の論文							
問題は、特にデータが少なく研究したい場所ほど、そもそも到達することさえ難しい地域ってことでさ……。俺が行ければ手っ取り早いんだが、それもできなくてな。			問題は、特にデータが少なく研究したい場所ほど、そもそも到達することさえ難しい地域ってことでさ……。俺が行ければ手っ取り早いんだが、それもできなくてな。			崖っぷち准教授の論文							
どうして俺が調査に行けないのか、わからないって顔だな……。			どうして俺が調査に行けないのか、わからないって顔だな……。			崖っぷち准教授の論文							
実は俺、極度に重いエーテル酔いを起こしやすくてさ。エーテライトや、転送魔法が一切使えないんだ。おかげで、フィールドワークに行ったことが全然なくって……。			実は俺、極度に重いエーテル酔いを起こしやすくてさ。エーテライトや、転送魔法が一切使えないんだ。おかげで、フィールドワークに行ったことが全然なくって……。			崖っぷち准教授の論文							
あはは、エーテル酔いのヤツがエーテルの研究者なんて、やっぱりおかしいよなぁ……！			あはは、エーテル酔いのヤツがエーテルの研究者なんて、やっぱりおかしいよなぁ……！			崖っぷち准教授の論文							
だけど、これが本当でさぁ……！何だったら、いっぺん実演してみせるから、エーテライト・プラザまで来てくれるか？			だけど、これが本当でさぁ……！何だったら、いっぺん実演してみせるから、エーテライト・プラザまで来てくれるか？			崖っぷち准教授の論文							
……来てくれたか。それじゃ、俺の酔いっぷり、見ててくれよな……！			……来てくれたか。それじゃ、俺の酔いっぷり、見ててくれよな……！			崖っぷち准教授の論文							
うぅ…………ッ！！！			うぅ…………ッ！！！			崖っぷち准教授の論文							
こ、このくらいでもう駄目なんだよなぁぁ……。ぎっ、気持ち悪いぃ…………			こ、このくらいでもう駄目なんだよなぁぁ……。ぎっ、気持ち悪いぃ…………			崖っぷち准教授の論文							
はは……あははははっ…………！！お花畑と、妖精さんが見えるぞぉ～！			はは……あははははっ…………！！お花畑と、妖精さんが見えるぞぉ～！			崖っぷち准教授の論文							
何もかもが、輝いて見えるっ！世界は美しい、そしてぐるぐる、回っているんだ～！……あれ、なんで目がぐるぐる…………うぇ、うぉえええッ……！			何もかもが、輝いて見えるっ！世界は美しい、そしてぐるぐる、回っているんだ～！……あれ、なんで目がぐるぐる…………うぇ、うぉえええッ……！			崖っぷち准教授の論文							
ハァ、ハァ……うぅぅすまない、醜態を晒したな……。ご覧の通り、エーテル濃度の変化に敏感すぎる体質なんだ。それこそ、ラヴィリンソスに降りる程度でも倒れるくらいさ……。			ハァ、ハァ……うぅぅすまない、醜態を晒したな……。ご覧の通り、エーテル濃度の変化に敏感すぎる体質なんだ。それこそ、ラヴィリンソスに降りる程度でも倒れるくらいさ……。			崖っぷち准教授の論文							
(-？？？？-)大丈夫ですか、チャ・ラカ……！			(-？？？？-)大丈夫ですか、チャ・ラカ……！			崖っぷち准教授の論文							
ネ、ネレー教授……！			ネ、ネレー教授……！			崖っぷち准教授の論文							
君がこのあたりにいるとは珍しい……。偶然に見かけたもので声をかけようと思ったのですが、エーテル酔いの酷さは、相変わらずのようですね。			君がこのあたりにいるとは珍しい……。偶然に見かけたもので声をかけようと思ったのですが、エーテル酔いの酷さは、相変わらずのようですね。			崖っぷち准教授の論文							
おや、そちらの方はもしや……協力者の方でしょうか？となれば、論文執筆もいよいよ本格始動といったところですね。			おや、そちらの方はもしや……協力者の方でしょうか？となれば、論文執筆もいよいよ本格始動といったところですね。			崖っぷち准教授の論文							
ご覧の通り彼は、エーテル酔いにひどく弱い体質なのですが、その発想と学術的アプローチには、光るものがあります。長く学界に身を置いてきた私としても、注目しているのですよ。			ご覧の通り彼は、エーテル酔いにひどく弱い体質なのですが、その発想と学術的アプローチには、光るものがあります。長く学界に身を置いてきた私としても、注目しているのですよ。			崖っぷち准教授の論文							
いやぁ、論文を査読するのが待ち遠しいほどでしてね。是非とも、彼に力を貸してやってください！			いやぁ、論文を査読するのが待ち遠しいほどでしてね。是非とも、彼に力を貸してやってください！			崖っぷち准教授の論文							
ううっ……いち文字たりとも論文が書けていないのに……！今の俺には、教授の信頼が重い……重すぎる……！！			ううっ……いち文字たりとも論文が書けていないのに……！今の俺には、教授の信頼が重い……重すぎる……！！			崖っぷち准教授の論文							
今のは、俺の恩師でもあるネレー教授だよ。マトーヤ老と並ぶ、エーテル学の重鎮なのに……昔から俺なんかに期待をかけてくれててさ。			今のは、俺の恩師でもあるネレー教授だよ。マトーヤ老と並ぶ、エーテル学の重鎮なのに……昔から俺なんかに期待をかけてくれててさ。			崖っぷち准教授の論文							
准教授に過ぎない俺が、環境エーテル研究室を主催できたのも、若手研究者向けの支援プロジェクトの第一号として、ネレー教授が推薦してくれたからなんだ。			准教授に過ぎない俺が、環境エーテル研究室を主催できたのも、若手研究者向けの支援プロジェクトの第一号として、ネレー教授が推薦してくれたからなんだ。			崖っぷち准教授の論文							
でも、次の学会で成果が出せなければ……			でも、次の学会で成果が出せなければ……			崖っぷち准教授の論文							
俺の研究室は解散……。加えて、支援プロジェクトも中止になって、ほかの若手研究者の未来も閉ざされることになっちまう……！			俺の研究室は解散……。加えて、支援プロジェクトも中止になって、ほかの若手研究者の未来も閉ざされることになっちまう……！			崖っぷち准教授の論文							
もうさぁ、大酒飲んで逃げてやりたいくらいなんだけど、俺ってばエーテル酔いついでに、酒にもすんごく酔うんだよなぁ！逃避の手段すら残されてない、八方塞がりってわけ！			もうさぁ、大酒飲んで逃げてやりたいくらいなんだけど、俺ってばエーテル酔いついでに、酒にもすんごく酔うんだよなぁ！逃避の手段すら残されてない、八方塞がりってわけ！			崖っぷち准教授の論文							
酔いにもプレッシャーにも弱い俺だけどさ、師匠の面目のためにも、今回は絶対絶対失敗できないんだーー！！			酔いにもプレッシャーにも弱い俺だけどさ、師匠の面目のためにも、今回は絶対絶対失敗できないんだーー！！			崖っぷち准教授の論文							
だから頼む……力を貸してくれ！このとおりだから……！			だから頼む……力を貸してくれ！このとおりだから……！			崖っぷち准教授の論文							
何と言う？			何と言う？			崖っぷち准教授の論文							
任せてくれ……！			任せてくれ……！			崖っぷち准教授の論文							
仕方ないなぁ……			仕方ないなぁ……			崖っぷち准教授の論文							
ああっ、お前みたいのが現れてくれるなんて……！俺の、それにシャーレアンの若手研究者の希望の光だよ……！！！			ああっ、お前みたいのが現れてくれるなんて……！俺の、それにシャーレアンの若手研究者の希望の光だよ……！！！			崖っぷち准教授の論文							
これから大いに頼りにさせてもらうからなっ！……っと、そうは言っても、こんな場所で依頼の話ってのも失礼か。ひとまず「選者殿」に戻るとするか！			これから大いに頼りにさせてもらうからなっ！……っと、そうは言っても、こんな場所で依頼の話ってのも失礼か。ひとまず「選者殿」に戻るとするか！			崖っぷち准教授の論文							
おっ、来てくれたな、Forename！依頼内容は、もうまとめてあるぜ！			おっ、来てくれたな、Forename！依頼内容は、もうまとめてあるぜ！			崖っぷち准教授の論文							
こっちは、いつでも大丈夫だからさ……。準備ができたら、声をかけてくれ！			こっちは、いつでも大丈夫だからさ……。準備ができたら、声をかけてくれ！			崖っぷち准教授の論文							
「エーテル学部」のシャーレアン魔法大学取引が開放されました！「チャ・ラカ・ティア」に話しかけて、納品を開始しましょう！			「エーテル学部」のシャーレアン魔法大学取引が開放されました！「チャ・ラカ・ティア」に話しかけて、納品を開始しましょう！			崖っぷち准教授の論文							
選者殿のチャ・ラカ・ティアは、論文のためのデータ採集を待ちかねているようだ。			選者殿のチャ・ラカ・ティアは、論文のためのデータ採集を待ちかねているようだ。			水脈の潮汐							
チャ・ラカ・ティアから研究対象を釣ってくるよう依頼された。「エクスエーテルラウス」を6匹、選者殿の「チャ・ラカ・ティア」へ納品しよう。「エクスエーテルラウス」はラヴィリンソスの地下水排出路にある滝つぼ付近で「黄金イクラ」を釣り餌にすると釣ることができる。※納品は、収集価値「70」以上で可能となりますが、「166」以上で納品した場合、より多くの報酬が得られます。			チャ・ラカ・ティアから研究対象を釣ってくるよう依頼された。「エクスエーテルラウス」を6匹、選者殿の「チャ・ラカ・ティア」へ納品しよう。「エクスエーテルラウス」はラヴィリンソスの地下水排出路にある滝つぼ付近で「黄金イクラ」を釣り餌にすると釣ることができる。※納品は、収集価値「70」以上で可能となりますが、「166」以上で納品した場合、より多くの報酬が得られます。			水脈の潮汐							
チャ・ラカ・ティアに「エクスエーテルラウス」を納品した。水脈潮汐説の立証を手伝うため、準備が整い次第ふたたびチャ・ラカ・ティアに声をかけよう。			チャ・ラカ・ティアに「エクスエーテルラウス」を納品した。水脈潮汐説の立証を手伝うため、準備が整い次第ふたたびチャ・ラカ・ティアに声をかけよう。			水脈の潮汐							
ラヴィリンソスの地下水排出路にある滝つぼ付近で釣り上げたエクスエーテルラウスをチャ・ラカ・ティアに納品			ラヴィリンソスの地下水排出路にある滝つぼ付近で釣り上げたエクスエーテルラウスをチャ・ラカ・ティアに納品			水脈の潮汐							
よし、さっそく仕事の話を始めるぜ！			よし、さっそく仕事の話を始めるぜ！			水脈の潮汐							
すでに伝えてあるとおり、俺の論文を完成させるには、世界各地の水域から、サンプルとなる魚類を集める必要がある。生体エーテルを計測することで、水脈の状況を知るんだ。			すでに伝えてあるとおり、俺の論文を完成させるには、世界各地の水域から、サンプルとなる魚類を集める必要がある。生体エーテルを計測することで、水脈の状況を知るんだ。			水脈の潮汐							
ただし、最初から遠出する必要はないぞ。研究の基準となるデータを得るため、プレーンな人工環境である、「ラヴィリンソス」でサンプルを採取してきてもらいたいんだ。			ただし、最初から遠出する必要はないぞ。研究の基準となるデータを得るため、プレーンな人工環境である、「ラヴィリンソス」でサンプルを採取してきてもらいたいんだ。			水脈の潮汐							
集めてきてほしいのは「エクスエーテルラウス」！個体差によるデータのブレを防ぐため、何匹分か依頼させてくれ。地下水排出路近くで、釣り餌に「黄金イクラ」を使うといいはずだ！			集めてきてほしいのは「エクスエーテルラウス」！個体差によるデータのブレを防ぐため、何匹分か依頼させてくれ。地下水排出路近くで、釣り餌に「黄金イクラ」を使うといいはずだ！			水脈の潮汐							
「エーテル学部」への納品が開始されました！依頼されたアイテムをチャ・ラカ・ティアに納品し、貢献していきましょう！			「エーテル学部」への納品が開始されました！依頼されたアイテムをチャ・ラカ・ティアに納品し、貢献していきましょう！			水脈の潮汐							
なお、依頼品の納品には一定の収集価値が必要となり、価値が高いアイテムの場合は、報酬にボーナスがつきます。まずは依頼品リストを確認してみましょう！			なお、依頼品の納品には一定の収集価値が必要となり、価値が高いアイテムの場合は、報酬にボーナスがつきます。まずは依頼品リストを確認してみましょう！			水脈の潮汐							
釣ってきてくれた生物から調べる、データの分析は俺の仕事。地下水排出路付近で、釣り餌に「黄金イクラ」を使うといいはずだ。活きのいいサンプルを持ってきてくれるの、待ってるな！			釣ってきてくれた生物から調べる、データの分析は俺の仕事。地下水排出路付近で、釣り餌に「黄金イクラ」を使うといいはずだ。活きのいいサンプルを持ってきてくれるの、待ってるな！			水脈の潮汐							
サンプル採集に行ってきてくれたんだな、ありがとう！！こいつらは水中のエーテルを直接摂取するから、ラヴィリンソスの水脈を的確に捉えたデータが取れるはずだ！			サンプル採集に行ってきてくれたんだな、ありがとう！！こいつらは水中のエーテルを直接摂取するから、ラヴィリンソスの水脈を的確に捉えたデータが取れるはずだ！			水脈の潮汐							
ありがとう、サンプルにこんな立派なのを採ってきてくれたのか！大物であるほど生体エーテル値も水脈に忠実になるから、おかげでデータ計測も捗りそうだぜ！			ありがとう、サンプルにこんな立派なのを採ってきてくれたのか！大物であるほど生体エーテル値も水脈に忠実になるから、おかげでデータ計測も捗りそうだぜ！			水脈の潮汐							
依頼品を納品したことで、チャ・ラカ・ティアはあなたの貢献を実感しはじめました。			依頼品を納品したことで、チャ・ラカ・ティアはあなたの貢献を実感しはじめました。			水脈の潮汐							
今後も積極的に依頼品の納品を行い、貢献度を蓄積させていきましょう！			今後も積極的に依頼品の納品を行い、貢献度を蓄積させていきましょう！			水脈の潮汐							
お前が釣ってきてくれたサンプルのおかげで、基準にするためのデータが、バッチリ集まったぞ！これから研究を進めるのが、本当に楽しみだ！			お前が釣ってきてくれたサンプルのおかげで、基準にするためのデータが、バッチリ集まったぞ！これから研究を進めるのが、本当に楽しみだ！			水脈の潮汐							
そういや……まだ俺の研究を詳しく説明してなかったな。実は、俺には証明したい仮説があるんだ。			そういや……まだ俺の研究を詳しく説明してなかったな。実は、俺には証明したい仮説があるんだ。			水脈の潮汐							
その名も「水脈潮汐説(すいみゃくちょうせきせつ)」……！海が月に引かれて満ち引きを繰り返すように、星全体の水脈が、定期的に揺らいでいるという説だ。			その名も「水脈潮汐説(すいみゃくちょうせきせつ)」……！海が月に引かれて満ち引きを繰り返すように、星全体の水脈が、定期的に揺らいでいるという説だ。			水脈の潮汐							
水脈のエーテル濃度が変われば、水棲生物の個体数は増減し、海流にも影響が出る。			水脈のエーテル濃度が変われば、水棲生物の個体数は増減し、海流にも影響が出る。			水脈の潮汐							
その巡りの存在を証明し、法則性を導き出せれば、漁獲高を予測したり、海難事故を防いだりできるはずだ。			その巡りの存在を証明し、法則性を導き出せれば、漁獲高を予測したり、海難事故を防いだりできるはずだ。			水脈の潮汐							
基準値が得られたことで、これから証明が始められる！今後とも、よろしく頼むぜ！			基準値が得られたことで、これから証明が始められる！今後とも、よろしく頼むぜ！			水脈の潮汐							
おお、どうやら捗っているようですね。			おお、どうやら捗っているようですね。			水脈の潮汐							
ネレー教授！			ネレー教授！			水脈の潮汐							
君のサンプルデータの収集が動き出したらしいと聞きまして。いろいろと、今後の研究に役立つ資料を見繕ってきましたよ。			君のサンプルデータの収集が動き出したらしいと聞きまして。いろいろと、今後の研究に役立つ資料を見繕ってきましたよ。			水脈の潮汐							
そんな……ありがとうございます！			そんな……ありがとうございます！			水脈の潮汐							
なんのことはありませんよ。君の研究が日の目を見る時がくれば、私も嬉しい。			なんのことはありませんよ。君の研究が日の目を見る時がくれば、私も嬉しい。			水脈の潮汐							
君は仮説を立てる筋はいいのに、ずいぶん長いこと、息の合うグリーナーと出会うのに苦労していたようでしたから。彼女彼と良い発見が続くよう、祈っていますよ。			君は仮説を立てる筋はいいのに、ずいぶん長いこと、息の合うグリーナーと出会うのに苦労していたようでしたから。彼女彼と良い発見が続くよう、祈っていますよ。			水脈の潮汐							
…………なんだか今の教授の言葉、胸に響いたな……。			…………なんだか今の教授の言葉、胸に響いたな……。			水脈の潮汐							
俺はずっと、教授の期待を重圧だと感じていたんだ。期待されればされるほど、それに応えなきゃって焦るばかりで……。			俺はずっと、教授の期待を重圧だと感じていたんだ。期待されればされるほど、それに応えなきゃって焦るばかりで……。			水脈の潮汐							
だけどお前のおかげで、今日は着実な一歩を踏み出せた。今なら、教授の応援を素直に受け取ることができる気がする、かな。			だけどお前のおかげで、今日は着実な一歩を踏み出せた。今なら、教授の応援を素直に受け取ることができる気がする、かな。			水脈の潮汐							
よし！　この調子で、研究に弾みをつけていくぞ！これからも協力、よろしく頼むな！			よし！　この調子で、研究に弾みをつけていくぞ！これからも協力、よろしく頼むな！			水脈の潮汐							
エーテル学部の貢献ランクが上昇しました！チャ・ラカ・ティアはあなたの事を、「研究室の助っ人」と感じているようです！			エーテル学部の貢献ランクが上昇しました！チャ・ラカ・ティアはあなたの事を、「研究室の助っ人」と感じているようです！			水脈の潮汐							
次のクエストは、「漁師」がレベル83以上になると、選者殿の「チャ・ラカ・ティア」から受注可能です。			次のクエストは、「漁師」がレベル83以上になると、選者殿の「チャ・ラカ・ティア」から受注可能です。			水脈の潮汐							
選者殿のチャ・ラカ・ティアは、論文のためのデータ採集が進みだしたことを喜んでいるようだ。			選者殿のチャ・ラカ・ティアは、論文のためのデータ採集が進みだしたことを喜んでいるようだ。			小魚が踊るエーテル							
チャ・ラカ・ティアから研究対象を釣ってくるよう依頼された。「ガルジャナ・ラス」を6匹、選者殿の「チャ・ラカ・ティア」へ納品しよう。「ガルジャナ・ラス」はサベネア島のデミールの遺烈郷沿岸で「シュリンプボール」を釣り餌にすると釣ることができる。※納品は、収集価値「133」以上で可能となりますが、「313」以上で納品した場合、より多くの報酬が得られます。			チャ・ラカ・ティアから研究対象を釣ってくるよう依頼された。「ガルジャナ・ラス」を6匹、選者殿の「チャ・ラカ・ティア」へ納品しよう。「ガルジャナ・ラス」はサベネア島のデミールの遺烈郷沿岸で「シュリンプボール」を釣り餌にすると釣ることができる。※納品は、収集価値「133」以上で可能となりますが、「313」以上で納品した場合、より多くの報酬が得られます。			小魚が踊るエーテル							
チャ・ラカ・ティアに「ガルジャナ・ラス」を納品した。次にデータ採集する地域が決まるまで、こちらも腕を磨いておこう。			チャ・ラカ・ティアに「ガルジャナ・ラス」を納品した。次にデータ採集する地域が決まるまで、こちらも腕を磨いておこう。			小魚が踊るエーテル							
サベネア島のデミールの遺烈郷沿岸で釣り上げたガルジャナ・ラスをチャ・ラカ・ティアに納品			サベネア島のデミールの遺烈郷沿岸で釣り上げたガルジャナ・ラスをチャ・ラカ・ティアに納品			小魚が踊るエーテル							
おっ、また来てくれたのか！首尾は上々だぞ！			おっ、また来てくれたのか！首尾は上々だぞ！			小魚が踊るエーテル							
あの水槽、見てくれたか？学部で保管してた研究用の魚を入れてみたんだ。なかなか迫力だろ？			あの水槽、見てくれたか？学部で保管してた研究用の魚を入れてみたんだ。なかなか迫力だろ？			小魚が踊るエーテル							
お前のおかげで、俺の研究は一気に動き出したぞ！データ分析が、こんなに楽しいと思えるなんてな……！			お前のおかげで、俺の研究は一気に動き出したぞ！データ分析が、こんなに楽しいと思えるなんてな……！			小魚が踊るエーテル							
以降もエクスエーテルラウスのデータは継続的に調査していくが、採集は、ほかのグリーナーに頼んでいくつもりだ。			以降もエクスエーテルラウスのデータは継続的に調査していくが、採集は、ほかのグリーナーに頼んでいくつもりだ。			小魚が踊るエーテル							
腕利きのお前には、俺が長年調べたかった地域に行ってもらいたくてね。			腕利きのお前には、俺が長年調べたかった地域に行ってもらいたくてね。			小魚が踊るエーテル							
まず依頼したいのは、サベネア島近海での調査だ！			まず依頼したいのは、サベネア島近海での調査だ！			小魚が踊るエーテル							
あの海域では、霊災前後で水脈に大きな変動があったと見てる。教授の資料には、20年前からの該当海域のデータも含まれていた。現在のデータと比較することで、変化がわかるはずだ！			あの海域では、霊災前後で水脈に大きな変動があったと見てる。教授の資料には、20年前からの該当海域のデータも含まれていた。現在のデータと比較することで、変化がわかるはずだ！			小魚が踊るエーテル							
実は霊災前のサベネア島近海の研究は、ずっとネレー教授が進めてたことなんだ。			実は霊災前のサベネア島近海の研究は、ずっとネレー教授が進めてたことなんだ。			小魚が踊るエーテル							
だから期待を寄せてくれているネレー教授の調査を、引き継ぐっていう意味も込めて、ここから出発したいんだ！			だから期待を寄せてくれているネレー教授の調査を、引き継ぐっていう意味も込めて、ここから出発したいんだ！			小魚が踊るエーテル							
ただ、サベネア島近海では、第七霊災以降、不可解な海難事故が続いているらしい。だからこそ熟練のお前に依頼したいんだけど……大丈夫か？			ただ、サベネア島近海では、第七霊災以降、不可解な海難事故が続いているらしい。だからこそ熟練のお前に依頼したいんだけど……大丈夫か？			小魚が踊るエーテル							
何と答える？			何と答える？			小魚が踊るエーテル							
任せておけ……！			任せておけ……！			小魚が踊るエーテル							
セイレーン海で難破しかけたことがある……			セイレーン海で難破しかけたことがある……			小魚が踊るエーテル							
頼もしいなぁ……！本当に助かるよ。			頼もしいなぁ……！本当に助かるよ。			小魚が踊るエーテル							
う、噂は本当だったんだな……！だけど、サベネア島の沿岸部で釣りをすれば、船が難破する心配もないだろうし……。			う、噂は本当だったんだな……！だけど、サベネア島の沿岸部で釣りをすれば、船が難破する心配もないだろうし……。			小魚が踊るエーテル							
今回採集を頼みたいのは、20年前の調査対象と同じ種である、「ガルジャナ・ラス」だ。			今回採集を頼みたいのは、20年前の調査対象と同じ種である、「ガルジャナ・ラス」だ。			小魚が踊るエーテル							
ネレー教授の資料によれば、デミールの遺烈郷沿岸に棲息していて、釣り餌は「シュリンプボール」が適当らしい。くれぐれも、気をつけて行ってきてくれよ！			ネレー教授の資料によれば、デミールの遺烈郷沿岸に棲息していて、釣り餌は「シュリンプボール」が適当らしい。くれぐれも、気をつけて行ってきてくれよ！			小魚が踊るエーテル							
「ガルジャナ・ラス」を釣るにはデミールの遺烈郷沿岸で、釣り餌に「シュリンプボール」を使ってくれ。			「ガルジャナ・ラス」を釣るにはデミールの遺烈郷沿岸で、釣り餌に「シュリンプボール」を使ってくれ。			小魚が踊るエーテル							
ところで、サベネア島には転送魔法と船、どっちで向かうんだ？うう、俺は滅多にこの島を出ないから、想像つかないや……！気をつけて行ってきてくれよ！			ところで、サベネア島には転送魔法と船、どっちで向かうんだ？うう、俺は滅多にこの島を出ないから、想像つかないや……！気をつけて行ってきてくれよ！			小魚が踊るエーテル							
採ってきてくれたんだな、ありがとう！！20年前に、ネレー教授もこいつを調べていたんだよな。エーテル値を測定するのが楽しみだぜ！			採ってきてくれたんだな、ありがとう！！20年前に、ネレー教授もこいつを調べていたんだよな。エーテル値を測定するのが楽しみだぜ！			小魚が踊るエーテル							
採ってきてくれたんだな、ありがとう！！ネレー教授がくれた20年前のデータと並べる数値だからな。立派なこいつから、しっかり測定させてもらうな！			採ってきてくれたんだな、ありがとう！！ネレー教授がくれた20年前のデータと並べる数値だからな。立派なこいつから、しっかり測定させてもらうな！			小魚が踊るエーテル							
これで十分なサンプルが集まったわけだけど……今回は、ネレー教授を呼んでいるんだ。少し待っていてくれ！			これで十分なサンプルが集まったわけだけど……今回は、ネレー教授を呼んでいるんだ。少し待っていてくれ！			小魚が踊るエーテル							
君のほうから呼んでくれるとは、珍しい。サベネア島近海の研究は、順調に進んでいますか？			君のほうから呼んでくれるとは、珍しい。サベネア島近海の研究は、順調に進んでいますか？			小魚が踊るエーテル							
はい、教授にも報告したくて！彼女彼が集めてきてくれた「ガルジャナ・ラス」のおかげで、十分なデータが取れたところなんです！			はい、教授にも報告したくて！彼女彼が集めてきてくれた「ガルジャナ・ラス」のおかげで、十分なデータが取れたところなんです！			小魚が踊るエーテル							
教授が提供してくれた20年前のデータと比較した結果、予測どおり、霊災前よりもエーテル濃度が高くなっていました。おそらく、小魚の生息数も数倍に達しているはずです。			教授が提供してくれた20年前のデータと比較した結果、予測どおり、霊災前よりもエーテル濃度が高くなっていました。おそらく、小魚の生息数も数倍に達しているはずです。			小魚が踊るエーテル							
