イサリ村のハマカゼは、伝えたいことがあるようだ。			イサリ村のハマカゼは、伝えたいことがあるようだ。			深淵なるはアメノミハシラ							
なんか頼みごとがあるみたいだったが、内容までは聞いてねえ。たぶん、下っ端には教えられねえ重要な話なんだろ。			なんか頼みごとがあるみたいだったが、内容までは聞いてねえ。たぶん、下っ端には教えられねえ重要な話なんだろ。			深淵なるはアメノミハシラ							
筋違砦の「キュウセイ」ってのが、この件について取り仕切ってるから、まずはそいつから話を聞いてくれ。			筋違砦の「キュウセイ」ってのが、この件について取り仕切ってるから、まずはそいつから話を聞いてくれ。			深淵なるはアメノミハシラ							
筋違砦の「キュウセイ」から、話を聞いてくれ。頭領があんたを探している件について、そいつが取り仕切ってるらしいからよ。			筋違砦の「キュウセイ」から、話を聞いてくれ。頭領があんたを探している件について、そいつが取り仕切ってるらしいからよ。			深淵なるはアメノミハシラ							
……お前か、よく来てくれた。俺の用件については、「キュウセイ」に任せている。まずは奴に声をかけてくれ。			……お前か、よく来てくれた。俺の用件については、「キュウセイ」に任せている。まずは奴に声をかけてくれ。			深淵なるはアメノミハシラ							
これはこれは。お待ちしておりました、Surname殿。			これはこれは。お待ちしておりました、Surname殿。			深淵なるはアメノミハシラ							
ただいま、頭領を呼んでまいります。詳しい事情をご説明しますので、申し訳ありませんが、アメノミハシラの前で、少々お待ちいただけますか？			ただいま、頭領を呼んでまいります。詳しい事情をご説明しますので、申し訳ありませんが、アメノミハシラの前で、少々お待ちいただけますか？			深淵なるはアメノミハシラ							
キュウセイとはもう話したようだな。なら、アメノミハシラの前で待っててくれ。ここで詳しい話をするには、問題があってな……。			キュウセイとはもう話したようだな。なら、アメノミハシラの前で待っててくれ。ここで詳しい話をするには、問題があってな……。			深淵なるはアメノミハシラ							
詳しい事情の説明をしますので、アメノミハシラの前で、少々お待ちください。頭領とともに、すぐ向かいますので。			詳しい事情の説明をしますので、アメノミハシラの前で、少々お待ちください。頭領とともに、すぐ向かいますので。			深淵なるはアメノミハシラ							
その柱……アメノミハシラが気になるか？なら、話をするのにちょうどいい。			その柱……アメノミハシラが気になるか？なら、話をするのにちょうどいい。			深淵なるはアメノミハシラ							
呼びかけに応じてくれたこと、感謝する。お前を頼ったのは他でもない。秘密裏に、「ある場所」の探索を頼みたいのだ。			呼びかけに応じてくれたこと、感謝する。お前を頼ったのは他でもない。秘密裏に、「ある場所」の探索を頼みたいのだ。			深淵なるはアメノミハシラ							
俺たちが探索するには、差し障りがある場所でな……。詳しくは、発見した本人に話させよう。			俺たちが探索するには、差し障りがある場所でな……。詳しくは、発見した本人に話させよう。			深淵なるはアメノミハシラ							
数日前のこと、私が当番だったもので、筋違砦の周辺を見回りしていたのですが……その際、見たこともない魔物の群れに、襲撃されたのです。			数日前のこと、私が当番だったもので、筋違砦の周辺を見回りしていたのですが……その際、見たこともない魔物の群れに、襲撃されたのです。			深淵なるはアメノミハシラ							
なんとか撃退したのち、周辺の捜索を行いましたところ、物置小屋の床に、見知らぬ隠し戸が開いているじゃありませんか。驚いて調べると、地下に奇妙な装置が設置されていたのです。			なんとか撃退したのち、周辺の捜索を行いましたところ、物置小屋の床に、見知らぬ隠し戸が開いているじゃありませんか。驚いて調べると、地下に奇妙な装置が設置されていたのです。			深淵なるはアメノミハシラ							
さらに驚くべきは、装置に触れるや否や、私は、魔物ひしめく伏魔殿へと転移されたこと……。			さらに驚くべきは、装置に触れるや否や、私は、魔物ひしめく伏魔殿へと転移されたこと……。			深淵なるはアメノミハシラ							
私ごときの技量では、探索はあまりにも無謀と判断。命からがら魔物の巣窟より逃げ帰り、頭領へ報告した次第です。			私ごときの技量では、探索はあまりにも無謀と判断。命からがら魔物の巣窟より逃げ帰り、頭領へ報告した次第です。			深淵なるはアメノミハシラ							
報告を受けた後、俺の方でも調べてみたんだが、転送先はアメノミハシラの内部のようだ。……それが、この話の厄介な点でな。			報告を受けた後、俺の方でも調べてみたんだが、転送先はアメノミハシラの内部のようだ。……それが、この話の厄介な点でな。			深淵なるはアメノミハシラ							
エオルゼアからいらしたSurname殿が、疑問に思うのも当然でしょう。アメノミハシラは、いわゆる聖地なのです。			エオルゼアからいらしたSurname殿が、疑問に思うのも当然でしょう。アメノミハシラは、いわゆる聖地なのです。			深淵なるはアメノミハシラ							
神代の時代、最初に紅玉海へと降り立った神々は、オノコロ島を創り、そこにアメノミハシラを築いたのだとか……。一説には、天から地へ神々を導く階段だとも言われております。			神代の時代、最初に紅玉海へと降り立った神々は、オノコロ島を創り、そこにアメノミハシラを築いたのだとか……。一説には、天から地へ神々を導く階段だとも言われております。			深淵なるはアメノミハシラ							
ともかく、神々が創ったものであるからと、オノコロ島とアメノミハシラは、長らく禁足地とされてきた。			ともかく、神々が創ったものであるからと、オノコロ島とアメノミハシラは、長らく禁足地とされてきた。			深淵なるはアメノミハシラ							
だが、俺たちは神をも恐れぬ海賊衆。誰も足を踏み入れぬならばと、この島に陣取り、砦を築いて、自分たちの拠点としてきたのだ。			だが、俺たちは神をも恐れぬ海賊衆。誰も足を踏み入れぬならばと、この島に陣取り、砦を築いて、自分たちの拠点としてきたのだ。			深淵なるはアメノミハシラ							
そんな俺たちが、アメノミハシラは魔物の巣窟だったと騒げば……いや、騒がずとも、あの柱の探索を大々的に始めれば、どうなると思う？			そんな俺たちが、アメノミハシラは魔物の巣窟だったと騒げば……いや、騒がずとも、あの柱の探索を大々的に始めれば、どうなると思う？			深淵なるはアメノミハシラ							
人々の海賊衆に対する感情は、間違いなく悪化するでしょう。信心深い者たちが、実力行使に出るかもしれません。			人々の海賊衆に対する感情は、間違いなく悪化するでしょう。信心深い者たちが、実力行使に出るかもしれません。			深淵なるはアメノミハシラ							
だからといって、拠点にある魔物の巣窟を放置するわけにもいかん。……ゆえに、お前には転送装置を使ってアメノミハシラへ侵入し、秘密裏に内部を探索してもらいたいのだ。			だからといって、拠点にある魔物の巣窟を放置するわけにもいかん。……ゆえに、お前には転送装置を使ってアメノミハシラへ侵入し、秘密裏に内部を探索してもらいたいのだ。			深淵なるはアメノミハシラ							
外部の者ならば、その存在を隠し通すことも容易だ。それにお前の実力なら、隠密性を重視した少人数での探索も、難しくはないだろう。			外部の者ならば、その存在を隠し通すことも容易だ。それにお前の実力なら、隠密性を重視した少人数での探索も、難しくはないだろう。			深淵なるはアメノミハシラ							
内部には、怪しげな「結界」が張られており、普段の実力を発揮できぬ有様だが……アメノミハシラの探索、引き受けてはもらえないか？			内部には、怪しげな「結界」が張られており、普段の実力を発揮できぬ有様だが……アメノミハシラの探索、引き受けてはもらえないか？			深淵なるはアメノミハシラ							
私からもお願いいたします。もちろん、できうる限りの支援はいたしますので……。			私からもお願いいたします。もちろん、できうる限りの支援はいたしますので……。			深淵なるはアメノミハシラ							
……助かる。後のことは、キュウセイに任せてあるから、こき使ってやってくれ。			……助かる。後のことは、キュウセイに任せてあるから、こき使ってやってくれ。			深淵なるはアメノミハシラ							
では、入口となる転送装置まで案内いたしましょう。物置小屋……最初にお会いした小屋の前でお待ちしています。用意が整いましたら、声をおかけください。			では、入口となる転送装置まで案内いたしましょう。物置小屋……最初にお会いした小屋の前でお待ちしています。用意が整いましたら、声をおかけください。			深淵なるはアメノミハシラ							
アメノミハシラの探索、よろしく頼む。なに、お前であれば軽くこなせるはずだ。			アメノミハシラの探索、よろしく頼む。なに、お前であれば軽くこなせるはずだ。			深淵なるはアメノミハシラ							
お待ちしておりました。では、転送装置までご案内する前に、アメノミハシラ内部について、もう少し詳しくご説明しましょう。			お待ちしておりました。では、転送装置までご案内する前に、アメノミハシラ内部について、もう少し詳しくご説明しましょう。			深淵なるはアメノミハシラ							
頭領が言いましたとおり、内部には特殊な「結界」が張られ、普段どおりの力が出せない上、持ち込んだ武器が使用できません。			頭領が言いましたとおり、内部には特殊な「結界」が張られ、普段どおりの力が出せない上、持ち込んだ武器が使用できません。			深淵なるはアメノミハシラ							
なので、非常に危険な……おや、何か気がついたことでも？			なので、非常に危険な……おや、何か気がついたことでも？			深淵なるはアメノミハシラ							
何と言う？			何と言う？			深淵なるはアメノミハシラ							
似た場所を知っている			似た場所を知っている			深淵なるはアメノミハシラ							
…………			…………			深淵なるはアメノミハシラ							
似た場所が、他にもあるのですか！？まさか……そんなはずは……。			似た場所が、他にもあるのですか！？まさか……そんなはずは……。			深淵なるはアメノミハシラ							
いえ、「結界」自体は……。ならば、存在しうる、ですか。容易には信じがたいことですが……。			いえ、「結界」自体は……。ならば、存在しうる、ですか。容易には信じがたいことですが……。			深淵なるはアメノミハシラ							
もしや、説明は不要、ということでしょうか？なるほど、ご自分の身で確かめると。さすが、エオルゼアの……。			もしや、説明は不要、ということでしょうか？なるほど、ご自分の身で確かめると。さすが、エオルゼアの……。			深淵なるはアメノミハシラ							
ともかく、そういうことでしたら、説明は不要でしょう。では、これをお使いください。			ともかく、そういうことでしたら、説明は不要でしょう。では、これをお使いください。			深淵なるはアメノミハシラ							
アメノミハシラ内部で発見した「魔器」です。自分のエーテルを具現化し、武器とすることができます。これを使えば、内部でも戦えるはず。			アメノミハシラ内部で発見した「魔器」です。自分のエーテルを具現化し、武器とすることができます。これを使えば、内部でも戦えるはず。			深淵なるはアメノミハシラ							
ただ、この「魔器」を持ってしても、アメノミハシラの探索は、長期戦になるでしょう。なにせ、最上階が見えないほど高い柱ですから。			ただ、この「魔器」を持ってしても、アメノミハシラの探索は、長期戦になるでしょう。なにせ、最上階が見えないほど高い柱ですから。			深淵なるはアメノミハシラ							
ですから、30層をひとつの区切りとして、おおまかな報告をお願いできますか？それ以降は、頭領も交えて方針を相談いたしましょう。			ですから、30層をひとつの区切りとして、おおまかな報告をお願いできますか？それ以降は、頭領も交えて方針を相談いたしましょう。			深淵なるはアメノミハシラ							
私も、直属の部下とともに、微力ではありますが支援いたしますので、アメノミハシラの探索、よろしくお願いします。			私も、直属の部下とともに、微力ではありますが支援いたしますので、アメノミハシラの探索、よろしくお願いします。			深淵なるはアメノミハシラ							
ディープダンジョン「アメノミハシラ」に、挑戦可能となりました。			ディープダンジョン「アメノミハシラ」に、挑戦可能となりました。			深淵なるはアメノミハシラ							
再度「キュウセイ」に話しかけ、「アメノミハシラに挑戦する」を選ぶことで、コンテンツを開始することができます。			再度「キュウセイ」に話しかけ、「アメノミハシラに挑戦する」を選ぶことで、コンテンツを開始することができます。			深淵なるはアメノミハシラ							
アメノミハシラは、レベル「61」以上の、ファイターもしくはソーサラーでのみ挑戦が可能です。初めて挑戦する際には、レベル61での開始となります。			アメノミハシラは、レベル「61」以上の、ファイターもしくはソーサラーでのみ挑戦が可能です。初めて挑戦する際には、レベル61での開始となります。			深淵なるはアメノミハシラ							
その他の詳しい説明も「キュウセイ」から聞いておくと、攻略の助けになるかもしれません。準備を整え、天高く伸びる柱の内部を探索しましょう！			その他の詳しい説明も「キュウセイ」から聞いておくと、攻略の助けになるかもしれません。準備を整え、天高く伸びる柱の内部を探索しましょう！			深淵なるはアメノミハシラ							
筋違砦のキュウセイは、話したいことがあるようだ。			筋違砦のキュウセイは、話したいことがあるようだ。			我ら凡夫なれども							
キュウセイと話した。アメノミハシラの疑問について話を聞くため、紅玉海の早逃桟橋の南にある「指定地点」で待機しよう。			キュウセイと話した。アメノミハシラの疑問について話を聞くため、紅玉海の早逃桟橋の南にある「指定地点」で待機しよう。			我ら凡夫なれども							
やって来たラショウとキュウセイから話を聞いた。キュウセイは鬼師衆のひとりであり、アメノミハシラは鬼師衆が管理する英雄候補のための訓練施設であった。英雄候補の力を試すヒルコを倒した冒険者に、キュウセイは見てもらいたいものがあるという。紅玉海のアメノミハシラの西にある「万年松」を調べよう。			やって来たラショウとキュウセイから話を聞いた。キュウセイは鬼師衆のひとりであり、アメノミハシラは鬼師衆が管理する英雄候補のための訓練施設であった。英雄候補の力を試すヒルコを倒した冒険者に、キュウセイは見てもらいたいものがあるという。紅玉海のアメノミハシラの西にある「万年松」を調べよう。			我ら凡夫なれども							
万年松を調べた。万年松はアメノミハシラの補助管理システムであり、30層を突破した冒険者に、初代鬼師衆頭領の幻影を見せた。筋違砦の「キュウセイ」と話そう。			万年松を調べた。万年松はアメノミハシラの補助管理システムであり、30層を突破した冒険者に、初代鬼師衆頭領の幻影を見せた。筋違砦の「キュウセイ」と話そう。			我ら凡夫なれども							
キュウセイと話した。30層を突破した冒険者には、31層以上への挑戦権が与えられたそうだ。自分の力を試すため、これまで以上に厳しい試練となる31層以上へ挑戦してみるのもよいだろう。			キュウセイと話した。30層を突破した冒険者には、31層以上への挑戦権が与えられたそうだ。自分の力を試すため、これまで以上に厳しい試練となる31層以上へ挑戦してみるのもよいだろう。			我ら凡夫なれども							
指定地点で待機			指定地点で待機			我ら凡夫なれども							
万年松を調べる			万年松を調べる			我ら凡夫なれども							
キュウセイと話す			キュウセイと話す			我ら凡夫なれども							
お疲れさまでした、Surname殿。……ああ、報告は結構ですよ。ヒルコを討伐し、30層を突破したのは確認しておりますから。			お疲れさまでした、Surname殿。……ああ、報告は結構ですよ。ヒルコを討伐し、30層を突破したのは確認しておりますから。			我ら凡夫なれども							
アメノミハシラについて、疑問がお有りでしょう。すべてお答えできるとは限りませんが、でき得るかぎり、お話しいたします。			アメノミハシラについて、疑問がお有りでしょう。すべてお答えできるとは限りませんが、でき得るかぎり、お話しいたします。			我ら凡夫なれども							
とはいえ、ここで話せる内容でもありません。私どもも準備がございますので、早逃桟橋の南、珊瑚台が見える砂浜のあたりでお待ちください。			とはいえ、ここで話せる内容でもありません。私どもも準備がございますので、早逃桟橋の南、珊瑚台が見える砂浜のあたりでお待ちください。			我ら凡夫なれども							
結果は聞いている。詳しいことは、キュウセイとともに話そう。			結果は聞いている。詳しいことは、キュウセイとともに話そう。			我ら凡夫なれども							
ヒルコを討伐できたそうだな。まずは……お前を騙したことを謝ろう。すまない、アメノミハシラについて、俺はすべて知っていた。			ヒルコを討伐できたそうだな。まずは……お前を騙したことを謝ろう。すまない、アメノミハシラについて、俺はすべて知っていた。			我ら凡夫なれども							
ラショウ殿は、我々の使命に協力してくださっただけ。お叱りは、ぜひ私どものみにお願いいたします。			ラショウ殿は、我々の使命に協力してくださっただけ。お叱りは、ぜひ私どものみにお願いいたします。			我ら凡夫なれども							
ああ、そういえば自己紹介をしてませんでした。改めて……私は鬼師衆がひとり、キュウセイ。部下とともに、アメノミハシラの管理を任されております。			ああ、そういえば自己紹介をしてませんでした。改めて……私は鬼師衆がひとり、キュウセイ。部下とともに、アメノミハシラの管理を任されております。			我ら凡夫なれども							
鬼師衆とは、数千年の昔より存在する技術者集団。どこの国にも寄らず、ただ人々のために、受け継がれてきた知と技を振るう者たちであります。			鬼師衆とは、数千年の昔より存在する技術者集団。どこの国にも寄らず、ただ人々のために、受け継がれてきた知と技を振るう者たちであります。			我ら凡夫なれども							
大層なことを言っちゃいるが、要は俺たち海賊衆と同じ与太者ということだ。			大層なことを言っちゃいるが、要は俺たち海賊衆と同じ与太者ということだ。			我ら凡夫なれども							
はっはっはっ、そう見られていることは、否定できませんね。ですが、転魂塔……エオルゼアで言うエーテライトの整備など、人々のため、きちんと働いているのですよ。			はっはっはっ、そう見られていることは、否定できませんね。ですが、転魂塔……エオルゼアで言うエーテライトの整備など、人々のため、きちんと働いているのですよ。			我ら凡夫なれども							
そもそも、私ども鬼師衆は、時代に葬られた禁断の知識、失われた古代アラグ帝国の技術を受け継ぎ、人々のために活かすための組織です。			そもそも、私ども鬼師衆は、時代に葬られた禁断の知識、失われた古代アラグ帝国の技術を受け継ぎ、人々のために活かすための組織です。			我ら凡夫なれども							
私どもの活動は、多岐にわたりますが、このアメノミハシラの管理は、最重要事項のひとつ……。			私どもの活動は、多岐にわたりますが、このアメノミハシラの管理は、最重要事項のひとつ……。			我ら凡夫なれども							
この柱の正体は、訓練施設。私どもの祖が予見した星の滅亡を防ぐための方策であり、英雄を志す者を試し、実戦にて力を磨く場所なのです。			この柱の正体は、訓練施設。私どもの祖が予見した星の滅亡を防ぐための方策であり、英雄を志す者を試し、実戦にて力を磨く場所なのです。			我ら凡夫なれども							
神聖な禁足地とする逸話を残せば、普通の奴は近寄らん。わざわざ来るのは、途方もない勇気や冒険心を持つ者……つまり、英雄候補だ。			神聖な禁足地とする逸話を残せば、普通の奴は近寄らん。わざわざ来るのは、途方もない勇気や冒険心を持つ者……つまり、英雄候補だ。			我ら凡夫なれども							
海賊衆の初代頭領も、その英雄候補だったらしい。ただし、30層を踏破した初代頭領は、アメノミハシラの真実を知り、自分の器の限界を悟ったそうだ。			海賊衆の初代頭領も、その英雄候補だったらしい。ただし、30層を踏破した初代頭領は、アメノミハシラの真実を知り、自分の器の限界を悟ったそうだ。			我ら凡夫なれども							
英雄になれなかった初代は、海を護るために海賊衆を立ち上げた。その逸話から、代々の頭領は30階の突破を義務づけられている。ついでに、秘密裏に鬼師衆へ協力することもな。			英雄になれなかった初代は、海を護るために海賊衆を立ち上げた。その逸話から、代々の頭領は30階の突破を義務づけられている。ついでに、秘密裏に鬼師衆へ協力することもな。			我ら凡夫なれども							
歴代頭領の協力には助かっておりますよ。おかげで管理班の人員が海賊衆に紛れ込むことができ、その結果、Surname殿とも巡り会えました。			歴代頭領の協力には助かっておりますよ。おかげで管理班の人員が海賊衆に紛れ込むことができ、その結果、Surname殿とも巡り会えました。			我ら凡夫なれども							
さて、貴方が30層で戦ったヒルコは、柱を登ってきた英雄候補の力を試す審判者であり、同時に、悪しき心を持つ反英雄を裁く断罪者でもあります。			さて、貴方が30層で戦ったヒルコは、柱を登ってきた英雄候補の力を試す審判者であり、同時に、悪しき心を持つ反英雄を裁く断罪者でもあります。			我ら凡夫なれども							
我らの祖が魂を賭して作り上げたヒルコを打ち破り、30層を突破した貴方は、真に英雄と言えましょう。エオルゼアにて広まる名声どおりのお方です。			我らの祖が魂を賭して作り上げたヒルコを打ち破り、30層を突破した貴方は、真に英雄と言えましょう。エオルゼアにて広まる名声どおりのお方です。			我ら凡夫なれども							
そんな貴方に、見ていただきたいものがございます。ここより西の高台にあります松の木、「万年松」を調べていただきたいのです。			そんな貴方に、見ていただきたいものがございます。ここより西の高台にあります松の木、「万年松」を調べていただきたいのです。			我ら凡夫なれども							
実はあの松、アメノミハシラに関係するものでして、貴方が調べれば、すぐに見ることができるでしょう。ぜひ、よろしくお願いします。			実はあの松、アメノミハシラに関係するものでして、貴方が調べれば、すぐに見ることができるでしょう。ぜひ、よろしくお願いします。			我ら凡夫なれども							
キュウセイがお前に見せたいものは、俺も30層を突破した時に見た。……それがなんなのかは、自分の目で確かめてくれ。			キュウセイがお前に見せたいものは、俺も30層を突破した時に見た。……それがなんなのかは、自分の目で確かめてくれ。			我ら凡夫なれども							
崖の上へ移動しますか？			崖の上へ移動しますか？			我ら凡夫なれども							
(-万年松から響く声-)アメノミハシラ補助管理システム、起動……完了。突破階層確認……完了。30層突破を確認……幻影、投影開始……。			(-万年松から響く声-)アメノミハシラ補助管理システム、起動……完了。突破階層確認……完了。30層突破を確認……幻影、投影開始……。			我ら凡夫なれども							
頭領、ヒルコ培養器の準備が整いました。後は「基」となるヒトを、その内に入れるだけ……			頭領、ヒルコ培養器の準備が整いました。後は「基」となるヒトを、その内に入れるだけ……			我ら凡夫なれども							
しかし、本当にやるおつもりですか？			しかし、本当にやるおつもりですか？			我ら凡夫なれども							
完成に必要なことと、理解していよう。この凡夫には分不相応なお役目かもしれんが、無駄に生きた老骨の役得と、諦めよ。			完成に必要なことと、理解していよう。この凡夫には分不相応なお役目かもしれんが、無駄に生きた老骨の役得と、諦めよ。			我ら凡夫なれども							
そんな！行き場に迷った者たちを「鬼師衆」としてまとめあげ、ここまで導いた貴方が凡夫などと！			そんな！行き場に迷った者たちを「鬼師衆」としてまとめあげ、ここまで導いた貴方が凡夫などと！			我ら凡夫なれども							
いいや、ワシなど凡夫に過ぎん。帝国崩壊後の混乱期に、人々と星を守り、先に逝ってしまった我が友らと比べたら、な。			いいや、ワシなど凡夫に過ぎん。帝国崩壊後の混乱期に、人々と星を守り、先に逝ってしまった我が友らと比べたら、な。			我ら凡夫なれども							
だが、凡夫は凡夫なりに、彼ら英雄の遺志を継いできたつもりだ。最後まで、それを貫かせてくれ。			だが、凡夫は凡夫なりに、彼ら英雄の遺志を継いできたつもりだ。最後まで、それを貫かせてくれ。			我ら凡夫なれども							
出過ぎた真似をいたしました。もう引き止めは……その生命、存分に……。			出過ぎた真似をいたしました。もう引き止めは……その生命、存分に……。			我ら凡夫なれども							
我らは凡夫なれど、その想いは英雄と同じ。力が足りないことを嘆くまえに、人々と星のため、なすべきことをなせ。			我らは凡夫なれど、その想いは英雄と同じ。力が足りないことを嘆くまえに、人々と星のため、なすべきことをなせ。			我ら凡夫なれども							
はっ、しかと心に刻み、お役目を果たしていきます、頭領。			はっ、しかと心に刻み、お役目を果たしていきます、頭領。			我ら凡夫なれども							
前頭領、だ。皆を頼むぞ、二代目よ。			前頭領、だ。皆を頼むぞ、二代目よ。			我ら凡夫なれども							
では、名残惜しくはありますがこれにて。……いままでありがとうございました、師匠。			では、名残惜しくはありますがこれにて。……いままでありがとうございました、師匠。			我ら凡夫なれども							
サリーナ様……デッシュ殿……記録が失われ、歴史に残ることなき英雄たち……ワシを残して先に逝った薄情な友よ……。			サリーナ様……デッシュ殿……記録が失われ、歴史に残ることなき英雄たち……ワシを残して先に逝った薄情な友よ……。			我ら凡夫なれども							
皆の遺志はワシを通して鬼師衆へ受け継がれ、後の世にも残るはずだ。			皆の遺志はワシを通して鬼師衆へ受け継がれ、後の世にも残るはずだ。			我ら凡夫なれども							
だから許してくれよ。まだしばらく、そちらには行けそうにもない……。			だから許してくれよ。まだしばらく、そちらには行けそうにもない……。			我ら凡夫なれども							
(-万年松から響く声-)投影終了……。アメノミハシラ補助管理システム、休止状態へ移行。			(-万年松から響く声-)投影終了……。アメノミハシラ補助管理システム、休止状態へ移行。			我ら凡夫なれども							
英雄だの、星を救うだの……俺にとっては大きすぎて、共感しづらい話だが、同じ頭領と呼ばれる者として、あの覚悟は感じるものがあった。			英雄だの、星を救うだの……俺にとっては大きすぎて、共感しづらい話だが、同じ頭領と呼ばれる者として、あの覚悟は感じるものがあった。			我ら凡夫なれども							
英雄と呼ばれるお前はどうだ？何かしら心に伝わったのなら、それはきっと、本望だろうな……。			英雄と呼ばれるお前はどうだ？何かしら心に伝わったのなら、それはきっと、本望だろうな……。			我ら凡夫なれども							
お戻りになりましたか、Surname殿。その様子ですと、無事に初代様の幻影を、ご覧になれたようですね。			お戻りになりましたか、Surname殿。その様子ですと、無事に初代様の幻影を、ご覧になれたようですね。			我ら凡夫なれども							
貴方が倒したヒルコは、古の技術による兵器。幾度倒されようと、自動的に修復され、柱を登る英雄候補の前に、審判者として立ち塞がります。			貴方が倒したヒルコは、古の技術による兵器。幾度倒されようと、自動的に修復され、柱を登る英雄候補の前に、審判者として立ち塞がります。			我ら凡夫なれども							
初代様が自ら作り上げた最高傑作ですから、異常を起こすことなく、戦い続けてくれるでしょう。アメノミハシラが不要となる、その日まで……。			初代様が自ら作り上げた最高傑作ですから、異常を起こすことなく、戦い続けてくれるでしょう。アメノミハシラが不要となる、その日まで……。			我ら凡夫なれども							
さて、30層を突破した英雄には、より過酷な試練が待ち受ける、31層以降への挑戦権が与えられます。			さて、30層を突破した英雄には、より過酷な試練が待ち受ける、31層以降への挑戦権が与えられます。			我ら凡夫なれども							
挑戦するか否かは、ご随意に。ですが、もしも挑戦するようでしたら、私どもは引き続き、支援させていただきます。			挑戦するか否かは、ご随意に。ですが、もしも挑戦するようでしたら、私どもは引き続き、支援させていただきます。			我ら凡夫なれども							
それが私どもの使命。英雄にはなれなかった凡夫のなすべきことなれば。			それが私どもの使命。英雄にはなれなかった凡夫のなすべきことなれば。			我ら凡夫なれども							
31層以降に挑戦する際は、私にお申しつけください。それでは、よろしくお願いいたします。			31層以降に挑戦する際は、私にお申しつけください。それでは、よろしくお願いいたします。			我ら凡夫なれども							
アメノミハシラの、「31層」以降に挑戦できるようになりました！			アメノミハシラの、「31層」以降に挑戦できるようになりました！			我ら凡夫なれども							
挑戦するには、一定の条件を満たす必要があります。詳細は「キュウセイ」にご確認ください。			挑戦するには、一定の条件を満たす必要があります。詳細は「キュウセイ」にご確認ください。			我ら凡夫なれども							
また、「海賊衆の資材係」の新たな取引が開放されました。アメノミハシラ用の魔器装備の強化値を消費することで、「天之魔器柄」が作成可能です。			また、「海賊衆の資材係」の新たな取引が開放されました。アメノミハシラ用の魔器装備の強化値を消費することで、「天之魔器柄」が作成可能です。			我ら凡夫なれども							
「天之魔器柄」を集めると、魔器装備と同じ見た目の「天之武器」を、持ち出すことができます。			「天之魔器柄」を集めると、魔器装備と同じ見た目の「天之武器」を、持ち出すことができます。			我ら凡夫なれども							
