クガネのヒルディブランドは、シグレの帰りを待っているようだ。			クガネのヒルディブランドは、シグレの帰りを待っているようだ。			薬に侵されし最強の男							
ところが蔵にあったのは、白い粉が入った袋ばかり。アケボノが薬問屋であるならば、価値ある良薬に違いないと、義賊として貧民に配るつもりで、一袋頂戴したそうな。			ところが蔵にあったのは、白い粉が入った袋ばかり。アケボノが薬問屋であるならば、価値ある良薬に違いないと、義賊として貧民に配るつもりで、一袋頂戴したそうな。			薬に侵されし最強の男							
しかし、盗み出してみて、何の薬か確かめようとしたものの、袋には何も書かれておらず、わからずじまい……。そんな薬をアケボノが焦った様子で取り戻しにきたとなると……。			しかし、盗み出してみて、何の薬か確かめようとしたものの、袋には何も書かれておらず、わからずじまい……。そんな薬をアケボノが焦った様子で取り戻しにきたとなると……。			薬に侵されし最強の男							
怪しい匂いがしますぞ……。その袋というのは、今どこにあるのでしょう？			怪しい匂いがしますぞ……。その袋というのは、今どこにあるのでしょう？			薬に侵されし最強の男							
地下水路の仲間に預けてあるそうでござる。彼らに事情を説明したのち、合言葉を聞かれたら、こう答えればいいそうでござる……「地下最高！」と。			地下水路の仲間に預けてあるそうでござる。彼らに事情を説明したのち、合言葉を聞かれたら、こう答えればいいそうでござる……「地下最高！」と。			薬に侵されし最強の男							
なるほど！それではさっそく、地下水路へ向かいますぞー！			なるほど！それではさっそく、地下水路へ向かいますぞー！			薬に侵されし最強の男							
間一髪、ってとこだったな……！			間一髪、ってとこだったな……！			薬に侵されし最強の男							
おひさしぶりですな、オウジュ殿！			おひさしぶりですな、オウジュ殿！			薬に侵されし最強の男							
ここ、なんだか暗くてナシュは好きじゃありません～。			ここ、なんだか暗くてナシュは好きじゃありません～。			薬に侵されし最強の男							
ここではどうも、厳しい目線を感じるでござるよ……。			ここではどうも、厳しい目線を感じるでござるよ……。			薬に侵されし最強の男							
こういう所を隠れ蓑にする手もあるのか。なるほどな……。			こういう所を隠れ蓑にする手もあるのか。なるほどな……。			薬に侵されし最強の男							
いつぞやのやつらじゃないか。何やら新顔もいるみたいだが……。			いつぞやのやつらじゃないか。何やら新顔もいるみたいだが……。			薬に侵されし最強の男							
まぁいい。どうした、また何か用でもあるってか？			まぁいい。どうした、また何か用でもあるってか？			薬に侵されし最強の男							
一匹オオカミから、アケボノの蔵から手に入れた白い粉を、そなたらに預けていると聞いて、やってきた次第でござる。正しい合言葉を伝えればよいと聞いたが、相違ござらぬか？			一匹オオカミから、アケボノの蔵から手に入れた白い粉を、そなたらに預けていると聞いて、やってきた次第でござる。正しい合言葉を伝えればよいと聞いたが、相違ござらぬか？			薬に侵されし最強の男							
ほぉ、あいつがそこまであんたらのことを信じてるとはね……。いいだろう、言ってみな。			ほぉ、あいつがそこまであんたらのことを信じてるとはね……。いいだろう、言ってみな。			薬に侵されし最強の男							
一匹オオカミから教わった合言葉は……			一匹オオカミから教わった合言葉は……			薬に侵されし最強の男							
「クガネ最高！」ですな！？			「クガネ最高！」ですな！？			薬に侵されし最強の男							
じ、事件屋殿、違うでござる！お願いしますぞ、これは遊びではないのでござる……！			じ、事件屋殿、違うでござる！お願いしますぞ、これは遊びではないのでござる……！			薬に侵されし最強の男							
合言葉は？			合言葉は？			薬に侵されし最強の男							
地下最高！			地下最高！			薬に侵されし最強の男							
下水爆発！			下水爆発！			薬に侵されし最強の男							
赤誠組最高！			赤誠組最高！			薬に侵されし最強の男							
記憶が曖昧なので考え直す			記憶が曖昧なので考え直す			薬に侵されし最強の男							
ほぉ……合ってるじゃねぇか。ほら、こいつが例の袋だよ。			ほぉ……合ってるじゃねぇか。ほら、こいつが例の袋だよ。			薬に侵されし最強の男							
……もしや、赤誠組の密偵か？あぁん！？			……もしや、赤誠組の密偵か？あぁん！？			薬に侵されし最強の男							
そうではないでござるよ！お願いしますぞ、これは遊びではないのでござる……！			そうではないでござるよ！お願いしますぞ、これは遊びではないのでござる……！			薬に侵されし最強の男							
その中身の正体はよくわかんねぇが、俺の勘からするに、こいつは相当ヤバそうな品だと思うぜ。			その中身の正体はよくわかんねぇが、俺の勘からするに、こいつは相当ヤバそうな品だと思うぜ。			薬に侵されし最強の男							
怪しいというだけでは悪事の証拠になりはしない。仕入先さえわかれば、薬の正体も調べられるやも……何か心当たりはござろうか？			怪しいというだけでは悪事の証拠になりはしない。仕入先さえわかれば、薬の正体も調べられるやも……何か心当たりはござろうか？			薬に侵されし最強の男							
なんと、異国ラザハンから薬を仕入れていたのでござるか！たしか、ラザハンの大使は高名な錬金術師と聞いたことが……その方に話が聞ければ、何かわかるやも！			なんと、異国ラザハンから薬を仕入れていたのでござるか！たしか、ラザハンの大使は高名な錬金術師と聞いたことが……その方に話が聞ければ、何かわかるやも！			薬に侵されし最強の男							
そ、そのとおりですぞ！このヒルディブランドと同じ結論にたどり着くとは、シグレ殿もなかなかやりますな！			そ、そのとおりですぞ！このヒルディブランドと同じ結論にたどり着くとは、シグレ殿もなかなかやりますな！			薬に侵されし最強の男							
それでは、さっそくハラザン大使に会いにいきますぞ！			それでは、さっそくハラザン大使に会いにいきますぞ！			薬に侵されし最強の男							
ラザハンでござる！それから、大使がいるのは異人街の「ラザハン大使館」で……ああ、もう、待つでござる～！			ラザハンでござる！それから、大使がいるのは異人街の「ラザハン大使館」で……ああ、もう、待つでござる～！			薬に侵されし最強の男							
あの袋の中身の正体はよくわかんねぇが、俺の勘からするに、あいつは相当ヤバそうな品だと思うぜ。			あの袋の中身の正体はよくわかんねぇが、俺の勘からするに、あいつは相当ヤバそうな品だと思うぜ。			薬に侵されし最強の男							
御免いたす、拙者は赤誠組のシグレと申す。大使閣下に見ていただきたいものがあり、伺った次第。			御免いたす、拙者は赤誠組のシグレと申す。大使閣下に見ていただきたいものがあり、伺った次第。			薬に侵されし最強の男							
大使との面会のご予定はございますか？			大使との面会のご予定はございますか？			薬に侵されし最強の男							
いえ、予定などは……。			いえ、予定などは……。			薬に侵されし最強の男							
申し訳ございませんが、お約束のない方はお通しできません。改めて、面会の手続きをお願いしたく……。			申し訳ございませんが、お約束のない方はお通しできません。改めて、面会の手続きをお願いしたく……。			薬に侵されし最強の男							
火急の用件がありますが故、なんとかなりませぬでしょうか……？			火急の用件がありますが故、なんとかなりませぬでしょうか……？			薬に侵されし最強の男							
(-謎の男の声-)ホゥ！？これはこれは、我が愛息子ではないか！			(-謎の男の声-)ホゥ！？これはこれは、我が愛息子ではないか！			薬に侵されし最強の男							
父上！			父上！			薬に侵されし最強の男							
こんなところで、いったい何を？			こんなところで、いったい何を？			薬に侵されし最強の男							
実は、ザンラハの大使殿に見ていただきたいものがあるのですが、用事があるとかないだとかで、会えないというのです。錬金薬のようなのですが……。			実は、ザンラハの大使殿に見ていただきたいものがあるのですが、用事があるとかないだとかで、会えないというのです。錬金薬のようなのですが……。			薬に侵されし最強の男							
私でよければ、検分させていただきますよ？もちろん大使ではありませんが、ラザハンにて、「サジャトラ商会」という薬屋を営んでおりましてな。			私でよければ、検分させていただきますよ？もちろん大使ではありませんが、ラザハンにて、「サジャトラ商会」という薬屋を営んでおりましてな。			薬に侵されし最強の男							
錬金術には、多少詳しいつもりです。聞けば、そちらの紳士は我が商談相手……ゴッドベルト殿のご子息の様子、ぜひお手伝いさせてください。			錬金術には、多少詳しいつもりです。聞けば、そちらの紳士は我が商談相手……ゴッドベルト殿のご子息の様子、ぜひお手伝いさせてください。			薬に侵されし最強の男							
それは大変ありがたい！ぜひ、ご意見を聞かせていただきたく！			それは大変ありがたい！ぜひ、ご意見を聞かせていただきたく！			薬に侵されし最強の男							
ホッホッホゥ、ここで立ち話もなんです、少し場所を変えますかな。			ホッホッホゥ、ここで立ち話もなんです、少し場所を変えますかな。			薬に侵されし最強の男							
なるほど……たしかにラザハン製に違いありません。ただし薬ではなく、その材料といったところでしょうかな。			なるほど……たしかにラザハン製に違いありません。ただし薬ではなく、その材料といったところでしょうかな。			薬に侵されし最強の男							
しかも、危険な性質ゆえに、取引が禁じられている品です。これを精製することで、「天の雫」を作ることができるのですから……。			しかも、危険な性質ゆえに、取引が禁じられている品です。これを精製することで、「天の雫」を作ることができるのですから……。			薬に侵されし最強の男							
天の雫？			天の雫？			薬に侵されし最強の男							
そう……一匙でも服用すれば、夢うつつの状態になり……どんな命令にも従う、操り人形のようになる悪魔の薬です！			そう……一匙でも服用すれば、夢うつつの状態になり……どんな命令にも従う、操り人形のようになる悪魔の薬です！			薬に侵されし最強の男							
どんな屈強な肉体を持ち、どんな強靭な精神力を持つ御仁であっても、これに抗う術はございません……。			どんな屈強な肉体を持ち、どんな強靭な精神力を持つ御仁であっても、これに抗う術はございません……。			薬に侵されし最強の男							
しかし、唯一の副作用として、服用した人物は瞳の色が赤色になるため、一目でそれとわかるのが特徴なのです。			しかし、唯一の副作用として、服用した人物は瞳の色が赤色になるため、一目でそれとわかるのが特徴なのです。			薬に侵されし最強の男							
瞳の色が変わる……まさか！？			瞳の色が変わる……まさか！？			薬に侵されし最強の男							
おや、何か心当たりがおありなのですか？			おや、何か心当たりがおありなのですか？			薬に侵されし最強の男							
何と答える？			何と答える？			薬に侵されし最強の男							
勘定奉行のクモデは操られていた！			勘定奉行のクモデは操られていた！			薬に侵されし最強の男							
アケボノは天の雫を悪用している！			アケボノは天の雫を悪用している！			薬に侵されし最強の男							
さ、さすが私のファン……事件屋である私の推理を言い当てるとは！			さ、さすが私のファン……事件屋である私の推理を言い当てるとは！			薬に侵されし最強の男							
そうなのだとすれば、それは重大な犯罪行為！もし、この薬の取引の証拠などがおありなら、決して見過ごしてはいけません。			そうなのだとすれば、それは重大な犯罪行為！もし、この薬の取引の証拠などがおありなら、決して見過ごしてはいけません。			薬に侵されし最強の男							
魅了薬で勘定奉行を操り、捜査を妨害するとは……！しかし、これで奴の尻尾を掴むことができましたな！アケボノの元へ向かい、問いただすとしましょう！			魅了薬で勘定奉行を操り、捜査を妨害するとは……！しかし、これで奴の尻尾を掴むことができましたな！アケボノの元へ向かい、問いただすとしましょう！			薬に侵されし最強の男							
ホッホッホゥ……皆、元気なようで何よりですな！私は、本来の目的である商談に戻りますぞ。ではでは、ごきげんよう！			ホッホッホゥ……皆、元気なようで何よりですな！私は、本来の目的である商談に戻りますぞ。ではでは、ごきげんよう！			薬に侵されし最強の男							
アケボノ殿、おられますかなー！			アケボノ殿、おられますかなー！			薬に侵されし最強の男							
……誰もいなさそうです～。			……誰もいなさそうです～。			薬に侵されし最強の男							
どこかにお出かけ中でしょうかな？			どこかにお出かけ中でしょうかな？			薬に侵されし最強の男							
お主、どうして……！？			お主、どうして……！？			薬に侵されし最強の男							
へへっ、シャバで出会うだなんて、さすがに想像してなかったろ？			へへっ、シャバで出会うだなんて、さすがに想像してなかったろ？			薬に侵されし最強の男							
オイラが、勝算も無しに自分からみすみす捕まると思ったかい？自ら牢に入ったのは、脱獄できる算段があったからさ。			オイラが、勝算も無しに自分からみすみす捕まると思ったかい？自ら牢に入ったのは、脱獄できる算段があったからさ。			薬に侵されし最強の男							
それに、自ら脱獄したとなりゃ、あんたにも迷惑はかからずに済むだろ？			それに、自ら脱獄したとなりゃ、あんたにも迷惑はかからずに済むだろ？			薬に侵されし最強の男							
なぜ、そんな危険な真似を……！？			なぜ、そんな危険な真似を……！？			薬に侵されし最強の男							
決まってるだろう？クガネで、いけしゃあしゃあと過ごしている悪党から、ソボロ助広を取り戻すためさ……！			決まってるだろう？クガネで、いけしゃあしゃあと過ごしている悪党から、ソボロ助広を取り戻すためさ……！			薬に侵されし最強の男							
アケボノのヤツを探してるんだろ？オイラが掴んだ情報によると、紅玉海のベッコウ島へ、なにやら秘密の取引をしにいったそうだぜ。			アケボノのヤツを探してるんだろ？オイラが掴んだ情報によると、紅玉海のベッコウ島へ、なにやら秘密の取引をしにいったそうだぜ。			薬に侵されし最強の男							
それなら、急いで「ベッコウ島」へ向かい、アケボノ殿がやってくるのを先回りしましょうぞ！			それなら、急いで「ベッコウ島」へ向かい、アケボノ殿がやってくるのを先回りしましょうぞ！			薬に侵されし最強の男							
ほら、ボサッとしてると遅れちゃうぞ？オイラたちも遅れずに向かおうぜ、シグレさんよ！			ほら、ボサッとしてると遅れちゃうぞ？オイラたちも遅れずに向かおうぜ、シグレさんよ！			薬に侵されし最強の男							
我々も、急ぎ向かうとするでござる！			我々も、急ぎ向かうとするでござる！			薬に侵されし最強の男							
オイラが掴んだ情報によると、やつらは恐らく、このあたりに現れるはずだ。物陰から様子を見るとしよう。			オイラが掴んだ情報によると、やつらは恐らく、このあたりに現れるはずだ。物陰から様子を見るとしよう。			薬に侵されし最強の男							
父上！？			父上！？			薬に侵されし最強の男							
事件屋殿の父君が、どうして奴らと一緒に……？			事件屋殿の父君が、どうして奴らと一緒に……？			薬に侵されし最強の男							
待て……少し様子を見てみよう。何かおかしい……。			待て……少し様子を見てみよう。何かおかしい……。			薬に侵されし最強の男							
これはこれは、わざわざこんな所までご足労いただき、感謝いたしますぞ。			これはこれは、わざわざこんな所までご足労いただき、感謝いたしますぞ。			薬に侵されし最強の男							
あの薬……「天の雫」は気に入っていただけましたかな？			あの薬……「天の雫」は気に入っていただけましたかな？			薬に侵されし最強の男							
気に入ったも気に入った！最高の薬を提供してくださり、お礼の言葉も見当たりませぬわ、ガッハッハ！			気に入ったも気に入った！最高の薬を提供してくださり、お礼の言葉も見当たりませぬわ、ガッハッハ！			薬に侵されし最強の男							
たった一匙、あの薬を入れた酒を飲ませただけで、勘定奉行のクモデは、言いなりの操り人形になり申した！これで、赤誠組は我らの思うがままでごわす！			たった一匙、あの薬を入れた酒を飲ませただけで、勘定奉行のクモデは、言いなりの操り人形になり申した！これで、赤誠組は我らの思うがままでごわす！			薬に侵されし最強の男							
おかげで、ソボロ助広も、無事に取り戻せたでごわす！この調子で、クガネ奉行も手中に収めれば、そう遠くない未来に、クガネは我らのモノに……！			おかげで、ソボロ助広も、無事に取り戻せたでごわす！この調子で、クガネ奉行も手中に収めれば、そう遠くない未来に、クガネは我らのモノに……！			薬に侵されし最強の男							
そうそう、アケボノ殿に、いい土産話がありますよ。実は、マンダヴィル＆マンダヴィル社から、ちょうど、商談の申し出がありましてね……。			そうそう、アケボノ殿に、いい土産話がありますよ。実は、マンダヴィル＆マンダヴィル社から、ちょうど、商談の申し出がありましてね……。			薬に侵されし最強の男							
彼らに潤沢な資金があるのは、貴方もご存知のはず。そこで彼を、私なりに、おもてなしさせていただきましてね……。			彼らに潤沢な資金があるのは、貴方もご存知のはず。そこで彼を、私なりに、おもてなしさせていただきましてね……。			薬に侵されし最強の男							
私の申し出通りの契約を結んでいただける、ということでよろしかったですかな？			私の申し出通りの契約を結んでいただける、ということでよろしかったですかな？			薬に侵されし最強の男							
その……とおりですぞ……。			その……とおりですぞ……。			薬に侵されし最強の男							
奴ら、事件屋殿の父君にも、天の雫を！？			奴ら、事件屋殿の父君にも、天の雫を！？			薬に侵されし最強の男							
馬鹿、待て！早まるな！！			馬鹿、待て！早まるな！！			薬に侵されし最強の男							
父上、私ですぞ！目を覚ましてください！！			父上、私ですぞ！目を覚ましてください！！			薬に侵されし最強の男							
フフフ、来ましたね。アケボノ殿を嗅ぎ回るネズミがいたもので、こちらに来るように、差し向けていたのですよ。			フフフ、来ましたね。アケボノ殿を嗅ぎ回るネズミがいたもので、こちらに来るように、差し向けていたのですよ。			薬に侵されし最強の男							
さあ、「エオルゼア最強の彫金師」よ！あの小汚いネズミどもを、この世から消し去るのです！			さあ、「エオルゼア最強の彫金師」よ！あの小汚いネズミどもを、この世から消し去るのです！			薬に侵されし最強の男							
も、物凄い迫力でござる……！			も、物凄い迫力でござる……！			薬に侵されし最強の男							
ガッハッハ、何という強さよ！この調子で、全員蹴散らしてしまえ！！			ガッハッハ、何という強さよ！この調子で、全員蹴散らしてしまえ！！			薬に侵されし最強の男							
こうなったら、あれを行うしか……！			こうなったら、あれを行うしか……！			薬に侵されし最強の男							
父上、目を覚ましてくださいぃぃぃぃ！			父上、目を覚ましてくださいぃぃぃぃ！			薬に侵されし最強の男							
マンダヴィィィル！			マンダヴィィィル！			薬に侵されし最強の男							
メテオストライク返しぃぃぃ！！			メテオストライク返しぃぃぃ！！			薬に侵されし最強の男							
わ、私ですぞぉぉぉぉ！父上ーーーーッ！！			わ、私ですぞぉぉぉぉ！父上ーーーーッ！！			薬に侵されし最強の男							
はて……私はここで何を……？			はて……私はここで何を……？			薬に侵されし最強の男							
ホゥ……いつの間にか、薬を盛られていたとは……。皆様には、ご迷惑をおかけして、申し訳ございませんでした。			ホゥ……いつの間にか、薬を盛られていたとは……。皆様には、ご迷惑をおかけして、申し訳ございませんでした。			薬に侵されし最強の男							
「サジャトラ商会」との商談は、なかったことにさせていただきますぞ。			「サジャトラ商会」との商談は、なかったことにさせていただきますぞ。			薬に侵されし最強の男							
無事に、ソボロ助広を取り戻すことができましたな！それにしても肌身離さず持ち歩いていたとは、マケボノ殿は、よほど警戒していたのでしょう。			無事に、ソボロ助広を取り戻すことができましたな！それにしても肌身離さず持ち歩いていたとは、マケボノ殿は、よほど警戒していたのでしょう。			薬に侵されし最強の男							
……アンタに折り入って頼みがあるんだ。こいつを、オイラの代わりに墓前に供えてくれないかい？			……アンタに折り入って頼みがあるんだ。こいつを、オイラの代わりに墓前に供えてくれないかい？			薬に侵されし最強の男							
……さぁ、オイラを捕えて赤誠組の屯所に帰るんだ。盗みを働いてきたことは事実だし、オイラを見逃したら、あんたの立場も悪くなるだろ？			……さぁ、オイラを捕えて赤誠組の屯所に帰るんだ。盗みを働いてきたことは事実だし、オイラを見逃したら、あんたの立場も悪くなるだろ？			薬に侵されし最強の男							
拙者は何も聞いていないし、見ていない……上には、そう伝えておくでござる。お主は、このまま行くがよい。			拙者は何も聞いていないし、見ていない……上には、そう伝えておくでござる。お主は、このまま行くがよい。			薬に侵されし最強の男							
えっ！？いや、けどそれじゃあ……			えっ！？いや、けどそれじゃあ……			薬に侵されし最強の男							
案ずるでない、武士に二言はないでござるよ。			案ずるでない、武士に二言はないでござるよ。			薬に侵されし最強の男							
オオカミ殿が供えてこそ、義父殿も浮かばれるというもの。さぁ、これはお返しいたしますぞ！			オオカミ殿が供えてこそ、義父殿も浮かばれるというもの。さぁ、これはお返しいたしますぞ！			薬に侵されし最強の男							
外れもんのオイラに、優しくしてくれたのは、あの人以来だよ。アンタたちからの、この恩、一生忘れないぜ……。			外れもんのオイラに、優しくしてくれたのは、あの人以来だよ。アンタたちからの、この恩、一生忘れないぜ……。			薬に侵されし最強の男							
自分の立場が悪くなるかもしれないというのに、危険を顧みず、己の義を貫くとは……いいもん見せてもらったぜ……。			自分の立場が悪くなるかもしれないというのに、危険を顧みず、己の義を貫くとは……いいもん見せてもらったぜ……。			薬に侵されし最強の男							
自らが犠牲になろうと構わない……うう……なんだか、お前を思い出すぜ、エンキドゥ……。			自らが犠牲になろうと構わない……うう……なんだか、お前を思い出すぜ、エンキドゥ……。			薬に侵されし最強の男							
エンキドゥ！？　どうして！？お前は、俺が食っちまったはずじゃ……！？			エンキドゥ！？　どうして！？お前は、俺が食っちまったはずじゃ……！？			薬に侵されし最強の男							
このまま……このまま終わってたまるものか……！喰らえ……ッ！！			このまま……このまま終わってたまるものか……！喰らえ……ッ！！			薬に侵されし最強の男							
おい、お前……私を、どこか遠くへ逃がすのだ……！			おい、お前……私を、どこか遠くへ逃がすのだ……！			薬に侵されし最強の男							
どこか……遠く……？			どこか……遠く……？			薬に侵されし最強の男							
ギルちゃん、やめるのです！			ギルちゃん、やめるのです！			薬に侵されし最強の男							
遠く……次元の……狭間を……。			遠く……次元の……狭間を……。			薬に侵されし最強の男							
な、なんだ……これは！？			な、なんだ……これは！？			薬に侵されし最強の男							
アーーーーーーッ！飲み込まれるうううう！！			アーーーーーーッ！飲み込まれるうううう！！			薬に侵されし最強の男							
ヒルディブランド様、待ってください～！			ヒルディブランド様、待ってください～！			薬に侵されし最強の男							
ハッハッハ！我が愛息子は、いったい次はどこへ行ったのやら。			ハッハッハ！我が愛息子は、いったい次はどこへ行ったのやら。			薬に侵されし最強の男							
しかし、いつの間にか我が息子も、私に負けないくらい強く成長したようですな。父親として、喜ばしい限りですぞ！			しかし、いつの間にか我が息子も、私に負けないくらい強く成長したようですな。父親として、喜ばしい限りですぞ！			薬に侵されし最強の男							
ゴッドベルト殿は、一足先にクガネへ、アケボノを連れていってくださったでござる。拙者もクガネへ戻ろうと思うのですが……。			ゴッドベルト殿は、一足先にクガネへ、アケボノを連れていってくださったでござる。拙者もクガネへ戻ろうと思うのですが……。			薬に侵されし最強の男							
冒険者殿も、クガネへ立ち寄ってくださらぬか？今回の一件について、改めて御礼を申し上げたいでござるよ。			冒険者殿も、クガネへ立ち寄ってくださらぬか？今回の一件について、改めて御礼を申し上げたいでござるよ。			薬に侵されし最強の男							
かたじけない。では、また後ほどクガネにて！			かたじけない。では、また後ほどクガネにて！			薬に侵されし最強の男							
