八分儀広場の生真面目な警備兵は、冒険者に頼みたいことがあるようだ。			八分儀広場の生真面目な警備兵は、冒険者に頼みたいことがあるようだ。			青魔道士と名乗る男							
(-間の抜けたマムージャ族-)まった、く先生も少し、は手加減してください、な。死ぬか、と思いました、よ……。			(-間の抜けたマムージャ族-)まった、く先生も少し、は手加減してください、な。死ぬか、と思いました、よ……。			青魔道士と名乗る男							
まあ、堪忍してくれ。冒険者の心をつかむには、あれくらい必要なんだ。おかげさまで、商品が飛ぶように売れて儲かったぞ。			まあ、堪忍してくれ。冒険者の心をつかむには、あれくらい必要なんだ。おかげさまで、商品が飛ぶように売れて儲かったぞ。			青魔道士と名乗る男							
なるほど、そういうことだったか……。			なるほど、そういうことだったか……。			青魔道士と名乗る男							
イエロージャケットだ！青魔道士を騙った詐欺容疑でお前を逮捕する！			イエロージャケットだ！青魔道士を騙った詐欺容疑でお前を逮捕する！			青魔道士と名乗る男							
ちょっと待った、詐欺だなんて人聞きの悪い！私はそんなことしてません。			ちょっと待った、詐欺だなんて人聞きの悪い！私はそんなことしてません。			青魔道士と名乗る男							
嘘をつくな！襲ってきたマムージャ族とグルだったってことは、大方、売っていたソウルクリスタルとやらも偽物だろう？			嘘をつくな！襲ってきたマムージャ族とグルだったってことは、大方、売っていたソウルクリスタルとやらも偽物だろう？			青魔道士と名乗る男							
確かに、このマムージャ族は私の助手ですが、あれも実演販売には不可欠な、演出の一環だったんです。それと、断じてソウルクリスタルは偽物じゃありません。			確かに、このマムージャ族は私の助手ですが、あれも実演販売には不可欠な、演出の一環だったんです。それと、断じてソウルクリスタルは偽物じゃありません。			青魔道士と名乗る男							
私が自ら記憶を込めた、正真正銘の本物。そもそも、青魔法は魔物から修得する技ですからね、ラーニングの手法さえ込めれば済むので、量産も容易なんです。			私が自ら記憶を込めた、正真正銘の本物。そもそも、青魔法は魔物から修得する技ですからね、ラーニングの手法さえ込めれば済むので、量産も容易なんです。			青魔道士と名乗る男							
もちろん、武具も青魔道書も実用的ですよ。まあ、材料費は節約させてもらいましたけど……。			もちろん、武具も青魔道書も実用的ですよ。まあ、材料費は節約させてもらいましたけど……。			青魔道士と名乗る男							
クリスタルに……記憶を込める？うーん、やはり冒険者界隈のことはよくわからん。			クリスタルに……記憶を込める？うーん、やはり冒険者界隈のことはよくわからん。			青魔道士と名乗る男							
すまないが、そのソウルクリスタルとやらが本物かどうか、君に判断してもらえないだろうか？			すまないが、そのソウルクリスタルとやらが本物かどうか、君に判断してもらえないだろうか？			青魔道士と名乗る男							
だったら、君が青魔道士になって、一度、青魔法をラーニングしてみるといい。			だったら、君が青魔道士になって、一度、青魔法をラーニングしてみるといい。			青魔道士と名乗る男							
なかなか、お似合いですよ。ちょうどこの辺に、クラーケンの幼体が生息しているので、泣男のラトージャ君に、撒き餌でおびき寄せてもらっています。			なかなか、お似合いですよ。ちょうどこの辺に、クラーケンの幼体が生息しているので、泣男のラトージャ君に、撒き餌でおびき寄せてもらっています。			青魔道士と名乗る男							
小さな幼体といえど、立派に「水鉄砲」を放つので、きっとラーニングも可能なはず。			小さな幼体といえど、立派に「水鉄砲」を放つので、きっとラーニングも可能なはず。			青魔道士と名乗る男							
ひ、ひえ～～～っ！			ひ、ひえ～～～っ！			青魔道士と名乗る男							
お、思ってたより……ずっと大きいですね……。			お、思ってたより……ずっと大きいですね……。			青魔道士と名乗る男							
さ、さあ、君の出番ですよ！クラーケンの敵意を身に受け、その上で斃すのです！さすれば、最初の青魔法を修得できるでしょう！			さ、さあ、君の出番ですよ！クラーケンの敵意を身に受け、その上で斃すのです！さすれば、最初の青魔法を修得できるでしょう！			青魔道士と名乗る男							
いや、お見事！身をもって、青魔法「水鉄砲」をラーニングできたようですね！			いや、お見事！身をもって、青魔法「水鉄砲」をラーニングできたようですね！			青魔道士と名乗る男							
ちなみに、敵意を受けた状態で、魔法現象が発動されさえすれば、必ずしも魔法を受けて、痛い思いをする必要はありませんよ。もちろん、斃すことは必須ですけどね。			ちなみに、敵意を受けた状態で、魔法現象が発動されさえすれば、必ずしも魔法を受けて、痛い思いをする必要はありませんよ。もちろん、斃すことは必須ですけどね。			青魔道士と名乗る男							
そして、青魔道士になりたてのときは、何の技も持ってません。ゆえに、ひとつめの青魔法をラーニングするときは、君のように、無謀な……いや、勇敢な心が不可欠なんです！			そして、青魔道士になりたてのときは、何の技も持ってません。ゆえに、ひとつめの青魔法をラーニングするときは、君のように、無謀な……いや、勇敢な心が不可欠なんです！			青魔道士と名乗る男							
私のことを詐欺だとか言う冒険者は、大方、技も持たずに魔物に立ち向かう勇気がなかっただけ。これで、私の潔白も証明されたことでしょう……。			私のことを詐欺だとか言う冒険者は、大方、技も持たずに魔物に立ち向かう勇気がなかっただけ。これで、私の潔白も証明されたことでしょう……。			青魔道士と名乗る男							
ど、どうなんだ……？			ど、どうなんだ……？			青魔道士と名乗る男							
さあさあ、大事な売り物なんで、武具とソウルクリスタルは返してもらいますよ。			さあさあ、大事な売り物なんで、武具とソウルクリスタルは返してもらいますよ。			青魔道士と名乗る男							
どうなんだ？青魔法とやらは修得できたのか……？			どうなんだ？青魔法とやらは修得できたのか……？			青魔道士と名乗る男							
クラーケン、の幼体が、あんなに大きい、なんて、聞いて、ませんでし、た……。			クラーケン、の幼体が、あんなに大きい、なんて、聞いて、ませんでし、た……。			青魔道士と名乗る男							
よ、よく斃せ、ました、ね……。			よ、よく斃せ、ました、ね……。			青魔道士と名乗る男							
むむ、その目はまだ私を疑っている様子。潔白を証明するためには、背に腹は代えられません、もうしょうがない、こうなったら出血大サービス！			むむ、その目はまだ私を疑っている様子。潔白を証明するためには、背に腹は代えられません、もうしょうがない、こうなったら出血大サービス！			青魔道士と名乗る男							
カンタン入門セットを無料で差し上げましょう!もう一度、青魔道士になって、実際に確かめてごらんなさい。			カンタン入門セットを無料で差し上げましょう!もう一度、青魔道士になって、実際に確かめてごらんなさい。			青魔道士と名乗る男							
青魔法はメインコマンドの「青魔道書」から選択し、「アクティブアクション」に登録することで、使用できるようになります。			青魔法はメインコマンドの「青魔道書」から選択し、「アクティブアクション」に登録することで、使用できるようになります。			青魔道士と名乗る男							
青魔道士の武器は基本的に性能が変わりません。防具などで「INT」が上がることによって、魔法攻撃で与えるダメージが大きく増加します。			青魔道士の武器は基本的に性能が変わりません。防具などで「INT」が上がることによって、魔法攻撃で与えるダメージが大きく増加します。			青魔道士と名乗る男							
青魔道士用装備を紛失してしまった場合は、各都市の遺失物管理人から再購入することができます。			青魔道士用装備を紛失してしまった場合は、各都市の遺失物管理人から再購入することができます。			青魔道士と名乗る男							
新しいジョブを修得しました！受け取った武器を装備することで、ジョブチェンジができます。			新しいジョブを修得しました！受け取った武器を装備することで、ジョブチェンジができます。			青魔道士と名乗る男							
ジョブチェンジしたあとには、「ギアセット」を登録してみましょう！現在の装備が記録され、即座に着替えられるようになります。			ジョブチェンジしたあとには、「ギアセット」を登録してみましょう！現在の装備が記録され、即座に着替えられるようになります。			青魔道士と名乗る男							
「ギアセット」の登録は、装備変更と同じ「マイキャラクター」の画面から行えます。			「ギアセット」の登録は、装備変更と同じ「マイキャラクター」の画面から行えます。			青魔道士と名乗る男							
低地ラノシアのマーティンは、潔白を証明したいようだ。			低地ラノシアのマーティンは、潔白を証明したいようだ。			マスク・ザ・ブルー誕生							
マーティンと話し、冒険者は青魔法を試してみることになった。低地ラノシアのゴッズグリップで「泣男のラトージャ」に、青魔法「水鉄砲」を使おう。			マーティンと話し、冒険者は青魔法を試してみることになった。低地ラノシアのゴッズグリップで「泣男のラトージャ」に、青魔法「水鉄砲」を使おう。			マスク・ザ・ブルー誕生							
泣男のラトージャに青魔法「水鉄砲」を使った。マーティンの潔白は証明されたが、青魔道士の商売を禁じられてしまう。ウルダハに新設された闘技場の支配人ロイスが現れ、マーティンは闘士として雇われることになった。冒険者も巻き込まれたようだ。ウルダハのミルバネス礼拝堂付近で「ロイス」と話そう。			泣男のラトージャに青魔法「水鉄砲」を使った。マーティンの潔白は証明されたが、青魔道士の商売を禁じられてしまう。ウルダハに新設された闘技場の支配人ロイスが現れ、マーティンは闘士として雇われることになった。冒険者も巻き込まれたようだ。ウルダハのミルバネス礼拝堂付近で「ロイス」と話そう。			マスク・ザ・ブルー誕生							
ロイスと話し、冒険者は青魔道士の修行を積んで、マスクカーニバルの闘士を目指すことになった。しばらく鍛錬に励んで、青魔法「吸血」をラーニングしてから、師となったマーティンのもとへ戻ってこよう。※青魔道士のレベルが10以上になり、青魔法「吸血」をラーニングすると、ミルバネス礼拝堂付近のマーティンから次の青魔道士クエストを受注することができます。			ロイスと話し、冒険者は青魔道士の修行を積んで、マスクカーニバルの闘士を目指すことになった。しばらく鍛錬に励んで、青魔法「吸血」をラーニングしてから、師となったマーティンのもとへ戻ってこよう。※青魔道士のレベルが10以上になり、青魔法「吸血」をラーニングすると、ミルバネス礼拝堂付近のマーティンから次の青魔道士クエストを受注することができます。			マスク・ザ・ブルー誕生							
泣き男のラトージャに「水鉄砲」を使う			泣き男のラトージャに「水鉄砲」を使う			マスク・ザ・ブルー誕生							
ウルダハのロイスと話す			ウルダハのロイスと話す			マスク・ザ・ブルー誕生							
どうなんだ？青魔法とやらは修得できたのか……？			どうなんだ？青魔法とやらは修得できたのか……？			マスク・ザ・ブルー誕生							
クラーケン、の幼体が、あんなに大きい、なんて、聞いて、ませんでし、た……。			クラーケン、の幼体が、あんなに大きい、なんて、聞いて、ませんでし、た……。			マスク・ザ・ブルー誕生							
よ、よく斃せ、ました、ね……。			よ、よく斃せ、ました、ね……。			マスク・ザ・ブルー誕生							
さあ、物は試しです。我が助手である「泣男のラトージャ」君に、ラーニングしたての青魔法「水鉄砲」を放ってごらんなさい！			さあ、物は試しです。我が助手である「泣男のラトージャ」君に、ラーニングしたての青魔法「水鉄砲」を放ってごらんなさい！			マスク・ザ・ブルー誕生							
大丈夫！こう見えて、彼の肉体は頑丈なんです、それなりに！ささ、遠慮はいりませんよ！			大丈夫！こう見えて、彼の肉体は頑丈なんです、それなりに！ささ、遠慮はいりませんよ！			マスク・ザ・ブルー誕生							
そ、そん、な……。			そ、そん、な……。			マスク・ザ・ブルー誕生							
さあ、「泣男のラトージャ」君に、青魔法「水鉄砲」を放ってごらんなさい！			さあ、「泣男のラトージャ」君に、青魔法「水鉄砲」を放ってごらんなさい！			マスク・ザ・ブルー誕生							
お手柔らか、にお願いしま、す……。			お手柔らか、にお願いしま、す……。			マスク・ザ・ブルー誕生							
青魔法はメインコマンドの「青魔道書」から選択し、「アクティブアクション」に登録することで、使用できるようになります。			青魔法はメインコマンドの「青魔道書」から選択し、「アクティブアクション」に登録することで、使用できるようになります。			マスク・ザ・ブルー誕生							
ラトージャ、は丈夫なの、で、思いっきり、やっちゃって、くださ、い。			ラトージャ、は丈夫なの、で、思いっきり、やっちゃって、くださ、い。			マスク・ザ・ブルー誕生							
君が「水鉄砲」とやらを放つことができたら、詐欺ではなかったことの証明になるが、果たして……。			君が「水鉄砲」とやらを放つことができたら、詐欺ではなかったことの証明になるが、果たして……。			マスク・ザ・ブルー誕生							
ひやぁ～！ちべ、たぁ～～～い！			ひやぁ～！ちべ、たぁ～～～い！			マスク・ザ・ブルー誕生							
どうです？これで、詐欺ではないと認めてもらえますね？			どうです？これで、詐欺ではないと認めてもらえますね？			マスク・ザ・ブルー誕生							
結構、結構。それでは、私はここでおいとまさせて……			結構、結構。それでは、私はここでおいとまさせて……			マスク・ザ・ブルー誕生							
待て、確かに詐欺じゃなかったことは認めよう……。だが充分な説明もなしに、商品を売っていたことは否めない。そこには、極めて作為的なものを感じる。			待て、確かに詐欺じゃなかったことは認めよう……。だが充分な説明もなしに、商品を売っていたことは否めない。そこには、極めて作為的なものを感じる。			マスク・ザ・ブルー誕生							
よって逮捕こそしないが、金輪際くだんの商売を禁じる！破った場合は、そのときこそ捕まると思え……！			よって逮捕こそしないが、金輪際くだんの商売を禁じる！破った場合は、そのときこそ捕まると思え……！			マスク・ザ・ブルー誕生							
冒険者殿、捜査への協力に感謝する！			冒険者殿、捜査への協力に感謝する！			マスク・ザ・ブルー誕生							
なんてこった……稼ぎの場を……失ってしまった……。			なんてこった……稼ぎの場を……失ってしまった……。			マスク・ザ・ブルー誕生							
(-凛々しい女性の声-)いいものを見せてもらったわ！			(-凛々しい女性の声-)いいものを見せてもらったわ！			マスク・ザ・ブルー誕生							
(-凛々しい女性-)白魔法でも黒魔法でもない新たな魔法、その名も青魔法……。うん、いけそう、やっと見つけた！			(-凛々しい女性-)白魔法でも黒魔法でもない新たな魔法、その名も青魔法……。うん、いけそう、やっと見つけた！			マスク・ザ・ブルー誕生							
ど、どちら様でしょう……？			ど、どちら様でしょう……？			マスク・ザ・ブルー誕生							
(-凛々しい女性-)コホン、紹介が遅れたわね。私の名はロイス……ウルダハに新設された闘技場「ブルースカイ」の支配人よ。			(-凛々しい女性-)コホン、紹介が遅れたわね。私の名はロイス……ウルダハに新設された闘技場「ブルースカイ」の支配人よ。			マスク・ザ・ブルー誕生							
既存のコロセウムと異なるのは、剣闘士同士の戦いを見せるわけじゃないってところ。人と魔物や野獣を競わせる「闘獣」を専門でやってるのよ。			既存のコロセウムと異なるのは、剣闘士同士の戦いを見せるわけじゃないってところ。人と魔物や野獣を競わせる「闘獣」を専門でやってるのよ。			マスク・ザ・ブルー誕生							
もちろん、闘獣自体はこれまでも行われていたけど、「マスクカーニバル」と題して、大々的に打ち出したってわけ。闘技場に仕掛けを施したり、様々な趣向を凝らしてもいるわ。			もちろん、闘獣自体はこれまでも行われていたけど、「マスクカーニバル」と題して、大々的に打ち出したってわけ。闘技場に仕掛けを施したり、様々な趣向を凝らしてもいるわ。			マスク・ザ・ブルー誕生							
でも、知名度はまだまだで、ウチでしか見られない、何か特別なものを探していたの。そんなとき、ラノシアで珍しい魔法を使う男の噂を耳にしたのよ。			でも、知名度はまだまだで、ウチでしか見られない、何か特別なものを探していたの。そんなとき、ラノシアで珍しい魔法を使う男の噂を耳にしたのよ。			マスク・ザ・ブルー誕生							
あなた、マスクカーニバルで闘士としてデビューしてみない？見たこともない青魔法はきっとお客の目を引くから、ウチの看板闘士になってほしいの！			あなた、マスクカーニバルで闘士としてデビューしてみない？見たこともない青魔法はきっとお客の目を引くから、ウチの看板闘士になってほしいの！			マスク・ザ・ブルー誕生							
せっかくですが、神聖なる青魔法を大衆の見世物になど……			せっかくですが、神聖なる青魔法を大衆の見世物になど……			マスク・ザ・ブルー誕生							
あらそう……残念ね。きっとスター闘士になって、大金を稼げるはずなんだけど……。			あらそう……残念ね。きっとスター闘士になって、大金を稼げるはずなんだけど……。			マスク・ザ・ブルー誕生							
やりましょう！私の青魔法で闘技場に興奮の渦を巻き起こしてみせますよ！			やりましょう！私の青魔法で闘技場に興奮の渦を巻き起こしてみせますよ！			マスク・ザ・ブルー誕生							
ちょっと待って。看板となる青魔道士は多い方がいいわ。あなたも青魔道士なら、ウチの闘士になってくれない？			ちょっと待って。看板となる青魔道士は多い方がいいわ。あなたも青魔道士なら、ウチの闘士になってくれない？			マスク・ザ・ブルー誕生							
彼女彼は、先ほど青魔道士になったばかりの初心者ですよ。獰猛な魔物と戦ったら、それこそ死んでしまいます。			彼女彼は、先ほど青魔道士になったばかりの初心者ですよ。獰猛な魔物と戦ったら、それこそ死んでしまいます。			マスク・ザ・ブルー誕生							
何と言う？			何と言う？			マスク・ザ・ブルー誕生							
修行を積めば負けない！			修行を積めば負けない！			マスク・ザ・ブルー誕生							
青魔法以外の技を使えば負けない！			青魔法以外の技を使えば負けない！			マスク・ザ・ブルー誕生							
なるほど。だったら大いに修行を積んで強くなってもらわないとね。			なるほど。だったら大いに修行を積んで強くなってもらわないとね。			マスク・ザ・ブルー誕生							
ただ強いだけの剣闘士なら足りてるのよね。観客を魅せるド派手で奇抜な戦い方じゃなくちゃ。			ただ強いだけの剣闘士なら足りてるのよね。観客を魅せるド派手で奇抜な戦い方じゃなくちゃ。			マスク・ザ・ブルー誕生							
だから、青魔道士じゃなきゃダメ。まだ初心者だっていうなら、修行して強くなればいい。			だから、青魔道士じゃなきゃダメ。まだ初心者だっていうなら、修行して強くなればいい。			マスク・ザ・ブルー誕生							
あなた、マスクカーニバルに出場する傍らで、彼女彼に修行をつけてやってくれない？闘士として戦えるくらい、一人前に育ててほしいの。			あなた、マスクカーニバルに出場する傍らで、彼女彼に修行をつけてやってくれない？闘士として戦えるくらい、一人前に育ててほしいの。			マスク・ザ・ブルー誕生							
それは無理な相談です。闘士と指南役の二足のわらじなんて……			それは無理な相談です。闘士と指南役の二足のわらじなんて……			マスク・ザ・ブルー誕生							
もちろん、その分は追加でギャラを払わせてもらうわ。彼女彼の仕上がりによっては、さらに色を付けてあげてもいいわよ。			もちろん、その分は追加でギャラを払わせてもらうわ。彼女彼の仕上がりによっては、さらに色を付けてあげてもいいわよ。			マスク・ザ・ブルー誕生							
お任せください！彼女彼を、一流の青魔道士に育ててみせましょう！			お任せください！彼女彼を、一流の青魔道士に育ててみせましょう！			マスク・ザ・ブルー誕生							
決まりね、それじゃあ「ウルダハ」まで来てちょうだい。看板闘士の衣装合わせといきましょう。			決まりね、それじゃあ「ウルダハ」まで来てちょうだい。看板闘士の衣装合わせといきましょう。			マスク・ザ・ブルー誕生							
衣装……合わせ……とは？			衣装……合わせ……とは？			マスク・ザ・ブルー誕生							
