ミーン工芸館のカットリスは、腕の良い職人を探しているようだ。			ミーン工芸館のカットリスは、腕の良い職人を探しているようだ。			ミーン工芸館							
ミーン工芸館には、大きく5つの科が存在していてね。それぞれ、専門性のある職人が集まって、仕事を融通し合っている。ひとつずつ紹介しよう。			ミーン工芸館には、大きく5つの科が存在していてね。それぞれ、専門性のある職人が集まって、仕事を融通し合っている。ひとつずつ紹介しよう。			ミーン工芸館							
金属を扱う職人が集う「錬鉄科(れんてつか)」。中でも彼女……「黒鉄工房」を経営するイオラは、最近、人手不足に悩んでいたから、声をかけてみるといい。			金属を扱う職人が集う「錬鉄科(れんてつか)」。中でも彼女……「黒鉄工房」を経営するイオラは、最近、人手不足に悩んでいたから、声をかけてみるといい。			ミーン工芸館							
革、布、木といった非金属系の素材を扱う「手工科」。保存修復師を名乗って、美術品や工芸品の修理を行う、風変わりな奴もいるんだが……ふむ、今は留守のようだね……。			革、布、木といった非金属系の素材を扱う「手工科」。保存修復師を名乗って、美術品や工芸品の修理を行う、風変わりな奴もいるんだが……ふむ、今は留守のようだね……。			ミーン工芸館							
そして、薬や食料を扱う「食薬科」。その範囲は、人相手の品だけにとどまらず、アマロの診察を行う獣医師ベスリクのような存在もいるぞ。			そして、薬や食料を扱う「食薬科」。その範囲は、人相手の品だけにとどまらず、アマロの診察を行う獣医師ベスリクのような存在もいるぞ。			ミーン工芸館							
続いて「調達科」は、植物や鉱物などの採集活動を担う科だ。科長のケシ・レイは一風変わった女だが、彼女の未知への探究心はクリスタリウム随一だろう。			続いて「調達科」は、植物や鉱物などの採集活動を担う科だ。科長のケシ・レイは一風変わった女だが、彼女の未知への探究心はクリスタリウム随一だろう。			ミーン工芸館							
「漁業科」では、魚介類の捕獲や養殖を専門に行っている。フリスリックは、科長としては頼りなく見えるかもしれないが、彼の漁師としての知識や技術は疑いようがない。			「漁業科」では、魚介類の捕獲や養殖を専門に行っている。フリスリックは、科長としては頼りなく見えるかもしれないが、彼の漁師としての知識や技術は疑いようがない。			ミーン工芸館							
これら5つの科は、クリスタリウムの自治組織「セツルメント」からの要請に従い、総力を上げて、都市の存続に必要な物資の供給に勤しんでいる。			これら5つの科は、クリスタリウムの自治組織「セツルメント」からの要請に従い、総力を上げて、都市の存続に必要な物資の供給に勤しんでいる。			ミーン工芸館							
一方で、所属する職人たちの多くは、個人、あるいは工房として、市民のための経済活動に従事していたりもする。			一方で、所属する職人たちの多くは、個人、あるいは工房として、市民のための経済活動に従事していたりもする。			ミーン工芸館							
そんなわけで、ミーン工芸館は慢性的な人手不足でね。どの科も熟練の職人を探してるはずさ。腕に自信があるなら、門戸を叩いてみるといい。			そんなわけで、ミーン工芸館は慢性的な人手不足でね。どの科も熟練の職人を探してるはずさ。腕に自信があるなら、門戸を叩いてみるといい。			ミーン工芸館							
「ミーン工芸館取引」が開放されました！「錬鉄科／手工科／食薬科／調達科／漁業科」に所属する、それぞれの人物に話しかけ、ぜひ受注してみましょう！			「ミーン工芸館取引」が開放されました！「錬鉄科／手工科／食薬科／調達科／漁業科」に所属する、それぞれの人物に話しかけ、ぜひ受注してみましょう！			ミーン工芸館							
