聖ガンリオル占星院のジャンヌキナルは、冒険者に知らせたいことがあるようだ。			聖ガンリオル占星院のジャンヌキナルは、冒険者に知らせたいことがあるようだ。			東風吹き込む占星院							
よく来てくれた、元気そうで何より。ここに来たということは、ジャンヌキナルから、「アルカナ占い」の結果を聞いたからなのだろう？			よく来てくれた、元気そうで何より。ここに来たということは、ジャンヌキナルから、「アルカナ占い」の結果を聞いたからなのだろう？			東風吹き込む占星院							
やはり、わしの占いは正しいようだな。居所定まらぬ旅人である汝が、竜を屠る槍となり戦を鎮め、古き過去にまつわる破壊の災難と交差し、新たな知を生む。			やはり、わしの占いは正しいようだな。居所定まらぬ旅人である汝が、竜を屠る槍となり戦を鎮め、古き過去にまつわる破壊の災難と交差し、新たな知を生む。			東風吹き込む占星院							
その中心にある者こそ、Forename……。汝が、今日ここに来たということは、占星術が新たな段階に、発展する時期に入ったという運命を示している……。			その中心にある者こそ、Forename……。汝が、今日ここに来たということは、占星術が新たな段階に、発展する時期に入ったという運命を示している……。			東風吹き込む占星院							
(-緊迫した叫び声-)けが人だ！！魔物に襲われた人がいる！誰か、手当てをしてくれ！！			(-緊迫した叫び声-)けが人だ！！魔物に襲われた人がいる！誰か、手当てをしてくれ！！			東風吹き込む占星院							
む……一大事のようじゃ。どれ、占星術にて、けが人の運命を切り開くとしよう。			む……一大事のようじゃ。どれ、占星術にて、けが人の運命を切り開くとしよう。			東風吹き込む占星院							
(-東方風のけが人-)いてててて……誰か、助けて……。			(-東方風のけが人-)いてててて……誰か、助けて……。			東風吹き込む占星院							
われらは、シャーレアン式占星術を扱う者。けが人の処置は、われらが引き受けよう。			われらは、シャーレアン式占星術を扱う者。けが人の処置は、われらが引き受けよう。			東風吹き込む占星院							
(-東方風のけが人-)せ、占星術だって……！？こりゃ、幸先いい！！			(-東方風のけが人-)せ、占星術だって……！？こりゃ、幸先いい！！			東風吹き込む占星院							
(-東方風のけが人-)って、いってててて……。と、とにかく早いところ癒しを頼む……！			(-東方風のけが人-)って、いってててて……。と、とにかく早いところ癒しを頼む……！			東風吹き込む占星院							
偶然、占星術師の先生がいらっしゃって、命拾いしたな。きちんと礼をしろよ。では、私は持ち場に戻る。			偶然、占星術師の先生がいらっしゃって、命拾いしたな。きちんと礼をしろよ。では、私は持ち場に戻る。			東風吹き込む占星院							
おや、レヴェヴァ師にForenameさん。こんなところで、どうされましたか？講話会の準備は、終わられたのですか？			おや、レヴェヴァ師にForenameさん。こんなところで、どうされましたか？講話会の準備は、終わられたのですか？			東風吹き込む占星院							
いや、ちょっとした騒動があり、準備はこれからだが、手伝いの名乗りをあげてくれた有志も多く、心配ない。さあ、みなのもの、会場に出向くとしよう。			いや、ちょっとした騒動があり、準備はこれからだが、手伝いの名乗りをあげてくれた有志も多く、心配ない。さあ、みなのもの、会場に出向くとしよう。			東風吹き込む占星院							
(-東方風の男-)おーーっと、お待ちを！レヴェヴァ師にForename殿……危ないところを助けていただき、かたじけない！			(-東方風の男-)おーーっと、お待ちを！レヴェヴァ師にForename殿……危ないところを助けていただき、かたじけない！			東風吹き込む占星院							
(-東方風の男-)いきなり占星術師に会えるなんて、こりゃ、いい風吹いてるぜ！			(-東方風の男-)いきなり占星術師に会えるなんて、こりゃ、いい風吹いてるぜ！			東風吹き込む占星院							
……馴れ馴れしく、やかましい男だな。それに、その見慣れぬ出で立ち……東方の者か？			……馴れ馴れしく、やかましい男だな。それに、その見慣れぬ出で立ち……東方の者か？			東風吹き込む占星院							
さっすが星読みの先生は、人相まで読めるらしい！いかにも俺は、はるか東の果てからやって来たキョクホウだ！「星読みの知識」を得るためにな！！			さっすが星読みの先生は、人相まで読めるらしい！いかにも俺は、はるか東の果てからやって来たキョクホウだ！「星読みの知識」を得るためにな！！			東風吹き込む占星院							
それは遠路はるばる、ご苦労だったな。ギルドに入りたくば、イシュガルドの聖ガンリオル占星院にて、手続きをするがいい。			それは遠路はるばる、ご苦労だったな。ギルドに入りたくば、イシュガルドの聖ガンリオル占星院にて、手続きをするがいい。			東風吹き込む占星院							
だから、お待ちをって！ここで師に会えたのも、何かの縁！俺は、いますぐ占星術をご教授願いたい！！			だから、お待ちをって！ここで師に会えたのも、何かの縁！俺は、いますぐ占星術をご教授願いたい！！			東風吹き込む占星院							
……暑苦しいほどの熱意だな……いや、待てよ。汝、東方から来たといったな……？			……暑苦しいほどの熱意だな……いや、待てよ。汝、東方から来たといったな……？			東風吹き込む占星院							
ああ、故郷「ひんがしの国」では、風水士をしてる。風脈、地脈を読む風水術……これをさらに発展させたくて、星読みの知識を学びたいんだ。			ああ、故郷「ひんがしの国」では、風水士をしてる。風脈、地脈を読む風水術……これをさらに発展させたくて、星読みの知識を学びたいんだ。			東風吹き込む占星院							
風水術か……。故郷シャーレアンにて、東方の学問と聞いたことがある。実際に風水士に会えるとは、実に興味深い……。			風水術か……。故郷シャーレアンにて、東方の学問と聞いたことがある。実際に風水士に会えるとは、実に興味深い……。			東風吹き込む占星院							
レヴェヴァ師、講話会で増えるであろう入門者に備え、すでにソウルクリスタルも用意できています。必要なら、今すぐ彼にも渡せますが？			レヴェヴァ師、講話会で増えるであろう入門者に備え、すでにソウルクリスタルも用意できています。必要なら、今すぐ彼にも渡せますが？			東風吹き込む占星院							
なんたる偶然……！現在を示したアルカナが「槍」で、未来を示すのが「均衡」、となれば……これぞ星の導きか！			なんたる偶然……！現在を示したアルカナが「槍」で、未来を示すのが「均衡」、となれば……これぞ星の導きか！			東風吹き込む占星院							
例のアルカナ占いの結果というやつですか？			例のアルカナ占いの結果というやつですか？			東風吹き込む占星院							
いかにも。各アルカナには、それぞれ方角の暗示があってな……。「槍」は西を、「均衡」は東を示すと言われている。			いかにも。各アルカナには、それぞれ方角の暗示があってな……。「槍」は西を、「均衡」は東を示すと言われている。			東風吹き込む占星院							
西がエオルゼアの占星術、東が東方の風水術を表すなら、定まらぬ方位を示す「矢」が暗示するのは、旅人たる冒険者。これらが交わるとき、占星術のさらなる発展があると見た！			西がエオルゼアの占星術、東が東方の風水術を表すなら、定まらぬ方位を示す「矢」が暗示するのは、旅人たる冒険者。これらが交わるとき、占星術のさらなる発展があると見た！			東風吹き込む占星院							
よし、キョクホウとやら……汝の望みどおり、早速、占星術を教えてやろう！			よし、キョクホウとやら……汝の望みどおり、早速、占星術を教えてやろう！			東風吹き込む占星院							
ひゃっほー！占いってのが何なのかは知らないが、こいつは幸先いい！やっぱり、いい風吹いてるぜ！			ひゃっほー！占いってのが何なのかは知らないが、こいつは幸先いい！やっぱり、いい風吹いてるぜ！			東風吹き込む占星院							
とはいえ、わしは講話会の準備で手を放せぬ身……。ゆえに、汝の指導にあたるのは、このForenameだ。			とはいえ、わしは講話会の準備で手を放せぬ身……。ゆえに、汝の指導にあたるのは、このForenameだ。			東風吹き込む占星院							
名案です、後輩の指導は自身の学びにもつながりますから。では、さっそく、学びの土台を固めるため、土天座を見に、南部森林の根渡り沼へまいりましょう。			名案です、後輩の指導は自身の学びにもつながりますから。では、さっそく、学びの土台を固めるため、土天座を見に、南部森林の根渡り沼へまいりましょう。			東風吹き込む占星院							
キョクホウ君は、私たちが案内しますので、現地での解説は、姉兄弟子となる、Forenameさんにお任せしますね。			キョクホウ君は、私たちが案内しますので、現地での解説は、姉兄弟子となる、Forenameさんにお任せしますね。			東風吹き込む占星院							
姉者兄者、ご指導、よろしく頼みます！			姉者兄者、ご指導、よろしく頼みます！			東風吹き込む占星院							
さあキョクホウよ、占星術の扉を開き、汝の、そして我らの未来を切り開け！			さあキョクホウよ、占星術の扉を開き、汝の、そして我らの未来を切り開け！			東風吹き込む占星院							
Forename。占星術の発展のためにも、キョクホウの指導をよろしく頼む。			Forename。占星術の発展のためにも、キョクホウの指導をよろしく頼む。			東風吹き込む占星院							
南部森林の根渡り沼へ向かってください。シャーレアン式の占星術を学びはじめた者は、まず土天座を開き、学びの基礎、つまり土台を固めますから。			南部森林の根渡り沼へ向かってください。シャーレアン式の占星術を学びはじめた者は、まず土天座を開き、学びの基礎、つまり土台を固めますから。			東風吹き込む占星院							
シャーレアン式の占星術を学びはじめた者は、まず、この地にて、土天座を開き、学びの基礎、つまり土台を固めるのです。			シャーレアン式の占星術を学びはじめた者は、まず、この地にて、土天座を開き、学びの基礎、つまり土台を固めるのです。			東風吹き込む占星院							
Forename様のご活躍は、かねがね耳にしております。再び、こうして旅にお供することができて光栄です。			Forename様のご活躍は、かねがね耳にしております。再び、こうして旅にお供することができて光栄です。			東風吹き込む占星院							
姉者兄者、無事だったか！あとは、「土天の門」との対峙のときを待つばかり。その前に、「土天」について解説願いたい！			姉者兄者、無事だったか！あとは、「土天の門」との対峙のときを待つばかり。その前に、「土天」について解説願いたい！			東風吹き込む占星院							
「土天」について何を説明する？			「土天」について何を説明する？			東風吹き込む占星院							
土天にそびえる世界樹について			土天にそびえる世界樹について			東風吹き込む占星院							
土天の祝福について			土天の祝福について			東風吹き込む占星院							
なるほど、土の天界の「土天」には、地神が植え、時神が育てた世界樹があるのか……。その力に抱かれ、別格の耐久力をもたらすんだな！			なるほど、土の天界の「土天」には、地神が植え、時神が育てた世界樹があるのか……。その力に抱かれ、別格の耐久力をもたらすんだな！			東風吹き込む占星院							
ふむふむ……土天の祝福を暗示したアルカナは「幹」。その力を用いることで、世界樹に抱かれ、別格の耐久力をもたらすんだな！			ふむふむ……土天の祝福を暗示したアルカナは「幹」。その力を用いることで、世界樹に抱かれ、別格の耐久力をもたらすんだな！			東風吹き込む占星院							
おお、これがエオルゼアの「土天座」……。			おお、これがエオルゼアの「土天座」……。			東風吹き込む占星院							
故郷「ひんがしの国」でも、日々、「土天座」を見ていたが、ところ変われば、輝きも印象も変わるものだな。			故郷「ひんがしの国」でも、日々、「土天座」を見ていたが、ところ変われば、輝きも印象も変わるものだな。			東風吹き込む占星院							
だからこそ、土天特有の普遍なる力もよくわかる。土天にそびえる世界樹に抱かれ、大いなる力を得るという、土天座のアルカナ「幹」の力を……。			だからこそ、土天特有の普遍なる力もよくわかる。土天にそびえる世界樹に抱かれ、大いなる力を得るという、土天座のアルカナ「幹」の力を……。			東風吹き込む占星院							
天の星々と繋がることで、力を得ながらも、その本質は、大地に根ざす力を借りた大いなる加護……。地脈から力を得る風水術と似ている気がする……。			天の星々と繋がることで、力を得ながらも、その本質は、大地に根ざす力を借りた大いなる加護……。地脈から力を得る風水術と似ている気がする……。			東風吹き込む占星院							
おや、それは興味深い発見ですね。レヴェヴァ師にも知らせると、喜ばれるでしょう。			おや、それは興味深い発見ですね。レヴェヴァ師にも知らせると、喜ばれるでしょう。			東風吹き込む占星院							
さて、これでキョクホウ君は「土天」の門を開かれました。そろそろ、聖ガンリオル占星院に帰還しましょう。貴方は、「レヴェヴァ」師への報告をお願いします。			さて、これでキョクホウ君は「土天」の門を開かれました。そろそろ、聖ガンリオル占星院に帰還しましょう。貴方は、「レヴェヴァ」師への報告をお願いします。			東風吹き込む占星院							
キョクホウ君の向学心は素晴らしいです。占星院の者たちのやる気と能力を後押しする、追い風の如き存在となってくれそうです……。			キョクホウ君の向学心は素晴らしいです。占星院の者たちのやる気と能力を後押しする、追い風の如き存在となってくれそうです……。			東風吹き込む占星院							
シャーレアン式占星術が、イシュガルドに根付くまでの苦労話を聞かせてもらったぞ。貴方がたの活躍あってこその、今なんだな。			シャーレアン式占星術が、イシュガルドに根付くまでの苦労話を聞かせてもらったぞ。貴方がたの活躍あってこその、今なんだな。			東風吹き込む占星院							
Forename、戻ったか。この度は、キョクホウへの指導、ご苦労だった。手応えはどうであったか？			Forename、戻ったか。この度は、キョクホウへの指導、ご苦労だった。手応えはどうであったか？			東風吹き込む占星院							
なるほど、キョクホウの向学心と吸収力は見事なものだな。あやつの存在は、占星院のほかの者たちにも、良き影響を与えるだろう。			なるほど、キョクホウの向学心と吸収力は見事なものだな。あやつの存在は、占星院のほかの者たちにも、良き影響を与えるだろう。			東風吹き込む占星院							
特に、風水術と占星術の相似点は興味深い。後程、キョクホウに風水術について聞いてみることにしよう。			特に、風水術と占星術の相似点は興味深い。後程、キョクホウに風水術について聞いてみることにしよう。			東風吹き込む占星院							
今後も、キョクホウの指導を頼んだぞ。成長著しいあやつを導くために、汝も、いっそう占星術の学びを深めてくれ。			今後も、キョクホウの指導を頼んだぞ。成長著しいあやつを導くために、汝も、いっそう占星術の学びを深めてくれ。			東風吹き込む占星院							
アルカナ占いが示した東方の知、キョクホウと、イシュガルドの今に影響を与えた、Forename。その双方が交わる未来……楽しみにしているぞ。			アルカナ占いが示した東方の知、キョクホウと、イシュガルドの今に影響を与えた、Forename。その双方が交わる未来……楽しみにしているぞ。			東風吹き込む占星院							
「占星術師」の新たなジョブクエストが開始されました。次のクエストは「レベル63」以上で、聖ガンリオル占星院のレヴェヴァから受注可能です。			「占星術師」の新たなジョブクエストが開始されました。次のクエストは「レベル63」以上で、聖ガンリオル占星院のレヴェヴァから受注可能です。			東風吹き込む占星院							
今後の「占星術師」のジョブクエスト受注条件は、コンプリート後のジャーナルで確認できます。			今後の「占星術師」のジョブクエスト受注条件は、コンプリート後のジャーナルで確認できます。			東風吹き込む占星院							
聖ガンリオル占星院のジャンヌキナルは、冒険者の決断を待っているようだ。			聖ガンリオル占星院のジャンヌキナルは、冒険者の決断を待っているようだ。			運命を切り拓く占星術師							
冒険者は、レヴェヴァたちとともにセヴェスターからルフィンの日記を取り戻すことになった。低地ドラヴァニアのシャーレアン学士街にいる「ジャンヌキナル」と話そう。			冒険者は、レヴェヴァたちとともにセヴェスターからルフィンの日記を取り戻すことになった。低地ドラヴァニアのシャーレアン学士街にいる「ジャンヌキナル」と話そう。			運命を切り拓く占星術師							
ジャンヌキナルと話した。シャーレアン学士街の南にいる「レヴェヴァ」と話そう。			ジャンヌキナルと話した。シャーレアン学士街の南にいる「レヴェヴァ」と話そう。			運命を切り拓く占星術師							
レヴェヴァと話し、空を見上げた。セヴェスターからルフィンの日記を奪還するため、シャーレアン学士街にいる「レヴェヴァ」と話そう。			レヴェヴァと話し、空を見上げた。セヴェスターからルフィンの日記を奪還するため、シャーレアン学士街にいる「レヴェヴァ」と話そう。			運命を切り拓く占星術師							
ジャンヌキナルと話し、セヴェスターからルフィンの日記を取り戻した。シャーレアン学士街にいる「レヴェヴァ」と話そう。			ジャンヌキナルと話し、セヴェスターからルフィンの日記を取り戻した。シャーレアン学士街にいる「レヴェヴァ」と話そう。			運命を切り拓く占星術師							
レヴェヴァと話した。聖ガンリオル占星院の「ジャンヌキナル」と話そう。			レヴェヴァと話した。聖ガンリオル占星院の「ジャンヌキナル」と話そう。			運命を切り拓く占星術師							
ジャンヌキナルと話した。レヴェヴァは、父の名を受け継ぎ、占星術師として聖ガンリオル占星院に所属することになった。今後も占星魔法を駆使して、運命を切り開いていこう。※以下の条件を満たすと、聖ガンリオル占星院のジャンヌキナルから、新たなジョブクエストを受注することができます。1.「メインクエスト：竜詩戦争 戦後編」の、　「宿命の果て」を完了する。			ジャンヌキナルと話した。レヴェヴァは、父の名を受け継ぎ、占星術師として聖ガンリオル占星院に所属することになった。今後も占星魔法を駆使して、運命を切り開いていこう。※以下の条件を満たすと、聖ガンリオル占星院のジャンヌキナルから、新たなジョブクエストを受注することができます。1.「メインクエスト：竜詩戦争 戦後編」の、　「宿命の果て」を完了する。			運命を切り拓く占星術師							
シャーレアン学士街のジャンヌキナルと話す			シャーレアン学士街のジャンヌキナルと話す			運命を切り拓く占星術師							
レヴェヴァと話す			レヴェヴァと話す			運命を切り拓く占星術師							
再度レヴェヴァと話す			再度レヴェヴァと話す			運命を切り拓く占星術師							
さらにレヴェヴァと話す			さらにレヴェヴァと話す			運命を切り拓く占星術師							
聖ガンリオル占星院のジャンヌキナルと話す			聖ガンリオル占星院のジャンヌキナルと話す			運命を切り拓く占星術師							
司書長セヴェスターを倒せ！			司書長セヴェスターを倒せ！			運命を切り拓く占星術師							
父の日記だけは、何としても取り戻す。だが、セヴェスターに立ち向かうのは危険すぎる……。Forenameは、己の意思に従って行動してくれ。			父の日記だけは、何としても取り戻す。だが、セヴェスターに立ち向かうのは危険すぎる……。Forenameは、己の意思に従って行動してくれ。			運命を切り拓く占星術師							
ごきげんよう、Forenameさん。貴方がここを訪れたということは、レヴェヴァ師に協力する決意ができたということですね？			ごきげんよう、Forenameさん。貴方がここを訪れたということは、レヴェヴァ師に協力する決意ができたということですね？			運命を切り拓く占星術師							
Forename、協力に感謝する。ちょうど、ジャンヌキナルが情報を掴んだようだ。			Forename、協力に感謝する。ちょうど、ジャンヌキナルが情報を掴んだようだ。			運命を切り拓く占星術師							
はい……セヴェスターから、手紙が送られてきました。「哲学者議会」が、正式に追撃部隊を派遣したとのこと……。これを受け、彼も本国に帰還するそうです。			はい……セヴェスターから、手紙が送られてきました。「哲学者議会」が、正式に追撃部隊を派遣したとのこと……。これを受け、彼も本国に帰還するそうです。			運命を切り拓く占星術師							
……セヴェスターめ、乗ってきたか。父の日記に刺客の記述があってな。わしは、その部分を抜き取り、密かに保管していたのだ。			……セヴェスターめ、乗ってきたか。父の日記に刺客の記述があってな。わしは、その部分を抜き取り、密かに保管していたのだ。			運命を切り拓く占星術師							
あれは、セヴェスターの罪の証拠と成り得る。あやつは、これを察し、不利な記録を隠滅し、父上に罪を転嫁しようとしているのだろう。			あれは、セヴェスターの罪の証拠と成り得る。あやつは、これを察し、不利な記録を隠滅し、父上に罪を転嫁しようとしているのだろう。			運命を切り拓く占星術師							
セヴェスターは、確かに手ごわい……。だが対決を避けたとて、いずれ、わしも亡き者にされるだけだ。ならば、命を懸けて、父の日記を取り戻すしかない！			セヴェスターは、確かに手ごわい……。だが対決を避けたとて、いずれ、わしも亡き者にされるだけだ。ならば、命を懸けて、父の日記を取り戻すしかない！			運命を切り拓く占星術師							
……彼からの手紙には、日記の返還を求めるならば、「シャーレアン学士街」に来るように指定されておりました。まずは、行ってみるしかなさそうですね。			……彼からの手紙には、日記の返還を求めるならば、「シャーレアン学士街」に来るように指定されておりました。まずは、行ってみるしかなさそうですね。			運命を切り拓く占星術師							
……手紙には、日記の返還を求めるならば、「シャーレアン学士街」に来るように指定されておりました。まずは、行ってみるしかなさそうですね。			……手紙には、日記の返還を求めるならば、「シャーレアン学士街」に来るように指定されておりました。まずは、行ってみるしかなさそうですね。			運命を切り拓く占星術師							
ここが、父上が暮らしていたシャーレアンか……。			ここが、父上が暮らしていたシャーレアンか……。			運命を切り拓く占星術師							
ここも、昔は栄えていたんでしょうか……。			ここも、昔は栄えていたんでしょうか……。			運命を切り拓く占星術師							
留学を終えてから、初めてこの地に戻ってきました。面影はあるものの、どこもかしこも朽ち果てています……。経過した時間の重みを実感します。			留学を終えてから、初めてこの地に戻ってきました。面影はあるものの、どこもかしこも朽ち果てています……。経過した時間の重みを実感します。			運命を切り拓く占星術師							
セヴェスターが指示してきた時間まで、猶予がある。少し、父上が過ごしたこの地を見てみたい。ジャンヌキナル、案内を頼めるか？			セヴェスターが指示してきた時間まで、猶予がある。少し、父上が過ごしたこの地を見てみたい。ジャンヌキナル、案内を頼めるか？			運命を切り拓く占星術師							
でしたら、ここから少し南にいったところに、ルフィンとともに、よく星を眺めた場所があります。そちらへまいりましょう。			でしたら、ここから少し南にいったところに、ルフィンとともに、よく星を眺めた場所があります。そちらへまいりましょう。			運命を切り拓く占星術師							
このあたりでルフィンと占星術の未来について、よく議論していたものです……。			このあたりでルフィンと占星術の未来について、よく議論していたものです……。			運命を切り拓く占星術師							
これが、父上が仰ぎ見た空か……。そう思うと感慨深いものだな。			これが、父上が仰ぎ見た空か……。そう思うと感慨深いものだな。			運命を切り拓く占星術師							
父の夢を継ぎ、国是に反しなければ、命を危険にさらすこともなかっただろうが……それでも、わしは己の選択を誇らしく思う……。			父の夢を継ぎ、国是に反しなければ、命を危険にさらすこともなかっただろうが……それでも、わしは己の選択を誇らしく思う……。			運命を切り拓く占星術師							
こうして汝らと出会い、占星魔法を伝え、ともに同じ空を仰ぎ見ることができたのだからな。……わしとともに歩んでくれた汝らに、心から感謝する。			こうして汝らと出会い、占星魔法を伝え、ともに同じ空を仰ぎ見ることができたのだからな。……わしとともに歩んでくれた汝らに、心から感謝する。			運命を切り拓く占星術師							
こちらこそ、危険を顧みずイシュガルドに赴き、私たちを導いてくださったレヴェヴァ師に、心から感謝しています。			こちらこそ、危険を顧みずイシュガルドに赴き、私たちを導いてくださったレヴェヴァ師に、心から感謝しています。			運命を切り拓く占星術師							
すべては、ルフィンが切り開いた運命の結果……。そんな彼が生きた証を、必ずや取り戻しましょう。			すべては、ルフィンが切り開いた運命の結果……。そんな彼が生きた証を、必ずや取り戻しましょう。			運命を切り拓く占星術師							
ああ、「占星術師」として、運命を切り開いてみせる。……さあ、セヴェスターとの約束の地へ向かおう。			ああ、「占星術師」として、運命を切り開いてみせる。……さあ、セヴェスターとの約束の地へ向かおう。			運命を切り拓く占星術師							
必ずや、運命を切り開きます……。			必ずや、運命を切り開きます……。			運命を切り拓く占星術師							
私が「占星術師」のお三方をお守りしてみせます……！			私が「占星術師」のお三方をお守りしてみせます……！			運命を切り拓く占星術師							
セヴェスターが指定してきた時間になれば、あやつもこの場所に現れよう……。			セヴェスターが指定してきた時間になれば、あやつもこの場所に現れよう……。			運命を切り拓く占星術師							
やれやれ……。歴史に介入し、未来をひずませる咎人は、物事の流れを乱さねば気が済まぬようですね……。			やれやれ……。歴史に介入し、未来をひずませる咎人は、物事の流れを乱さねば気が済まぬようですね……。			運命を切り拓く占星術師							
レヴェヴァ……大人しく拘束されるなら、日記は返しますよ。ですが、そちらの占星魔法を半端に修めた野蛮人は、ここで消えていただきますがね。			レヴェヴァ……大人しく拘束されるなら、日記は返しますよ。ですが、そちらの占星魔法を半端に修めた野蛮人は、ここで消えていただきますがね。			運命を切り拓く占星術師							
フン……本性を現しよったか！どうせ、そのようなことだろうと思っていたぞ！			フン……本性を現しよったか！どうせ、そのようなことだろうと思っていたぞ！			運命を切り拓く占星術師							
