解放軍の将校は、冒険者を待っていたようだ。			解放軍の将校は、冒険者を待っていたようだ。			ウェポン襲来							
ガイウスと話す			ガイウスと話す			ウェポン襲来							
アラミゴ解放軍の輸送兵と話す			アラミゴ解放軍の輸送兵と話す			ウェポン襲来							
「ルビーウェポン破壊作戦」を攻略			「ルビーウェポン破壊作戦」を攻略			ウェポン襲来							
ガイウスと話す			ガイウスと話す			ウェポン襲来							
ガイウスと再度話す			ガイウスと再度話す			ウェポン襲来							
解放軍の将校に報告			解放軍の将校に報告			ウェポン襲来							
Forename殿、お待ちしておりました。			Forename殿、お待ちしておりました。			ウェポン襲来							
ラウバーン閣下より、ギムリトダークに敷かれた、エオルゼア同盟軍本陣の使用許可が出ています。			ラウバーン閣下より、ギムリトダークに敷かれた、エオルゼア同盟軍本陣の使用許可が出ています。			ウェポン襲来							
エオルゼアに向けて放たれたという対蛮神兵器の迎撃にあたり、作戦本部として利用してほしいとのことです。			エオルゼアに向けて放たれたという対蛮神兵器の迎撃にあたり、作戦本部として利用してほしいとのことです。			ウェポン襲来							
すでに、ガイウス・バエサルと彼の部下たちは、現地へと向かっています。			すでに、ガイウス・バエサルと彼の部下たちは、現地へと向かっています。			ウェポン襲来							
解放者殿も向かわれるのであれば、「アラミゴ解放軍の上級闘士」に案内を頼まれると良いでしょう。			解放者殿も向かわれるのであれば、「アラミゴ解放軍の上級闘士」に案内を頼まれると良いでしょう。			ウェポン襲来							
話は聞いております。「エオルゼア同盟軍本陣」への案内は、私にお任せください！			話は聞いております。「エオルゼア同盟軍本陣」への案内は、私にお任せください！			ウェポン襲来							
「エオルゼア同盟軍本陣」へ向かいますか？			「エオルゼア同盟軍本陣」へ向かいますか？			ウェポン襲来							
同盟軍本陣へと向かわれるのであれば、「アラミゴ解放軍の上級闘士」に案内を頼まれると良いでしょう。			同盟軍本陣へと向かわれるのであれば、「アラミゴ解放軍の上級闘士」に案内を頼まれると良いでしょう。			ウェポン襲来							
……来てくれたか、英雄よ。			……来てくれたか、英雄よ。			ウェポン襲来							
すぐにでも本題に移りたいところだが、作戦に参加するか否か判断するためにも、情報が必要だろう。まずは改めて、現状を共有させてもらいたい。			すぐにでも本題に移りたいところだが、作戦に参加するか否か判断するためにも、情報が必要だろう。まずは改めて、現状を共有させてもらいたい。			ウェポン襲来							
我らが掴んだ情報によると、凍結されていたアルテマウェポン開発計画を引き継いだのは、再編された帝国軍第VII軍団のようだ。			我らが掴んだ情報によると、凍結されていたアルテマウェポン開発計画を引き継いだのは、再編された帝国軍第VII軍団のようだ。			ウェポン襲来							
すでに複数の試作機が建造段階まで進んでおり、そのうち「ルビーウェポン」という名で呼ばれる機体が、エオルゼアに投入されんとしている。			すでに複数の試作機が建造段階まで進んでおり、そのうち「ルビーウェポン」という名で呼ばれる機体が、エオルゼアに投入されんとしている。			ウェポン襲来							
そこで、我は同志と……ここにいるセウェラとともに、稼働試験中のルビーウェポンの破壊を試みたのだが……			そこで、我は同志と……ここにいるセウェラとともに、稼働試験中のルビーウェポンの破壊を試みたのだが……			ウェポン襲来							
作戦は失敗したんだ。アルテマウェポンの装甲データを参考に、破壊に充分な爆薬を用意して、奇襲を仕掛けたんだけどね。			作戦は失敗したんだ。アルテマウェポンの装甲データを参考に、破壊に充分な爆薬を用意して、奇襲を仕掛けたんだけどね。			ウェポン襲来							
ルビーウェポンの装甲は、私たちの想定を大きく上回る性能だったんだ。			ルビーウェポンの装甲は、私たちの想定を大きく上回る性能だったんだ。			ウェポン襲来							
アルテマウェポンが有していた蛮神の力を吸収する能力、あれと同じ機構が、ルビーウェポンにも実装されているらしい。			アルテマウェポンが有していた蛮神の力を吸収する能力、あれと同じ機構が、ルビーウェポンにも実装されているらしい。			ウェポン襲来							
おそらく、属州での反乱鎮圧時に何らかの蛮神を喰らい、あの並外れた重装甲を手に入れたのだろう。姿形も原型機とは大きく異なっていた。			おそらく、属州での反乱鎮圧時に何らかの蛮神を喰らい、あの並外れた重装甲を手に入れたのだろう。姿形も原型機とは大きく異なっていた。			ウェポン襲来							
しかも、変幻自在に可変する「爪」を持っていてな。我らは反撃を受け、撤退を余儀なくされたのだ。			しかも、変幻自在に可変する「爪」を持っていてな。我らは反撃を受け、撤退を余儀なくされたのだ。			ウェポン襲来							
その際、ガイウス様は私をかばって負傷されてしまったんだ。平然としているように見えて、立っているだけでもお辛いはず……。半端者の私なんかのために……。			その際、ガイウス様は私をかばって負傷されてしまったんだ。平然としているように見えて、立っているだけでもお辛いはず……。半端者の私なんかのために……。			ウェポン襲来							
この程度の傷、案ずる必要はない。アルテマウェポン開発計画は、我が始めさせたこと……。故にこそ、我が命を賭してでも止めなければならぬ。			この程度の傷、案ずる必要はない。アルテマウェポン開発計画は、我が始めさせたこと……。故にこそ、我が命を賭してでも止めなければならぬ。			ウェポン襲来							
とはいえ、怪我人の貴方では、矢避けにもなれずに犬死にするのが関の山でしょう。			とはいえ、怪我人の貴方では、矢避けにもなれずに犬死にするのが関の山でしょう。			ウェポン襲来							
何より、敵の情報に詳しい貴方を失えば、今後に悪影響が及ぶ。ここは素直に、英雄殿に協力を仰ぐのが得策だと思いますが。			何より、敵の情報に詳しい貴方を失えば、今後に悪影響が及ぶ。ここは素直に、英雄殿に協力を仰ぐのが得策だと思いますが。			ウェポン襲来							
……この者が、ルビーウェポンを打ち倒す力を持っていることは、誰よりも、我が理解している。			……この者が、ルビーウェポンを打ち倒す力を持っていることは、誰よりも、我が理解している。			ウェポン襲来							
かつてエオルゼアを攻め、戦場で相対した我には、かような頼みをする資格など、ありはしないだろうが……うぬ……いや、貴殿の力を貸してはもらえぬだろうか。			かつてエオルゼアを攻め、戦場で相対した我には、かような頼みをする資格など、ありはしないだろうが……うぬ……いや、貴殿の力を貸してはもらえぬだろうか。			ウェポン襲来							
何と言う？			何と言う？			ウェポン襲来							
戦いなら任せろ！			戦いなら任せろ！			ウェポン襲来							
エオルゼアの危機なのであれば			エオルゼアの危機なのであれば			ウェポン襲来							
……貴殿の決断に感謝する。			……貴殿の決断に感謝する。			ウェポン襲来							
協力を了承してもらえて助かりました。先程、傍受した通信によれば、敵の進軍開始は近い様子……早急に防衛体制を整えねばならない状況なのです。			協力を了承してもらえて助かりました。先程、傍受した通信によれば、敵の進軍開始は近い様子……早急に防衛体制を整えねばならない状況なのです。			ウェポン襲来							
ギムリトダークの防衛線上で待ち構え、ルビーウェポンを迎撃しましょう！			ギムリトダークの防衛線上で待ち構え、ルビーウェポンを迎撃しましょう！			ウェポン襲来							
戦闘の準備が整い次第、「アラミゴ解放軍の輸送兵」に声をかけてください！			戦闘の準備が整い次第、「アラミゴ解放軍の輸送兵」に声をかけてください！			ウェポン襲来							
嫌な風だ……。これも我が愚かさの因果だというのか……。			嫌な風だ……。これも我が愚かさの因果だというのか……。			ウェポン襲来							
数時間前 属州都市「ウェルリト」郊外魔導兵器格納庫――			数時間前 属州都市「ウェルリト」郊外魔導兵器格納庫――			ウェポン襲来							
ルビーウェポン、発進シーケンスへ移行。格納庫に残っている整備兵は、待避してください。			ルビーウェポン、発進シーケンスへ移行。格納庫に残っている整備兵は、待避してください。			ウェポン襲来							
疑似聖石システムの起動を確認……。融合率良好……拒否反応は見られません。いつでも発進できます。			疑似聖石システムの起動を確認……。融合率良好……拒否反応は見られません。いつでも発進できます。			ウェポン襲来							
(-凜々しい女性の声-)了解。コードネーム、「ネール・ヴァン・ダーナス」……APW-III「ルビーウェポン」、出るぞ！			(-凜々しい女性の声-)了解。コードネーム、「ネール・ヴァン・ダーナス」……APW-III「ルビーウェポン」、出るぞ！			ウェポン襲来							
これまでは名乗る機会がありませんでしたね。私はヴァルドランと申します。			これまでは名乗る機会がありませんでしたね。私はヴァルドランと申します。			ウェポン襲来							
セウェラだ、よろしく頼む。まずは「ガイウス」様から話を聞いてもらいたい。			セウェラだ、よろしく頼む。まずは「ガイウス」様から話を聞いてもらいたい。			ウェポン襲来							
「エオルゼア同盟軍本陣」への案内は、私にお任せください！			「エオルゼア同盟軍本陣」への案内は、私にお任せください！			ウェポン襲来							
「エオルゼア同盟軍本陣」へ向かいますか？			「エオルゼア同盟軍本陣」へ向かいますか？			ウェポン襲来							
ヴァルドラン殿より、承っております。			ヴァルドラン殿より、承っております。			ウェポン襲来							
私が責任を持って、あなたを迎撃ポイントまでお連れいたします。			私が責任を持って、あなたを迎撃ポイントまでお連れいたします。			ウェポン襲来							
ルビーウェポンの爪は、剣のように鋭く、そして鞭のように自在に動く。思わぬ方向からの攻撃に注意すべきであろう。			ルビーウェポンの爪は、剣のように鋭く、そして鞭のように自在に動く。思わぬ方向からの攻撃に注意すべきであろう。			ウェポン襲来							
我々は、これまでアシエンを追ってきました。ルビーウェポンが吸収した未知の蛮神というのも、奴らの介在によって、召喚されたものではないでしょうか。			我々は、これまでアシエンを追ってきました。ルビーウェポンが吸収した未知の蛮神というのも、奴らの介在によって、召喚されたものではないでしょうか。			ウェポン襲来							
悔しいが、半端者の私では足手まといになるだけだ。いざという時に備え、脱出経路の確保を担当させてもらおう。			悔しいが、半端者の私では足手まといになるだけだ。いざという時に備え、脱出経路の確保を担当させてもらおう。			ウェポン襲来							
私が責任を持って、あなたを迎撃ポイントまでお連れいたします。			私が責任を持って、あなたを迎撃ポイントまでお連れいたします。			ウェポン襲来							
遠方から戦闘の様子を見ていたが、実に見事な戦いぶりであった。			遠方から戦闘の様子を見ていたが、実に見事な戦いぶりであった。			ウェポン襲来							
だが、貴殿も感じたはずだ。ルビーウェポンは、アルテマウェポンを凌ぐ性能だと……。この先、開発がさらに進めば脅威度は増し続けるだろう。			だが、貴殿も感じたはずだ。ルビーウェポンは、アルテマウェポンを凌ぐ性能だと……。この先、開発がさらに進めば脅威度は増し続けるだろう。			ウェポン襲来							
そう見越したエオルゼア同盟軍も、この手のものに詳しいあの男に、協力を要請したようだが……。			そう見越したエオルゼア同盟軍も、この手のものに詳しいあの男に、協力を要請したようだが……。			ウェポン襲来							
帝国の兵か？残骸の回収にでも来たか。			帝国の兵か？残骸の回収にでも来たか。			ウェポン襲来							
(-長身の帝国兵-)アリー、どういうつもりだ……！			(-長身の帝国兵-)アリー、どういうつもりだ……！			ウェポン襲来							
アリーだと……？			アリーだと……？			ウェポン襲来							
(-長身の帝国兵-)あなたは……義父上(ちちうえ)！？			(-長身の帝国兵-)あなたは……義父上(ちちうえ)！？			ウェポン襲来							
アルフォンス……後ろにいるのは、レックスか？			アルフォンス……後ろにいるのは、レックスか？			ウェポン襲来							
そうか……。新たなウェポンを建造し、再びエオルゼアへ侵攻せんとする、此度の帝国軍の動きには、お前たちが関与していたか。			そうか……。新たなウェポンを建造し、再びエオルゼアへ侵攻せんとする、此度の帝国軍の動きには、お前たちが関与していたか。			ウェポン襲来							
ハッ！義父上こそ、どうして、帝国の敵であるはずの英雄と、肩を並べているんだ？			ハッ！義父上こそ、どうして、帝国の敵であるはずの英雄と、肩を並べているんだ？			ウェポン襲来							
生きているって知った時から、私たちはずっと……義父上が戻ってくるのを待っていたんだよ！			生きているって知った時から、私たちはずっと……義父上が戻ってくるのを待っていたんだよ！			ウェポン襲来							
……我が帝国軍に戻ることは、二度とない。			……我が帝国軍に戻ることは、二度とない。			ウェポン襲来							
どうして……？ヴァリス帝殺害の容疑で指名手配されているから？			どうして……？ヴァリス帝殺害の容疑で指名手配されているから？			ウェポン襲来							
そんなことは何かの間違いだったって、私たちが証明してみせるよ！			そんなことは何かの間違いだったって、私たちが証明してみせるよ！			ウェポン襲来							
だって、私たちはみんな、義父上に命を救ってもらったんだから……！			だって、私たちはみんな、義父上に命を救ってもらったんだから……！			ウェポン襲来							
へえ……ウェルリトの路上で凍えそうになっているところを、ガイウス様に拾われたのか。			へえ……ウェルリトの路上で凍えそうになっているところを、ガイウス様に拾われたのか。			ウェポン襲来							
そうだ。たまたま、あの御方が通りがかっていなければ、今ごろ、僕と妹……アリーは死んでいただろう。			そうだ。たまたま、あの御方が通りがかっていなければ、今ごろ、僕と妹……アリーは死んでいただろう。			ウェポン襲来							
オレたちも似たようなもんさ。3人とも、流行病で親が死んじまって、途方に暮れている時にガイウス様と出会ったんだ。			オレたちも似たようなもんさ。3人とも、流行病で親が死んじまって、途方に暮れている時にガイウス様と出会ったんだ。			ウェポン襲来							
みんな、ガイウス様に命を救われたんだな。僕たちは、この大恩にどう報いたら良いのか……。			みんな、ガイウス様に命を救われたんだな。僕たちは、この大恩にどう報いたら良いのか……。			ウェポン襲来							
あの人は、帝国軍の軍人……アタシたちにできることと言えば、いずれ軍に入って、命がけで戦うことくらい……。			あの人は、帝国軍の軍人……アタシたちにできることと言えば、いずれ軍に入って、命がけで戦うことくらい……。			ウェポン襲来							
帝国軍、か……。			帝国軍、か……。			ウェポン襲来							
大人たちはみんな、帝国軍を怖がっているように見えるけど……。ああいうのを「アッセイ」って言うんだっけ……？			大人たちはみんな、帝国軍を怖がっているように見えるけど……。ああいうのを「アッセイ」って言うんだっけ……？			ウェポン襲来							
確かにそうだが……ガイウス様だけは、ほかのガレアン族とは違う気がするんだ。			確かにそうだが……ガイウス様だけは、ほかのガレアン族とは違う気がするんだ。			ウェポン襲来							
強者が弱者を導く先にこそ、未来がある、それが、あの御方が掲げる理念なんだとさ。実際、ガイウス様は、オレたち「弱者」を導いてくれた……。			強者が弱者を導く先にこそ、未来がある、それが、あの御方が掲げる理念なんだとさ。実際、ガイウス様は、オレたち「弱者」を導いてくれた……。			ウェポン襲来							
……よし、決めたぞ。元は拾われたこの命、あの御方のために使ってみせる。帝国軍に入り、ガイウス様をそばで支えることでな。			……よし、決めたぞ。元は拾われたこの命、あの御方のために使ってみせる。帝国軍に入り、ガイウス様をそばで支えることでな。			ウェポン襲来							
その話、オレも乗ったぜ……！路上じゃ、コソ泥にでもならない限り生きていけないもんな。だったら少しでも、強者に近づきたいってもんさ。			その話、オレも乗ったぜ……！路上じゃ、コソ泥にでもならない限り生きていけないもんな。だったら少しでも、強者に近づきたいってもんさ。			ウェポン襲来							
よし。僕たちは、同じ志を持った兄妹だ。ともに、あの御方のために戦おう。			よし。僕たちは、同じ志を持った兄妹だ。ともに、あの御方のために戦おう。			ウェポン襲来							
……ねえ、みんなが兄妹なら……ガイウスさまは、おとうさん、なの？			……ねえ、みんなが兄妹なら……ガイウスさまは、おとうさん、なの？			ウェポン襲来							
む……そういうことになる……のか？			む……そういうことになる……のか？			ウェポン襲来							
おいおい、頼むぜ！アルフォンスのアニキよぉ！			おいおい、頼むぜ！アルフォンスのアニキよぉ！			ウェポン襲来							
だけど、エオルゼアでの戦いで、義父上は行方知れずになり、私たちの運命は大きく変わってしまった……。			だけど、エオルゼアでの戦いで、義父上は行方知れずになり、私たちの運命は大きく変わってしまった……。			ウェポン襲来							
もっと早く、義父上が生きていることがわかっていたら、こんなことには……。			もっと早く、義父上が生きていることがわかっていたら、こんなことには……。			ウェポン襲来							
どういうことだ？			どういうことだ？			ウェポン襲来							
私たちは…………			私たちは…………			ウェポン襲来							
待て、アルフォンス。あの魔導兵器に乗っていたのは、何者だ？ネール・ヴァン・ダーナスが蘇ったわけではあるまい。			待て、アルフォンス。あの魔導兵器に乗っていたのは、何者だ？ネール・ヴァン・ダーナスが蘇ったわけではあるまい。			ウェポン襲来							
わかんないのか、義父上？			わかんないのか、義父上？			ウェポン襲来							
あれに乗っていたのは、ミリサンディアです。			あれに乗っていたのは、ミリサンディアです。			ウェポン襲来							
ミリサンディアが……。			ミリサンディアが……。			ウェポン襲来							
うぬらは、血の繋がりはなくとも、心で繋がった兄妹であったはず！何ゆえ、妹を犠牲にするような真似を！？			うぬらは、血の繋がりはなくとも、心で繋がった兄妹であったはず！何ゆえ、妹を犠牲にするような真似を！？			ウェポン襲来							
すべては、「ウェポン」完成のため……これ以上は、帝国軍を去った義父上には、関係のない話です。			すべては、「ウェポン」完成のため……これ以上は、帝国軍を去った義父上には、関係のない話です。			ウェポン襲来							
育てていただいたことには感謝しています……が、今のあなたは私たちにとって、もはや敵以外の何者でもない。次に戦場で出会った時は、容赦はしない。			育てていただいたことには感謝しています……が、今のあなたは私たちにとって、もはや敵以外の何者でもない。次に戦場で出会った時は、容赦はしない。			ウェポン襲来							
義妹(いもうと)が……ミリサンディアが、決死の覚悟で成し遂げようとした作戦を、ぶち壊しやがって！エオルゼアの英雄さんよ……オレは、アンタを許さねえ……！！			義妹(いもうと)が……ミリサンディアが、決死の覚悟で成し遂げようとした作戦を、ぶち壊しやがって！エオルゼアの英雄さんよ……オレは、アンタを許さねえ……！！			ウェポン襲来							
…………。			…………。			ウェポン襲来							
帝国軍が、新たな「ウェポン」を造って、エオルゼアにけしかけてきたって聞いて来てみたら、まさか、あんたがいるとはな。			帝国軍が、新たな「ウェポン」を造って、エオルゼアにけしかけてきたって聞いて来てみたら、まさか、あんたがいるとはな。			ウェポン襲来							
魔導城の戦い以来だな、ガイウス……いや、今は「影の狩人」なんて名乗っているんだったか？			魔導城の戦い以来だな、ガイウス……いや、今は「影の狩人」なんて名乗っているんだったか？			ウェポン襲来							
……あの機体、ルビーウェポンのコクピットの中には、まだ操縦者が……ミリサンディアが乗ったままのはずだ。ヴァルドランに立ち会わせる故、中を調べてくれ。			……あの機体、ルビーウェポンのコクピットの中には、まだ操縦者が……ミリサンディアが乗ったままのはずだ。ヴァルドランに立ち会わせる故、中を調べてくれ。			ウェポン襲来							
なんだか様子がおかしいな。ミリサンディアってのは、あいつの知り合いか？			なんだか様子がおかしいな。ミリサンディアってのは、あいつの知り合いか？			ウェポン襲来							
……そうか。ルビーウェポンに乗っていたのは、かつてガイウスが保護したガキのひとりだったのか。			……そうか。ルビーウェポンに乗っていたのは、かつてガイウスが保護したガキのひとりだったのか。			ウェポン襲来							
あいつは、才能ある人物を見出し、育てるのが上手かったからな。リウィアだって、ガイウスが引き取った孤児のひとりさ。			あいつは、才能ある人物を見出し、育てるのが上手かったからな。リウィアだって、ガイウスが引き取った孤児のひとりさ。			ウェポン襲来							
それに……「メテオ計劃」にのめり込んだ親父が、オレを見捨てたとき、後見人になってくれたのもガイウスだった。親父より、よほど父親らしいと思ったほどさ。			それに……「メテオ計劃」にのめり込んだ親父が、オレを見捨てたとき、後見人になってくれたのもガイウスだった。親父より、よほど父親らしいと思ったほどさ。			ウェポン襲来							
だが、実の親父は、皇帝の命令で無謀な実験を強行して、ボズヤという都市ひとつを、壊滅させる惨事を引き起こした。			だが、実の親父は、皇帝の命令で無謀な実験を強行して、ボズヤという都市ひとつを、壊滅させる惨事を引き起こした。			ウェポン襲来							
オレは、それを止めようとしたんだが……ガイウスは、侵略戦争を優先し、力を貸してはくれなかった。そして、帝国の覇権主義に不審を抱いたオレは、亡命を決意した。			オレは、それを止めようとしたんだが……ガイウスは、侵略戦争を優先し、力を貸してはくれなかった。そして、帝国の覇権主義に不審を抱いたオレは、亡命を決意した。			ウェポン襲来							
次に会った時は、張り飛ばしてやろうと思っていたが……しおらしい、あいつの顔を見たら、そんな気も失せちまった。			次に会った時は、張り飛ばしてやろうと思っていたが……しおらしい、あいつの顔を見たら、そんな気も失せちまった。			ウェポン襲来							
アシエンに踊らされた結果、大勢の部下と大義を喪ったことが、よほど堪えたのか……。今は、孤児のことで頭がいっぱいらしい。			アシエンに踊らされた結果、大勢の部下と大義を喪ったことが、よほど堪えたのか……。今は、孤児のことで頭がいっぱいらしい。			ウェポン襲来							
それなら、さっさとルビーウェポンの中を調べてやるか。お前は、ガイウスの所で待っていてくれ。			それなら、さっさとルビーウェポンの中を調べてやるか。お前は、ガイウスの所で待っていてくれ。			ウェポン襲来							
ルビーウェポンの破壊作戦、お疲れさまです。ガイウス隊長の、暗い表情が気になりますが……さて。			ルビーウェポンの破壊作戦、お疲れさまです。ガイウス隊長の、暗い表情が気になりますが……さて。			ウェポン襲来							
私とガイウス様があれだけ苦戦し、敗走するほかなかった、ルビーウェポンを破壊してみせるとは……。これが英雄と呼ばれる存在か……。			私とガイウス様があれだけ苦戦し、敗走するほかなかった、ルビーウェポンを破壊してみせるとは……。これが英雄と呼ばれる存在か……。			ウェポン襲来							
……気がかりなことは多いが、今はシドの調査が終わるのを待つしかあるまい。			……気がかりなことは多いが、今はシドの調査が終わるのを待つしかあるまい。			ウェポン襲来							
まだ調査は終わっちゃいないが気になることがあってな。先に伝えさせてくれ。			まだ調査は終わっちゃいないが気になることがあってな。先に伝えさせてくれ。			ウェポン襲来							
ルビーウェポンのコクピットを開いて、中身を確認したんだが……			ルビーウェポンのコクピットを開いて、中身を確認したんだが……			ウェポン襲来							
どうした……？すでにミリサンディアが亡くなっていたとでも？			どうした……？すでにミリサンディアが亡くなっていたとでも？			ウェポン襲来							
ああ、残念だがな……。それに……チクショウ……なんて言えばいいんだ！			ああ、残念だがな……。それに……チクショウ……なんて言えばいいんだ！			ウェポン襲来							
アレは、人の形を成しちゃいなかった！ルビーウェポンのコアと、完全に融合しちまっていたんだよ！			アレは、人の形を成しちゃいなかった！ルビーウェポンのコアと、完全に融合しちまっていたんだよ！			ウェポン襲来							
融合……だと……！？生きたまま、兵器の部品にされていたとでもいうのか？			融合……だと……！？生きたまま、兵器の部品にされていたとでもいうのか？			ウェポン襲来							
英雄殿……あらためてルビーウェポンとの戦闘の様子を、聞かせていただいても構いませんか？			英雄殿……あらためてルビーウェポンとの戦闘の様子を、聞かせていただいても構いませんか？			ウェポン襲来							
ネールを名乗る音声は、傍受していたが……なぜ、ミリサンディアが死した軍団長を名乗るのだ？			ネールを名乗る音声は、傍受していたが……なぜ、ミリサンディアが死した軍団長を名乗るのだ？			ウェポン襲来							
これは推測に過ぎないが……コアと一体化させた操縦者に対して、ネールの記憶を上書きしたのかもしれない。			これは推測に過ぎないが……コアと一体化させた操縦者に対して、ネールの記憶を上書きしたのかもしれない。			ウェポン襲来							
ネールは「白銀の凶鳥」と呼ばれたほどの猛将だ。その戦闘経験を再現できれば、そこらの兵を乗せるより、よほど戦えそうなものだろう……？			ネールは「白銀の凶鳥」と呼ばれたほどの猛将だ。その戦闘経験を再現できれば、そこらの兵を乗せるより、よほど戦えそうなものだろう……？			ウェポン襲来							
別人の戦闘経験を、操縦者に上書きするだと……そのようなことが可能なのか？			別人の戦闘経験を、操縦者に上書きするだと……そのようなことが可能なのか？			ウェポン襲来							
何と言う？			何と言う？			ウェポン襲来							
戦技を継承するソウルクリスタルについて話す			戦技を継承するソウルクリスタルについて話す			ウェポン襲来							
エスティニアンが戦った試作魔導兵器について話す			エスティニアンが戦った試作魔導兵器について話す			ウェポン襲来							
