選者殿のデブロイは、どこか気分が悪そうだ。			選者殿のデブロイは、どこか気分が悪そうだ。			激マズ完全食							
美食を愛する者として……いえ、心ある人として、教授の不味いヘルスブレッドが、そのまま採用されるのだけは阻止したい！			美食を愛する者として……いえ、心ある人として、教授の不味いヘルスブレッドが、そのまま採用されるのだけは阻止したい！			激マズ完全食							
幸い私は「消化効率の改善」を命じられているので、密かに美味しい完全食に改善しようとしているのです！			幸い私は「消化効率の改善」を命じられているので、密かに美味しい完全食に改善しようとしているのです！			激マズ完全食							
でも、栄養価を保持したまま美味しくするのは容易くありません。ましてや、私は実技の経験に乏しい学生です。理論は構築できても、技術がついていかない……。			でも、栄養価を保持したまま美味しくするのは容易くありません。ましてや、私は実技の経験に乏しい学生です。理論は構築できても、技術がついていかない……。			激マズ完全食							
そこで、あなたの[Job]としての腕を貸していただきたい！すぐに返事していただかなくても結構です。協力していただけるならば、工匠殿までお越しください。			そこで、あなたの[Job]としての腕を貸していただきたい！すぐに返事していただかなくても結構です。協力していただけるならば、工匠殿までお越しください。			激マズ完全食							
来てくださったのですね！ということは、ヘルスブレッドを美味しく改善することに、力を貸してくれるということでしょうか……！？			来てくださったのですね！ということは、ヘルスブレッドを美味しく改善することに、力を貸してくれるということでしょうか……！？			激マズ完全食							
何と言う？			何と言う？			激マズ完全食							
シャーレアンの明日を救おう！			シャーレアンの明日を救おう！			激マズ完全食							
あの不味さはありえないので……			あの不味さはありえないので……			激マズ完全食							
ありがとうございます！あなたこそ、私が待ち望んでいた同志です……！嗚呼、知神サリャクよ、この出会いに感謝いたします……！			ありがとうございます！あなたこそ、私が待ち望んでいた同志です……！嗚呼、知神サリャクよ、この出会いに感謝いたします……！			激マズ完全食							
ハッ……私としたことが、まだ、職人さんのお名前をお聞きしていませんでした。伺ってもよろしいですか？			ハッ……私としたことが、まだ、職人さんのお名前をお聞きしていませんでした。伺ってもよろしいですか？			激マズ完全食							
同志Forename……素敵な響きです！これから、どうぞよろしくお願いいたします！			同志Forename……素敵な響きです！これから、どうぞよろしくお願いいたします！			激マズ完全食							
「医学部」のシャーレアン魔法大学取引が開放されました！「デブロイ」に話しかけて、納品を開始しましょう！			「医学部」のシャーレアン魔法大学取引が開放されました！「デブロイ」に話しかけて、納品を開始しましょう！			激マズ完全食							
工匠殿のデブロイは、味の改善に意気込んでいるようだ。			工匠殿のデブロイは、味の改善に意気込んでいるようだ。			甘味がほしい							
デブロイから甘味料の製作を依頼された。「特製の甘味料」を6個製作し、工匠殿の「デブロイ」へ納品しよう。※納品は、収集価値「110」以上で可能となりますが、「220」以上で納品した場合、より多くの報酬が得られます。			デブロイから甘味料の製作を依頼された。「特製の甘味料」を6個製作し、工匠殿の「デブロイ」へ納品しよう。※納品は、収集価値「110」以上で可能となりますが、「220」以上で納品した場合、より多くの報酬が得られます。			甘味がほしい							
デブロイに「特製の甘味料」を納品した。デブロイが対策を考えている間、こちらも腕を磨いておこう。			デブロイに「特製の甘味料」を納品した。デブロイが対策を考えている間、こちらも腕を磨いておこう。			甘味がほしい							
デブロイに特製の甘味料を納品			デブロイに特製の甘味料を納品			甘味がほしい							
同志Forename！さっそくですが、協力をお願いしたいと思います。			同志Forename！さっそくですが、協力をお願いしたいと思います。			甘味がほしい							
教授が開発を進めるヘルスブレッドは、栄養を補うため、あらゆるものを練り込んだ結果、混沌とした味に……いえ、カオスを超えて、激マズに近づいていくんです！			教授が開発を進めるヘルスブレッドは、栄養を補うため、あらゆるものを練り込んだ結果、混沌とした味に……いえ、カオスを超えて、激マズに近づいていくんです！			甘味がほしい							
私の方で、栄養価を損なわない程度に素材の配合を変えて、少しはマシな試作品を作りましたが、まだ味はぼんやりしている。やはり、下味をつける必要があります。			私の方で、栄養価を損なわない程度に素材の配合を変えて、少しはマシな試作品を作りましたが、まだ味はぼんやりしている。やはり、下味をつける必要があります。			甘味がほしい							
そこで、ラヴィリンソスで生産可能な食材を使いつつ、確かな甘さを感じる、甘味料のレシピを考案してみました。もちろん糖分控え目で、栄養学的な配慮もバッチリです！			そこで、ラヴィリンソスで生産可能な食材を使いつつ、確かな甘さを感じる、甘味料のレシピを考案してみました。もちろん糖分控え目で、栄養学的な配慮もバッチリです！			甘味がほしい							
しかし、これを精製するには熟練の職人技が必要不可欠！どうか、あなたの腕で、「特製の甘味料」の製作をお願いします！			しかし、これを精製するには熟練の職人技が必要不可欠！どうか、あなたの腕で、「特製の甘味料」の製作をお願いします！			甘味がほしい							
「医学部」への納品が開始されました！依頼されたアイテムをデブロイに納品し、貢献していきましょう。			「医学部」への納品が開始されました！依頼されたアイテムをデブロイに納品し、貢献していきましょう。			甘味がほしい							
なお、依頼品の納品には一定の収集価値が必要となり、価値が高いアイテムの場合は、報酬にボーナスがつきます。まずは依頼品リストを確認してみましょう！			なお、依頼品の納品には一定の収集価値が必要となり、価値が高いアイテムの場合は、報酬にボーナスがつきます。まずは依頼品リストを確認してみましょう！			甘味がほしい							
試作品の味を調えるため、「特製の甘味料」の製作をお願いします！			試作品の味を調えるため、「特製の甘味料」の製作をお願いします！			甘味がほしい							
ありがとうございます！さすがは熟練の職人さん、これで味が調うはずです！			ありがとうございます！さすがは熟練の職人さん、これで味が調うはずです！			甘味がほしい							
どうもありがとうございます！少し味見させていただいたところ、まろやかでいてしつこくない、素晴らしい甘味でした！			どうもありがとうございます！少し味見させていただいたところ、まろやかでいてしつこくない、素晴らしい甘味でした！			甘味がほしい							
依頼品を納品したことで、デブロイはあなたの貢献を実感し始めました。			依頼品を納品したことで、デブロイはあなたの貢献を実感し始めました。			甘味がほしい							
今後も積極的に依頼品の納品を行い、貢献度を蓄積させていきましょう！			今後も積極的に依頼品の納品を行い、貢献度を蓄積させていきましょう！			甘味がほしい							
納品、ありがとうございました！さっそく、製作していただいた特製の甘味料を添加して、試作品二号を焼き上げてみました！			納品、ありがとうございました！さっそく、製作していただいた特製の甘味料を添加して、試作品二号を焼き上げてみました！			甘味がほしい							
肝心なのは美味しいか否か……ということで、ラストスタンドのお客さんに試食してもらいました！			肝心なのは美味しいか否か……ということで、ラストスタンドのお客さんに試食してもらいました！			甘味がほしい							
結果……皆さん、まずまずの味だと評価してくれたんです！私も食べてみましたが、ぼんやりした味が甘味によって調えられ、信じられないくらい改善されていました！			結果……皆さん、まずまずの味だと評価してくれたんです！私も食べてみましたが、ぼんやりした味が甘味によって調えられ、信じられないくらい改善されていました！			甘味がほしい							
それでいて、糖分も抑えられていましたから、完全食としての栄養バランスも崩れていません！			それでいて、糖分も抑えられていましたから、完全食としての栄養バランスも崩れていません！			甘味がほしい							
そして、今日は舌の肥えた常連さんがお店にいらっしゃるので、一緒に試作品二号の感想を伺いに行きましょう！			そして、今日は舌の肥えた常連さんがお店にいらっしゃるので、一緒に試作品二号の感想を伺いに行きましょう！			甘味がほしい							
あの……試食していただいたパンですが……いかがでしたか？			あの……試食していただいたパンですが……いかがでしたか？			甘味がほしい							
(-上品な老人-)悪くなかったよ……。			(-上品な老人-)悪くなかったよ……。			甘味がほしい							
(-上品な老人-)とにかく味は及第点と言えるでしょう。ただし、食感には、まだ課題が残っているようです。			(-上品な老人-)とにかく味は及第点と言えるでしょう。ただし、食感には、まだ課題が残っているようです。			甘味がほしい							
食感……ですか……。			食感……ですか……。			甘味がほしい							
(-上品な老人-)試食用にいただいた、小さな切れ端であれば問題ありません。しかし、これを1枚、2枚と食べていくことを考えると、食感のパサつきが気になるはずですよ。			(-上品な老人-)試食用にいただいた、小さな切れ端であれば問題ありません。しかし、これを1枚、2枚と食べていくことを考えると、食感のパサつきが気になるはずですよ。			甘味がほしい							
なるほど……貴重なご意見を、ありがとうございます！参考にして改善してみますね！			なるほど……貴重なご意見を、ありがとうございます！参考にして改善してみますね！			甘味がほしい							
うう……盲点でした。味の改善ばかりに気を取られて、食感がおろそかになるなんて……。			うう……盲点でした。味の改善ばかりに気を取られて、食感がおろそかになるなんて……。			甘味がほしい							
おそらく、甘味料を加えたことで、生地に何らかの変化があったんだと思います……。やはり、一筋縄にはいきませんね。			おそらく、甘味料を加えたことで、生地に何らかの変化があったんだと思います……。やはり、一筋縄にはいきませんね。			甘味がほしい							
次なる課題は、食感の改善です。私の方で対策を考えておくので、またのご協力をお願いします！			次なる課題は、食感の改善です。私の方で対策を考えておくので、またのご協力をお願いします！			甘味がほしい							
医学部の貢献ランクが上昇しました！デブロイはあなたの事を、「頼りになる職人さん」と感じているようです！			医学部の貢献ランクが上昇しました！デブロイはあなたの事を、「頼りになる職人さん」と感じているようです！			甘味がほしい							
次のクエストは、「錬金術師／調理師」のいずれかがレベル83以上になると、工匠殿の「デブロイ」から受注可能です。			次のクエストは、「錬金術師／調理師」のいずれかがレベル83以上になると、工匠殿の「デブロイ」から受注可能です。			甘味がほしい							
工匠殿のデブロイは、食感の改善対策を思いついたようだ。			工匠殿のデブロイは、食感の改善対策を思いついたようだ。			食感も大事							
デブロイから酵母の製作を依頼された。「特製の酵母」を6個製作し、工匠殿の「デブロイ」へ納品しよう。※納品は、収集価値「140」以上で可能となりますが、「290」以上で納品した場合、より多くの報酬が得られます。			デブロイから酵母の製作を依頼された。「特製の酵母」を6個製作し、工匠殿の「デブロイ」へ納品しよう。※納品は、収集価値「140」以上で可能となりますが、「290」以上で納品した場合、より多くの報酬が得られます。			食感も大事							
デブロイに「特製の酵母」を納品した。デブロイが改善策を考えている間、こちらも腕を磨いておこう。			デブロイに「特製の酵母」を納品した。デブロイが改善策を考えている間、こちらも腕を磨いておこう。			食感も大事							
デブロイに特製の酵母を納品			デブロイに特製の酵母を納品			食感も大事							
お待ちしていました、同志Forename！			お待ちしていました、同志Forename！			食感も大事							
あれから、食感についていろいろと調べてみたんですが……わかりましたよ、パサつきの原因が！			あれから、食感についていろいろと調べてみたんですが……わかりましたよ、パサつきの原因が！			食感も大事							
答えは酵母にあったんです。甘味料によって糖分が加わったことで、酵母の働きが弱まり、生地が発酵不足になっていたみたいなんです。			答えは酵母にあったんです。甘味料によって糖分が加わったことで、酵母の働きが弱まり、生地が発酵不足になっていたみたいなんです。			食感も大事							
つまりは、加糖生地に最適な酵母ならば、しっとりした本来の食感が戻ってくるはず！			つまりは、加糖生地に最適な酵母ならば、しっとりした本来の食感が戻ってくるはず！			食感も大事							
ですが、私が酵母を起こしてみたところ、今度は働きが強すぎて、栄養素まで分解されてしまいました。酵母の開発には繊細な腕が必要なようです。			ですが、私が酵母を起こしてみたところ、今度は働きが強すぎて、栄養素まで分解されてしまいました。酵母の開発には繊細な腕が必要なようです。			食感も大事							
今回も、あなたの力を貸していただきたい。どうか「特製の酵母」の開発をお願いします！			今回も、あなたの力を貸していただきたい。どうか「特製の酵母」の開発をお願いします！			食感も大事							
生地の発酵具合を改善し、試作品の食感をよくするため、「特製の酵母」の開発をお願いします！			生地の発酵具合を改善し、試作品の食感をよくするため、「特製の酵母」の開発をお願いします！			食感も大事							
どうもありがとうございます！この酵母なら加糖生地でも、しっかり働いてくれるでしょう！			どうもありがとうございます！この酵母なら加糖生地でも、しっかり働いてくれるでしょう！			食感も大事							
なんと元気な酵母でしょう！私にはわかります、これはひと味違う一級品！きっと最高の食感を生み出してくれるはず……感謝します！			なんと元気な酵母でしょう！私にはわかります、これはひと味違う一級品！きっと最高の食感を生み出してくれるはず……感謝します！			食感も大事							
納品に、感謝いたします！頂いた特製の酵母を使った試作品三号ですが、思ったとおり、しっとりとした食感になりました！			納品に、感謝いたします！頂いた特製の酵母を使った試作品三号ですが、思ったとおり、しっとりとした食感になりました！			食感も大事							
課題となっていた栄養素の分解も見られず、完全食としても、しっかり機能しています。			課題となっていた栄養素の分解も見られず、完全食としても、しっかり機能しています。			食感も大事							
ラストスタンドのお客さんにも評判がよくて、あの常連のお客さんも、太鼓判を押してくれたんですよ！			ラストスタンドのお客さんにも評判がよくて、あの常連のお客さんも、太鼓判を押してくれたんですよ！			食感も大事							
そして、ここらで、私の知る限り、シャーレアン随一の美食家から意見を伺いたい。			そして、ここらで、私の知る限り、シャーレアン随一の美食家から意見を伺いたい。			食感も大事							
それは、ラストスタンドの店主「ディコン」さんです。彼は私に美食の何たるかを教えてくれた恩師でもあります。一緒にラストスタンドへ向かいましょう。			それは、ラストスタンドの店主「ディコン」さんです。彼は私に美食の何たるかを教えてくれた恩師でもあります。一緒にラストスタンドへ向かいましょう。			食感も大事							
店長、試作品第三号の味はどうでしたか……？			店長、試作品第三号の味はどうでしたか……？			食感も大事							
ま、及第点ってところだ……。			ま、及第点ってところだ……。			食感も大事							
それにしても、あのクソ不味いヘルスブレッドを、よくぞここまで改善したもんだ。きっと、助っ人の力が、デカかったんだろうな。			それにしても、あのクソ不味いヘルスブレッドを、よくぞここまで改善したもんだ。きっと、助っ人の力が、デカかったんだろうな。			食感も大事							
何と言う？			何と言う？			食感も大事							
デブロイの努力あればこそだ……！			デブロイの努力あればこそだ……！			食感も大事							
あの味は耐え難かったので死力を尽くした！			あの味は耐え難かったので死力を尽くした！			食感も大事							
そ、そんな……私だけでは絶対に無理でしたよ！同志Forenameがいなければ、机上の空論で終わっていたはずですから！			そ、そんな……私だけでは絶対に無理でしたよ！同志Forenameがいなければ、机上の空論で終わっていたはずですから！			食感も大事							
うぅ……さすが同志Forename……志を同じくしたあなたの存在が、これほど頼もしいとは……！激マズ滅ぶべし……！			うぅ……さすが同志Forename……志を同じくしたあなたの存在が、これほど頼もしいとは……！激マズ滅ぶべし……！			食感も大事							
だが、まだ問題もある。味も食感も悪くないが……香りが足りない。食欲をそそり、風味をよくする芳しさが欲しいところだ。			だが、まだ問題もある。味も食感も悪くないが……香りが足りない。食欲をそそり、風味をよくする芳しさが欲しいところだ。			食感も大事							
なるほど……香りですか……。			なるほど……香りですか……。			食感も大事							
まだまだ美食の道には、目指すべき高みがあるということですね！わかりました、ここまで来たら店長から満点をもらえるよう、より改善してみせますッ！			まだまだ美食の道には、目指すべき高みがあるということですね！わかりました、ここまで来たら店長から満点をもらえるよう、より改善してみせますッ！			食感も大事							
お前さんを見ていると思い出すよ。このラストスタンドの設立者、「メルヴィン」さんをな。彼はシャーレアンに美食を広めることに命をかけていた。			お前さんを見ていると思い出すよ。このラストスタンドの設立者、「メルヴィン」さんをな。彼はシャーレアンに美食を広めることに命をかけていた。			食感も大事							
志半ばにして亡くなり、俺が店を継いだが、まだまだこの国では、美食がないがしろにされがちだ。			志半ばにして亡くなり、俺が店を継いだが、まだまだこの国では、美食がないがしろにされがちだ。			食感も大事							
さらには、栄養学のお偉いさんが、クソ不味いヘルスブレッドとやらを、完全食と言い出す始末……。味を捨てながら「完全」とは片腹痛いわ！			さらには、栄養学のお偉いさんが、クソ不味いヘルスブレッドとやらを、完全食と言い出す始末……。味を捨てながら「完全」とは片腹痛いわ！			食感も大事							
いいか、ラストスタンドは、シャーレアン食文化にとっての「最後の砦」なんだ！			いいか、ラストスタンドは、シャーレアン食文化にとっての「最後の砦」なんだ！			食感も大事							
その名に込められたメルヴィンさんの想いに共感してくれるなら、どうかふたりとも……頼んだぜ！			その名に込められたメルヴィンさんの想いに共感してくれるなら、どうかふたりとも……頼んだぜ！			食感も大事							
店長に背中を押され、身が引き締まる思いです。試作品をさらに美味しく改善しましょう！			店長に背中を押され、身が引き締まる思いです。試作品をさらに美味しく改善しましょう！			食感も大事							
さて、次に取り組むべきは、香り付けです。改善策を考えてみますので、また折を見て訪ねてきてくださいね！			さて、次に取り組むべきは、香り付けです。改善策を考えてみますので、また折を見て訪ねてきてくださいね！			食感も大事							
医学部の貢献ランクが上昇しました！デブロイはあなたの事を、「不可欠な職人さん」と感じているようです！			医学部の貢献ランクが上昇しました！デブロイはあなたの事を、「不可欠な職人さん」と感じているようです！			食感も大事							
次のクエストは、「錬金術師／調理師」のいずれかがレベル85以上になると、工匠殿の「デブロイ」から受注可能です。			次のクエストは、「錬金術師／調理師」のいずれかがレベル85以上になると、工匠殿の「デブロイ」から受注可能です。			食感も大事							
工匠殿のデブロイは、香りの改善策をひらめいたようだ。			工匠殿のデブロイは、香りの改善策をひらめいたようだ。			香りこそ命							
