ラストスタンドのグ・ラハ・ティアは、冒険者の返事が気になるようだ。			ラストスタンドのグ・ラハ・ティアは、冒険者の返事が気になるようだ。			明日への一歩							
さて、と……。いろいろ話してもらったおかげで、ウクラマトが抱える事情については把握できたように思う。			さて、と……。いろいろ話してもらったおかげで、ウクラマトが抱える事情については把握できたように思う。			明日への一歩							
けど、せっかく考える猶予をもらったんだ。トラル大陸に対して理解を深めるために、ヌーメノン大書院で本を読んでみるのはどうだ？			けど、せっかく考える猶予をもらったんだ。トラル大陸に対して理解を深めるために、ヌーメノン大書院で本を読んでみるのはどうだ？			明日への一歩							
何と言う？			何と言う？			明日への一歩							
今は少しでも情報がほしい			今は少しでも情報がほしい			明日への一歩							
眠くなりそう……			眠くなりそう……			明日への一歩							
だな！目的地も「継承の儀」も、易々と乗り出せるものじゃない。調べておいて損はないはずだ。			だな！目的地も「継承の儀」も、易々と乗り出せるものじゃない。調べておいて損はないはずだ。			明日への一歩							
大丈夫、謎に包まれたトラル大陸に関する本なんだぞ？ワクワクして、眠気なんか吹き飛ぶさ！			大丈夫、謎に包まれたトラル大陸に関する本なんだぞ？ワクワクして、眠気なんか吹き飛ぶさ！			明日への一歩							
善は急げ、「ヌーメノン大書院」で調べ物をしよう！			善は急げ、「ヌーメノン大書院」で調べ物をしよう！			明日への一歩							
歴史、地理、文化、動植物……一般書架で閲覧できる本だけでも、初めて触れる知識が見つかるはずだ。			歴史、地理、文化、動植物……一般書架で閲覧できる本だけでも、初めて触れる知識が見つかるはずだ。			明日への一歩							
(-『おいしい野菜料理』-)あなたはトラル大陸という場所をご存じだろうか？三大州では俗に新大陸とも呼ばれる、遥か西方の大地である。			(-『おいしい野菜料理』-)あなたはトラル大陸という場所をご存じだろうか？三大州では俗に新大陸とも呼ばれる、遥か西方の大地である。			明日への一歩							
(-『おいしい野菜料理』-)今では当たり前のように食卓に並ぶ、ポポトやオーガパンプキン、ルビートマトなどは、かの地から運ばれてきたものだ。			(-『おいしい野菜料理』-)今では当たり前のように食卓に並ぶ、ポポトやオーガパンプキン、ルビートマトなどは、かの地から運ばれてきたものだ。			明日への一歩							
(-『おいしい野菜料理』-)第六星暦1498年のこと……。リムサ・ロミンサの冒険家「ケテンラム」が、長い航海の末に蒼茫洋を突破、未知の大陸に到達した。			(-『おいしい野菜料理』-)第六星暦1498年のこと……。リムサ・ロミンサの冒険家「ケテンラム」が、長い航海の末に蒼茫洋を突破、未知の大陸に到達した。			明日への一歩							
(-『おいしい野菜料理』-)上陸した彼は、数か月に渡り内陸部の探検を行い、土着の植物の種子や果実を、エオルゼアへと持ち帰った。			(-『おいしい野菜料理』-)上陸した彼は、数か月に渡り内陸部の探検を行い、土着の植物の種子や果実を、エオルゼアへと持ち帰った。			明日への一歩							
(-『おいしい野菜料理』-)特にポポトは、その栽培の容易さや栄養価の高さから、瞬く間に各地へと広まっていったのである。			(-『おいしい野菜料理』-)特にポポトは、その栽培の容易さや栄養価の高さから、瞬く間に各地へと広まっていったのである。			明日への一歩							
(-『おいしい野菜料理』-)余談だが、ケテンラムはマムージャ族の都、マムークを訪ねた際、「連王」と呼ばれる双頭の王に謁見し、親密になったらしい。事実、彼は以後何度となくトラル大陸を訪れているのだ。			(-『おいしい野菜料理』-)余談だが、ケテンラムはマムージャ族の都、マムークを訪ねた際、「連王」と呼ばれる双頭の王に謁見し、親密になったらしい。事実、彼は以後何度となくトラル大陸を訪れているのだ。			明日への一歩							
(-『おいしい野菜料理』-)そして、エオルゼアに野菜のみならず多くの知識をもたらした。豆たっぷりのブリトーのレシピから、伝承の数々まで……あの「黄金郷」の名を巷間に流布させたのも彼の功績である。			(-『おいしい野菜料理』-)そして、エオルゼアに野菜のみならず多くの知識をもたらした。豆たっぷりのブリトーのレシピから、伝承の数々まで……あの「黄金郷」の名を巷間に流布させたのも彼の功績である。			明日への一歩							
(-『おいしい野菜料理』-)ケテンラムの生涯に触れた者でなければ、まだまだ縁遠い存在であるトラル大陸……。そこにいかなる食文化が根付いているのか、興味が尽きない。			(-『おいしい野菜料理』-)ケテンラムの生涯に触れた者でなければ、まだまだ縁遠い存在であるトラル大陸……。そこにいかなる食文化が根付いているのか、興味が尽きない。			明日への一歩							
(-『トラル大陸博物誌』-)ところ変われば、棲まう生き物も変わるもの。それはトラル大陸とて例外ではなく、いくつかの種については、エオルゼアにも運び込まれている。			(-『トラル大陸博物誌』-)ところ変われば、棲まう生き物も変わるもの。それはトラル大陸とて例外ではなく、いくつかの種については、エオルゼアにも運び込まれている。			明日への一歩							
(-『トラル大陸博物誌』-)一方、未だ我々が目にしたことすらない種も少なくない。本書では、そうした新種の生物たちについても、船乗りや冒険家の証言から紹介していこう。			(-『トラル大陸博物誌』-)一方、未だ我々が目にしたことすらない種も少なくない。本書では、そうした新種の生物たちについても、船乗りや冒険家の証言から紹介していこう。			明日への一歩							
(-『トラル大陸博物誌』-)『アルパカ』峻厳なる山の尾根に棲む百獣綱の四脚獣。主に山岳部において、家畜として飼育されている。			(-『トラル大陸博物誌』-)『アルパカ』峻厳なる山の尾根に棲む百獣綱の四脚獣。主に山岳部において、家畜として飼育されている。			明日への一歩							
(-『トラル大陸博物誌』-)その純白な毛から織物が作られるほか、強靭な足腰を活かして、駄獣や騎獣としても利用されるらしい。			(-『トラル大陸博物誌』-)その純白な毛から織物が作られるほか、強靭な足腰を活かして、駄獣や騎獣としても利用されるらしい。			明日への一歩							
(-『トラル大陸博物誌』-)『ウィヴル』密林地帯に生息する甲鱗綱の四脚獣。獰猛な種だが、マムージャ族が家畜化しているという。			(-『トラル大陸博物誌』-)『ウィヴル』密林地帯に生息する甲鱗綱の四脚獣。獰猛な種だが、マムージャ族が家畜化しているという。			明日への一歩							
(-『トラル大陸博物誌』-)駄獣や騎獣としてはもちろん、強烈な突進力と大きな角を活かし、攻城兵器としても用いられる。			(-『トラル大陸博物誌』-)駄獣や騎獣としてはもちろん、強烈な突進力と大きな角を活かし、攻城兵器としても用いられる。			明日への一歩							
(-『トラル大陸博物誌』-)『ヴァリガルマンダ』トラル大陸の伝承にて語られる最強の幻獣。大いなる自然の象徴とも伝えられるが、実在は疑わしい。			(-『トラル大陸博物誌』-)『ヴァリガルマンダ』トラル大陸の伝承にて語られる最強の幻獣。大いなる自然の象徴とも伝えられるが、実在は疑わしい。			明日への一歩							
(-『惑星ハイデリン地政学概論』-)イルサバード大陸、オサード小大陸、そしてアルデナード小大陸。それら三大州は東西に長く連なっており、すべてが惑星ハイデリンの北半球に位置している。			(-『惑星ハイデリン地政学概論』-)イルサバード大陸、オサード小大陸、そしてアルデナード小大陸。それら三大州は東西に長く連なっており、すべてが惑星ハイデリンの北半球に位置している。			明日への一歩							
(-『惑星ハイデリン地政学概論』-)一方、西方のトラル大陸は南北に長い大陸であり、北半球と南半球にまたがっているのだ。			(-『惑星ハイデリン地政学概論』-)一方、西方のトラル大陸は南北に長い大陸であり、北半球と南半球にまたがっているのだ。			明日への一歩							
(-『惑星ハイデリン地政学概論』-)人も、植物も、動物も、総じて気温差が少ない東西の移動には順応し易いが、気温差の激しい南北の移動は、苦にする傾向がある。			(-『惑星ハイデリン地政学概論』-)人も、植物も、動物も、総じて気温差が少ない東西の移動には順応し易いが、気温差の激しい南北の移動は、苦にする傾向がある。			明日への一歩							
(-『惑星ハイデリン地政学概論』-)たとえば三大州では、アルデナード小大陸で興った、アラグ帝国が東進して、統一を成し遂げた。近年のガレマール帝国の動きも、これと近しい。			(-『惑星ハイデリン地政学概論』-)たとえば三大州では、アルデナード小大陸で興った、アラグ帝国が東進して、統一を成し遂げた。近年のガレマール帝国の動きも、これと近しい。			明日への一歩							
(-『惑星ハイデリン地政学概論』-)一方、トラル大陸では各地の諸部族が、近隣の勢力と小競り合いを繰り返しはしたが、南北を統一する動きは、長らく実現してこなかったようだ。			(-『惑星ハイデリン地政学概論』-)一方、トラル大陸では各地の諸部族が、近隣の勢力と小競り合いを繰り返しはしたが、南北を統一する動きは、長らく実現してこなかったようだ。			明日への一歩							
(-『惑星ハイデリン地政学概論』-)極地の民は寒さに強くとも、灼熱の荒野を越えられず、温帯の民は人口を増やしても、密林の戦いで敗れ去る。南北の気候差が勢力拡大を阻んできたのだ。			(-『惑星ハイデリン地政学概論』-)極地の民は寒さに強くとも、灼熱の荒野を越えられず、温帯の民は人口を増やしても、密林の戦いで敗れ去る。南北の気候差が勢力拡大を阻んできたのだ。			明日への一歩							
(-『惑星ハイデリン地政学概論』-)マムージャ族の連王による、トラル大陸統一は、こうした意味においても偉業と言えよう。			(-『惑星ハイデリン地政学概論』-)マムージャ族の連王による、トラル大陸統一は、こうした意味においても偉業と言えよう。			明日への一歩							
(-『青魔法概論』-)青魔法とは、遥かなるトラル大陸……そこに住む少数部族「ワラキ族」の魔法を起源にもつ。			(-『青魔法概論』-)青魔法とは、遥かなるトラル大陸……そこに住む少数部族「ワラキ族」の魔法を起源にもつ。			明日への一歩							
(-『青魔法概論』-)あらゆる自然を崇拝していた彼らは、信仰対象に近づくため、獣や魔物が用いる魔法を己がものとする術を編み出した。これを私は、ラーニングと命名した。			(-『青魔法概論』-)あらゆる自然を崇拝していた彼らは、信仰対象に近づくため、獣や魔物が用いる魔法を己がものとする術を編み出した。これを私は、ラーニングと命名した。			明日への一歩							
(-『青魔法概論』-)私は彼らからその秘技を学ぶため集落に逗留し、共通語を教えることを交換条件に、シャーマンに指導を請うた。それは思い出すもつらく厳しい、修行の日々であった……。			(-『青魔法概論』-)私は彼らからその秘技を学ぶため集落に逗留し、共通語を教えることを交換条件に、シャーマンに指導を請うた。それは思い出すもつらく厳しい、修行の日々であった……。			明日への一歩							
(-『青魔法概論』-)滞在中、彼らの聖地「青の谷」を訪れる光栄にも浴せた。その名のとおり、地下から染み出した青燐水の影響で、谷全体が群青で染められた美しい場所だ。			(-『青魔法概論』-)滞在中、彼らの聖地「青の谷」を訪れる光栄にも浴せた。その名のとおり、地下から染み出した青燐水の影響で、谷全体が群青で染められた美しい場所だ。			明日への一歩							
(-『青魔法概論』-)やがて、私はラーニングを身につけ、魔物たちの魔法を己がものとすることに成功。以て、このまったく新しい魔法体系を青魔法と名付けた。			(-『青魔法概論』-)やがて、私はラーニングを身につけ、魔物たちの魔法を己がものとすることに成功。以て、このまったく新しい魔法体系を青魔法と名付けた。			明日への一歩							
(-『青魔法概論』-)諸君はもうお気づきのことであろう。ワラキ族にとって神聖とされる色、すなわち青！それが青魔法の名の由来である。			(-『青魔法概論』-)諸君はもうお気づきのことであろう。ワラキ族にとって神聖とされる色、すなわち青！それが青魔法の名の由来である。			明日への一歩							
ヌーメノン大書院に所蔵されている、トラル大陸に関する本を、いくつか読んでみた。グ・ラハ・ティアと合流しよう。			ヌーメノン大書院に所蔵されている、トラル大陸に関する本を、いくつか読んでみた。グ・ラハ・ティアと合流しよう。			明日への一歩							
また、本を再度読みたくなったときは、大書院の受付にいる、「レファレンス用の魔法人形」に声をかけてみるといいだろう。			また、本を再度読みたくなったときは、大書院の受付にいる、「レファレンス用の魔法人形」に声をかけてみるといいだろう。			明日への一歩							
いろんな書棚を回ってきたみたいだな。それなら、たくさん情報が集まったんじゃないか？			いろんな書棚を回ってきたみたいだな。それなら、たくさん情報が集まったんじゃないか？			明日への一歩							
1冊まるまるトラル大陸って本はなくとも、注意深く探せば、いくつかの記述は見つかったはずだ。			1冊まるまるトラル大陸って本はなくとも、注意深く探せば、いくつかの記述は見つかったはずだ。			明日への一歩							
……っと、ここで話しこむと魔法人形に怒られそうだから、東屋の方に行って情報を整理しよう。			……っと、ここで話しこむと魔法人形に怒られそうだから、東屋の方に行って情報を整理しよう。			明日への一歩							
さて……まずは、あんたの率直な感想を聞いてみたいな。			さて……まずは、あんたの率直な感想を聞いてみたいな。			明日への一歩							
『おいしい野菜料理』って本、あんたも読んでただろ？料理書の中にトラル大陸の情報が見つかるなんて、嬉しいサプライズだよな。			『おいしい野菜料理』って本、あんたも読んでただろ？料理書の中にトラル大陸の情報が見つかるなんて、嬉しいサプライズだよな。			明日への一歩							
その本には、かの地に関する話がいくつか載ってたが……あんたが興味をもったのは、どの部分だ？			その本には、かの地に関する話がいくつか載ってたが……あんたが興味をもったのは、どの部分だ？			明日への一歩							
何と言う？			何と言う？			明日への一歩							
「ケテンラム」について			「ケテンラム」について			明日への一歩							
「ポポト」について			「ポポト」について			明日への一歩							
「黄金郷」について			「黄金郷」について			明日への一歩							
リムサ・ロミンサ出身の冒険家、ケテンラムか！未知の西方航路を踏破した偉大な先人だな。			リムサ・ロミンサ出身の冒険家、ケテンラムか！未知の西方航路を踏破した偉大な先人だな。			明日への一歩							
その冒険は海だけに留まらず、内陸部の各地にまで及んだという。もしかしたら、トラル各地にその足跡が残ってるかもな。			その冒険は海だけに留まらず、内陸部の各地にまで及んだという。もしかしたら、トラル各地にその足跡が残ってるかもな。			明日への一歩							
連王と親交を結んだようだし、ケテンラム本人に会えたら、直接詳しいことが聞けたんだが。彼の冒険は80年ほど前のこと、存命してるかさえ怪しいか……。			連王と親交を結んだようだし、ケテンラム本人に会えたら、直接詳しいことが聞けたんだが。彼の冒険は80年ほど前のこと、存命してるかさえ怪しいか……。			明日への一歩							
だよな。たらふく肉を食べたばかりだが、食の名物って妙に目を引くっていうか……。			だよな。たらふく肉を食べたばかりだが、食の名物って妙に目を引くっていうか……。			明日への一歩							
ポポトは保存性に優れるから、長い航海でも重宝されたらしい。そういう種だったからこそ、エオルゼアに持ち込めたんだ。			ポポトは保存性に優れるから、長い航海でも重宝されたらしい。そういう種だったからこそ、エオルゼアに持ち込めたんだ。			明日への一歩							
高地では独特の保存方法で凍結乾燥させたものを、煮込んでスープにするって書いてあった。トラル大陸には、そういう郷土料理がたくさんあるんだろうな。			高地では独特の保存方法で凍結乾燥させたものを、煮込んでスープにするって書いてあった。トラル大陸には、そういう郷土料理がたくさんあるんだろうな。			明日への一歩							
やっぱりそれか。すべてが眩い黄金で作られているという幻の都市！			やっぱりそれか。すべてが眩い黄金で作られているという幻の都市！			明日への一歩							
どこにあるのかもわからず、誰も辿りついたことがない。なのに存在だけがまことしやかに囁かれてるだなんて、最高に謎めいた場所だよ。			どこにあるのかもわからず、誰も辿りついたことがない。なのに存在だけがまことしやかに囁かれてるだなんて、最高に謎めいた場所だよ。			明日への一歩							
多くの人間が黄金郷を見つけようと旅に出て、そして帰らなかったという。「継承の儀」にふさわしい難題といえるだろうな。			多くの人間が黄金郷を見つけようと旅に出て、そして帰らなかったという。「継承の儀」にふさわしい難題といえるだろうな。			明日への一歩							
あとは……トラル大陸には特徴的な獣もいるとか。あんたは、どの獣に会ってみたい？			あとは……トラル大陸には特徴的な獣もいるとか。あんたは、どの獣に会ってみたい？			明日への一歩							
何と言う？			何と言う？			明日への一歩							
アルパカ			アルパカ			明日への一歩							
ウィヴル			ウィヴル			明日への一歩							
ヴァリガルマンダ			ヴァリガルマンダ			明日への一歩							
ああ、あっちじゃよく見かける動物らしいな。荷運びに役立ったり、白い体毛を加工して衣服にしたり……。			ああ、あっちじゃよく見かける動物らしいな。荷運びに役立ったり、白い体毛を加工して衣服にしたり……。			明日への一歩							
高山に暮らす部族にとっては、大事な友でありながら、ある種、神聖な存在でもあるんだとか。			高山に暮らす部族にとっては、大事な友でありながら、ある種、神聖な存在でもあるんだとか。			明日への一歩							
ああ、マムージャ族が飼育してるって奴だろ？城攻めにも使うと書いてあったな。			ああ、マムージャ族が飼育してるって奴だろ？城攻めにも使うと書いてあったな。			明日への一歩							
リムサ・ロミンサに渡ってきたマムージャ族の傭兵が、そんな獣を持ち込んだと聞いたことがある。バイルブランド島でも、見ることができるかもな。			リムサ・ロミンサに渡ってきたマムージャ族の傭兵が、そんな獣を持ち込んだと聞いたことがある。バイルブランド島でも、見ることができるかもな。			明日への一歩							
それ、会ってみたいじゃなくて、戦ってみたいって話じゃないか……？			それ、会ってみたいじゃなくて、戦ってみたいって話じゃないか……？			明日への一歩							
ヴァリガルマンダについては、書の記述がはっきりしないんだ。曰く、天空を翔る怪鳥だとか、強靭な鱗を持つ翼竜だとか……ぜひとも、この目で拝んでみたいものだよ。			ヴァリガルマンダについては、書の記述がはっきりしないんだ。曰く、天空を翔る怪鳥だとか、強靭な鱗を持つ翼竜だとか……ぜひとも、この目で拝んでみたいものだよ。			明日への一歩							
あら？知った声がすると思ったら……Forenameとラハじゃない。			あら？知った声がすると思ったら……Forenameとラハじゃない。			明日への一歩							
こんなところで会うなんて、奇遇ね。			こんなところで会うなんて、奇遇ね。			明日への一歩							
アリゼーにアルフィノ。もしかして、ふたりも大書院に調べ物か？			アリゼーにアルフィノ。もしかして、ふたりも大書院に調べ物か？			明日への一歩							
ああ、この「休み」を利用して、ガレマルドの人々の今後を考えていてね。			ああ、この「休み」を利用して、ガレマルドの人々の今後を考えていてね。			明日への一歩							
ラザハンとの通商条約が交わされたことを皮切りに、彼らはいくつもの国と関わりあっていくことになるだろう。その中には、元属州も含まれる。			ラザハンとの通商条約が交わされたことを皮切りに、彼らはいくつもの国と関わりあっていくことになるだろう。その中には、元属州も含まれる。			明日への一歩							
それで、種族や主義主張が異なる国家との付き合い方について、なにか参考になる実例がないか、歴史書を紐解こうと思ったんだ。			それで、種族や主義主張が異なる国家との付き合い方について、なにか参考になる実例がないか、歴史書を紐解こうと思ったんだ。			明日への一歩							
そちらは？君たちも何か調べ物をしていたのだろう？			そちらは？君たちも何か調べ物をしていたのだろう？			明日への一歩							
多くの種族が住まうトラル大陸を統べる、トライヨラ連王国か。……それは興味深いね。			多くの種族が住まうトラル大陸を統べる、トライヨラ連王国か。……それは興味深いね。			明日への一歩							
というより、探していたそのものズバリかもしれない。私たちも、かの国に関する本を読んでみるべきだろう。			というより、探していたそのものズバリかもしれない。私たちも、かの国に関する本を読んでみるべきだろう。			明日への一歩							
ちなみに、その「継承の儀」に協力できるのは、Forenameひとりだけなの？			ちなみに、その「継承の儀」に協力できるのは、Forenameひとりだけなの？			明日への一歩							
いや、特にそんなことは言ってなかったな。話の流れからしても、複数人いても大丈夫そうな印象を受けた。			いや、特にそんなことは言ってなかったな。話の流れからしても、複数人いても大丈夫そうな印象を受けた。			明日への一歩							
「休み」の良い使い道を思いついたわ。うちに戻って、私たちも作戦会議よ！			「休み」の良い使い道を思いついたわ。うちに戻って、私たちも作戦会議よ！			明日への一歩							
アリゼー……！			アリゼー……！			明日への一歩							
どうやら方針を変える必要がありそうだ。すまない、失礼するよ。			どうやら方針を変える必要がありそうだ。すまない、失礼するよ。			明日への一歩							
「休み」のときくらい立ち止まったっていいだろうに。ふたりとも、歩き続けずにはいられないんだな。			「休み」のときくらい立ち止まったっていいだろうに。ふたりとも、歩き続けずにはいられないんだな。			明日への一歩							
それじゃ、オレたちもバルデシオン分館に帰ろう。			それじゃ、オレたちもバルデシオン分館に帰ろう。			明日への一歩							
ああ、ちょっと買いたいものがあってさ。ここで取り扱ってくれてたらいいんだが……。			ああ、ちょっと買いたいものがあってさ。ここで取り扱ってくれてたらいいんだが……。			明日への一歩							
Forename、おかえりぃ～！ウクラマトさんたちなら部屋にいるよぉ～。			Forename、おかえりぃ～！ウクラマトさんたちなら部屋にいるよぉ～。			明日への一歩							
何か伝えたいことがあるなら、みんなを呼んでこようか～？			何か伝えたいことがあるなら、みんなを呼んでこようか～？			明日への一歩							
ウクラマトたちを呼び出しますか？			ウクラマトたちを呼び出しますか？			明日への一歩							
わかった、じゃあ「メインホール」で待っててねぇ～！			わかった、じゃあ「メインホール」で待っててねぇ～！			明日への一歩							
みんなに声をかけて来るから、「メインホール」で待っててぇ～。			みんなに声をかけて来るから、「メインホール」で待っててぇ～。			明日への一歩							
トラル大陸行きの船は、エレンヴィルさんの方から、グリーナーズ・ギルドシップにかけあって、調達してくれるってさぁ～。			トラル大陸行きの船は、エレンヴィルさんの方から、グリーナーズ・ギルドシップにかけあって、調達してくれるってさぁ～。			明日への一歩							
長い旅になるだろうし、餞別に特大ナップサックをどうぞ！それを背負って、次の冒険をたくさん楽しんできてねぇ～！			長い旅になるだろうし、餞別に特大ナップサックをどうぞ！それを背負って、次の冒険をたくさん楽しんできてねぇ～！			明日への一歩							
何か連絡がきたら報せるから、それまではゆっくりしてるといいよぉ～。			何か連絡がきたら報せるから、それまではゆっくりしてるといいよぉ～。			明日への一歩							
シャーレアン魔法大学付近のグ・ラハ・ティアは、突然の話に興奮している。			シャーレアン魔法大学付近のグ・ラハ・ティアは、突然の話に興奮している。			その瞳が見据えるもの							
エレンヴィルの提案で、ハーム島で起きている異変を調査することになった。オールド・シャーレアンの知神の港にいる「ウクラマト」と話そう。			エレンヴィルの提案で、ハーム島で起きている異変を調査することになった。オールド・シャーレアンの知神の港にいる「ウクラマト」と話そう。			その瞳が見据えるもの							
ハーム島を調査し、動物に異変を生じさせている原因が巨大コリブリであったことを突き止めた。周囲の状況を確認しよう。			ハーム島を調査し、動物に異変を生じさせている原因が巨大コリブリであったことを突き止めた。周囲の状況を確認しよう。			その瞳が見据えるもの							
クルルの加勢もあり、無事にハーム島での任務を終えてオールド・シャーレアンに帰ってきた。知神の港の「エレンヴィル」と話そう。			クルルの加勢もあり、無事にハーム島での任務を終えてオールド・シャーレアンに帰ってきた。知神の港の「エレンヴィル」と話そう。			その瞳が見据えるもの							
オールド・シャーレアンにおいて食の選択肢はない。オールド・シャーレアンのラストスタンドにいる「ディコン」と話し、巨大コリブリの肉を調理してもらおう。			オールド・シャーレアンにおいて食の選択肢はない。オールド・シャーレアンのラストスタンドにいる「ディコン」と話し、巨大コリブリの肉を調理してもらおう。			その瞳が見据えるもの							
ともに食事をしながら、「継承の儀」に懸けるウクラマトの想いを聞いた。ラストスタンドの「エレンヴィル」と話そう。			ともに食事をしながら、「継承の儀」に懸けるウクラマトの想いを聞いた。ラストスタンドの「エレンヴィル」と話そう。			その瞳が見据えるもの							
エレンヴィルは討伐任務の完了報告に向かった。ウクラマトはまだしばらくこちらに滞在しているようだ。その間に、己の心を決めておこう。			エレンヴィルは討伐任務の完了報告に向かった。ウクラマトはまだしばらくこちらに滞在しているようだ。その間に、己の心を決めておこう。			その瞳が見据えるもの							
ウクラマトと話す			ウクラマトと話す			その瞳が見据えるもの							
エレンヴィルと話す			エレンヴィルと話す			その瞳が見据えるもの							
ディコンと話す			ディコンと話す			その瞳が見据えるもの							
エレンヴィルと話す			エレンヴィルと話す			その瞳が見据えるもの							
トラル大陸に……でも……。			トラル大陸に……でも……。			その瞳が見据えるもの							
……まぁ、そういうことだ。おたくの目でこいつを見定めてくれ。			……まぁ、そういうことだ。おたくの目でこいつを見定めてくれ。			その瞳が見据えるもの							
この辺りで狩場っていったら、どこになるんだ？強い奴がいるといいんだけどな～！			この辺りで狩場っていったら、どこになるんだ？強い奴がいるといいんだけどな～！			その瞳が見据えるもの							
トラル大陸ってだけでも驚きなのに、黄金郷だって……！？こいつはすごい冒険の予感じゃないか！			トラル大陸ってだけでも驚きなのに、黄金郷だって……！？こいつはすごい冒険の予感じゃないか！			その瞳が見据えるもの							
……って、違う違う！突然の誘いとあっちゃ、乗っていい話かどうかわからないよな。			……って、違う違う！突然の誘いとあっちゃ、乗っていい話かどうかわからないよな。			その瞳が見据えるもの							
だからこそ、互いの仲を深めようという提案、オレは賛成だ。			だからこそ、互いの仲を深めようという提案、オレは賛成だ。			その瞳が見据えるもの							
しかし、この近くで狩りといってもな。いったいどこへ行けば……。			しかし、この近くで狩りといってもな。いったいどこへ行けば……。			その瞳が見据えるもの							
さっき、ギルドシップの窓口にも挨拶してきたんだが……そこで聞いた依頼が、ちょうどいいかもしれない。			さっき、ギルドシップの窓口にも挨拶してきたんだが……そこで聞いた依頼が、ちょうどいいかもしれない。			その瞳が見据えるもの							
先日おたくらが向かったハーム島。そこで、普段はおとなしい動物たちの行動に異変が生じ、これまでになく荒ぶっているそうだ。			先日おたくらが向かったハーム島。そこで、普段はおとなしい動物たちの行動に異変が生じ、これまでになく荒ぶっているそうだ。			その瞳が見据えるもの							
研究者たちの手には負えないらしくてな、原因を突き止め、必要ならば討伐してくれという話だ。その依頼を引き受けるのはどうだ？			研究者たちの手には負えないらしくてな、原因を突き止め、必要ならば討伐してくれという話だ。その依頼を引き受けるのはどうだ？			その瞳が見据えるもの							
ハーム島ならさほど遠くはないし、人助けにもなる。			ハーム島ならさほど遠くはないし、人助けにもなる。			その瞳が見据えるもの							
よし決まりだ、そこにしようぜ！			よし決まりだ、そこにしようぜ！			その瞳が見据えるもの							
ただし……			ただし……			その瞳が見据えるもの							
