ワチュメキメキ万貨街のローペリは、良き職人を求めているようだ。			ワチュメキメキ万貨街のローペリは、良き職人を求めているようだ。			ワチュメキメキ万貨街							
続いては「パメカの筆記工房」、公的文書の作成や、手紙の代筆などを行う店だ。紙や布、革などを扱える職人が必要な仕事を抱えているらしい。			続いては「パメカの筆記工房」、公的文書の作成や、手紙の代筆などを行う店だ。紙や布、革などを扱える職人が必要な仕事を抱えているらしい。			ワチュメキメキ万貨街							
「ジュースクラフト・シェーロジャ」では、果実のジュースを販売しているのだが、経営が悪化していてね……薬や食品が扱えるなら、店の立て直しを手伝ってやってほしい。			「ジュースクラフト・シェーロジャ」では、果実のジュースを販売しているのだが、経営が悪化していてね……薬や食品が扱えるなら、店の立て直しを手伝ってやってほしい。			ワチュメキメキ万貨街							
「魚道楽ドヌハヌ」は、一風変わった魚屋だ。道楽なんて名のとおり、店主好みの風変わりな魚を扱っているが、売れ行きが良くないので漁師の助けが必要だね。			「魚道楽ドヌハヌ」は、一風変わった魚屋だ。道楽なんて名のとおり、店主好みの風変わりな魚を扱っているが、売れ行きが良くないので漁師の助けが必要だね。			ワチュメキメキ万貨街							
「シューニェズ・アポサカリー」の店主は、今は手が離せないってさ、残念だけど。			「シューニェズ・アポサカリー」の店主は、今は手が離せないってさ、残念だけど。			ワチュメキメキ万貨街							
あそこで扱っている品は……興味深いはずだよ、植物や鉱物を探し出す採集の職人ならば。このところ従業員の調子が良くないらしいので、心配だ。			あそこで扱っている品は……興味深いはずだよ、植物や鉱物を探し出す採集の職人ならば。このところ従業員の調子が良くないらしいので、心配だ。			ワチュメキメキ万貨街							
うん、以上の店だね、いま職人の助けが必要そうなのは。			うん、以上の店だね、いま職人の助けが必要そうなのは。			ワチュメキメキ万貨街							
ワチュメキメキ万貨街は、多様なものが連なるネックレス。買って嬉しい、売れて嬉しいと、お客も経営者も幸せになって、万貨街全体が輝いてほしいものだよ。			ワチュメキメキ万貨街は、多様なものが連なるネックレス。買って嬉しい、売れて嬉しいと、お客も経営者も幸せになって、万貨街全体が輝いてほしいものだよ。			ワチュメキメキ万貨街							
信じているよ、きみの協力があればそれが叶うと。Forename、よろしくね。			信じているよ、きみの協力があればそれが叶うと。Forename、よろしくね。			ワチュメキメキ万貨街							
「ワチュメキメキ万貨街取引」が開始されました！この万貨街で困っていそうな人がいたら声をかけ、クエストを受注してみましょう！			「ワチュメキメキ万貨街取引」が開始されました！この万貨街で困っていそうな人がいたら声をかけ、クエストを受注してみましょう！			ワチュメキメキ万貨街							
ワチュメキメキ万貨街のローペリは、冒険者の到来を歓迎しているようだ。			ワチュメキメキ万貨街のローペリは、冒険者の到来を歓迎しているようだ。			ワチュメキメキ大感謝祭							
ローペリと話し、聞いてほしい話があると持ち掛けられた。詳しい話を聞くため、トライヨラのゴーニトルクの宝浜にある「指定地点」で待機しよう。			ローペリと話し、聞いてほしい話があると持ち掛けられた。詳しい話を聞くため、トライヨラのゴーニトルクの宝浜にある「指定地点」で待機しよう。			ワチュメキメキ大感謝祭							
ローペリたちはワチュメキメキ大感謝祭を企画しているようだ。ヘリテージファウンドへ向かうべくゴーニトルクの宝浜にいる「シューニェ」と話そう。			ローペリたちはワチュメキメキ大感謝祭を企画しているようだ。ヘリテージファウンドへ向かうべくゴーニトルクの宝浜にいる「シューニェ」と話そう。			ワチュメキメキ大感謝祭							
シューニェと話して、彼らとともにヘリテージファウンドへと向かった。アウトスカーツにいる「ドヌハヌ」と話そう。			シューニェと話して、彼らとともにヘリテージファウンドへと向かった。アウトスカーツにいる「ドヌハヌ」と話そう。			ワチュメキメキ大感謝祭							
ドヌハヌと話した。アウトスカーツにいる「ドヌハヌ」と「シューニェ」と話そう。			ドヌハヌと話した。アウトスカーツにいる「ドヌハヌ」と「シューニェ」と話そう。			ワチュメキメキ大感謝祭							
ドヌハヌたちもシューニェたちも、それぞれ誘致は順調なようだ。一度トライヨラに戻り、ワチュメキメキ万貨街で準備を進める「ローペリ」と話そう。			ドヌハヌたちもシューニェたちも、それぞれ誘致は順調なようだ。一度トライヨラに戻り、ワチュメキメキ万貨街で準備を進める「ローペリ」と話そう。			ワチュメキメキ大感謝祭							
ローペリと話した。グルージャジャ凱旋門付近で受け入れを行っている「パメカ」と話そう。			ローペリと話した。グルージャジャ凱旋門付近で受け入れを行っている「パメカ」と話そう。			ワチュメキメキ大感謝祭							
パメカたちと話した。ブライトプルーム・ポストにいるという「シェーロジャ」と話そう。			パメカたちと話した。ブライトプルーム・ポストにいるという「シェーロジャ」と話そう。			ワチュメキメキ大感謝祭							
シェーロジャたちと話した。ワチュメキメキ万貨街で装飾を作っているという「ラルソジ」と話そう。			シェーロジャたちと話した。ワチュメキメキ万貨街で装飾を作っているという「ラルソジ」と話そう。			ワチュメキメキ大感謝祭							
ラルソジと話し、装飾の設置を依頼された。ワチュメキメキ万貨街の「指定地点」に、大感謝祭の装飾を設置しよう。			ラルソジと話し、装飾の設置を依頼された。ワチュメキメキ万貨街の「指定地点」に、大感謝祭の装飾を設置しよう。			ワチュメキメキ大感謝祭							
装飾を設置した。いよいよ開催も間近となったので、ワチュメキメキ万貨街の「ローペリ」と話そう。			装飾を設置した。いよいよ開催も間近となったので、ワチュメキメキ万貨街の「ローペリ」と話そう。			ワチュメキメキ大感謝祭							
ローペリと話し、ワチュメキメキ大感謝祭の開催を見守った。改めて、ワチュメキメキ万貨街にいる「ローペリ」と話そう。			ローペリと話し、ワチュメキメキ大感謝祭の開催を見守った。改めて、ワチュメキメキ万貨街にいる「ローペリ」と話そう。			ワチュメキメキ大感謝祭							
ローペリと話し、大感謝祭への協力を感謝された。トライヨラの人々はきっと、これからもワチュメキメキであることだろう！			ローペリと話し、大感謝祭への協力を感謝された。トライヨラの人々はきっと、これからもワチュメキメキであることだろう！			ワチュメキメキ大感謝祭							
指定地点で待機			指定地点で待機			ワチュメキメキ大感謝祭							
シューニェと話す			シューニェと話す			ワチュメキメキ大感謝祭							
アウトスカーツでドヌハヌと話す			アウトスカーツでドヌハヌと話す			ワチュメキメキ大感謝祭							
ドヌハヌと話す			ドヌハヌと話す			ワチュメキメキ大感謝祭							
シューニェと話す			シューニェと話す			ワチュメキメキ大感謝祭							
トライヨラでローペリと話す			トライヨラでローペリと話す			ワチュメキメキ大感謝祭							
パメカと話す			パメカと話す			ワチュメキメキ大感謝祭							
シェーロジャと話す			シェーロジャと話す			ワチュメキメキ大感謝祭							
ラルソジと話す			ラルソジと話す			ワチュメキメキ大感謝祭							
指定地点に大感謝祭の装飾を設置する			指定地点に大感謝祭の装飾を設置する			ワチュメキメキ大感謝祭							
ローペリと話す			ローペリと話す			ワチュメキメキ大感謝祭							
ローペリと再度話す			ローペリと再度話す			ワチュメキメキ大感謝祭							
やあ、Forename！困っていた店を万事解決へと導いてくれたこと、とても感謝しているよ。			やあ、Forename！困っていた店を万事解決へと導いてくれたこと、とても感謝しているよ。			ワチュメキメキ大感謝祭							
おかげで、万貨街でゆくゆくは……と考えていたことが、ようやく実行できそうなんだ。			おかげで、万貨街でゆくゆくは……と考えていたことが、ようやく実行できそうなんだ。			ワチュメキメキ大感謝祭							
その際にはきみの力も借りられたらと思っていて、聞いてほしいんだ、話だけでも。			その際にはきみの力も借りられたらと思っていて、聞いてほしいんだ、話だけでも。			ワチュメキメキ大感謝祭							
ここはお客さんや職人が行き来するから騒がしいし……。落ち着いて話ができそうな「ゴーニトルクの宝浜」で、待っていてくれるかい？			ここはお客さんや職人が行き来するから騒がしいし……。落ち着いて話ができそうな「ゴーニトルクの宝浜」で、待っていてくれるかい？			ワチュメキメキ大感謝祭							
待たせたね、Forename。さっそく相談させておくれ、時は金(ペル)なりというしね。			待たせたね、Forename。さっそく相談させておくれ、時は金(ペル)なりというしね。			ワチュメキメキ大感謝祭							
この国では、短い間に多くのことがあっただろう？無事に継承の儀が終わって新連王が即位したと思いきや、ヤースラニ荒野の変貌や侵略、そして前連王が崩御して……。			この国では、短い間に多くのことがあっただろう？無事に継承の儀が終わって新連王が即位したと思いきや、ヤースラニ荒野の変貌や侵略、そして前連王が崩御して……。			ワチュメキメキ大感謝祭							
一方でたくさんあるんだ、新たに紡がれた縁(えにし)も。トライヨラ国民の結束はさらに固くなったと感じるし、継承の儀をきっかけに都を訪れたヨカフイ族もいる。			一方でたくさんあるんだ、新たに紡がれた縁(えにし)も。トライヨラ国民の結束はさらに固くなったと感じるし、継承の儀をきっかけに都を訪れたヨカフイ族もいる。			ワチュメキメキ大感謝祭							
それに、最近はあのドームから帰還する人も増えてきたね。国主導で鉄道を復旧させたと聞いたが、そのおかげだろうか。			それに、最近はあのドームから帰還する人も増えてきたね。国主導で鉄道を復旧させたと聞いたが、そのおかげだろうか。			ワチュメキメキ大感謝祭							
だから私は開催したいんだ、ここらで大きなセールを。これからもこの国が「ワチュメキメキ」、つまり……多様な部族が連なって生きるよう、願いを込めてね。			だから私は開催したいんだ、ここらで大きなセールを。これからもこの国が「ワチュメキメキ」、つまり……多様な部族が連なって生きるよう、願いを込めてね。			ワチュメキメキ大感謝祭							
トラル大陸の各地からも出店を募り、お客を呼ぶ……その名も「ワチュメキメキ大感謝祭」さ！			トラル大陸の各地からも出店を募り、お客を呼ぶ……その名も「ワチュメキメキ大感謝祭」さ！			ワチュメキメキ大感謝祭							
マーブルという行商人が協力してくれていて、彼女に各地の商人たちと連携してもらい、事にあたっているんだが……			マーブルという行商人が協力してくれていて、彼女に各地の商人たちと連携してもらい、事にあたっているんだが……			ワチュメキメキ大感謝祭							
特に気にかかるのが、ヤースラニ荒野のドーム内の人々だ。複雑な事情があるとは聞き及んでいるが、同じトラルに生きる仲間であることは変わらないはず。			特に気にかかるのが、ヤースラニ荒野のドーム内の人々だ。複雑な事情があるとは聞き及んでいるが、同じトラルに生きる仲間であることは変わらないはず。			ワチュメキメキ大感謝祭							
だからこそ文化交流を兼ねて、彼の地の人々を誘致したいが、あちらの事情に詳しくないし……セールの準備も疎かにはできなくてね。			だからこそ文化交流を兼ねて、彼の地の人々を誘致したいが、あちらの事情に詳しくないし……セールの準備も疎かにはできなくてね。			ワチュメキメキ大感謝祭							
そこで、あちらの事情もよく知る、きみの力を借りたい、というわけなんだよ。			そこで、あちらの事情もよく知る、きみの力を借りたい、というわけなんだよ。			ワチュメキメキ大感謝祭							
何と言う？			何と言う？			ワチュメキメキ大感謝祭							
まかせて！			まかせて！			ワチュメキメキ大感謝祭							
仕方ないな			仕方ないな			ワチュメキメキ大感謝祭							
みんなでワチュメキメキしよう！			みんなでワチュメキメキしよう！			ワチュメキメキ大感謝祭							
ああ、ありがとう、Forename！やはりきみは頼りになる職人だ！			ああ、ありがとう、Forename！やはりきみは頼りになる職人だ！			ワチュメキメキ大感謝祭							
もちろん総掛かりで大感謝祭の支度を進めよう、「我々」も！			もちろん総掛かりで大感謝祭の支度を進めよう、「我々」も！			ワチュメキメキ大感謝祭							
きみの世話になった彼らも、ドーム内の人々の誘致と、セールの準備を進めてくれる予定でね。			きみの世話になった彼らも、ドーム内の人々の誘致と、セールの準備を進めてくれる予定でね。			ワチュメキメキ大感謝祭							
貴方が手伝ってくれるなら、百人力だわ。さしずめ、この万貨街の特別後援者ってところかしら。			貴方が手伝ってくれるなら、百人力だわ。さしずめ、この万貨街の特別後援者ってところかしら。			ワチュメキメキ大感謝祭							
私はローペリから、ドーム内の方々に出店交渉をするよう仰せつかっています。ですので、あなたとご一緒させていただきますね……？			私はローペリから、ドーム内の方々に出店交渉をするよう仰せつかっています。ですので、あなたとご一緒させていただきますね……？			ワチュメキメキ大感謝祭							
俺も、俺も、サカ・トラルへの通行証を手に入れたし、アポサカリーの兄ちゃんについていく予定だ！			俺も、俺も、サカ・トラルへの通行証を手に入れたし、アポサカリーの兄ちゃんについていく予定だ！			ワチュメキメキ大感謝祭							
俺たちは大感謝祭に向けて、宣伝や広告の製作を請け負う。もちろん仕事は早く、丁寧にな。			俺たちは大感謝祭に向けて、宣伝や広告の製作を請け負う。もちろん仕事は早く、丁寧にな。			ワチュメキメキ大感謝祭							
デモウェニ君も運営準備を手伝ってくださるのですが、はやくもドーム内の物語に興味津々で……。多くの人々が訪れるお祭りになるといいですね！			デモウェニ君も運営準備を手伝ってくださるのですが、はやくもドーム内の物語に興味津々で……。多くの人々が訪れるお祭りになるといいですね！			ワチュメキメキ大感謝祭							
では、まずはシューニェやドヌハヌたちとともに、「アウトスカーツ」という集落に向かってくれるかい？慣れぬ土地で困っていないか、見守ってほしいんだ。			では、まずはシューニェやドヌハヌたちとともに、「アウトスカーツ」という集落に向かってくれるかい？慣れぬ土地で困っていないか、見守ってほしいんだ。			ワチュメキメキ大感謝祭							
Forename、ありがとう。では、彼らのことをどうか頼むね。もし順調そうだったら、折を見て報告してくれると助かるよ。			Forename、ありがとう。では、彼らのことをどうか頼むね。もし順調そうだったら、折を見て報告してくれると助かるよ。			ワチュメキメキ大感謝祭							
じゃあ、それぞれ持ち場へ移動しよう！でも無理しすぎないように、本番は大感謝祭の客捌きだから！			じゃあ、それぞれ持ち場へ移動しよう！でも無理しすぎないように、本番は大感謝祭の客捌きだから！			ワチュメキメキ大感謝祭							
よっしゃ、よっしゃ、行くぜアウトスカーツ！			よっしゃ、よっしゃ、行くぜアウトスカーツ！			ワチュメキメキ大感謝祭							
さて……。あなたさえよければ、すぐにでも出発しましょうか。			さて……。あなたさえよければ、すぐにでも出発しましょうか。			ワチュメキメキ大感謝祭							
今は鉄道もありますし、問題は起きないと思いますが、一応ウヴロも護衛についてくるそうです。新たな旅立ちとまではいかずとも、みんなで小旅行ですねぇ。			今は鉄道もありますし、問題は起きないと思いますが、一応ウヴロも護衛についてくるそうです。新たな旅立ちとまではいかずとも、みんなで小旅行ですねぇ。			ワチュメキメキ大感謝祭							
パシェニネも久々にこっちに来て、合流してくれる予定なんだ！さあ、さあ、行こうぜ！			パシェニネも久々にこっちに来て、合流してくれる予定なんだ！さあ、さあ、行こうぜ！			ワチュメキメキ大感謝祭							
彼らとともに、アウトスカーツへ向かいますか？			彼らとともに、アウトスカーツへ向かいますか？			ワチュメキメキ大感謝祭							
久々に村を出たので、実はちょっとドキドキしてます。でもウヴロさんのおかげで危なげなく来られましたし、幻魚術も変わらず絶好調ですよ！			久々に村を出たので、実はちょっとドキドキしてます。でもウヴロさんのおかげで危なげなく来られましたし、幻魚術も変わらず絶好調ですよ！			ワチュメキメキ大感謝祭							
この光景は……正直、想像以上ですねぇ。ヤースラニ荒野にもシャトナ族の集落がありましたが、彼らはこんな環境で無事に暮らせているのでしょうか……。			この光景は……正直、想像以上ですねぇ。ヤースラニ荒野にもシャトナ族の集落がありましたが、彼らはこんな環境で無事に暮らせているのでしょうか……。			ワチュメキメキ大感謝祭							
全員、ケガさせることなく連れてこられたな。狩りの方が慣れているが、護衛の仕事もしたことはある……とはいえ、お前がいてくれて安心した。			全員、ケガさせることなく連れてこられたな。狩りの方が慣れているが、護衛の仕事もしたことはある……とはいえ、お前がいてくれて安心した。			ワチュメキメキ大感謝祭							
Forename、案内感謝するぜ！シャーローニ荒野は乾燥で毛羽立ったが、ここは雷気のせいか、羽がむずむずピリピリする感じだな……！			Forename、案内感謝するぜ！シャーローニ荒野は乾燥で毛羽立ったが、ここは雷気のせいか、羽がむずむずピリピリする感じだな……！			ワチュメキメキ大感謝祭							
それにしても、それにしても、出店の交渉か……。暮らしが違うってんで、考え方もずいぶん違うだろうし、どう進めたらいいもんかね？			それにしても、それにしても、出店の交渉か……。暮らしが違うってんで、考え方もずいぶん違うだろうし、どう進めたらいいもんかね？			ワチュメキメキ大感謝祭							
何と言う？			何と言う？			ワチュメキメキ大感謝祭							
普段どおりで大丈夫！			普段どおりで大丈夫！			ワチュメキメキ大感謝祭							
片っ端からいってみよう			片っ端からいってみよう			ワチュメキメキ大感謝祭							
ガッハッハ！　確かにそれしかないわな！なら手分けして声をかけてみっから、何かあったら助け舟を頼むわ！			ガッハッハ！　確かにそれしかないわな！なら手分けして声をかけてみっから、何かあったら助け舟を頼むわ！			ワチュメキメキ大感謝祭							
あっ、Forenameさん……！ごめんなさい、誘致にちょっとうまくいってなくて……。			あっ、Forenameさん……！ごめんなさい、誘致にちょっとうまくいってなくて……。			ワチュメキメキ大感謝祭							
うーん……。			うーん……。			ワチュメキメキ大感謝祭							
ひとまず話を聞いてくれそうな住民がいたから、シューニェから説明をしているところだ。いい返事が得られるといいが……。			ひとまず話を聞いてくれそうな住民がいたから、シューニェから説明をしているところだ。いい返事が得られるといいが……。			ワチュメキメキ大感謝祭							
へえ、そんなことが……。			へえ、そんなことが……。			ワチュメキメキ大感謝祭							
よう、よう、Forename！ちょうどよかった、トライヨラに来てもらえないか、この人に話してたところなんだが……			よう、よう、Forename！ちょうどよかった、トライヨラに来てもらえないか、この人に話してたところなんだが……			ワチュメキメキ大感謝祭							
ごめんね、障壁の外へ出ていくのは抵抗があるんだ。僕はヤースラニの出身だけど、30年前はほんの子どもだったし、ここでの暮らしに慣れているもんだから……。			ごめんね、障壁の外へ出ていくのは抵抗があるんだ。僕はヤースラニの出身だけど、30年前はほんの子どもだったし、ここでの暮らしに慣れているもんだから……。			ワチュメキメキ大感謝祭							
って、あれ、君はもしかして……障壁の外からきて、魚のことを聞きに来た人だよね？そういえば、どうしてわざわざこの土地の魚のことを……？			って、あれ、君はもしかして……障壁の外からきて、魚のことを聞きに来た人だよね？そういえば、どうしてわざわざこの土地の魚のことを……？			ワチュメキメキ大感謝祭							
ええ、この人は僕の依頼のために、この地でスタンスタージェンを釣り上げてくれたんです！僕が一人前と認めてもらうための、大きな助けになったんですよ！			ええ、この人は僕の依頼のために、この地でスタンスタージェンを釣り上げてくれたんです！僕が一人前と認めてもらうための、大きな助けになったんですよ！			ワチュメキメキ大感謝祭							
へぇ……あの魚が……。面白い話もあるもんだね。			へぇ……あの魚が……。面白い話もあるもんだね。			ワチュメキメキ大感謝祭							
ああ、ああ、俺は一風変わった怪魚を扱う魚屋をやってんだ。どうやらお前さんも魚好きのようだから、トライヨラの魚を見にくるだけでも、よければどうだい？			ああ、ああ、俺は一風変わった怪魚を扱う魚屋をやってんだ。どうやらお前さんも魚好きのようだから、トライヨラの魚を見にくるだけでも、よければどうだい？			ワチュメキメキ大感謝祭							
そうだね、そこまで言ってくれるなら……せっかくだし、家族と一緒に行ってみようかな。			そうだね、そこまで言ってくれるなら……せっかくだし、家族と一緒に行ってみようかな。			ワチュメキメキ大感謝祭							
おう、おう、ありがとうよ！ついでと言っちゃなんだが、ここらの魚の話を……			おう、おう、ありがとうよ！ついでと言っちゃなんだが、ここらの魚の話を……			ワチュメキメキ大感謝祭							
話が盛り上がっちゃってる……。ここは見たことがないものがいっぱいだけど、魚好きな人がいるのは、どこも変わりませんね。			話が盛り上がっちゃってる……。ここは見たことがないものがいっぱいだけど、魚好きな人がいるのは、どこも変わりませんね。			ワチュメキメキ大感謝祭							
あなたのおかげで、素敵な魚縁(ギョえん)がありました！こちらの方とご家族が来られそうなら、僕らが護衛してトライヨラに戻ります！			あなたのおかげで、素敵な魚縁(ギョえん)がありました！こちらの方とご家族が来られそうなら、僕らが護衛してトライヨラに戻ります！			ワチュメキメキ大感謝祭							
……というわけで、新生アレクサンドリア連王国の方々にも、大感謝祭の間、万貨街に出店をお願いしたいんです。			……というわけで、新生アレクサンドリア連王国の方々にも、大感謝祭の間、万貨街に出店をお願いしたいんです。			ワチュメキメキ大感謝祭							
いいじゃない、面白そう！実はあたし、流通関連の仕事をしてるのよね。			いいじゃない、面白そう！実はあたし、流通関連の仕事をしてるのよね。			ワチュメキメキ大感謝祭							
ここで採れた作物や、南の採石場で採れたエレクトロープを、然るべき場所に送るんだけど……そのツテを頼れば、いい感じのお店を出せるかも！			ここで採れた作物や、南の採石場で採れたエレクトロープを、然るべき場所に送るんだけど……そのツテを頼れば、いい感じのお店を出せるかも！			ワチュメキメキ大感謝祭							
なるほど……！シャトナ族はここでも、植物や鉱物といった自然の恵みを、しっかり活かしているんだな。			なるほど……！シャトナ族はここでも、植物や鉱物といった自然の恵みを、しっかり活かしているんだな。			ワチュメキメキ大感謝祭							
懐かしー、母さんが昔言ってたよそれ！あたしは世代的に、ここがヤースラニ荒野だったときのことや、当時のシャトナ族の暮らしを知らないんだけどさ！			懐かしー、母さんが昔言ってたよそれ！あたしは世代的に、ここがヤースラニ荒野だったときのことや、当時のシャトナ族の暮らしを知らないんだけどさ！			ワチュメキメキ大感謝祭							
ねえ、おにーさん……折角だし、どう？出店の話を進める前に、お互いをよく知るべきじゃない？			ねえ、おにーさん……折角だし、どう？出店の話を進める前に、お互いをよく知るべきじゃない？			ワチュメキメキ大感謝祭							
いや、その、俺は……！ついわかったようなクチを利いてしまったが、そもそもシャトナ族ではなくヴィエラ族で……ッ！			いや、その、俺は……！ついわかったようなクチを利いてしまったが、そもそもシャトナ族ではなくヴィエラ族で……ッ！			ワチュメキメキ大感謝祭							
それが何か問題なの？			それが何か問題なの？			ワチュメキメキ大感謝祭							
問題……は…………ない、かもしれないが……。			問題……は…………ない、かもしれないが……。			ワチュメキメキ大感謝祭							
そこまでにしてあげてください。からかいたくなる気持ちは非常によくわかりますが、今は大感謝祭の準備中、従業員を置いては帰れませんので。			そこまでにしてあげてください。からかいたくなる気持ちは非常によくわかりますが、今は大感謝祭の準備中、従業員を置いては帰れませんので。			ワチュメキメキ大感謝祭							
ごめんごめん！出店の件は、ちゃんと前向きに相談しておくよ。開催、楽しみにしてるから！			ごめんごめん！出店の件は、ちゃんと前向きに相談しておくよ。開催、楽しみにしてるから！			ワチュメキメキ大感謝祭							
アウトスカーツでの誘致は順調そうだ。トライヨラのワチュメキメキ万貨街に戻り、「ローペリ」に報告しよう。			アウトスカーツでの誘致は順調そうだ。トライヨラのワチュメキメキ万貨街に戻り、「ローペリ」に報告しよう。			ワチュメキメキ大感謝祭							
この兄ちゃんもどうやら、かなりの魚好きみたいで、なかなか、なかなか、見どころがあるぜ！おっと、もちろん本来の目的も忘れてないぞ！			この兄ちゃんもどうやら、かなりの魚好きみたいで、なかなか、なかなか、見どころがあるぜ！おっと、もちろん本来の目的も忘れてないぞ！			ワチュメキメキ大感謝祭							
あなたのおかげで、見知らぬ土地でも魚の話が弾みました！のちのことは僕らにお任せください！			あなたのおかげで、見知らぬ土地でも魚の話が弾みました！のちのことは僕らにお任せください！			ワチュメキメキ大感謝祭							
君のおかげで障壁の外にも興味がわいたよ。現地に行ってみたら、いろいろ見てみたくなった。もちろん、魚もね。			君のおかげで障壁の外にも興味がわいたよ。現地に行ってみたら、いろいろ見てみたくなった。もちろん、魚もね。			ワチュメキメキ大感謝祭							
出店の交渉は、ひとまず順調な滑り出しですね。ドヌハヌたちと協力しつつ、この調子で進めてみたいと思います。			出店の交渉は、ひとまず順調な滑り出しですね。ドヌハヌたちと協力しつつ、この調子で進めてみたいと思います。			ワチュメキメキ大感謝祭							
シャトナ族はシャトナ族で、ヴィエラ族はヴィエラ族だが、ふたつの種族には似ている点が多いのも確かで、だから……だから…………？			シャトナ族はシャトナ族で、ヴィエラ族はヴィエラ族だが、ふたつの種族には似ている点が多いのも確かで、だから……だから…………？			ワチュメキメキ大感謝祭							
俺たちはここで装飾の製作だ。パメカやシェーロジャの嬢ちゃん方はいったん店を閉めて、大感謝祭の運営手続きや宣伝を手伝ってるよ。			俺たちはここで装飾の製作だ。パメカやシェーロジャの嬢ちゃん方はいったん店を閉めて、大感謝祭の運営手続きや宣伝を手伝ってるよ。			ワチュメキメキ大感謝祭							
あれっ、Forenameさん！ドームの中の人たちの誘致、もう終わったんですか！？さすが！			あれっ、Forenameさん！ドームの中の人たちの誘致、もう終わったんですか！？さすが！			ワチュメキメキ大感謝祭							
Forename、戻ってきてくれたんだね。どうだったかな、ドーム内の様子は？			Forename、戻ってきてくれたんだね。どうだったかな、ドーム内の様子は？			ワチュメキメキ大感謝祭							
ういうい、順調に誘致を進められているようで、なによりだ。きみも付き添いをありがとう。			ういうい、順調に誘致を進められているようで、なによりだ。きみも付き添いをありがとう。			ワチュメキメキ大感謝祭							
それで、よければなんだけど……こちらで準備を進めている皆のところにも、顔を出してきてもらえないかい？			それで、よければなんだけど……こちらで準備を進めている皆のところにも、顔を出してきてもらえないかい？			ワチュメキメキ大感謝祭							
