忘れられた騎士亭のアルドランは、冒険者に任せたい手配書があるようだ。			忘れられた騎士亭のアルドランは、冒険者に任せたい手配書があるようだ。			イシュガルドのリスキーモブ							
忘れられた騎士亭前のユステシアは、冒険者に興味があるようだ。			忘れられた騎士亭前のユステシアは、冒険者に興味があるようだ。			イシュガルドのモブハント（中級）							
ユステシアから、「クラン・モブハント：中級」の仕事を紹介された。詳細な説明を受けるため、忘れられた騎士亭の「アルドラン」と話そう。			ユステシアから、「クラン・モブハント：中級」の仕事を紹介された。詳細な説明を受けるため、忘れられた騎士亭の「アルドラン」と話そう。			イシュガルドのモブハント（中級）							
アルドランに話したところ、「クラン・モブハント：中級」の手配書を回してもらえるようになった。忘れられた騎士亭の前にある「セントリオボード」を調べよう。			アルドランに話したところ、「クラン・モブハント：中級」の手配書を回してもらえるようになった。忘れられた騎士亭の前にある「セントリオボード」を調べよう。			イシュガルドのモブハント（中級）							
「セントリオボード」から「クラン・モブ手配書：中級」を入手できるようになった。詳細な説明や報酬の交換が必要なときは、アルドランに声をかければいいようだ。手配中のモブを積極的に討伐し、イシュガルドの治安向上に貢献しよう。			「セントリオボード」から「クラン・モブ手配書：中級」を入手できるようになった。詳細な説明や報酬の交換が必要なときは、アルドランに声をかければいいようだ。手配中のモブを積極的に討伐し、イシュガルドの治安向上に貢献しよう。			イシュガルドのモブハント（中級）							
アルドランと話す			アルドランと話す			イシュガルドのモブハント（中級）							
セントリオボードを調べる			セントリオボードを調べる			イシュガルドのモブハント（中級）							
君が、Forename？ふぅん……エティエーヌ爺さんの言うとおり、いい目をしてるわね。			君が、Forename？ふぅん……エティエーヌ爺さんの言うとおり、いい目をしてるわね。			イシュガルドのモブハント（中級）							
そろそろ、初級の仕事じゃ、物足りなくなってるんじゃない？だったら、もっと難しい「中級」に挑んでみるべきよ。詳細は、「アルドラン」に聞いてみるといいわ。			そろそろ、初級の仕事じゃ、物足りなくなってるんじゃない？だったら、もっと難しい「中級」に挑んでみるべきよ。詳細は、「アルドラン」に聞いてみるといいわ。			イシュガルドのモブハント（中級）							
そろそろ、初級の仕事じゃ、物足りなくなってるんじゃない？だったら、もっと難しい「中級」に挑んでみるべきよ。詳細は、「アルドラン」に聞いてみるといいわ。			そろそろ、初級の仕事じゃ、物足りなくなってるんじゃない？だったら、もっと難しい「中級」に挑んでみるべきよ。詳細は、「アルドラン」に聞いてみるといいわ。			イシュガルドのモブハント（中級）							
ユステシアから「中級」の仕事を紹介されたって？ふむ、お嬢が勧めたってことは、問題なさそうだな……。いいだろう、手配書を回してやるよ。			ユステシアから「中級」の仕事を紹介されたって？ふむ、お嬢が勧めたってことは、問題なさそうだな……。いいだろう、手配書を回してやるよ。			イシュガルドのモブハント（中級）							
……だが、当然ながら、「初級」よりは手強いぜ？覚悟ができたら、表の「セントリオボード」から、「クラン・モブ手配書：中級」を選んで持っていきな。			……だが、当然ながら、「初級」よりは手強いぜ？覚悟ができたら、表の「セントリオボード」から、「クラン・モブ手配書：中級」を選んで持っていきな。			イシュガルドのモブハント（中級）							
……だが、当然ながら、「初級」よりは手強いぜ？覚悟ができたら、表の「セントリオボード」から、「クラン・モブ手配書：中級」を選んで持っていきな。			……だが、当然ながら、「初級」よりは手強いぜ？覚悟ができたら、表の「セントリオボード」から、「クラン・モブ手配書：中級」を選んで持っていきな。			イシュガルドのモブハント（中級）							
討伐対象「モブ」の手配書が掲示されている……。次は、「中級」に挑戦してみよう。			討伐対象「モブ」の手配書が掲示されている……。次は、「中級」に挑戦してみよう。			イシュガルドのモブハント（中級）							
「クラン・モブ手配書：中級」が開放された！			「クラン・モブ手配書：中級」が開放された！			イシュガルドのモブハント（中級）							
セントリオボードから、「クラン・モブ手配書：中級」を入手できるようになりました。			セントリオボードから、「クラン・モブ手配書：中級」を入手できるようになりました。			イシュガルドのモブハント（中級）							
忘れられた騎士亭のエティエーヌは、冒険者に興味があるようだ。			忘れられた騎士亭のエティエーヌは、冒険者に興味があるようだ。			イシュガルドのモブハント（初級）							
エティエーヌから、イシュガルドでの「モブハント」制度を紹介された。詳細な説明を受けるため、忘れられた騎士亭の「アルドラン」と話そう。			エティエーヌから、イシュガルドでの「モブハント」制度を紹介された。詳細な説明を受けるため、忘れられた騎士亭の「アルドラン」と話そう。			イシュガルドのモブハント（初級）							
アルドランから「モブハント」制度に関する説明を受けた。忘れられた騎士亭の前にある「セントリオボード」を調べよう。			アルドランから「モブハント」制度に関する説明を受けた。忘れられた騎士亭の前にある「セントリオボード」を調べよう。			イシュガルドのモブハント（初級）							
「セントリオボード」から「クラン・モブ手配書：初級」を入手できるようになった。詳細な説明や報酬の交換が必要なときは、アルドランに声をかければいいようだ。手配中のモブを積極的に討伐し、イシュガルドの治安向上に貢献しよう。			「セントリオボード」から「クラン・モブ手配書：初級」を入手できるようになった。詳細な説明や報酬の交換が必要なときは、アルドランに声をかければいいようだ。手配中のモブを積極的に討伐し、イシュガルドの治安向上に貢献しよう。			イシュガルドのモブハント（初級）							
アルドランと話す			アルドランと話す			イシュガルドのモブハント（初級）							
セントリオボードを調べる			セントリオボードを調べる			イシュガルドのモブハント（初級）							
フォフォフォ……。お主、名うての冒険者とお見受けする。			フォフォフォ……。お主、名うての冒険者とお見受けする。			イシュガルドのモブハント（初級）							
ワシらは「クラン・セントリオ」。ここイシュガルドを拠点に、活動する一種の傭兵団じゃ。			ワシらは「クラン・セントリオ」。ここイシュガルドを拠点に、活動する一種の傭兵団じゃ。			イシュガルドのモブハント（初級）							
お主は、「モブ」を知っておるな？エオルゼア都市軍事同盟が指定した脅威のことじゃ。あの制度に倣い、ワシらも独自に「モブ」を指定しておってな。			お主は、「モブ」を知っておるな？エオルゼア都市軍事同盟が指定した脅威のことじゃ。あの制度に倣い、ワシらも独自に「モブ」を指定しておってな。			イシュガルドのモブハント（初級）							
どうじゃろう、お主も「モブハント」に参加してみんか？興味があるなら、階下におる「アルドラン」に、話を聞いてみるといい。			どうじゃろう、お主も「モブハント」に参加してみんか？興味があるなら、階下におる「アルドラン」に、話を聞いてみるといい。			イシュガルドのモブハント（初級）							
どうじゃろう、お主も「モブハント」に参加してみんか？興味があるなら、階下におる「アルドラン」に、話を聞いてみるといい。			どうじゃろう、お主も「モブハント」に参加してみんか？興味があるなら、階下におる「アルドラン」に、話を聞いてみるといい。			イシュガルドのモブハント（初級）							
何だい、あんたは？……俺に何か用でも？			何だい、あんたは？……俺に何か用でも？			イシュガルドのモブハント（初級）							
ほう、あのエティエーヌに見込まれるとはな。そういうことなら、説明しようか。			ほう、あのエティエーヌに見込まれるとはな。そういうことなら、説明しようか。			イシュガルドのモブハント（初級）							
俺たちは「クラン・セントリオ」。ローダストっていう名のイシュガルド貴族の下に集った、魔物退治を生業にしてる傭兵の集まりさ。			俺たちは「クラン・セントリオ」。ローダストっていう名のイシュガルド貴族の下に集った、魔物退治を生業にしてる傭兵の集まりさ。			イシュガルドのモブハント（初級）							
所属するクラン員は、出身も種族もてんでバラバラ。かくいう俺も、あんたと同じでイシュガルド人じゃあない。			所属するクラン員は、出身も種族もてんでバラバラ。かくいう俺も、あんたと同じでイシュガルド人じゃあない。			イシュガルドのモブハント（初級）							
腕に覚えがあるなら、ウチの準クラン員にならないか？なに、俺たちが請け負った魔物退治の仕事……つまり「モブハント」を成功させれば、報酬は支払うからよ。			腕に覚えがあるなら、ウチの準クラン員にならないか？なに、俺たちが請け負った魔物退治の仕事……つまり「モブハント」を成功させれば、報酬は支払うからよ。			イシュガルドのモブハント（初級）							
そんで、あんたの名は？……Forenameだな。それじゃあ、準クラン員として登録しておこう。			そんで、あんたの名は？……Forenameだな。それじゃあ、準クラン員として登録しておこう。			イシュガルドのモブハント（初級）							
請け負ったモブハントの依頼は、酒場の表にある「セントリオボード」に、随時掲示していく。まぁ、最初は比較的簡単な「初級」に挑戦するといいさ。			請け負ったモブハントの依頼は、酒場の表にある「セントリオボード」に、随時掲示していく。まぁ、最初は比較的簡単な「初級」に挑戦するといいさ。			イシュガルドのモブハント（初級）							
請け負ったモブハントの依頼は、酒場の表にある「セントリオボード」に、随時掲示していく。まぁ、最初は比較的簡単な「初級」に挑戦するといいさ。			請け負ったモブハントの依頼は、酒場の表にある「セントリオボード」に、随時掲示していく。まぁ、最初は比較的簡単な「初級」に挑戦するといいさ。			イシュガルドのモブハント（初級）							
これが「セントリオボード」のようだ。討伐対象「モブ」の手配書が掲示されている……。まずは、「初級」から挑戦していこう。			これが「セントリオボード」のようだ。討伐対象「モブ」の手配書が掲示されている……。まずは、「初級」から挑戦していこう。			イシュガルドのモブハント（初級）							
「クラン・セントリオ」の準クラン員となったため、「セントリオボード」から、「クラン・モブ手配書：初級」を入手できるようになりました。			「クラン・セントリオ」の準クラン員となったため、「セントリオボード」から、「クラン・モブ手配書：初級」を入手できるようになりました。			イシュガルドのモブハント（初級）							
手配書に記載されたモブの討伐に成功すると、「クラン・セントリオ」から、特別な報酬と交換できる、「セントリオ記章」を得ることができます。			手配書に記載されたモブの討伐に成功すると、「クラン・セントリオ」から、特別な報酬と交換できる、「セントリオ記章」を得ることができます。			イシュガルドのモブハント（初級）							
なお、報酬との交換や、詳細な説明については、忘れられた騎士亭にいる「アルドラン」が対応しているため、必要に応じて声をかけましょう。			なお、報酬との交換や、詳細な説明については、忘れられた騎士亭にいる「アルドラン」が対応しているため、必要に応じて声をかけましょう。			イシュガルドのモブハント（初級）							
ラストヴィジルの物憂げな令嬢は、ため息をついている。			ラストヴィジルの物憂げな令嬢は、ため息をついている。			兄の心妹知らず							
物憂げな令嬢から、家を出て行った兄に会うことがあれば、身を案じていたことを伝えてほしいと頼まれた。彼女の兄が頼れるのはレッドワルドくらいらしいが……。クルザス西部高地のファルコンネストにいる「レッドワルド」と話そう。			物憂げな令嬢から、家を出て行った兄に会うことがあれば、身を案じていたことを伝えてほしいと頼まれた。彼女の兄が頼れるのはレッドワルドくらいらしいが……。クルザス西部高地のファルコンネストにいる「レッドワルド」と話そう。			兄の心妹知らず							
レッドワルドに話を聞いた。令嬢の兄は、聖フィネア連隊に合流すると言っていたそうだ。クルザス西部高地の聖フィネア連隊の露営地にいる「貴族風の若者」と話そう。			レッドワルドに話を聞いた。令嬢の兄は、聖フィネア連隊に合流すると言っていたそうだ。クルザス西部高地の聖フィネア連隊の露営地にいる「貴族風の若者」と話そう。			兄の心妹知らず							
令嬢の兄を発見した。慣れない場所で心が折れていたようだが、妹が身を案じていたことを伝えると、反骨精神からやる気を取り戻したようだ。			令嬢の兄を発見した。慣れない場所で心が折れていたようだが、妹が身を案じていたことを伝えると、反骨精神からやる気を取り戻したようだ。			兄の心妹知らず							
ファルコンネストのレッドワルドと話す			ファルコンネストのレッドワルドと話す			兄の心妹知らず							
聖フィネア連隊の露営地の貴族風の若者と話す			聖フィネア連隊の露営地の貴族風の若者と話す			兄の心妹知らず							
ハァ………………。あら、ため息を聞かれてしまったのですね、お恥ずかしい……。実は、大好きなお兄様が、家を出てしまわれたのです。			ハァ………………。あら、ため息を聞かれてしまったのですね、お恥ずかしい……。実は、大好きなお兄様が、家を出てしまわれたのです。			兄の心妹知らず							
理由もお告げにならなかったことが、心配で心配で……。皇都の外でお兄様が頼れる方なんて、「ファルコンネスト」の「レッドワルド」様くらいですのに……。			理由もお告げにならなかったことが、心配で心配で……。皇都の外でお兄様が頼れる方なんて、「ファルコンネスト」の「レッドワルド」様くらいですのに……。			兄の心妹知らず							
もしも、出会うことがありましたら、妹が身を案じていたと、お伝えくださいませ……。			もしも、出会うことがありましたら、妹が身を案じていたと、お伝えくださいませ……。			兄の心妹知らず							
皇都の外でお兄様が頼れる方なんて、「ファルコンネスト」の「レッドワルド」様くらいですのに……。			皇都の外でお兄様が頼れる方なんて、「ファルコンネスト」の「レッドワルド」様くらいですのに……。			兄の心妹知らず							
……ああ、その人物ならばここに来たぞ。「聖フィネア連隊」に合流すると、息巻いてたな。			……ああ、その人物ならばここに来たぞ。「聖フィネア連隊」に合流すると、息巻いてたな。			兄の心妹知らず							
彼は、貴族ではあるが、家督を継げぬ三男坊……。自分の将来のために、ドラゴン族を狩り、功績を挙げたいのだろう。			彼は、貴族ではあるが、家督を継げぬ三男坊……。自分の将来のために、ドラゴン族を狩り、功績を挙げたいのだろう。			兄の心妹知らず							
……ああ、その人物ならここに来たぞ。「聖フィネア連隊」に合流すると、息巻いてたな。			……ああ、その人物ならここに来たぞ。「聖フィネア連隊」に合流すると、息巻いてたな。			兄の心妹知らず							
もうやだ～怖いよ～。こんなところで戦えるわけないじゃないか～。寒いよ～、もう帰りたいよ～。			もうやだ～怖いよ～。こんなところで戦えるわけないじゃないか～。寒いよ～、もう帰りたいよ～。			兄の心妹知らず							
……え？確かに、その子は僕の妹だけど……。			……え？確かに、その子は僕の妹だけど……。			兄の心妹知らず							
妹が僕の身を案じてるだって！？こ、皇都にいたときは、散々こき使ったくせに！……どうせ、こき使える相手がいなくて言ってるだけだ！			妹が僕の身を案じてるだって！？こ、皇都にいたときは、散々こき使ったくせに！……どうせ、こき使える相手がいなくて言ってるだけだ！			兄の心妹知らず							
くっそ～！　絶対に帰らないぞ！ドラゴン族を狩りまくって、功績を立てまくって、兄貴たちと妹を見返してやる～！			くっそ～！　絶対に帰らないぞ！ドラゴン族を狩りまくって、功績を立てまくって、兄貴たちと妹を見返してやる～！			兄の心妹知らず							
聖バルロアイアン広場の悩み深き男は、頭を抱えているようだ。			聖バルロアイアン広場の悩み深き男は、頭を抱えているようだ。			男の過去、女の未来							
悩み深き男は神殿騎士になるため、幼いころに将来を誓い合った女の子に、自分との結婚を待たぬよう伝えて欲しいようだ。目的の女性を探しだすため、イシュガルドのアインハルト伯爵邸の前にいる「バーテロット」と話そう。			悩み深き男は神殿騎士になるため、幼いころに将来を誓い合った女の子に、自分との結婚を待たぬよう伝えて欲しいようだ。目的の女性を探しだすため、イシュガルドのアインハルト伯爵邸の前にいる「バーテロット」と話そう。			男の過去、女の未来							
バーテロットに、ラニエットに聞くとよいだろうと言われた。アバラシア雲海のローズハウスにいる「ラニエット」と話そう。			バーテロットに、ラニエットに聞くとよいだろうと言われた。アバラシア雲海のローズハウスにいる「ラニエット」と話そう。			男の過去、女の未来							
ラニエットによると、彼女の補佐をしているマリエルが、情報に該当する境遇のようだ。ローズハウスの「マリエル」と話そう。			ラニエットによると、彼女の補佐をしているマリエルが、情報に該当する境遇のようだ。ローズハウスの「マリエル」と話そう。			男の過去、女の未来							
悩み深き男が言っていた女の子はマリエルだった。しかし、彼女は結婚の約束のことはすっかり忘れていたようだ。今はラニエットに寄り付く悪い虫を退けつつ、仕えることが生きがいらしい。			悩み深き男が言っていた女の子はマリエルだった。しかし、彼女は結婚の約束のことはすっかり忘れていたようだ。今はラニエットに寄り付く悪い虫を退けつつ、仕えることが生きがいらしい。			男の過去、女の未来							
アインハルト伯爵邸のバーテロットと話す			アインハルト伯爵邸のバーテロットと話す			男の過去、女の未来							
ローズハウスのラニエットと話す			ローズハウスのラニエットと話す			男の過去、女の未来							
マリエルと話す			マリエルと話す			男の過去、女の未来							
私は、祖国のため神殿騎士団に志願しようと思っているのだ。だが従騎士としての修行中は、例外なく「結婚禁止」となる。勲功を立てて、騎士爵を手にするまで何年かかるか……。			私は、祖国のため神殿騎士団に志願しようと思っているのだ。だが従騎士としての修行中は、例外なく「結婚禁止」となる。勲功を立てて、騎士爵を手にするまで何年かかるか……。			男の過去、女の未来							
私には、幼いころに将来を誓い合った女の子がいた……。もうずいぶん昔の話で、その子の名前も思い出せなくなったが、もし彼女が、今なお待っていてくれていたらと思うと……。			私には、幼いころに将来を誓い合った女の子がいた……。もうずいぶん昔の話で、その子の名前も思い出せなくなったが、もし彼女が、今なお待っていてくれていたらと思うと……。			男の過去、女の未来							
その子は、アインハルト家の一門に引き取られたと聞く。アインハルト家の者に聞けば、彼女の行方がわかるかもしれん。どうか探し出し、もう自分を待つ必要はないと伝えてほしい……。			その子は、アインハルト家の一門に引き取られたと聞く。アインハルト家の者に聞けば、彼女の行方がわかるかもしれん。どうか探し出し、もう自分を待つ必要はないと伝えてほしい……。			男の過去、女の未来							
幼いころに、アインハルト家に引き取られた女性……。お館様の方針でな、アインハルト家に引き取られ、その支援を受けた子どもは多い。			幼いころに、アインハルト家に引き取られた女性……。お館様の方針でな、アインハルト家に引き取られ、その支援を受けた子どもは多い。			男の過去、女の未来							
それゆえ、たったそれだけの情報では、その男と将来を誓った女性を特定するのは、困難だろう。			それゆえ、たったそれだけの情報では、その男と将来を誓った女性を特定するのは、困難だろう。			男の過去、女の未来							
ただ、年齢的には「キャンプ・クラウドトップ」を率いる、「ラニエット」様と同年代になるのではないか？あのお方に、訪ねてみるのがよいだろうな。			ただ、年齢的には「キャンプ・クラウドトップ」を率いる、「ラニエット」様と同年代になるのではないか？あのお方に、訪ねてみるのがよいだろうな。			男の過去、女の未来							
ただ、年齢的には「キャンプ・クラウドトップ」を率いる、「ラニエット」様と同年代になるのではないか？あのお方に、訪ねてみるのがよいだろうな。			ただ、年齢的には「キャンプ・クラウドトップ」を率いる、「ラニエット」様と同年代になるのではないか？あのお方に、訪ねてみるのがよいだろうな。			男の過去、女の未来							
ふむ、幼くして我がアインハルト家に引き取られた、私と同年代の女性を探している……と？それなら、私の補佐をしてくれる「マリエル」が当てはまるな。			ふむ、幼くして我がアインハルト家に引き取られた、私と同年代の女性を探している……と？それなら、私の補佐をしてくれる「マリエル」が当てはまるな。			男の過去、女の未来							
だが、結婚の約束をしたなどとは、聞いたことがない……。ともかく、本人に確認してみるといいだろう。			だが、結婚の約束をしたなどとは、聞いたことがない……。ともかく、本人に確認してみるといいだろう。			男の過去、女の未来							
それなら、私の補佐をしてくれる「マリエル」が当てはまるな。だが、結婚の約束をしたなどとは、聞いたことがない……。ともかく、本人に確認してみるといいだろう。			それなら、私の補佐をしてくれる「マリエル」が当てはまるな。だが、結婚の約束をしたなどとは、聞いたことがない……。ともかく、本人に確認してみるといいだろう。			男の過去、女の未来							
……結婚の約束ですか。言われてみれば……そんなことも、あったような……？ええ、おそらく私のことだと思います。			……結婚の約束ですか。言われてみれば……そんなことも、あったような……？ええ、おそらく私のことだと思います。			男の過去、女の未来							
しかし、今の今まで忘れていましたし、ラニエット隊長に仕えることが生きがいですので、結婚などに興味はありません。			しかし、今の今まで忘れていましたし、ラニエット隊長に仕えることが生きがいですので、結婚などに興味はありません。			男の過去、女の未来							
心優しいラニエット隊長に寄り付く悪い虫を退けきるまで、そのようなことに、うつつを抜かしている暇はありませんから！			心優しいラニエット隊長に寄り付く悪い虫を退けきるまで、そのようなことに、うつつを抜かしている暇はありませんから！			男の過去、女の未来							
聖レネット広場のボエモンダは、怒っているようだ。			聖レネット広場のボエモンダは、怒っているようだ。			故郷のあり方							
ボエモンダは、息子が騎兵として、故郷であるファルコンネストの砦の建造に従事していることが許せないらしい。クルザス西部高地のファルコンネストにいる「ジョスル」と話そう。			ボエモンダは、息子が騎兵として、故郷であるファルコンネストの砦の建造に従事していることが許せないらしい。クルザス西部高地のファルコンネストにいる「ジョスル」と話そう。			故郷のあり方							
ジョスルにボエモンダの気持ちを伝えた。ジョスルは、鷹匠の技術を残すことによって、彼なりに故郷を守るつもりのようだ。			ジョスルにボエモンダの気持ちを伝えた。ジョスルは、鷹匠の技術を残すことによって、彼なりに故郷を守るつもりのようだ。			故郷のあり方							
ファルコンネストのジョスルと話す			ファルコンネストのジョスルと話す			故郷のあり方							
ええい、まったく腹立たしい！わしは故郷を守りたいだけなのに、蔑ろにしおって！			ええい、まったく腹立たしい！わしは故郷を守りたいだけなのに、蔑ろにしおって！			故郷のあり方							
ファルコンネストは、わしの故郷だ。西部高地が寒冷化して、仕方なくここに避難したが、故郷を軍事砦として再建するなぞ、許せるものか！			ファルコンネストは、わしの故郷だ。西部高地が寒冷化して、仕方なくここに避難したが、故郷を軍事砦として再建するなぞ、許せるものか！			故郷のあり方							
それなのに馬鹿息子が、騎兵として砦の建造に従事しておる！何度止めようとも、耳を貸そうともしない……これが、腹を立てずにいられるか！			それなのに馬鹿息子が、騎兵として砦の建造に従事しておる！何度止めようとも、耳を貸そうともしない……これが、腹を立てずにいられるか！			故郷のあり方							
もし、「ジョスル」という男に会うことがあれば、馬鹿な仕事を辞めないなら、縁を切るぞと伝えてくれ！			もし、「ジョスル」という男に会うことがあれば、馬鹿な仕事を辞めないなら、縁を切るぞと伝えてくれ！			故郷のあり方							
もし、「ジョスル」という男に会うことがあれば、馬鹿な仕事を辞めないなら、縁を切るぞと伝えてくれ！			もし、「ジョスル」という男に会うことがあれば、馬鹿な仕事を辞めないなら、縁を切るぞと伝えてくれ！			故郷のあり方							
ジョスルは俺だけど……？　ええ、親父が縁を切るって！？……いや、何を言われても、この仕事を辞めるわけにはいかないよ。			ジョスルは俺だけど……？　ええ、親父が縁を切るって！？……いや、何を言われても、この仕事を辞めるわけにはいかないよ。			故郷のあり方							
俺の家は、代々、鷹匠なんだ。占星術はドラゴン族の活動周期を割り出すけど、直近の脅威を探るには、「鷹」を使うのがいちばんなんだよ。			俺の家は、代々、鷹匠なんだ。占星術はドラゴン族の活動周期を割り出すけど、直近の脅威を探るには、「鷹」を使うのがいちばんなんだよ。			故郷のあり方							
集落なんてものは、時代時代で変わっていくもの。確かにファルコンネストは霊災前と変わったけど、そこで育まれてきた、鷹匠の術は残すことができる。			集落なんてものは、時代時代で変わっていくもの。確かにファルコンネストは霊災前と変わったけど、そこで育まれてきた、鷹匠の術は残すことができる。			故郷のあり方							
この空に鷹が舞うかぎり、親父もみんなも、故郷に帰ってきたって思えるだろ？俺なりに故郷を守ってみせようと思ってるのさ。			この空に鷹が舞うかぎり、親父もみんなも、故郷に帰ってきたって思えるだろ？俺なりに故郷を守ってみせようと思ってるのさ。			故郷のあり方							
宝杖通りのエレイズは、何かを待っているようだ。			宝杖通りのエレイズは、何かを待っているようだ。			女商人の罠							
エレイズによると、店の売り上げを入れた袋の盗難事件が、多数発生しているそうだ。彼女から、犯人を捕まえるための罠を確認するよう頼まれた。宝杖通りの「エレイズの罠」を調べよう。			エレイズによると、店の売り上げを入れた袋の盗難事件が、多数発生しているそうだ。彼女から、犯人を捕まえるための罠を確認するよう頼まれた。宝杖通りの「エレイズの罠」を調べよう。			女商人の罠							
硬貨袋がなくなっている箇所を見つけた。宝杖通りの「エレイズ」と話そう。			硬貨袋がなくなっている箇所を見つけた。宝杖通りの「エレイズ」と話そう。			女商人の罠							
エレイズから、仕掛けた袋に、あらかじめ穴をあけていたことを教えてもらった。地面に落ちた偽硬貨を辿れば、犯人を追えるはずだ。イシュガルドの上層で犯人を探そう。			エレイズから、仕掛けた袋に、あらかじめ穴をあけていたことを教えてもらった。地面に落ちた偽硬貨を辿れば、犯人を追えるはずだ。イシュガルドの上層で犯人を探そう。			女商人の罠							
犯人らしきオゾリーを発見した。話しかけると、彼女は硬貨袋を置いて逃げていった。イシュガルド・ランディングの「穴の空いた硬貨袋」を入手しよう。			犯人らしきオゾリーを発見した。話しかけると、彼女は硬貨袋を置いて逃げていった。イシュガルド・ランディングの「穴の空いた硬貨袋」を入手しよう。			女商人の罠							
穴の空いた硬貨袋を入手した。宝杖通りの「エレイズ」に「穴の空いた硬貨袋」を渡そう。			穴の空いた硬貨袋を入手した。宝杖通りの「エレイズ」に「穴の空いた硬貨袋」を渡そう。			女商人の罠							
エレイズに穴の空いた硬貨袋を渡して、犯人について報告した。オゾリーは、有名な盗人らしい。今回の件で再犯を予防できたとみて、エレイズは良しとしたようだ。			エレイズに穴の空いた硬貨袋を渡して、犯人について報告した。オゾリーは、有名な盗人らしい。今回の件で再犯を予防できたとみて、エレイズは良しとしたようだ。			女商人の罠							
エレイズの罠を調べる			エレイズの罠を調べる			女商人の罠							
エレイズと話す			エレイズと話す			女商人の罠							
犯人を探す			犯人を探す			女商人の罠							
穴の空いた硬貨袋を入手			穴の空いた硬貨袋を入手			女商人の罠							
エレイズに穴の空いた硬貨袋を渡す			エレイズに穴の空いた硬貨袋を渡す			女商人の罠							
…………あとは犯人が罠にかかるのを待つだけ。あら、フォルタン家の御客人ではありませんか。そういえば……あなたは、冒険者でしたわね？			…………あとは犯人が罠にかかるのを待つだけ。あら、フォルタン家の御客人ではありませんか。そういえば……あなたは、冒険者でしたわね？			女商人の罠							
