ドマ町人地のコザクラは、仕事に励んでいるようだ。			ドマ町人地のコザクラは、仕事に励んでいるようだ。			君臣の義を以って							
……ありがたい。そなたにならば、案ずることなく任せられよう。			……ありがたい。そなたにならば、案ずることなく任せられよう。			君臣の義を以って							
ではコザクラ、あとは任せたぞ。町人地の再建案、楽しみにしておるからな。			ではコザクラ、あとは任せたぞ。町人地の再建案、楽しみにしておるからな。			君臣の義を以って							
し、心の臓が、縮みあがっておりまする……。でも、あなた様のよきお返事に、ひとつ安心いたしました。何卒よろしくお願いいたしまする。			し、心の臓が、縮みあがっておりまする……。でも、あなた様のよきお返事に、ひとつ安心いたしました。何卒よろしくお願いいたしまする。			君臣の義を以って							
ヒエン様の書簡を、レヴナンツトール開拓団の、長の方にお渡しくださいませ。お名前は、ええと……すら……すらふ坊……？			ヒエン様の書簡を、レヴナンツトール開拓団の、長の方にお渡しくださいませ。お名前は、ええと……すら……すらふ坊……？			君臣の義を以って							
……ほう、開拓団がらみの用事とな。わかった、俺が聞かせてもらうとしよう。			……ほう、開拓団がらみの用事とな。わかった、俺が聞かせてもらうとしよう。			君臣の義を以って							
ふむふむ……なるほど……。ドマの当主殿には、ずいぶん気を使わせてしまったようだな。			ふむふむ……なるほど……。ドマの当主殿には、ずいぶん気を使わせてしまったようだな。			君臣の義を以って							
だが、この提案……冒険者ギルドに所属する者が東方で活動する際に、支援をしてくれるというのは、素直に嬉しい。			だが、この提案……冒険者ギルドに所属する者が東方で活動する際に、支援をしてくれるというのは、素直に嬉しい。			君臣の義を以って							
冒険者たちは新たな旅路に胸ふくらませるだろうし、ギルドの顔役連中も、大いに喜ぶだろう。			冒険者たちは新たな旅路に胸ふくらませるだろうし、ギルドの顔役連中も、大いに喜ぶだろう。			君臣の義を以って							
あとの金品は……突き返すのも失礼な話か。ならば、ドマの人々を全員無事に祖国へ送り返すための、旅費にさせてもらうとしよう。			あとの金品は……突き返すのも失礼な話か。ならば、ドマの人々を全員無事に祖国へ送り返すための、旅費にさせてもらうとしよう。			君臣の義を以って							
そうでなくたって、彼らの働きには、大いに助けられてきたのだ。帰郷に異論はないどころか、心から祝福するよ。			そうでなくたって、彼らの働きには、大いに助けられてきたのだ。帰郷に異論はないどころか、心から祝福するよ。			君臣の義を以って							
……さあ、さっそく本人たちにも伝えてやるといい！「ホウザン」たちなら、ロウェナ会館の前で仕事をしていたはずだ。			……さあ、さっそく本人たちにも伝えてやるといい！「ホウザン」たちなら、ロウェナ会館の前で仕事をしていたはずだ。			君臣の義を以って							
ついに彼らが帰郷できるのか……。さっそく「ホウザン」たちに伝えてやるといい。			ついに彼らが帰郷できるのか……。さっそく「ホウザン」たちに伝えてやるといい。			君臣の義を以って							
おや、君が私たちの仕事場を訪ねてくるとは珍しい。……何か、火急の用事でも？			おや、君が私たちの仕事場を訪ねてくるとは珍しい。……何か、火急の用事でも？			君臣の義を以って							
な、なんだって！？我々の帰郷が決まりそうだと……！？			な、なんだって！？我々の帰郷が決まりそうだと……！？			君臣の義を以って							
それは一大事だ……。すぐに仲間たちを集めて、話をしよう。			それは一大事だ……。すぐに仲間たちを集めて、話をしよう。			君臣の義を以って							
では、ヒエン様のお力添えで、我々が帰る準備は、すっかり整ったと……そういうことなのか！？			では、ヒエン様のお力添えで、我々が帰る準備は、すっかり整ったと……そういうことなのか！？			君臣の義を以って							
……どうした、ヒギリ。浮かない顔じゃないか。			……どうした、ヒギリ。浮かない顔じゃないか。			君臣の義を以って							
い、いえ、もちろん嬉しいと思っています。ドマ解放からこちら、故郷への想いは募るばかりでしたから。			い、いえ、もちろん嬉しいと思っています。ドマ解放からこちら、故郷への想いは募るばかりでしたから。			君臣の義を以って							
しかし、これまでの日々や、帰郷を祝福するとまで言ってくださった、スラフボーンさんのことを考えると……。			しかし、これまでの日々や、帰郷を祝福するとまで言ってくださった、スラフボーンさんのことを考えると……。			君臣の義を以って							
確かに。主君が礼をしてくださったからといって、急に帰り支度をするのは、あまりに薄情だろう。			確かに。主君が礼をしてくださったからといって、急に帰り支度をするのは、あまりに薄情だろう。			君臣の義を以って							
我々は、この街で暮らす中で、エオルゼア諸国も困難な問題と戦っていることを知った。漂着直後に受け入れを断られたことについても、納得できよう。			我々は、この街で暮らす中で、エオルゼア諸国も困難な問題と戦っていることを知った。漂着直後に受け入れを断られたことについても、納得できよう。			君臣の義を以って							
しかし、そんな状況の中でも、我々を受け入れてくれた人が……街が、あったのだ。			しかし、そんな状況の中でも、我々を受け入れてくれた人が……街が、あったのだ。			君臣の義を以って							
それについての感謝は深い。たとえ主君のご好意であっても、恩返しを人任せにしてはならぬのでは……？			それについての感謝は深い。たとえ主君のご好意であっても、恩返しを人任せにしてはならぬのでは……？			君臣の義を以って							
……ふたりの言い分はもっともだ。私も、できるかぎり自分の手で、受けた恩義に報いたいと思う。ゆえに……このような案はどうだ？			……ふたりの言い分はもっともだ。私も、できるかぎり自分の手で、受けた恩義に報いたいと思う。ゆえに……このような案はどうだ？			君臣の義を以って							
まず、今請けている仕事は、きりのいいところまで、きっちりとやりとげる。立つ鳥が、跡を濁すことのないようにな。			まず、今請けている仕事は、きりのいいところまで、きっちりとやりとげる。立つ鳥が、跡を濁すことのないようにな。			君臣の義を以って							
それに加えて、帰郷のための準備も必要になると、出立までは数日を要するだろう。その間に、各自、恩ある相手に挨拶や礼を尽くすのだ。			それに加えて、帰郷のための準備も必要になると、出立までは数日を要するだろう。その間に、各自、恩ある相手に挨拶や礼を尽くすのだ。			君臣の義を以って							
うむ、うむ！いかに故郷恋しといえど、未練を残してこの地を去れば、町人地での新たな仕事にも陰りがでよう。			うむ、うむ！いかに故郷恋しといえど、未練を残してこの地を去れば、町人地での新たな仕事にも陰りがでよう。			君臣の義を以って							
わしなど、長い船旅に耐えられるのは、次で最後になるかもしれんからの。後腐れなく発てるよう、やるべきことは山もりじゃ！			わしなど、長い船旅に耐えられるのは、次で最後になるかもしれんからの。後腐れなく発てるよう、やるべきことは山もりじゃ！			君臣の義を以って							
ふふ、父上がそうして乗り気になってくださるなら、この案で参りましょう。			ふふ、父上がそうして乗り気になってくださるなら、この案で参りましょう。			君臣の義を以って							
君も、少しだけ我々に付き合ってはくれないか？よければ、街の北門付近で待機していてほしいんだ。			君も、少しだけ我々に付き合ってはくれないか？よければ、街の北門付近で待機していてほしいんだ。			君臣の義を以って							
抱えている仕事を片付けるにしろ、お礼を用意するにしろ、君に助言をもらえれば百人力だからな。判断に迷ったら、君を訪ねることにしよう。			抱えている仕事を片付けるにしろ、お礼を用意するにしろ、君に助言をもらえれば百人力だからな。判断に迷ったら、君を訪ねることにしよう。			君臣の義を以って							
快諾、ありがたい……。			快諾、ありがたい……。			君臣の義を以って							
それでは、各自、残りの時間を精一杯に使って、この尽きることなき恩に、報いるとしよう！			それでは、各自、残りの時間を精一杯に使って、この尽きることなき恩に、報いるとしよう！			君臣の義を以って							
ドマの人々に助言をすべく、この場所で待機しましょう。イベントには数分の時間がかかりますので、コンテンツファインダー申請中の場合などは、ご注意ください。			ドマの人々に助言をすべく、この場所で待機しましょう。イベントには数分の時間がかかりますので、コンテンツファインダー申請中の場合などは、ご注意ください。			君臣の義を以って							
この場所で待機しますか？			この場所で待機しますか？			君臣の義を以って							
おお、本当に待っていてくれたのじゃな！出会ったときから変わらず、お主は誠実じゃのう……。			おお、本当に待っていてくれたのじゃな！出会ったときから変わらず、お主は誠実じゃのう……。			君臣の義を以って							
そんなお主に、さっそく相談事があってな。この街を去るにあたって、友に贈り物をしたいので、何がよいか助言してほしいのじゃ。			そんなお主に、さっそく相談事があってな。この街を去るにあたって、友に贈り物をしたいので、何がよいか助言してほしいのじゃ。			君臣の義を以って							
贈る相手は、イジルドール殿。わし以上の高齢でありながら、「暁」の一員として、孫のアリアヌ殿とともに活躍している益荒男(ますらお)よ！			贈る相手は、イジルドール殿。わし以上の高齢でありながら、「暁」の一員として、孫のアリアヌ殿とともに活躍している益荒男(ますらお)よ！			君臣の義を以って							
あの御仁とは、よい茶飲み友達であったが、それ以上に、多くの勇気と元気をもらったものだ……。			あの御仁とは、よい茶飲み友達であったが、それ以上に、多くの勇気と元気をもらったものだ……。			君臣の義を以って							
さて、彼に感謝を表し、健勝を願って渡す品は、いったい何がよいじゃろうか？			さて、彼に感謝を表し、健勝を願って渡す品は、いったい何がよいじゃろうか？			君臣の義を以って							
イジルドールへの贈り物は？			イジルドールへの贈り物は？			君臣の義を以って							
目にいい薬			目にいい薬			君臣の義を以って							
忘れんぼうの薬			忘れんぼうの薬			君臣の義を以って							
足腰に効く薬			足腰に効く薬			君臣の義を以って							
はて……イジルドール殿は、目の具合が悪かったのか？そんな話は聞いたこともないのじゃが……。			はて……イジルドール殿は、目の具合が悪かったのか？そんな話は聞いたこともないのじゃが……。			君臣の義を以って							
うーむ、お主の助言なら、信じるべきじゃろうなぁ……。ありがとう、ひとまず市に参って、材料を調達せねばのう。			うーむ、お主の助言なら、信じるべきじゃろうなぁ……。ありがとう、ひとまず市に参って、材料を調達せねばのう。			君臣の義を以って							
はて……イジルドール殿は、物忘れを憂いておったのか？そんな話は聞いたこともないのじゃが……。			はて……イジルドール殿は、物忘れを憂いておったのか？そんな話は聞いたこともないのじゃが……。			君臣の義を以って							
うーむ、お主の助言なら、信じるべきじゃろうなぁ……。ありがとう、ひとまず市に参って、材料を調達せねばのう。			うーむ、お主の助言なら、信じるべきじゃろうなぁ……。ありがとう、ひとまず市に参って、材料を調達せねばのう。			君臣の義を以って							
ホウメイは、腑に落ちない様子で去っていった。間違った助言をしてしまったかもしれない……。			ホウメイは、腑に落ちない様子で去っていった。間違った助言をしてしまったかもしれない……。			君臣の義を以って							
おお、やはりか！イジルドール殿は、足腰を痛めてばかりじゃったのでな。わしも、それがよいのではと考えておったのじゃ。			おお、やはりか！イジルドール殿は、足腰を痛めてばかりじゃったのでな。わしも、それがよいのではと考えておったのじゃ。			君臣の義を以って							
お主は「暁」の仲間のことを、よーく見ておるのじゃなぁ。感心、感心……お主のような若者がいると思えば、わしも、何案ずることなく去れますわい。			お主は「暁」の仲間のことを、よーく見ておるのじゃなぁ。感心、感心……お主のような若者がいると思えば、わしも、何案ずることなく去れますわい。			君臣の義を以って							
では、さっそく市場に材料を調達しに参るゆえ……恩に着るのう、冒険者殿！			では、さっそく市場に材料を調達しに参るゆえ……恩に着るのう、冒険者殿！			君臣の義を以って							
ホウメイは、意気揚々と去っていった。正しい助言ができたようだ！			ホウメイは、意気揚々と去っていった。正しい助言ができたようだ！			君臣の義を以って							
Forename殿、少しよろしいか？すまぬが、貴殿の知恵を貸してほしい。			Forename殿、少しよろしいか？すまぬが、貴殿の知恵を貸してほしい。			君臣の義を以って							
この街には、今や多くの人が集まっているが、中でもロウェナ商会は、影響力の強い存在だ。			この街には、今や多くの人が集まっているが、中でもロウェナ商会は、影響力の強い存在だ。			君臣の義を以って							
我々も、レヴナンツトール開拓団の一員として働く中で、幾度も彼女たちと取引し、ときには援助を受けたこともあった。			我々も、レヴナンツトール開拓団の一員として働く中で、幾度も彼女たちと取引し、ときには援助を受けたこともあった。			君臣の義を以って							
ゆえに、街を去る前にきちんと挨拶をし、今後の取引について、明らかにしておきたいと思っている……のだが……あちらを見てほしい……。			ゆえに、街を去る前にきちんと挨拶をし、今後の取引について、明らかにしておきたいと思っている……のだが……あちらを見てほしい……。			君臣の義を以って							
あそこにおわす黒髪の女性が、ロウェナ商会の中でも、我々と直接やりとりをする係だ。			あそこにおわす黒髪の女性が、ロウェナ商会の中でも、我々と直接やりとりをする係だ。			君臣の義を以って							
しかし……我ながら失礼極まりないとは思うのだが……彼女の名前が、どうにもはっきりせぬのだ。あの商会の者は、皆、名前が似ているゆえな……。			しかし……我ながら失礼極まりないとは思うのだが……彼女の名前が、どうにもはっきりせぬのだ。あの商会の者は、皆、名前が似ているゆえな……。			君臣の義を以って							
最後くらいは、きちんと名を踏まえて言葉を交わしたい。さて、彼女の名前は何だったであろうか？			最後くらいは、きちんと名を踏まえて言葉を交わしたい。さて、彼女の名前は何だったであろうか？			君臣の義を以って							
彼女の名前は？			彼女の名前は？			君臣の義を以って							
エリナ			エリナ			君臣の義を以って							
オーリアナ			オーリアナ			君臣の義を以って							
ラレナ			ラレナ			君臣の義を以って							
グ・ジュサナ			グ・ジュサナ			君臣の義を以って							
パパナ			パパナ			君臣の義を以って							
ハッ、そうだ！　確かにそうであった！間違いない、彼女は「エリナ」であるはずだ！！			ハッ、そうだ！　確かにそうであった！間違いない、彼女は「エリナ」であるはずだ！！			君臣の義を以って							
さすがは、Forename殿。ロウェナ商会の上客であるという噂は、まことだったか。ありがとう、また忘れぬうちに話をしてこよう。			さすがは、Forename殿。ロウェナ商会の上客であるという噂は、まことだったか。ありがとう、また忘れぬうちに話をしてこよう。			君臣の義を以って							
ドウワレは、意気揚々と去っていった。正しい助言ができたようだ！			ドウワレは、意気揚々と去っていった。正しい助言ができたようだ！			君臣の義を以って							
うむ……？そのような名前だっただろうか……。なんだか、別人のような気が……。			うむ……？そのような名前だっただろうか……。なんだか、別人のような気が……。			君臣の義を以って							
ええい、ままよ！悩んでいても解決はせぬ、あたって砕けて参る！！			ええい、ままよ！悩んでいても解決はせぬ、あたって砕けて参る！！			君臣の義を以って							
ドウワレは、やぶれかぶれの様子で去っていった。間違った助言をしてしまったかもしれない……。			ドウワレは、やぶれかぶれの様子で去っていった。間違った助言をしてしまったかもしれない……。			君臣の義を以って							
Forenameさん！すみません、カーバンクルを見かけませんでしたか！？			Forenameさん！すみません、カーバンクルを見かけませんでしたか！？			君臣の義を以って							
レヴナンツトールでは、旅の冒険者さんが、街の整備を依頼として手伝ってくれたりするのですが……長らく一緒に働いている巴術士さんが、困っていらして。			レヴナンツトールでは、旅の冒険者さんが、街の整備を依頼として手伝ってくれたりするのですが……長らく一緒に働いている巴術士さんが、困っていらして。			君臣の義を以って							
彼女の使役するカーバンクルが、脱走してしまったんです！これまでも何度かあったことなのですが……どうやら、制御がうまくいっていないみたいで……。			彼女の使役するカーバンクルが、脱走してしまったんです！これまでも何度かあったことなのですが……どうやら、制御がうまくいっていないみたいで……。			君臣の義を以って							
私、少しでも多くの仲間を手伝えたらと思って、そのカーバンクルを探しているんです。名前は……確か…………。			私、少しでも多くの仲間を手伝えたらと思って、そのカーバンクルを探しているんです。名前は……確か…………。			君臣の義を以って							
カーバンクルの名前は？			カーバンクルの名前は？			君臣の義を以って							
エメラルドちゃん			エメラルドちゃん			君臣の義を以って							
ルビーちゃん			ルビーちゃん			君臣の義を以って							
トパーズちゃん			トパーズちゃん			君臣の義を以って							
オブシダンくん			オブシダンくん			君臣の義を以って							
ああ、そうです！翠玉のような美しい色をしていましたから！			ああ、そうです！翠玉のような美しい色をしていましたから！			君臣の義を以って							
ありがとうございます、Forenameさん！仲間のために、みんなのために、もう一仕事してきますね！			ありがとうございます、Forenameさん！仲間のために、みんなのために、もう一仕事してきますね！			君臣の義を以って							
ヒギリは、「エメラルドちゃん」と叫びながら去っていった。しかし手ごたえはないようだ……間違った助言をしてしまったかもしれない……。			ヒギリは、「エメラルドちゃん」と叫びながら去っていった。しかし手ごたえはないようだ……間違った助言をしてしまったかもしれない……。			君臣の義を以って							
ああ、そうです！額が、鮮やかな紅玉色でしたもの！			ああ、そうです！額が、鮮やかな紅玉色でしたもの！			君臣の義を以って							
ありがとうございます、Forenameさん！仲間のために、みんなのために、もう一仕事してきますね！			ありがとうございます、Forenameさん！仲間のために、みんなのために、もう一仕事してきますね！			君臣の義を以って							
ヒギリが「ルビーちゃん」と叫びながら走っていくと、1匹のカーバンクルが姿を現した。正しい助言ができたようだ！			ヒギリが「ルビーちゃん」と叫びながら走っていくと、1匹のカーバンクルが姿を現した。正しい助言ができたようだ！			君臣の義を以って							
あの子のカーバンクルは、翠玉色だったと思いますが……言われると、黄玉色だったような気もしてきました。			あの子のカーバンクルは、翠玉色だったと思いますが……言われると、黄玉色だったような気もしてきました。			君臣の義を以って							
ありがとうございます、Forenameさん！仲間のために、みんなのために、もう一仕事してきますね！			ありがとうございます、Forenameさん！仲間のために、みんなのために、もう一仕事してきますね！			君臣の義を以って							
ヒギリは、「トパーズちゃん」と叫びながら去っていった。しかし手ごたえはないようだ……間違った助言をしてしまったかもしれない……。			ヒギリは、「トパーズちゃん」と叫びながら去っていった。しかし手ごたえはないようだ……間違った助言をしてしまったかもしれない……。			君臣の義を以って							
ああ、そうです！その名前を、どこかで聞いたような気がいたします！			ああ、そうです！その名前を、どこかで聞いたような気がいたします！			君臣の義を以って							
ありがとうございます、Forenameさん！仲間のために、みんなのために、もう一仕事してきますね！			ありがとうございます、Forenameさん！仲間のために、みんなのために、もう一仕事してきますね！			君臣の義を以って							
ヒギリは、「オブシダンくん」と叫びながら去っていった。しかし手ごたえはないようだ……間違った助言をしてしまったかもしれない……。			ヒギリは、「オブシダンくん」と叫びながら去っていった。しかし手ごたえはないようだ……間違った助言をしてしまったかもしれない……。			君臣の義を以って							
やあ、通りすがりに父から聞いたよ。皆の相談にのってくれて、本当にありがとう。			やあ、通りすがりに父から聞いたよ。皆の相談にのってくれて、本当にありがとう。			君臣の義を以って							
……よければ、私もひとつ、相談させてくれないか？私たちが加わっている、レヴナンツトール開拓団についてだ。			……よければ、私もひとつ、相談させてくれないか？私たちが加わっている、レヴナンツトール開拓団についてだ。			君臣の義を以って							
難民である私たちに、職を与えてくれたこと……それも、街づくりという名誉な仕事をくれたことに、皆、心から感謝をしているんだ。			難民である私たちに、職を与えてくれたこと……それも、街づくりという名誉な仕事をくれたことに、皆、心から感謝をしているんだ。			君臣の義を以って							
帰郷にあたって、何かお礼できないかと考えているんだが……以前、友好の証として、スラフボーンさんに東方風の短刀を贈ったことがあってね。			帰郷にあたって、何かお礼できないかと考えているんだが……以前、友好の証として、スラフボーンさんに東方風の短刀を贈ったことがあってね。			君臣の義を以って							
それを大事にしてくれている手前、新しく別の贈り物というのも、違う気がしているんだ。……君は、どう思うだろうか？			それを大事にしてくれている手前、新しく別の贈り物というのも、違う気がしているんだ。……君は、どう思うだろうか？			君臣の義を以って							
開拓団にすべきことは？			開拓団にすべきことは？			君臣の義を以って							
より高価な贈り物をする			より高価な贈り物をする			君臣の義を以って							
これからも交流を続ける			これからも交流を続ける			君臣の義を以って							
う、うぐ……。何はともあれ謝礼は金品でということか……。冒険者にとっては、当たり前なのかもしれないな。			う、うぐ……。何はともあれ謝礼は金品でということか……。冒険者にとっては、当たり前なのかもしれないな。			君臣の義を以って							
およそ財産と呼べるものがない身だ、適した品が用意できるかは怪しいが……とりあえず、がんばってはみよう。			およそ財産と呼べるものがない身だ、適した品が用意できるかは怪しいが……とりあえず、がんばってはみよう。			君臣の義を以って							
ホウザンは、ますます悩んでしまったようだ。間違った助言をしてしまったかもしれない……。			ホウザンは、ますます悩んでしまったようだ。間違った助言をしてしまったかもしれない……。			君臣の義を以って							
そ、そんなことでいいのだろうか……？交流を続けていくことは、こちらとしても望みだが……。			そ、そんなことでいいのだろうか……？交流を続けていくことは、こちらとしても望みだが……。			君臣の義を以って							
……だが確かに、こちらで無理に礼を用意するよりは、故郷から報せを出した方が喜ばれるかもしれないな。開拓団の仲間には、好奇心あふれる冒険者も多いのだから。			……だが確かに、こちらで無理に礼を用意するよりは、故郷から報せを出した方が喜ばれるかもしれないな。開拓団の仲間には、好奇心あふれる冒険者も多いのだから。			君臣の義を以って							
国が落ち着いてくれば、四季折々の贈り物もできるだろう。私の住んでいた村は柿がうまくてね、干し柿なんかも、いいかもしれない。			国が落ち着いてくれば、四季折々の贈り物もできるだろう。私の住んでいた村は柿がうまくてね、干し柿なんかも、いいかもしれない。			君臣の義を以って							
ホウザンは、嬉しそうに語っている。正しい助言ができたようだ！			ホウザンは、嬉しそうに語っている。正しい助言ができたようだ！			君臣の義を以って							
おお、みんな！そちらの首尾はどうだ？			おお、みんな！そちらの首尾はどうだ？			君臣の義を以って							
君のおかげで、すべてうまくいったそうだ！この調子なら、ドマに帰るまでに、思い残すことはなくなるだろう。			君のおかげで、すべてうまくいったそうだ！この調子なら、ドマに帰るまでに、思い残すことはなくなるだろう。			君臣の義を以って							
すばらしい助言を、本当にありがとう！			すばらしい助言を、本当にありがとう！			君臣の義を以って							
君のおかげで、おおむねうまくいったそうだ！君に助言をもらえてよかった、改めて感謝するよ。			君のおかげで、おおむねうまくいったそうだ！君に助言をもらえてよかった、改めて感謝するよ。			君臣の義を以って							
今のところ成果はぼちぼちといったところのようだ。ドマに帰るまでに、もうひと頑張りしなければな……。			今のところ成果はぼちぼちといったところのようだ。ドマに帰るまでに、もうひと頑張りしなければな……。			君臣の義を以って							
まったくうまくいかないそうだ……。ううむ、いなくなって清々したと思われないように、もっと頑張らなければならないな……。			まったくうまくいかないそうだ……。ううむ、いなくなって清々したと思われないように、もっと頑張らなければならないな……。			君臣の義を以って							
そういえば、ホウザンさん。私たちが帰ることに決めた旨を、あらためてスラフボーンさんに伝えないと……。			そういえば、ホウザンさん。私たちが帰ることに決めた旨を、あらためてスラフボーンさんに伝えないと……。			君臣の義を以って							
お話に伺うときは、是非、私たちも同行させてください。仕事の続きをしながら、お待ちしていますね。			お話に伺うときは、是非、私たちも同行させてください。仕事の続きをしながら、お待ちしていますね。			君臣の義を以って							
確かに、正式に挨拶をしにいくべきだろう。それでは、私も仕事を片してから…………うん？			確かに、正式に挨拶をしにいくべきだろう。それでは、私も仕事を片してから…………うん？			君臣の義を以って							
あれは……冒険者のレシュ・ポラリさんではないか？クリスタルブレイブを抜けたあと、手を貸してくれているんだ。何かを探している様子だが……。			あれは……冒険者のレシュ・ポラリさんではないか？クリスタルブレイブを抜けたあと、手を貸してくれているんだ。何かを探している様子だが……。			君臣の義を以って							
