ココブシの目撃情報が入ったため、さっそく情報を集めに行きたいようだ。			ココブシの目撃情報が入ったため、さっそく情報を集めに行きたいようだ。			臆病者の牙							
クックック……Forename、好機です。ついにココブシの目撃情報が入ってきました。			クックック……Forename、好機です。ついにココブシの目撃情報が入ってきました。			臆病者の牙							
目撃情報があったのは「ベスパーベイ」です。「ココブシの人相書き」を作成しました。これを元に、皆で情報を集めましょう！			目撃情報があったのは「ベスパーベイ」です。「ココブシの人相書き」を作成しました。これを元に、皆で情報を集めましょう！			臆病者の牙							
ん？　見ねぇ顔だな、何か用かい？			ん？　見ねぇ顔だな、何か用かい？			臆病者の牙							
うーん、そういえばこれに似たララフェルが、何かを探すように、到着した定期船を見ていたよ。雇えそうな冒険者でも探していたのかなぁ。			うーん、そういえばこれに似たララフェルが、何かを探すように、到着した定期船を見ていたよ。雇えそうな冒険者でも探していたのかなぁ。			臆病者の牙							
あらいらっしゃい。お客さん……って顔つきじゃないみたいね。			あらいらっしゃい。お客さん……って顔つきじゃないみたいね。			臆病者の牙							
その子、ここで美人な女性をやたらナンパしてたわ。ウフフ、ちっちゃいのに積極的な子よね。			その子、ここで美人な女性をやたらナンパしてたわ。ウフフ、ちっちゃいのに積極的な子よね。			臆病者の牙							
おう、なんだい。人探しかい？			おう、なんだい。人探しかい？			臆病者の牙							
うーん、さっきこんな感じの小さなララフェル族が、リムサ・ロミンサから来たという冒険者達といたよ。斧術士と呪術士……のコンビだったかなぁ。			うーん、さっきこんな感じの小さなララフェル族が、リムサ・ロミンサから来たという冒険者達といたよ。斧術士と呪術士……のコンビだったかなぁ。			臆病者の牙							
弟達にも聞き込みをしてもらっています、Forenameも情報収集をしてください。			弟達にも聞き込みをしてもらっています、Forenameも情報収集をしてください。			臆病者の牙							
クックック……。なるほど、やはりこの辺りで活動をしているようですね。			クックック……。なるほど、やはりこの辺りで活動をしているようですね。			臆病者の牙							
消えた複数の美女は、魔力が貯まった時のための依り代。斧術士と呪術士の冒険者については、呪術士の魔力を狙っている可能性が高い。			消えた複数の美女は、魔力が貯まった時のための依り代。斧術士と呪術士の冒険者については、呪術士の魔力を狙っている可能性が高い。			臆病者の牙							
冒険者を早く見つけ出さないと、危険ですねぇ……。Forenameはまず、北を探してください。			冒険者を早く見つけ出さないと、危険ですねぇ……。Forenameはまず、北を探してください。			臆病者の牙							
冒険者を早く見つけ出さないと、危険ですねぇ……。Forenameはまず、北を探してください。			冒険者を早く見つけ出さないと、危険ですねぇ……。Forenameはまず、北を探してください。			臆病者の牙							
敵の気配を感じた！！			敵の気配を感じた！！			臆病者の牙							
うう……気を、つけろ……。奴の手先が、まだ近くに……。			うう……気を、つけろ……。奴の手先が、まだ近くに……。			臆病者の牙							
あ、ありがとう、助かったよ……。ウルダハの案内をしてくれるという、ララフェル族の少年に騙されたのだ……。			あ、ありがとう、助かったよ……。ウルダハの案内をしてくれるという、ララフェル族の少年に騙されたのだ……。			臆病者の牙							
仲間は、北の「ムーンドリップ洞窟」に連れていかれた……。頼む、奴を助けてくれ……。			仲間は、北の「ムーンドリップ洞窟」に連れていかれた……。頼む、奴を助けてくれ……。			臆病者の牙							
Forename！　てめぇ大丈夫かぁ！？			Forename！　てめぇ大丈夫かぁ！？			臆病者の牙							
おや、妖異の気配がすると思ったら、すでにForenameが倒した後でしたか……。			おや、妖異の気配がすると思ったら、すでにForenameが倒した後でしたか……。			臆病者の牙							
ム、「ムーンドリップ洞窟」……そこに、こ、ココブシがいるはずだっ！			ム、「ムーンドリップ洞窟」……そこに、こ、ココブシがいるはずだっ！			臆病者の牙							
……貴方達の勝利に、私は全てを賭けます。さぁ、「ムーンドリップ洞窟」に向かいましょう。			……貴方達の勝利に、私は全てを賭けます。さぁ、「ムーンドリップ洞窟」に向かいましょう。			臆病者の牙							
クエスト「呪術クエスト300」のバトルを開始しますか？			クエスト「呪術クエスト300」のバトルを開始しますか？			臆病者の牙							
はい			はい			臆病者の牙							
いいえ			いいえ			臆病者の牙							
作戦通り、私がまず行きましょう。モルモーと取引し、私の魔力を差し出せば……奴は依り代を使って、実体化するはずです。			作戦通り、私がまず行きましょう。モルモーと取引し、私の魔力を差し出せば……奴は依り代を使って、実体化するはずです。			臆病者の牙							
そうしたら、貴方達の出番…………。			そうしたら、貴方達の出番…………。			臆病者の牙							
……散々呪術士が避けるべき危機について説きながら、こんな戦いの場に、貴方達を巻き込んでいいのか。私はまだ、確信が持てません……。			……散々呪術士が避けるべき危機について説きながら、こんな戦いの場に、貴方達を巻き込んでいいのか。私はまだ、確信が持てません……。			臆病者の牙							
……Forename、貴方に問わせてください。呪術とは……呪術士の強さとは、何なのだと思いますか？			……Forename、貴方に問わせてください。呪術とは……呪術士の強さとは、何なのだと思いますか？			臆病者の牙							
呪術士の強さとは？			呪術士の強さとは？			臆病者の牙							
敵を屠る、最強の破壊力			敵を屠る、最強の破壊力			臆病者の牙							
…………。			…………。			臆病者の牙							
敵を屠る、最強の破壊力……その通りです。呪術の力は、危機を「避ける」ためではなく、危機に「打ち勝つ」ためにある。			敵を屠る、最強の破壊力……その通りです。呪術の力は、危機を「避ける」ためではなく、危機に「打ち勝つ」ためにある。			臆病者の牙							
……そうですね、答えは各々の心中にありましょう。			……そうですね、答えは各々の心中にありましょう。			臆病者の牙							
……ありがとうございます、踏ん切りがつきました。さあ、私は中に行きます。貴方達ならモルモーを倒せる、そう信じていますよ！			……ありがとうございます、踏ん切りがつきました。さあ、私は中に行きます。貴方達ならモルモーを倒せる、そう信じていますよ！			臆病者の牙							
い、いよいよだね……。こ、こ、こ、こわく……なんてないさ！			い、いよいよだね……。こ、こ、こ、こわく……なんてないさ！			臆病者の牙							
お、お、おう。お前ちびってねぇか？お、俺ぁエーテル飲み過ぎてちょっと……。			お、お、おう。お前ちびってねぇか？お、俺ぁエーテル飲み過ぎてちょっと……。			臆病者の牙							
も、問題ない。我が秘技「泣き落とし」もある。			も、問題ない。我が秘技「泣き落とし」もある。			臆病者の牙							
ア、ハハハ……。だ、大丈夫大丈夫、この僕もいるし、ね……。			ア、ハハハ……。だ、大丈夫大丈夫、この僕もいるし、ね……。			臆病者の牙							
待て、モルモー！			待て、モルモー！			臆病者の牙							
あらぁ……いつぞやの臆病な呪術士のお兄さん？また会えるとは思わなかったわぁ、ベッドの下に隠れていなくていいのかしらぁ。			あらぁ……いつぞやの臆病な呪術士のお兄さん？また会えるとは思わなかったわぁ、ベッドの下に隠れていなくていいのかしらぁ。			臆病者の牙							
……私は、お前と交渉するために来たのです。お前の狙いは、実体化に必要な生命エーテルの充足……。格下の呪術士を狙う方法では、時間がかかるでしょう。			……私は、お前と交渉するために来たのです。お前の狙いは、実体化に必要な生命エーテルの充足……。格下の呪術士を狙う方法では、時間がかかるでしょう。			臆病者の牙							
だが、呪術士ギルドマスターである私のエーテル量は、そこらの呪術士のエーテル量とは比較にならない……。どうでしょう、全て欲しくはないですか？			だが、呪術士ギルドマスターである私のエーテル量は、そこらの呪術士のエーテル量とは比較にならない……。どうでしょう、全て欲しくはないですか？			臆病者の牙							
私の魔力を奪い、集めた「器」を使って実体化すればいい。「臆病者」である私にとって、ココブシを救う手はそれしか無いのです、だから……。			私の魔力を奪い、集めた「器」を使って実体化すればいい。「臆病者」である私にとって、ココブシを救う手はそれしか無いのです、だから……。			臆病者の牙							
フフフフフッ……。臆病なわりに、バカではないみたいだねぇ。			フフフフフッ……。臆病なわりに、バカではないみたいだねぇ。			臆病者の牙							
ウフフフフフゥ……ようやく……ようやく魔力と体を取り戻せたわぁ……。まずは久々の自由な身体で、魔力を確認したいわねぇ……。			ウフフフフフゥ……ようやく……ようやく魔力と体を取り戻せたわぁ……。まずは久々の自由な身体で、魔力を確認したいわねぇ……。			臆病者の牙							
そ、そそそそそそうはさせなひぞ！！			そ、そそそそそそうはさせなひぞ！！			臆病者の牙							
ぼ、ぼ、僕ら呪術士がねぇ、お前なんか、ここから、い、一歩もださない……よ！			ぼ、ぼ、僕ら呪術士がねぇ、お前なんか、ここから、い、一歩もださない……よ！			臆病者の牙							
ウフフフゥ！　命がけの仕掛けにしてはお粗末ねぇ。なら……お望み通り切り裂いて切り裂いて……全員ぶっ殺してあげるからあぁっぁぁあぁぁぁ！！！			ウフフフゥ！　命がけの仕掛けにしてはお粗末ねぇ。なら……お望み通り切り裂いて切り裂いて……全員ぶっ殺してあげるからあぁっぁぁあぁぁぁ！！！			臆病者の牙							
か、勝った…………？			か、勝った…………？			臆病者の牙							
よっしゃああああ！　勝ったぜぇ！！ココブシ、兄ちゃん！　俺たち勝ったぜ！！！			よっしゃああああ！　勝ったぜぇ！！ココブシ、兄ちゃん！　俺たち勝ったぜ！！！			臆病者の牙							
う……ん……にいちゃん……たち……？			う……ん……にいちゃん……たち……？			臆病者の牙							
ココブシ……良かった。兄者、ココブシが目を。			ココブシ……良かった。兄者、ココブシが目を。			臆病者の牙							
ハ、ハハハハハ……に、に、兄ちゃんが……目を覚まさないんだ……ど、どどどうすれば……。			ハ、ハハハハハ……に、に、兄ちゃんが……目を覚まさないんだ……ど、どどどうすれば……。			臆病者の牙							
兄ちゃん…………！？			兄ちゃん…………！？			臆病者の牙							
……生命を保つだけのエーテルが足りない。非常に、危険な状態だ……。エーテルを……魔力をどうにかして増幅させないと……。			……生命を保つだけのエーテルが足りない。非常に、危険な状態だ……。エーテルを……魔力をどうにかして増幅させないと……。			臆病者の牙							
僕が自分のために作った「魔力増幅薬」。効き目は小さいけど……これがあれば！			僕が自分のために作った「魔力増幅薬」。効き目は小さいけど……これがあれば！			臆病者の牙							
……呪術士ギルド……一世一代の賭……けは、私たちの、勝ちのようですね……。			……呪術士ギルド……一世一代の賭……けは、私たちの、勝ちのようですね……。			臆病者の牙							
す、凄い！　凄いよココブシ！お、お前の薬のおかげだ！！			す、凄い！　凄いよココブシ！お、お前の薬のおかげだ！！			臆病者の牙							
Forename、あ、ありがとう！俺達は兄ちゃんたちを連れていく、ギルドでまた会おう。そ、その時に改めてお礼を言わせてくれ！			Forename、あ、ありがとう！俺達は兄ちゃんたちを連れていく、ギルドでまた会おう。そ、その時に改めてお礼を言わせてくれ！			臆病者の牙							
Forename、貴方のおかげです。私は、大きなリスクを負う呪術の力に怯え……その本質を見失っていたようです。			Forename、貴方のおかげです。私は、大きなリスクを負う呪術の力に怯え……その本質を見失っていたようです。			臆病者の牙							
貴方が見せてくれた純粋な魔力、そして勇気が、私や臆病な弟達に、その真価を思い出させてくれました。			貴方が見せてくれた純粋な魔力、そして勇気が、私や臆病な弟達に、その真価を思い出させてくれました。			臆病者の牙							
アハハッ！　死ぬかと思って、ちょー怖かったけどさ～。結果オーライ、大勝利って気持ちいいねぇ！			アハハッ！　死ぬかと思って、ちょー怖かったけどさ～。結果オーライ、大勝利って気持ちいいねぇ！			臆病者の牙							
そして、ココブシ。お前は私達の弟であり、仲間です。貴方は貴方の力を活かし、人々を救ってください。			そして、ココブシ。お前は私達の弟であり、仲間です。貴方は貴方の力を活かし、人々を救ってください。			臆病者の牙							
Forename、貴方は呪術士として、私の想像を超える成長をしてきました……。貴方に呪術士ギルドに伝わる技を伝授しましょう。			Forename、貴方は呪術士として、私の想像を超える成長をしてきました……。貴方に呪術士ギルドに伝わる技を伝授しましょう。			臆病者の牙							
「マバリア」といいます。敵からの攻撃を軽減させる防御魔法。			「マバリア」といいます。敵からの攻撃を軽減させる防御魔法。			臆病者の牙							
ククク……破壊だけではありません、「守る」ための魔法も呪術にはあるんですよ。			ククク……破壊だけではありません、「守る」ための魔法も呪術にはあるんですよ。			臆病者の牙							
死の危機と、それに打ち勝つ勝利の喜びを知った貴方なら、呪術士としてまだまだ先の高みを目指せるはずでしょう。			死の危機と、それに打ち勝つ勝利の喜びを知った貴方なら、呪術士としてまだまだ先の高みを目指せるはずでしょう。			臆病者の牙							
危機を知恵に、知恵を勇気に……。貴方が紡ぐ、呪術士としての新たな物語を楽しみにしていますよ、クックックック……。			危機を知恵に、知恵を勇気に……。貴方が紡ぐ、呪術士としての新たな物語を楽しみにしていますよ、クックックック……。			臆病者の牙							
アハハハァ！　素敵な悲鳴を聞かせて頂戴！！			アハハハァ！　素敵な悲鳴を聞かせて頂戴！！			臆病者の牙							
ぼ、ぼ、僕がモルモーの注意をひく！　皆は離れて！			ぼ、ぼ、僕がモルモーの注意をひく！　皆は離れて！			臆病者の牙							
コ、コココ、ココビゴ兄貴の補助は俺に任せやがれぇ！			コ、コココ、ココビゴ兄貴の補助は俺に任せやがれぇ！			臆病者の牙							
あ、兄者に学びし我が呪術の力……標的を屠らん！			あ、兄者に学びし我が呪術の力……標的を屠らん！			臆病者の牙							
こここ、怖くなんかない！　どんな敵だって、破壊してやる！			こここ、怖くなんかない！　どんな敵だって、破壊してやる！			臆病者の牙							
ウフフフ……だいぶカンが戻ってきたわねェ……。そろそろ本気で殺して……ア・ゲ・ル♪			ウフフフ……だいぶカンが戻ってきたわねェ……。そろそろ本気で殺して……ア・ゲ・ル♪			臆病者の牙							
さっきの、引き寄せられる技は何だァ！？			さっきの、引き寄せられる技は何だァ！？			臆病者の牙							
恐怖……我が身体を誘い込む、未知なる技！			恐怖……我が身体を誘い込む、未知なる技！			臆病者の牙							
しかも……その後声が出なかった……。詠唱が、できなかったよ！！			しかも……その後声が出なかった……。詠唱が、できなかったよ！！			臆病者の牙							
み、み、皆……冷静になろう！冷静に対処すれば、危機は避けられるはずだ！！			み、み、皆……冷静になろう！冷静に対処すれば、危機は避けられるはずだ！！			臆病者の牙							
ちょこまかとしぶとい糞ガキどもねぇ！！さっさと血飛沫上げて、死になさいよぉおぉお！！！			ちょこまかとしぶとい糞ガキどもねぇ！！さっさと血飛沫上げて、死になさいよぉおぉお！！！			臆病者の牙							
くっ……何か……来る！！			くっ……何か……来る！！			臆病者の牙							
ごめんね……後は、お願い……。			ごめんね……後は、お願い……。			臆病者の牙							
ちっくしょう……！俺は、これまでかよぉ……！			ちっくしょう……！俺は、これまでかよぉ……！			臆病者の牙							
無念……勝利は、託した……。			無念……勝利は、託した……。			臆病者の牙							
アハハ……僕、無理かも……悔しいなぁ……。			アハハ……僕、無理かも……悔しいなぁ……。			臆病者の牙							
ふ、復活した……アタシの身体が……力が……。消えていく……そんな……。			ふ、復活した……アタシの身体が……力が……。消えていく……そんな……。			臆病者の牙							
呪術士ギルドマスターのココビゴは冒険者に相談があるらしい。			呪術士ギルドマスターのココビゴは冒険者に相談があるらしい。			深淵に射す光							
ココブキの様子がおかしいようだ。ココブキに話しかけてみよう。			ココブキの様子がおかしいようだ。ココブキに話しかけてみよう。			深淵に射す光							
壺の破壊を依頼した妖異学者が「ドライボーン」にいるようだ。彼らから「モルモーの論文集」を三冊貰おう。			壺の破壊を依頼した妖異学者が「ドライボーン」にいるようだ。彼らから「モルモーの論文集」を三冊貰おう。			深淵に射す光							
モルモーの論文集を三冊手に入れることができた。「呪術士ギルド」の「ココブキ」に渡そう。			モルモーの論文集を三冊手に入れることができた。「呪術士ギルド」の「ココブキ」に渡そう。			深淵に射す光							
ココビゴに「モルモーの論文集」を渡そう			ココビゴに「モルモーの論文集」を渡そう			深淵に射す光							
ココブキは冒険者に呪術の深淵の裏の章に挑み、ココビゴ達に勇気を示してほしいようだ。挑む気持ちになったら「ザルの祠」に向かおう。一人の呪術士としての総合力を試すようだ。ココブキに挑戦することを示そう。			ココブキは冒険者に呪術の深淵の裏の章に挑み、ココビゴ達に勇気を示してほしいようだ。挑む気持ちになったら「ザルの祠」に向かおう。一人の呪術士としての総合力を試すようだ。ココブキに挑戦することを示そう。			深淵に射す光							
裏の章の試練を乗り越えることができた。「呪術士ギルド」の「ココブキ」に話そう。			裏の章の試練を乗り越えることができた。「呪術士ギルド」の「ココブキ」に話そう。			深淵に射す光							
見事、裏の章の試練をやり遂げた冒険者。モルモーを倒すその日までに、呪術の鍛錬に励もう。※呪術士のレベルが30以上になると、ココブキから　次の呪術士クエストを受注することができます。			見事、裏の章の試練をやり遂げた冒険者。モルモーを倒すその日までに、呪術の鍛錬に励もう。※呪術士のレベルが30以上になると、ココブキから　次の呪術士クエストを受注することができます。			深淵に射す光							
ココブキと話す			ココブキと話す			深淵に射す光							
妖異学者からモルモーの論文を集める			妖異学者からモルモーの論文を集める			深淵に射す光							
呪術士ギルドのココブキにモルモーの論文集を渡す			呪術士ギルドのココブキにモルモーの論文集を渡す			深淵に射す光							
ココビゴにモルモーの論文集を渡す			ココビゴにモルモーの論文集を渡す			深淵に射す光							
ザルの祠でココブキと話す			ザルの祠でココブキと話す			深淵に射す光							
呪術士ギルドのココブキと話す			呪術士ギルドのココブキと話す			深淵に射す光							
「裏の章」の試練に現れる全ての敵を倒せ！			「裏の章」の試練に現れる全ての敵を倒せ！			深淵に射す光							
クエスト「呪術クエスト250」のバトルを開始しますか？			クエスト「呪術クエスト250」のバトルを開始しますか？			深淵に射す光							
はい			はい			深淵に射す光							
いいえ			いいえ			深淵に射す光							
ココブシのこと……Forenameは知っているんだよね。ぼ、僕らもココブキ兄ちゃんに教えてもらったんだ。早くココブシを見つけて捕らえ……手を打たないと……。			ココブシのこと……Forenameは知っているんだよね。ぼ、僕らもココブキ兄ちゃんに教えてもらったんだ。早くココブシを見つけて捕らえ……手を打たないと……。			深淵に射す光							
で、でも兄ちゃん、ずっと悩んでる……。いつも冷静な兄ちゃんが、おかしいんだ……！Forename……様子を見てきてくれないかな。			で、でも兄ちゃん、ずっと悩んでる……。いつも冷静な兄ちゃんが、おかしいんだ……！Forename……様子を見てきてくれないかな。			深淵に射す光							
Forename……。私としたことが、あれから悩み続けているのです。どうすれば、ココブシを助けられるのかと……。			Forename……。私としたことが、あれから悩み続けているのです。どうすれば、ココブシを助けられるのかと……。			深淵に射す光							
他者に事情を相談するわけにもいきません。ココブシごと殺そうとする人が現れるからです。「呪術の深淵」とはそういう掟なのです。			他者に事情を相談するわけにもいきません。ココブシごと殺そうとする人が現れるからです。「呪術の深淵」とはそういう掟なのです。			深淵に射す光							
……ひとつ、可能性を紡ぐ光明に思い至りました。我らに壺の破壊依頼をした、妖異学者の一行が、研究の旅から帰ってきた、との報せがあったのです。			……ひとつ、可能性を紡ぐ光明に思い至りました。我らに壺の破壊依頼をした、妖異学者の一行が、研究の旅から帰ってきた、との報せがあったのです。			深淵に射す光							
「キャンプ・ドライボーン」にいる彼らは、妖異「モルモー」に関する研究論文を書いたとか。それをぜひ、もらってきてくれませんか？			「キャンプ・ドライボーン」にいる彼らは、妖異「モルモー」に関する研究論文を書いたとか。それをぜひ、もらってきてくれませんか？			深淵に射す光							
妖異「モルモー」の研究論文が欲しいのかい？ハハッ、いいだろう、なかなか珍しい趣味をしているね。			妖異「モルモー」の研究論文が欲しいのかい？ハハッ、いいだろう、なかなか珍しい趣味をしているね。			深淵に射す光							
僕が執筆を担当した「モルモー論：第一章」は、我々がモルモーを知るに至った経緯を記している。あれを封じた「壺」は本当に恐ろしい代物だよ。			僕が執筆を担当した「モルモー論：第一章」は、我々がモルモーを知るに至った経緯を記している。あれを封じた「壺」は本当に恐ろしい代物だよ。			深淵に射す光							
「モルモー論：第一章」読み応えのある仕上がりだ！妖異に興味を持ってくれると、研究者としては喜ばしい。			「モルモー論：第一章」読み応えのある仕上がりだ！妖異に興味を持ってくれると、研究者としては喜ばしい。			深淵に射す光							
妖異「モルモー」に関心があるのね、教えてあげる。妖異ってのは、異界ヴォイドで生まれた魔物なんだけど、こっちの世界に渡ってくるには、一種の「穴」が必要なの。			妖異「モルモー」に関心があるのね、教えてあげる。妖異ってのは、異界ヴォイドで生まれた魔物なんだけど、こっちの世界に渡ってくるには、一種の「穴」が必要なの。			深淵に射す光							
でもモルモーみたいな強い妖異は、小さな穴じゃ通れない。だから魂だけを通らせて、死体とかを依り代に活動するの。「モルモー論：第二章」に書いたから読むといいわ。			でもモルモーみたいな強い妖異は、小さな穴じゃ通れない。だから魂だけを通らせて、死体とかを依り代に活動するの。「モルモー論：第二章」に書いたから読むといいわ。			深淵に射す光							
ふー、研究の旅が終わったら、ちょっとはこうして息抜きしないとね！			ふー、研究の旅が終わったら、ちょっとはこうして息抜きしないとね！			深淵に射す光							
妖異「モルモー」の研究論文が欲しいのですか？「モルモー論：第三章」では、古代の魔道士たちが考えた、モルモーの魂を滅す手法について分析しました！			妖異「モルモー」の研究論文が欲しいのですか？「モルモー論：第三章」では、古代の魔道士たちが考えた、モルモーの魂を滅す手法について分析しました！			深淵に射す光							
だいたい、魔力を奪う封印っていうのが…………。……って、立ち話で説明すると、二晩かかっちゃいます。論文は持って帰って、ゆっくり読んでくださいね！			だいたい、魔力を奪う封印っていうのが…………。……って、立ち話で説明すると、二晩かかっちゃいます。論文は持って帰って、ゆっくり読んでくださいね！			深淵に射す光							
「モルモー論：第三章」をしっかりガッツリ読めば、貴方もモルモーを封印できる……なーんてね！			「モルモー論：第三章」をしっかりガッツリ読めば、貴方もモルモーを封印できる……なーんてね！			深淵に射す光							
「モルモーの論文集」を三冊、集めてきてください……。			「モルモーの論文集」を三冊、集めてきてください……。			深淵に射す光							
シラディハ遺跡より発掘された史書によれば、かつて、妖異の中でも飛び抜けて高い魔力を持つ「モルモー」なる妖異が猛威を振ったという。			シラディハ遺跡より発掘された史書によれば、かつて、妖異の中でも飛び抜けて高い魔力を持つ「モルモー」なる妖異が猛威を振ったという。			深淵に射す光							
シラディハの魔道士達は、モルモーを倒すため、触れた者のエーテルを奪う「吸魔の壺」を作り上げ、その中にモルモーを閉じ込めた。			シラディハの魔道士達は、モルモーを倒すため、触れた者のエーテルを奪う「吸魔の壺」を作り上げ、その中にモルモーを閉じ込めた。			深淵に射す光							
壺に封じられたエーテル、すなわち魔力は、数百年で霧散し、モルモーの魂を壺ごと破壊できる。それまで、決して壺を開けてはならぬ。			壺に封じられたエーテル、すなわち魔力は、数百年で霧散し、モルモーの魂を壺ごと破壊できる。それまで、決して壺を開けてはならぬ。			深淵に射す光							
ひとたび壺の封を開ければ、手近な者を依代とし、モルモーは活動を再開するだろう。憑依されたが最後、救う手立てなし……抹殺すべし。			ひとたび壺の封を開ければ、手近な者を依代とし、モルモーは活動を再開するだろう。憑依されたが最後、救う手立てなし……抹殺すべし。			深淵に射す光							
魔力を失い魂となったモルモーが、ココブシの体を奪った。そして、魔力の足りないココブシでは飽き足らず、かつての魔力を取り戻すため、次々と呪術士達を……。			魔力を失い魂となったモルモーが、ココブシの体を奪った。そして、魔力の足りないココブシでは飽き足らず、かつての魔力を取り戻すため、次々と呪術士達を……。			深淵に射す光							
クク……ココブシを救う望みが、ひとつだけありそうです。ココビゴにもモルモーの論文集を渡してあげてください。私も後からいきます。			クク……ココブシを救う望みが、ひとつだけありそうです。ココビゴにもモルモーの論文集を渡してあげてください。私も後からいきます。			深淵に射す光							
ココビゴにもモルモーの論文集を渡してあげて下さい。私も後からいきます……。			ココビゴにもモルモーの論文集を渡してあげて下さい。私も後からいきます……。			深淵に射す光							
モ、モルモーについての研究論文……？何か、解決策が書いてあるといいけど……。			モ、モルモーについての研究論文……？何か、解決策が書いてあるといいけど……。			深淵に射す光							
に、兄さん……。モ、モルモーの論文集には絶望的なことしか書いてない。やはり、早く……決断をしなきゃいけないと思う。			に、兄さん……。モ、モルモーの論文集には絶望的なことしか書いてない。やはり、早く……決断をしなきゃいけないと思う。			深淵に射す光							
……難しいですが、全員が助かる方法がひとつだけあります。ククク……失敗すれば多くの犠牲者を生みますけどねぇ。			……難しいですが、全員が助かる方法がひとつだけあります。ククク……失敗すれば多くの犠牲者を生みますけどねぇ。			深淵に射す光							
そ、そんなの、いつもの兄貴らしくねぇぜ！危機を学び、戦いのリスクを下げる！それが呪術士の戦い方じゃねぇのか！？			そ、そんなの、いつもの兄貴らしくねぇぜ！危機を学び、戦いのリスクを下げる！それが呪術士の戦い方じゃねぇのか！？			深淵に射す光							
時が経てば、モルモーは魔力を取り戻す……。敵は弱いうちに打つべき、そうではないのか、兄者……。			時が経てば、モルモーは魔力を取り戻す……。敵は弱いうちに打つべき、そうではないのか、兄者……。			深淵に射す光							
……要はさぁ、にいちゃん。今のうちにココブシをやっちゃうしかないんじゃないの？			……要はさぁ、にいちゃん。今のうちにココブシをやっちゃうしかないんじゃないの？			深淵に射す光							
いえ、モルモーに私の魔力をくれてやり、ココブシを解放させる……それが私の結論です。			いえ、モルモーに私の魔力をくれてやり、ココブシを解放させる……それが私の結論です。			深淵に射す光							
ダメだ、そんなの危険過ぎる！！に、兄ちゃんの魔力が枯渇して死んじゃうよ！それに、モルモーが完全復活しちゃうじゃないか！			ダメだ、そんなの危険過ぎる！！に、兄ちゃんの魔力が枯渇して死んじゃうよ！それに、モルモーが完全復活しちゃうじゃないか！			深淵に射す光							
私の魔力は膨大だ、死に至らない可能性もある。完全復活したモルモーは……お前たち、そしてForenameが協力して倒すのです。			私の魔力は膨大だ、死に至らない可能性もある。完全復活したモルモーは……お前たち、そしてForenameが協力して倒すのです。			深淵に射す光							
アハハ……無理に決まってんじゃん、伝説の妖異なんて……。それに、勝つ見込みの薄い敵と戦ったことなんて無いよ……。			アハハ……無理に決まってんじゃん、伝説の妖異なんて……。それに、勝つ見込みの薄い敵と戦ったことなんて無いよ……。			深淵に射す光							
