流星の間のリムサ・ロミンサの駐在武官は、冒険者に頼みたいことがあるようだ。			流星の間のリムサ・ロミンサの駐在武官は、冒険者に頼みたいことがあるようだ。			いざ、出航の時							
ありがとうございます！優れた指揮官でもありながら、銃の扱いに長けた提督と、近接戦闘に長けたあなたが組めば、怖いものなどありません！			ありがとうございます！優れた指揮官でもありながら、銃の扱いに長けた提督と、近接戦闘に長けたあなたが組めば、怖いものなどありません！			いざ、出航の時							
それでは、リムサ・ロミンサ上甲板層の黒渦団：軍令部に向かい、「黒渦団の書記官」から詳しい話を聞いてください！			それでは、リムサ・ロミンサ上甲板層の黒渦団：軍令部に向かい、「黒渦団の書記官」から詳しい話を聞いてください！			いざ、出航の時							
お待ちしていました。ラザハンの駐在武官より、話は聞いております。すぐに提督をお呼びしますので、少しお待ちください。			お待ちしていました。ラザハンの駐在武官より、話は聞いております。すぐに提督をお呼びしますので、少しお待ちください。			いざ、出航の時							
待たせてすまないな。			待たせてすまないな。			いざ、出航の時							
まずは、現在危機に瀕している海都のために、ここまで足を運んでくれたこと、深く感謝する。			まずは、現在危機に瀕している海都のために、ここまで足を運んでくれたこと、深く感謝する。			いざ、出航の時							
豊穣海の周辺で起こった一連の終末現象については、ラザハンからの報告で聞き及んでいる。……とても酷い様相だったようだな。			豊穣海の周辺で起こった一連の終末現象については、ラザハンからの報告で聞き及んでいる。……とても酷い様相だったようだな。			いざ、出航の時							
しかし、「終末の災厄」自体は、まだ終わったわけではない。聞いていると思うが、ラノシアでも終末の獣が確認されたのだ。			しかし、「終末の災厄」自体は、まだ終わったわけではない。聞いていると思うが、ラノシアでも終末の獣が確認されたのだ。			いざ、出航の時							
君や「暁の血盟」のおかげで、この星は終末の危機を脱することができた。だが、ラノシア近海で確認された偽神獣は未だ討伐できていない。			君や「暁の血盟」のおかげで、この星は終末の危機を脱することができた。だが、ラノシア近海で確認された偽神獣は未だ討伐できていない。			いざ、出航の時							
書記官、詳細の説明を……。			書記官、詳細の説明を……。			いざ、出航の時							
発端は、スカルバレーの警備にあたっている団員からの、「見たことのない魔物を目撃した」という報告でした。			発端は、スカルバレーの警備にあたっている団員からの、「見たことのない魔物を目撃した」という報告でした。			いざ、出航の時							
無論、それだけでは終末の獣とは言い切れない。ところが、思わぬところから新たな情報が入ったのです。			無論、それだけでは終末の獣とは言い切れない。ところが、思わぬところから新たな情報が入ったのです。			いざ、出航の時							
黒渦団では、「暁の血盟」から提供されたポークシーを用いて、サハギン族のテンパード治療に当たっておりました。			黒渦団では、「暁の血盟」から提供されたポークシーを用いて、サハギン族のテンパード治療に当たっておりました。			いざ、出航の時							
そして、多くの精神汚染者を治療したことで、彼らの中に、人と対話を求める勢力、「融和派」が生まれました。			そして、多くの精神汚染者を治療したことで、彼らの中に、人と対話を求める勢力、「融和派」が生まれました。			いざ、出航の時							
新たな情報というのは、その融和派のサハギン族から届けられたのだ。			新たな情報というのは、その融和派のサハギン族から届けられたのだ。			いざ、出航の時							
彼らによれば、ラノシア近海に生息するサハギン族が、突如、異形の姿に変異する事件が頻発しているそうです。これは、話に聞くラザハンで起こった終末現象と酷似しています。			彼らによれば、ラノシア近海に生息するサハギン族が、突如、異形の姿に変異する事件が頻発しているそうです。これは、話に聞くラザハンで起こった終末現象と酷似しています。			いざ、出航の時							
そして、サハギン族が終末の獣に転化しているのだとしたら、その最初の1体であり、もっとも強力な存在……偽神獣が、近海に存在している証左となる……。			そして、サハギン族が終末の獣に転化しているのだとしたら、その最初の1体であり、もっとも強力な存在……偽神獣が、近海に存在している証左となる……。			いざ、出航の時							
終末現象の要因を排除できたことは喜ぶべきだが、その影響が完全になくなるまでは、今しばらく時間もかかろう。何より偽神獣がある限り、襲撃の危険が付きまとうことにもなる。			終末現象の要因を排除できたことは喜ぶべきだが、その影響が完全になくなるまでは、今しばらく時間もかかろう。何より偽神獣がある限り、襲撃の危険が付きまとうことにもなる。			いざ、出航の時							
いまはまだ、海都の都市民に被害は出ていませんが、偽神獣を放置しておけばどうなるかは、ラザハンの例で明らか……よって黒渦団は、発見次第討伐するべく、調査に動いています。			いまはまだ、海都の都市民に被害は出ていませんが、偽神獣を放置しておけばどうなるかは、ラザハンの例で明らか……よって黒渦団は、発見次第討伐するべく、調査に動いています。			いざ、出航の時							
ですが、偽神獣の正体はおろか転化の要因に至るまで、不明瞭なことが多い現段階では、大々的に部隊を動かせない。			ですが、偽神獣の正体はおろか転化の要因に至るまで、不明瞭なことが多い現段階では、大々的に部隊を動かせない。			いざ、出航の時							
民を動揺させることで、新たな不安が広がり、獣化現象を誘発してしまっては元も子もありませんから。			民を動揺させることで、新たな不安が広がり、獣化現象を誘発してしまっては元も子もありませんから。			いざ、出航の時							
したがって、提督自らが、少数の対策部隊を率いることになったのです。			したがって、提督自らが、少数の対策部隊を率いることになったのです。			いざ、出航の時							
その部隊に、君にも加わってもらいたいのだ。どうか、頼めるだろうか？			その部隊に、君にも加わってもらいたいのだ。どうか、頼めるだろうか？			いざ、出航の時							
感謝する。ではさっそくだが、少しばかり同行してもらいたい。融和派のサハギン族から話を聞こう。			感謝する。ではさっそくだが、少しばかり同行してもらいたい。融和派のサハギン族から話を聞こう。			いざ、出航の時							
実は融和派のサハギン族と、情報共有のための会談を行うことになっているのだ。会談場所である西ラノシアの南防波壁に向かうとしよう。			実は融和派のサハギン族と、情報共有のための会談を行うことになっているのだ。会談場所である西ラノシアの南防波壁に向かうとしよう。			いざ、出航の時							
リムサ・ロミンサ上甲板層の黒渦団：軍令部に向かい、「黒渦団の書記官」から詳しい話を聞いてください！			リムサ・ロミンサ上甲板層の黒渦団：軍令部に向かい、「黒渦団の書記官」から詳しい話を聞いてください！			いざ、出航の時							
ふむ……約束の時間だが、融和派の者たちの姿はないようだな……。			ふむ……約束の時間だが、融和派の者たちの姿はないようだな……。			いざ、出航の時							
彼らが約束を違えるとも思えない……。			彼らが約束を違えるとも思えない……。			いざ、出航の時							
嫌な予感がする……。ここは警備の兵たちに任せ、我らでハーフストーンの方まで、融和派のサハギン族を探しにいこう。			嫌な予感がする……。ここは警備の兵たちに任せ、我らでハーフストーンの方まで、融和派のサハギン族を探しにいこう。			いざ、出航の時							
融和派のサハギン族とは、西ラノシアの南防波壁で落ち合う手はずになっています。あなたは、「メルウィブ」提督と現地へ向かってください！			融和派のサハギン族とは、西ラノシアの南防波壁で落ち合う手はずになっています。あなたは、「メルウィブ」提督と現地へ向かってください！			いざ、出航の時							
終末の獣だ！奥の方に、融和派の仲間「望潮(しおまねき)のノォル」殿がいるらしい！ここは私に任せて、君はそちらを頼む！			終末の獣だ！奥の方に、融和派の仲間「望潮(しおまねき)のノォル」殿がいるらしい！ここは私に任せて、君はそちらを頼む！			いざ、出航の時							
フスィーッ……！　こ、こいつは……！？			フスィーッ……！　こ、こいつは……！？			いざ、出航の時							
奥の方に、まだ融和派の仲間がいるらしい！ここは私に任せて、君はそちらを頼む！			奥の方に、まだ融和派の仲間がいるらしい！ここは私に任せて、君はそちらを頼む！			いざ、出航の時							
フスィーッ……！　こ、こいつは……！？			フスィーッ……！　こ、こいつは……！？			いざ、出航の時							
フスィーッ……！せ、拙者はまだ死ぬわけには……！			フスィーッ……！せ、拙者はまだ死ぬわけには……！			いざ、出航の時							
フスィーッ……！か、かたじけない……。			フスィーッ……！か、かたじけない……。			いざ、出航の時							
しかし、先に向かった仲間は大丈夫でござろうか……。			しかし、先に向かった仲間は大丈夫でござろうか……。			いざ、出航の時							
フスィーッ……！　なんと、メルウィブ殿が……！やはり彼女は、対話を求める相手として申し分ないごじんのようだ。			フスィーッ……！　なんと、メルウィブ殿が……！やはり彼女は、対話を求める相手として申し分ないごじんのようだ。			いざ、出航の時							
ともあれ、重ね重ね感謝いたしまする。再び獣に襲われる前に、南防波壁の方へ向かうといたしましょう。			ともあれ、重ね重ね感謝いたしまする。再び獣に襲われる前に、南防波壁の方へ向かうといたしましょう。			いざ、出航の時							
奥の方に、まだ融和派の仲間がいるらしい！ここは私に任せて、君はそちらを頼む！			奥の方に、まだ融和派の仲間がいるらしい！ここは私に任せて、君はそちらを頼む！			いざ、出航の時							
フスィーッ……！　こ、こいつは……！？			フスィーッ……！　こ、こいつは……！？			いざ、出航の時							
どうやら、融和派の仲間を救ってくれたようだな。			どうやら、融和派の仲間を救ってくれたようだな。			いざ、出航の時							
しかし、新たな獣が現れるとも限らない。話は南防波壁に入ってからにしよう。			しかし、新たな獣が現れるとも限らない。話は南防波壁に入ってからにしよう。			いざ、出航の時							
フスィーッ……改めまして、お二方。先ほどは、危ないところを助けていただき、かたじけない。			フスィーッ……改めまして、お二方。先ほどは、危ないところを助けていただき、かたじけない。			いざ、出航の時							
あの異形の獣は、もとは我らがサハギン族の同胞でござった。呪いの類で変異したのではないかと考え、あらゆる解呪のまじないを、試してきたのだが……			あの異形の獣は、もとは我らがサハギン族の同胞でござった。呪いの類で変異したのではないかと考え、あらゆる解呪のまじないを、試してきたのだが……			いざ、出航の時							
呪いなどではない。あれこそが、終末の獣と呼ばれる存在だ。			呪いなどではない。あれこそが、終末の獣と呼ばれる存在だ。			いざ、出航の時							
終末の獣……？詳しく教えていただけますかな？			終末の獣……？詳しく教えていただけますかな？			いざ、出航の時							
この中で、終末現象について最も詳しいのは君だ。君の知ることを、我々に共有してもらえるだろうか？			この中で、終末現象について最も詳しいのは君だ。君の知ることを、我々に共有してもらえるだろうか？			いざ、出航の時							
フスィーッ……絶望が生物を獣に転じさせるとな……！？			フスィーッ……絶望が生物を獣に転じさせるとな……！？			いざ、出航の時							
腑に落ちないのは、なぜこのラノシアでは、サハギン族だけが終末の獣に転じているのかという点だ。貴殿らは、何か心当たりはないだろうか？			腑に落ちないのは、なぜこのラノシアでは、サハギン族だけが終末の獣に転じているのかという点だ。貴殿らは、何か心当たりはないだろうか？			いざ、出航の時							
冒険者殿の話を聞いて、ひとつ、思い当たる節が……「海嘯派(かいしょうは)」の者らが関係しているのやもしれませぬ。			冒険者殿の話を聞いて、ひとつ、思い当たる節が……「海嘯派(かいしょうは)」の者らが関係しているのやもしれませぬ。			いざ、出航の時							
海嘯派とは？			海嘯派とは？			いざ、出航の時							
まずは順を追って、我が一族の現状から、お話しいたそう。			まずは順を追って、我が一族の現状から、お話しいたそう。			いざ、出航の時							
実は、我らがサハギン族の女王「蒼茫の母」が、先日、病によって崩御されたのでござる。			実は、我らがサハギン族の女王「蒼茫の母」が、先日、病によって崩御されたのでござる。			いざ、出航の時							
それは悲しい出来事でござった……。だが、ヒトとの共存を目指す我ら融和派が、好戦的な主流派を上回る勢力となる、キッカケともなった。			それは悲しい出来事でござった……。だが、ヒトとの共存を目指す我ら融和派が、好戦的な主流派を上回る勢力となる、キッカケともなった。			いざ、出航の時							
そんな情勢下で、劣勢となった主流派の中に、水神を再召喚することで威光を取り戻そうとする者が現れはじめた。これが海嘯派でござる。			そんな情勢下で、劣勢となった主流派の中に、水神を再召喚することで威光を取り戻そうとする者が現れはじめた。これが海嘯派でござる。			いざ、出航の時							
とはいえ、海底のクリスタル資源は枯渇しており、水神リヴァイアサンの再召喚は難しい……。			とはいえ、海底のクリスタル資源は枯渇しており、水神リヴァイアサンの再召喚は難しい……。			いざ、出航の時							
なるほど……復権への活路が見いだせず、追い詰められた者たちが絶望し、獣へ転じてしまった、と……。			なるほど……復権への活路が見いだせず、追い詰められた者たちが絶望し、獣へ転じてしまった、と……。			いざ、出航の時							
然り……。今にして思えば、獣に転じた者たちは、いずれも海嘯派に属す者たちであったゆえ、間違いないかと。			然り……。今にして思えば、獣に転じた者たちは、いずれも海嘯派に属す者たちであったゆえ、間違いないかと。			いざ、出航の時							
此度は、長年に亘り対立してきた、ヒトとサハギンの関係を改善する好機！			此度は、長年に亘り対立してきた、ヒトとサハギンの関係を改善する好機！			いざ、出航の時							
しかし、融和の実現性が高まるほど、海嘯派の絶望は深まり、獣に転じてしまう……。この問題は、まるで底の見えぬ海溝のようでござる。			しかし、融和の実現性が高まるほど、海嘯派の絶望は深まり、獣に転じてしまう……。この問題は、まるで底の見えぬ海溝のようでござる。			いざ、出航の時							
ひとつ尋ねたい。海嘯派の者たちは、いまだにリヴァイアサンのテンパードなのか？ならば、精神汚染を解くことで、対話が可能になるのでは？			ひとつ尋ねたい。海嘯派の者たちは、いまだにリヴァイアサンのテンパードなのか？ならば、精神汚染を解くことで、対話が可能になるのでは？			いざ、出航の時							
ところが、海嘯派の多くは、すでにテンパードの治療を終えているのでござる。獣に転じた者も例外ではなく……。			ところが、海嘯派の多くは、すでにテンパードの治療を終えているのでござる。獣に転じた者も例外ではなく……。			いざ、出航の時							
すると、この件は強制された水神信仰ではなく、純粋に思想の違う者同士の問題だということか。			すると、この件は強制された水神信仰ではなく、純粋に思想の違う者同士の問題だということか。			いざ、出航の時							
ならば、我らが融和を結ぶためにも、この件は、お互い手を取り合って乗り越えねばなるまい。			ならば、我らが融和を結ぶためにも、この件は、お互い手を取り合って乗り越えねばなるまい。			いざ、出航の時							
それに、彼女彼はただの冒険者ではない。あのリヴァイアサンを倒すほどの力を持った、英雄なのだ。			それに、彼女彼はただの冒険者ではない。あのリヴァイアサンを倒すほどの力を持った、英雄なのだ。			いざ、出航の時							
フスィーッ！？見覚えがあると思えば、偽りの神を討ったつわものだったとは！			フスィーッ！？見覚えがあると思えば、偽りの神を討ったつわものだったとは！			いざ、出航の時							
向かい風が吹いていたとて、船は前に進むことができる。終末の獣からこの海を救うため……果てにはヒトとサハギン族の融和のため、ともに力を合わせよう。			向かい風が吹いていたとて、船は前に進むことができる。終末の獣からこの海を救うため……果てにはヒトとサハギン族の融和のため、ともに力を合わせよう。			いざ、出航の時							
では、私は海都に戻って、今後の対策を練るとしよう。何かあれば、黒渦団の者を通して連絡を入れてほしい。			では、私は海都に戻って、今後の対策を練るとしよう。何かあれば、黒渦団の者を通して連絡を入れてほしい。			いざ、出航の時							
フスィーッ……我らは産卵地へと向かい、獣に変じる者がいないか、しかと瞠(みは)っておくとしましょう。			フスィーッ……我らは産卵地へと向かい、獣に変じる者がいないか、しかと瞠(みは)っておくとしましょう。			いざ、出航の時							
フスィーッ……！ふたりとも無事な様子で安心いたしましたぞ……！			フスィーッ……！ふたりとも無事な様子で安心いたしましたぞ……！			いざ、出航の時							
フスィーッ……！メルウィブ殿が駆けつけてくれなければ、今ごろ私は……！？			フスィーッ……！メルウィブ殿が駆けつけてくれなければ、今ごろ私は……！？			いざ、出航の時							
融和派との会談を通して、このラノシアで起こっている問題について、把握することができた。			融和派との会談を通して、このラノシアで起こっている問題について、把握することができた。			いざ、出航の時							
ひとまずは融和派と協力して、終末の獣の出現を監視する情報網を構築しようと思う。			ひとまずは融和派と協力して、終末の獣の出現を監視する情報網を構築しようと思う。			いざ、出航の時							
その結果、偽神獣の発見に至った時は、君の力を貸してもらいたい。			その結果、偽神獣の発見に至った時は、君の力を貸してもらいたい。			いざ、出航の時							
ともかくいまは、有力な情報が集まるのを待っていてくれ。すまないが、引き続きよろしく頼む。			ともかくいまは、有力な情報が集まるのを待っていてくれ。すまないが、引き続きよろしく頼む。			いざ、出航の時							
メルウィブ提督から話は聞いております。さっそく終末の獣と遭遇したようですね。			メルウィブ提督から話は聞いております。さっそく終末の獣と遭遇したようですね。			いざ、出航の時							
黒渦団：軍令部の黒渦団の書記官は、冒険者に共有したい情報があるようだ。			黒渦団：軍令部の黒渦団の書記官は、冒険者に共有したい情報があるようだ。			融和派と海嘯派							
黒渦団の書記官と話した。黒渦団を率いるメルウィブは、融和派のサハギン族と協力して、偽神獣を含む終末の獣の捜索を行いながら、海嘯派との対話を行うことで、新たに獣に転化する者が現れないようにしたいという。そのためには、海嘯派の司祭「ドォウ」と会う必要があるようだ。西ラノシアの南防波壁の「メルウィブ」と話そう。			黒渦団の書記官と話した。黒渦団を率いるメルウィブは、融和派のサハギン族と協力して、偽神獣を含む終末の獣の捜索を行いながら、海嘯派との対話を行うことで、新たに獣に転化する者が現れないようにしたいという。そのためには、海嘯派の司祭「ドォウ」と会う必要があるようだ。西ラノシアの南防波壁の「メルウィブ」と話そう。			融和派と海嘯派							
メルウィブと話した。メルウィブを同行した状態で、西ラノシアのハーフストーンの「海嘯派のサハギン族」と話そう。※同行状態が解除された場合、再度「メルウィブ」に話しかけることで同行を再開できます。			メルウィブと話した。メルウィブを同行した状態で、西ラノシアのハーフストーンの「海嘯派のサハギン族」と話そう。※同行状態が解除された場合、再度「メルウィブ」に話しかけることで同行を再開できます。			融和派と海嘯派							
メルウィブとともに、海嘯派のサハギン族から話を聞いた。メルウィブを同行した状態で、西ラノシアのサプサ産卵地の「激流のドォウ」と話そう。			メルウィブとともに、海嘯派のサハギン族から話を聞いた。メルウィブを同行した状態で、西ラノシアのサプサ産卵地の「激流のドォウ」と話そう。			融和派と海嘯派							
メルウィブとともに、激流のドォウと話した。南防波壁の「メルウィブ」と話そう。			メルウィブとともに、激流のドォウと話した。南防波壁の「メルウィブ」と話そう。			融和派と海嘯派							
メルウィブとともに、海嘯派との対話に臨んだ。メルウィブは、海嘯派に対して共闘を申し入れたが、ドォウは聞く耳を持たず。それどころか、ドォウの言葉で絶望を煽られた海嘯派のサハギン族たちが、終末の獣へと転化してしまう。南防波壁に現れた終末の獣を討伐しよう。			メルウィブとともに、海嘯派との対話に臨んだ。メルウィブは、海嘯派に対して共闘を申し入れたが、ドォウは聞く耳を持たず。それどころか、ドォウの言葉で絶望を煽られた海嘯派のサハギン族たちが、終末の獣へと転化してしまう。南防波壁に現れた終末の獣を討伐しよう。			融和派と海嘯派							
終末の獣を討伐した。南防波壁の「望潮のノォル」と話そう。			終末の獣を討伐した。南防波壁の「望潮のノォル」と話そう。			融和派と海嘯派							
望潮のノォルと話した。西ラノシアのスカルバレーの「メルウィブ」と話そう。			望潮のノォルと話した。西ラノシアのスカルバレーの「メルウィブ」と話そう。			融和派と海嘯派							
メルウィブと話した。上甲板層の黒渦団：軍令部の「メルウィブ」と話そう。			メルウィブと話した。上甲板層の黒渦団：軍令部の「メルウィブ」と話そう。			融和派と海嘯派							
メルウィブと話した。海嘯派の対立が確定的になったことで、今後はさらなる妨害が予想されるだろう。しかしいまは、新たな情報が入るのを待つことしかできない。※いずれかの近接物理DPSジョブのレベルが87以上になると、黒渦団：軍令部の黒渦団の書記官から次の近接物理DPSロールクエストを受注することができます。			メルウィブと話した。海嘯派の対立が確定的になったことで、今後はさらなる妨害が予想されるだろう。しかしいまは、新たな情報が入るのを待つことしかできない。※いずれかの近接物理DPSジョブのレベルが87以上になると、黒渦団：軍令部の黒渦団の書記官から次の近接物理DPSロールクエストを受注することができます。			融和派と海嘯派							
南防波壁のメルウィブと話して同行させる			南防波壁のメルウィブと話して同行させる			融和派と海嘯派							
メルウィブを連れて海嘯派のサハギン族と話す			メルウィブを連れて海嘯派のサハギン族と話す			融和派と海嘯派							
メルウィブを連れて激流のドォウと話す			メルウィブを連れて激流のドォウと話す			融和派と海嘯派							
メルウィブと話す			メルウィブと話す			融和派と海嘯派							
終末の獣を討伐			終末の獣を討伐			融和派と海嘯派							
望潮のノォルと話す			望潮のノォルと話す			融和派と海嘯派							
メルウィブと話す			メルウィブと話す			融和派と海嘯派							
黒渦団：軍令部のメルウィブと話す			黒渦団：軍令部のメルウィブと話す			融和派と海嘯派							
あれからメルウィブ提督は、融和派との会談を重ねて、情報網の構築を急いでいます。いまも提督室で終末の獣の対策会議を行っております。			あれからメルウィブ提督は、融和派との会談を重ねて、情報網の構築を急いでいます。いまも提督室で終末の獣の対策会議を行っております。			融和派と海嘯派							
Forename、来ていたのか。ちょうど会議が終わったところだ。決まった対策を共有しよう。			Forename、来ていたのか。ちょうど会議が終わったところだ。決まった対策を共有しよう。			融和派と海嘯派							
現在、我々はサハギン族の獣化と、偽神獣というふたつの問題に直面している。			現在、我々はサハギン族の獣化と、偽神獣というふたつの問題に直面している。			融和派と海嘯派							
絶望によって獣に転化しているのは、人との共存を拒む、「海嘯派(かいしょうは)」の者たちだ。この問題を解決しない限り、真の融和は叶わない。			絶望によって獣に転化しているのは、人との共存を拒む、「海嘯派(かいしょうは)」の者たちだ。この問題を解決しない限り、真の融和は叶わない。			融和派と海嘯派							
そこで我らは、ふたつの対策を打ち立てた。			そこで我らは、ふたつの対策を打ち立てた。			融和派と海嘯派							
ひとつは、黒渦団と融和派の合同による監視体制の強化。偽神獣を含む獣を発見次第、情報を共有し、迅速に討伐する。二次被害を防ぐためにな……。			ひとつは、黒渦団と融和派の合同による監視体制の強化。偽神獣を含む獣を発見次第、情報を共有し、迅速に討伐する。二次被害を防ぐためにな……。			融和派と海嘯派							
ふたつめは、海嘯派との対話続行だ。さらなる獣化を防ぐには、彼らの絶望を和らげねばならない。			ふたつめは、海嘯派との対話続行だ。さらなる獣化を防ぐには、彼らの絶望を和らげねばならない。			融和派と海嘯派							
そのためには、サハギン族が求めてきた、産卵地の確保という命題に向き合う必要があるだろう。私は、この点で譲歩も辞さない覚悟だ。			そのためには、サハギン族が求めてきた、産卵地の確保という命題に向き合う必要があるだろう。私は、この点で譲歩も辞さない覚悟だ。			融和派と海嘯派							
だから、今回もコボルド族の時と同様に希望はあるはずだ。まずは、海嘯派と腹を割って話し合いたい。			だから、今回もコボルド族の時と同様に希望はあるはずだ。まずは、海嘯派と腹を割って話し合いたい。			融和派と海嘯派							
何と言う？			何と言う？			融和派と海嘯派							
素直に話し合いに応じるだろうか？			素直に話し合いに応じるだろうか？			融和派と海嘯派							
無理だと思う			無理だと思う			融和派と海嘯派							
やってみなければわからんさ。潮目のよいことに、融和派のノォル殿より、海嘯派の司祭「ドォウ」殿が、サプサ産卵地に来ていると聞いた。			やってみなければわからんさ。潮目のよいことに、融和派のノォル殿より、海嘯派の司祭「ドォウ」殿が、サプサ産卵地に来ていると聞いた。			融和派と海嘯派							
海嘯派の指導者だというドォウ殿と、会談の場を設けたく、無礼を承知の上で、これより現地に赴き、交渉を試みるつもりだ。ぜひ、君にも協力してもらいたい。			海嘯派の指導者だというドォウ殿と、会談の場を設けたく、無礼を承知の上で、これより現地に赴き、交渉を試みるつもりだ。ぜひ、君にも協力してもらいたい。			融和派と海嘯派							
ありがとう。では、「南防波壁」に集結し、共に向かうとしよう。			ありがとう。では、「南防波壁」に集結し、共に向かうとしよう。			融和派と海嘯派							
来てくれたか。こちらの準備も万端だ。			来てくれたか。こちらの準備も万端だ。			融和派と海嘯派							
先にも述べたとおり、今回の目標は、海嘯派の指導者である司祭「ドォウ」殿との交渉にある。			先にも述べたとおり、今回の目標は、海嘯派の指導者である司祭「ドォウ」殿との交渉にある。			融和派と海嘯派							
彼はサプサ産卵地を視察予定とのことだが、現時点では、その姿を確認できていない。			彼はサプサ産卵地を視察予定とのことだが、現時点では、その姿を確認できていない。			融和派と海嘯派							
まずは、話の通じそうな海嘯派のサハギン族に、その居場所を聞くのがいいだろう。			まずは、話の通じそうな海嘯派のサハギン族に、その居場所を聞くのがいいだろう。			融和派と海嘯派							
