トメラの村のジオットは、酒も呑まずに佇んでいる。			トメラの村のジオットは、酒も呑まずに佇んでいる。			誇り高き追放者							
ジオットと再度話す			ジオットと再度話す			誇り高き追放者							
彷徨う階段亭のジオットと話す			彷徨う階段亭のジオットと話す			誇り高き追放者							
ソープロシュネーを倒せ！			ソープロシュネーを倒せ！			誇り高き追放者							
……お前さんか……。			……お前さんか……。			誇り高き追放者							
何と声をかける？			何と声をかける？			誇り高き追放者							
ラリホー！！！			ラリホー！！！			誇り高き追放者							
お前の母ちゃんホブゴブリン！			お前の母ちゃんホブゴブリン！			誇り高き追放者							
……！？			……！？			誇り高き追放者							
ラ、ラリホー！！！！			ラ、ラリホー！！！！			誇り高き追放者							
まさか、ドワーフの生き様をお前さんに教えられるとはの！			まさか、ドワーフの生き様をお前さんに教えられるとはの！			誇り高き追放者							
な、な、な……なんじゃと！？ワシへの罵詈雑言はともかく、母ちゃんは関係ないじゃろう！このアホ面ヒュム高慢エルフ破廉恥ドワーフ猫もどきのミステル筋肉ゴリゴリガルジェント鱗まみれのドラン通さないロンゾピョンピョコ兎のヴィース娘野郎め！！			な、な、な……なんじゃと！？ワシへの罵詈雑言はともかく、母ちゃんは関係ないじゃろう！このアホ面ヒュム高慢エルフ破廉恥ドワーフ猫もどきのミステル筋肉ゴリゴリガルジェント鱗まみれのドラン通さないロンゾピョンピョコ兎のヴィース娘野郎め！！			誇り高き追放者							
ダッハッハッ！			ダッハッハッ！			誇り高き追放者							
まさか、お前さんに罵倒で活を入れられるとはな！さすが我が相棒じゃわい！			まさか、お前さんに罵倒で活を入れられるとはな！さすが我が相棒じゃわい！			誇り高き追放者							
よしきた、気分を切り替えるぞい！ソープロシュネー退治こそが、ワシらの目的じゃからの！			よしきた、気分を切り替えるぞい！ソープロシュネー退治こそが、ワシらの目的じゃからの！			誇り高き追放者							
実は、お前さんが来る前に、村でひと騒動あっての。ソープロシュネーが現れて、前回ワシが仕留めた罪喰いを、再生の力で復活させて連れ去ったんじゃ。			実は、お前さんが来る前に、村でひと騒動あっての。ソープロシュネーが現れて、前回ワシが仕留めた罪喰いを、再生の力で復活させて連れ去ったんじゃ。			誇り高き追放者							
それを見て、ワシは確信した……。			それを見て、ワシは確信した……。			誇り高き追放者							
罪喰いは、たくさんいるが、ソープロシュネーは必ず癒やしに現れるわけではない。救われる罪喰いと、無視される罪喰いの差とは何なのか……。			罪喰いは、たくさんいるが、ソープロシュネーは必ず癒やしに現れるわけではない。救われる罪喰いと、無視される罪喰いの差とは何なのか……。			誇り高き追放者							
お前さんが視た過去によれば、ラミットに癒やされた者たちは、自ら追放の道を選び、この集落を出ていった。			お前さんが視た過去によれば、ラミットに癒やされた者たちは、自ら追放の道を選び、この集落を出ていった。			誇り高き追放者							
この近辺は「光の氾濫」の影響を免れたが、追放者たちが助からなかった可能性は極めて高いじゃろう。つまり……			この近辺は「光の氾濫」の影響を免れたが、追放者たちが助からなかった可能性は極めて高いじゃろう。つまり……			誇り高き追放者							
何と答える？			何と答える？			誇り高き追放者							
元患者たちは罪喰いになった！			元患者たちは罪喰いになった！			誇り高き追放者							
ソープロシュネーは元患者たちを癒やしている！			ソープロシュネーは元患者たちを癒やしている！			誇り高き追放者							
そのとおりじゃ！追放者たちは、不幸にも罪喰いと化してしまい、今もソープロシュネーは、彼らを救い続けているッ！！			そのとおりじゃ！追放者たちは、不幸にも罪喰いと化してしまい、今もソープロシュネーは、彼らを救い続けているッ！！			誇り高き追放者							
ならば、倒す方法は簡単じゃ！			ならば、倒す方法は簡単じゃ！			誇り高き追放者							
やっこさんに「ドワーフの兜」を被せる！掟に従って生きる者の証たる兜を被せてしまえば、治療すべき追放者ではなくなり、再生の対象外となるのじゃ！			やっこさんに「ドワーフの兜」を被せる！掟に従って生きる者の証たる兜を被せてしまえば、治療すべき追放者ではなくなり、再生の対象外となるのじゃ！			誇り高き追放者							
何と答える？			何と答える？			誇り高き追放者							
そんなバカな！？			そんなバカな！？			誇り高き追放者							
完璧な作戦じゃ！！			完璧な作戦じゃ！！			誇り高き追放者							
バカなどであるものか！どう考えても完璧な作戦じゃ！！			バカなどであるものか！どう考えても完璧な作戦じゃ！！			誇り高き追放者							
ダッハッハッ！もっと褒めるがいい、おヒゲが素敵な知恵者とな！			ダッハッハッ！もっと褒めるがいい、おヒゲが素敵な知恵者とな！			誇り高き追放者							
まあ、賛成しようが反対されようが、ワシは試すつもりじゃったがな！試してみて失敗したら、とんずらカマして再考するのみよ！			まあ、賛成しようが反対されようが、ワシは試すつもりじゃったがな！試してみて失敗したら、とんずらカマして再考するのみよ！			誇り高き追放者							
ソープロシュネーが現れてから、さほど時間は経っていない。この近辺で、はぐれ罪喰いを倒して、やつをおびき寄せるぞい！			ソープロシュネーが現れてから、さほど時間は経っていない。この近辺で、はぐれ罪喰いを倒して、やつをおびき寄せるぞい！			誇り高き追放者							
お前さん、何をやっておる？はぐれ罪喰いを探して、おびき寄せるエサにせんかい！			お前さん、何をやっておる？はぐれ罪喰いを探して、おびき寄せるエサにせんかい！			誇り高き追放者							
よし、エサの準備は完了したようじゃな。こちらも「ドワーフの兜」を、たくさん用意してきたぞい。			よし、エサの準備は完了したようじゃな。こちらも「ドワーフの兜」を、たくさん用意してきたぞい。			誇り高き追放者							
たとえ、ザコの罪喰いどもを引き連れていようとも、この兜さえ付けた状態で倒せば、再生されないはずじゃ！さあ、身を潜めて待ち伏せるぞい……！			たとえ、ザコの罪喰いどもを引き連れていようとも、この兜さえ付けた状態で倒せば、再生されないはずじゃ！さあ、身を潜めて待ち伏せるぞい……！			誇り高き追放者							
ふぅ……。この待ち時間が、なんともじれったいのう……。武者震いが止まらんぞい。			ふぅ……。この待ち時間が、なんともじれったいのう……。武者震いが止まらんぞい。			誇り高き追放者							
(-ジオットの囁き声-)きよった……！ソープロシュネーじゃぞ……！			(-ジオットの囁き声-)きよった……！ソープロシュネーじゃぞ……！			誇り高き追放者							
これにて、決戦の舞台は整った……ワシの完璧な作戦に従い、やっこさんを討ち果たすぞい！			これにて、決戦の舞台は整った……ワシの完璧な作戦に従い、やっこさんを討ち果たすぞい！			誇り高き追放者							
ワシの作戦を試すためにも、ヤツが雑魚を再生するのを待つんじゃ……！			ワシの作戦を試すためにも、ヤツが雑魚を再生するのを待つんじゃ……！			誇り高き追放者							
よし、雑魚が再生した……！行くぞい！　Forename！			よし、雑魚が再生した……！行くぞい！　Forename！			誇り高き追放者							
まずは、雑魚の罪喰いで作戦を試すぞい！			まずは、雑魚の罪喰いで作戦を試すぞい！			誇り高き追放者							
罪喰いを弱らせてから、お前さんが「リポーズ」で眠らせる……！そうしたら、ワシが「必殺兜被し」をかましてやるわい！			罪喰いを弱らせてから、お前さんが「リポーズ」で眠らせる……！そうしたら、ワシが「必殺兜被し」をかましてやるわい！			誇り高き追放者							
繰り返すが、弱らせねば「リポーズ」は効かんぞい！忘れるでないぞ、相棒！			繰り返すが、弱らせねば「リポーズ」は効かんぞい！忘れるでないぞ、相棒！			誇り高き追放者							
よし、そろそろ頃合いじゃ……！「リポーズ」で、敵を眠らせてくれい！			よし、そろそろ頃合いじゃ……！「リポーズ」で、敵を眠らせてくれい！			誇り高き追放者							
見事じゃ、Forename！いくぞい、「必殺兜被し」じゃああああああ！！			見事じゃ、Forename！いくぞい、「必殺兜被し」じゃああああああ！！			誇り高き追放者							
ダッハッハッ！　見たか、罪喰いめ！これで、お前さんも立派なドワーフじゃな！			ダッハッハッ！　見たか、罪喰いめ！これで、お前さんも立派なドワーフじゃな！			誇り高き追放者							
なにをやっとるんじゃ！　再生されてしまったではないか！いいか、敵を弱らせたら「リポーズ」を忘れんでくれい！			なにをやっとるんじゃ！　再生されてしまったではないか！いいか、敵を弱らせたら「リポーズ」を忘れんでくれい！			誇り高き追放者							
よし、これで再生は封じたぞい！次はソープロシュネーを……って、なんじゃ！？			よし、これで再生は封じたぞい！次はソープロシュネーを……って、なんじゃ！？			誇り高き追放者							
増援とは、やってくれるわい！しかーし、こんな事もあろうかと兜はまだある！			増援とは、やってくれるわい！しかーし、こんな事もあろうかと兜はまだある！			誇り高き追放者							
ハァ、ハァ、ハァ……ようやく片付いたかの……次こそソープロシュネーを……って、またかーい！			ハァ、ハァ、ハァ……ようやく片付いたかの……次こそソープロシュネーを……って、またかーい！			誇り高き追放者							
もしや、こやつらソープロシュネーを、守ろうとしておるのか？			もしや、こやつらソープロシュネーを、守ろうとしておるのか？			誇り高き追放者							
ええい、片っ端から兜を被せてやる！頼むぞい、相棒！			ええい、片っ端から兜を被せてやる！頼むぞい、相棒！			誇り高き追放者							
ヒィ、フゥ、ヒィ、フゥ……手間取らせよって……！あとはソープロシュネーを、集中攻撃するだけじゃぞい！			ヒィ、フゥ、ヒィ、フゥ……手間取らせよって……！あとはソープロシュネーを、集中攻撃するだけじゃぞい！			誇り高き追放者							
行くぞ、Forename！今度こそ、ソープロシュネーをシバき倒すぞい！			行くぞ、Forename！今度こそ、ソープロシュネーをシバき倒すぞい！			誇り高き追放者							
ダッハッハッ！　自分を回復することもできんようじゃな！作戦は大成功じゃ！			ダッハッハッ！　自分を回復することもできんようじゃな！作戦は大成功じゃ！			誇り高き追放者							
ヌゥ……腐っても英雄と称えられた「光の戦士」か……！癒やしの術を封じられてなお、やりおるわい！			ヌゥ……腐っても英雄と称えられた「光の戦士」か……！癒やしの術を封じられてなお、やりおるわい！			誇り高き追放者							
Forename、こっちじゃ！			Forename、こっちじゃ！			誇り高き追放者							
ふぅ、助かったぞい！　さすがは相棒じゃ！			ふぅ、助かったぞい！　さすがは相棒じゃ！			誇り高き追放者							
ここで負けるわけにはいかんぞい！Forename、正念場というやつじゃ！			ここで負けるわけにはいかんぞい！Forename、正念場というやつじゃ！			誇り高き追放者							
そんなこけおどし、恐れはせんぞい！			そんなこけおどし、恐れはせんぞい！			誇り高き追放者							
今が好機じゃぁぁぁ！			今が好機じゃぁぁぁ！			誇り高き追放者							
これを被れぇぇぇ！！			これを被れぇぇぇ！！			誇り高き追放者							
ぬおおおおおッ！？			ぬおおおおおッ！？			誇り高き追放者							
た、たすかったわい……。			た、たすかったわい……。			誇り高き追放者							
じゃが、今の衝撃で最後の兜が壊れてしもうたわい。			じゃが、今の衝撃で最後の兜が壊れてしもうたわい。			誇り高き追放者							
やっこさんも、完全復活したようじゃな。これでは埒が明かん……。兜がなければ……			やっこさんも、完全復活したようじゃな。これでは埒が明かん……。兜がなければ……			誇り高き追放者							
そうか、兜なら…………！			そうか、兜なら…………！			誇り高き追放者							
いっくぞぉぉぉぉい！！			いっくぞぉぉぉぉい！！			誇り高き追放者							
Forename！あとは、ふたりでこやつを……ソープロシュネーを、シバき倒すぞい！			Forename！あとは、ふたりでこやつを……ソープロシュネーを、シバき倒すぞい！			誇り高き追放者							
うおおおおおッ！ソープロシュネー、討ち取ったりッ！			うおおおおおッ！ソープロシュネー、討ち取ったりッ！			誇り高き追放者							
どうした、Forename。何かみつけたのか？			どうした、Forename。何かみつけたのか？			誇り高き追放者							
クリスタルの……欠片かの？			クリスタルの……欠片かの？			誇り高き追放者							
(-悲しげな女性の声-)掟に従うだけじゃ、助けられなかった。			(-悲しげな女性の声-)掟に従うだけじゃ、助けられなかった。			誇り高き追放者							
(-ラミットの幻影-)だから、里を出た。そして、あの人に……アルバートに出会い、仲間たちを加えて、冒険の旅を続けた…………。			(-ラミットの幻影-)だから、里を出た。そして、あの人に……アルバートに出会い、仲間たちを加えて、冒険の旅を続けた…………。			誇り高き追放者							
お前さん、ラミットなのか……？ワ、ワシは、お前さんのことを……破廉恥者などと……			お前さん、ラミットなのか……？ワ、ワシは、お前さんのことを……破廉恥者などと……			誇り高き追放者							
(-ラミットの幻影-)妹を……ドヴェルグ病のみんなを助けるためなら、厳しい旅路も、辛い戦いも耐え抜いたわ。			(-ラミットの幻影-)妹を……ドヴェルグ病のみんなを助けるためなら、厳しい旅路も、辛い戦いも耐え抜いたわ。			誇り高き追放者							
わかっとる……今の、ワシはわかっとる！じゃから……！			わかっとる……今の、ワシはわかっとる！じゃから……！			誇り高き追放者							
(-ラミットの幻影-)それに……旅を通じて、私は知った。世界の広さ、美しさ……そして、残酷さ……。だから、私は……守りたかった。			(-ラミットの幻影-)それに……旅を通じて、私は知った。世界の広さ、美しさ……そして、残酷さ……。だから、私は……守りたかった。			誇り高き追放者							
(-ラミットの幻影-)そのためになら、私は故郷を捨てもした……。辛かった、本当に……。			(-ラミットの幻影-)そのためになら、私は故郷を捨てもした……。辛かった、本当に……。			誇り高き追放者							
もう、いいんじゃ……！終わったんじゃ、お前さんの旅は終わったんじゃよ！			もう、いいんじゃ……！終わったんじゃ、お前さんの旅は終わったんじゃよ！			誇り高き追放者							
(-ラミットの幻影-)辛かったけど、耐えられた……。あの人がいたから……。			(-ラミットの幻影-)辛かったけど、耐えられた……。あの人がいたから……。			誇り高き追放者							
(-ラミットの幻影-)アルバート……頼りなくて……でも、ひたむきで、諦めが悪くて……ただただ優しいあなたを、私は…………			(-ラミットの幻影-)アルバート……頼りなくて……でも、ひたむきで、諦めが悪くて……ただただ優しいあなたを、私は…………			誇り高き追放者							
おやすみ、ラミット……愛に生きた思慮深き癒し手よ。			おやすみ、ラミット……愛に生きた思慮深き癒し手よ。			誇り高き追放者							
ついに、ワシらはやり遂げた……。			ついに、ワシらはやり遂げた……。			誇り高き追放者							
さ、クリスタリウムに帰るぞい？			さ、クリスタリウムに帰るぞい？			誇り高き追放者							
……故郷の村に戻らないのが不思議か？ま、ワシもこうして、家族ではないお前さんに、素顔を晒してしまったからには、掟破りじゃからの。			……故郷の村に戻らないのが不思議か？ま、ワシもこうして、家族ではないお前さんに、素顔を晒してしまったからには、掟破りじゃからの。			誇り高き追放者							
かつて、ラミットに救われ、自らの足で故郷を去った人々のように、誇り高き追放者として生きてみせるぞい……。			かつて、ラミットに救われ、自らの足で故郷を去った人々のように、誇り高き追放者として生きてみせるぞい……。			誇り高き追放者							
ほれほれ、そんな顔をするでない。帰るぞい、我らがクリスタリウムに……！			ほれほれ、そんな顔をするでない。帰るぞい、我らがクリスタリウムに……！			誇り高き追放者							
ング、ング、ング……プハァ……。			ング、ング、ング……プハァ……。			誇り高き追放者							
ん……どうした相棒……ワシの顔なんぞを、ジロジロと見よって。			ん……どうした相棒……ワシの顔なんぞを、ジロジロと見よって。			誇り高き追放者							
何と答える？			何と答える？			誇り高き追放者							
結局、酒呑みだな			結局、酒呑みだな			誇り高き追放者							
素顔のほうがいいと思う			素顔のほうがいいと思う			誇り高き追放者							
自ら追放者となることを選んだと言っても、生まれがドワーフであることに、変わりはなし。ならば、乾杯、ラリホー、もう一杯じゃ！			自ら追放者となることを選んだと言っても、生まれがドワーフであることに、変わりはなし。ならば、乾杯、ラリホー、もう一杯じゃ！			誇り高き追放者							
ダッハッハッ！お前さんも、ついに冗談を理解したようじゃな！そんなことを言っても、ラミットのようにホダされんぞい？			ダッハッハッ！お前さんも、ついに冗談を理解したようじゃな！そんなことを言っても、ラミットのようにホダされんぞい？			誇り高き追放者							
な、な、な……！？何を言い出すんじゃ～！あやうく、本気にするところじゃったぞい！！！			な、な、な……！？何を言い出すんじゃ～！あやうく、本気にするところじゃったぞい！！！			誇り高き追放者							
ともかく、ソープロシュネーを討伐できたのは、お前さんの協力あってこそ……。これまで礼を言う機会がなかったが、感謝してるぞい。			ともかく、ソープロシュネーを討伐できたのは、お前さんの協力あってこそ……。これまで礼を言う機会がなかったが、感謝してるぞい。			誇り高き追放者							
……それから、お前さんには話しておこうと思うんじゃが、ラミットに追放を言い渡した当時の最長老な……アレは、ワシの曽祖父じゃ。			……それから、お前さんには話しておこうと思うんじゃが、ラミットに追放を言い渡した当時の最長老な……アレは、ワシの曽祖父じゃ。			誇り高き追放者							
一族最強と謳われた名戦士でな……。ワシも、彼を目標として修行に励んできたんじゃ。			一族最強と謳われた名戦士でな……。ワシも、彼を目標として修行に励んできたんじゃ。			誇り高き追放者							
それが、多数の病人どころか、一族の未来そのものを救ったとさえ言えるラミットを、永久に故郷と切り離す、そんな冷たい判断を下していた……。			それが、多数の病人どころか、一族の未来そのものを救ったとさえ言えるラミットを、永久に故郷と切り離す、そんな冷たい判断を下していた……。			誇り高き追放者							
掟は大切じゃ。			掟は大切じゃ。			誇り高き追放者							
じゃが、人情も大切じゃ。ワシは里を出て、このクリスタリウムで多くの人と酒を酌み交わし、何よりお前さんと出会い、そのことを学んだつもりじゃ。			じゃが、人情も大切じゃ。ワシは里を出て、このクリスタリウムで多くの人と酒を酌み交わし、何よりお前さんと出会い、そのことを学んだつもりじゃ。			誇り高き追放者							
ワシは、誇り高き追放者として、しばらく、この街で生きてみるつもりじゃよ。			ワシは、誇り高き追放者として、しばらく、この街で生きてみるつもりじゃよ。			誇り高き追放者							
じゃから、お前さんも、呑みたくなったら、いつでもワシを訪ねるがいいぞい！			じゃから、お前さんも、呑みたくなったら、いつでもワシを訪ねるがいいぞい！			誇り高き追放者							
乾杯、ラリホー、もう一杯！ソープロシュネーの討伐は終わったが、ワシとお前さんは、いつまでも最高の相棒じゃからな！			乾杯、ラリホー、もう一杯！ソープロシュネーの討伐は終わったが、ワシとお前さんは、いつまでも最高の相棒じゃからな！			誇り高き追放者							
彷徨う階段亭のジオットは、酒を呑むのに夢中なようだ。			彷徨う階段亭のジオットは、酒を呑むのに夢中なようだ。			戦士ジオットの相棒探し							
ジオットは、罪喰い退治に力を貸してくれる癒し手を必要としているようだ。契約前に、冒険者の腕前を見せることになった。レイクランドの迷える羊飼いの森で「ジオット」と話そう。			ジオットは、罪喰い退治に力を貸してくれる癒し手を必要としているようだ。契約前に、冒険者の腕前を見せることになった。レイクランドの迷える羊飼いの森で「ジオット」と話そう。			戦士ジオットの相棒探し							
腕試しの魔物を挑発しようとして、ジオットがやられてしまった。迷える羊飼いの森で「飢えたウルヴァリン」を討伐しよう。			腕試しの魔物を挑発しようとして、ジオットがやられてしまった。迷える羊飼いの森で「飢えたウルヴァリン」を討伐しよう。			戦士ジオットの相棒探し							
飢えたウルヴァリンを討伐した。迷える羊飼いの森で「ジオット」を癒そう。			飢えたウルヴァリンを討伐した。迷える羊飼いの森で「ジオット」を癒そう。			戦士ジオットの相棒探し							
ジオットは冒険者の実力を認めてくれたようだ。彷徨う階段亭に戻り、「ジオット」と話そう。			ジオットは冒険者の実力を認めてくれたようだ。彷徨う階段亭に戻り、「ジオット」と話そう。			戦士ジオットの相棒探し							
ジオットは、強力な再生能力を持つソープロシュネーの秘密を探るため、癒し手を求めていたらしい。ラミットがドワーフ族伝統の兜をかぶらず素顔を晒していたことは、ジオットにとって許しがたいことのようだ。ジオットの傷が癒えた頃に、また訪ねてこよう。※いずれかのHEALERジョブのレベルが72以上になると、彷徨う階段亭のジオットから次のHEALERロールクエストを受注することができます。			ジオットは、強力な再生能力を持つソープロシュネーの秘密を探るため、癒し手を求めていたらしい。ラミットがドワーフ族伝統の兜をかぶらず素顔を晒していたことは、ジオットにとって許しがたいことのようだ。ジオットの傷が癒えた頃に、また訪ねてこよう。※いずれかのHEALERジョブのレベルが72以上になると、彷徨う階段亭のジオットから次のHEALERロールクエストを受注することができます。			戦士ジオットの相棒探し							
迷える羊飼いの森のジオットと話す			迷える羊飼いの森のジオットと話す			戦士ジオットの相棒探し							
飢えたウルヴァリンを討伐			飢えたウルヴァリンを討伐			戦士ジオットの相棒探し							
ジオットを癒す			ジオットを癒す			戦士ジオットの相棒探し							
彷徨う階段亭のジオットと話す			彷徨う階段亭のジオットと話す			戦士ジオットの相棒探し							
ング、ング、ング……プハァ……。			ング、ング、ング……プハァ……。			戦士ジオットの相棒探し							
むっ！？もしや、お前さん、ワシに話しかけておったのか？			むっ！？もしや、お前さん、ワシに話しかけておったのか？			戦士ジオットの相棒探し							
そいつは失礼したぞい。では、改めて…………………			そいつは失礼したぞい。では、改めて…………………			戦士ジオットの相棒探し							
ラリホー！！！！！			ラリホー！！！！！			戦士ジオットの相棒探し							
どう反応する？			どう反応する？			戦士ジオットの相棒探し							
ラリホー！！			ラリホー！！			戦士ジオットの相棒探し							
ラリホー？			ラリホー？			戦士ジオットの相棒探し							
…………			…………			戦士ジオットの相棒探し							
うむ、実に気持ちの良い挨拶じゃの！			うむ、実に気持ちの良い挨拶じゃの！			戦士ジオットの相棒探し							
ラリホーに合わせて、腕はこうじゃ！それから、声も元気に大きくな！			ラリホーに合わせて、腕はこうじゃ！それから、声も元気に大きくな！			戦士ジオットの相棒探し							
失礼なやつじゃな。「ラリホー」は、もっとも基本的なドワーフの挨拶じゃ。ラリホーされたらラリホーで返す、覚えておくがいいぞい！			失礼なやつじゃな。「ラリホー」は、もっとも基本的なドワーフの挨拶じゃ。ラリホーされたらラリホーで返す、覚えておくがいいぞい！			戦士ジオットの相棒探し							
それにしても、お前さん……ドワーフだというのに、なぜ兜を被っておらん！？いくら、ここが里の外であっても、破廉恥すぎるぞい！			それにしても、お前さん……ドワーフだというのに、なぜ兜を被っておらん！？いくら、ここが里の外であっても、破廉恥すぎるぞい！			戦士ジオットの相棒探し							
なんと、水晶公の同郷であると……？ふむ、異郷のドワーフには、別の掟があるということか……。ならば、これ以上は何も言うまい。			なんと、水晶公の同郷であると……？ふむ、異郷のドワーフには、別の掟があるということか……。ならば、これ以上は何も言うまい。			戦士ジオットの相棒探し							
それにしても、お前さん……あまり見慣れぬ顔じゃな？			それにしても、お前さん……あまり見慣れぬ顔じゃな？			戦士ジオットの相棒探し							
なんと、水晶公の同郷であると……？どうりで、不可思議な気を放っておるはずよ。			なんと、水晶公の同郷であると……？どうりで、不可思議な気を放っておるはずよ。			戦士ジオットの相棒探し							
しかし、水晶公か……あやつは奇妙で底が知れぬが、知恵者ではある。その縁者ということなら、使えるかもしれんな……。			しかし、水晶公か……あやつは奇妙で底が知れぬが、知恵者ではある。その縁者ということなら、使えるかもしれんな……。			戦士ジオットの相棒探し							
もし、お前さんが癒やし手なのであれば、ワシの罪喰い退治に力を貸してもらいたいんじゃが……いかがかの？			もし、お前さんが癒やし手なのであれば、ワシの罪喰い退治に力を貸してもらいたいんじゃが……いかがかの？			戦士ジオットの相棒探し							
ダッハッハッ！自信たっぷりと見える……これは頼もしい！			ダッハッハッ！自信たっぷりと見える……これは頼もしい！			戦士ジオットの相棒探し							
じゃが、正式に契約を結ぶ前に、まずは腕試しをさせてくれい。			じゃが、正式に契約を結ぶ前に、まずは腕試しをさせてくれい。			戦士ジオットの相棒探し							
おっと、気を悪くせんでくれよ？ワシが狙っている罪喰いは、並の存在ではなくての……挑むだけでも、相当な危険を伴うのじゃ。			おっと、気を悪くせんでくれよ？ワシが狙っている罪喰いは、並の存在ではなくての……挑むだけでも、相当な危険を伴うのじゃ。			戦士ジオットの相棒探し							
命を預ける相棒を選ぶからには、慎重にしたい。すまんがクリスタリウムを出て西に進んだ先、「迷える羊飼いの森」まで来てくれ……待っておるぞい！			命を預ける相棒を選ぶからには、慎重にしたい。すまんがクリスタリウムを出て西に進んだ先、「迷える羊飼いの森」まで来てくれ……待っておるぞい！			戦士ジオットの相棒探し							
来たな、Forenameとやら。さっそく、腕試しを始めるぞい。			来たな、Forenameとやら。さっそく、腕試しを始めるぞい。			戦士ジオットの相棒探し							
さて…………獲物は、っと……			さて…………獲物は、っと……			戦士ジオットの相棒探し							
ふむ、アレが良さそうじゃな…………。			ふむ、アレが良さそうじゃな…………。			戦士ジオットの相棒探し							
スゥ～…………			スゥ～…………			戦士ジオットの相棒探し							
ドアホ～、バカタレ～、お前の母ちゃんホブゴブリン！！かかってこんかい、このションベン垂れのヒゲなし野郎ッ！！悔しかったら、かかってこいや～ッ！！！			ドアホ～、バカタレ～、お前の母ちゃんホブゴブリン！！かかってこんかい、このションベン垂れのヒゲなし野郎ッ！！悔しかったら、かかってこいや～ッ！！！			戦士ジオットの相棒探し							
グホッ…………。			グホッ…………。			戦士ジオットの相棒探し							
ウルヴァリンは、やる気のようだ。重傷を負ったジオットを助けるには、倒すしかないだろう。			ウルヴァリンは、やる気のようだ。重傷を負ったジオットを助けるには、倒すしかないだろう。			戦士ジオットの相棒探し							
ダッハッハッ！やるではないか、Forename！			ダッハッハッ！やるではないか、Forename！			戦士ジオットの相棒探し							
肋骨3本と右の大腿骨が見事にイっておったのに、たちどころに治ったぞい！			肋骨3本と右の大腿骨が見事にイっておったのに、たちどころに治ったぞい！			戦士ジオットの相棒探し							
どうやら、お前さんの癒やしの術は本物のようじゃな。緊急事態にも動転せず、よどみのない動きで敵を倒しておった。うむ、合格じゃ！			どうやら、お前さんの癒やしの術は本物のようじゃな。緊急事態にも動転せず、よどみのない動きで敵を倒しておった。うむ、合格じゃ！			戦士ジオットの相棒探し							
