格闘士ギルド受付のガガルナは、冒険者に依頼があるようだ。			格闘士ギルド受付のガガルナは、冒険者に依頼があるようだ。			亡国からの雷動							
やはり出たか、古戦場には魔物がつきものだからな。Forename、君の出番だ、しっかり頼むぞ！！			やはり出たか、古戦場には魔物がつきものだからな。Forename、君の出番だ、しっかり頼むぞ！！			亡国からの雷動							
ウィダルゲルト！　来てくれたんだな！Forename！君もよくやってくれた、期待以上だぞ、うん！			ウィダルゲルト！　来てくれたんだな！Forename！君もよくやってくれた、期待以上だぞ、うん！			亡国からの雷動							
紹介しよう、この男は、ウィダルゲルト。格闘士ギルドがよこした護衛かつ、吾輩の理解者かつ、最大の協力者、いわば一番弟子、つまり君の兄弟子だ！			紹介しよう、この男は、ウィダルゲルト。格闘士ギルドがよこした護衛かつ、吾輩の理解者かつ、最大の協力者、いわば一番弟子、つまり君の兄弟子だ！			亡国からの雷動							
たまに言うことを聞かんのと、「チャクラ」だ「気」だと、非科学的なことに、うつつをぬかすのが玉にキズだが……。			たまに言うことを聞かんのと、「チャクラ」だ「気」だと、非科学的なことに、うつつをぬかすのが玉にキズだが……。			亡国からの雷動							
ん？　んんん？もしや、あれはシラディハの痕跡では……！？素晴らしい！　これは素晴らしいぞっ！			ん？　んんん？もしや、あれはシラディハの痕跡では……！？素晴らしい！　これは素晴らしいぞっ！			亡国からの雷動							
気をつけて！また魔物が出ますよ！			気をつけて！また魔物が出ますよ！			亡国からの雷動							
博士の、あの研究に対する行動力に驚かれたでしょう？そしてさらに……今、あなたの身体に起きた変化にも驚き、戸惑いをおぼえていますね？			博士の、あの研究に対する行動力に驚かれたでしょう？そしてさらに……今、あなたの身体に起きた変化にも驚き、戸惑いをおぼえていますね？			亡国からの雷動							
この古戦場に流れる強い「エーテル」の影響で、あなたの体内を巡る「気」を司る「チャクラ」が開きました。そう、先ほど、あなたの額から発せられた光のことですよ。			この古戦場に流れる強い「エーテル」の影響で、あなたの体内を巡る「気」を司る「チャクラ」が開きました。そう、先ほど、あなたの額から発せられた光のことですよ。			亡国からの雷動							
挨拶が遅れました、ウィダルゲルトです。博士の紹介に加えると「ラールガー星導教」信徒の中で特殊な武術を修めた「モンク」という修行僧です。			挨拶が遅れました、ウィダルゲルトです。博士の紹介に加えると「ラールガー星導教」信徒の中で特殊な武術を修めた「モンク」という修行僧です。			亡国からの雷動							
「モンク」はこの拳にて、いかなる敵をも制す者。それを可能にするのが、肉体に宿るエネルギーが凝縮する「チャクラ」を開き「気」を制御することなのです。			「モンク」はこの拳にて、いかなる敵をも制す者。それを可能にするのが、肉体に宿るエネルギーが凝縮する「チャクラ」を開き「気」を制御することなのです。			亡国からの雷動							
この「チャクラ」はすべての人に備わっていますが、誰にでも開くことができる、というわけではありません。			この「チャクラ」はすべての人に備わっていますが、誰にでも開くことができる、というわけではありません。			亡国からの雷動							
「チャクラ」を開き「気」を制御し、自在に操るためには、それこそ、長い修行が必要なのですが……			「チャクラ」を開き「気」を制御し、自在に操るためには、それこそ、長い修行が必要なのですが……			亡国からの雷動							
稀に、資質に優れる者が「気」の影響を受け、「チャクラ」が一気に開くことがあるようです。……僕も、はじめてお目にかかりますよ。			稀に、資質に優れる者が「気」の影響を受け、「チャクラ」が一気に開くことがあるようです。……僕も、はじめてお目にかかりますよ。			亡国からの雷動							
「モンク」の才を発揮したあなたへ、特別に、これを差し上げておきましょう。「モンクの証」と呼ばれるものです。			「モンク」の才を発揮したあなたへ、特別に、これを差し上げておきましょう。「モンクの証」と呼ばれるものです。			亡国からの雷動							
「モンク」だけが持つことを許された秘石。本来ならば、教団の許しが必要なところですが……「チャクラ」を開いたあなたには、手にする資格があります。			「モンク」だけが持つことを許された秘石。本来ならば、教団の許しが必要なところですが……「チャクラ」を開いたあなたには、手にする資格があります。			亡国からの雷動							
あなたの才が開花したとき、その秘石に刻まれた先人たちの記憶と技を受け継ぐことができるでしょう。			あなたの才が開花したとき、その秘石に刻まれた先人たちの記憶と技を受け継ぐことができるでしょう。			亡国からの雷動							
しかし、これはモンクの修行の道の始まりにすぎません。その後は「チャクラ」をより大きく開き「気」を自在に操るすべを、身につける必要がある。			しかし、これはモンクの修行の道の始まりにすぎません。その後は「チャクラ」をより大きく開き「気」を自在に操るすべを、身につける必要がある。			亡国からの雷動							
古来より、若き修行僧は、先達が魂をぶつけた場所……すなわち「古戦場」を巡り、己の心身と技を磨くことで「チャクラ」を開いていくものとされてきました。			古来より、若き修行僧は、先達が魂をぶつけた場所……すなわち「古戦場」を巡り、己の心身と技を磨くことで「チャクラ」を開いていくものとされてきました。			亡国からの雷動							
偶然ながら、博士の研究対象も「古戦場」……。彼に同行することは、きっとあなたの「チャクラ」をより大きく開くことにつながるでしょう。			偶然ながら、博士の研究対象も「古戦場」……。彼に同行することは、きっとあなたの「チャクラ」をより大きく開くことにつながるでしょう。			亡国からの雷動							
おや、エリック博士がお帰りだ……博士の護衛は私が。あなたは「エーテル計測器」を回収し、彫金師ギルドの「エリック」博士に届けてください。			おや、エリック博士がお帰りだ……博士の護衛は私が。あなたは「エーテル計測器」を回収し、彫金師ギルドの「エリック」博士に届けてください。			亡国からの雷動							
おお、帰ってきたのか。吾輩は、早速、今回の計測結果の分析を始めたところなので、用ならあとにしてもらいたい。			おお、帰ってきたのか。吾輩は、早速、今回の計測結果の分析を始めたところなので、用ならあとにしてもらいたい。			亡国からの雷動							
おお、「エーテル計測器」を回収してくれたのか。いやいや、君は気が利くな。……で、今回の調査はどうだったかね？			おお、「エーテル計測器」を回収してくれたのか。いやいや、君は気が利くな。……で、今回の調査はどうだったかね？			亡国からの雷動							
なに？　「モンクの証」を受け取っただと？まったく、ウィダルゲルトの奴に感化されたのか。まあ、弟子同士で仲がよいことは吾輩としても喜ばしい。			なに？　「モンクの証」を受け取っただと？まったく、ウィダルゲルトの奴に感化されたのか。まあ、弟子同士で仲がよいことは吾輩としても喜ばしい。			亡国からの雷動							
次は、ウィダルゲルトと手分けしての計測になるだろう！君に割り当てる古戦場は、なかなかの危険地帯だ！今のうちに、モンクの技とやらを磨いておくんだぞ！！			次は、ウィダルゲルトと手分けしての計測になるだろう！君に割り当てる古戦場は、なかなかの危険地帯だ！今のうちに、モンクの技とやらを磨いておくんだぞ！！			亡国からの雷動							
「モンク」のジョブクエストが開始されました。次のクエストは「モンクレベル35」以上で受注可能になります。			「モンク」のジョブクエストが開始されました。次のクエストは「モンクレベル35」以上で受注可能になります。			亡国からの雷動							
とっとと蹴散らして、とっとと計測を済ますのだ。			とっとと蹴散らして、とっとと計測を済ますのだ。			亡国からの雷動							
いいぞ、その調子だ！データがどんどん流れこんでくるぞ！			いいぞ、その調子だ！データがどんどん流れこんでくるぞ！			亡国からの雷動							
手強そうなやつが現れたな、これぞ古戦場！！さあ、しっかり働いてくれよ！			手強そうなやつが現れたな、これぞ古戦場！！さあ、しっかり働いてくれよ！			亡国からの雷動							
おおお！　これは興味深い……貴重な計測値が取れたぞ。			おおお！　これは興味深い……貴重な計測値が取れたぞ。			亡国からの雷動							
新しいジョブを修得しました！受け取ったソウルクリスタルを装備することで、ジョブチェンジができます。			新しいジョブを修得しました！受け取ったソウルクリスタルを装備することで、ジョブチェンジができます。			亡国からの雷動							
ジョブチェンジしたあとには、「ギアセット」を登録してみましょう！現在の装備が記録され、即座に着替えられるようになります。			ジョブチェンジしたあとには、「ギアセット」を登録してみましょう！現在の装備が記録され、即座に着替えられるようになります。			亡国からの雷動							
「ギアセット」の登録は、装備変更と同じ「マイキャラクター」の画面から行えます。			「ギアセット」の登録は、装備変更と同じ「マイキャラクター」の画面から行えます。			亡国からの雷動							
エリック博士は、新たな古戦場でエーテルの測定を行いたいようだ。			エリック博士は、新たな古戦場でエーテルの測定を行いたいようだ。			青き古戦場							
知らぬ間に、ウィダルゲルトと同時に、ふたつの古戦場を調べるという画期的な試みに参加させられていた。東ラノシアの「ブラッドショア」に「エーテル計測器」を設置しよう。			知らぬ間に、ウィダルゲルトと同時に、ふたつの古戦場を調べるという画期的な試みに参加させられていた。東ラノシアの「ブラッドショア」に「エーテル計測器」を設置しよう。			青き古戦場							
エーテルを測定できた。「エーテル計測器」を回収しよう。			エーテルを測定できた。「エーテル計測器」を回収しよう。			青き古戦場							
回収した「エーテル計測器」を、ウルダハの彫金師ギルドにいる「エリック」に届けよう。			回収した「エーテル計測器」を、ウルダハの彫金師ギルドにいる「エリック」に届けよう。			青き古戦場							
今回使用した「エーテル計測器」は、少々壊れたようだ。計測器の修理が終わり、次の計測地が決まるまで、鍛錬に励もう。※モンクのレベルが40以上になると、エリックから次のモンククエストを受注することができます。			今回使用した「エーテル計測器」は、少々壊れたようだ。計測器の修理が終わり、次の計測地が決まるまで、鍛錬に励もう。※モンクのレベルが40以上になると、エリックから次のモンククエストを受注することができます。			青き古戦場							
ブラッドショアにエーテル計測器を設置			ブラッドショアにエーテル計測器を設置			青き古戦場							
エーテル計測器を回収			エーテル計測器を回収			青き古戦場							
彫金師ギルドのエリックにエーテル計測器を渡す			彫金師ギルドのエリックにエーテル計測器を渡す			青き古戦場							
おお！　間に合ってよかった！危うく吾輩ひとりで、古戦場へと赴くところだったぞ。			おお！　間に合ってよかった！危うく吾輩ひとりで、古戦場へと赴くところだったぞ。			青き古戦場							
今回はウィダルゲルトと同時に、ふたつの古戦場を調べるという画期的な試みに参加してもらう。君の兄弟子、ウィダルゲルトは、もう出発したぞ！			今回はウィダルゲルトと同時に、ふたつの古戦場を調べるという画期的な試みに参加してもらう。君の兄弟子、ウィダルゲルトは、もう出発したぞ！			青き古戦場							
「エーテル計測器」は、設置してくれれば、「エーテルの濃い場所」を探し出し、記録してくれる。しかも、測定した値は、すぐさま吾輩に転送されるという優れモノ！			「エーテル計測器」は、設置してくれれば、「エーテルの濃い場所」を探し出し、記録してくれる。しかも、測定した値は、すぐさま吾輩に転送されるという優れモノ！			青き古戦場							
君やウィダルゲルトのような、脳が筋肉でできてそうなタイプは、周辺の魔物と適当に戦って、測定結果を待っているがいい。勝手にエーテル値が測定され、吾輩の研究データとなる。			君やウィダルゲルトのような、脳が筋肉でできてそうなタイプは、周辺の魔物と適当に戦って、測定結果を待っているがいい。勝手にエーテル値が測定され、吾輩の研究データとなる。			青き古戦場							
そもそもエーテルとは、あらゆる「魔法」の原動力にして、すべての「命」の源たる不可視の生命エネルギーであり、生物が死んだとき、その命が宿すエーテルは霧散する。			そもそもエーテルとは、あらゆる「魔法」の原動力にして、すべての「命」の源たる不可視の生命エネルギーであり、生物が死んだとき、その命が宿すエーテルは霧散する。			青き古戦場							
だが時として、その一部が霧散せずこの物質界に…………その一例が…………クリスタル…………その…………だが、…………吾輩は「エーテル」に…………と踏んでいるのだ！！			だが時として、その一部が霧散せずこの物質界に…………その一例が…………クリスタル…………その…………だが、…………吾輩は「エーテル」に…………と踏んでいるのだ！！			青き古戦場							
わかりやすい例を挙げるなら……………………で……………………だから……………………を………………………………した……………………を「エーテルの門」と呼んでいる！			わかりやすい例を挙げるなら……………………で……………………だから……………………を………………………………した……………………を「エーテルの門」と呼んでいる！			青き古戦場							
生命が激しく散ったとき、クリスタルは……不可視のエーテルとして、残留エーテルはその量を増す！その、激しく生命の散る場所とは……			生命が激しく散ったとき、クリスタルは……不可視のエーテルとして、残留エーテルはその量を増す！その、激しく生命の散る場所とは……			青き古戦場							
そう！！　古戦場だ！！！つまり、残留エーテルを調査すれば！！！逆説的に、戦いの規模などが推測できるというわけだ！！！			そう！！　古戦場だ！！！つまり、残留エーテルを調査すれば！！！逆説的に、戦いの規模などが推測できるというわけだ！！！			青き古戦場							
そして、君やウィダルゲルトが騒ぐ「気」や「チャクラ」もエーテルと関係がある……いや、エーテルそのものなのだ。それを非科学的な名称で呼ぶのは、まことに腹立たしい！			そして、君やウィダルゲルトが騒ぐ「気」や「チャクラ」もエーテルと関係がある……いや、エーテルそのものなのだ。それを非科学的な名称で呼ぶのは、まことに腹立たしい！			青き古戦場							
古戦場に渦巻くエーテルは、周辺の魔物に蓄積している。そんな魔物を倒せば、君たちのいう「チャクラ」も拡大し、「気」とやらを、さらに強化することができるだろう。			古戦場に渦巻くエーテルは、周辺の魔物に蓄積している。そんな魔物を倒せば、君たちのいう「チャクラ」も拡大し、「気」とやらを、さらに強化することができるだろう。			青き古戦場							
最新鋭のエーテル理論、さすがの君も理解できただろう！アラミゴに住む吾輩の妻子は「研究馬鹿のたわごと」とぬかし、吾輩のもとから去っていったが……。			最新鋭のエーテル理論、さすがの君も理解できただろう！アラミゴに住む吾輩の妻子は「研究馬鹿のたわごと」とぬかし、吾輩のもとから去っていったが……。			青き古戦場							
……うむ、前置きはここまでにしておこう。			……うむ、前置きはここまでにしておこう。			青き古戦場							
君は、東ラノシアの「ブラッドショア」の担当だ。適切な場所に「エーテル計測器」を設置し、しばらくしたら「エーテル計測器」を回収して帰還せよ。			君は、東ラノシアの「ブラッドショア」の担当だ。適切な場所に「エーテル計測器」を設置し、しばらくしたら「エーテル計測器」を回収して帰還せよ。			青き古戦場							
吾輩にはエーテルのデータが残り、君たちの「チャクラ」は、大きく開かれるだろう。これぞ一挙両得！			吾輩にはエーテルのデータが残り、君たちの「チャクラ」は、大きく開かれるだろう。これぞ一挙両得！			青き古戦場							
本来、ブラッドショアの歴史を理解した上で任務にあたるべきだろうが、説明の時間が惜しい！それでも、戦史を知りたいなら、吾輩に再び話しかけよ！			本来、ブラッドショアの歴史を理解した上で任務にあたるべきだろうが、説明の時間が惜しい！それでも、戦史を知りたいなら、吾輩に再び話しかけよ！			青き古戦場							
む、ご苦労だった。「エーテル計測器」を返してもらおうか。			む、ご苦労だった。「エーテル計測器」を返してもらおうか。			青き古戦場							
むむむ……計測器が少々、壊れてしまっているな。すぐに修理へ回そう。そのために、吾輩はこの彫金師ギルドにいるのだしな。			むむむ……計測器が少々、壊れてしまっているな。すぐに修理へ回そう。そのために、吾輩はこの彫金師ギルドにいるのだしな。			青き古戦場							
この計測器は、吾輩が企画した緻密な設計図を、「ガーロンド・アイアンワークス」が製図して、彫金師ギルドが製作しているのだ。			この計測器は、吾輩が企画した緻密な設計図を、「ガーロンド・アイアンワークス」が製図して、彫金師ギルドが製作しているのだ。			青き古戦場							
ウィダルゲルトの調査結果も先ほど届いたので、吾輩は、早速、今回計測結果の分析を開始する。用があるなら、後にしてくれ。			ウィダルゲルトの調査結果も先ほど届いたので、吾輩は、早速、今回計測結果の分析を開始する。用があるなら、後にしてくれ。			青き古戦場							
いずれにせよ、計測器の修理と計測場所の選定には時間がかかる。次の計測を心待ちにしながら、鍛錬とやらに、せいぜい励むことだな。			いずれにせよ、計測器の修理と計測場所の選定には時間がかかる。次の計測を心待ちにしながら、鍛錬とやらに、せいぜい励むことだな。			青き古戦場							
敵の気配を感じた！！			敵の気配を感じた！！			青き古戦場							
エリックは、冒険者に依頼したいことがあるようだ。			エリックは、冒険者に依頼したいことがあるようだ。			不和から至る旋律							
エリックに、2つの仕事を頼まれた。まずは、南ザナラーン「リトルアラミゴ」にいる「ウィダルゲルト」と話そう。			エリックに、2つの仕事を頼まれた。まずは、南ザナラーン「リトルアラミゴ」にいる「ウィダルゲルト」と話そう。			不和から至る旋律							
ウィダルゲルトの計測は、まだ終わっていないため、終わり次第、「エーテル計測器」を冒険者へ届けてくれるそうだ。次なる仕事のために、南部森林の「蛇殻林」へ向かい、指定地点に「エーテル計測器」を設置しよう。			ウィダルゲルトの計測は、まだ終わっていないため、終わり次第、「エーテル計測器」を冒険者へ届けてくれるそうだ。次なる仕事のために、南部森林の「蛇殻林」へ向かい、指定地点に「エーテル計測器」を設置しよう。			不和から至る旋律							
エーテルを測定できた。「エーテル計測器」を回収しよう。			エーテルを測定できた。「エーテル計測器」を回収しよう。			不和から至る旋律							
ウィダルゲルトの目的は、エリックから古戦場の情報を聞きだし、チャクラを開くことだった。ウルダハ彫金師ギルドにいるエリックに、自分とウィダルゲルトから受け取った「エーテル計測器」2つを渡そう。			ウィダルゲルトの目的は、エリックから古戦場の情報を聞きだし、チャクラを開くことだった。ウルダハ彫金師ギルドにいるエリックに、自分とウィダルゲルトから受け取った「エーテル計測器」2つを渡そう。			不和から至る旋律							
エリックによると、冒険者が届けた測定結果から画期的な発見ができそうである。結果が判明するまで、モンクの鍛錬に励もう。※モンクのレベルが45以上になると、エリックから次のモンククエストを受注することができます。			エリックによると、冒険者が届けた測定結果から画期的な発見ができそうである。結果が判明するまで、モンクの鍛錬に励もう。※モンクのレベルが45以上になると、エリックから次のモンククエストを受注することができます。			不和から至る旋律							
リトルアラミゴのウィダルゲルトと話す			リトルアラミゴのウィダルゲルトと話す			不和から至る旋律							
蛇殻林にエーテル計測器を配置			蛇殻林にエーテル計測器を配置			不和から至る旋律							
エーテル計測器を回収			エーテル計測器を回収			不和から至る旋律							
彫金師ギルドのエリックに2つのエーテル計測器を渡す			彫金師ギルドのエリックに2つのエーテル計測器を渡す			不和から至る旋律							
Forename！　ハハハ、待っていたぞ！素晴らしい、実に素晴らしい、この感動を伝えるため！吾輩は昨晩、辞書を片手に、修飾語を列挙していたのだ！			Forename！　ハハハ、待っていたぞ！素晴らしい、実に素晴らしい、この感動を伝えるため！吾輩は昨晩、辞書を片手に、修飾語を列挙していたのだ！			不和から至る旋律							
何の話かわからんだと！？　とぼける必要はない！君が取得したデータの話だ！　実に正確！　実に見事！君はエーテル計測の天才だ！　その才能に敬意を表そう！			何の話かわからんだと！？　とぼける必要はない！君が取得したデータの話だ！　実に正確！　実に見事！君はエーテル計測の天才だ！　その才能に敬意を表そう！			不和から至る旋律							
思い返せば、半西紀……「マルドティー真菌培養事件」以来、吾輩は孤独に、この道を走り続けてきた。そのことに後悔はない。			思い返せば、半西紀……「マルドティー真菌培養事件」以来、吾輩は孤独に、この道を走り続けてきた。そのことに後悔はない。			不和から至る旋律							
だが今、君たちのような弟子を持ち、吾輩は幸せだ！茨の道行きは、かくも楽しいものだったか！この感動は、まさに数値化不可能だ！			だが今、君たちのような弟子を持ち、吾輩は幸せだ！茨の道行きは、かくも楽しいものだったか！この感動は、まさに数値化不可能だ！			不和から至る旋律							
……と、いかんいかん。吾輩としたことが、本題を忘れるところだった。			……と、いかんいかん。吾輩としたことが、本題を忘れるところだった。			不和から至る旋律							
次なる古戦場の選定の最中、吾輩は妙なことに気づいた。エオルゼアには、古戦場とされていない場所でも、エーテルが乱れている場所が多数存在していたのだ。			次なる古戦場の選定の最中、吾輩は妙なことに気づいた。エオルゼアには、古戦場とされていない場所でも、エーテルが乱れている場所が多数存在していたのだ。			不和から至る旋律							
これまでの吾輩は、「エーテルが乱れている場所、すなわち古戦場」という仮説を前提として研究を進めてきた。			これまでの吾輩は、「エーテルが乱れている場所、すなわち古戦場」という仮説を前提として研究を進めてきた。			不和から至る旋律							
だが今回の発見を鑑みるに、過去の人間が、「エーテルの乱れている場所を戦場に選定した」という、恐ろしい可能性に思いいたった！			だが今回の発見を鑑みるに、過去の人間が、「エーテルの乱れている場所を戦場に選定した」という、恐ろしい可能性に思いいたった！			不和から至る旋律							
