レヴナンツトールのシ・ルン・ティアは、今後の修行について考えているようだ。			レヴナンツトールのシ・ルン・ティアは、今後の修行について考えているようだ。			不可避の定め							
そういや、アリアはまだか？よほど手間取ってるのでもなけりゃ、戻ってもいい頃合だが……。			そういや、アリアはまだか？よほど手間取ってるのでもなけりゃ、戻ってもいい頃合だが……。			不可避の定め							
イヤな予感がする…………結構、無茶するヤツだしな。いっしょに「大工房アーキテクトン」付近を探そう。			イヤな予感がする…………結構、無茶するヤツだしな。いっしょに「大工房アーキテクトン」付近を探そう。			不可避の定め							
……せん………………ぱい……？わたし……がんばりました……。			……せん………………ぱい……？わたし……がんばりました……。			不可避の定め							
……そこにいたのか！Forename、アリアは無事か？			……そこにいたのか！Forename、アリアは無事か？			不可避の定め							
こいつらは、アリアが倒した「青の手」の一隊だな？何とか倒したが、アリア自身も力つきたのか……。			こいつらは、アリアが倒した「青の手」の一隊だな？何とか倒したが、アリア自身も力つきたのか……。			不可避の定め							
アリア、もう動けるのか？…………おい、どうした？			アリア、もう動けるのか？…………おい、どうした？			不可避の定め							
先輩…………師匠……。			先輩…………師匠……。			不可避の定め							
その生命……その魂を………………わたしに……！			その生命……その魂を………………わたしに……！			不可避の定め							
髪の色が……！これは…………ランバードと同じ！？やめろ、アリア！			髪の色が……！これは…………ランバードと同じ！？やめろ、アリア！			不可避の定め							
…………耳に届いちゃいないか。しかたない、少し眠ってもらう！			…………耳に届いちゃいないか。しかたない、少し眠ってもらう！			不可避の定め							
アリアを連れて、イディルシャイアへ戻ろう。「ロウェナ総合文化会館」に、休ませられる場所がある。			アリアを連れて、イディルシャイアへ戻ろう。「ロウェナ総合文化会館」に、休ませられる場所がある。			不可避の定め							
休む場所くらいは、貸してくれるってよ。ロウェナ商会に借りを作るのは、あまり愉快じゃないがな！			休む場所くらいは、貸してくれるってよ。ロウェナ商会に借りを作るのは、あまり愉快じゃないがな！			不可避の定め							
アリアは見てのとおり、目を覚ましてる。……話を聞いてみな。			アリアは見てのとおり、目を覚ましてる。……話を聞いてみな。			不可避の定め							
わたし、先輩たちに襲いかかったって…………本当ですか？			わたし、先輩たちに襲いかかったって…………本当ですか？			不可避の定め							
そんな………………どうして……。			そんな………………どうして……。			不可避の定め							
からくり兵器は、何とか倒したんですけど…………力を使い果たして、立てなくなってしまったんです。			からくり兵器は、何とか倒したんですけど…………力を使い果たして、立てなくなってしまったんです。			不可避の定め							
……それから、薄れる意識と入れ替わるみたいに、強い衝動が湧きあがって…………そのあとの記憶は、何も……。			……それから、薄れる意識と入れ替わるみたいに、強い衝動が湧きあがって…………そのあとの記憶は、何も……。			不可避の定め							
まさか、先輩に剣を向けていたなんて……どうしよう、わたし……。			まさか、先輩に剣を向けていたなんて……どうしよう、わたし……。			不可避の定め							
意識が薄れたあとのこと……何も思いだせないんです。本当に、ごめんなさい……。			意識が薄れたあとのこと……何も思いだせないんです。本当に、ごめんなさい……。			不可避の定め							
オレの判断ミスだ……やはり、無理をさせるべきじゃなかったんだ。これから、過酷な事実を話さねばならん……アリアは座ったまま聞いてくれ。			オレの判断ミスだ……やはり、無理をさせるべきじゃなかったんだ。これから、過酷な事実を話さねばならん……アリアは座ったまま聞いてくれ。			不可避の定め							
アリアは前にも、戦いのあとでふらついていたことがあった。思えば、あれは予兆だったんだ。			アリアは前にも、戦いのあとでふらついていたことがあった。思えば、あれは予兆だったんだ。			不可避の定め							
衝動に意識を乗っ取られた瞬間、髪の色が変わった。あれはランバードと同じ、獲物の生命力……つまり、エーテルを奪う攻撃の前兆だ。			衝動に意識を乗っ取られた瞬間、髪の色が変わった。あれはランバードと同じ、獲物の生命力……つまり、エーテルを奪う攻撃の前兆だ。			不可避の定め							
……ランバードは膨大な魔力を御しうる力の代償として、敵の生命を喰らい、飢えを満たしていたようだ。アリアの内に湧いた衝動は、おそらくヤツの「飢え」と同じものだ。			……ランバードは膨大な魔力を御しうる力の代償として、敵の生命を喰らい、飢えを満たしていたようだ。アリアの内に湧いた衝動は、おそらくヤツの「飢え」と同じものだ。			不可避の定め							
そんな……。			そんな……。			不可避の定め							
ランバードは、己の肉体を造り変えたと言っていた。アリアが同じ術を施された可能性もあるが、ヤツはその完成に、十数年を要したはず……。			ランバードは、己の肉体を造り変えたと言っていた。アリアが同じ術を施された可能性もあるが、ヤツはその完成に、十数年を要したはず……。			不可避の定め							
アリア、不安だろうが……いまはゆっくり休め。			アリア、不安だろうが……いまはゆっくり休め。			不可避の定め							
お前が、お前でなくなってしまったわけじゃない。現にこうして話ができているだろう？			お前が、お前でなくなってしまったわけじゃない。現にこうして話ができているだろう？			不可避の定め							
はい……。			はい……。			不可避の定め							
Forename、アリアを救う方法を探そう。長旅になるかもしれん。支度を整えたら、またオレのところへ来てくれ！			Forename、アリアを救う方法を探そう。長旅になるかもしれん。支度を整えたら、またオレのところへ来てくれ！			不可避の定め							
「赤魔道士」の新たなジョブクエストが開始されました。次のクエストは「レベル63」以上で、ロウェナ総合文化会館のシ・ルン・ティアから受注可能です。			「赤魔道士」の新たなジョブクエストが開始されました。次のクエストは「レベル63」以上で、ロウェナ総合文化会館のシ・ルン・ティアから受注可能です。			不可避の定め							
今後の「赤魔道士」のジョブクエスト受注条件は、コンプリート後のジャーナルで確認できます。			今後の「赤魔道士」のジョブクエスト受注条件は、コンプリート後のジャーナルで確認できます。			不可避の定め							
青燐精製所のシ・ルン・ティアは、ランバードと決着をつけるつもりのようだ。			青燐精製所のシ・ルン・ティアは、ランバードと決着をつけるつもりのようだ。			抗いの果てに							
シ・ルンと話した。暗殺団の襲撃計画を阻止するため、ガーロンド・アイアンワークスのジェシーと会うことになった。レヴナンツトールにある、ロウェナ記念会館のカフェテラス付近にいる「アリア」と話そう。			シ・ルンと話した。暗殺団の襲撃計画を阻止するため、ガーロンド・アイアンワークスのジェシーと会うことになった。レヴナンツトールにある、ロウェナ記念会館のカフェテラス付近にいる「アリア」と話そう。			抗いの果てに							
アリアがジェシーに変装し、ランバードと暗殺団を誘いだすことになった。レヴナンツトールのエーテライト付近にいる「シ・ルン・ティア」と話そう。			アリアがジェシーに変装し、ランバードと暗殺団を誘いだすことになった。レヴナンツトールのエーテライト付近にいる「シ・ルン・ティア」と話そう。			抗いの果てに							
シ・ルンと話した。レヴナンツトールの南東の門の外にいる「シ・ルン・ティア」と合流しよう。			シ・ルンと話した。レヴナンツトールの南東の門の外にいる「シ・ルン・ティア」と合流しよう。			抗いの果てに							
暗殺団を迎え撃つ作戦が開始された。モードゥナの銀泪湖北岸で、暗殺団の妨害を退けて「アリア」を救助しよう。			暗殺団を迎え撃つ作戦が開始された。モードゥナの銀泪湖北岸で、暗殺団の妨害を退けて「アリア」を救助しよう。			抗いの果てに							
アリアを救助した。銀泪湖北岸をさらに南へと向かい、暗殺団の妨害を退けて、再び「アリア」を救助しよう。			アリアを救助した。銀泪湖北岸をさらに南へと向かい、暗殺団の妨害を退けて、再び「アリア」を救助しよう。			抗いの果てに							
アリアを再び救助した。黙約の塔付近に、ガーロンド・アイアンワークスの飛空艇が接岸しているという。みずからオトリを買って出たアリアを守るため、モードゥナの黙約の塔付近の「指定地点」で待機し、ランバードとの決戦に臨もう。			アリアを再び救助した。黙約の塔付近に、ガーロンド・アイアンワークスの飛空艇が接岸しているという。みずからオトリを買って出たアリアを守るため、モードゥナの黙約の塔付近の「指定地点」で待機し、ランバードとの決戦に臨もう。			抗いの果てに							
重傷を負ったシ・ルンにかわり、アリアと力を合わせてランバードを倒した。黙約の塔付近の「シ・ルン・ティア」を介抱しよう。			重傷を負ったシ・ルンにかわり、アリアと力を合わせてランバードを倒した。黙約の塔付近の「シ・ルン・ティア」を介抱しよう。			抗いの果てに							
シ・ルンの傷は深いが、命に別状はないようだ。レヴナンツトールの「シ・ルン・ティア」と話そう。			シ・ルンの傷は深いが、命に別状はないようだ。レヴナンツトールの「シ・ルン・ティア」と話そう。			抗いの果てに							
冒険者らの活躍により、ランバードのガーロンド・アイアンワークス襲撃計画は失敗に終わった。「抗う力」は、人を呪縛から解き放つ力……。自身の志を受け継いだ弟子たちにより、20年来の因縁に終止符を打つことができたシ・ルンの表情は、晴れ晴れとしていた。※「メインクエスト：竜詩戦争 戦後編」の「宿命の果て」を完了することで、レヴナンツトールのシ・ルン・ティアから、新たなジョブクエストを受注することができます。			冒険者らの活躍により、ランバードのガーロンド・アイアンワークス襲撃計画は失敗に終わった。「抗う力」は、人を呪縛から解き放つ力……。自身の志を受け継いだ弟子たちにより、20年来の因縁に終止符を打つことができたシ・ルンの表情は、晴れ晴れとしていた。※「メインクエスト：竜詩戦争 戦後編」の「宿命の果て」を完了することで、レヴナンツトールのシ・ルン・ティアから、新たなジョブクエストを受注することができます。			抗いの果てに							
レヴナンツトールのアリアと話す			レヴナンツトールのアリアと話す			抗いの果てに							
シ・ルン・ティアと話す			シ・ルン・ティアと話す			抗いの果てに							
シ・ルン・ティアと合流			シ・ルン・ティアと合流			抗いの果てに							
妨害を退けアリアを救助			妨害を退けアリアを救助			抗いの果てに							
妨害を退け再びアリアを救助			妨害を退け再びアリアを救助			抗いの果てに							
指定地点で待機			指定地点で待機			抗いの果てに							
レヴナンツトールのシ・ルン・ティアと話す			レヴナンツトールのシ・ルン・ティアと話す			抗いの果てに							
ランバードを倒せ！			ランバードを倒せ！			抗いの果てに							
どうして治癒魔法は、うまくいかないんでしょう……。ちゃんと発動してるみたいなんですけど……効きめが弱くって……。			どうして治癒魔法は、うまくいかないんでしょう……。ちゃんと発動してるみたいなんですけど……効きめが弱くって……。			抗いの果てに							
ランバードによる、ガーロンド・アイアンワークス襲撃計画だが……ヤツが動く頃合が近づいてきた。			ランバードによる、ガーロンド・アイアンワークス襲撃計画だが……ヤツが動く頃合が近づいてきた。			抗いの果てに							
襲撃が計画されているのは、アラミゴ解放軍の拠点へ向けて、とある装置が輸送される日だ。出発地は、モードゥナのレヴナンツトール近郊。			襲撃が計画されているのは、アラミゴ解放軍の拠点へ向けて、とある装置が輸送される日だ。出発地は、モードゥナのレヴナンツトール近郊。			抗いの果てに							
そこで待ち伏せして、ランバードを返り討ちにしようってわけだ！オレはこれからジェシー会長代行と会って、算段を打ちあわせる。			そこで待ち伏せして、ランバードを返り討ちにしようってわけだ！オレはこれからジェシー会長代行と会って、算段を打ちあわせる。			抗いの果てに							
お前たちは、先にレヴナンツトールへ向かってほしい。そうだな……「ロウェナ記念会館」の上にある、カフェテラスのあたりで、待っていてくれ。			お前たちは、先にレヴナンツトールへ向かってほしい。そうだな……「ロウェナ記念会館」の上にある、カフェテラスのあたりで、待っていてくれ。			抗いの果てに							
あの、先輩……もしかして、探しました？カフェテラスにずっといるの、何だか申し訳ない気がして……隅っこで待ってたんです……。			あの、先輩……もしかして、探しました？カフェテラスにずっといるの、何だか申し訳ない気がして……隅っこで待ってたんです……。			抗いの果てに							
あっ、師匠とジェシーさんも到着です！			あっ、師匠とジェシーさんも到着です！			抗いの果てに							
話は聞いたわよ。かよわい乙女であるこの私を狙おうだなんて、なかなか頭のまわる敵じゃない！			話は聞いたわよ。かよわい乙女であるこの私を狙おうだなんて、なかなか頭のまわる敵じゃない！			抗いの果てに							
ま、頼れる姉兄さんたちが守ってくれるみたいだし、何も知らないフリをして、フネに向かえばいいわけね？			ま、頼れる姉兄さんたちが守ってくれるみたいだし、何も知らないフリをして、フネに向かえばいいわけね？			抗いの果てに							
ランバード一味は今回、総力をあげて襲撃をかけてくる。誘いだして一網打尽にしたい。会長代行をオトリに使うのは、気が進まんが……。			ランバード一味は今回、総力をあげて襲撃をかけてくる。誘いだして一網打尽にしたい。会長代行をオトリに使うのは、気が進まんが……。			抗いの果てに							
あの……だったら……わたしが、ジェシーさんに変装するというのはどうでしょう？			あの……だったら……わたしが、ジェシーさんに変装するというのはどうでしょう？			抗いの果てに							
アリアが身がわりに……？たしかにそうすれば、会長代行を守りながら戦う必要はないが……			アリアが身がわりに……？たしかにそうすれば、会長代行を守りながら戦う必要はないが……			抗いの果てに							
……ものは試しに、この娘に変装させてみたら？命が惜しいわけじゃないけど、足手まといになるのはごめんだわ！ちょっと若すぎる気もするけど、メイクで何とかなるわよ。			……ものは試しに、この娘に変装させてみたら？命が惜しいわけじゃないけど、足手まといになるのはごめんだわ！ちょっと若すぎる気もするけど、メイクで何とかなるわよ。			抗いの果てに							
おー、ばっちり！これなら遠目には、区別がつかないわね！ただちょっと、背丈がね……あと1フルムぐらい、背、伸びない？			おー、ばっちり！これなら遠目には、区別がつかないわね！ただちょっと、背丈がね……あと1フルムぐらい、背、伸びない？			抗いの果てに							
それは無理です！			それは無理です！			抗いの果てに							
……冗談よ！あなたには借りができたから、いつかお礼するわ。じゃ、あとのことはまかせたわよ！			……冗談よ！あなたには借りができたから、いつかお礼するわ。じゃ、あとのことはまかせたわよ！			抗いの果てに							
まもなくガーロンド社の飛空艇が、近郊の崖に接岸する。アリアはジェシーのフリをして、そこへ向かってくれ。護衛はForenameに頼む。			まもなくガーロンド社の飛空艇が、近郊の崖に接岸する。アリアはジェシーのフリをして、そこへ向かってくれ。護衛はForenameに頼む。			抗いの果てに							
飛空艇の出発予定時刻まで、まだ時間がある。それまでは好きに過ごしていい。あとで、エーテライトの近くで落ちあおう。			飛空艇の出発予定時刻まで、まだ時間がある。それまでは好きに過ごしていい。あとで、エーテライトの近くで落ちあおう。			抗いの果てに							
ジェシーさんに、影武者を務めるならもっと強気に、周りを見下すぐらい堂々としてなさいって言われたんですけど……むっ……無理ですよぅ……。			ジェシーさんに、影武者を務めるならもっと強気に、周りを見下すぐらい堂々としてなさいって言われたんですけど……むっ……無理ですよぅ……。			抗いの果てに							
……来たか。もうすぐ、ガーロンド社の飛空艇が出発する時間だ。帝国の手先になりさがった、ランバードと決着をつけるときだ。			……来たか。もうすぐ、ガーロンド社の飛空艇が出発する時間だ。帝国の手先になりさがった、ランバードと決着をつけるときだ。			抗いの果てに							
オレにはひとつだけ、腑に落ちないことがある。ランバードは、なぜ帝国のために働いているのか……？			オレにはひとつだけ、腑に落ちないことがある。ランバードは、なぜ帝国のために働いているのか……？			抗いの果てに							
「紅の疾風」時代のヤツは、学究肌で優秀な男だったよ。決して、カネめあてで祖国を売るような俗物じゃなかった。それが、なぜ……。			「紅の疾風」時代のヤツは、学究肌で優秀な男だったよ。決して、カネめあてで祖国を売るような俗物じゃなかった。それが、なぜ……。			抗いの果てに							
……理由は、この剣でヤツに問いただすとしよう。ランバードが犯した罪……その咎(とが)は償わせてみせる。			……理由は、この剣でヤツに問いただすとしよう。ランバードが犯した罪……その咎(とが)は償わせてみせる。			抗いの果てに							
それでは、作戦開始だ。ふたりとも、南東の門の外まで来てくれ！			それでは、作戦開始だ。ふたりとも、南東の門の外まで来てくれ！			抗いの果てに							
緊張してきました……覚えた魔法、うまく使えるかな……。あっ、ジェシーさんのフリをしなきゃいけないから、魔法はだめですよね？			緊張してきました……覚えた魔法、うまく使えるかな……。あっ、ジェシーさんのフリをしなきゃいけないから、魔法はだめですよね？			抗いの果てに							
よし、そろったな！アリアは、ジェシー会長代行のフリをして、この「銀泪湖北岸」を移動してくれ。			よし、そろったな！アリアは、ジェシー会長代行のフリをして、この「銀泪湖北岸」を移動してくれ。			抗いの果てに							
目的地は「黙約の塔」付近に停められた、ガーロンド社の飛空艇だ。道中、暗殺団が必ず襲ってくる。Forenameはアリアの護衛を頼む。			目的地は「黙約の塔」付近に停められた、ガーロンド社の飛空艇だ。道中、暗殺団が必ず襲ってくる。Forenameはアリアの護衛を頼む。			抗いの果てに							
南の方にも、大規模な別働隊が集結しているようだ。こいつらはオレが引き受けよう。			南の方にも、大規模な別働隊が集結しているようだ。こいつらはオレが引き受けよう。			抗いの果てに							
アリアも、かなり腕を上げてきている。特に攻撃魔法の上達ぶりには、オレも目を見張るほどだが……			アリアも、かなり腕を上げてきている。特に攻撃魔法の上達ぶりには、オレも目を見張るほどだが……			抗いの果てに							
あくまで影武者だからな、むやみに応戦はするなよ？ランバード本人を引きずりだすまでは……Forename、お前が守り抜け。			あくまで影武者だからな、むやみに応戦はするなよ？ランバード本人を引きずりだすまでは……Forename、お前が守り抜け。			抗いの果てに							
先輩、よろしくお願いします！じゃあ……わたし、行きます！			先輩、よろしくお願いします！じゃあ……わたし、行きます！			抗いの果てに							
……先輩、お怪我はないですか！？			……先輩、お怪我はないですか！？			抗いの果てに							
飛空艇があるのは、もっと南の方です。わたし、先に行ってます！			飛空艇があるのは、もっと南の方です。わたし、先に行ってます！			抗いの果てに							
やりましたね。さすがです、先輩……！			やりましたね。さすがです、先輩……！			抗いの果てに							
……あっ、師匠ですね？はい、たったいま先輩が、襲ってきた敵を撃退したところです！			……あっ、師匠ですね？はい、たったいま先輩が、襲ってきた敵を撃退したところです！			抗いの果てに							
(-シ・ルン・ティア-)上首尾だ、Forename！こっちもあらかた片づけたトコだ。次は、飛空艇が停泊している「黙約の塔」付近へ向かう。			(-シ・ルン・ティア-)上首尾だ、Forename！こっちもあらかた片づけたトコだ。次は、飛空艇が停泊している「黙約の塔」付近へ向かう。			抗いの果てに							
(-シ・ルン・ティア-)ランバードの手駒は、ほとんど残っちゃいないはずだ！直接手を下すため、ヤツは必ず出てくる。			(-シ・ルン・ティア-)ランバードの手駒は、ほとんど残っちゃいないはずだ！直接手を下すため、ヤツは必ず出てくる。			抗いの果てに							
(-シ・ルン・ティア-)アリアは素知らぬ顔で、飛空艇の方へ向かってくれ！Forenameは付近の物陰で待機。オレも近くで、ランバードを待ち伏せる！			(-シ・ルン・ティア-)アリアは素知らぬ顔で、飛空艇の方へ向かってくれ！Forenameは付近の物陰で待機。オレも近くで、ランバードを待ち伏せる！			抗いの果てに							
先輩、聞こえましたか？「黙約の塔」の近くまで、向かいましょう！			先輩、聞こえましたか？「黙約の塔」の近くまで、向かいましょう！			抗いの果てに							
師匠も、近くで待ち伏せしているはずです。ランバードは、本当に現れるんでしょうか……？			師匠も、近くで待ち伏せしているはずです。ランバードは、本当に現れるんでしょうか……？			抗いの果てに							
よく見れば、替え玉……アリアとかいう娘ですね？なるほど、一杯喰わされたようです。			よく見れば、替え玉……アリアとかいう娘ですね？なるほど、一杯喰わされたようです。			抗いの果てに							
そう……お前の計画は、失敗だ。今度は逃がさんぞ、ランバード！			そう……お前の計画は、失敗だ。今度は逃がさんぞ、ランバード！			抗いの果てに							
なぜ、帝国の手先になりさがった！ともに「抗う力」を高めあった、お前が……！			なぜ、帝国の手先になりさがった！ともに「抗う力」を高めあった、お前が……！			抗いの果てに							
……変わりませんね、シ・ルン。もう、うんざりなんです。			……変わりませんね、シ・ルン。もう、うんざりなんです。			抗いの果てに							
何の話だ……？			何の話だ……？			抗いの果てに							
