シャバーブチェのラホージャは不安そうだ。			シャバーブチェのラホージャは不安そうだ。			遭遇！ 敵は盗賊団！？							
盗っ人の男が、村に残していった唯一の痕跡……酒瓶を頼りに船乗りたちに聞き込みをしたところ、「あらみご」のものだとわかったでな。			盗っ人の男が、村に残していった唯一の痕跡……酒瓶を頼りに船乗りたちに聞き込みをしたところ、「あらみご」のものだとわかったでな。			遭遇！ 敵は盗賊団！？							
外洋へ出ていくマムージャ族はそう多くはないうえ、うちのセートジャは目に入れても痛くないくらい可愛い子じゃ。すぐわかると思うから、探しておくれ！			外洋へ出ていくマムージャ族はそう多くはないうえ、うちのセートジャは目に入れても痛くないくらい可愛い子じゃ。すぐわかると思うから、探しておくれ！			遭遇！ 敵は盗賊団！？							
セートジャはアラミゴのどこかにいるらしい……。まずは「ラールガーズリーチ」で聞き込みをしてみよう。			セートジャはアラミゴのどこかにいるらしい……。まずは「ラールガーズリーチ」で聞き込みをしてみよう。			遭遇！ 敵は盗賊団！？							
マムージャ族の女の子なら、大砲を手入れしているときに、声をかけられたよ。			マムージャ族の女の子なら、大砲を手入れしているときに、声をかけられたよ。			遭遇！ 敵は盗賊団！？							
酒瓶を見せられて、持ち主を探してるって言われたんだ。たしかにアラミゴ製だったけど、ありふれた品だったから、力になれなかったけれどね。			酒瓶を見せられて、持ち主を探してるって言われたんだ。たしかにアラミゴ製だったけど、ありふれた品だったから、力になれなかったけれどね。			遭遇！ 敵は盗賊団！？							
マムージャ族の女性なら、確かにお会いしました。ひょろりと背の高い、窃盗犯の男を探しているとか。			マムージャ族の女性なら、確かにお会いしました。ひょろりと背の高い、窃盗犯の男を探しているとか。			遭遇！ 敵は盗賊団！？							
ヴィルジャラの涸れ谷付近に現れる盗賊の頭目が、お探しの人物かもしれない、とお伝えしました。そちらに向かうような素振りだったので、少し心配です。			ヴィルジャラの涸れ谷付近に現れる盗賊の頭目が、お探しの人物かもしれない、とお伝えしました。そちらに向かうような素振りだったので、少し心配です。			遭遇！ 敵は盗賊団！？							
シュー……マムージャ族か。我が近辺の見回りで見かけたのは、武器を持った者であったな。そなたが探している者とは別人だろうか。			シュー……マムージャ族か。我が近辺の見回りで見かけたのは、武器を持った者であったな。そなたが探している者とは別人だろうか。			遭遇！ 敵は盗賊団！？							
マムージャ族の女の子なら、大砲を手入れしているときに、声をかけられたよ。愛想がいい子だったな。			マムージャ族の女の子なら、大砲を手入れしているときに、声をかけられたよ。愛想がいい子だったな。			遭遇！ 敵は盗賊団！？							
マムージャ族の方なら、確かにお会いしました。ヴィルジャラの涸れ谷付近に現れる盗賊の、その頭目がお探しの人物かもしれない、とお伝えしましたよ。			マムージャ族の方なら、確かにお会いしました。ヴィルジャラの涸れ谷付近に現れる盗賊の、その頭目がお探しの人物かもしれない、とお伝えしましたよ。			遭遇！ 敵は盗賊団！？							
シュー……マムージャ族か。我が近辺の見回りで見かけたのは、武器を持った者であったな。そなたが探している者とは別人だろうか。			シュー……マムージャ族か。我が近辺の見回りで見かけたのは、武器を持った者であったな。そなたが探している者とは別人だろうか。			遭遇！ 敵は盗賊団！？							
いてて……。			いてて……。			遭遇！ 敵は盗賊団！？							
ケガは大丈夫そー？ウチが地元から持ってきた軟膏が効くかも！			ケガは大丈夫そー？ウチが地元から持ってきた軟膏が効くかも！			遭遇！ 敵は盗賊団！？							
おねーさんおにーさんも心配して来てくれたの？あのね、この商人さん、盗賊に襲われちゃったみたいだから、手を貸して！			おねーさんおにーさんも心配して来てくれたの？あのね、この商人さん、盗賊に襲われちゃったみたいだから、手を貸して！			遭遇！ 敵は盗賊団！？							
わ、私のことはいいから、護衛に加勢してくれないか！荷を取り返そうと、盗賊を追ってこの先へ……！			わ、私のことはいいから、護衛に加勢してくれないか！荷を取り返そうと、盗賊を追ってこの先へ……！			遭遇！ 敵は盗賊団！？							
商人さんの荷物を返せええええええ！！			商人さんの荷物を返せええええええ！！			遭遇！ 敵は盗賊団！？							
くそっ！　なんで……！！			くそっ！　なんで……！！			遭遇！ 敵は盗賊団！？							
(-？？？？-)ブリリアント・ダイナミクスウォールッ！！！！			(-？？？？-)ブリリアント・ダイナミクスウォールッ！！！！			遭遇！ 敵は盗賊団！？							
ぐああッ！！			ぐああッ！！			遭遇！ 敵は盗賊団！？							
(-尊大な態度の男-)フハハハハ！祭器の「護りの力」を得たこの僕たちを、傷つけられる者なんているものか！			(-尊大な態度の男-)フハハハハ！祭器の「護りの力」を得たこの僕たちを、傷つけられる者なんているものか！			遭遇！ 敵は盗賊団！？							
(-尊大な態度の男-)なんだ、貴様も仲間か？そういうことなら……			(-尊大な態度の男-)なんだ、貴様も仲間か？そういうことなら……			遭遇！ 敵は盗賊団！？							
(-尊大な態度の男-)ほらカクージャ、お前が行け！			(-尊大な態度の男-)ほらカクージャ、お前が行け！			遭遇！ 敵は盗賊団！？							
ど、どなたか存じあげませんが、戦うのは危険ですよ！奴らの言う「護りの力」は本物です……！			ど、どなたか存じあげませんが、戦うのは危険ですよ！奴らの言う「護りの力」は本物です……！			遭遇！ 敵は盗賊団！？							
武器が弾かれるうえに、よくわからないまま、強い力で吹き飛ばされて……！			武器が弾かれるうえに、よくわからないまま、強い力で吹き飛ばされて……！			遭遇！ 敵は盗賊団！？							
ウチらの祭器を盗んだのはあなたたちね！？商人さんの荷物も祭器も返しなさいよ、ドロボー！！			ウチらの祭器を盗んだのはあなたたちね！？商人さんの荷物も祭器も返しなさいよ、ドロボー！！			遭遇！ 敵は盗賊団！？							
(-尊大な態度の男-)おんやぁ～、まさかあのド田舎の森から、わざわざ僕のことを追いかけてきたっていうのかい？ご苦労なことだけど、返すだなんて無理な相談だ……。			(-尊大な態度の男-)おんやぁ～、まさかあのド田舎の森から、わざわざ僕のことを追いかけてきたっていうのかい？ご苦労なことだけど、返すだなんて無理な相談だ……。			遭遇！ 敵は盗賊団！？							
なぜなら、祭器が秘めたる「護りの力」は、この僕、シャルトフィットが、虐げられ、生きづらさに苦しむ弱者たちのために使うのだから！			なぜなら、祭器が秘めたる「護りの力」は、この僕、シャルトフィットが、虐げられ、生きづらさに苦しむ弱者たちのために使うのだから！			遭遇！ 敵は盗賊団！？							
宝の価値も知らない貴様らは、さっさと帰って、どんぐりでも拾って生活すればいいさ！ではな！			宝の価値も知らない貴様らは、さっさと帰って、どんぐりでも拾って生活すればいいさ！ではな！			遭遇！ 敵は盗賊団！？							
くうううううう～！！やっと盗まれた祭器を見つけたのに取り戻せなかったっ！			くうううううう～！！やっと盗まれた祭器を見つけたのに取り戻せなかったっ！			遭遇！ 敵は盗賊団！？							
でも、商人さんや護衛さんもケガしてるし、いまは安全な場所に送り届けるのが先決だよね……。「ラールガーズリーチ」がいいかな！			でも、商人さんや護衛さんもケガしてるし、いまは安全な場所に送り届けるのが先決だよね……。「ラールガーズリーチ」がいいかな！			遭遇！ 敵は盗賊団！？							
危ないところに来てくれたおねーさんおにーさんも、お礼がしたいから一緒に来てくれる？			危ないところに来てくれたおねーさんおにーさんも、お礼がしたいから一緒に来てくれる？			遭遇！ 敵は盗賊団！？							
積み荷は失ってしまったが、命あっての物種だからね。君たちが来てくれて助かったよ。			積み荷は失ってしまったが、命あっての物種だからね。君たちが来てくれて助かったよ。			遭遇！ 敵は盗賊団！？							
今回の件で、護衛としての力不足を痛感しました。依頼主を守れてこその護衛なのに。			今回の件で、護衛としての力不足を痛感しました。依頼主を守れてこその護衛なのに。			遭遇！ 敵は盗賊団！？							
よーし、ここならもう安心だね！解放軍の闘士さんもいっぱいだし！			よーし、ここならもう安心だね！解放軍の闘士さんもいっぱいだし！			遭遇！ 敵は盗賊団！？							
ねぇ、おねーさんおにーさんの名前を聞いていい？それにどうして、あの場所へ駆けつけられたの？			ねぇ、おねーさんおにーさんの名前を聞いていい？それにどうして、あの場所へ駆けつけられたの？			遭遇！ 敵は盗賊団！？							
おじいちゃんのお願いで来てくれたんだ、ありがとう！よろしく、Forenameちゃん！			おじいちゃんのお願いで来てくれたんだ、ありがとう！よろしく、Forenameちゃん！			遭遇！ 敵は盗賊団！？							
あのね、あなたたちを襲った盗賊が持ってたのは、ウチらの村の祭器なの。			あのね、あなたたちを襲った盗賊が持ってたのは、ウチらの村の祭器なの。			遭遇！ 敵は盗賊団！？							
「護りの力」は、外敵の攻撃を防ぐことはもちろん……盗っ人が「ブリなんちゃらウォール」とか勝手に言ってたけど、力を解除すれば、ブワァァァって衝撃波がでるんだ。			「護りの力」は、外敵の攻撃を防ぐことはもちろん……盗っ人が「ブリなんちゃらウォール」とか勝手に言ってたけど、力を解除すれば、ブワァァァって衝撃波がでるんだ。			遭遇！ 敵は盗賊団！？							
だから敵側に渡っちゃうと、近くから攻撃するのはすごく危なくて、厄介なの！			だから敵側に渡っちゃうと、近くから攻撃するのはすごく危なくて、厄介なの！			遭遇！ 敵は盗賊団！？							
「完全なる護りの力などない、いつかは綻びが生じる」から、頼りすぎちゃダメって、村の言い伝えもあるんだけどね。まぁ、それはおいといて……			「完全なる護りの力などない、いつかは綻びが生じる」から、頼りすぎちゃダメって、村の言い伝えもあるんだけどね。まぁ、それはおいといて……			遭遇！ 敵は盗賊団！？							
ウチの村が祭器を盗まれたせいで、ごめんね。商人さんも護衛さんも痛かったでしょー？			ウチの村が祭器を盗まれたせいで、ごめんね。商人さんも護衛さんも痛かったでしょー？			遭遇！ 敵は盗賊団！？							
いえいえ、謝る必要はありません。あなたたちのおかげで助かりましたし、悪いのは盗みを働くシャルトフィット盗賊団ですから。			いえいえ、謝る必要はありません。あなたたちのおかげで助かりましたし、悪いのは盗みを働くシャルトフィット盗賊団ですから。			遭遇！ 敵は盗賊団！？							
そうだよ、今回のことは私たちからも、解放軍の闘士たちに伝えておくからさ。早くとっ捕まえてもらおう！			そうだよ、今回のことは私たちからも、解放軍の闘士たちに伝えておくからさ。早くとっ捕まえてもらおう！			遭遇！ 敵は盗賊団！？							
あっ、ウチもついていっていい？やっぱり盗賊団がウチらの祭器を持ってたこと、闘士さんたちにも伝えておかないと！			あっ、ウチもついていっていい？やっぱり盗賊団がウチらの祭器を持ってたこと、闘士さんたちにも伝えておかないと！			遭遇！ 敵は盗賊団！？							
お礼にもならないが、その伝言は私たちが請け負うよ。君たちは祭器のことに専念して、早く取り戻せるよう頑張って！			お礼にもならないが、その伝言は私たちが請け負うよ。君たちは祭器のことに専念して、早く取り戻せるよう頑張って！			遭遇！ 敵は盗賊団！？							
Forenameちゃん！あなたは、引き続きウチを手伝ってくれるって思っていい？			Forenameちゃん！あなたは、引き続きウチを手伝ってくれるって思っていい？			遭遇！ 敵は盗賊団！？							
やったー！　ありがとー！じゃあ、盗賊団への手がかりを探す方法を考えてみるから、ちょっと待ってて！			やったー！　ありがとー！じゃあ、盗賊団への手がかりを探す方法を考えてみるから、ちょっと待ってて！			遭遇！ 敵は盗賊団！？							
それにしても、あのカクージャっておじさん……。マムージャ族の人が盗賊団にいるの、なんでか気になるなー。			それにしても、あのカクージャっておじさん……。マムージャ族の人が盗賊団にいるの、なんでか気になるなー。			遭遇！ 敵は盗賊団！？							
ラールガーズリーチのセートジャは、祭器奪還に燃えている。			ラールガーズリーチのセートジャは、祭器奪還に燃えている。			調査！ 盗賊団を探せ							
セートジャが呼んできたアラミゴ解放軍の闘士と話して、盗賊の情報を聞いた。さらなる情報を得るために、ギラバニア湖畔地帯の「ポルタ・プレトリアの将校」と話そう。			セートジャが呼んできたアラミゴ解放軍の闘士と話して、盗賊の情報を聞いた。さらなる情報を得るために、ギラバニア湖畔地帯の「ポルタ・プレトリアの将校」と話そう。			調査！ 盗賊団を探せ							
ポルタ・プレトリアの将校と話していたところに行商人が通りかかり、盗賊に襲われやすい場所を教えてくれることになった。ハイバンクの「オドオドしている商人」と話そう。			ポルタ・プレトリアの将校と話していたところに行商人が通りかかり、盗賊に襲われやすい場所を教えてくれることになった。ハイバンクの「オドオドしている商人」と話そう。			調査！ 盗賊団を探せ							
オドオドしている商人たちは盗賊に襲われやすい場所付近まで案内してくれた。「ハイバンク」の指定地点で見渡し、もしも盗賊が現れたら討伐しよう。			オドオドしている商人たちは盗賊に襲われやすい場所付近まで案内してくれた。「ハイバンク」の指定地点で見渡し、もしも盗賊が現れたら討伐しよう。			調査！ 盗賊団を探せ							
盗賊たちを倒した。ハイバンクの「オドオドしている商人」たちのもとへ戻って話そう。			盗賊たちを倒した。ハイバンクの「オドオドしている商人」たちのもとへ戻って話そう。			調査！ 盗賊団を探せ							
商人たちは案内が終わるとそそくさと去っていった。一度ポルタ・プレトリアへと戻り、改めて「セートジャ」と話そう。			商人たちは案内が終わるとそそくさと去っていった。一度ポルタ・プレトリアへと戻り、改めて「セートジャ」と話そう。			調査！ 盗賊団を探せ							
セートジャと話した。彼女は、倒した盗賊の今後が気になっているらしい。※いずれかの遠隔物理DPSジョブのレベルが94以上になると、ポルタ・プレトリアのセートジャから次の遠隔物理DPSロールクエストを受注することができます。			セートジャと話した。彼女は、倒した盗賊の今後が気になっているらしい。※いずれかの遠隔物理DPSジョブのレベルが94以上になると、ポルタ・プレトリアのセートジャから次の遠隔物理DPSロールクエストを受注することができます。			調査！ 盗賊団を探せ							
ポルタ・プレトリアの将校と話す			ポルタ・プレトリアの将校と話す			調査！ 盗賊団を探せ							
オドオドしている商人と話す			オドオドしている商人と話す			調査！ 盗賊団を探せ							
指定地点で見渡し、敵に襲われたら討伐			指定地点で見渡し、敵に襲われたら討伐			調査！ 盗賊団を探せ							
オドオドしている商人と話す			オドオドしている商人と話す			調査！ 盗賊団を探せ							
ポルタ・プレトリアのセートジャと話す			ポルタ・プレトリアのセートジャと話す			調査！ 盗賊団を探せ							
あのね、Forenameちゃん！祭器を盗んだ盗賊団についてだけど……実は気になる話を小耳に挟んだの！			あのね、Forenameちゃん！祭器を盗んだ盗賊団についてだけど……実は気になる話を小耳に挟んだの！			調査！ 盗賊団を探せ							
それを教えてくれた闘士さんに声かけてくるから、ちょっと待っててー！			それを教えてくれた闘士さんに声かけてくるから、ちょっと待っててー！			調査！ 盗賊団を探せ							
Forenameちゃん、ただいまー！			Forenameちゃん、ただいまー！			調査！ 盗賊団を探せ							
おや、セートジャさんの協力者というのは、アラミゴの解放者殿だったんですね！			おや、セートジャさんの協力者というのは、アラミゴの解放者殿だったんですね！			調査！ 盗賊団を探せ							
そうなの！？Forenameちゃんてば、有名人なんだ！			そうなの！？Forenameちゃんてば、有名人なんだ！			調査！ 盗賊団を探せ							
それでね、盗賊団についての話を聞かせてもらいたくって。			それでね、盗賊団についての話を聞かせてもらいたくって。			調査！ 盗賊団を探せ							
ではおふたりに、アラミゴを最近騒がせている、盗賊団についてお話ししましょう。			ではおふたりに、アラミゴを最近騒がせている、盗賊団についてお話ししましょう。			調査！ 盗賊団を探せ							
ここのところ「自由の扉」と名乗る組織が、各国で騒ぎを起こしているとの情報がありましてね。盗賊団の頭目シャルトフィットはその一味なんだとか。			ここのところ「自由の扉」と名乗る組織が、各国で騒ぎを起こしているとの情報がありましてね。盗賊団の頭目シャルトフィットはその一味なんだとか。			調査！ 盗賊団を探せ							
奴らは、グリダニア方面からのキャラバンを中心に襲っていて、警戒を強めてはいるものの、とにかく逃げ足が速いのです。襲撃の一報を受けて駆けつけても、姿はなし。			奴らは、グリダニア方面からのキャラバンを中心に襲っていて、警戒を強めてはいるものの、とにかく逃げ足が速いのです。襲撃の一報を受けて駆けつけても、姿はなし。			調査！ 盗賊団を探せ							
運良く発見できても、不可思議な力で矢を弾かれたとか、衝撃波を放たれ返り討ちにされたりで、捕縛に至っておりません。			運良く発見できても、不可思議な力で矢を弾かれたとか、衝撃波を放たれ返り討ちにされたりで、捕縛に至っておりません。			調査！ 盗賊団を探せ							
それ、ウチんとこから盗まれた祭器の力なの。悪い人たちの手に渡っちゃって……ほんとにごめん！			それ、ウチんとこから盗まれた祭器の力なの。悪い人たちの手に渡っちゃって……ほんとにごめん！			調査！ 盗賊団を探せ							
それで、シャルトフィットって頭目は、虐げられた人のために祭器を使うとか言ってたんだけど……目的については、何か知ってたりする？			それで、シャルトフィットって頭目は、虐げられた人のために祭器を使うとか言ってたんだけど……目的については、何か知ってたりする？			調査！ 盗賊団を探せ							
ふむ、連中はキャラバンの商人が、下働きの労働者から、不当に金を巻き上げてると主張していて、それが襲撃の理由だそうです。			ふむ、連中はキャラバンの商人が、下働きの労働者から、不当に金を巻き上げてると主張していて、それが襲撃の理由だそうです。			調査！ 盗賊団を探せ							
ですが、とんでもない。キャラバンが不正を行っている事実はありません。			ですが、とんでもない。キャラバンが不正を行っている事実はありません。			調査！ 盗賊団を探せ							
強盗行為を正当化するための方便なのか、あるいはキャラバンに何らかの恨みを抱いているのか……。それについては、まだ調査中です。			強盗行為を正当化するための方便なのか、あるいはキャラバンに何らかの恨みを抱いているのか……。それについては、まだ調査中です。			調査！ 盗賊団を探せ							
そういえば、アラミゴ王宮への道筋である、湖畔地帯のポルタ・プレトリアでも強盗被害があったとか。			そういえば、アラミゴ王宮への道筋である、湖畔地帯のポルタ・プレトリアでも強盗被害があったとか。			調査！ 盗賊団を探せ							
あちらは往来も盛んですし、なにか新しい情報が聞けるかもしれませんね。			あちらは往来も盛んですし、なにか新しい情報が聞けるかもしれませんね。			調査！ 盗賊団を探せ							
ポルタ・プレトリアの将校にも話を通しておくので、声をかけてみてください。			ポルタ・プレトリアの将校にも話を通しておくので、声をかけてみてください。			調査！ 盗賊団を探せ							
わかった、行ってみるー！おにーさんもお仕事の合間にありがとねー！			わかった、行ってみるー！おにーさんもお仕事の合間にありがとねー！			調査！ 盗賊団を探せ							
じゃあ現地で落ち合って将校さんに会おっか！ウチ、このあたりの地理は闘士さんに教わったから、心配いらないよー！			じゃあ現地で落ち合って将校さんに会おっか！ウチ、このあたりの地理は闘士さんに教わったから、心配いらないよー！			調査！ 盗賊団を探せ							
この人でいいのかなー？			この人でいいのかなー？			調査！ 盗賊団を探せ							
あなたたちが、独自に盗賊団を追ってくれてる人だね？話は聞いてるよ。			あなたたちが、独自に盗賊団を追ってくれてる人だね？話は聞いてるよ。			調査！ 盗賊団を探せ							
確かに、このあたりでも、シャルトフィット盗賊団と思しき連中が目撃されている。つい最近も、巡回中の兵が襲われて……。			確かに、このあたりでも、シャルトフィット盗賊団と思しき連中が目撃されている。つい最近も、巡回中の兵が襲われて……。			調査！ 盗賊団を探せ							
報告によれば、兵の姿を見つけた盗賊たちは、不可解にも逃げることなく、挑発してきたというのだ。			報告によれば、兵の姿を見つけた盗賊たちは、不可解にも逃げることなく、挑発してきたというのだ。			調査！ 盗賊団を探せ							
あいつらは、ウチの村から盗んだ特別な祭器を持っててね。そこに秘められた力を使って、身を守ってるの。			あいつらは、ウチの村から盗んだ特別な祭器を持っててね。そこに秘められた力を使って、身を守ってるの。			調査！ 盗賊団を探せ							
そして、護りの力は、意図的に解き放つことで衝撃波を発生させることもできる……。それで闘士さんを倒すために、あえて挑発したのかも。			そして、護りの力は、意図的に解き放つことで衝撃波を発生させることもできる……。それで闘士さんを倒すために、あえて挑発したのかも。			調査！ 盗賊団を探せ							
なるほど……報告の状況と一致するな。情報に感謝するよ、お嬢さん。			なるほど……報告の状況と一致するな。情報に感謝するよ、お嬢さん。			調査！ 盗賊団を探せ							
(-？？？？-)あのー……もし？			(-？？？？-)あのー……もし？			調査！ 盗賊団を探せ							
君たちは？			君たちは？			調査！ 盗賊団を探せ							
(-揚々とした行商人-)僕は、キャラバンを率いる行商人です！生まれはグリダニアですが、ウルダハで商売を学び、いまはエオルゼアを巡る行商を生業にしておりましてねぇ！			(-揚々とした行商人-)僕は、キャラバンを率いる行商人です！生まれはグリダニアですが、ウルダハで商売を学び、いまはエオルゼアを巡る行商を生業にしておりましてねぇ！			調査！ 盗賊団を探せ							
(-揚々とした行商人-)その盗賊団の噂は僕たちも聞いてるもんで、つい。まったく恐ろしいったらありゃしませんよねぇ！			(-揚々とした行商人-)その盗賊団の噂は僕たちも聞いてるもんで、つい。まったく恐ろしいったらありゃしませんよねぇ！			調査！ 盗賊団を探せ							
(-揚々とした行商人-)それでね、僕たち行商人の間じゃ、街道上の危険な場所の情報を共有しあってるんですよ。盗賊団が、よく現れるって噂の場所に案内しましょうか？			(-揚々とした行商人-)それでね、僕たち行商人の間じゃ、街道上の危険な場所の情報を共有しあってるんですよ。盗賊団が、よく現れるって噂の場所に案内しましょうか？			調査！ 盗賊団を探せ							
えー！　ご親切にどうもありがとー！渡りに船ってやつだ、ぜひ連れていって！			えー！　ご親切にどうもありがとー！渡りに船ってやつだ、ぜひ連れていって！			調査！ 盗賊団を探せ							
待つんだ、お嬢さん。解放者殿ならまだしも、そんな危険な場所へ一般人が向かうのは、近辺の警備を行う身からは看過できないよ。			待つんだ、お嬢さん。解放者殿ならまだしも、そんな危険な場所へ一般人が向かうのは、近辺の警備を行う身からは看過できないよ。			調査！ 盗賊団を探せ							
じゃあ、Forenameちゃん、悪いんだけど、あなたに行ってきてもらっていい？確かにウチ、戦う技術はからっきしなの……！			じゃあ、Forenameちゃん、悪いんだけど、あなたに行ってきてもらっていい？確かにウチ、戦う技術はからっきしなの……！			調査！ 盗賊団を探せ							
代わりに、この人たちからもっとお話を聞いておくから！ね、お願い！			代わりに、この人たちからもっとお話を聞いておくから！ね、お願い！			調査！ 盗賊団を探せ							
(-揚々とした行商人-)では君たち、こちらの冒険者さんを案内したまえ。			(-揚々とした行商人-)では君たち、こちらの冒険者さんを案内したまえ。			調査！ 盗賊団を探せ							
わ、わかりました……！			わ、わかりました……！			調査！ 盗賊団を探せ							
