弓術士ギルドのルシアヌは、新しい技を学ぶ方法を教えようとしているようだ。			弓術士ギルドのルシアヌは、新しい技を学ぶ方法を教えようとしているようだ。			響きあうふたつの音色							
ジェアンテルにプクノ・ポキのお守りを渡す			ジェアンテルにプクノ・ポキのお守りを渡す			響きあうふたつの音色							
Forename。黒衣森に、イクサル軍の気球がまた現れたの。			Forename。黒衣森に、イクサル軍の気球がまた現れたの。			響きあうふたつの音色							
イクサル族を見ると……神勇隊が大敗北を喫した「中央高地の惨劇」を思い出すわ。……ちょうど、この季節の出来事だったしね……。			イクサル族を見ると……神勇隊が大敗北を喫した「中央高地の惨劇」を思い出すわ。……ちょうど、この季節の出来事だったしね……。			響きあうふたつの音色							
今はガレマール帝国への対応もあるし、より戦力を強化しないことには、敗北が繰り返されてしまうかもしれない。			今はガレマール帝国への対応もあるし、より戦力を強化しないことには、敗北が繰り返されてしまうかもしれない。			響きあうふたつの音色							
でもね、世の中そう悪い話ばかりじゃないのよ。躍り上がるほど、いい話でもないけれど……。			でもね、世の中そう悪い話ばかりじゃないのよ。躍り上がるほど、いい話でもないけれど……。			響きあうふたつの音色							
かつて神勇隊の強弓と称えられた、伝説の「吟遊詩人」が、この黒衣森へ帰還しているそうなの。			かつて神勇隊の強弓と称えられた、伝説の「吟遊詩人」が、この黒衣森へ帰還しているそうなの。			響きあうふたつの音色							
彼の名は「ジェアンテル」。仲間を鼓舞する「戦歌」を歌う、数少ない「吟遊詩人」で、その弓の腕前は、神業の域だと称えられているわ。			彼の名は「ジェアンテル」。仲間を鼓舞する「戦歌」を歌う、数少ない「吟遊詩人」で、その弓の腕前は、神業の域だと称えられているわ。			響きあうふたつの音色							
ところが、数多の戦で戦功を挙げた「強弓のジェアンテル」は数十年前に神勇隊を去り、戦場から姿を消したの……。			ところが、数多の戦で戦功を挙げた「強弓のジェアンテル」は数十年前に神勇隊を去り、戦場から姿を消したの……。			響きあうふたつの音色							
以来、ジェアンテルは弓を捨て、俗に言う歌い手としての「吟遊詩人」に身をやつして、各地を放浪していたようね。			以来、ジェアンテルは弓を捨て、俗に言う歌い手としての「吟遊詩人」に身をやつして、各地を放浪していたようね。			響きあうふたつの音色							
もちろん、彼に弓術の教えを請いたいと、多くの弓術士が彼を訪ねているようだけど……「詩歌なら教える」と断られてしまうそうよ。			もちろん、彼に弓術の教えを請いたいと、多くの弓術士が彼を訪ねているようだけど……「詩歌なら教える」と断られてしまうそうよ。			響きあうふたつの音色							
みんな、極めたいのは弓術であって、歌じゃないのにね。伝説の「吟遊詩人」には、取りつく島もないらしいわ。			みんな、極めたいのは弓術であって、歌じゃないのにね。伝説の「吟遊詩人」には、取りつく島もないらしいわ。			響きあうふたつの音色							
ね、躍り上がるほど、いい話でもないでしょ？……あら、あなたも伝説の「吟遊詩人」に会ってみたいの？だったら彼の滞在先を教えてあげるわ。			ね、躍り上がるほど、いい話でもないでしょ？……あら、あなたも伝説の「吟遊詩人」に会ってみたいの？だったら彼の滞在先を教えてあげるわ。			響きあうふたつの音色							
強弓と称えられた伝説の「吟遊詩人」は、南部森林にある「クォーリーミル」の西あたりに滞在中よ。普段は気さくな人らしいから、たぶん会えはするでしょう。			強弓と称えられた伝説の「吟遊詩人」は、南部森林にある「クォーリーミル」の西あたりに滞在中よ。普段は気さくな人らしいから、たぶん会えはするでしょう。			響きあうふたつの音色							
あわよくば、彼が弓を捨てた理由を探って……彼の気が変わるよう促してくれるといいんだけど。グリダニアのためにも、弓術の発展のためにもね。			あわよくば、彼が弓を捨てた理由を探って……彼の気が変わるよう促してくれるといいんだけど。グリダニアのためにも、弓術の発展のためにもね。			響きあうふたつの音色							
でも、さすがのあなたでも難しいわよね……。ともかく行ってらっしゃい、健闘を祈ってるわ。			でも、さすがのあなたでも難しいわよね……。ともかく行ってらっしゃい、健闘を祈ってるわ。			響きあうふたつの音色							
おやおや、またお客さんか。……いかにも、わしがジェアンテルだ。			おやおや、またお客さんか。……いかにも、わしがジェアンテルだ。			響きあうふたつの音色							
久方ぶりに森へ戻ってみれば、お主のような若人が大勢、こんな老いぼれを訪ねてくれて……ありがたいのう。ささ、ともに詩歌を吟じ、木々の緑を愛でるとしよう。			久方ぶりに森へ戻ってみれば、お主のような若人が大勢、こんな老いぼれを訪ねてくれて……ありがたいのう。ささ、ともに詩歌を吟じ、木々の緑を愛でるとしよう。			響きあうふたつの音色							
おや、ずいぶん素晴らしい弓を持っているようだが……お主もまた、「強弓」ジェアンテルに用があるのかね？			おや、ずいぶん素晴らしい弓を持っているようだが……お主もまた、「強弓」ジェアンテルに用があるのかね？			響きあうふたつの音色							
ならばすまぬが、どうかお引き取り願いたい。わしはとうの昔に弓を捨て、今は気ままな放浪の身。山紫水明を愛で、詩歌を吟ずる、老いた「吟遊詩人」だ。			ならばすまぬが、どうかお引き取り願いたい。わしはとうの昔に弓を捨て、今は気ままな放浪の身。山紫水明を愛で、詩歌を吟ずる、老いた「吟遊詩人」だ。			響きあうふたつの音色							
それに……見たところ、お主はすでに相当な腕前では？そのまま鍛えれば、申し分ない弓の使い手となろう。			それに……見たところ、お主はすでに相当な腕前では？そのまま鍛えれば、申し分ない弓の使い手となろう。			響きあうふたつの音色							
とはいえ、弓の鍛錬だけでは、真の強さは得られぬが……。そう、どこぞの詩歌に歌われる「罪深き愚者」のようにな。			とはいえ、弓の鍛錬だけでは、真の強さは得られぬが……。そう、どこぞの詩歌に歌われる「罪深き愚者」のようにな。			響きあうふたつの音色							
……ほぅ、お主は、わしに詩歌を学びにきたのか？			……ほぅ、お主は、わしに詩歌を学びにきたのか？			響きあうふたつの音色							
この乱世に詩歌を学ぶ余裕があるとは、見上げた心がけ。詩歌と弓術には、実は密接なつながりがあるのだよ。			この乱世に詩歌を学ぶ余裕があるとは、見上げた心がけ。詩歌と弓術には、実は密接なつながりがあるのだよ。			響きあうふたつの音色							
さて……お主が吟ずる詩歌は、いかなる響きになるのやら。			さて……お主が吟ずる詩歌は、いかなる響きになるのやら。			響きあうふたつの音色							
森に住むあやつも、きっと同じ思いを抱くはず。……さあ、さっそく準備を始めるとしよう。			森に住むあやつも、きっと同じ思いを抱くはず。……さあ、さっそく準備を始めるとしよう。			響きあうふたつの音色							
ここから東方にいる「プクノ・ポキ」というモーグリ族を訪ねよ。			ここから東方にいる「プクノ・ポキ」というモーグリ族を訪ねよ。			響きあうふたつの音色							
お主があやつのお眼鏡にかなうのなら、吟遊詩人として、少し手ほどきをしてやろうぞ。			お主があやつのお眼鏡にかなうのなら、吟遊詩人として、少し手ほどきをしてやろうぞ。			響きあうふたつの音色							
♪時神アルジクよ　砂時計をくつがえし……♪♪かつて見た戦いを　我と　この者に語りたまえ……♪			♪時神アルジクよ　砂時計をくつがえし……♪♪かつて見た戦いを　我と　この者に語りたまえ……♪			響きあうふたつの音色							
クポー！クポ、クポ、クポ、クポ、クポー！！たいへんクポ！　プクノ・ポキ、一生の不覚クポ！			クポー！クポ、クポ、クポ、クポ、クポー！！たいへんクポ！　プクノ・ポキ、一生の不覚クポ！			響きあうふたつの音色							
……クポッ！？きみ、プクノ・ポキの言ってること、わかるクポ！？			……クポッ！？きみ、プクノ・ポキの言ってること、わかるクポ！？			響きあうふたつの音色							
なんか用なのクポ！？プクノ・ポキ、今、いそがしいクポ！			なんか用なのクポ！？プクノ・ポキ、今、いそがしいクポ！			響きあうふたつの音色							
クポクポ！？きみ、ジェアンテルに言われて、ここに来たクポ？きみ、ジェアンテルの知り合いクポね？			クポクポ！？きみ、ジェアンテルに言われて、ここに来たクポ？きみ、ジェアンテルの知り合いクポね？			響きあうふたつの音色							
ジェアンテルの歌は、すごいのクポ～。聞いてると～心がホクホクほんわかして～力が湧いてくるクポ～！			ジェアンテルの歌は、すごいのクポ～。聞いてると～心がホクホクほんわかして～力が湧いてくるクポ～！			響きあうふたつの音色							
プクノ・ポキには、おひさまの光みたいに～キラキラに見えるクポ～！			プクノ・ポキには、おひさまの光みたいに～キラキラに見えるクポ～！			響きあうふたつの音色							
でも、ジェアンテル……せっかく森へ帰ってきても、歌ってくれないクポ……。そんなの、そんなの、約束が違うのクポ……。			でも、ジェアンテル……せっかく森へ帰ってきても、歌ってくれないクポ……。そんなの、そんなの、約束が違うのクポ……。			響きあうふたつの音色							
そうクポ！？　きみが歌えばいいクポ！だって、きみのまわりには……ジェアンテルの歌と、そっくりな響きが踊ってるクポ！			そうクポ！？　きみが歌えばいいクポ！だって、きみのまわりには……ジェアンテルの歌と、そっくりな響きが踊ってるクポ！			響きあうふたつの音色							
ジェアンテルと同じ響きをまとうきみなら、だいじょうぶクポ！そのためには……クポ！？			ジェアンテルと同じ響きをまとうきみなら、だいじょうぶクポ！そのためには……クポ！？			響きあうふたつの音色							
思い出したクポ！プクノ・ポキ、今、大ピンチだったクポ！			思い出したクポ！プクノ・ポキ、今、大ピンチだったクポ！			響きあうふたつの音色							
きみ、ちょっと手伝ってクポ！大事なお守りが、盗賊に奪われちゃったクポ！ジェアンテルから詩を教わるための、しれんクポ！			きみ、ちょっと手伝ってクポ！大事なお守りが、盗賊に奪われちゃったクポ！ジェアンテルから詩を教わるための、しれんクポ！			響きあうふたつの音色							
盗賊が逃げ込んだ「朽葉の吹溜まり」で、「プクノ・ポキのお守り」を取り返してクポ！			盗賊が逃げ込んだ「朽葉の吹溜まり」で、「プクノ・ポキのお守り」を取り返してクポ！			響きあうふたつの音色							
盗賊が逃げ込んだ「朽葉の吹溜まり」で、「プクノ・ポキのお守り」を取り返してクポ！			盗賊が逃げ込んだ「朽葉の吹溜まり」で、「プクノ・ポキのお守り」を取り返してクポ！			響きあうふたつの音色							
もう、「プクノ・ポキのお守り」を見つけたクポ！？			もう、「プクノ・ポキのお守り」を見つけたクポ！？			響きあうふたつの音色							
すごいのクポ！？このお守りをジェアンテルに見せるのクポ！「ずるいけど、楽しみクポ」って言いながらクポ～！！			すごいのクポ！？このお守りをジェアンテルに見せるのクポ！「ずるいけど、楽しみクポ」って言いながらクポ～！！			響きあうふたつの音色							
おお、お帰り。見事、「プクノ・ポキのお守り」を受け取れたようだな？どれ見せてくれ……ん、プクノ・ポキの言伝もあるだと？			おお、お帰り。見事、「プクノ・ポキのお守り」を受け取れたようだな？どれ見せてくれ……ん、プクノ・ポキの言伝もあるだと？			響きあうふたつの音色							
わははは！　なるほど「ずるいけど、楽しみクポ」とな！これは一本取られたのう。			わははは！　なるほど「ずるいけど、楽しみクポ」とな！これは一本取られたのう。			響きあうふたつの音色							
いやすまぬ、昔交わした、あやつとの約束があってな。わしが「吟遊詩人」となってからずっと、あのモーグリ族には、世話になってきたのだ。			いやすまぬ、昔交わした、あやつとの約束があってな。わしが「吟遊詩人」となってからずっと、あのモーグリ族には、世話になってきたのだ。			響きあうふたつの音色							
あやつに会うたび、森にとどまって詩歌を吟ずるようにと頼まれていたのだが……わしには、行かねばならぬ戦場が待っていたからな。			あやつに会うたび、森にとどまって詩歌を吟ずるようにと頼まれていたのだが……わしには、行かねばならぬ戦場が待っていたからな。			響きあうふたつの音色							
大切な仲間を守らねばならぬ、戦場だよ。……そして、わしには、この黒衣森へ戻れぬ事情ができた。			大切な仲間を守らねばならぬ、戦場だよ。……そして、わしには、この黒衣森へ戻れぬ事情ができた。			響きあうふたつの音色							
だから、お主が「吟遊詩人」となれば、あやつに歌ってやれる者が増えると思ったのだよ。			だから、お主が「吟遊詩人」となれば、あやつに歌ってやれる者が増えると思ったのだよ。			響きあうふたつの音色							
あやつには、その考えが見抜かれていたようだの。やはり、モーグリ族は聡い生き物よのう。			あやつには、その考えが見抜かれていたようだの。やはり、モーグリ族は聡い生き物よのう。			響きあうふたつの音色							
モーグリ族は、音楽をこよなく愛す種族でな。お主がお守りを持ち帰れたということは、モーグリ族が、お主の弓と詩歌の素質を認めたということ。			モーグリ族は、音楽をこよなく愛す種族でな。お主がお守りを持ち帰れたということは、モーグリ族が、お主の弓と詩歌の素質を認めたということ。			響きあうふたつの音色							
つまり、プクノ・ポキは、お主に「吟遊詩人」となってもらいたがっているのだ。だから、そのお守りはお主の物だ。大切にしなさい。			つまり、プクノ・ポキは、お主に「吟遊詩人」となってもらいたがっているのだ。だから、そのお守りはお主の物だ。大切にしなさい。			響きあうふたつの音色							
これは、「吟遊詩人の証」というクリスタルでな。「吟遊詩人の証」には、古の「吟遊詩人」の記憶や旋律が、その想いとともに刻み込まれている。			これは、「吟遊詩人の証」というクリスタルでな。「吟遊詩人の証」には、古の「吟遊詩人」の記憶や旋律が、その想いとともに刻み込まれている。			響きあうふたつの音色							
それを携え、さまざまな経験を積めば、クリスタルから古の旋律が心に響くだろう。			それを携え、さまざまな経験を積めば、クリスタルから古の旋律が心に響くだろう。			響きあうふたつの音色							
その旋律に乗せて歌うことで、お主の歌声に力が宿るのだ。			その旋律に乗せて歌うことで、お主の歌声に力が宿るのだ。			響きあうふたつの音色							
しかし、歌いこなすには弓術の経験が必要だ。吟遊詩人と弓術士の力は、表裏一体なのだから……。それについては、この先、語って聞かせるとしよう。			しかし、歌いこなすには弓術の経験が必要だ。吟遊詩人と弓術士の力は、表裏一体なのだから……。それについては、この先、語って聞かせるとしよう。			響きあうふたつの音色							
さあ、多くの経験を積み、古の旋律を再現すべく、お主の冒険を続けるのだ。			さあ、多くの経験を積み、古の旋律を再現すべく、お主の冒険を続けるのだ。			響きあうふたつの音色							
プクノ・ポキの想像を超える「吟遊詩人」になるのだぞ。己の成長を実感したとき、再びわしのもとへ戻ってくるがよい。			プクノ・ポキの想像を超える「吟遊詩人」になるのだぞ。己の成長を実感したとき、再びわしのもとへ戻ってくるがよい。			響きあうふたつの音色							
「吟遊詩人」のジョブクエストが開始されました。次のクエストは「吟遊詩人レベル35」以上で受注可能になります。			「吟遊詩人」のジョブクエストが開始されました。次のクエストは「吟遊詩人レベル35」以上で受注可能になります。			響きあうふたつの音色							
また、グリダニアの「ミィ・ケット野外音楽堂」付近にいる、「シンプキン」から、新たなアクション「楽器演奏」を、修得するためのクエストが受注可能になりました。			また、グリダニアの「ミィ・ケット野外音楽堂」付近にいる、「シンプキン」から、新たなアクション「楽器演奏」を、修得するためのクエストが受注可能になりました。			響きあうふたつの音色							
新しいジョブを修得しました！受け取ったソウルクリスタルを装備することで、ジョブチェンジができます。			新しいジョブを修得しました！受け取ったソウルクリスタルを装備することで、ジョブチェンジができます。			響きあうふたつの音色							
ジョブチェンジしたあとには、「ギアセット」を登録してみましょう！現在の装備が記録され、即座に着替えられるようになります。			ジョブチェンジしたあとには、「ギアセット」を登録してみましょう！現在の装備が記録され、即座に着替えられるようになります。			響きあうふたつの音色							
「ギアセット」の登録は、装備変更と同じ「マイキャラクター」の画面から行えます。			「ギアセット」の登録は、装備変更と同じ「マイキャラクター」の画面から行えます。			響きあうふたつの音色							
ジェアンテルは、新たな「戦歌」を身に付ける方法を教えようとしているようだ。			ジェアンテルは、新たな「戦歌」を身に付ける方法を教えようとしているようだ。			弓兵の戦歌							
ジェアンテルは、新たな「戦歌」を身に付ける方法を教えてくれた。東ラノシアにあるレインキャッチャー樹林の「指定地点」で待機し、現れた霊を討伐しよう。			ジェアンテルは、新たな「戦歌」を身に付ける方法を教えてくれた。東ラノシアにあるレインキャッチャー樹林の「指定地点」で待機し、現れた霊を討伐しよう。			弓兵の戦歌							
霊を討伐した。南部森林のクォーリーミルの西にいる「ジェアンテル」に報告しよう。			霊を討伐した。南部森林のクォーリーミルの西にいる「ジェアンテル」に報告しよう。			弓兵の戦歌							
ジェアンテルに報告した。ジェアンテルに指示された試練を達成し、新たな旋律を身に付けることができた。この旋律を使いこなせるよう、鍛錬に励もう。※吟遊詩人のレベルが40以上になるとジェアンテルから次の吟遊詩人クエストを受注することができます。			ジェアンテルに報告した。ジェアンテルに指示された試練を達成し、新たな旋律を身に付けることができた。この旋律を使いこなせるよう、鍛錬に励もう。※吟遊詩人のレベルが40以上になるとジェアンテルから次の吟遊詩人クエストを受注することができます。			弓兵の戦歌							
レインキャッチャー樹林の指定地点で待機し霊を討伐			レインキャッチャー樹林の指定地点で待機し霊を討伐			弓兵の戦歌							
クォーリーミルの西にいるジェアンテルに報告			クォーリーミルの西にいるジェアンテルに報告			弓兵の戦歌							
おお、その眼光……ずいぶんと腕を上げたようだね。遠い昔……わしもお主のような目をしていた時代があったものさ。			おお、その眼光……ずいぶんと腕を上げたようだね。遠い昔……わしもお主のような目をしていた時代があったものさ。			弓兵の戦歌							
それが、なぜ戦場と弓を捨て、詩歌のみに生きるようになったのか……気になるかね？			それが、なぜ戦場と弓を捨て、詩歌のみに生きるようになったのか……気になるかね？			弓兵の戦歌							
万物は転変す。長いこと生きていれば、いろいろあるものさ。変わらない方が不自然というもの……。			万物は転変す。長いこと生きていれば、いろいろあるものさ。変わらない方が不自然というもの……。			弓兵の戦歌							
わしはね、詩歌の力に魅せられたのだよ。			わしはね、詩歌の力に魅せられたのだよ。			弓兵の戦歌							
詩歌の力は、今や忘れ去られてしまった……。しかし、古の戦乱時代においては、「弓兵の詩歌が勝敗を分かつ」と言われていたのさ。			詩歌の力は、今や忘れ去られてしまった……。しかし、古の戦乱時代においては、「弓兵の詩歌が勝敗を分かつ」と言われていたのさ。			弓兵の戦歌							
……そう、吟遊詩人が奏でる「戦歌」は、もとは弓兵が奏でた詩歌なのだ。			……そう、吟遊詩人が奏でる「戦歌」は、もとは弓兵が奏でた詩歌なのだ。			弓兵の戦歌							
弓兵は、遠方の敵を射るのが務め。それ故に、敵味方入り乱れての混戦ともなれば、戦陣の後方に下がり、攻撃の隙を窺わねばならぬ。			弓兵は、遠方の敵を射るのが務め。それ故に、敵味方入り乱れての混戦ともなれば、戦陣の後方に下がり、攻撃の隙を窺わねばならぬ。			弓兵の戦歌							
それは……仲間が傷つき、倒れる様から、目を逸らせぬということ。			それは……仲間が傷つき、倒れる様から、目を逸らせぬということ。			弓兵の戦歌							
これが、いかに苦しく、辛く、もどかしいか……弓術士のお主なら、容易に想像できるだろう？			これが、いかに苦しく、辛く、もどかしいか……弓術士のお主なら、容易に想像できるだろう？			弓兵の戦歌							
当然、弓兵の胸中に、仲間への激励の念が湧きあがる。この抑えきれぬ激情に突き動かされ、いつしか弓兵は戦場で歌いだした。			当然、弓兵の胸中に、仲間への激励の念が湧きあがる。この抑えきれぬ激情に突き動かされ、いつしか弓兵は戦場で歌いだした。			弓兵の戦歌							
誤射を避けんと握りしめた弓の弦をかき鳴らし、この想い仲間へ届け、とね。……そう、これが吟遊詩人の始まりだ。			誤射を避けんと握りしめた弓の弦をかき鳴らし、この想い仲間へ届け、とね。……そう、これが吟遊詩人の始まりだ。			弓兵の戦歌							
彼らが歌う「戦歌」は、戦場に立つ兵の士気を高め、「死者には慰めを、勝者には祝福をもたらす」と、もてはやされた。			彼らが歌う「戦歌」は、戦場に立つ兵の士気を高め、「死者には慰めを、勝者には祝福をもたらす」と、もてはやされた。			弓兵の戦歌							
しかし一方で、弓兵は貴重な戦力だ。そこで、弓兵を攻撃に専念させつつ、戦歌の効果も得んと、「軍楽隊」が組織されたこともある。			しかし一方で、弓兵は貴重な戦力だ。そこで、弓兵を攻撃に専念させつつ、戦歌の効果も得んと、「軍楽隊」が組織されたこともある。			弓兵の戦歌							
だが、その演奏は、兵の心に響かなかったという……。			だが、その演奏は、兵の心に響かなかったという……。			弓兵の戦歌							
なぜなら、楽隊員は演奏に専念し、戦うことがない。仲間とともに命を削り、敵へ立ち向かう弓兵とは、込める想いが違うのだ。			なぜなら、楽隊員は演奏に専念し、戦うことがない。仲間とともに命を削り、敵へ立ち向かう弓兵とは、込める想いが違うのだ。			弓兵の戦歌							
さて……昔話はこれくらいにして、本題に入ろう。この切実な想いを身の内で感じることなしに、「吟遊詩人の証」より、古の旋律を聴くことはできぬ。			さて……昔話はこれくらいにして、本題に入ろう。この切実な想いを身の内で感じることなしに、「吟遊詩人の証」より、古の旋律を聴くことはできぬ。			弓兵の戦歌							
東ラノシアの「レインキャッチャー樹林」には霊が彷徨うという。この出現を待ち、討伐することで、霊を鎮めてみよ。			東ラノシアの「レインキャッチャー樹林」には霊が彷徨うという。この出現を待ち、討伐することで、霊を鎮めてみよ。			弓兵の戦歌							
霊との戦いを通して、霊が抱える無念を味わえば、「吟遊詩人の証」より古の旋律を聴くことができるだろう。			霊との戦いを通して、霊が抱える無念を味わえば、「吟遊詩人の証」より古の旋律を聴くことができるだろう。			弓兵の戦歌							
お帰り、「吟遊詩人の証」の輝きが増したね。「吟遊詩人の証」より聞こえし古の旋律は、お主の心に響きわたっているはず。			お帰り、「吟遊詩人の証」の輝きが増したね。「吟遊詩人の証」より聞こえし古の旋律は、お主の心に響きわたっているはず。			弓兵の戦歌							
それを、実戦の中で奏で、さらなる多くの想いに心震わせるのだ。気が向いたら、この老いぼれに土産話を聞かせてくれ。			それを、実戦の中で奏で、さらなる多くの想いに心震わせるのだ。気が向いたら、この老いぼれに土産話を聞かせてくれ。			弓兵の戦歌							
敵の気配を感じた！！			敵の気配を感じた！！			弓兵の戦歌							
ジェアンテルは、新たな「戦歌」を身に付ける方法を教えようとしているようだ。			ジェアンテルは、新たな「戦歌」を身に付ける方法を教えようとしているようだ。			時神の境地							
ジェアンテルは、新たな「戦歌」を身に付ける方法を教えてくれた。東ザナラーンにあるウェルウィック新林の「指定地点」で待機し、現れた魔牛を討伐しよう。			ジェアンテルは、新たな「戦歌」を身に付ける方法を教えてくれた。東ザナラーンにあるウェルウィック新林の「指定地点」で待機し、現れた魔牛を討伐しよう。			時神の境地							
魔牛を討伐した。南部森林のクォーリーミルの西にいる「ジェアンテル」に報告しよう。			魔牛を討伐した。南部森林のクォーリーミルの西にいる「ジェアンテル」に報告しよう。			時神の境地							
ジェアンテルに報告した。ジェアンテルは、冒険者の成長を認め、次回、「罪深き愚者」を歌うことを約束してくれた。どんな詩歌からも教訓が読み取れるよう、鍛錬を積んでおこう。※吟遊詩人のレベルが45以上になると、ジェアンテルから次の吟遊詩人クエストを受注することができます。			ジェアンテルに報告した。ジェアンテルは、冒険者の成長を認め、次回、「罪深き愚者」を歌うことを約束してくれた。どんな詩歌からも教訓が読み取れるよう、鍛錬を積んでおこう。※吟遊詩人のレベルが45以上になると、ジェアンテルから次の吟遊詩人クエストを受注することができます。			時神の境地							
ウェルウィック新林の指定地点で待機し魔牛を討伐			ウェルウィック新林の指定地点で待機し魔牛を討伐			時神の境地							
クォーリーミルの西にいるジェアンテルに報告			クォーリーミルの西にいるジェアンテルに報告			時神の境地							
おお、一段と頼もしくなったね。お主の成長は、老いぼれの色あせた日常に彩りを添える。彩り……そう、音楽がもたらす彩りは、広く知られておる。			おお、一段と頼もしくなったね。お主の成長は、老いぼれの色あせた日常に彩りを添える。彩り……そう、音楽がもたらす彩りは、広く知られておる。			時神の境地							
街角で音楽を奏でる、歌い手としての吟遊詩人……彼らがもてはやされるのも、音楽がもたらす彩りのため。吟遊詩人と聞いて、まず思い浮かべるのも、こちらだろう。			街角で音楽を奏でる、歌い手としての吟遊詩人……彼らがもてはやされるのも、音楽がもたらす彩りのため。吟遊詩人と聞いて、まず思い浮かべるのも、こちらだろう。			時神の境地							
だが、この源流もまた弓兵にあるということは、あまり知られていない……。			だが、この源流もまた弓兵にあるということは、あまり知られていない……。			時神の境地							
一時の平和な時代……戦場を去った弓兵たちは、弓を竪琴に持ちかえて、己が目にした戦場を伝え歩いた。争乱の荒波に消えていった仲間の武勇を語り継ぐために。			一時の平和な時代……戦場を去った弓兵たちは、弓を竪琴に持ちかえて、己が目にした戦場を伝え歩いた。争乱の荒波に消えていった仲間の武勇を語り継ぐために。			時神の境地							
やがて、その演奏は宴や酒場での余興を担うようになり、それが彼らの日々の糧を得る手段となっていった。こうなると堕落も早い……。			やがて、その演奏は宴や酒場での余興を担うようになり、それが彼らの日々の糧を得る手段となっていった。こうなると堕落も早い……。			時神の境地							
彼らは人気を得んとし、仲間の生き様を描いた詩歌を派手で甘い幻想話へ、すっかり書きかえてしまった。			彼らは人気を得んとし、仲間の生き様を描いた詩歌を派手で甘い幻想話へ、すっかり書きかえてしまった。			時神の境地							
「空想の魔物退治を描いた英雄譚」や、「騎士と乙女の恋物語」などにね。			「空想の魔物退治を描いた英雄譚」や、「騎士と乙女の恋物語」などにね。			時神の境地							
そんな詩歌に、戦場の仲間を鼓舞する力はない……。かくして、吟遊詩人の「戦歌」は力を失い、忘れ去られたというわけだ。			そんな詩歌に、戦場の仲間を鼓舞する力はない……。かくして、吟遊詩人の「戦歌」は力を失い、忘れ去られたというわけだ。			時神の境地							
これを嘆いたのが、モーグリ族だった。音楽を愛すモーグリ族は、吟遊詩人の「戦歌」を消さぬためその記憶と旋律が刻まれた「吟遊詩人の証」を探し集めた。			これを嘆いたのが、モーグリ族だった。音楽を愛すモーグリ族は、吟遊詩人の「戦歌」を消さぬためその記憶と旋律が刻まれた「吟遊詩人の証」を探し集めた。			時神の境地							
そして、ふさわしいと認めた者に、それを授けていたのだ。戦いの中にあっても仲間を想うことができる、優れた弓の使い手を厳選してね。			そして、ふさわしいと認めた者に、それを授けていたのだ。戦いの中にあっても仲間を想うことができる、優れた弓の使い手を厳選してね。			時神の境地							
