ポルタ・プレトリアのベサは、冒険者に頼みたいことがあるようだ。			ポルタ・プレトリアのベサは、冒険者に頼みたいことがあるようだ。			死霊を鎮める方法							
仲間の巡回兵も被害に遭っていて、いつ命を落とす者が現れるともわかりません。そこで、経験豊富な冒険者殿に、あやつの討伐を頼みたいのです。			仲間の巡回兵も被害に遭っていて、いつ命を落とす者が現れるともわかりません。そこで、経験豊富な冒険者殿に、あやつの討伐を頼みたいのです。			想定外の敵							
「ネストリング・ズー」は、北東の狭い岩場を根城にしています。歴戦の冒険者にかける言葉では、ないのかもしれませんが、どうか……お気をつけて。			「ネストリング・ズー」は、北東の狭い岩場を根城にしています。歴戦の冒険者にかける言葉では、ないのかもしれませんが、どうか……お気をつけて。			想定外の敵							
「ネストリング・ズー」は、北東の狭い岩場を根城にしています。歴戦の冒険者にかける言葉では、ないのかもしれませんが、どうか……お気をつけて。			「ネストリング・ズー」は、北東の狭い岩場を根城にしています。歴戦の冒険者にかける言葉では、ないのかもしれませんが、どうか……お気をつけて。			想定外の敵							
おお、奴を倒していただけたのですね！？やはり専門家に任せて正解だったようです。			おお、奴を倒していただけたのですね！？やはり専門家に任せて正解だったようです。			想定外の敵							
誰かが命を落としてしまう前に解決でき、本当によかった。ご協力に感謝しますよ！			誰かが命を落としてしまう前に解決でき、本当によかった。ご協力に感謝しますよ！			想定外の敵							
ポルタ・プレトリアのスプリヤは、冒険者に頼みたいことがあるようだ。			ポルタ・プレトリアのスプリヤは、冒険者に頼みたいことがあるようだ。			王の狩場							
フェザントの羽根を入手			フェザントの羽根を入手			王の狩場							
スプリヤにフェザントの羽根を渡す			スプリヤにフェザントの羽根を渡す			王の狩場							
シュー……ソナタが、紛い物の美神を討ったヒトの子か。ワラワの頼み、聞いてもらえないだろうか？			シュー……ソナタが、紛い物の美神を討ったヒトの子か。ワラワの頼み、聞いてもらえないだろうか？			王の狩場							
ソナタはフェザントという鳥を、知っておるか？そやつの羽根を、どうにか手に入れたいのだが、待機命令が出ておるため、ワラワは取りにいけぬ。			ソナタはフェザントという鳥を、知っておるか？そやつの羽根を、どうにか手に入れたいのだが、待機命令が出ておるため、ワラワは取りにいけぬ。			王の狩場							
シュー……山地を巡回していた同胞が、順路の上空を飛ぶ、美しい鳥を見たと言っておる。もしかしたら、その付近に羽根が落ちているかもしれぬ。			シュー……山地を巡回していた同胞が、順路の上空を飛ぶ、美しい鳥を見たと言っておる。もしかしたら、その付近に羽根が落ちているかもしれぬ。			王の狩場							
シュー……ヒトが王の狩場と呼ぶ、北西の高山で、「フェザントの羽根」を4つほど、集めてきてもらえぬか。			シュー……ヒトが王の狩場と呼ぶ、北西の高山で、「フェザントの羽根」を4つほど、集めてきてもらえぬか。			王の狩場							
シュー……ヒトが王の狩場と呼ぶ、北西の高山で、「フェザントの羽根」を4つほど、集めてきてもらえぬか。			シュー……ヒトが王の狩場と呼ぶ、北西の高山で、「フェザントの羽根」を4つほど、集めてきてもらえぬか。			王の狩場							
シュー……「フェザントの羽根」は、見つかったか？			シュー……「フェザントの羽根」は、見つかったか？			王の狩場							
シュー……なんと、美しい羽根だろう。解放軍のヒトの話では、あの高山は名のとおり、アラミゴ王族が狩りを楽しむために管理していた場所とのことだ。			シュー……なんと、美しい羽根だろう。解放軍のヒトの話では、あの高山は名のとおり、アラミゴ王族が狩りを楽しむために管理していた場所とのことだ。			王の狩場							
件のフェザントは、異国の貴族から王へと贈られ、狩りの獲物となるよう、山に放たれて繁殖させたものと聞く。			件のフェザントは、異国の貴族から王へと贈られ、狩りの獲物となるよう、山に放たれて繁殖させたものと聞く。			王の狩場							
シュー……その羽根は強靱ながら、しなやかで、矢羽根につかえば、的を外さぬ最高級の矢となる。そのために、多くが狩られ、今は数を減らしているのだそうだ。			シュー……その羽根は強靱ながら、しなやかで、矢羽根につかえば、的を外さぬ最高級の矢となる。そのために、多くが狩られ、今は数を減らしているのだそうだ。			王の狩場							
シュー……ワラワとて、無駄な殺生は好まぬ。落ちているのなら、有効に使わせてもらうだけのこと。さっそく、これで矢をあつらえるとするか。			シュー……ワラワとて、無駄な殺生は好まぬ。落ちているのなら、有効に使わせてもらうだけのこと。さっそく、これで矢をあつらえるとするか。			王の狩場							
シュー……紛い物の美神を討ったヒトの子よ。ワラワの願いを叶えてくれて、感謝する。			シュー……紛い物の美神を討ったヒトの子よ。ワラワの願いを叶えてくれて、感謝する。			王の狩場							
ポルタ・プレトリアのダントゥニュエル大牙士は、高名な冒険者に任務を頼みたいようだ。			ポルタ・プレトリアのダントゥニュエル大牙士は、高名な冒険者に任務を頼みたいようだ。			出撃、魔導アーマー！							
不滅隊の兵卒と話す			不滅隊の兵卒と話す			出撃、魔導アーマー！							
鹵獲魔導アーマーに騎乗して現れた敵を討伐			鹵獲魔導アーマーに騎乗して現れた敵を討伐			出撃、魔導アーマー！							
鹵獲魔導アーマーに騎乗して現れた敵を再度討伐			鹵獲魔導アーマーに騎乗して現れた敵を再度討伐			出撃、魔導アーマー！							
鹵獲魔導アーマーに騎乗して現れた敵をさらに討伐			鹵獲魔導アーマーに騎乗して現れた敵をさらに討伐			出撃、魔導アーマー！							
不滅隊の兵卒に報告			不滅隊の兵卒に報告			出撃、魔導アーマー！							
ダントゥニュエル大牙士に報告			ダントゥニュエル大牙士に報告			出撃、魔導アーマー！							
冒険者部隊の俊英である、貴官と出会うとはなんたる幸運！事態の打開に、その力を貸してもらえんだろうか？			冒険者部隊の俊英である、貴官と出会うとはなんたる幸運！事態の打開に、その力を貸してもらえんだろうか？			出撃、魔導アーマー！							
これまでの状況を説明しよう。哨戒部隊が、数機の無人型魔導兵器を、北東の高台にて発見した。			これまでの状況を説明しよう。哨戒部隊が、数機の無人型魔導兵器を、北東の高台にて発見した。			出撃、魔導アーマー！							
帝国軍の置き土産といったところか……。接近する者には、無差別に攻撃するようセットされているらしい。現在も哨戒部隊が、周辺で監視を続けているところだ。			帝国軍の置き土産といったところか……。接近する者には、無差別に攻撃するようセットされているらしい。現在も哨戒部隊が、周辺で監視を続けているところだ。			出撃、魔導アーマー！							
聞けば、貴官は魔導兵器との交戦経験も豊富な様子。ぜひ北東の高台に向かい、監視の「不滅隊の兵卒」と合流、魔導兵器の破壊に力を貸してほしい。			聞けば、貴官は魔導兵器との交戦経験も豊富な様子。ぜひ北東の高台に向かい、監視の「不滅隊の兵卒」と合流、魔導兵器の破壊に力を貸してほしい。			出撃、魔導アーマー！							
北東の高台に向かい、監視の「不滅隊の兵卒」と合流、魔導兵器の破壊に力を貸してほしい。			北東の高台に向かい、監視の「不滅隊の兵卒」と合流、魔導兵器の破壊に力を貸してほしい。			出撃、魔導アーマー！							
[GC Rank]Surname[GC Rank]Surname[GC Rank]Surnameではありませんか！ダントゥニュエル大牙士から、援軍を送るとは伺っておりましたが、来てくださったのが、あなただったとは……。			[GC Rank]Surname[GC Rank]Surname[GC Rank]Surnameではありませんか！ダントゥニュエル大牙士から、援軍を送るとは伺っておりましたが、来てくださったのが、あなただったとは……。			出撃、魔導アーマー！							
ちょうど、鹵獲した魔導アーマーを、起動させることに成功したところでしてね……。コイツで目標を破壊しようと思っていたところなんです。			ちょうど、鹵獲した魔導アーマーを、起動させることに成功したところでしてね……。コイツで目標を破壊しようと思っていたところなんです。			出撃、魔導アーマー！							
そう言えば、[GC Rank]Surname[GC Rank]Surname[GC Rank]Surnameは、魔導アーマーの操縦経験も豊富でしたよね？ぜひ操縦士役をお願いいたします！			そう言えば、[GC Rank]Surname[GC Rank]Surname[GC Rank]Surnameは、魔導アーマーの操縦経験も豊富でしたよね？ぜひ操縦士役をお願いいたします！			出撃、魔導アーマー！							
攻撃目標は、周辺の3カ所に分散配置されています。地図に印を付けておきますので、すべての「無人型魔導兵器」の破壊を、お願いいたします！			攻撃目標は、周辺の3カ所に分散配置されています。地図に印を付けておきますので、すべての「無人型魔導兵器」の破壊を、お願いいたします！			出撃、魔導アーマー！							
それでは、魔導アーマーにご搭乗ください。ご武運を祈っております。			それでは、魔導アーマーにご搭乗ください。ご武運を祈っております。			出撃、魔導アーマー！							
攻撃目標は、周辺の3カ所に分散配置されています。地図に印を付けておきますので、すべての「無人型魔導兵器」の破壊を、お願いいたします！			攻撃目標は、周辺の3カ所に分散配置されています。地図に印を付けておきますので、すべての「無人型魔導兵器」の破壊を、お願いいたします！			出撃、魔導アーマー！							
お見事な操縦ぶり！あなたの活躍は聞いておりましたが、まさか、噂のほうが控えめだったとは……。			お見事な操縦ぶり！あなたの活躍は聞いておりましたが、まさか、噂のほうが控えめだったとは……。			出撃、魔導アーマー！							
ご協力、感謝いたします。撤収準備が整い次第、ポルタ・プレトリアに帰還しますので、「ダントゥニュエル大牙士」殿への報告を、先にお願いいたします。			ご協力、感謝いたします。撤収準備が整い次第、ポルタ・プレトリアに帰還しますので、「ダントゥニュエル大牙士」殿への報告を、先にお願いいたします。			出撃、魔導アーマー！							
ご協力、感謝いたします。撤収準備が整い次第、ポルタ・プレトリアに帰還しますので、「ダントゥニュエル大牙士」殿への報告を、先にお願いいたします。			ご協力、感謝いたします。撤収準備が整い次第、ポルタ・プレトリアに帰還しますので、「ダントゥニュエル大牙士」殿への報告を、先にお願いいたします。			出撃、魔導アーマー！							
任務の報告を……と言いたいところだが、ここに戻ってきたということは、成功したのだろう。協力してくれて助かったぞ。			任務の報告を……と言いたいところだが、ここに戻ってきたということは、成功したのだろう。協力してくれて助かったぞ。			出撃、魔導アーマー！							
しかし、魔導兵器の扱いには、毎回頭を悩まされるな。回収するにも、処分するにも、一苦労といったところだ。どれほどの魔導兵器が残されているやら……。			しかし、魔導兵器の扱いには、毎回頭を悩まされるな。回収するにも、処分するにも、一苦労といったところだ。どれほどの魔導兵器が残されているやら……。			出撃、魔導アーマー！							
だが、戦争の当事者としては、目先のことだけでなく、将来を見据えた対応をせねばならないからな……。とにかく、今回の件はご苦労であった。			だが、戦争の当事者としては、目先のことだけでなく、将来を見据えた対応をせねばならないからな……。とにかく、今回の件はご苦労であった。			出撃、魔導アーマー！							
アラミガン・クォーターのベルトリアナは、最後の任を冒険者と共に遂げたいようだ。			アラミガン・クォーターのベルトリアナは、最後の任を冒険者と共に遂げたいようだ。			ウィルレッドの弔い							
ベルトリアナと話した。慰霊碑の場所についての情報を、ウィチャードから聞くことができた。弔う準備が整ったら、アラミガン・クォーターの「ベルトリアナ」と話そう。			ベルトリアナと話した。慰霊碑の場所についての情報を、ウィチャードから聞くことができた。弔う準備が整ったら、アラミガン・クォーターの「ベルトリアナ」と話そう。			ウィルレッドの弔い							
ベルトリアナと話した。ギラバニア湖畔地帯のエラントソードの墓で「ベルトリアナ」と再度話そう。			ベルトリアナと話した。ギラバニア湖畔地帯のエラントソードの墓で「ベルトリアナ」と再度話そう。			ウィルレッドの弔い							
ベルトリアナと話し、エラントソードの墓でウィルレッドを弔った。ウィルレッドと、今見ている景色を共に見たかったと語るベルトリアナ。彼の分まで、アラミゴで全力で生き抜いて、次の世代に故郷を受け継いでみせると、天上のウィルレッドに固く誓うベルトリアナなのであった。			ベルトリアナと話し、エラントソードの墓でウィルレッドを弔った。ウィルレッドと、今見ている景色を共に見たかったと語るベルトリアナ。彼の分まで、アラミゴで全力で生き抜いて、次の世代に故郷を受け継いでみせると、天上のウィルレッドに固く誓うベルトリアナなのであった。			ウィルレッドの弔い							
ベルトリアナと話す			ベルトリアナと話す			ウィルレッドの弔い							
ベルトリアナと再度話す			ベルトリアナと再度話す			ウィルレッドの弔い							
俺がいた頃と変わっているところもあるが、昔のままの懐かしい場所もある……。本当にアラミゴに戻ってきたんだ……！			俺がいた頃と変わっているところもあるが、昔のままの懐かしい場所もある……。本当にアラミゴに戻ってきたんだ……！			ウィルレッドの弔い							
……さて、皆を無事にアラミゴまで届けたことですし、ウィルレッドの弔いをするとしましょう。			……さて、皆を無事にアラミゴまで届けたことですし、ウィルレッドの弔いをするとしましょう。			ウィルレッドの弔い							
ところで、ウィチャードさん……つかぬことをお尋ねしますが、この辺りに、異国で死した同胞を弔う慰霊碑があると、亡き母から聞いたのですが……。			ところで、ウィチャードさん……つかぬことをお尋ねしますが、この辺りに、異国で死した同胞を弔う慰霊碑があると、亡き母から聞いたのですが……。			ウィルレッドの弔い							
慰霊碑ですって？でしたら、都市を出て北の郊外にある、エラントソードの墓の慰霊碑のことでしょう。			慰霊碑ですって？でしたら、都市を出て北の郊外にある、エラントソードの墓の慰霊碑のことでしょう。			ウィルレッドの弔い							
アラミゴは、傭兵業で支えられてきた都市でもありますから、異郷の地で命を落とす者も、少なくありませんでした。そうした者のため、遺品を納める場合もありますよ。			アラミゴは、傭兵業で支えられてきた都市でもありますから、異郷の地で命を落とす者も、少なくありませんでした。そうした者のため、遺品を納める場合もありますよ。			ウィルレッドの弔い							
なるほど……そうさせていただくとします。教えてくださって、ありがとうございます！			なるほど……そうさせていただくとします。教えてくださって、ありがとうございます！			ウィルレッドの弔い							
それでは、さっそくエラントソードの墓に向かうとしましょう。支度ができたら、お声がけくださいね。			それでは、さっそくエラントソードの墓に向かうとしましょう。支度ができたら、お声がけくださいね。			ウィルレッドの弔い							
ここまでの旅路、本当におつかれさまでした！今後は私が、叔父に誓って、みなさんのお世話をさせていただきますよ！			ここまでの旅路、本当におつかれさまでした！今後は私が、叔父に誓って、みなさんのお世話をさせていただきますよ！			ウィルレッドの弔い							
慰霊碑でしたら、都市を出て北の郊外にある、エラントソードの墓の慰霊碑のことでしょう。異郷の地で命を落とした者のため、遺品を納める場合もあります。			慰霊碑でしたら、都市を出て北の郊外にある、エラントソードの墓の慰霊碑のことでしょう。異郷の地で命を落とした者のため、遺品を納める場合もあります。			ウィルレッドの弔い							
Forenameさん、準備は整いましたか？			Forenameさん、準備は整いましたか？			ウィルレッドの弔い							
たしか、慰霊碑があるエラントソードの墓は、一度、都市から出て、北に向かったところでしたね。では、現地に向かいましょう。			たしか、慰霊碑があるエラントソードの墓は、一度、都市から出て、北に向かったところでしたね。では、現地に向かいましょう。			ウィルレッドの弔い							
ウィルレッド、見えている？私たちが、ずっと待ち望んできた景色が広がってるよ。			ウィルレッド、見えている？私たちが、ずっと待ち望んできた景色が広がってるよ。			ウィルレッドの弔い							
峨々たる山並み、雲の海原、そびえたつ城塞……全部、グンドバルドさまが語って聞かせてくれたとおり。この景色を、あなたと一緒に見たかったわ、ウィルレッド……。			峨々たる山並み、雲の海原、そびえたつ城塞……全部、グンドバルドさまが語って聞かせてくれたとおり。この景色を、あなたと一緒に見たかったわ、ウィルレッド……。			ウィルレッドの弔い							
これから、私たちはアラミゴで生きていく……。あなたのぶんまで、全力で生き抜いて、次の世代に、大切な故郷を受け継いでみせるわ。			これから、私たちはアラミゴで生きていく……。あなたのぶんまで、全力で生き抜いて、次の世代に、大切な故郷を受け継いでみせるわ。			ウィルレッドの弔い							
だから、もう少しだけ、天上で待っていてね。どんな国になったのか、必ず報告に行くから……。			だから、もう少しだけ、天上で待っていてね。どんな国になったのか、必ず報告に行くから……。			ウィルレッドの弔い							
最後までお付き合いくださって、ありがとうございました。ウィルレッドにいい報告ができるよう、私、頑張ります。だから、いつでもアラミゴに遊びに来てくださいね。			最後までお付き合いくださって、ありがとうございました。ウィルレッドにいい報告ができるよう、私、頑張ります。だから、いつでもアラミゴに遊びに来てくださいね。			ウィルレッドの弔い							
ポルタ・プレトリアのドロテー中闘士は、水中で活動できる冒険者に頼みたいことがあるようだ。			ポルタ・プレトリアのドロテー中闘士は、水中で活動できる冒険者に頼みたいことがあるようだ。			帝国兵と秘密の地図							
不滅隊の工作員と話す			不滅隊の工作員と話す			帝国兵と秘密の地図							
帝国軍の物資箱を入手			帝国軍の物資箱を入手			帝国兵と秘密の地図							
不滅隊の工作員に帝国軍の物資箱を渡す			不滅隊の工作員に帝国軍の物資箱を渡す			帝国兵と秘密の地図							
ドロテー中闘士に報告			ドロテー中闘士に報告			帝国兵と秘密の地図							
[GC Rank]Surname[GC Rank]Surname[GC Rank]Surnameですね？あなたが東方の海にて、水中で活動するための秘術を会得したと、「暁の血盟」の方から聞いたのですが、本当でしょうか……？			[GC Rank]Surname[GC Rank]Surname[GC Rank]Surnameですね？あなたが東方の海にて、水中で活動するための秘術を会得したと、「暁の血盟」の方から聞いたのですが、本当でしょうか……？			帝国兵と秘密の地図							
なんと、まことでしたか！ぜひ、そのお力をお借りしたいことがあるのです。			なんと、まことでしたか！ぜひ、そのお力をお借りしたいことがあるのです。			帝国兵と秘密の地図							
ご協力いただけるようでしたら、ロッホ・セル湖の聖なる礼拝台にいる私の部下、「不滅隊の工作員」から、詳細を伺ってください。			ご協力いただけるようでしたら、ロッホ・セル湖の聖なる礼拝台にいる私の部下、「不滅隊の工作員」から、詳細を伺ってください。			帝国兵と秘密の地図							
ご協力いただけるようでしたら、ロッホ・セル湖の聖なる礼拝台にいる私の部下、「不滅隊の工作員」から、詳細を伺ってください。			ご協力いただけるようでしたら、ロッホ・セル湖の聖なる礼拝台にいる私の部下、「不滅隊の工作員」から、詳細を伺ってください。			帝国兵と秘密の地図							
応援に来てくださった、冒険者殿ですね？ドロテー中闘士より、話は伺っております。それでは、任務の詳細を説明いたします。			応援に来てくださった、冒険者殿ですね？ドロテー中闘士より、話は伺っております。それでは、任務の詳細を説明いたします。			帝国兵と秘密の地図							
先日の、カストルム・アバニアの戦いで捕虜にした帝国兵が、一枚の地図を隠し持っていました。			先日の、カストルム・アバニアの戦いで捕虜にした帝国兵が、一枚の地図を隠し持っていました。			帝国兵と秘密の地図							
そこに意味ありげな印が記されていたので、何を示しているのか尋問したのですが、一向に口を割りません。頑なに秘匿するからには、何か理由があるはずです。			そこに意味ありげな印が記されていたので、何を示しているのか尋問したのですが、一向に口を割りません。頑なに秘匿するからには、何か理由があるはずです。			帝国兵と秘密の地図							
そう考えた司令部から、印の場所の調査を命じられたのですが、ロッホ・セル湖の湖上からは、何も発見できませんでした。残された可能性は、湖の下……。			そう考えた司令部から、印の場所の調査を命じられたのですが、ロッホ・セル湖の湖上からは、何も発見できませんでした。残された可能性は、湖の下……。			帝国兵と秘密の地図							
そこで、水中の調査をお願いしたいというわけなのです。調べていただきたい場所を、地図に書き記しておきました。			そこで、水中の調査をお願いしたいというわけなのです。調べていただきたい場所を、地図に書き記しておきました。			帝国兵と秘密の地図							
該当箇所に向かって、周囲を探り、秘匿物を発見した場合、回収できそうなら持ち帰ってください。それでは、よろしくお願いいたします。			該当箇所に向かって、周囲を探り、秘匿物を発見した場合、回収できそうなら持ち帰ってください。それでは、よろしくお願いいたします。			帝国兵と秘密の地図							
該当箇所に向かって、周囲を探り、秘匿物を発見した場合、回収できそうなら持ち帰ってください。それでは、よろしくお願いいたします。			該当箇所に向かって、周囲を探り、秘匿物を発見した場合、回収できそうなら持ち帰ってください。それでは、よろしくお願いいたします。			帝国兵と秘密の地図							
印のあった場所で、何か発見できましたか？			印のあった場所で、何か発見できましたか？			帝国兵と秘密の地図							
帝国軍の物資箱ですか……。中身が気になるところですね……。さっそく確認しましょう。			帝国軍の物資箱ですか……。中身が気になるところですね……。さっそく確認しましょう。			帝国兵と秘密の地図							
これは……高価な宝飾品が、この箱一杯に……！？			これは……高価な宝飾品が、この箱一杯に……！？			帝国兵と秘密の地図							
どれもみな、ギラバニア様式であることを考えると、アラミゴで作られたものなのでしょう。それも、王族が身に付けていたような品に見えます。			どれもみな、ギラバニア様式であることを考えると、アラミゴで作られたものなのでしょう。それも、王族が身に付けていたような品に見えます。			帝国兵と秘密の地図							
湖に隠していたということは、非合法的に略奪したのでしょう。兵役が終わって故郷に帰るときまで、隠しておくつもりだったということか……。			湖に隠していたということは、非合法的に略奪したのでしょう。兵役が終わって故郷に帰るときまで、隠しておくつもりだったということか……。			帝国兵と秘密の地図							
すでにアラミゴの王族は途絶えていますが、今後の復興には、莫大な資金が必要なはずです。この品は、アラミゴの民に還元するように計らうとします。			すでにアラミゴの王族は途絶えていますが、今後の復興には、莫大な資金が必要なはずです。この品は、アラミゴの民に還元するように計らうとします。			帝国兵と秘密の地図							
ご協力いただきありがとうございました。「ドロテー中闘士」に、報告をお願いできますか？			ご協力いただきありがとうございました。「ドロテー中闘士」に、報告をお願いできますか？			帝国兵と秘密の地図							
ご協力いただきありがとうございました。「ドロテー中闘士」に、報告をお願いできますか？			ご協力いただきありがとうございました。「ドロテー中闘士」に、報告をお願いできますか？			帝国兵と秘密の地図							
結果はどうでしたか？			結果はどうでしたか？			帝国兵と秘密の地図							
なるほど……高価な宝飾品が隠されていたのですね。口を割らなかった理由も、それなら納得がいきます。			なるほど……高価な宝飾品が隠されていたのですね。口を割らなかった理由も、それなら納得がいきます。			帝国兵と秘密の地図							
部下が言ったように、件の財宝は、アラミゴ復興のため民に還元できるよう計らいましょう。この度の協力、感謝致します！			部下が言ったように、件の財宝は、アラミゴ復興のため民に還元できるよう計らいましょう。この度の協力、感謝致します！			帝国兵と秘密の地図							
ポルタ・プレトリアのジャ・ズラ・ティアは、冒険者に頼みたいことがあるようだ。			ポルタ・プレトリアのジャ・ズラ・ティアは、冒険者に頼みたいことがあるようだ。			魔物は使いよう							
弱らせたタラシナに頑丈な麻袋を使い捕獲			弱らせたタラシナに頑丈な麻袋を使い捕獲			魔物は使いよう							
ジャ・ズラ・ティアにタラシナ入りの麻袋を渡す			ジャ・ズラ・ティアにタラシナ入りの麻袋を渡す			魔物は使いよう							
お前さん、冒険者部隊のForenameだろ？ちょっと厄介な仕事を、頼みたいんだ。			お前さん、冒険者部隊のForenameだろ？ちょっと厄介な仕事を、頼みたいんだ。			魔物は使いよう							
とある任務のため、魔物を何匹か捕獲したいんだが、少しばかり手こずっていてね……。冒険者としても有名なあんたなら、魔物の捕獲もお手の物だろ？			とある任務のため、魔物を何匹か捕獲したいんだが、少しばかり手こずっていてね……。冒険者としても有名なあんたなら、魔物の捕獲もお手の物だろ？			魔物は使いよう							
獲物は、ホワイトアイル陸橋の南に棲む「タラシナ」だ。充分に弱らせてから「頑丈な麻袋」に入れないと、鋭く尖った尻尾に破られちまうだろうから、注意しろよ。			獲物は、ホワイトアイル陸橋の南に棲む「タラシナ」だ。充分に弱らせてから「頑丈な麻袋」に入れないと、鋭く尖った尻尾に破られちまうだろうから、注意しろよ。			魔物は使いよう							
獲物は、ホワイトアイル陸橋の南に棲む「タラシナ」だ。充分に弱らせてから「頑丈な麻袋」に入れないと、鋭く尖った尻尾に破られちまうだろうから、注意しろよ。			獲物は、ホワイトアイル陸橋の南に棲む「タラシナ」だ。充分に弱らせてから「頑丈な麻袋」に入れないと、鋭く尖った尻尾に破られちまうだろうから、注意しろよ。			魔物は使いよう							
どうだ、タラシナは捕まえられたか？			どうだ、タラシナは捕まえられたか？			魔物は使いよう							
おぉ、なんて活きのいいヤツだ！あつらえた袋が、今にも破られそうじゃないか……だが、それくらいじゃないと意味がない。			おぉ、なんて活きのいいヤツだ！あつらえた袋が、今にも破られそうじゃないか……だが、それくらいじゃないと意味がない。			魔物は使いよう							
実は、こいつを使って、帝国軍を攪乱してやろうって作戦が、秘密裏に進んでいるんだ。帝国の奴らの慌てふためく姿が、今から想像できるさ。			実は、こいつを使って、帝国軍を攪乱してやろうって作戦が、秘密裏に進んでいるんだ。帝国の奴らの慌てふためく姿が、今から想像できるさ。			魔物は使いよう							
