イシュガルド上層の不安げな商人は、飛空艇が帰還しないことを心配しているようだ。			イシュガルド上層の不安げな商人は、飛空艇が帰還しないことを心配しているようだ。			空賊たち							
「霊風の羅針盤」はレオファードに預けとく。ヤツの指示に従えば、幽霊船にたどり着けるはずだ。あの船に眠る「お宝」を、楽しみに待ってるぜ！			「霊風の羅針盤」はレオファードに預けとく。ヤツの指示に従えば、幽霊船にたどり着けるはずだ。あの船に眠る「お宝」を、楽しみに待ってるぜ！			魔航船ヴォイドアーク							
結構な修羅場は過去にもあったが、今回のはとびきりだ。気張っていくんで、よろしくな。お互い、生きて帰ろうや！			結構な修羅場は過去にもあったが、今回のはとびきりだ。気張っていくんで、よろしくな。お互い、生きて帰ろうや！			魔航船ヴォイドアーク							
まさか、あんなバケモノがいたとはな……。しかも、そいつを倒しちまうとは！確かに、お前は「英雄」と呼ばれるのに相応しい。			まさか、あんなバケモノがいたとはな……。しかも、そいつを倒しちまうとは！確かに、お前は「英雄」と呼ばれるのに相応しい。			魔航船ヴォイドアーク							
奴が守っていた奥のデカブツ……。さぁて、どんな「お宝」が眠っているのか、拝ませてもらおうか。			奴が守っていた奥のデカブツ……。さぁて、どんな「お宝」が眠っているのか、拝ませてもらおうか。			魔航船ヴォイドアーク							
わ、私は何にもしてないわよ！？			わ、私は何にもしてないわよ！？			魔航船ヴォイドアーク							
なっ……！あいつの仕業か！？			なっ……！あいつの仕業か！？			魔航船ヴォイドアーク							
(-？？？？-)こちらへ！　さあ、急いで！			(-？？？？-)こちらへ！　さあ、急いで！			魔航船ヴォイドアーク							
……喋るネコだぁ！？いったい、どうなってやがるんだ……。			……喋るネコだぁ！？いったい、どうなってやがるんだ……。			魔航船ヴォイドアーク							
悩んでる暇はない、か。おい、逃げるぞ！			悩んでる暇はない、か。おい、逃げるぞ！			魔航船ヴォイドアーク							
でも、「お宝」はどうするの！？			でも、「お宝」はどうするの！？			魔航船ヴォイドアーク							
命あっての物種だ！あの妖異と、一戦交えるつもりか。今は、あのネコに従え！			命あっての物種だ！あの妖異と、一戦交えるつもりか。今は、あのネコに従え！			魔航船ヴォイドアーク							
んもう、まだこれっぽっちしか手に入れてないってのに！			んもう、まだこれっぽっちしか手に入れてないってのに！			魔航船ヴォイドアーク							
あの船……。いったい何をしやがるつもりだ？			あの船……。いったい何をしやがるつもりだ？			魔航船ヴォイドアーク							
(-？？？？-)まさか、次元転送するつもりか！？だが、船ごと転移できるほどの力はまだ……！			(-？？？？-)まさか、次元転送するつもりか！？だが、船ごと転移できるほどの力はまだ……！			魔航船ヴォイドアーク							
(-？？？？-)今のは「女王の棺」！？そうか、奴の狙いは棺を隠すこと……！			(-？？？？-)今のは「女王の棺」！？そうか、奴の狙いは棺を隠すこと……！			魔航船ヴォイドアーク							
……離脱する。この空域を脱出するぞ。			……離脱する。この空域を脱出するぞ。			魔航船ヴォイドアーク							
ネコ……なのかしら……。いったい何者なの？			ネコ……なのかしら……。いったい何者なの？			魔航船ヴォイドアーク							
……ぜぇ……はぁ……！こうして……生きて帰れただけ、めっけもんか。			……ぜぇ……はぁ……！こうして……生きて帰れただけ、めっけもんか。			魔航船ヴォイドアーク							
久方ぶりに踏む大地……。まさか、このような形で降り立つことになろうとは。			久方ぶりに踏む大地……。まさか、このような形で降り立つことになろうとは。			魔航船ヴォイドアーク							
やれやれ、ひとまずの危機は脱したと見てよさそうだな。いったんアジトに戻って……。			やれやれ、ひとまずの危機は脱したと見てよさそうだな。いったんアジトに戻って……。			魔航船ヴォイドアーク							
……待て、ウタタはどこだ？ここで、エーテルの計測をしてるはずじゃ……。			……待て、ウタタはどこだ？ここで、エーテルの計測をしてるはずじゃ……。			魔航船ヴォイドアーク							
(-？？？？-)アンタらが探してるのは、この子かい……？			(-？？？？-)アンタらが探してるのは、この子かい……？			魔航船ヴォイドアーク							
ウフフフ……。アンタたち、幽霊船のあの砲撃は見たかい？惚れ惚れするくらい、すさまじい威力だったねぇ。			ウフフフ……。アンタたち、幽霊船のあの砲撃は見たかい？惚れ惚れするくらい、すさまじい威力だったねぇ。			魔航船ヴォイドアーク							
……持って帰って、オモチャにでもするつもりか？お前には……いや、人の手には余るシロモンに見えたがね。			……持って帰って、オモチャにでもするつもりか？お前には……いや、人の手には余るシロモンに見えたがね。			魔航船ヴォイドアーク							
フンッ……つまらない物差しで、アタイを測るんじゃないよ。それに、減らず口を叩いてる場合かい……？			フンッ……つまらない物差しで、アタイを測るんじゃないよ。それに、減らず口を叩いてる場合かい……？			魔航船ヴォイドアーク							
アンタの動きは、全部見張ってたんだ。あの幽霊船を探知するために造り出した羅針盤……。そいつを、アタイたちによこしてもらうよ！			アンタの動きは、全部見張ってたんだ。あの幽霊船を探知するために造り出した羅針盤……。そいつを、アタイたちによこしてもらうよ！			魔航船ヴォイドアーク							
そう、これだ……。これさえあれば、アタイの前に「禁断の地」への道が開く。あの力、誰にも渡してなるものかい……！			そう、これだ……。これさえあれば、アタイの前に「禁断の地」への道が開く。あの力、誰にも渡してなるものかい……！			魔航船ヴォイドアーク							
もう、ここに用はない。アンタたち、さっさと引き上げるよ！			もう、ここに用はない。アンタたち、さっさと引き上げるよ！			魔航船ヴォイドアーク							
