オサード小大陸東岸のソロバンは、冒険者に仕事を紹介してくれるようだ。			オサード小大陸東岸のソロバンは、冒険者に仕事を紹介してくれるようだ。			鬼の棲む島							
やい、お前！さっきはよくもやってくれたな、痛かったじゃないか！僕はこないだ瑞獣へと裏返ったばかりなのに！			やい、お前！さっきはよくもやってくれたな、痛かったじゃないか！僕はこないだ瑞獣へと裏返ったばかりなのに！			鬼の棲む島							
……まあいいや、先に襲いかかったのはこっちだし……。それで、瑞獣について知りたいんだろ？なら、いいことを教えてやるよ。			……まあいいや、先に襲いかかったのはこっちだし……。それで、瑞獣について知りたいんだろ？なら、いいことを教えてやるよ。			鬼の棲む島							
東方で一番長生きしてる瑞獣は玄武さまだ。玄武さまは、四聖獣と呼ばれる瑞獣の一体で、僕なんかとは比べものにならないぐらい、強い力を持ってるんだ。			東方で一番長生きしてる瑞獣は玄武さまだ。玄武さまは、四聖獣と呼ばれる瑞獣の一体で、僕なんかとは比べものにならないぐらい、強い力を持ってるんだ。			鬼の棲む島							
詳しいことは、ほかの瑞獣たちから聞くがよい。まず、おぬしらにワシらのことを知ってもらいたいのでのう。依頼の話は、それからよ。			詳しいことは、ほかの瑞獣たちから聞くがよい。まず、おぬしらにワシらのことを知ってもらいたいのでのう。依頼の話は、それからよ。			鬼の棲む島							
まさか、獄之蓋の下にこんな場所があったなんてなぁ～。			まさか、獄之蓋の下にこんな場所があったなんてなぁ～。			鬼の棲む島							
さあ、Forenameさん！まずは情報収集でっす！			さあ、Forenameさん！まずは情報収集でっす！			鬼の棲む島							
どうじゃ、少しはワシらのことがわかったじゃろう。では、そろそろ本題に入らせてもらおうかのう。			どうじゃ、少しはワシらのことがわかったじゃろう。では、そろそろ本題に入らせてもらおうかのう。			鬼の棲む島							
瑞獣が神通力を扱えるという話は聞いておるな？ワシが裏返りで得た神通力は、未来の凶兆を予見できる力じゃ。			瑞獣が神通力を扱えるという話は聞いておるな？ワシが裏返りで得た神通力は、未来の凶兆を予見できる力じゃ。			鬼の棲む島							
ワシは、この力で紅玉海一帯が……対岸のヤンサから、ひんがしの国の島々までもが、炎に包まれる情景を視た。			ワシは、この力で紅玉海一帯が……対岸のヤンサから、ひんがしの国の島々までもが、炎に包まれる情景を視た。			鬼の棲む島							
遠くない未来に起こるであろう、この災厄を止めるには、豪神スサノオを打ち倒したおぬしの力が必要なのじゃ。			遠くない未来に起こるであろう、この災厄を止めるには、豪神スサノオを打ち倒したおぬしの力が必要なのじゃ。			鬼の棲む島							
どどど、どうすれば、いいのでっすか！？			どどど、どうすれば、いいのでっすか！？			鬼の棲む島							
ほっほっほ、慌てるでない、策はあるのじゃ。じゃが、それを語る前に、おぬしらが未だに知らぬ、瑞獣の性質について、説明する必要があるのう。			ほっほっほ、慌てるでない、策はあるのじゃ。じゃが、それを語る前に、おぬしらが未だに知らぬ、瑞獣の性質について、説明する必要があるのう。			鬼の棲む島							
自我に目覚めた瑞獣の魂は、荒れ狂うアラミタマと、静かなるニギミタマの、ふたつの側面を持つことになるのじゃ。これらが均衡を保つことで、瑞獣は理性的でいられる。			自我に目覚めた瑞獣の魂は、荒れ狂うアラミタマと、静かなるニギミタマの、ふたつの側面を持つことになるのじゃ。これらが均衡を保つことで、瑞獣は理性的でいられる。			鬼の棲む島							
じゃが、気の遠くなるほどの長い時間の経過や、激しい感情の変化によって、魂の均衡が崩れることがある……。			じゃが、気の遠くなるほどの長い時間の経過や、激しい感情の変化によって、魂の均衡が崩れることがある……。			鬼の棲む島							
そうしたとき、アラミタマに支配された瑞獣は暴走し、妖力の強さゆえに天変地異を起こす、物の怪へと墜ちてしまう。			そうしたとき、アラミタマに支配された瑞獣は暴走し、妖力の強さゆえに天変地異を起こす、物の怪へと墜ちてしまう。			鬼の棲む島							
ひぇぇ～。それじゃあ、これまでの大地震や大洪水なんかも、瑞獣たちが暴れたせいかもしれないんだねぇ～。			ひぇぇ～。それじゃあ、これまでの大地震や大洪水なんかも、瑞獣たちが暴れたせいかもしれないんだねぇ～。			鬼の棲む島							
うむ、瑞獣は類い希なる妖力で人々を救いもするが、その実、ひとたび暴走すれば、大きな脅威となるのじゃ。おぬしらは「テンゼンの鬼退治」についてどこまで知っておる？			うむ、瑞獣は類い希なる妖力で人々を救いもするが、その実、ひとたび暴走すれば、大きな脅威となるのじゃ。おぬしらは「テンゼンの鬼退治」についてどこまで知っておる？			鬼の棲む島							
お侍のテンゼンさんが、玄武さんたち四聖獣と力を合わせて、獄之蓋で鬼を退治したっていう物語でっすよね？			お侍のテンゼンさんが、玄武さんたち四聖獣と力を合わせて、獄之蓋で鬼を退治したっていう物語でっすよね？			鬼の棲む島							
うむ、そのとおり。じゃが、真実はおとぎ話とは違っておってのう。テンゼンが退治したのは、鬼ではなく、ある瑞獣じゃったのじゃ。			うむ、そのとおり。じゃが、真実はおとぎ話とは違っておってのう。テンゼンが退治したのは、鬼ではなく、ある瑞獣じゃったのじゃ。			鬼の棲む島							
遙か昔、黄龍という、大地を操る神通力を宿した瑞獣が、アラミタマに心を飲まれたことがあってな……。この島は火山と化し、あわや大噴火という事態にまで陥った。			遙か昔、黄龍という、大地を操る神通力を宿した瑞獣が、アラミタマに心を飲まれたことがあってな……。この島は火山と化し、あわや大噴火という事態にまで陥った。			鬼の棲む島							
じゃが、英雄テンゼンと、ワシを含む四体の瑞獣の奮闘により、荒ぶる黄龍は打ち倒され、ここ醴泉神社に封じられたのじゃ。			じゃが、英雄テンゼンと、ワシを含む四体の瑞獣の奮闘により、荒ぶる黄龍は打ち倒され、ここ醴泉神社に封じられたのじゃ。			鬼の棲む島							
しかし、今、長き時を経て、黄龍の封印が崩れ去ろうとしておる。荒ぶる黄龍が解き放たれれば、獄之蓋はやがて噴火を迎え、ヤンサとひんがしの国は、炎に包まれるであろう。			しかし、今、長き時を経て、黄龍の封印が崩れ去ろうとしておる。荒ぶる黄龍が解き放たれれば、獄之蓋はやがて噴火を迎え、ヤンサとひんがしの国は、炎に包まれるであろう。			鬼の棲む島							
つまり、Forenameさんへの依頼は、目覚めるはずの黄龍退治ということでっすか……。			つまり、Forenameさんへの依頼は、目覚めるはずの黄龍退治ということでっすか……。			鬼の棲む島							
……これ、早合点するでない！いかに神狩りの英雄といえど、ヒトの力のみで黄龍は鎮められん。四聖獣すべての妖力を束ね、再封印を施すしか手立てはない！			……これ、早合点するでない！いかに神狩りの英雄といえど、ヒトの力のみで黄龍は鎮められん。四聖獣すべての妖力を束ね、再封印を施すしか手立てはない！			鬼の棲む島							
じゃが、ワシらは長生きをしすぎた……。というのも、ワシ以外の三体の四聖獣もまた、黄龍のようにアラミタマに心を飲まれようとしておってのう……。			じゃが、ワシらは長生きをしすぎた……。というのも、ワシ以外の三体の四聖獣もまた、黄龍のようにアラミタマに心を飲まれようとしておってのう……。			鬼の棲む島							
えぇぇ～！？四聖獣様まで暴走したら、紅玉海は終わりだよぉ～！！			えぇぇ～！？四聖獣様まで暴走したら、紅玉海は終わりだよぉ～！！			鬼の棲む島							
安心せい、そうならぬよう四聖獣たちは、神通力を用いて、己のアラミタマを押さえこんでおる。しかしそれゆえに、再封印のために妖力を割けんのじゃ……。			安心せい、そうならぬよう四聖獣たちは、神通力を用いて、己のアラミタマを押さえこんでおる。しかしそれゆえに、再封印のために妖力を割けんのじゃ……。			鬼の棲む島							
そして、ここからが本題じゃ。やがて訪れる黄龍の復活という大災厄に備えるため、四聖獣たちのアラミタマを、神狩りの力を以て鎮めてくれぬか？			そして、ここからが本題じゃ。やがて訪れる黄龍の復活という大災厄に備えるため、四聖獣たちのアラミタマを、神狩りの力を以て鎮めてくれぬか？			鬼の棲む島							
なんと答える？			なんと答える？			鬼の棲む島							
力になるよ			力になるよ			鬼の棲む島							
仕方ないな			仕方ないな			鬼の棲む島							
ほっほっほ……感謝するぞい。では、早速じゃが、まずは「白虎」と引き合わせたい。			ほっほっほ……感謝するぞい。では、早速じゃが、まずは「白虎」と引き合わせたい。			鬼の棲む島							
「白虎」には、社の外れに来るよう伝えてある。まもなく、到着する頃合いじゃろう。皆、ついてまいれ。			「白虎」には、社の外れに来るよう伝えてある。まもなく、到着する頃合いじゃろう。皆、ついてまいれ。			鬼の棲む島							
さあ、「白虎」に話しかけるのじゃ。ほっほっほ、心配せずとも、突然襲いかかってきたりはせんよ。			さあ、「白虎」に話しかけるのじゃ。ほっほっほ、心配せずとも、突然襲いかかってきたりはせんよ。			鬼の棲む島							
白くて綺麗な毛並みをしていらっしゃるねぇ～。さすがは白虎と名乗られるだけはあるよぉ～。			白くて綺麗な毛並みをしていらっしゃるねぇ～。さすがは白虎と名乗られるだけはあるよぉ～。			鬼の棲む島							
白虎さんは、ほかの瑞獣と比べて、とても大きいでっすね。			白虎さんは、ほかの瑞獣と比べて、とても大きいでっすね。			鬼の棲む島							
いくら、にゃーたちが可愛い姿をしているからって、ナメてると痛い目を見るかもしれニャいよ。これは、おみゃーたちと話しやすい姿に化けてるだけなんニャから。			いくら、にゃーたちが可愛い姿をしているからって、ナメてると痛い目を見るかもしれニャいよ。これは、おみゃーたちと話しやすい姿に化けてるだけなんニャから。			鬼の棲む島							
ああ、玉藻御前様……今頃どこで何をしているやら……。			ああ、玉藻御前様……今頃どこで何をしているやら……。			鬼の棲む島							
東方で一番長生きしてる瑞獣は玄武さまだ。玄武さまは、四聖獣と呼ばれる瑞獣の一体で、僕なんかとは比べものにならないぐらい、強い力を持ってるんだ。			東方で一番長生きしてる瑞獣は玄武さまだ。玄武さまは、四聖獣と呼ばれる瑞獣の一体で、僕なんかとは比べものにならないぐらい、強い力を持ってるんだ。			鬼の棲む島							
どうやら、来るべきときが来たということか。			どうやら、来るべきときが来たということか。			鬼の棲む島							
黄龍の封印は長くは保つまい。手遅れになる前に、この者におぬしのアラミタマを鎮めさせる。スサノオを倒した者にならば、できるはずじゃ。			黄龍の封印は長くは保つまい。手遅れになる前に、この者におぬしのアラミタマを鎮めさせる。スサノオを倒した者にならば、できるはずじゃ。			鬼の棲む島							
ほう、まがい物とはいえ、神の名を冠するスサノオを打ち倒すとは。それに、あの男によく似た、強い意志の光を放つ瞳……なるほど、爺さんが懸けてみたくなるのも、頷けるというものだ。			ほう、まがい物とはいえ、神の名を冠するスサノオを打ち倒すとは。それに、あの男によく似た、強い意志の光を放つ瞳……なるほど、爺さんが懸けてみたくなるのも、頷けるというものだ。			鬼の棲む島							
ほっほっほ、では、本題に移るとするかの。これより、神通力によって押さえ込んでいる、白虎のアラミタマを解き放つ……。			ほっほっほ、では、本題に移るとするかの。これより、神通力によって押さえ込んでいる、白虎のアラミタマを解き放つ……。			鬼の棲む島							
そ、そんなことをしたら、白虎さんが暴走してしまうのでっす！			そ、そんなことをしたら、白虎さんが暴走してしまうのでっす！			鬼の棲む島							
さよう。神通力を解けば、白虎の精神はアラミタマに飲み込まれ、荒ぶる物の怪へと墜ちるじゃろう。			さよう。神通力を解けば、白虎の精神はアラミタマに飲み込まれ、荒ぶる物の怪へと墜ちるじゃろう。			鬼の棲む島							
そこで、Forenameの出番よ。暴走する白虎のアラミタマを、討ち倒し鎮めるのじゃ！			そこで、Forenameの出番よ。暴走する白虎のアラミタマを、討ち倒し鎮めるのじゃ！			鬼の棲む島							
でもさぁ～、戦うことで鎮められるのなら、黄龍に対しても、そうすればいいんじゃないのぉ～？どうして、封印なんて回りくどいことをするのさぁ～！			でもさぁ～、戦うことで鎮められるのなら、黄龍に対しても、そうすればいいんじゃないのぉ～？どうして、封印なんて回りくどいことをするのさぁ～！			鬼の棲む島							
