革細工師ギルドのゲヴァは、紹介したい依頼があるようだ。			革細工師ギルドのゲヴァは、紹介したい依頼があるようだ。			博物学者と剥製師							
依頼者の「アテルーネ」は、木陰の東屋入口の辺りにいるはずよ。……依頼もそうだけど、彼女自身も独特だから、心しておいて。			依頼者の「アテルーネ」は、木陰の東屋入口の辺りにいるはずよ。……依頼もそうだけど、彼女自身も独特だから、心しておいて。			博物学者と剥製師							
はい、僕がエニオンですが……。もしや、あなたが剥製造りに協力してくれる革細工師さんですか！？			はい、僕がエニオンですが……。もしや、あなたが剥製造りに協力してくれる革細工師さんですか！？			博物学者と剥製師							
えっ、革細工師で、そのお名前……もしかして、ブランド「Forename」の！？うわぁ、そんな方と仕事ができるなんて……。			えっ、革細工師で、そのお名前……もしかして、ブランド「Forename」の！？うわぁ、そんな方と仕事ができるなんて……。			博物学者と剥製師							
しかし、大変な人から依頼を受けましたね……。あの人は、すぐ他人を弟子にするんですけど、弟子なんて言葉だけ、実質は下僕ですよ、下僕！			しかし、大変な人から依頼を受けましたね……。あの人は、すぐ他人を弟子にするんですけど、弟子なんて言葉だけ、実質は下僕ですよ、下僕！			博物学者と剥製師							
……あっ、すみません！でも、今回の剥製造りに関しては、アテルーネさんの言うことはもっともです。			……あっ、すみません！でも、今回の剥製造りに関しては、アテルーネさんの言うことはもっともです。			博物学者と剥製師							
趣味で始めた剥製造りですが、こんな形で貢献できるなら、僕も、これまでやって来た甲斐があるというものですよ！			趣味で始めた剥製造りですが、こんな形で貢献できるなら、僕も、これまでやって来た甲斐があるというものですよ！			博物学者と剥製師							
しかも、一流の革細工師のSurnameさんと、ともに事業にあたれるなんて、僕は幸せです！どうか、よろしくお願いしますね。			しかも、一流の革細工師のSurnameさんと、ともに事業にあたれるなんて、僕は幸せです！どうか、よろしくお願いしますね。			博物学者と剥製師							
では、そろそろ「アテルーネ」さんのところに戻りましょう。よーし、がんばりましょうね！			では、そろそろ「アテルーネ」さんのところに戻りましょう。よーし、がんばりましょうね！			博物学者と剥製師							
「エニオン」は、多分カーラインカフェにいるわよ。さっさと顔合わせを済ませていらっしゃい。			「エニオン」は、多分カーラインカフェにいるわよ。さっさと顔合わせを済ませていらっしゃい。			博物学者と剥製師							
ずいぶん遅かったわね……私を待たせるなんて、いい度胸だわ。まあ、これからふたりで協力して取り組んでもらうんだし、今日のところは許してあげましょう。			ずいぶん遅かったわね……私を待たせるなんて、いい度胸だわ。まあ、これからふたりで協力して取り組んでもらうんだし、今日のところは許してあげましょう。			博物学者と剥製師							
剥製造りの知識はあるけれど革加工の技術がない剥製師と、逆に、知識はないけれど腕利きの革細工師……			剥製造りの知識はあるけれど革加工の技術がない剥製師と、逆に、知識はないけれど腕利きの革細工師……			博物学者と剥製師							
キミたちが組み、博物学の巨星である私の監修が加われば、きっと、後世に残せる剥製ができるはず。それは、私の研究をさらなる高みに導くわ！			キミたちが組み、博物学の巨星である私の監修が加われば、きっと、後世に残せる剥製ができるはず。それは、私の研究をさらなる高みに導くわ！			博物学者と剥製師							
私のために、ふたりともよろしくね。さて、早速……といきたいところだけど、まだ剥製の展示場所が決まっていないの。			私のために、ふたりともよろしくね。さて、早速……といきたいところだけど、まだ剥製の展示場所が決まっていないの。			博物学者と剥製師							
ただ、ここグリダニアには、ゲヴァのように、自然と深く触れ合い、命を大切に考える人も多いわ。だから、このグリダニアのどこかに展示するつもりよ。			ただ、ここグリダニアには、ゲヴァのように、自然と深く触れ合い、命を大切に考える人も多いわ。だから、このグリダニアのどこかに展示するつもりよ。			博物学者と剥製師							
ゲヴァを頼りに、剥製を展示する場所を探してみるから、こちらの準備が整うまで、腕を磨いて待っていなさいな。			ゲヴァを頼りに、剥製を展示する場所を探してみるから、こちらの準備が整うまで、腕を磨いて待っていなさいな。			博物学者と剥製師							
「革細工師」の新たなクラスクエストが開始されました。次のクエストは「レベル63」以上で、木陰の東屋入口のアテルーネから受注可能です。			「革細工師」の新たなクラスクエストが開始されました。次のクエストは「レベル63」以上で、木陰の東屋入口のアテルーネから受注可能です。			博物学者と剥製師							
今後の「革細工師」のクラスクエスト受注条件は、コンプリート後のジャーナルで確認できます。			今後の「革細工師」のクラスクエスト受注条件は、コンプリート後のジャーナルで確認できます。			博物学者と剥製師							
Surnameさんと仕事ができて嬉しいです！どうか、よろしくお願いしますね！			Surnameさんと仕事ができて嬉しいです！どうか、よろしくお願いしますね！			博物学者と剥製師							
革細工師ギルドのゲヴァは、冒険者に仕事を頼みたいようだ。			革細工師ギルドのゲヴァは、冒険者に仕事を頼みたいようだ。			新進気鋭の商会							
前回までの冒険録：革細工師ギルドマスター、ゲヴァの厳しい修行に耐え、冒険者は革細工師として大きな成長を見せていた。一方、ギルドを敵視する新興の革細工ブランド「アンクル・ボサ」は、「品評会」の最高賞獲得を狙って様々な陰謀を巡らせる。そして迎えた「品評会」の日。冒険者のラプトルジャーキンが「アンクル・ボサ」の品を破り、最高賞を獲得する。多くの命を奪って作られたライバルの品とは対照的に、最小限の素材で最高の評価を勝ち取った愛弟子の成長に、ゲヴァは目を細めるのだった……。　　　　　　　　　　　　*　*　*ゲヴァから届け物を頼まれた。イシュガルドの宝杖通りにいる「エルド」に「ギルドの見本品」を渡そう。			前回までの冒険録：革細工師ギルドマスター、ゲヴァの厳しい修行に耐え、冒険者は革細工師として大きな成長を見せていた。一方、ギルドを敵視する新興の革細工ブランド「アンクル・ボサ」は、「品評会」の最高賞獲得を狙って様々な陰謀を巡らせる。そして迎えた「品評会」の日。冒険者のラプトルジャーキンが「アンクル・ボサ」の品を破り、最高賞を獲得する。多くの命を奪って作られたライバルの品とは対照的に、最小限の素材で最高の評価を勝ち取った愛弟子の成長に、ゲヴァは目を細めるのだった……。　　　　　　　　　　　　*　*　*ゲヴァから届け物を頼まれた。イシュガルドの宝杖通りにいる「エルド」に「ギルドの見本品」を渡そう。			新進気鋭の商会							
エルドにギルドの見本品を渡したところ、エルドの商会の相談役になってほしいと頼まれた。街が抱える問題を知るため、宝杖通りの「商人たち」と話そう。			エルドにギルドの見本品を渡したところ、エルドの商会の相談役になってほしいと頼まれた。街が抱える問題を知るため、宝杖通りの「商人たち」と話そう。			新進気鋭の商会							
宝杖通りの商人たちと話した。宝杖通りの「エルド」に報告しよう。			宝杖通りの商人たちと話した。宝杖通りの「エルド」に報告しよう。			新進気鋭の商会							
エルドに報告した。どうやら、エルドは、街の商習慣を変えて、平民に良い品を適価で売りたいようだ。革細工師の見聞を広めるためにも、エルドの商会の相談役になって、腕を振るってみよう。※革細工師のレベルが53以上になると、宝杖通りのエルドから次の革細工師クエストを受注することができます。			エルドに報告した。どうやら、エルドは、街の商習慣を変えて、平民に良い品を適価で売りたいようだ。革細工師の見聞を広めるためにも、エルドの商会の相談役になって、腕を振るってみよう。※革細工師のレベルが53以上になると、宝杖通りのエルドから次の革細工師クエストを受注することができます。			新進気鋭の商会							
イシュガルドのエルドにギルドの見本品を渡す			イシュガルドのエルドにギルドの見本品を渡す			新進気鋭の商会							
宝杖通りの商人たちと話す			宝杖通りの商人たちと話す			新進気鋭の商会							
エルドに報告			エルドに報告			新進気鋭の商会							
Forename、いいところに来てくれたわ。実は、珍しいところから依頼がきてね、あんたに頼みたいのよ。			Forename、いいところに来てくれたわ。実は、珍しいところから依頼がきてね、あんたに頼みたいのよ。			新進気鋭の商会							
なめし革の見本が欲しいって依頼なんだけど、依頼主というのが、山の都「イシュガルド」の商人でね。			なめし革の見本が欲しいって依頼なんだけど、依頼主というのが、山の都「イシュガルド」の商人でね。			新進気鋭の商会							
あんたに頼みたいのは、「ギルドの見本品」の配送だけど……もちろん、それだけじゃないわ。			あんたに頼みたいのは、「ギルドの見本品」の配送だけど……もちろん、それだけじゃないわ。			新進気鋭の商会							
もし、先方が大口の取引を希望してきたら、断ってほしいの。黒衣森の環境を考えれば、これ以上の増産は無理だからね。あんたの実力なら、その辺りの事情も説明できるでしょう。			もし、先方が大口の取引を希望してきたら、断ってほしいの。黒衣森の環境を考えれば、これ以上の増産は無理だからね。あんたの実力なら、その辺りの事情も説明できるでしょう。			新進気鋭の商会							
それじゃ、イシュガルドの「宝杖通り」にいる「エルド」さんに、その見本品を届けてちょうだい。頼んだわよ！			それじゃ、イシュガルドの「宝杖通り」にいる「エルド」さんに、その見本品を届けてちょうだい。頼んだわよ！			新進気鋭の商会							
それじゃ、イシュガルドの「宝杖通り」にいる「エルド」さんに、その見本品を届けてちょうだい。頼んだわよ！			それじゃ、イシュガルドの「宝杖通り」にいる「エルド」さんに、その見本品を届けてちょうだい。頼んだわよ！			新進気鋭の商会							
いらっしゃいませ！こちら看板を上げたばかりの、皮革用品店でございます。ぜひとも、お立ち寄りください。			いらっしゃいませ！こちら看板を上げたばかりの、皮革用品店でございます。ぜひとも、お立ち寄りください。			新進気鋭の商会							
……これは失礼しました！グリダニアの革細工師ギルドの方でしたか。では、さっそく見本品を拝見させていただきますね。			……これは失礼しました！グリダニアの革細工師ギルドの方でしたか。では、さっそく見本品を拝見させていただきますね。			新進気鋭の商会							
フムフム……さすがは本場の仕事、丹念になめされている。これでしたら、人気商品になること間違いなしですよ！では、千枚ほど、発注させていただきます！			フムフム……さすがは本場の仕事、丹念になめされている。これでしたら、人気商品になること間違いなしですよ！では、千枚ほど、発注させていただきます！			新進気鋭の商会							
えええっ……大量発注は無理！？……しかし、そういう事情なら仕方がないですね。黒衣森の資源を、枯渇させるわけにはいきませんし……。			えええっ……大量発注は無理！？……しかし、そういう事情なら仕方がないですね。黒衣森の資源を、枯渇させるわけにはいきませんし……。			新進気鋭の商会							
ところで……あなた、かなり腕利きの革細工師ですね？見本品を受け取ったときに、手を見せていただいたのですが、あなたは「職人の手」をしていました！			ところで……あなた、かなり腕利きの革細工師ですね？見本品を受け取ったときに、手を見せていただいたのですが、あなたは「職人の手」をしていました！			新進気鋭の商会							
どうです、我が商会の相談役になってもらえませんか？ちょうど、しがらみのない外部の人材を求めていたんですよ。			どうです、我が商会の相談役になってもらえませんか？ちょうど、しがらみのない外部の人材を求めていたんですよ。			新進気鋭の商会							
というのも、この街の商業界には、少々問題がありまして……。そうだ、客を装って、商人に取引を持ちかけてみてください。きっと現状を理解してもらえると思いますから。			というのも、この街の商業界には、少々問題がありまして……。そうだ、客を装って、商人に取引を持ちかけてみてください。きっと現状を理解してもらえると思いますから。			新進気鋭の商会							
客を装って、商人に取引を持ちかけてみてください。きっと現状を理解してもらえると思いますから。			客を装って、商人に取引を持ちかけてみてください。きっと現状を理解してもらえると思いますから。			新進気鋭の商会							
おや、平民のお客さんですね？それなら、お安いものを揃えてますよ。手間と材料費を、絞れるだけ絞って実現した、低価格です。			おや、平民のお客さんですね？それなら、お安いものを揃えてますよ。手間と材料費を、絞れるだけ絞って実現した、低価格です。			新進気鋭の商会							
いらっしゃいませ。お探しの物がございましたら、各店舗にお立ち寄りくださいな。			いらっしゃいませ。お探しの物がございましたら、各店舗にお立ち寄りくださいな。			新進気鋭の商会							
私どもは、幅広い層のお客さまに、商品をお売りしています。当然、その価格によって、品質も変わります。安い物には、安いなりの理由があるということですわ。			私どもは、幅広い層のお客さまに、商品をお売りしています。当然、その価格によって、品質も変わります。安い物には、安いなりの理由があるということですわ。			新進気鋭の商会							
……だから、貧乏人に売る物などないと言ってるだろっ！			……だから、貧乏人に売る物などないと言ってるだろっ！			新進気鋭の商会							
なにぃ……商品を見せてほしいだと？あんたが買えるような安物は、取り扱ってないもんでね。見るだけ無駄ってもんだ。			なにぃ……商品を見せてほしいだと？あんたが買えるような安物は、取り扱ってないもんでね。見るだけ無駄ってもんだ。			新進気鋭の商会							
……いかんいかん、こんなことしてる場合ではなかった。デュランデル伯爵への納品を急がねば。			……いかんいかん、こんなことしてる場合ではなかった。デュランデル伯爵への納品を急がねば。			新進気鋭の商会							
まともな品が欲しいだけなのに……。やっぱり、平民は粗悪品を持つしかないのか。			まともな品が欲しいだけなのに……。やっぱり、平民は粗悪品を持つしかないのか。			新進気鋭の商会							
まともな品が欲しいだけなのに……。やっぱり、平民は粗悪品を持つしかないのか。			まともな品が欲しいだけなのに……。やっぱり、平民は粗悪品を持つしかないのか。			新進気鋭の商会							
カミさんにプレゼントする、カバンがほしいなと思ってさ。……さっきから物色してたんだが、どれも良さげで迷うね。			カミさんにプレゼントする、カバンがほしいなと思ってさ。……さっきから物色してたんだが、どれも良さげで迷うね。			新進気鋭の商会							
ありがとうございます！でも、今度さらに良い品が入荷する予定ですよ。お急ぎでなければ、それまで待つのも手かと。			ありがとうございます！でも、今度さらに良い品が入荷する予定ですよ。お急ぎでなければ、それまで待つのも手かと。			新進気鋭の商会							
へぇ、良心的なお店だね。それじゃあ、その良い品とやらを予約させてもらおうかな。			へぇ、良心的なお店だね。それじゃあ、その良い品とやらを予約させてもらおうかな。			新進気鋭の商会							
……あら、お帰りなさい。どうです、少しはこの街の商業界が抱える問題が、おわかりになりましたか？			……あら、お帰りなさい。どうです、少しはこの街の商業界が抱える問題が、おわかりになりましたか？			新進気鋭の商会							
商売で財を成そうとすれば、貴族の顔色を覗う、御用商人になるしかないのです。その結果、平民が手にできる物は、粗悪な品ばかりという有様。			商売で財を成そうとすれば、貴族の顔色を覗う、御用商人になるしかないのです。その結果、平民が手にできる物は、粗悪な品ばかりという有様。			新進気鋭の商会							
職人さんも、贅を尽くした高級品か、手抜きの安物を作るか、理不尽な二択を迫られている状況……。			職人さんも、贅を尽くした高級品か、手抜きの安物を作るか、理不尽な二択を迫られている状況……。			新進気鋭の商会							
商人の仕事は、お客様が望む品を適価で売ること……。だというのに、今の皇都では、平民向けに良い商品を届けることができなくなっています。			商人の仕事は、お客様が望む品を適価で売ること……。だというのに、今の皇都では、平民向けに良い商品を届けることができなくなっています。			新進気鋭の商会							
私は、皆が満足して買える商品を届けたい……。そう思って、この皮革用品店を立ち上げました。			私は、皆が満足して買える商品を届けたい……。そう思って、この皮革用品店を立ち上げました。			新進気鋭の商会							
もし、私の考えに賛同してくださり、我が商会の相談役を引き受けていただけるのなら、またここに来ていただけますか、よろしくお願いいたします。			もし、私の考えに賛同してくださり、我が商会の相談役を引き受けていただけるのなら、またここに来ていただけますか、よろしくお願いいたします。			新進気鋭の商会							
「革細工師」の新たなクラスクエストが開始されました。次のクエストは「レベル53」以上で、宝杖通りのエルドから受注可能です。			「革細工師」の新たなクラスクエストが開始されました。次のクエストは「レベル53」以上で、宝杖通りのエルドから受注可能です。			新進気鋭の商会							
今後の「革細工師」のクラスクエスト受注条件は、コンプリート後のジャーナルで確認できます。			今後の「革細工師」のクラスクエスト受注条件は、コンプリート後のジャーナルで確認できます。			新進気鋭の商会							
また、新たな依頼「収集品取引」が受けられます。イシュガルドの聖レネット広場にいる、「モルゲイン」を訪ねてみましょう。			また、新たな依頼「収集品取引」が受けられます。イシュガルドの聖レネット広場にいる、「モルゲイン」を訪ねてみましょう。			新進気鋭の商会							
さらに、熟練の職人だけが製作可能な、難度の高い製品の製法が記されたレシピ帳、「秘伝書」が入手できるようになります。			さらに、熟練の職人だけが製作可能な、難度の高い製品の製法が記されたレシピ帳、「秘伝書」が入手できるようになります。			新進気鋭の商会							
レヴナンツトールにいる、「ガイディング・スター」を訪ねてみましょう。			レヴナンツトールにいる、「ガイディング・スター」を訪ねてみましょう。			新進気鋭の商会							
木陰の東屋入口周辺のアテルーネは、剥製を造る準備ができたようだ。			木陰の東屋入口周辺のアテルーネは、剥製を造る準備ができたようだ。			はじめての剥製造り							
アテルーネと話した。剥製を飾る場所は、革細工師ギルドの敷地内に決まったらしい。「ヘネガダルメル」の剥製を造るため、バヌバヌ族に話を聞くことになった。待ち合わせ場所のアバラシア雲海のオク・ズンド付近で「アテルーネ」と話そう。			アテルーネと話した。剥製を飾る場所は、革細工師ギルドの敷地内に決まったらしい。「ヘネガダルメル」の剥製を造るため、バヌバヌ族に話を聞くことになった。待ち合わせ場所のアバラシア雲海のオク・ズンド付近で「アテルーネ」と話そう。			はじめての剥製造り							
アテルーネと話した。アテルーネはオク・ズンドの長老と話がしたいようだ。オク・ズンドの「ソヌバヌ」と話そう。			アテルーネと話した。アテルーネはオク・ズンドの長老と話がしたいようだ。オク・ズンドの「ソヌバヌ」と話そう。			はじめての剥製造り							
ソヌバヌと話した。好意により、「ヘネガダルメル」の死骸を探してもらえることになったが、アテルーネから、エニオンと共にダルメルの観察に行くよう指示された。オク・ズンド南東の「指定地点」で「大きなダルメル」の「全身」を観察しよう。			ソヌバヌと話した。好意により、「ヘネガダルメル」の死骸を探してもらえることになったが、アテルーネから、エニオンと共にダルメルの観察に行くよう指示された。オク・ズンド南東の「指定地点」で「大きなダルメル」の「全身」を観察しよう。			はじめての剥製造り							
ダルメルを観察した。オク・ズンドに戻り「アテルーネ」に報告しよう。			ダルメルを観察した。オク・ズンドに戻り「アテルーネ」に報告しよう。			はじめての剥製造り							
アテルーネに報告した。「ヘネガダルメル」の死骸も無事手に入ったため、グリダニアへ戻るという。グリダニアの革細工師ギルド空き地で「アテルーネ」と話そう。			アテルーネに報告した。「ヘネガダルメル」の死骸も無事手に入ったため、グリダニアへ戻るという。グリダニアの革細工師ギルド空き地で「アテルーネ」と話そう。			はじめての剥製造り							
アテルーネと話した。アテルーネから、剥製の材料となる「剥製用ダルメルの毛皮」の製作を依頼された。「ヘネガダルメルの粗皮」をもとに「剥製用ダルメルの毛皮」を製作し、革細工師ギルド付近の「エニオン」に納品しよう。※「ヘネガダルメルの粗皮」を失った場合は、アテルーネに話しかけましょう。材料を入手し、再挑戦が可能になります。			アテルーネと話した。アテルーネから、剥製の材料となる「剥製用ダルメルの毛皮」の製作を依頼された。「ヘネガダルメルの粗皮」をもとに「剥製用ダルメルの毛皮」を製作し、革細工師ギルド付近の「エニオン」に納品しよう。※「ヘネガダルメルの粗皮」を失った場合は、アテルーネに話しかけましょう。材料を入手し、再挑戦が可能になります。			はじめての剥製造り							
エニオンに剥製用ダルメルの毛皮を納品した。冒険者の製作した剥製用ダルメルの毛皮を使い、「ヘネガダルメル」の剥製が完成した。これで、革の材料になった動物の姿が、グリダニアの人々に伝わりそうだ。人々の反応を待ちながら、革細工の腕を磨いていこう。※革細工師のレベルが65以上になると、革細工師ギルド付近のアテルーネから次の革細工師クエストを受注することができます。			エニオンに剥製用ダルメルの毛皮を納品した。冒険者の製作した剥製用ダルメルの毛皮を使い、「ヘネガダルメル」の剥製が完成した。これで、革の材料になった動物の姿が、グリダニアの人々に伝わりそうだ。人々の反応を待ちながら、革細工の腕を磨いていこう。※革細工師のレベルが65以上になると、革細工師ギルド付近のアテルーネから次の革細工師クエストを受注することができます。			はじめての剥製造り							
オク・ズンドのアテルーネと話す			オク・ズンドのアテルーネと話す			はじめての剥製造り							
ソヌバヌと話す			ソヌバヌと話す			はじめての剥製造り							
指定地点で見渡し、ダルメルを観察する			指定地点で見渡し、ダルメルを観察する			はじめての剥製造り							
アテルーネに報告			アテルーネに報告			はじめての剥製造り							
革細工師ギルド付近のアテルーネと話す			革細工師ギルド付近のアテルーネと話す			はじめての剥製造り							
製作手帳 クラスクエスト：剥製用ダルメルの毛皮を製作剥製用ダルメルの毛皮をエニオンに納品			製作手帳 クラスクエスト：剥製用ダルメルの毛皮を製作剥製用ダルメルの毛皮をエニオンに納品			はじめての剥製造り							
やってきたわね、Forename。ようやく剥製の展示場所が決まったわ！ゲヴァが、革細工師ギルド下の、空き地を使う許可をくれたの。			やってきたわね、Forename。ようやく剥製の展示場所が決まったわ！ゲヴァが、革細工師ギルド下の、空き地を使う許可をくれたの。			はじめての剥製造り							
私の事業に理解を示してくれたのと、キミが関わるなら、ギルドの宣伝にもなると考えたみたいね。ともかく、準備はできたから、剥製第一号を造りはじめましょう！			私の事業に理解を示してくれたのと、キミが関わるなら、ギルドの宣伝にもなると考えたみたいね。ともかく、準備はできたから、剥製第一号を造りはじめましょう！			はじめての剥製造り							
最初に造ってほしいのは、「ダルメル」ちゃんの剥製。あのながぁい首には、誰もが注目せざるを得ないはずよ。この事業を広く知ってもらうには、うってつけってわけ！			最初に造ってほしいのは、「ダルメル」ちゃんの剥製。あのながぁい首には、誰もが注目せざるを得ないはずよ。この事業を広く知ってもらうには、うってつけってわけ！			はじめての剥製造り							
それも、そこらにいるダルメルを剥製にするわけじゃないわ。絶滅が危惧されている「ヘネガダルメル」の剥製を造りたいの！			それも、そこらにいるダルメルを剥製にするわけじゃないわ。絶滅が危惧されている「ヘネガダルメル」の剥製を造りたいの！			はじめての剥製造り							
