斧術士ギルドマスターのヴィルンズーンが、冒険者に伝えたいことがあるようだ。			斧術士ギルドマスターのヴィルンズーンが、冒険者に伝えたいことがあるようだ。			宿縁を断ち切る日							
おれ……大きくなったら姉ちゃん兄ちゃんみたいになりたい。姉ちゃん兄ちゃんみたいに、誰かを守れるようになりたい。			おれ……大きくなったら姉ちゃん兄ちゃんみたいになりたい。姉ちゃん兄ちゃんみたいに、誰かを守れるようになりたい。			宿縁を断ち切る日							
なれるとも。Forename Surnameを目標にすれば、必ずな。			なれるとも。Forename Surnameを目標にすれば、必ずな。			宿縁を断ち切る日							
おれも……おれも！姉ちゃん兄ちゃんみたいな斧術士になりたい！いや、なるよ！　絶対になる！			おれも……おれも！姉ちゃん兄ちゃんみたいな斧術士になりたい！いや、なるよ！　絶対になる！			宿縁を断ち切る日							
だからそのときは……おれにいっぱい、斧術士のこと教えてくれよな。絶対だからな！			だからそのときは……おれにいっぱい、斧術士のこと教えてくれよな。絶対だからな！			宿縁を断ち切る日							
よくやった、Forename……！お前はやり遂げた、少年との約束を守ったのだ。			よくやった、Forename……！お前はやり遂げた、少年との約束を守ったのだ。			宿縁を断ち切る日							
さあ、胸を張れForename！凱旋だ、斧術士ギルドへと帰ろう！！			さあ、胸を張れForename！凱旋だ、斧術士ギルドへと帰ろう！！			宿縁を断ち切る日							
やったじゃないの、Forename！アタシはね、最初にアンタと会った時から、やる時はやる奴だって、わかってたよォ！			やったじゃないの、Forename！アタシはね、最初にアンタと会った時から、やる時はやる奴だって、わかってたよォ！			宿縁を断ち切る日							
……すごい奴だよ、お前は。まさか本当に、クジャタを倒しちまうなんてな。賞賛の言葉しか、頭に浮かんでこない……。			……すごい奴だよ、お前は。まさか本当に、クジャタを倒しちまうなんてな。賞賛の言葉しか、頭に浮かんでこない……。			宿縁を断ち切る日							
本当に、見事だったぞForename。よくぞここまで、己を鍛え上げた。			本当に、見事だったぞForename。よくぞここまで、己を鍛え上げた。			宿縁を断ち切る日							
ギルドマスターとして、俺の持つ最後の秘技をお前に託そう。その名を「スリル・オブ・バトル」……！			ギルドマスターとして、俺の持つ最後の秘技をお前に託そう。その名を「スリル・オブ・バトル」……！			宿縁を断ち切る日							
この技は己を奮い立たせることによって、しばらく体力の限界を超えることができるというものだ……。			この技は己を奮い立たせることによって、しばらく体力の限界を超えることができるというものだ……。			宿縁を断ち切る日							
これでもう、俺からお前に教えることはなくなった。ギルドの誇りを胸に、さらなる高みを目指すがいい。			これでもう、俺からお前に教えることはなくなった。ギルドの誇りを胸に、さらなる高みを目指すがいい。			宿縁を断ち切る日							
お前はバイルブランド島を出港した一艘の舟だ。だが、これからも出会ったことのない強敵や難敵、そして試練にぶつかるやもしれん。			お前はバイルブランド島を出港した一艘の舟だ。だが、これからも出会ったことのない強敵や難敵、そして試練にぶつかるやもしれん。			宿縁を断ち切る日							
Forename、斧術士という大海の果てを目指せ。そして、いつかその果てに達したその時には……その姿を、俺に見せてくれ。			Forename、斧術士という大海の果てを目指せ。そして、いつかその果てに達したその時には……その姿を、俺に見せてくれ。			宿縁を断ち切る日							
クジャタを倒せ！			クジャタを倒せ！			宿縁を断ち切る日							
いよいよ来たねェ、この時が！気合入れなよ、Forename！			いよいよ来たねェ、この時が！気合入れなよ、Forename！			宿縁を断ち切る日							
ハイエナどもはオレに任せておけ！お前はクジャタを倒すことに集中するんだ！			ハイエナどもはオレに任せておけ！お前はクジャタを倒すことに集中するんだ！			宿縁を断ち切る日							
気をつけな、敵の雰囲気が変わったよォ！			気をつけな、敵の雰囲気が変わったよォ！			宿縁を断ち切る日							
この技……回復魔法の効果を下げるのかい！			この技……回復魔法の効果を下げるのかい！			宿縁を断ち切る日							
まったく、やっかいな技を使うね！襲われた人たちの傷が、治りにくいわけだよ！			まったく、やっかいな技を使うね！襲われた人たちの傷が、治りにくいわけだよ！			宿縁を断ち切る日							
まずい、回復魔法が間に合わないッ……！			まずい、回復魔法が間に合わないッ……！			宿縁を断ち切る日							
くそおっ、キリがねぇっ！Forename、早くケリをつけてくれ！			くそおっ、キリがねぇっ！Forename、早くケリをつけてくれ！			宿縁を断ち切る日							
Forename、あとは頼んだぜ……			Forename、あとは頼んだぜ……			宿縁を断ち切る日							
ここまでみたいだねェ……			ここまでみたいだねェ……			宿縁を断ち切る日							
斧術士ギルドマスターのヴィルンズーンが、前回の反省を生かした試練を、Forenameに与えようとしているようだ。			斧術士ギルドマスターのヴィルンズーンが、前回の反省を生かした試練を、Forenameに与えようとしているようだ。			乗り越えるべき壁							
ヴィルンズーンは、今のままではクジャタを倒すことはできないと判断し、Forenameに特訓を行うことを決定した。まずは、レストラン「ビスマルク」にいる「ソルクウィブ」と話そう。			ヴィルンズーンは、今のままではクジャタを倒すことはできないと判断し、Forenameに特訓を行うことを決定した。まずは、レストラン「ビスマルク」にいる「ソルクウィブ」と話そう。			乗り越えるべき壁							
ソルクウィブと話したところ、彼女も特訓に同行してくれるようだ。特訓の舞台である低地ラノシアの「ソルトストランド」へ向かい、「ソルクウィブ」と話そう。			ソルクウィブと話したところ、彼女も特訓に同行してくれるようだ。特訓の舞台である低地ラノシアの「ソルトストランド」へ向かい、「ソルクウィブ」と話そう。			乗り越えるべき壁							
ソルトストランドに行き特訓を始めると、仮面をかぶった謎の男たちの集団に襲われた。しかし、撃退することに成功する冒険者たち。敗れた謎の男たちは、そのままソルトストランドから立ち去ったようだ。ことの次第を、斧術士ギルドの「ヴィルンズーン」に報告しよう。			ソルトストランドに行き特訓を始めると、仮面をかぶった謎の男たちの集団に襲われた。しかし、撃退することに成功する冒険者たち。敗れた謎の男たちは、そのままソルトストランドから立ち去ったようだ。ことの次第を、斧術士ギルドの「ヴィルンズーン」に報告しよう。			乗り越えるべき壁							
特訓の報告をしたところ、ヴィルンズーンは、謎の男たちについて多くを語らなかった。しかし、冒険者の実力を認め、ついに斧術士ギルドの代表として、クジャタと戦うことを認めてくれた。クジャタとの決戦に備え、腕を磨き続けよう。※斧術士のレベルが30以上になると、ヴィルンズーンから次の斧術士クエストを受注することができます。			特訓の報告をしたところ、ヴィルンズーンは、謎の男たちについて多くを語らなかった。しかし、冒険者の実力を認め、ついに斧術士ギルドの代表として、クジャタと戦うことを認めてくれた。クジャタとの決戦に備え、腕を磨き続けよう。※斧術士のレベルが30以上になると、ヴィルンズーンから次の斧術士クエストを受注することができます。			乗り越えるべき壁							
レストラン「ビスマルク」にいるソルクウィブと話す			レストラン「ビスマルク」にいるソルクウィブと話す			乗り越えるべき壁							
ソルトストランドにいるソルクウィブと話す			ソルトストランドにいるソルクウィブと話す			乗り越えるべき壁							
斧術士ギルドのヴィルンズーンに報告			斧術士ギルドのヴィルンズーンに報告			乗り越えるべき壁							
先日の一件について、ずっと俺は考えていた。奴らの群れの「密度」は、俺の想像以上だった。斧術士の剛力をもってしても、払いきれぬほどのな。			先日の一件について、ずっと俺は考えていた。奴らの群れの「密度」は、俺の想像以上だった。斧術士の剛力をもってしても、払いきれぬほどのな。			乗り越えるべき壁							
おそらく、あの群れを打ち払わねば、クジャタに辿り着くことすらできぬ……。だが、それさえ叶えば、クジャタに刃も届こう。			おそらく、あの群れを打ち払わねば、クジャタに辿り着くことすらできぬ……。だが、それさえ叶えば、クジャタに刃も届こう。			乗り越えるべき壁							
群れをさばく強さを得る、そのための試練を用意した！詳細は、「ソルクウィブ」から聞くがいい。あいつなら、レストラン「ビスマルク」にいるだろう。			群れをさばく強さを得る、そのための試練を用意した！詳細は、「ソルクウィブ」から聞くがいい。あいつなら、レストラン「ビスマルク」にいるだろう。			乗り越えるべき壁							
Forenameよ、必ずやクジャタを倒す力をつけてみせよ！斧術士ギルドの誇りも、お前の双肩にかかっているぞ！！			Forenameよ、必ずやクジャタを倒す力をつけてみせよ！斧術士ギルドの誇りも、お前の双肩にかかっているぞ！！			乗り越えるべき壁							
斧術士ギルドの誇りを背負う……か。ずいぶんと大変な役割を任されたみたいじゃないか。だが、アタイもアンタがやるべきだと思う。			斧術士ギルドの誇りを背負う……か。ずいぶんと大変な役割を任されたみたいじゃないか。だが、アタイもアンタがやるべきだと思う。			乗り越えるべき壁							
これは何より、あの坊やの仇討ちだからね。憧れられたアンタをおいて、他に誰がやるってのさ。			これは何より、あの坊やの仇討ちだからね。憧れられたアンタをおいて、他に誰がやるってのさ。			乗り越えるべき壁							
さ、そのための試練を気張ろうじゃないか。場所は、低地ラノシアの「ソルトストランド」だ。アタイもつきあうからさ、現地で落ち合おう！			さ、そのための試練を気張ろうじゃないか。場所は、低地ラノシアの「ソルトストランド」だ。アタイもつきあうからさ、現地で落ち合おう！			乗り越えるべき壁							
ここがアニキの指定した場所だけど……ぬるりと……イヤーな気配が近付いてるのがわかる。斧を抜きな、何かあるよォ！			ここがアニキの指定した場所だけど……ぬるりと……イヤーな気配が近付いてるのがわかる。斧を抜きな、何かあるよォ！			乗り越えるべき壁							
クエスト「乗り越えるべき壁」のバトルを開始しますか？			クエスト「乗り越えるべき壁」のバトルを開始しますか？			乗り越えるべき壁							
はい 			はい 			乗り越えるべき壁							
いいえ			いいえ			乗り越えるべき壁							
あらかた片づいたみたいだね。試練ってわりには、ずいぶんと……？			あらかた片づいたみたいだね。試練ってわりには、ずいぶんと……？			乗り越えるべき壁							
(-？？？？-)貴様がForename Surnameだな……？			(-？？？？-)貴様がForename Surnameだな……？			乗り越えるべき壁							
誰だいっ！？			誰だいっ！？			乗り越えるべき壁							
(-？？？？-)故あって、我らの挑戦受けてもらう！いざ、尋常に勝負ッ！！			(-？？？？-)故あって、我らの挑戦受けてもらう！いざ、尋常に勝負ッ！！			乗り越えるべき壁							
バ、バカアニキ……！？			バ、バカアニキ……！？			乗り越えるべき壁							
ほう、こやつらを容易く倒してのけるとは……。フッフフ……やはり俺が出なくては無理か。			ほう、こやつらを容易く倒してのけるとは……。フッフフ……やはり俺が出なくては無理か。			乗り越えるべき壁							
お前の強さを示してみせよ、Forename Surname！！さもなくば我が斧の一撃にて、貴様の命を圧し斬るぞッ！！			お前の強さを示してみせよ、Forename Surname！！さもなくば我が斧の一撃にて、貴様の命を圧し斬るぞッ！！			乗り越えるべき壁							
見事だ……お前の力は、俺の予想を超えていた。うむ、これならば……。			見事だ……お前の力は、俺の予想を超えていた。うむ、これならば……。			乗り越えるべき壁							
お前たち、引き上げるぞ！まさか、立てぬ者はおるまいな？			お前たち、引き上げるぞ！まさか、立てぬ者はおるまいな？			乗り越えるべき壁							
本当に、見事であったぞForename！お前ならば、必ずや……！			本当に、見事であったぞForename！お前ならば、必ずや……！			乗り越えるべき壁							
ふぅ、やれやれ……アニキの奴、まさかアレで正体バレてないつもりなのかね？不器用というか、なんというか……ねぇ。			ふぅ、やれやれ……アニキの奴、まさかアレで正体バレてないつもりなのかね？不器用というか、なんというか……ねぇ。			乗り越えるべき壁							
もちろん、アニキは悪気があってやったわけじゃない。実戦を通して、アンタを鍛えようって思ったんだろうね。その思いやりは、受け取ってやっとくれ。			もちろん、アニキは悪気があってやったわけじゃない。実戦を通して、アンタを鍛えようって思ったんだろうね。その思いやりは、受け取ってやっとくれ。			乗り越えるべき壁							
さ、斧術士ギルドに戻るよ、Forename。戻っても、気付かなかったフリをしておくれよ？アニキの顔は、立ててやらないと。			さ、斧術士ギルドに戻るよ、Forename。戻っても、気付かなかったフリをしておくれよ？アニキの顔は、立ててやらないと。			乗り越えるべき壁							
うむ、話は聞いている。こちらが用意していた以上の難敵に出会ったようだが、よくぞ切り抜けた。			うむ、話は聞いている。こちらが用意していた以上の難敵に出会ったようだが、よくぞ切り抜けた。			乗り越えるべき壁							
……仮面の男たちが何者であるかは、今は問うまい。確かなのは、お前が難関を見事に乗り越えたこと。その揺るぎない事実だけが大切なのだ。			……仮面の男たちが何者であるかは、今は問うまい。確かなのは、お前が難関を見事に乗り越えたこと。その揺るぎない事実だけが大切なのだ。			乗り越えるべき壁							
斧術士ギルド全ての者が、お前の背中を後押ししよう。お前こそがギルドの代表であると、胸を張って語ろう。			斧術士ギルド全ての者が、お前の背中を後押ししよう。お前こそがギルドの代表であると、胸を張って語ろう。			乗り越えるべき壁							
そうだ、お前が倒せぬなら、クジャタはもはや誰にも倒せまい。奴が現れるまで、遺された時間、腕を磨き続けるのだ。			そうだ、お前が倒せぬなら、クジャタはもはや誰にも倒せまい。奴が現れるまで、遺された時間、腕を磨き続けるのだ。			乗り越えるべき壁							
モラビー・ヘッジモールたちを倒せ			モラビー・ヘッジモールたちを倒せ			乗り越えるべき壁							
知人に似た男たちを倒せ			知人に似た男たちを倒せ			乗り越えるべき壁							
ギルドマスターに似た男を倒せ			ギルドマスターに似た男を倒せ			乗り越えるべき壁							
こんな奴ら、とっとと片づけちまうよ！			こんな奴ら、とっとと片づけちまうよ！			乗り越えるべき壁							
なにやってんだい、アンタたちはァ！？			なにやってんだい、アンタたちはァ！？			乗り越えるべき壁							
ともかく、負けるわけにはいかないよォ！			ともかく、負けるわけにはいかないよォ！			乗り越えるべき壁							
ちぃ、ホントにしつこい奴らだねェ！			ちぃ、ホントにしつこい奴らだねェ！			乗り越えるべき壁							
まだ出てくる！　一体何人いるんだい！			まだ出てくる！　一体何人いるんだい！			乗り越えるべき壁							
Forename、気を引き締めな！お遊びじゃないみたいだよォ！			Forename、気を引き締めな！お遊びじゃないみたいだよォ！			乗り越えるべき壁							
貴様の力、見定めてやろう！			貴様の力、見定めてやろう！			乗り越えるべき壁							
貴様の力はこの程度か？これでは本気を出すまでもない……！			貴様の力はこの程度か？これでは本気を出すまでもない……！			乗り越えるべき壁							
俺を相手に、よくぞここまで抗うものよ。どうやら、本気を出さねばならんようだ！			俺を相手に、よくぞここまで抗うものよ。どうやら、本気を出さねばならんようだ！			乗り越えるべき壁							
斧術士ギルドマスターのヴィルンズーンが、冒険者に緊急事態を伝えたいようだ。			斧術士ギルドマスターのヴィルンズーンが、冒険者に緊急事態を伝えたいようだ。			移動山脈クジャタ							
シガードが行方不明になったらしい。レストラン「ビスマルク」にいる「ソルクウィブ」に相談しよう。			シガードが行方不明になったらしい。レストラン「ビスマルク」にいる「ソルクウィブ」に相談しよう。			移動山脈クジャタ							
ソルクウィブは、まずは事件の詳細を聞くよう提案した。低地ラノシアの「レッドルースター農場」にいるシガードの祖父「ネッダード」と話そう。			ソルクウィブは、まずは事件の詳細を聞くよう提案した。低地ラノシアの「レッドルースター農場」にいるシガードの祖父「ネッダード」と話そう。			移動山脈クジャタ							
ネッダードによると、シガードは魔物が現れたという西ラノシア方面へ向かったらしい。「ソルクウィブ」に相談してみよう。			ネッダードによると、シガードは魔物が現れたという西ラノシア方面へ向かったらしい。「ソルクウィブ」に相談してみよう。			移動山脈クジャタ							
西ラノシアの「エールポート」にいる警備兵「ファールシュティム」から話を聞こう。			西ラノシアの「エールポート」にいる警備兵「ファールシュティム」から話を聞こう。			移動山脈クジャタ							
ファールシュティムは、少年の手がかりが落ちているかもしれないと教えてくれた。「エールポート」周辺で、「少年の手がかり」を探そう。			ファールシュティムは、少年の手がかりが落ちているかもしれないと教えてくれた。「エールポート」周辺で、「少年の手がかり」を探そう。			移動山脈クジャタ							
少年の手がかりを探すものの、魔物が出てくるばかりで本人が見つからない。「エールポート」付近にて、独自に手がかりを探している「ソルクウィブ」に話を聞こう。			少年の手がかりを探すものの、魔物が出てくるばかりで本人が見つからない。「エールポート」付近にて、独自に手がかりを探している「ソルクウィブ」に話を聞こう。			移動山脈クジャタ							
冒険者がクジャタの手下を倒して手薄になった包囲を突き、ヴィルンズーンが現れて、シガードを助け出した。低地ラノシアの「レッドルースター農場」で待つ「ネッダード」に、ことのあらましを報告しよう。			冒険者がクジャタの手下を倒して手薄になった包囲を突き、ヴィルンズーンが現れて、シガードを助け出した。低地ラノシアの「レッドルースター農場」で待つ「ネッダード」に、ことのあらましを報告しよう。			移動山脈クジャタ							
ネッダードは、冒険者の報告を聞き、苦労をねぎらってくれた。しかしこれ以上、シガードのそばにいてもできることは何もない。「斧術士ギルド」に戻り、「ヴィルンズーン」と今後について相談しよう。			ネッダードは、冒険者の報告を聞き、苦労をねぎらってくれた。しかしこれ以上、シガードのそばにいてもできることは何もない。「斧術士ギルド」に戻り、「ヴィルンズーン」と今後について相談しよう。			移動山脈クジャタ							
ヴィルンズーンは、シガードの意思を汲み取ってやりたいと考えているようだ。冒険者自身の手でクジャタを討つべく、さらなる修行に励もう。※斧術士のレベルが25以上になると、ヴィルンズーンから次の斧術士クエストを受注することができます。			ヴィルンズーンは、シガードの意思を汲み取ってやりたいと考えているようだ。冒険者自身の手でクジャタを討つべく、さらなる修行に励もう。※斧術士のレベルが25以上になると、ヴィルンズーンから次の斧術士クエストを受注することができます。			移動山脈クジャタ							
レストラン「ビスマルク」にいるソルクウィブと話す			レストラン「ビスマルク」にいるソルクウィブと話す			移動山脈クジャタ							
レッドルースター農場のネッダードと話す			レッドルースター農場のネッダードと話す			移動山脈クジャタ							
ソルクウィブと話す			ソルクウィブと話す			移動山脈クジャタ							
エールポートのファールシュティムと話す			エールポートのファールシュティムと話す			移動山脈クジャタ							
シガードの落とした手がかりを調べる			シガードの落とした手がかりを調べる			移動山脈クジャタ							
ソルクウィブと話す			ソルクウィブと話す			移動山脈クジャタ							
レッドルースター農場のネッダードと話す			レッドルースター農場のネッダードと話す			移動山脈クジャタ							
斧術士ギルドのヴィルンズーンと話す			斧術士ギルドのヴィルンズーンと話す			移動山脈クジャタ							
……緊急事態が起きた。悪いが、お前に対応してもらいたい。いや……Forename、お前がやらねばならぬのだ。			……緊急事態が起きた。悪いが、お前に対応してもらいたい。いや……Forename、お前がやらねばならぬのだ。			移動山脈クジャタ							
両親をクジャタに殺されたシガードという少年……彼の祖父から連絡があった。			両親をクジャタに殺されたシガードという少年……彼の祖父から連絡があった。			移動山脈クジャタ							
少年が、行方知れずになったらしい。クジャタが姿を見せたという噂を聞いて、飛び出してしまったようなのだ。			少年が、行方知れずになったらしい。クジャタが姿を見せたという噂を聞いて、飛び出してしまったようなのだ。			移動山脈クジャタ							
……まずは我が妹「ソルクウィブ」から助言を仰げ。少年の事情を知るあいつなら、適切にお前を導けよう。今なら、レストラン「ビスマルク」にいるはずだ。			……まずは我が妹「ソルクウィブ」から助言を仰げ。少年の事情を知るあいつなら、適切にお前を導けよう。今なら、レストラン「ビスマルク」にいるはずだ。			移動山脈クジャタ							
