星戦士団本営の星戦士団の哨兵は、目玉の妖異を見張っている。			星戦士団本営の星戦士団の哨兵は、目玉の妖異を見張っている。			続・ヴォイドの傍観者							
それでオイラも、永遠に続く日常から抜け出したくテ、コッチの世界に憧れてたのサ。			それでオイラも、永遠に続く日常から抜け出したくテ、コッチの世界に憧れてたのサ。			続・ヴォイドの傍観者							
あんなアニキでも、ホントのとこは優しかったんだゾ！釣りが下手なオイラのコトだって、いつも気にかけてくれてテ。			あんなアニキでも、ホントのとこは優しかったんだゾ！釣りが下手なオイラのコトだって、いつも気にかけてくれてテ。			続・ヴォイドの傍観者							
あれからアニキも妖異になっちまったんだろうケド、もしコッチの世界に来られてたら、見つけてたと思うんだヨ。マトモな「生きる意味」ってヤツを、ナ……。			あれからアニキも妖異になっちまったんだろうケド、もしコッチの世界に来られてたら、見つけてたと思うんだヨ。マトモな「生きる意味」ってヤツを、ナ……。			続・ヴォイドの傍観者							
ヘヘッ、アンタのおかげで、久々に懐かしいヒトのコトを思い出せたヨ。それじゃオイラ、みんなのトコロに戻ル！			ヘヘッ、アンタのおかげで、久々に懐かしいヒトのコトを思い出せたヨ。それじゃオイラ、みんなのトコロに戻ル！			続・ヴォイドの傍観者							
ムムッ、ニンゲンがボクに何の用ダ？			ムムッ、ニンゲンがボクに何の用ダ？			続・ヴォイドの傍観者							
そうか、ボクらはみんな無事なんだネ！？カラダを張って逃がした甲斐があったヨ……。			そうか、ボクらはみんな無事なんだネ！？カラダを張って逃がした甲斐があったヨ……。			続・ヴォイドの傍観者							
ボクら、門を抜けてコッチの世界へやってきてすぐ、ヘンな石の傀儡どもに襲われてしまっタ。それでボクが注意を惹きつけて、逃げ回ってたんダ。			ボクら、門を抜けてコッチの世界へやってきてすぐ、ヘンな石の傀儡どもに襲われてしまっタ。それでボクが注意を惹きつけて、逃げ回ってたんダ。			続・ヴォイドの傍観者							
キミたちニンゲンは、オタカラとやらを、ああやって厳重に守ってるんだロ？どうやら、目の前の建物も、似たような場所みたいだネ。			キミたちニンゲンは、オタカラとやらを、ああやって厳重に守ってるんだロ？どうやら、目の前の建物も、似たような場所みたいだネ。			続・ヴォイドの傍観者							
この宝物庫の中は、お宝がざっくざくらしい。転送紋の刻まれた宝箱を見つけなきゃ入れないそうだから、腕試しの前に、運試しといこうじゃないか。			この宝物庫の中は、お宝がざっくざくらしい。転送紋の刻まれた宝箱を見つけなきゃ入れないそうだから、腕試しの前に、運試しといこうじゃないか。			続・ヴォイドの傍観者							
でも、中には宝を守る番人や、魔物がいるんでしょ？3人だけじゃ、危ないんじゃないかな……。			でも、中には宝を守る番人や、魔物がいるんでしょ？3人だけじゃ、危ないんじゃないかな……。			続・ヴォイドの傍観者							
人数が少ない方が、取り分増えていいじゃない。			人数が少ない方が、取り分増えていいじゃない。			続・ヴォイドの傍観者							
そういうこと。それに、冒険ってのは、危険を冒してこそだろ？ワクワクするね、はやく挑戦しようぜ！			そういうこと。それに、冒険ってのは、危険を冒してこそだろ？ワクワクするね、はやく挑戦しようぜ！			続・ヴォイドの傍観者							
う～ん……でも、やっぱり危険だと思うなぁ。			う～ん……でも、やっぱり危険だと思うなぁ。			続・ヴォイドの傍観者							
自分から敢えて危険に飛び込ム……まったく理解に苦しむ行動ダ。ヴォイドでは、己より強い者に挑むヤツなどいないからネ。			自分から敢えて危険に飛び込ム……まったく理解に苦しむ行動ダ。ヴォイドでは、己より強い者に挑むヤツなどいないからネ。			続・ヴォイドの傍観者							
いや、待てよ……ボクの知る中にもたったひとり、その無謀な戦いを好む、奇特な妖異がいたっケ……			いや、待てよ……ボクの知る中にもたったひとり、その無謀な戦いを好む、奇特な妖異がいたっケ……			続・ヴォイドの傍観者							
その妖異……カイナッツォは、己の領域に絶対の自信を持っていタ。			その妖異……カイナッツォは、己の領域に絶対の自信を持っていタ。			続・ヴォイドの傍観者							
相手を騙し、罠にかけ、底なしの沼に引きずり込ム……そうして、どんな強者が相手だろうと、勝利してきたのサ。			相手を騙し、罠にかけ、底なしの沼に引きずり込ム……そうして、どんな強者が相手だろうと、勝利してきたのサ。			続・ヴォイドの傍観者							
しかし、ヤツが満たされるコトは決してなかっタ。なぜ勝利をこんなにも虚しく感じるのカ？その理由は、ある出会いによって、明らかになル……。			しかし、ヤツが満たされるコトは決してなかっタ。なぜ勝利をこんなにも虚しく感じるのカ？その理由は、ある出会いによって、明らかになル……。			続・ヴォイドの傍観者							
おいおい、これを防ぐのかよ！？こりゃ、想像してた以上に腕の立つ野郎みてぇだな！			おいおい、これを防ぐのかよ！？こりゃ、想像してた以上に腕の立つ野郎みてぇだな！			続・ヴォイドの傍観者							
(-黒鎧の騎士-)何者だ？			(-黒鎧の騎士-)何者だ？			続・ヴォイドの傍観者							
俺はカイナッツォ！最近ここらで猛者を探してまわってるってのはテメェだろ？喧嘩の相手が欲しければ、ここにいるぜ！			俺はカイナッツォ！最近ここらで猛者を探してまわってるってのはテメェだろ？喧嘩の相手が欲しければ、ここにいるぜ！			続・ヴォイドの傍観者							
(-黒鎧の騎士-)私は無益な戦いを求めているわけではない……。それより、なぜ自分から強者に戦いを挑む？			(-黒鎧の騎士-)私は無益な戦いを求めているわけではない……。それより、なぜ自分から強者に戦いを挑む？			続・ヴォイドの傍観者							
腹減ってるときに、相手を選んでる余裕なんてねぇだろうが。ま、俺の領域にやってきたのが運のツキだ。おとなしく呑まれちまいな！			腹減ってるときに、相手を選んでる余裕なんてねぇだろうが。ま、俺の領域にやってきたのが運のツキだ。おとなしく呑まれちまいな！			続・ヴォイドの傍観者							
(-黒鎧の騎士-)空腹程度で、危険を冒して強者に挑むものはおらん。どうやらお前は、己の飢えの正体を忘れてしまったようだな。			(-黒鎧の騎士-)空腹程度で、危険を冒して強者に挑むものはおらん。どうやらお前は、己の飢えの正体を忘れてしまったようだな。			続・ヴォイドの傍観者							
お、おォ、なんだこのエーテルは！？すげぇウマくて、腹がふくれるってぇのに……			お、おォ、なんだこのエーテルは！？すげぇウマくて、腹がふくれるってぇのに……			続・ヴォイドの傍観者							
全ッ然、満足できねぇ。			全ッ然、満足できねぇ。			続・ヴォイドの傍観者							
(-黒鎧の騎士-)そうであろう。お前はエーテルに飢えていたのではない。死闘に飢えておったからだ。			(-黒鎧の騎士-)そうであろう。お前はエーテルに飢えていたのではない。死闘に飢えておったからだ。			続・ヴォイドの傍観者							
(-黒鎧の騎士-)その渇きを癒やせるのは、沼底に淀み溜まった水ではない。濁流のように、激しく暴れ回る水のみ！			(-黒鎧の騎士-)その渇きを癒やせるのは、沼底に淀み溜まった水ではない。濁流のように、激しく暴れ回る水のみ！			続・ヴォイドの傍観者							
つまり、どういうことだ……？			つまり、どういうことだ……？			続・ヴォイドの傍観者							
(-黒鎧の騎士-)……安全な場所から獲物を罠にかけたところで、死闘を求める魂は昂ぶりはせぬ。勝利の味は、己の身を危険に晒してこそ格別なものとなるのだ。			(-黒鎧の騎士-)……安全な場所から獲物を罠にかけたところで、死闘を求める魂は昂ぶりはせぬ。勝利の味は、己の身を危険に晒してこそ格別なものとなるのだ。			続・ヴォイドの傍観者							
(-黒鎧の騎士-)そして……私とともに来れば、お前の命を脅かす強敵には事欠かん。さぁ、どうする？			(-黒鎧の騎士-)そして……私とともに来れば、お前の命を脅かす強敵には事欠かん。さぁ、どうする？			続・ヴォイドの傍観者							
クカカカ……。なんだか大事なことを思い出したような気がするな。……いいぜ、もっと詳しく聞かせろ！			クカカカ……。なんだか大事なことを思い出したような気がするな。……いいぜ、もっと詳しく聞かせろ！			続・ヴォイドの傍観者							
喰うか、喰われルか、己の全存在を懸けた争イ……そこにこそ、ヤツの生きる場所があったんダ。			喰うか、喰われルか、己の全存在を懸けた争イ……そこにこそ、ヤツの生きる場所があったんダ。			続・ヴォイドの傍観者							
「たった一度でいい。　最強の大物と戦えさえすれば、俺はそれで満足だ！」			「たった一度でいい。　最強の大物と戦えさえすれば、俺はそれで満足だ！」			続・ヴォイドの傍観者							
それからのカイナッツォは、己を倒しうる者との出会いを求め続けタ。戦いの後には、虚無が待っていると知りながラ……。			それからのカイナッツォは、己を倒しうる者との出会いを求め続けタ。戦いの後には、虚無が待っていると知りながラ……。			続・ヴォイドの傍観者							
望みを叶えるためなら、命すら惜しくはナイ。それさえ手に入れば、ほかには何もいらナイ。唯一にして絶対の欲望、キミにもあるのかナ？			望みを叶えるためなら、命すら惜しくはナイ。それさえ手に入れば、ほかには何もいらナイ。唯一にして絶対の欲望、キミにもあるのかナ？			続・ヴォイドの傍観者							
思えばボクも、コッチの世界に来たのは無茶なコトだったケド、危険を冒した甲斐はあっタ。			思えばボクも、コッチの世界に来たのは無茶なコトだったケド、危険を冒した甲斐はあっタ。			続・ヴォイドの傍観者							
この素晴らしさ、はやくみんなと分かち合わねバ。ボクらが待つところへ向かうとするヨ。			この素晴らしさ、はやくみんなと分かち合わねバ。ボクらが待つところへ向かうとするヨ。			続・ヴォイドの傍観者							
みんなもこの街にいるノ？　ヤッタ～！近くの里でのんびりしてたら、アタシだけはぐれちゃっテ……。ずっと寂しかったノ！			みんなもこの街にいるノ？　ヤッタ～！近くの里でのんびりしてたら、アタシだけはぐれちゃっテ……。ずっと寂しかったノ！			続・ヴォイドの傍観者							
それにしても、ここはニンゲンがたくさんいるネ。建物もたくさんあって、キョーミシンシン！			それにしても、ここはニンゲンがたくさんいるネ。建物もたくさんあって、キョーミシンシン！			続・ヴォイドの傍観者							
(-少年の声-)ねえ、お父さん。この建物はなに？			(-少年の声-)ねえ、お父さん。この建物はなに？			続・ヴォイドの傍観者							
ここはね、アルザダールという、偉い人を祀っているお墓さ。			ここはね、アルザダールという、偉い人を祀っているお墓さ。			続・ヴォイドの傍観者							
アルザダールは、うんと昔に大陸からやってきて、アルカソーダラ族とガジャースラ族の争いを平定したんだ。その行いが、ラザハン建国の礎になったんだよ。			アルザダールは、うんと昔に大陸からやってきて、アルカソーダラ族とガジャースラ族の争いを平定したんだ。その行いが、ラザハン建国の礎になったんだよ。			続・ヴォイドの傍観者							
へぇ～、じゃあボクらがみんな仲良くしていられるのも、その人のおかげなんだね！			へぇ～、じゃあボクらがみんな仲良くしていられるのも、その人のおかげなんだね！			続・ヴォイドの傍観者							
お墓……死んだニンゲンを思い出すヨスガ……。アタシもなんだか、むかしのコトを、思い出してきちゃっタ。			お墓……死んだニンゲンを思い出すヨスガ……。アタシもなんだか、むかしのコトを、思い出してきちゃっタ。			続・ヴォイドの傍観者							
メモリア戦争に巻き込まれて死んダ、アタシのオカアサン。そして、オカアサンを死なせたヒトたち……。			メモリア戦争に巻き込まれて死んダ、アタシのオカアサン。そして、オカアサンを死なせたヒトたち……。			続・ヴォイドの傍観者							
(-分裂した目玉-)むかしむかし、ふたりの魔道士が、「試練の山」に籠もって修行をしていましタ。			(-分裂した目玉-)むかしむかし、ふたりの魔道士が、「試練の山」に籠もって修行をしていましタ。			続・ヴォイドの傍観者							
(-分裂した目玉-)彼らは強く、敵うものはナイと言われるほどでしたガ、それをひけらかすコトもなく、ひたすらに腕を磨いていましタ。			(-分裂した目玉-)彼らは強く、敵うものはナイと言われるほどでしたガ、それをひけらかすコトもなく、ひたすらに腕を磨いていましタ。			続・ヴォイドの傍観者							
(-分裂した目玉-)あるとき、魔物が村々を襲い始めましタ。その話を耳にしたふたりの魔道士は、こう決意しましタ。			(-分裂した目玉-)あるとき、魔物が村々を襲い始めましタ。その話を耳にしたふたりの魔道士は、こう決意しましタ。			続・ヴォイドの傍観者							
(-分裂した目玉-)「いまこそ、長き修行の末に極まりし我々の炎で、　世界を救ってみせようではないか！」			(-分裂した目玉-)「いまこそ、長き修行の末に極まりし我々の炎で、　世界を救ってみせようではないか！」			続・ヴォイドの傍観者							
(-分裂した目玉-)そうしてふたりは下山すると、村を襲う魔物たちを見つけ、戦いはじめましタ。			(-分裂した目玉-)そうしてふたりは下山すると、村を襲う魔物たちを見つけ、戦いはじめましタ。			続・ヴォイドの傍観者							
あと1匹、そっちへ行ったぞ！			あと1匹、そっちへ行ったぞ！			続・ヴォイドの傍観者							
任せろ！			任せろ！			続・ヴォイドの傍観者							
(-少女の声-)やめてーーーッ！			(-少女の声-)やめてーーーッ！			続・ヴォイドの傍観者							
アタシのお母さんを殺さないで！			アタシのお母さんを殺さないで！			続・ヴォイドの傍観者							
な、なんと、この魔物が……？			な、なんと、この魔物が……？			続・ヴォイドの傍観者							
ぐあっ……！			ぐあっ……！			続・ヴォイドの傍観者							
お願い、お母さんを助けて！			お願い、お母さんを助けて！			続・ヴォイドの傍観者							
ええい、いったいどうすれば……！			ええい、いったいどうすれば……！			続・ヴォイドの傍観者							
やむをえんッ！			やむをえんッ！			続・ヴォイドの傍観者							
なに、これ……？お母さんが、宝石みたいになっちゃったよぉー！			なに、これ……？お母さんが、宝石みたいになっちゃったよぉー！			続・ヴォイドの傍観者							
世界を救うなどと言っておきながら……誰ひとり救えぬではないか！			世界を救うなどと言っておきながら……誰ひとり救えぬではないか！			続・ヴォイドの傍観者							
私の炎は、あの太陽のようであらねばならぬ。他者を殺めるものではなく、誰かを絶えず見守り、温めるためのものでなくては……！			私の炎は、あの太陽のようであらねばならぬ。他者を殺めるものではなく、誰かを絶えず見守り、温めるためのものでなくては……！			続・ヴォイドの傍観者							
(-分裂した目玉-)自分の未熟さを思い知った彼は、顔を真っ赤にして怒っていましタ。それで少女は、彼を赤い顔の男(ルビカンテ)と呼ぶコトにしたノ。			(-分裂した目玉-)自分の未熟さを思い知った彼は、顔を真っ赤にして怒っていましタ。それで少女は、彼を赤い顔の男(ルビカンテ)と呼ぶコトにしたノ。			続・ヴォイドの傍観者							
(-分裂した目玉-)ルビカンテは試練の山に戻ると、友を弔うため石碑を建て、己を戒める言葉を刻みましタ。そして、ひとりで修行の日々を送ったのでス。			(-分裂した目玉-)ルビカンテは試練の山に戻ると、友を弔うため石碑を建て、己を戒める言葉を刻みましタ。そして、ひとりで修行の日々を送ったのでス。			続・ヴォイドの傍観者							
(-分裂した目玉-)あるとき彼は、石碑のもとに、キレイな宝石が供えられているのを見つけましタ。			(-分裂した目玉-)あるとき彼は、石碑のもとに、キレイな宝石が供えられているのを見つけましタ。			続・ヴォイドの傍観者							
(-分裂した目玉-)それは、ルビカンテが真の英雄であったコトの証。あのとき母を失った少女は、彼が自分を救ってくれたコトを、ちゃんとわかっていたのでス。			(-分裂した目玉-)それは、ルビカンテが真の英雄であったコトの証。あのとき母を失った少女は、彼が自分を救ってくれたコトを、ちゃんとわかっていたのでス。			続・ヴォイドの傍観者							
(-分裂した目玉-)その宝石が、彼に何を思い起こさせたのカ……ルビカンテは再び山を下り、旅に出ましタ。今度こそ、己の炎で誰かを救うためニ。			(-分裂した目玉-)その宝石が、彼に何を思い起こさせたのカ……ルビカンテは再び山を下り、旅に出ましタ。今度こそ、己の炎で誰かを救うためニ。			続・ヴォイドの傍観者							
誰かが死ぬのって悲しいコトだケド、大切なヒトのコトを忘れちゃう方が、きっと悲しいよネ。			誰かが死ぬのって悲しいコトだケド、大切なヒトのコトを忘れちゃう方が、きっと悲しいよネ。			続・ヴォイドの傍観者							
