クイックサンドのモモジゴは、何やら頼みごとがあるようだ。			クイックサンドのモモジゴは、何やら頼みごとがあるようだ。			凛とした女侍							
クイックサンドのモモジゴに報告			クイックサンドのモモジゴに報告			凛とした女侍							
そういや、この宿に戻ったら、ひんがしの国から、爺さんを訪ねてきた人がいたんだ。凜とした女の人でさ、刀を差していたから侍なんだと思う。			そういや、この宿に戻ったら、ひんがしの国から、爺さんを訪ねてきた人がいたんだ。凜とした女の人でさ、刀を差していたから侍なんだと思う。			凛とした女侍							
死んじまったなんて、俺からはとても言えなかったよ。酷な役回りを押し付けるようで悪いんだけど……。Forenameから、伝えてやってくれないか？			死んじまったなんて、俺からはとても言えなかったよ。酷な役回りを押し付けるようで悪いんだけど……。Forenameから、伝えてやってくれないか？			凛とした女侍							
その人は、クイックサンドの前にいる。「凛とした女侍」だから、すぐにわかるだろうさ。			その人は、クイックサンドの前にいる。「凛とした女侍」だから、すぐにわかるだろうさ。			凛とした女侍							
クイックサンドの前にいる、「凛とした女侍」に、爺さんのことを伝えてやってくれないか？			クイックサンドの前にいる、「凛とした女侍」に、爺さんのことを伝えてやってくれないか？			凛とした女侍							
はて、侍のなりをされていますが、貴方はいったい……？			はて、侍のなりをされていますが、貴方はいったい……？			凛とした女侍							
なんと、ムソウサイ様の弟子ですと！では、あの方は、今いずこに……？			なんと、ムソウサイ様の弟子ですと！では、あの方は、今いずこに……？			凛とした女侍							
……左様でしたか。亡くなられたとは……残念でなりません……。			……左様でしたか。亡くなられたとは……残念でなりません……。			凛とした女侍							
私は以前に、ムソウサイ様と交流があった者。ひんがしの国は、クガネの治安維持組織、赤誠組の「マコト」と申します。			私は以前に、ムソウサイ様と交流があった者。ひんがしの国は、クガネの治安維持組織、赤誠組の「マコト」と申します。			凛とした女侍							
(-マコト-)ムソウサイ様は、「シルバーバザー」なる町に埋葬されたのですね。何分、私はこの地に着いたばかりで、土地勘がありません。よろしければ、お墓まで案内していただけませんか？			(-マコト-)ムソウサイ様は、「シルバーバザー」なる町に埋葬されたのですね。何分、私はこの地に着いたばかりで、土地勘がありません。よろしければ、お墓まで案内していただけませんか？			凛とした女侍							
(-マコト-)ありがとうございます。それでは、参りましょう……。			(-マコト-)ありがとうございます。それでは、参りましょう……。			凛とした女侍							
爺さんのこと、伝えてくれてありがとよ。墓まで案内を頼まれたなら、「シルバーバザー」まで、行ってやってくれ。			爺さんのこと、伝えてくれてありがとよ。墓まで案内を頼まれたなら、「シルバーバザー」まで、行ってやってくれ。			凛とした女侍							
敵が襲いかかってきた！！			敵が襲いかかってきた！！			凛とした女侍							
お見事です。紛うことなき、ムソウサイ様の剣技ですね……。			お見事です。紛うことなき、ムソウサイ様の剣技ですね……。			凛とした女侍							
加勢もせずに見入ってしまい、申し訳ありませんでした。貴方が真にムソウサイ様の弟子かどうか見極める、絶好の機会だと思ったからです。			加勢もせずに見入ってしまい、申し訳ありませんでした。貴方が真にムソウサイ様の弟子かどうか見極める、絶好の機会だと思ったからです。			凛とした女侍							
それというのも、あの方は滅多に弟子を取らぬ人でしたので……。しかし、私のくだらぬ疑いは、いとも簡単に晴れました。では、あらためてお墓へ参りましょう。			それというのも、あの方は滅多に弟子を取らぬ人でしたので……。しかし、私のくだらぬ疑いは、いとも簡単に晴れました。では、あらためてお墓へ参りましょう。			凛とした女侍							
美しい海が見える場所に埋葬され、ムソウサイ様も安らかにお眠りになれることでしょう……。			美しい海が見える場所に埋葬され、ムソウサイ様も安らかにお眠りになれることでしょう……。			凛とした女侍							
すでにお聞き及びかもしれませんが、あの方には貴方の前に、もうひとり弟子がいました。そして、その弟子「ウゲツ」が幕府の要人を斬殺した……。			すでにお聞き及びかもしれませんが、あの方には貴方の前に、もうひとり弟子がいました。そして、その弟子「ウゲツ」が幕府の要人を斬殺した……。			凛とした女侍							
師であるムソウサイ様は、弟子の凶行の責任を問われ、切腹を迫られたのです。侍は皆、切腹して名誉を守るものですが、あの方はそれを拒んだ。			師であるムソウサイ様は、弟子の凶行の責任を問われ、切腹を迫られたのです。侍は皆、切腹して名誉を守るものですが、あの方はそれを拒んだ。			凛とした女侍							
そのことから、ムソウサイ様はひんがしの国で、命惜しさに逃げた「卑怯者」とされてしまったのです。			そのことから、ムソウサイ様はひんがしの国で、命惜しさに逃げた「卑怯者」とされてしまったのです。			凛とした女侍							
しかし、私は信じていました。あの方が、単に命が惜しくて逃げたわけではないと……。			しかし、私は信じていました。あの方が、単に命が惜しくて逃げたわけではないと……。			凛とした女侍							
Forename殿の見事な剣技を見て、わかりました。ムソウサイ様は、名誉の死に甘んじるよりも、もうひとり、弟子を育てることを選んだのですね。			Forename殿の見事な剣技を見て、わかりました。ムソウサイ様は、名誉の死に甘んじるよりも、もうひとり、弟子を育てることを選んだのですね。			凛とした女侍							
道を踏み外したウゲツのことが、さぞや心残りで、なんとしても、正しき弟子をこの世に残したかったのでしょう……。			道を踏み外したウゲツのことが、さぞや心残りで、なんとしても、正しき弟子をこの世に残したかったのでしょう……。			凛とした女侍							
実は、行方を暗ませていたウゲツが、先頃、クガネにて目撃されたのです。あやつの目的は、ひんがしの国の幕府を倒すこと。			実は、行方を暗ませていたウゲツが、先頃、クガネにて目撃されたのです。あやつの目的は、ひんがしの国の幕府を倒すこと。			凛とした女侍							
ウゲツの考えに傾倒する侍も少なくなく、闇で一派を形成して、勢力を拡大しつつあります。			ウゲツの考えに傾倒する侍も少なくなく、闇で一派を形成して、勢力を拡大しつつあります。			凛とした女侍							
ムソウサイ様に、お力添えをお願いするために参ったのですが、残念ながら、それは叶いませんでした……。			ムソウサイ様に、お力添えをお願いするために参ったのですが、残念ながら、それは叶いませんでした……。			凛とした女侍							
ご案内いただき、ありがとうございました。私は国へ帰ることにします。			ご案内いただき、ありがとうございました。私は国へ帰ることにします。			凛とした女侍							
爺さんのこと、伝えてくれてありがとよ。祖国の人に墓参りしてもらえたなら、きっと喜んでるだろうね。			爺さんのこと、伝えてくれてありがとよ。祖国の人に墓参りしてもらえたなら、きっと喜んでるだろうね。			凛とした女侍							
……そうか、悪党になっちまった弟子が、姿を現したのか。気になるところだけど、クガネの問題だしな……。そのマコトって人が解決してくれることを祈ろうぜ。			……そうか、悪党になっちまった弟子が、姿を現したのか。気になるところだけど、クガネの問題だしな……。そのマコトって人が解決してくれることを祈ろうぜ。			凛とした女侍							
じゃあ、また顔出してくれよな。俺、爺さんがいなくなってから、寂しくてしょうがなくてよ……。			じゃあ、また顔出してくれよな。俺、爺さんがいなくなってから、寂しくてしょうがなくてよ……。			凛とした女侍							
「侍」の新たなジョブクエストが開始されました。次のクエストは「レベル63」以上で、クイックサンドのモモジゴから受注可能です。			「侍」の新たなジョブクエストが開始されました。次のクエストは「レベル63」以上で、クイックサンドのモモジゴから受注可能です。			凛とした女侍							
今後の「侍」のジョブクエスト受注条件は、コンプリート後のジャーナルで確認できます。			今後の「侍」のジョブクエスト受注条件は、コンプリート後のジャーナルで確認できます。			凛とした女侍							
雲霧街のモモジゴは、何やら慌てているようだ。			雲霧街のモモジゴは、何やら慌てているようだ。			極悪人コガラシ							
モモジゴから、ムソウサイが宿から抜け出したと聞いた。ムソウサイを探すため、イシュガルドの聖バルロアイアン広場の「指定地点」で見渡そう。			モモジゴから、ムソウサイが宿から抜け出したと聞いた。ムソウサイを探すため、イシュガルドの聖バルロアイアン広場の「指定地点」で見渡そう。			極悪人コガラシ							
指定地点で見渡したが、ムソウサイは見つからなかった。イシュガルドのエーテライト・プラザ付近の「指定地点」で再度見渡そう。			指定地点で見渡したが、ムソウサイは見つからなかった。イシュガルドのエーテライト・プラザ付近の「指定地点」で再度見渡そう。			極悪人コガラシ							
指定地点で見渡したところ、ムソウサイが現れた。彼によると、ひんがしの国を追放された侍「コガラシ」が、近辺に潜んでいるようだ。コガラシの罪は、要人斬りの弟子を育てたことだという。悪を懲らしめるため、クルザス西部高地のツインプールズで「ムソウサイ」と合流しよう。			指定地点で見渡したところ、ムソウサイが現れた。彼によると、ひんがしの国を追放された侍「コガラシ」が、近辺に潜んでいるようだ。コガラシの罪は、要人斬りの弟子を育てたことだという。悪を懲らしめるため、クルザス西部高地のツインプールズで「ムソウサイ」と合流しよう。			極悪人コガラシ							
ムソウサイと合流したところ、彼こそがコガラシだという。自分を斬れと挑んできたムソウサイと冒険者の真剣勝負が始まり、ムソウサイが倒れた。クルザス西部高地のムソウサイを介抱しよう。			ムソウサイと合流したところ、彼こそがコガラシだという。自分を斬れと挑んできたムソウサイと冒険者の真剣勝負が始まり、ムソウサイが倒れた。クルザス西部高地のムソウサイを介抱しよう。			極悪人コガラシ							
ムソウサイは冒険者に見守られて息を引き取った。彼は冒険者に自分の中の悪を斬り捨てられたことで、救われたようだ。ウルダハのクイックサンドにいる「モモジゴ」と話そう。			ムソウサイは冒険者に見守られて息を引き取った。彼は冒険者に自分の中の悪を斬り捨てられたことで、救われたようだ。ウルダハのクイックサンドにいる「モモジゴ」と話そう。			極悪人コガラシ							
モモジゴと話した。ムソウサイから教わった、悪を成敗し平和を護るという侍の大義を忘れず、今後も鍛錬を積んでいこう。※「メインクエスト：竜詩戦争 戦後編」の「宿命の果て」を完了することで、クイックサンドのモモジゴから、新たなジョブクエストを受注することができます。			モモジゴと話した。ムソウサイから教わった、悪を成敗し平和を護るという侍の大義を忘れず、今後も鍛錬を積んでいこう。※「メインクエスト：竜詩戦争 戦後編」の「宿命の果て」を完了することで、クイックサンドのモモジゴから、新たなジョブクエストを受注することができます。			極悪人コガラシ							
指定地点で見渡す			指定地点で見渡す			極悪人コガラシ							
指定地点で再度見渡す			指定地点で再度見渡す			極悪人コガラシ							
ツインプールズでムソウサイと合流			ツインプールズでムソウサイと合流			極悪人コガラシ							
モモジゴと話す			モモジゴと話す			極悪人コガラシ							
Forename、いいところに……！大変なんだ、爺さんが宿から抜け出して、どっか行っちまったんだよ！			Forename、いいところに……！大変なんだ、爺さんが宿から抜け出して、どっか行っちまったんだよ！			極悪人コガラシ							
安静にしてなきゃいけないのに、薬も飲まずにいなくなっちまった。でも、あの身体じゃあ、そんなに遠くへは行けないだろう。きっとまだ、イシュガルドの都市内にいるはず。			安静にしてなきゃいけないのに、薬も飲まずにいなくなっちまった。でも、あの身体じゃあ、そんなに遠くへは行けないだろう。きっとまだ、イシュガルドの都市内にいるはず。			極悪人コガラシ							
俺は雲霧街を探してみる。アンタは「聖バルロアイアン広場」の方で辺りを見渡して、爺さんを探してくれ！			俺は雲霧街を探してみる。アンタは「聖バルロアイアン広場」の方で辺りを見渡して、爺さんを探してくれ！			極悪人コガラシ							
ムソウサイの姿は見当たらないようだ……。			ムソウサイの姿は見当たらないようだ……。			極悪人コガラシ							
カッカッカッ、なんとかモモジゴを撒くことができたぞ。ワシには東方から持参した万能強壮薬があるからのう、それさえ飲めば、数刻は身体の自由も効くのじゃ……。			カッカッカッ、なんとかモモジゴを撒くことができたぞ。ワシには東方から持参した万能強壮薬があるからのう、それさえ飲めば、数刻は身体の自由も効くのじゃ……。			極悪人コガラシ							
さて、ワシがこの地へ来た目的は、以前に話したとおり、ひとつは、お主のような弟子になりうる才ある者を探すため。			さて、ワシがこの地へ来た目的は、以前に話したとおり、ひとつは、お主のような弟子になりうる才ある者を探すため。			極悪人コガラシ							
そして、もうひとつが、この地に渡った「コガラシ」という侍を成敗することだ。だが、奴が働いた悪行のことは、まだ話してなかったな……。			そして、もうひとつが、この地に渡った「コガラシ」という侍を成敗することだ。だが、奴が働いた悪行のことは、まだ話してなかったな……。			極悪人コガラシ							
コガラシの悪行とは、弟子の育て方を誤ったこと。奴の弟子は、ひんがしの国の要人を次々と斬り殺すという、悪事を働いた大罪人なのだ……。			コガラシの悪行とは、弟子の育て方を誤ったこと。奴の弟子は、ひんがしの国の要人を次々と斬り殺すという、悪事を働いた大罪人なのだ……。			極悪人コガラシ							
我が祖国において、弟子の失態は師の責任でもある。コガラシは大罪人の師として、切腹という名の、自害をもって罪を償うことを命じられた。			我が祖国において、弟子の失態は師の責任でもある。コガラシは大罪人の師として、切腹という名の、自害をもって罪を償うことを命じられた。			極悪人コガラシ							
だが、奴は命惜しさに国外に逃亡し、この「えおるぜあ」まで逃げ延びて、生き永らえておる。			だが、奴は命惜しさに国外に逃亡し、この「えおるぜあ」まで逃げ延びて、生き永らえておる。			極悪人コガラシ							
弟子を導けなかったゆえに、多くの人命が損なわれたというのに、自分だけのうのうと生きておるとは、侍の風上にも置けん。許されざる極悪人である。			弟子を導けなかったゆえに、多くの人命が損なわれたというのに、自分だけのうのうと生きておるとは、侍の風上にも置けん。許されざる極悪人である。			極悪人コガラシ							
奴を斬らねば、侍の大義を果たすことはできぬ。……だがワシは……奴には勝てなかった。何度対峙しても、勝つことはできなかったのだ……。			奴を斬らねば、侍の大義を果たすことはできぬ。……だがワシは……奴には勝てなかった。何度対峙しても、勝つことはできなかったのだ……。			極悪人コガラシ							
しかし、目覚ましい成長を見せた、今のお主ならば、きっと討つことができるであろう。ワシからお主への最後の試練じゃ……。			しかし、目覚ましい成長を見せた、今のお主ならば、きっと討つことができるであろう。ワシからお主への最後の試練じゃ……。			極悪人コガラシ							
Forename殿、コガラシを討つのだ！お主の侍としての修行は、奴を討つことで完遂する！			Forename殿、コガラシを討つのだ！お主の侍としての修行は、奴を討つことで完遂する！			極悪人コガラシ							
コガラシは現在、この街の近く「くるざす西部高地」の、「ついんぷうるず」というところに潜んでおる。			コガラシは現在、この街の近く「くるざす西部高地」の、「ついんぷうるず」というところに潜んでおる。			極悪人コガラシ							
自らの命惜しさに大義を見失うとは、汚らわしき所業。侍の大義にかけて、悪を許さず！ゆくぞ、Forename！			自らの命惜しさに大義を見失うとは、汚らわしき所業。侍の大義にかけて、悪を許さず！ゆくぞ、Forename！			極悪人コガラシ							
さて、Forenameよ。コガラシを斬る、その覚悟に迷いはないな？			さて、Forenameよ。コガラシを斬る、その覚悟に迷いはないな？			極悪人コガラシ							
何と答える？			何と答える？			極悪人コガラシ							
侍の大義にかけて、悪を許さず！			侍の大義にかけて、悪を許さず！			極悪人コガラシ							
…………			…………			極悪人コガラシ							
その言葉に偽りなしならば、ワシを斬れ。……ワシが極悪人「コガラシ」である。			その言葉に偽りなしならば、ワシを斬れ。……ワシが極悪人「コガラシ」である。			極悪人コガラシ							
よもや、情けをかけるなどとは言わぬよな？侍の大義にかけて、悪を許さず、じゃ。			よもや、情けをかけるなどとは言わぬよな？侍の大義にかけて、悪を許さず、じゃ。			極悪人コガラシ							
さあ、ワシを斬れ。……ワシが極悪人「コガラシ」である。			さあ、ワシを斬れ。……ワシが極悪人「コガラシ」である。			極悪人コガラシ							
「コガラシ」は、ワシがひんがしの国で、世直しの旅をするときに名乗っていた偽名。			「コガラシ」は、ワシがひんがしの国で、世直しの旅をするときに名乗っていた偽名。			極悪人コガラシ							
この笠を被って、弟子とともに悪党を成敗して回ったものだが、そやつは道を踏み外してしまった……。そう、先ほど語ったことは、そのまま己のことなのだ。			この笠を被って、弟子とともに悪党を成敗して回ったものだが、そやつは道を踏み外してしまった……。そう、先ほど語ったことは、そのまま己のことなのだ。			極悪人コガラシ							
ワシは弟子の凶行を止められなかったばかりか、命惜しさにこの地へ落ち延び、のうのうと生き恥をさらしておる。			ワシは弟子の凶行を止められなかったばかりか、命惜しさにこの地へ落ち延び、のうのうと生き恥をさらしておる。			極悪人コガラシ							
そのうえ、偉そうに正義を気取り、お主をたぶらかし、悪党を成敗して回っていた偽善の極悪人。……自ら命を絶つこともできぬ臆病者よ。			そのうえ、偉そうに正義を気取り、お主をたぶらかし、悪党を成敗して回っていた偽善の極悪人。……自ら命を絶つこともできぬ臆病者よ。			極悪人コガラシ							
さあ、Forename、ワシを討つのだ！そして、お主の修行を完遂させるのじゃ！			さあ、Forename、ワシを討つのだ！そして、お主の修行を完遂させるのじゃ！			極悪人コガラシ							
お主の目の前におるのは極悪人だぞ！さあ、この首を獲りにくるがいい！さもなくば…………死あるのみ！			お主の目の前におるのは極悪人だぞ！さあ、この首を獲りにくるがいい！さもなくば…………死あるのみ！			極悪人コガラシ							
み、見事であった……。侍の大義……見せてもらったぞ……。			み、見事であった……。侍の大義……見せてもらったぞ……。			極悪人コガラシ							
ど、どうやら……我が……奥義……引き出せたようだな……。その技の修得を持って……ワシの修行も終いとなる。			ど、どうやら……我が……奥義……引き出せたようだな……。その技の修得を持って……ワシの修行も終いとなる。			極悪人コガラシ							
さぁ、Forenameよ……ワシに……悪党に……とどめをさすがいい……。			さぁ、Forenameよ……ワシに……悪党に……とどめをさすがいい……。			極悪人コガラシ							
ダメだ、やめてくれッ！もういい！　もういいだろう……！！			ダメだ、やめてくれッ！もういい！　もういいだろう……！！			極悪人コガラシ							
よいのだモモジゴ……己で仕向けたことよ……。もとはといえば、罪の意識から逃げ……死をもって償わなかった……ワシが悪いのだ。			よいのだモモジゴ……己で仕向けたことよ……。もとはといえば、罪の意識から逃げ……死をもって償わなかった……ワシが悪いのだ。			極悪人コガラシ							
やめろ、Forename！頼む、やめてくれェェェ！！			やめろ、Forename！頼む、やめてくれェェェ！！			極悪人コガラシ							
……そうか、ワシの中の……悪を斬ったというのか……。			……そうか、ワシの中の……悪を斬ったというのか……。			極悪人コガラシ							
ワシの罪を……おおおぉぉぉっ……！			ワシの罪を……おおおぉぉぉっ……！			極悪人コガラシ							
Forenameよ、かたじけない。お主は……ワシが望んだ以上の侍となったようだ……。生き恥をさらしてまで……この地へ来た甲斐があった……。			Forenameよ、かたじけない。お主は……ワシが望んだ以上の侍となったようだ……。生き恥をさらしてまで……この地へ来た甲斐があった……。			極悪人コガラシ							
ワシの中の悪は斬って捨てられた。これでやっと……天命に従って……逝くことができる……。			ワシの中の悪は斬って捨てられた。これでやっと……天命に従って……逝くことができる……。			極悪人コガラシ							
じ、爺さん、ダメだ！死なないでくれ……！			じ、爺さん、ダメだ！死なないでくれ……！			極悪人コガラシ							
どの道、ワシはもう長くはなかったのだ……。Forename……モモジゴ……。三人での世直しの旅……楽しかったぞ。			どの道、ワシはもう長くはなかったのだ……。Forename……モモジゴ……。三人での世直しの旅……楽しかったぞ。			極悪人コガラシ							
これにて、一件落着……。悪の蔓延る……世は……栄え……ず……。			これにて、一件落着……。悪の蔓延る……世は……栄え……ず……。			極悪人コガラシ							
爺さん……いままで、ありがとよ……。最後の旅だ、あの場所まで一緒に行こう。			爺さん……いままで、ありがとよ……。最後の旅だ、あの場所まで一緒に行こう。			極悪人コガラシ							
俺、爺さんに頼まれてたんだ。もし自分が死んだら、西の海が見えるここに埋めてくれって。			俺、爺さんに頼まれてたんだ。もし自分が死んだら、西の海が見えるここに埋めてくれって。			極悪人コガラシ							
今、その理由がわかった気がするんだ。西へと沈んでいったお天道様は、東から昇ってくる……。			今、その理由がわかった気がするんだ。西へと沈んでいったお天道様は、東から昇ってくる……。			極悪人コガラシ							
ひんがしの国は、東にあるんだろ？きっと爺さんは、西へ沈んでいった夕日が、祖国で朝日となって昇ることに、自分を重ねたかったんだ……。			ひんがしの国は、東にあるんだろ？きっと爺さんは、西へ沈んでいった夕日が、祖国で朝日となって昇ることに、自分を重ねたかったんだ……。			極悪人コガラシ							
やっぱり、海の向こうの故郷が恋しくて、悪に染まった弟子のことが、最後まで気がかりだったんだろう。			やっぱり、海の向こうの故郷が恋しくて、悪に染まった弟子のことが、最後まで気がかりだったんだろう。			極悪人コガラシ							
さあ……ウルダハに戻ろう……。			さあ……ウルダハに戻ろう……。			極悪人コガラシ							
あるとき、爺さんが口にしたことがあるんだ。人生を終えるまでに、もうひとりだけ、自分のすべてを注ぎ込んだ弟子を残したいってな。			あるとき、爺さんが口にしたことがあるんだ。人生を終えるまでに、もうひとりだけ、自分のすべてを注ぎ込んだ弟子を残したいってな。			極悪人コガラシ							
Forenameに出会えて幸せだったと思うぜ。そして爺さんは、最後の弟子であるアンタに、何かを託したんじゃないかと、そんな風に思えてならないんだよ。			Forenameに出会えて幸せだったと思うぜ。そして爺さんは、最後の弟子であるアンタに、何かを託したんじゃないかと、そんな風に思えてならないんだよ。			極悪人コガラシ							
これから先、侍の大義をかけるような悪党が出てきたら、爺さんの代わりに、成敗してやってくれ。			これから先、侍の大義をかけるような悪党が出てきたら、爺さんの代わりに、成敗してやってくれ。			極悪人コガラシ							
「侍の大義にかけて、悪を許さず！」ってな！			「侍の大義にかけて、悪を許さず！」ってな！			極悪人コガラシ							
「侍」の物語が、ひとつの区切りを迎えました！			「侍」の物語が、ひとつの区切りを迎えました！			極悪人コガラシ							
次の「侍」のジョブクエストを開始するためには、「メインクエスト：竜詩戦争 戦後編」の、「宿命の果て」を完了する必要があります。			次の「侍」のジョブクエストを開始するためには、「メインクエスト：竜詩戦争 戦後編」の、「宿命の果て」を完了する必要があります。			極悪人コガラシ							
条件を満たし、クイックサンドの「モモジゴ」に話しかけ、新たなジョブクエストを開始しましょう！			条件を満たし、クイックサンドの「モモジゴ」に話しかけ、新たなジョブクエストを開始しましょう！			極悪人コガラシ							
クイックサンドのモモジゴは、冒険者に手紙を渡したいようだ。			クイックサンドのモモジゴは、冒険者に手紙を渡したいようだ。			風雲赤誠組							
モモジゴから、マコトの手紙を渡された。手紙には、ウゲツ一派の勢力が拡大しているため、冒険者に協力を求める旨が書かれていた。クガネの赤誠組屯所へ向かい、「物柔らかな赤誠組隊士」と話そう。			モモジゴから、マコトの手紙を渡された。手紙には、ウゲツ一派の勢力が拡大しているため、冒険者に協力を求める旨が書かれていた。クガネの赤誠組屯所へ向かい、「物柔らかな赤誠組隊士」と話そう。			風雲赤誠組							
物柔らかな赤誠組隊士と話した。マコトは、ウゲツ一派の密談が行われる、サカズキ島へ行っているという。紅玉海のサカズキ島で「マコト」を探そう。			物柔らかな赤誠組隊士と話した。マコトは、ウゲツ一派の密談が行われる、サカズキ島へ行っているという。紅玉海のサカズキ島で「マコト」を探そう。			風雲赤誠組							
マコトを見つけ、襲っていた攘夷派の志士を討伐した。サカズキ島の「マコト」を救助しよう。			マコトを見つけ、襲っていた攘夷派の志士を討伐した。サカズキ島の「マコト」を救助しよう。			風雲赤誠組							
マコトを救助した。ウゲツ一派に待ち伏せされて、仲間がやられてしまったようだ。赤誠組屯所へ戻り、「物柔らかな赤誠組隊士」に報告しよう。			マコトを救助した。ウゲツ一派に待ち伏せされて、仲間がやられてしまったようだ。赤誠組屯所へ戻り、「物柔らかな赤誠組隊士」に報告しよう。			風雲赤誠組							
物柔らかな赤誠組隊士に報告した。彼は赤誠組副局長のシデンと名乗った。冒険者は赤誠組に協力することになり、局長のコンゴウに紹介される。彼に間者と疑われて刃を向けられるが、シデンの説得で事なきを得た。後日、クガネに来る大老の警備を頼まれた。折を見てまた、マコトを訪ねよう。※侍のレベルが65以上になると、赤誠組屯所のマコトから次の侍クエストを受注することができます。			物柔らかな赤誠組隊士に報告した。彼は赤誠組副局長のシデンと名乗った。冒険者は赤誠組に協力することになり、局長のコンゴウに紹介される。彼に間者と疑われて刃を向けられるが、シデンの説得で事なきを得た。後日、クガネに来る大老の警備を頼まれた。折を見てまた、マコトを訪ねよう。※侍のレベルが65以上になると、赤誠組屯所のマコトから次の侍クエストを受注することができます。			風雲赤誠組							
クガネの物柔らかな赤誠組隊士と話す			クガネの物柔らかな赤誠組隊士と話す			風雲赤誠組							
サカズキ島でマコトを探す			サカズキ島でマコトを探す			風雲赤誠組							
マコトを救助			マコトを救助			風雲赤誠組							
クガネの物柔らかな赤誠組隊士に報告			クガネの物柔らかな赤誠組隊士に報告			風雲赤誠組							
よう、Forename！この宿に、アンタ宛ての手紙が届いたんだ。差出人は、前に爺さんを訪ねてきた、あの女侍のマコトさん。			よう、Forename！この宿に、アンタ宛ての手紙が届いたんだ。差出人は、前に爺さんを訪ねてきた、あの女侍のマコトさん。			風雲赤誠組							
一度会っただけなのに、文をよこすなんて何事だろうね？ともかく、開いて読んでみなよ。			一度会っただけなのに、文をよこすなんて何事だろうね？ともかく、開いて読んでみなよ。			風雲赤誠組							
(-マコトからの手紙-)拝啓、Forename殿。先日は誠にありがとうございました。貴方にお願いしたきことがあり、筆を取った次第です。			(-マコトからの手紙-)拝啓、Forename殿。先日は誠にありがとうございました。貴方にお願いしたきことがあり、筆を取った次第です。			風雲赤誠組							
