巴術士ギルドのトゥビルゲイムは、冒険者に任せたい仕事があるようだ。			巴術士ギルドのトゥビルゲイムは、冒険者に任せたい仕事があるようだ。			業火の召喚獣							
きちんと身体を休め、そして召喚士としての経験を積み、次の荒行に立ち向かう準備ができたら、また私を訪ねて。			きちんと身体を休め、そして召喚士としての経験を積み、次の荒行に立ち向かう準備ができたら、また私を訪ねて。			業火の召喚獣							
土の蛮神「タイタン」は、リムサ･ロミンサで大きな脅威になっていると聞くわ。きっと近々、リムサ･ロミンサは討伐隊を編成するはず。			土の蛮神「タイタン」は、リムサ･ロミンサで大きな脅威になっていると聞くわ。きっと近々、リムサ･ロミンサは討伐隊を編成するはず。			業火の召喚獣							
討伐に参加して「タイタン」を倒すのよ。次の召喚獣を生み出すためには、必要なことなの。危険だろうけど……がんばって！			討伐に参加して「タイタン」を倒すのよ。次の召喚獣を生み出すためには、必要なことなの。危険だろうけど……がんばって！			業火の召喚獣							
「召喚士」のジョブクエストが開始されました。次のクエストは「召喚士レベル35」以上で受注可能になります。			「召喚士」のジョブクエストが開始されました。次のクエストは「召喚士レベル35」以上で受注可能になります。			業火の召喚獣							
……近くにいるだけで、凄まじい熱気ね。でも、あなたと一緒なら、きっと大丈夫！			……近くにいるだけで、凄まじい熱気ね。でも、あなたと一緒なら、きっと大丈夫！			業火の召喚獣							
イフリート・エギが、ファイアスプライトを呼んだわ！囲まれないよう気を付けて、Forename！			イフリート・エギが、ファイアスプライトを呼んだわ！囲まれないよう気を付けて、Forename！			業火の召喚獣							
Forename、「紅蓮の楔」を壊して！あの楔が、イフリート・エギの力を高めているわ！			Forename、「紅蓮の楔」を壊して！あの楔が、イフリート・エギの力を高めているわ！			業火の召喚獣							
よし、「紅蓮の楔」は消滅したわ！一気にたたみこむわよ、Forename！			よし、「紅蓮の楔」は消滅したわ！一気にたたみこむわよ、Forename！			業火の召喚獣							
ごめんなさい……私の力が、足りなかった……。			ごめんなさい……私の力が、足りなかった……。			業火の召喚獣							
新しいジョブを修得しました！受け取ったソウルクリスタルを装備することで、ジョブチェンジができます。			新しいジョブを修得しました！受け取ったソウルクリスタルを装備することで、ジョブチェンジができます。			業火の召喚獣							
ジョブチェンジしたあとには、「ギアセット」を登録してみましょう！現在の装備が記録され、即座に着替えられるようになります。			ジョブチェンジしたあとには、「ギアセット」を登録してみましょう！現在の装備が記録され、即座に着替えられるようになります。			業火の召喚獣							
「ギアセット」の登録は、装備変更と同じ「マイキャラクター」の画面から行えます。			「ギアセット」の登録は、装備変更と同じ「マイキャラクター」の画面から行えます。			業火の召喚獣							
アプカル滝のヤ・ミトラは、冒険者に新しい荒行をしてほしいようだ。			アプカル滝のヤ・ミトラは、冒険者に新しい荒行をしてほしいようだ。			大地の召喚獣							
ヤ・ミトラから依頼を受けた。北部森林のアルダースプリングス南西にいる「ヤ・ミトラ」と話し、現れた召喚獣を討伐しよう。			ヤ・ミトラから依頼を受けた。北部森林のアルダースプリングス南西にいる「ヤ・ミトラ」と話し、現れた召喚獣を討伐しよう。			大地の召喚獣							
ヤ・ミトラと話し、現れた召喚獣を討伐した。北部森林のアルダースプリングス南西にいる「ヤ・ミトラ」と話そう。			ヤ・ミトラと話し、現れた召喚獣を討伐した。北部森林のアルダースプリングス南西にいる「ヤ・ミトラ」と話そう。			大地の召喚獣							
ヤ・ミトラと話した。グリダニアのアプカル滝にいる「ヤ・ミトラ」に報告しよう。			ヤ・ミトラと話した。グリダニアのアプカル滝にいる「ヤ・ミトラ」に報告しよう。			大地の召喚獣							
ヤ・ミトラに報告した。彼女は伝手を使って、アルダースプリングスで出会った襲撃者の正体を調べておくと言っていた。※召喚士のレベルが40以上になると、ヤ・ミトラから次の召喚士クエストを受注することができます。			ヤ・ミトラに報告した。彼女は伝手を使って、アルダースプリングスで出会った襲撃者の正体を調べておくと言っていた。※召喚士のレベルが40以上になると、ヤ・ミトラから次の召喚士クエストを受注することができます。			大地の召喚獣							
アルダースプリングス南西のヤ・ミトラと話す			アルダースプリングス南西のヤ・ミトラと話す			大地の召喚獣							
ヤ・ミトラと話す			ヤ・ミトラと話す			大地の召喚獣							
アプカル滝のヤ・ミトラに報告			アプカル滝のヤ・ミトラに報告			大地の召喚獣							
タイタン・エギを倒せ！			タイタン・エギを倒せ！			大地の召喚獣							
黒い召喚士を迎え討て！			黒い召喚士を迎え討て！			大地の召喚獣							
土の蛮神「タイタン」は、リムサ･ロミンサで大きな脅威になっていると聞くわ。タイタン討伐に参加して、倒すのよ。			土の蛮神「タイタン」は、リムサ･ロミンサで大きな脅威になっていると聞くわ。タイタン討伐に参加して、倒すのよ。			大地の召喚獣							
召喚獣を生み出すためには、蛮神を倒し、そのエーテルを身体に浴びる必要があるの。			召喚獣を生み出すためには、蛮神を倒し、そのエーテルを身体に浴びる必要があるの。			大地の召喚獣							
蛮神タイタンを討伐すると、ヤ・ミトラから次の召喚士クエストを受注することができます。			蛮神タイタンを討伐すると、ヤ・ミトラから次の召喚士クエストを受注することができます。			大地の召喚獣							
タイタン討伐を成したForenameなら、次なる召喚獣を呼ぶ荒行に、挑むことができるわ。			タイタン討伐を成したForenameなら、次なる召喚獣を呼ぶ荒行に、挑むことができるわ。			大地の召喚獣							
さっそく「土の荒行」を始めましょう。今のあなたなら、召喚獣「タイタン・エギ」を創りだし、従えることができるはずよ！			さっそく「土の荒行」を始めましょう。今のあなたなら、召喚獣「タイタン・エギ」を創りだし、従えることができるはずよ！			大地の召喚獣							
目的地は、北部森林「アルダースプリングス」南西。かの地は第七霊災時の衝撃で古代の地層が露出し、土属性の力が活性化しているの。			目的地は、北部森林「アルダースプリングス」南西。かの地は第七霊災時の衝撃で古代の地層が露出し、土属性の力が活性化しているの。			大地の召喚獣							
「土の荒行」には、最適な条件が揃っているわ。行きましょう、Forename。			「土の荒行」には、最適な条件が揃っているわ。行きましょう、Forename。			大地の召喚獣							
これからやってもらう「土の荒行」は、以前の「火の荒行」と本質的には同じ儀式よ。			これからやってもらう「土の荒行」は、以前の「火の荒行」と本質的には同じ儀式よ。			大地の召喚獣							
自分のエーテルを、この地で土に近づけるように瞑想する。そうすれば召喚獣「タイタン・エギ」が生まれるはずよ。			自分のエーテルを、この地で土に近づけるように瞑想する。そうすれば召喚獣「タイタン・エギ」が生まれるはずよ。			大地の召喚獣							
そして、現れた「タイタン・エギ」に、あなたの力を見せつければ……召喚獣を手にできる！さあ、やってみて！			そして、現れた「タイタン・エギ」に、あなたの力を見せつければ……召喚獣を手にできる！さあ、やってみて！			大地の召喚獣							
やったわね！			やったわね！			大地の召喚獣							
(-？？？？-)アラグの遺物を求めて来てみれば……思わぬ者らに遭遇したものだな。貴様ら、どこでその力を手にした？			(-？？？？-)アラグの遺物を求めて来てみれば……思わぬ者らに遭遇したものだな。貴様ら、どこでその力を手にした？			大地の召喚獣							
あなたこそ、何者なの？			あなたこそ、何者なの？			大地の召喚獣							
(-？？？？-)召喚魔法を手にしたのであれば、アレを持っているはずだ……。			(-？？？？-)召喚魔法を手にしたのであれば、アレを持っているはずだ……。			大地の召喚獣							
(-？？？？-)ちょうどいい。貴様らが何者であろうと、殺して奪うのみ。			(-？？？？-)ちょうどいい。貴様らが何者であろうと、殺して奪うのみ。			大地の召喚獣							
なッ……！？あの男も、召喚士だというの？			なッ……！？あの男も、召喚士だというの？			大地の召喚獣							
(-黒い召喚士-)さあ、我が聖業のために死ねッ！			(-黒い召喚士-)さあ、我が聖業のために死ねッ！			大地の召喚獣							
(-黒い召喚士-)チッ……やるな！			(-黒い召喚士-)チッ……やるな！			大地の召喚獣							
(-黒い召喚士-)しかし、この攻撃は受けとめられまい！			(-黒い召喚士-)しかし、この攻撃は受けとめられまい！			大地の召喚獣							
(-黒い召喚士-)創世の火を胸に抱く灼熱の獣よ！灰塵に帰せ、地獄の火炎ッ！！			(-黒い召喚士-)創世の火を胸に抱く灼熱の獣よ！灰塵に帰せ、地獄の火炎ッ！！			大地の召喚獣							
(-黒い召喚士-)何ッ！？			(-黒い召喚士-)何ッ！？			大地の召喚獣							
隙ありッ！			隙ありッ！			大地の召喚獣							
(-黒い召喚士-)チッ……イレギュラーが多すぎるか……。ここは退かせてもらおう！			(-黒い召喚士-)チッ……イレギュラーが多すぎるか……。ここは退かせてもらおう！			大地の召喚獣							
消えた……？いったい、何者だというの？			消えた……？いったい、何者だというの？			大地の召喚獣							
……とにかく「アプカル滝」に戻りましょう。この場でこうしていても、何もわからないわ。			……とにかく「アプカル滝」に戻りましょう。この場でこうしていても、何もわからないわ。			大地の召喚獣							
驚いた、と言うほかないわね。私たち以外に、召喚魔法を復活させた者がいたなんて。			驚いた、と言うほかないわね。私たち以外に、召喚魔法を復活させた者がいたなんて。			大地の召喚獣							
あの男が襲ってきたのは、私たちの持つ「何か」を求めてのことみたいだったけど。……彼の言動には、謎が多いわ。			あの男が襲ってきたのは、私たちの持つ「何か」を求めてのことみたいだったけど。……彼の言動には、謎が多いわ。			大地の召喚獣							
ともかく「タイタン・エギ」を手に入れられたことを、今は喜んでおきましょう。			ともかく「タイタン・エギ」を手に入れられたことを、今は喜んでおきましょう。			大地の召喚獣							
「タイタン・エギ」は、強力な召喚獣よ。きちんと使いこなせるよう、腕を磨いておいて。襲撃には十分に気を払いながら、ね。			「タイタン・エギ」は、強力な召喚獣よ。きちんと使いこなせるよう、腕を磨いておいて。襲撃には十分に気を払いながら、ね。			大地の召喚獣							
私は「聖コイナク財団」の伝手を使って、あの男の正体を探ってみる。……少し時間をちょうだい。			私は「聖コイナク財団」の伝手を使って、あの男の正体を探ってみる。……少し時間をちょうだい。			大地の召喚獣							
まるで押し潰されるかのよう……なんて存在感なの。さすがは、タイタンのエーテルから生まれた召喚獣……！			まるで押し潰されるかのよう……なんて存在感なの。さすがは、タイタンのエーテルから生まれた召喚獣……！			大地の召喚獣							
タイタン・エギが土属性の魔物を呼び寄せたわ！			タイタン・エギが土属性の魔物を呼び寄せたわ！			大地の召喚獣							
くっ……大地のエーテルが激しく乱れているわ……			くっ……大地のエーテルが激しく乱れているわ……			大地の召喚獣							
この俺と出会った、己の不幸を呪え！その嘆きごと、地獄の業火で焼き尽くしてやろう！			この俺と出会った、己の不幸を呪え！その嘆きごと、地獄の業火で焼き尽くしてやろう！			大地の召喚獣							
あいつ、ただ者じゃない……！気を付けて、Forename！！			あいつ、ただ者じゃない……！気を付けて、Forename！！			大地の召喚獣							
……少しはできるようだな。だが、この俺に勝てると考えるのは、増長というものだ！			……少しはできるようだな。だが、この俺に勝てると考えるのは、増長というものだ！			大地の召喚獣							
Forename、注意して！黒い召喚士の雰囲気が変わったわ！！			Forename、注意して！黒い召喚士の雰囲気が変わったわ！！			大地の召喚獣							
ごめんなさい……油断したわ……。			ごめんなさい……油断したわ……。			大地の召喚獣							
まさか……Forenameと同じ……召喚士にやられるなんて……！			まさか……Forenameと同じ……召喚士にやられるなんて……！			大地の召喚獣							
アプカル滝のヤ・ミトラは、冒険者に話があるようだ。			アプカル滝のヤ・ミトラは、冒険者に話があるようだ。			黒き召喚士の影							
アプカル滝のヤ・ミトラから依頼を受けた。南ザナラーンのリトルアラミゴにいる「元不滅隊の男」と話そう。			アプカル滝のヤ・ミトラから依頼を受けた。南ザナラーンのリトルアラミゴにいる「元不滅隊の男」と話そう。			黒き召喚士の影							
元不滅隊の男と話した。グリダニアのアプカル滝にいる「ヤ・ミトラ」に報告しよう。			元不滅隊の男と話した。グリダニアのアプカル滝にいる「ヤ・ミトラ」に報告しよう。			黒き召喚士の影							
アプカル滝のヤ・ミトラに報告した。リトルアラミゴでトリスタンの新しい情報は得ることはできなかった。しかし、彼が冒険者らを敵視していることだけは、はっきりとしたようだ。※召喚士のレベルが45以上になると、ヤ・ミトラから次の召喚士クエストを受注することができます。			アプカル滝のヤ・ミトラに報告した。リトルアラミゴでトリスタンの新しい情報は得ることはできなかった。しかし、彼が冒険者らを敵視していることだけは、はっきりとしたようだ。※召喚士のレベルが45以上になると、ヤ・ミトラから次の召喚士クエストを受注することができます。			黒き召喚士の影							
リトルアラミゴの元不滅隊の男と話す			リトルアラミゴの元不滅隊の男と話す			黒き召喚士の影							
アプカル滝のヤ・ミトラに報告			アプカル滝のヤ・ミトラに報告			黒き召喚士の影							
例の黒い召喚士の素性について、「聖コイナク財団」を通じて調べたのだけど……該当者とおぼしき人物がいたわ。			例の黒い召喚士の素性について、「聖コイナク財団」を通じて調べたのだけど……該当者とおぼしき人物がいたわ。			黒き召喚士の影							
彼は「イフリート・エギ」を使役していた。だから、過去に行われたイフリート討伐戦からの生還者を洗ってみたの……。			彼は「イフリート・エギ」を使役していた。だから、過去に行われたイフリート討伐戦からの生還者を洗ってみたの……。			黒き召喚士の影							
生還者のうち、現在、行方のわからない者は8名。それを種族、性別などで絞りこんだ結果、ひとりの容疑者が浮上したわ。			生還者のうち、現在、行方のわからない者は8名。それを種族、性別などで絞りこんだ結果、ひとりの容疑者が浮上したわ。			黒き召喚士の影							
元不滅隊の隊士で「トリスタン」という名の男よ。でも、彼がどうやって召喚魔法を修得し、何ゆえ私たちを襲ったのか……それは謎のままなの。			元不滅隊の隊士で「トリスタン」という名の男よ。でも、彼がどうやって召喚魔法を修得し、何ゆえ私たちを襲ったのか……それは謎のままなの。			黒き召喚士の影							
……彼が召喚魔法を悪用するなら、放置することはできない。召喚魔法は、正しき目的のために使うべきもの、いたずらに人を傷つけるための魔法じゃないもの。			……彼が召喚魔法を悪用するなら、放置することはできない。召喚魔法は、正しき目的のために使うべきもの、いたずらに人を傷つけるための魔法じゃないもの。			黒き召喚士の影							
彼を見極めて、最悪の場合、力ずくでも止める必要があるわ。悪用を放置すれば、召喚魔法は禁忌とされて、その使用を禁じられてしまうかもしれないから……。			彼を見極めて、最悪の場合、力ずくでも止める必要があるわ。悪用を放置すれば、召喚魔法は禁忌とされて、その使用を禁じられてしまうかもしれないから……。			黒き召喚士の影							
調査の結果、トリスタンの不滅隊時代の戦友が、「リトルアラミゴ」にいることがわかってるわ。その「元不滅隊の男」から、彼の話を聞きだしてみて。			調査の結果、トリスタンの不滅隊時代の戦友が、「リトルアラミゴ」にいることがわかってるわ。その「元不滅隊の男」から、彼の話を聞きだしてみて。			黒き召喚士の影							
まさか、本当に現れるとはな……。貴様が蛮神の力に染まったという愚か者か。			まさか、本当に現れるとはな……。貴様が蛮神の力に染まったという愚か者か。			黒き召喚士の影							
さっそく、このことをトリスタンに伝えなくては。おい、お前たち！　この場は任せるぞ！！			さっそく、このことをトリスタンに伝えなくては。おい、お前たち！　この場は任せるぞ！！			黒き召喚士の影							
そんなことが……！まさか、トリスタンに先回りされていたなんて。			そんなことが……！まさか、トリスタンに先回りされていたなんて。			黒き召喚士の影							
きっとForenameのことを、蛮神に魅入られた「信徒(テンパード)」だとでも、吹きこんでおいたに違いないわ。			きっとForenameのことを、蛮神に魅入られた「信徒(テンパード)」だとでも、吹きこんでおいたに違いないわ。			黒き召喚士の影							
あのトリスタンという男、かなり頭が切れるみたいね。けっして、おかしいわけではない……。			あのトリスタンという男、かなり頭が切れるみたいね。けっして、おかしいわけではない……。			黒き召喚士の影							
彼は、はっきりとした目的を持っている。その上で私たちに敵対し、召喚魔法を利用しているのよ。……それがわかっただけでも、収穫と思いましょう。			彼は、はっきりとした目的を持っている。その上で私たちに敵対し、召喚魔法を利用しているのよ。……それがわかっただけでも、収穫と思いましょう。			黒き召喚士の影							
それにしても、さすがはForenameね。とっさの襲撃にも耐えるだなんて。			それにしても、さすがはForenameね。とっさの襲撃にも耐えるだなんて。			黒き召喚士の影							
今回は無駄足を踏ませてしまって、悪かったわね。でも、そのあいだに記録の解読が少し進んだのよ。そこで発見された新しい術を、あなたに託すわ。			今回は無駄足を踏ませてしまって、悪かったわね。でも、そのあいだに記録の解読が少し進んだのよ。そこで発見された新しい術を、あなたに託すわ。			黒き召喚士の影							
あなたのように召喚獣を意のままに操れるのなら、この古の記録に記された術も使いこなせるはずだわ。気持ちを切り替えて、またがんばっていきましょう。			あなたのように召喚獣を意のままに操れるのなら、この古の記録に記された術も使いこなせるはずだわ。気持ちを切り替えて、またがんばっていきましょう。			黒き召喚士の影							
敵の気配を感じた！！			敵の気配を感じた！！			黒き召喚士の影							
アプカル滝のヤ・ミトラは、冒険者に話があるようだ。			アプカル滝のヤ・ミトラは、冒険者に話があるようだ。			アラグの装束							
アプカル滝のヤ・ミトラから依頼を受けた。モードゥナの聖コイナク財団の調査地にいる「ラムブルース」と話そう。			アプカル滝のヤ・ミトラから依頼を受けた。モードゥナの聖コイナク財団の調査地にいる「ラムブルース」と話そう。			アラグの装束							
ラムブルースと話した。モードゥナの聖コイナク財団の調査地にいる「困った調査員」と話し、出現する「ミラーナイト」を倒そう。			ラムブルースと話した。モードゥナの聖コイナク財団の調査地にいる「困った調査員」と話し、出現する「ミラーナイト」を倒そう。			アラグの装束							
困った調査員と話し、ミラーナイトを倒した。モードゥナの聖コイナク財団の調査地にいる「困った調査員」と話し、「召喚士の装束」をもらおう。			困った調査員と話し、ミラーナイトを倒した。モードゥナの聖コイナク財団の調査地にいる「困った調査員」と話し、「召喚士の装束」をもらおう。			アラグの装束							
困った調査員と話し、召喚士の装束をもらった。モードゥナの聖コイナク財団の調査地にいる「怯えた調査員」と話し、出現する「ミラーナイト」を倒そう。			困った調査員と話し、召喚士の装束をもらった。モードゥナの聖コイナク財団の調査地にいる「怯えた調査員」と話し、出現する「ミラーナイト」を倒そう。			アラグの装束							
怯えた調査員と話し、ミラーナイトを倒した。モードゥナの聖コイナク財団の調査地にいる「怯えた調査員」と話し、「召喚士の装束」をもらおう。			怯えた調査員と話し、ミラーナイトを倒した。モードゥナの聖コイナク財団の調査地にいる「怯えた調査員」と話し、「召喚士の装束」をもらおう。			アラグの装束							
