双剣士ギルドのジャックは、冒険者に変わった仕事を依頼したいようだ。			双剣士ギルドのジャックは、冒険者に変わった仕事を依頼したいようだ。			月影の導き							
あ、あの……。人探しの途中で、怖い人たちにぶつかって……因縁をつけられていたんです……。			あ、あの……。人探しの途中で、怖い人たちにぶつかって……因縁をつけられていたんです……。			月影の導き							
と、ところが、途中から、彼らは言い合いを始めて仲間割れを……。			と、ところが、途中から、彼らは言い合いを始めて仲間割れを……。			月影の導き							
そういうことでしたか、運が良かったですね。この辺りは酒を買い付けに来る海賊も少なくありませんし、気をつけた方がいいですよ。			そういうことでしたか、運が良かったですね。この辺りは酒を買い付けに来る海賊も少なくありませんし、気をつけた方がいいですよ。			月影の導き							
そうなのですね……ご忠告ありがとうございます。では、私は待ち合わせがあるので、これで失礼します。			そうなのですね……ご忠告ありがとうございます。では、私は待ち合わせがあるので、これで失礼します。			月影の導き							
……Forename、どう思います？			……Forename、どう思います？			月影の導き							
不思議な農婦についてどう思う？			不思議な農婦についてどう思う？			月影の導き							
怪しいと思う			怪しいと思う			月影の導き							
とくに何も思わない			とくに何も思わない			月影の導き							
あんたもですか、実はオレもです。彼女は「仲間割れをしていた」というけど、見てください……倒れてる連中は、綺麗に一撃でのされてます。			あんたもですか、実はオレもです。彼女は「仲間割れをしていた」というけど、見てください……倒れてる連中は、綺麗に一撃でのされてます。			月影の導き							
そうですか……オレは少し、違和感があるんですよね。彼女は「仲間割れをしていた」というけど、見てください……倒れてる連中は、綺麗に一撃でのされてます。			そうですか……オレは少し、違和感があるんですよね。彼女は「仲間割れをしていた」というけど、見てください……倒れてる連中は、綺麗に一撃でのされてます。			月影の導き							
ともかく、あの女性を追ってみましょう。向かったのは東の方角です。			ともかく、あの女性を追ってみましょう。向かったのは東の方角です。			月影の導き							
……見てください、ひどい状況だ。あの女性は、裏の者にでも喧嘩を売ったんですかね？こいつらは武器を持っている……農夫なんかじゃない。			……見てください、ひどい状況だ。あの女性は、裏の者にでも喧嘩を売ったんですかね？こいつらは武器を持っている……農夫なんかじゃない。			月影の導き							
(-農夫らしき男-)俺はもう……だめだ……。頼む……これをオボロ殿か、ツバメ様に……。			(-農夫らしき男-)俺はもう……だめだ……。頼む……これをオボロ殿か、ツバメ様に……。			月影の導き							
……ダメです、もう息がない。その受け取った袋に入っている「石」みたいなのは、お守りか何かですかね？			……ダメです、もう息がない。その受け取った袋に入っている「石」みたいなのは、お守りか何かですかね？			月影の導き							
……先ほどの女性を追いましょう。どうやら、高地ラノシア方面に向かったようです。			……先ほどの女性を追いましょう。どうやら、高地ラノシア方面に向かったようです。			月影の導き							
(-？？？？-)見ぃ～～つけたぁ～～～～～！			(-？？？？-)見ぃ～～つけたぁ～～～～～！			月影の導き							
(-奇妙な男-)はいはぁ～い、こんにちわぁ～ん！そんなしょうもない変装で、ボクを騙せるとでもォ？			(-奇妙な男-)はいはぁ～い、こんにちわぁ～ん！そんなしょうもない変装で、ボクを騙せるとでもォ？			月影の導き							
(-奇妙な男-)ウププ、なぁに守っちゃってんノ？かぁっこい～い！			(-奇妙な男-)ウププ、なぁに守っちゃってんノ？かぁっこい～い！			月影の導き							
(-奇妙な男-)でも、お・バ・カ・さ・ん！……その女、ただの農婦じゃないよぉ～ん。			(-奇妙な男-)でも、お・バ・カ・さ・ん！……その女、ただの農婦じゃないよぉ～ん。			月影の導き							
(-奇妙な男-)はぁ～～～、教科書どおりのダッサい暗殺作法……。……相変わらずの優等生らしい石頭だネェ、オボロくぅ～ん。			(-奇妙な男-)はぁ～～～、教科書どおりのダッサい暗殺作法……。……相変わらずの優等生らしい石頭だネェ、オボロくぅ～ん。			月影の導き							
(-オボロと呼ばれた男-)お前の減らず口も、相変わらずでござろう、カラス！			(-オボロと呼ばれた男-)お前の減らず口も、相変わらずでござろう、カラス！			月影の導き							
(-カラスと呼ばれた男-)ああ、ボクは悲しいヨォ。同じ故郷を持つオトモダチ同士で、殺し合いなんてさァ。…………と、違ったネ。			(-カラスと呼ばれた男-)ああ、ボクは悲しいヨォ。同じ故郷を持つオトモダチ同士で、殺し合いなんてさァ。…………と、違ったネ。			月影の導き							
(-カラスと呼ばれた男-)口寄せた記憶のないゴミが、二匹ィ……。ボクの筋書きに、登場予定はなかったんだけど……ネェ？			(-カラスと呼ばれた男-)口寄せた記憶のないゴミが、二匹ィ……。ボクの筋書きに、登場予定はなかったんだけど……ネェ？			月影の導き							
(-カラスと呼ばれた男-)……へェ、キミっていい感じだネ！手合わせした人の「結末」って、大体わかるんだけどサ……。キミのはちょっと……想像できないみたいだ。			(-カラスと呼ばれた男-)……へェ、キミっていい感じだネ！手合わせした人の「結末」って、大体わかるんだけどサ……。キミのはちょっと……想像できないみたいだ。			月影の導き							
(-カラスと呼ばれた男-)うん、「謎の双剣使い」の登場か……面白い展開だヨ。今日のところはドロンと退散がイイかなァ……。……それじゃぁまたね、あっは～ん。			(-カラスと呼ばれた男-)うん、「謎の双剣使い」の登場か……面白い展開だヨ。今日のところはドロンと退散がイイかなァ……。……それじゃぁまたね、あっは～ん。			月影の導き							
(-オボロと呼ばれた男-)待て、カラス！！……チッ、相変わらず逃げ足が速い。			(-オボロと呼ばれた男-)待て、カラス！！……チッ、相変わらず逃げ足が速い。			月影の導き							
(-不思議な農婦-)あなた方は、先ほどの……。どうして、ここに……？			(-不思議な農婦-)あなた方は、先ほどの……。どうして、ここに……？			月影の導き							
オレたちは、双剣士ギルドの者……。あんたたちに聞きたいことがあって、追ってきたんですよ。			オレたちは、双剣士ギルドの者……。あんたたちに聞きたいことがあって、追ってきたんですよ。			月影の導き							
あんたたちは、いったい何者です？オレたちと同じ……裏に生きてきた者、特有の臭いがする。……答えによっては、見過ごせませんね。			あんたたちは、いったい何者です？オレたちと同じ……裏に生きてきた者、特有の臭いがする。……答えによっては、見過ごせませんね。			月影の導き							
(-オボロと呼ばれた男-)あの武術、やはりユウギリ様に聞いた「双剣士」か。蛇の道は蛇……もっと早くあなた方に接触するべきであった。承知した、嘘偽りなくお話しいたそう。			(-オボロと呼ばれた男-)あの武術、やはりユウギリ様に聞いた「双剣士」か。蛇の道は蛇……もっと早くあなた方に接触するべきであった。承知した、嘘偽りなくお話しいたそう。			月影の導き							
(-オボロと呼ばれた男-)なるほど、あなた方が噂に聞く「双剣士ギルド」の……。蛇の道は蛇……もっと早く、あなた方に接触するべきであった。……承知した、嘘偽りなくお話しいたそう。			(-オボロと呼ばれた男-)なるほど、あなた方が噂に聞く「双剣士ギルド」の……。蛇の道は蛇……もっと早く、あなた方に接触するべきであった。……承知した、嘘偽りなくお話しいたそう。			月影の導き							
我が名はオボロ、そして彼女はツバメと申す。我々は、東州オサード小大陸の辺境の地……ドマの隠れ里よりやってきた「忍び」の者。			我が名はオボロ、そして彼女はツバメと申す。我々は、東州オサード小大陸の辺境の地……ドマの隠れ里よりやってきた「忍び」の者。			月影の導き							
ドマの隠れ里から来た「忍び」……だって？ガレマール帝国に制圧されて属州にされた、あのドマ！？			ドマの隠れ里から来た「忍び」……だって？ガレマール帝国に制圧されて属州にされた、あのドマ！？			月影の導き							
……はい。あれは、厳しいのは確かだったものの、勝てたはずの戦……。里の忍びたちは、全力を尽くしました。			……はい。あれは、厳しいのは確かだったものの、勝てたはずの戦……。里の忍びたちは、全力を尽くしました。			月影の導き							
しかし、里のひとりが裏切り、帝国に情報を売ったことで、戦況は一変……。多くの命が失われ、結果、ドマは属州に戻ったのです。			しかし、里のひとりが裏切り、帝国に情報を売ったことで、戦況は一変……。多くの命が失われ、結果、ドマは属州に戻ったのです。			月影の導き							
その裏切り者は、帝国軍「隠密諜報部隊」の長となった。……それが先ほどの男……カラス。			その裏切り者は、帝国軍「隠密諜報部隊」の長となった。……それが先ほどの男……カラス。			月影の導き							
里を知り尽くした者を、敵軍に残しておくわけにはいかぬ……。我々は、里の長からの命を受け、カラスの誅殺に参った。			里を知り尽くした者を、敵軍に残しておくわけにはいかぬ……。我々は、里の長からの命を受け、カラスの誅殺に参った。			月影の導き							
ドマの忍びが裏切り者の誅殺……ですか。なるほど、事情はわかりました。			ドマの忍びが裏切り者の誅殺……ですか。なるほど、事情はわかりました。			月影の導き							
今回も、カラスをこの地まで誘導して挟撃する予定が…………多くの仲間を失うことになった。			今回も、カラスをこの地まで誘導して挟撃する予定が…………多くの仲間を失うことになった。			月影の導き							
……それは、亡くなった仲間の「忍者の証」。預かってくれていたのか、恩に着る……。役目を終えた者の「証」は、里に帰すことになっているのだ……。			……それは、亡くなった仲間の「忍者の証」。預かってくれていたのか、恩に着る……。役目を終えた者の「証」は、里に帰すことになっているのだ……。			月影の導き							
なっ！？　「証」が反応している……？驚いた、お主には忍びたる素質が備わっている様子。……どうだろう、我々と取引をせぬか？			なっ！？　「証」が反応している……？驚いた、お主には忍びたる素質が備わっている様子。……どうだろう、我々と取引をせぬか？			月影の導き							
我々がお主に「忍術」を伝授する代わりに、それで得た「力」と、この地に関する「知識」を、我々の任務のために貸してほしい。			我々がお主に「忍術」を伝授する代わりに、それで得た「力」と、この地に関する「知識」を、我々の任務のために貸してほしい。			月影の導き							
お、オボロ様！？里の技を、外の者に伝えるなど……良いのですか？			お、オボロ様！？里の技を、外の者に伝えるなど……良いのですか？			月影の導き							
……ツバメ、手が足りぬのだ。命を受けた忍びの中で、残る戦力は、もう我々ふたりのみ。それに、この地の知識をもたねば、隠密行動すら危うい。			……ツバメ、手が足りぬのだ。命を受けた忍びの中で、残る戦力は、もう我々ふたりのみ。それに、この地の知識をもたねば、隠密行動すら危うい。			月影の導き							
双剣士ギルドとしては、止めたいところですけど……。……まぁ、Forename。あんたみたいな冒険者にとっちゃ、ワクワクする話でしょうね？			双剣士ギルドとしては、止めたいところですけど……。……まぁ、Forename。あんたみたいな冒険者にとっちゃ、ワクワクする話でしょうね？			月影の導き							
興味があるなら、手伝ってあげては？この人たちが変なことをしないか、見張りを兼ねるってことで！			興味があるなら、手伝ってあげては？この人たちが変なことをしないか、見張りを兼ねるってことで！			月影の導き							
Forenameとやら、この取引に興味があるなら、「レインキャッチャー樹林」にある、船着場の平屋に参られよ。			Forenameとやら、この取引に興味があるなら、「レインキャッチャー樹林」にある、船着場の平屋に参られよ。			月影の導き							
……やれやれ！それじゃあオレは帰りますよ、次の仕事が待ってますからね。Forename、あとは任せました。			……やれやれ！それじゃあオレは帰りますよ、次の仕事が待ってますからね。Forename、あとは任せました。			月影の導き							
先ほどカラスの放った刃をかわした、あなたの才……。もしかして、本当に忍びたる素質が……？			先ほどカラスの放った刃をかわした、あなたの才……。もしかして、本当に忍びたる素質が……？			月影の導き							
……ここに現れたということは、取引に応じると解釈してよいのであろうな？			……ここに現れたということは、取引に応じると解釈してよいのであろうな？			月影の導き							
取引に応じる？			取引に応じる？			月影の導き							
はい			はい			月影の導き							
いいえ			いいえ			月影の導き							
……感謝する。忍びの里を代表する者として、礼を言わせてくれ。			……感謝する。忍びの里を代表する者として、礼を言わせてくれ。			月影の導き							
詳しい話は、この中で話そう。ここは、かぎられた者しか入れぬように、合い言葉を取り決めている。			詳しい話は、この中で話そう。ここは、かぎられた者しか入れぬように、合い言葉を取り決めている。			月影の導き							
そこにいる、ビャクブという門番に話しかけ、「アヤメ」と問われたら、「カエデ」と答えてくれ。さすれば、中に入ることができよう。			そこにいる、ビャクブという門番に話しかけ、「アヤメ」と問われたら、「カエデ」と答えてくれ。さすれば、中に入ることができよう。			月影の導き							
そうか……残念だ。気持ちに変化があったら、いつでも言ってほしい。			そうか……残念だ。気持ちに変化があったら、いつでも言ってほしい。			月影の導き							
オボロ様の決めたことなら従います。どうか、ご協力のほど、よろしくお願いいたします。			オボロ様の決めたことなら従います。どうか、ご協力のほど、よろしくお願いいたします。			月影の導き							
……合言葉を述べよ。アヤメ……。			……合言葉を述べよ。アヤメ……。			月影の導き							
何と答える？			何と答える？			月影の導き							
カエデ			カエデ			月影の導き							
カエル			カエル			月影の導き							
……お前を迎えよう。オボロ様が、お待ちだ……。			……お前を迎えよう。オボロ様が、お待ちだ……。			月影の導き							
……立ち去るがいい。			……立ち去るがいい。			月影の導き							
……お前を迎えよう。オボロ様が、お待ちだ……。			……お前を迎えよう。オボロ様が、お待ちだ……。			月影の導き							
よく来てくれた、Forename。……ここは、エオルゼアにおける我らが拠点。			よく来てくれた、Forename。……ここは、エオルゼアにおける我らが拠点。			月影の導き							
この位置なら帝国軍の基地もほど近く、カラスの動きを見張るには丁度よくてな。地元の船渡しに雇われる形で、ここに住み込んでいる。			この位置なら帝国軍の基地もほど近く、カラスの動きを見張るには丁度よくてな。地元の船渡しに雇われる形で、ここに住み込んでいる。			月影の導き							
……さて、「忍者の証」だが、改めてお主に託そうと思う。一族の忍びの魂が込められた、その輝石を身に帯びることで、お主は「忍者」たる覚悟を「心」に据えることとなろう。			……さて、「忍者の証」だが、改めてお主に託そうと思う。一族の忍びの魂が込められた、その輝石を身に帯びることで、お主は「忍者」たる覚悟を「心」に据えることとなろう。			月影の導き							
忍びが扱う「忍術」は、隠れ里に伝わってきた歴史ある技……。乱世に生きる民が己の身を守るため編み出し、磨き上げてきた独自の技術でござる。			忍びが扱う「忍術」は、隠れ里に伝わってきた歴史ある技……。乱世に生きる民が己の身を守るため編み出し、磨き上げてきた独自の技術でござる。			月影の導き							
天地人のすべてに満ちる気……お主たちエオルゼアの民は、「エーテル」というのであったな。これを操りつつ、体術と合わせ闘うのが「忍者」だ。			天地人のすべてに満ちる気……お主たちエオルゼアの民は、「エーテル」というのであったな。これを操りつつ、体術と合わせ闘うのが「忍者」だ。			月影の導き							
その基本となるのが、気を結ぶための「印」……。最初に教えるのは、大気に満ちるエーテルを結ぶ「天の印」。そして、結んだ気を力と成して放つ技……「忍術」だ！			その基本となるのが、気を結ぶための「印」……。最初に教えるのは、大気に満ちるエーテルを結ぶ「天の印」。そして、結んだ気を力と成して放つ技……「忍術」だ！			月影の導き							
扱い方を伝授するのは、お主が正式な「忍者」となってからとしよう……。「忍者の証」を装備してから、再度、私に声をかけるがよい。			扱い方を伝授するのは、お主が正式な「忍者」となってからとしよう……。「忍者の証」を装備してから、再度、私に声をかけるがよい。			月影の導き							
オボロは、冒険者に印の使い方について説明したいようだ。			オボロは、冒険者に印の使い方について説明したいようだ。			刃と心で為すがもの							
オボロから修行を言い渡された。「天の印」を結んだあと「忍術」を発動すれば、「風魔手裏剣」を使うことができるらしい。さっそく、船着場の平屋の外にある「東方風の木人」に「風魔手裏剣」を使ってみよう。			オボロから修行を言い渡された。「天の印」を結んだあと「忍術」を発動すれば、「風魔手裏剣」を使うことができるらしい。さっそく、船着場の平屋の外にある「東方風の木人」に「風魔手裏剣」を使ってみよう。			刃と心で為すがもの							
東方風の木人に「風魔手裏剣」を使うことができた。船着場の平屋の前にいる「オボロ」に報告をしよう。			東方風の木人に「風魔手裏剣」を使うことができた。船着場の平屋の前にいる「オボロ」に報告をしよう。			刃と心で為すがもの							
次は、オボロが修行の相手をしてくれるらしい。船着場の平屋の前にいる「オボロ」と話して修行をしよう。			次は、オボロが修行の相手をしてくれるらしい。船着場の平屋の前にいる「オボロ」と話して修行をしよう。			刃と心で為すがもの							
修行を乗り越えることができた。船着場の平屋の前にいる「オボロ」と話そう。			修行を乗り越えることができた。船着場の平屋の前にいる「オボロ」と話そう。			刃と心で為すがもの							
オボロとツバメは、冒険者の飲み込みの良さに感心をしていた。次の修行に備え、鍛錬を積んでおこう。※忍者のレベルが35以上になると、ツバメから次の忍者クエストを受注することができます。			オボロとツバメは、冒険者の飲み込みの良さに感心をしていた。次の修行に備え、鍛錬を積んでおこう。※忍者のレベルが35以上になると、ツバメから次の忍者クエストを受注することができます。			刃と心で為すがもの							
東方風の木人に風魔手裏剣を使う			東方風の木人に風魔手裏剣を使う			刃と心で為すがもの							
オボロに報告			オボロに報告			刃と心で為すがもの							
オボロと話して修行をする			オボロと話して修行をする			刃と心で為すがもの							
オボロと話す			オボロと話す			刃と心で為すがもの							
うむ、「忍者の証」を身につけたようだな。Forename……これでお主も、我々と同じ「忍び」だ。			うむ、「忍者の証」を身につけたようだな。Forename……これでお主も、我々と同じ「忍び」だ。			刃と心で為すがもの							
……ゴホン。汝、忍びたる者に告ぐ。			……ゴホン。汝、忍びたる者に告ぐ。			刃と心で為すがもの							
忍びの道は、刃と心で為すがもの。儚き心は儚き刃に、虚う心は虚う刃に。強く正しき忍びの道は、強く正しき心の先に……。			忍びの道は、刃と心で為すがもの。儚き心は儚き刃に、虚う心は虚う刃に。強く正しき忍びの道は、強く正しき心の先に……。			刃と心で為すがもの							
……亡き師からの受け売りだ。忍びたるもの、冷静沈着、一意専心な「正しき心」を持つように。			……亡き師からの受け売りだ。忍びたるもの、冷静沈着、一意専心な「正しき心」を持つように。			刃と心で為すがもの							
さて、さっそくだが、「忍術」の扱い方について、修行を始めるといたそう。			さて、さっそくだが、「忍術」の扱い方について、修行を始めるといたそう。			刃と心で為すがもの							
「忍術」の効果は、結ぶ「印」と、その順番によって決まる。今、お主が結べるのは、先ほど教えた「天の印」のみ。			「忍術」の効果は、結ぶ「印」と、その順番によって決まる。今、お主が結べるのは、先ほど教えた「天の印」のみ。			刃と心で為すがもの							
お主の成長に応じ、新たな「印」を教えていくつもりだが、まずは「天の印」の扱いに習熟してもらわねばならぬ。			お主の成長に応じ、新たな「印」を教えていくつもりだが、まずは「天の印」の扱いに習熟してもらわねばならぬ。			刃と心で為すがもの							
「天の印」を結んだら、直ちに「忍術」を発動せよ……さすれば、風を結びし魔の投剣……「風魔手裏剣」が現れよう。			「天の印」を結んだら、直ちに「忍術」を発動せよ……さすれば、風を結びし魔の投剣……「風魔手裏剣」が現れよう。			刃と心で為すがもの							
平屋の外に、修行用の「東方風の木人」を用意しておいた。これにお主の「風魔手裏剣」を放ってみせるのだ。			平屋の外に、修行用の「東方風の木人」を用意しておいた。これにお主の「風魔手裏剣」を放ってみせるのだ。			刃と心で為すがもの							
「天の印」を結んだら、直ちに「忍術」を発動せよ……さすれば、風を結びし魔の投剣……「風魔手裏剣」が現れよう。これを「東方風の木人」に対して放ってみせるのだ。			「天の印」を結んだら、直ちに「忍術」を発動せよ……さすれば、風を結びし魔の投剣……「風魔手裏剣」が現れよう。これを「東方風の木人」に対して放ってみせるのだ。			刃と心で為すがもの							
正式に「忍者の証」を引き継いだのですね。これで我々は仲間……ともに、がんばりましょう！			正式に「忍者の証」を引き継いだのですね。これで我々は仲間……ともに、がんばりましょう！			刃と心で為すがもの							
東方風の木人が設置してある……。			東方風の木人が設置してある……。			刃と心で為すがもの							
うむ、上出来だ。見事に「風魔手裏剣」を体得したようだな。「忍術」というのは、興味深いであろう？			うむ、上出来だ。見事に「風魔手裏剣」を体得したようだな。「忍術」というのは、興味深いであろう？			刃と心で為すがもの							
それに、忍びの心得により、身体も軽く感じるはず。抜刀した状態で、回転飛びをすることも容易でござろう。まぁ、あまり跳ねすぎると怪我の元だがな。			それに、忍びの心得により、身体も軽く感じるはず。抜刀した状態で、回転飛びをすることも容易でござろう。まぁ、あまり跳ねすぎると怪我の元だがな。			刃と心で為すがもの							
……よし、次は手合わせとまいろう。準備ができ次第、私に声をかけるがよい。			……よし、次は手合わせとまいろう。準備ができ次第、私に声をかけるがよい。			刃と心で為すがもの							
オボロ様と手合わせをするのですね。私は、ここで応援させてもらいます。			オボロ様と手合わせをするのですね。私は、ここで応援させてもらいます。			刃と心で為すがもの							
Forename様、お見事でした！「忍者の証」が輝いたのも頷ける才をお持ちです。			Forename様、お見事でした！「忍者の証」が輝いたのも頷ける才をお持ちです。			刃と心で為すがもの							
ふむ……ユウギリ様から聞いたとおりだ。			ふむ……ユウギリ様から聞いたとおりだ。			刃と心で為すがもの							
ふむ…………。			ふむ…………。			刃と心で為すがもの							
熟練の双剣士だけに、思いの外、飲み込みが早いようだ、素晴らしい。……と、オボロ様は言いたいようですよ？			熟練の双剣士だけに、思いの外、飲み込みが早いようだ、素晴らしい。……と、オボロ様は言いたいようですよ？			刃と心で為すがもの							
ツバメ…………まぁいい。確かに、流れるような良い「刃」であった。			ツバメ…………まぁいい。確かに、流れるような良い「刃」であった。			刃と心で為すがもの							
……さて、今度は、我々が教えを請う番だ。エオルゼアの風習について尋ねたいのだが、よいか？			……さて、今度は、我々が教えを請う番だ。エオルゼアの風習について尋ねたいのだが、よいか？			刃と心で為すがもの							
……協力に感謝する。			……協力に感謝する。			刃と心で為すがもの							
まず、東ラノシアにおける…………む、さっそく礼がおかしいと？			まず、東ラノシアにおける…………む、さっそく礼がおかしいと？			刃と心で為すがもの							
ふむ……こ、こんな感じでどうだ？やはり、里を遠く離れた任務は難しいな……ゴホッ。			ふむ……こ、こんな感じでどうだ？やはり、里を遠く離れた任務は難しいな……ゴホッ。			刃と心で為すがもの							
オボロ様は、こちらにきてから体調が優れませんね……。この地に関する「知識」とともに、焦らず、身体を慣らしていきましょう。			オボロ様は、こちらにきてから体調が優れませんね……。この地に関する「知識」とともに、焦らず、身体を慣らしていきましょう。			刃と心で為すがもの							
……なに、早く任務を終わらせ、里に帰れば良いだけのこと。Forename、今日はこれまでにいたそう。「忍術」の扱いに慣れたとき、またこの平屋を訪ねてくれ。			……なに、早く任務を終わらせ、里に帰れば良いだけのこと。Forename、今日はこれまでにいたそう。「忍術」の扱いに慣れたとき、またこの平屋を訪ねてくれ。			刃と心で為すがもの							
……オボロ様、まずは礼の練習からですね。			……オボロ様、まずは礼の練習からですね。			刃と心で為すがもの							
