円蓋の座のチョラ・ゾイは、憧れの人物の到着を待ちかねているようだ。			円蓋の座のチョラ・ゾイは、憧れの人物の到着を待ちかねているようだ。			職人に寄り添う新道具							
私の心意気、ですか……。職人たちに寄り添うような道具を作りたいとは思いますが、まだ全体像までは描けていなくって……。			私の心意気、ですか……。職人たちに寄り添うような道具を作りたいとは思いますが、まだ全体像までは描けていなくって……。			職人に寄り添う新道具							
気に病む必要はない。「職人に寄り添う道具」という芯さえあれば、歩み出せよう。共に職人としての道を、果てまで邁進しようではないか！			気に病む必要はない。「職人に寄り添う道具」という芯さえあれば、歩み出せよう。共に職人としての道を、果てまで邁進しようではないか！			職人に寄り添う新道具							
いずれ弟子を持つような立派な職人になりたいと、語っていた夢が叶いそうですわね？			いずれ弟子を持つような立派な職人になりたいと、語っていた夢が叶いそうですわね？			職人に寄り添う新道具							
なんと……そんな些細な言葉を、覚えていてくださったのか。			なんと……そんな些細な言葉を、覚えていてくださったのか。			職人に寄り添う新道具							
ノルヴラントは今、100年の停滞を超え、大きく歩み出そうとしていますわ。これからの新しい道具は、その世界を形作っていくことでしょう。			ノルヴラントは今、100年の停滞を超え、大きく歩み出そうとしていますわ。これからの新しい道具は、その世界を形作っていくことでしょう。			職人に寄り添う新道具							
モーエン商会としましても、若手職人の育成は、重要な事項と考えています。今回も、しっかりとした後援をお約束いたしますわ。			モーエン商会としましても、若手職人の育成は、重要な事項と考えています。今回も、しっかりとした後援をお約束いたしますわ。			職人に寄り添う新道具							
それならForenameにも手伝ってもらったら？腕のいい職人だっていうのは、あたしが保証するしさ。一緒に作業してもらえたら、より良い道具になると思うよ。			それならForenameにも手伝ってもらったら？腕のいい職人だっていうのは、あたしが保証するしさ。一緒に作業してもらえたら、より良い道具になると思うよ。			職人に寄り添う新道具							
おお、それは妙案だ！チョラ・ゾイの実力を見るのに加え、貴殿も加わってくれるのならば、ますます心強い！			おお、それは妙案だ！チョラ・ゾイの実力を見るのに加え、貴殿も加わってくれるのならば、ますます心強い！			職人に寄り添う新道具							
「闇の戦士」様も名を連ねるなら、新しい品に箔が付くどころか、この世に長く語り継がれるものが生み出されるかもしれません。そのような機会に関われることを、商人として光栄に思いますわ。			「闇の戦士」様も名を連ねるなら、新しい品に箔が付くどころか、この世に長く語り継がれるものが生み出されるかもしれません。そのような機会に関われることを、商人として光栄に思いますわ。			職人に寄り添う新道具							
グレノルト、あんたがクリスタリウムにいる間、どこか作業場が必要だろう？工芸館の外に天幕を張っておいたから、自由に使っておくれ。			グレノルト、あんたがクリスタリウムにいる間、どこか作業場が必要だろう？工芸館の外に天幕を張っておいたから、自由に使っておくれ。			職人に寄り添う新道具							
それはありがたい！工芸館の賑わいを感じられる場所で、仕事ができるとはな。さっそく、新たな「すたじお」に職人道具を広げようではないか。			それはありがたい！工芸館の賑わいを感じられる場所で、仕事ができるとはな。さっそく、新たな「すたじお」に職人道具を広げようではないか。			職人に寄り添う新道具							
さてっ、いったいどんな仕事を始められるんでしょうか！			さてっ、いったいどんな仕事を始められるんでしょうか！			職人に寄り添う新道具							
商会を立ち上げたばかりの頃を思い出しますわ。グレノルトさんが新しく作品を仕上げるたびに、駆けるように、品を受け取りに通っていましたの。			商会を立ち上げたばかりの頃を思い出しますわ。グレノルトさんが新しく作品を仕上げるたびに、駆けるように、品を受け取りに通っていましたの。			職人に寄り添う新道具							
モーエン様も、いつにないほど嬉しそうなご様子です。ユールモアからの道中も、とても楽しげでらしたんですよ。			モーエン様も、いつにないほど嬉しそうなご様子です。ユールモアからの道中も、とても楽しげでらしたんですよ。			職人に寄り添う新道具							
吾が海底に構えた「あとりえ」も、ミーン工芸館と同じ窯を移築したものでな。この街でなら、普段と変わらぬ仕事ができるというもの。			吾が海底に構えた「あとりえ」も、ミーン工芸館と同じ窯を移築したものでな。この街でなら、普段と変わらぬ仕事ができるというもの。			職人に寄り添う新道具							
精錬作業は錬鉄科の設備を使わせてもらうとして、ここに机を並べ、我らの「すたじお」としようではないか。			精錬作業は錬鉄科の設備を使わせてもらうとして、ここに机を並べ、我らの「すたじお」としようではないか。			職人に寄り添う新道具							
して、チョラ・ゾイよ。「職人に寄り添う道具」作りに着手する前に聞いておきたい。おぬしは、新製品の開発を手掛けたことはあるか？			して、チョラ・ゾイよ。「職人に寄り添う道具」作りに着手する前に聞いておきたい。おぬしは、新製品の開発を手掛けたことはあるか？			職人に寄り添う新道具							
うっ……それが恥ずかしながら経験がなくて……。私ってば、複製品作りは得意と自負してるんですが、新製品を考えるのが苦手なんです。			うっ……それが恥ずかしながら経験がなくて……。私ってば、複製品作りは得意と自負してるんですが、新製品を考えるのが苦手なんです。			職人に寄り添う新道具							
若き職人には、如何ともし難い悩みよ……ふむ。			若き職人には、如何ともし難い悩みよ……ふむ。			職人に寄り添う新道具							
……なれば、かつての吾の道具をひな形に「改良」し磨き上げ、新たな道具の姿を見出していくのは如何だろうか。			……なれば、かつての吾の道具をひな形に「改良」し磨き上げ、新たな道具の姿を見出していくのは如何だろうか。			職人に寄り添う新道具							
ちょうどここに、用意してきた物がある。			ちょうどここに、用意してきた物がある。			職人に寄り添う新道具							
ぐ、グレノルトさんの作品ですか！？名道具としてノルヴラント中に流通しているものならば、私も、幾度となく複製品を作ったことがありますっ！			ぐ、グレノルトさんの作品ですか！？名道具としてノルヴラント中に流通しているものならば、私も、幾度となく複製品を作ったことがありますっ！			職人に寄り添う新道具							
ああ、海底に籠もる前は、吾も量産要望に忙殺されたものよ。夢のなかでも、頭髪が禿げあがるまで作り続けていたほどな。			ああ、海底に籠もる前は、吾も量産要望に忙殺されたものよ。夢のなかでも、頭髪が禿げあがるまで作り続けていたほどな。			職人に寄り添う新道具							
しかし、傑作に改良と称して手を加えるなんて、あまりにも恐れ多いですっ……！			しかし、傑作に改良と称して手を加えるなんて、あまりにも恐れ多いですっ……！			職人に寄り添う新道具							
完成させた品を磨き、新たな姿を見出そうとする試みは、最初はほんの戯れから始めてもよいものだ。そのなかから、やがて新たな可能性が芽吹くというもの。			完成させた品を磨き、新たな姿を見出そうとする試みは、最初はほんの戯れから始めてもよいものだ。そのなかから、やがて新たな可能性が芽吹くというもの。			職人に寄り添う新道具							
……懐かしいですわ。グレノルトさんは道具の材料に、私は伝票仕事に囲まれて、殺到する注文を前に、目を回していたのでしたっけ……。			……懐かしいですわ。グレノルトさんは道具の材料に、私は伝票仕事に囲まれて、殺到する注文を前に、目を回していたのでしたっけ……。			職人に寄り添う新道具							
いけません、モーエン殿！			いけません、モーエン殿！			職人に寄り添う新道具							
これは、かたじけない！油まみれの道具箱ゆえ、貴女の手が汚れてはと……！			これは、かたじけない！油まみれの道具箱ゆえ、貴女の手が汚れてはと……！			職人に寄り添う新道具							
私こそですわ、申し訳ありません！大切なこれからのお仕事の品に、触れようだなんて……。			私こそですわ、申し訳ありません！大切なこれからのお仕事の品に、触れようだなんて……。			職人に寄り添う新道具							
いや、そんな……！良いのです、よく知ってくれている貴女なのだから。			いや、そんな……！良いのです、よく知ってくれている貴女なのだから。			職人に寄り添う新道具							
あー……今後道具の改良を進めるにあたっての設計図は、かつての資料と吾の記憶から、すぐに起こせるであろう。実作業はチョラ・ゾイに任せるゆえ、存分に活用するがよいぞ。			あー……今後道具の改良を進めるにあたっての設計図は、かつての資料と吾の記憶から、すぐに起こせるであろう。実作業はチョラ・ゾイに任せるゆえ、存分に活用するがよいぞ。			職人に寄り添う新道具							
そうですわ、ご心配なさらず！必要な素材がありましたら、モーエン商会まで何なりと。どんな珍品でも用意してみせると、お約束いたしますわ。			そうですわ、ご心配なさらず！必要な素材がありましたら、モーエン商会まで何なりと。どんな珍品でも用意してみせると、お約束いたしますわ。			職人に寄り添う新道具							
モーエン殿、手厚いご協力に何と感謝を申したら……。			モーエン殿、手厚いご協力に何と感謝を申したら……。			職人に寄り添う新道具							
いいこと思い付きましたよっ！新しい道具の名前ですが、商会からの後援を記念して、「モーエンツール」とするのはどうでしょうか！？			いいこと思い付きましたよっ！新しい道具の名前ですが、商会からの後援を記念して、「モーエンツール」とするのはどうでしょうか！？			職人に寄り添う新道具							
そんな……チョラ・ゾイさん、滅多なことをおっしゃらないで？商人たるもの、人と物の縁を繋げるのに徹するべきです。何かに名前を残すだなんて、おこがましい限りですわ……！			そんな……チョラ・ゾイさん、滅多なことをおっしゃらないで？商人たるもの、人と物の縁を繋げるのに徹するべきです。何かに名前を残すだなんて、おこがましい限りですわ……！			職人に寄り添う新道具							
モーエンさんの、その誠実なお人柄ゆえですよっ！それに、グレノルトさんとモーエンさん、おふたりの再会も祝して、ということで！			モーエンさんの、その誠実なお人柄ゆえですよっ！それに、グレノルトさんとモーエンさん、おふたりの再会も祝して、ということで！			職人に寄り添う新道具							
吾らの再会をなどと言うと、どうも気恥ずかしいが……どうであろうか、Forename殿？			吾らの再会をなどと言うと、どうも気恥ずかしいが……どうであろうか、Forename殿？			職人に寄り添う新道具							
何と言う？			何と言う？			職人に寄り添う新道具							
誠実と謙虚を美徳とする商会の名を是非残そう			誠実と謙虚を美徳とする商会の名を是非残そう			職人に寄り添う新道具							
イインジャナイデショウカ……			イインジャナイデショウカ……			職人に寄り添う新道具							
それならば……一層、力添えは惜しみませんわ。新たな時代を助く力となる「モーエンツール」、きっと素晴らしい道具を作ってくださいませね！			それならば……一層、力添えは惜しみませんわ。新たな時代を助く力となる「モーエンツール」、きっと素晴らしい道具を作ってくださいませね！			職人に寄り添う新道具							
これで準備は整ったでしょうか？商会の者を残していきますから、私はまたの折に……。後援者として、しっかりと進捗を伺いにまいりますわ。			これで準備は整ったでしょうか？商会の者を残していきますから、私はまたの折に……。後援者として、しっかりと進捗を伺いにまいりますわ。			職人に寄り添う新道具							
詳しくは追って話すが、 改良のひな形となる道具を、ひとまずForename殿に渡しておこう。カットリス殿まで推薦する職人とあらば、誰よりも適任だ。			詳しくは追って話すが、 改良のひな形となる道具を、ひとまずForename殿に渡しておこう。カットリス殿まで推薦する職人とあらば、誰よりも適任だ。			職人に寄り添う新道具							
道具が複数必要なときは、こちらの「キナーナ」さんにお声がけを！私たちと一緒に、いつもテントにいてくれるはずですから！			道具が複数必要なときは、こちらの「キナーナ」さんにお声がけを！私たちと一緒に、いつもテントにいてくれるはずですから！			職人に寄り添う新道具							
いよいよ、道具の改良を始めていくことになりますね……！皆さん何卒、ご指導ご鞭撻のほどを！準備ができたら、またお声がけくださいね。			いよいよ、道具の改良を始めていくことになりますね……！皆さん何卒、ご指導ご鞭撻のほどを！準備ができたら、またお声がけくださいね。			職人に寄り添う新道具							
「モーエン・ツールチェスト」は、使用したクラスに応じた主道具が入手できます。入手したいクラスになってから、使用しましょう。			「モーエン・ツールチェスト」は、使用したクラスに応じた主道具が入手できます。入手したいクラスになってから、使用しましょう。			職人に寄り添う新道具							
それ以外のクラスの主道具は、ミーン工芸館前の「キナーナ」から入手できます。			それ以外のクラスの主道具は、ミーン工芸館前の「キナーナ」から入手できます。			職人に寄り添う新道具							
特殊ルール： ジョブ・クラス固定ミーン工芸館前のチョラ・ゾイは、「モーエンツール」の改良を始めたいようだ。			特殊ルール： ジョブ・クラス固定ミーン工芸館前のチョラ・ゾイは、「モーエンツール」の改良を始めたいようだ。			誠実な改良計画							
※本クエストには「 ジョブ・クラス固定」が、　設定されています。　受注時と同じクラスでのみ進行できます。「モーエンツール」の改良に必要な材料は、ミーン工芸館前の「キナーナ」に取引資本を渡すことで用意してもらえるようだ。ミーン工芸館前の「チョラ・ゾイ」に、所持品またはアーマリーチェストに入れた「モーエンツール」に改良する道具と、材料を渡して、次の段階へ改良してもらおう。			※本クエストには「 ジョブ・クラス固定」が、　設定されています。　受注時と同じクラスでのみ進行できます。「モーエンツール」の改良に必要な材料は、ミーン工芸館前の「キナーナ」に取引資本を渡すことで用意してもらえるようだ。ミーン工芸館前の「チョラ・ゾイ」に、所持品またはアーマリーチェストに入れた「モーエンツール」に改良する道具と、材料を渡して、次の段階へ改良してもらおう。			誠実な改良計画							
「モーエンツール」は「2段階目」となり、冒険者の手に馴染むよう、無事に改良できているようだ。さらなる性能の向上を目指すチョラ・ゾイたちと協力して、「モーエンツール」の改良を進めていこう。			「モーエンツール」は「2段階目」となり、冒険者の手に馴染むよう、無事に改良できているようだ。さらなる性能の向上を目指すチョラ・ゾイたちと協力して、「モーエンツール」の改良を進めていこう。			誠実な改良計画							
モーエン・ソーモーエン・クロスペインハンマーモーエン・レイジングハンマーモーエン・マレットモーエン・ナイフモーエン・ニードルモーエン・アレンビックモーエン・フライパンモーエン・ピックモーエン・ハチェットモーエン・ロッドを装備から外して、所持しモーエンツールの一次加工部材【木工】を60個集めモーエンツールの一次加工部材【鍛冶】を60個集めモーエンツールの一次加工部材【甲冑】を60個集めモーエンツールの一次加工部材【彫金】を60個集めモーエンツールの一次加工部材【革細工】を60個集めモーエンツールの一次加工部材【裁縫】を60個集めモーエンツールの一次加工部材【錬金】を60個集めモーエンツールの一次加工部材【調理】を60個集めモーエンツールの一次加工部材【採掘】を180個とモーエンツールの一次加工部材【園芸】を180個とモーエンツール・シャフトの一次加工部材【漁師】を60個と改良用のウォーターシャードを180個集め改良用のアースシャードを180個集めモーエンツール・リールの一次加工部材【漁師】を60個集めミーン工芸館前のチョラ・ゾイに渡す			モーエン・ソーモーエン・クロスペインハンマーモーエン・レイジングハンマーモーエン・マレットモーエン・ナイフモーエン・ニードルモーエン・アレンビックモーエン・フライパンモーエン・ピックモーエン・ハチェットモーエン・ロッドを装備から外して、所持しモーエンツールの一次加工部材【木工】を60個集めモーエンツールの一次加工部材【鍛冶】を60個集めモーエンツールの一次加工部材【甲冑】を60個集めモーエンツールの一次加工部材【彫金】を60個集めモーエンツールの一次加工部材【革細工】を60個集めモーエンツールの一次加工部材【裁縫】を60個集めモーエンツールの一次加工部材【錬金】を60個集めモーエンツールの一次加工部材【調理】を60個集めモーエンツールの一次加工部材【採掘】を180個とモーエンツールの一次加工部材【園芸】を180個とモーエンツール・シャフトの一次加工部材【漁師】を60個と改良用のウォーターシャードを180個集め改良用のアースシャードを180個集めモーエンツール・リールの一次加工部材【漁師】を60個集めミーン工芸館前のチョラ・ゾイに渡す			誠実な改良計画							
クエスト「誠実な改良計画」にて入手できる主道具は、現在のクラス「[Job]」のモーエンツールとなります。「誠実な改良計画」を「[Job]」で受注しますか？			クエスト「誠実な改良計画」にて入手できる主道具は、現在のクラス「[Job]」のモーエンツールとなります。「誠実な改良計画」を「[Job]」で受注しますか？			誠実な改良計画							
[Job]のモーエンツールを改良しますか？			[Job]のモーエンツールを改良しますか？			誠実な改良計画							
もう少し悩んでみる			もう少し悩んでみる			誠実な改良計画							
[Job]のモーエンツールを改良する			[Job]のモーエンツールを改良する			誠実な改良計画							
「誠実な改良計画」を受注した場合、クエストを完了、あるいは破棄するまで、ほかのクラスで「誠実な改良計画」を受注できません。			「誠実な改良計画」を受注した場合、クエストを完了、あるいは破棄するまで、ほかのクラスで「誠実な改良計画」を受注できません。			誠実な改良計画							
改良したいモーエンツールに応じたクラスとなり、再度、チョラ・ゾイに話しかけてください。			改良したいモーエンツールに応じたクラスとなり、再度、チョラ・ゾイに話しかけてください。			誠実な改良計画							
「[???]」を、所持または装備していないと、クエスト「誠実な改良計画」を受注することができません。			「[???]」を、所持または装備していないと、クエスト「誠実な改良計画」を受注することができません。			誠実な改良計画							
「[???]」はすでに取得済みです。ほかのクラスとなり、再度チョラ・ゾイに話しかけてください。			「[???]」はすでに取得済みです。ほかのクラスとなり、再度チョラ・ゾイに話しかけてください。			誠実な改良計画							
お渡しした道具はご確認いただけましたか？これから「モーエンツール」として改良していくにあたって、設計図を見せてもらっていたところです！			お渡しした道具はご確認いただけましたか？これから「モーエンツール」として改良していくにあたって、設計図を見せてもらっていたところです！			誠実な改良計画							
グレノルトさんのプランは本当にすごいんですっ！すでに完成していた道具を、数段階に分けて磨くことで、まるで進化させるかのような……はぁ～っ！			グレノルトさんのプランは本当にすごいんですっ！すでに完成していた道具を、数段階に分けて磨くことで、まるで進化させるかのような……はぁ～っ！			誠実な改良計画							
図面のみから吾の意図を読み取るとは驚いた。ならばさっそく、改良計画に着手しようではないか！			図面のみから吾の意図を読み取るとは驚いた。ならばさっそく、改良計画に着手しようではないか！			誠実な改良計画							
うひぃっ、本当にさっそくです！ががが、がんばりますね……！！			うひぃっ、本当にさっそくです！ががが、がんばりますね……！！			誠実な改良計画							
まずは、材料を揃えねばな。必要なものはモーエン商会が用意してくれるとのことだが、稀少な品の調達は容易ではない。			まずは、材料を揃えねばな。必要なものはモーエン商会が用意してくれるとのことだが、稀少な品の調達は容易ではない。			誠実な改良計画							
そこで貴殿の腕を借りたいのだ。モーエン商会に対価として納品する取引資本を用立ててほしい。それも、こたび「モーエンツール」に改良する道具を使用して、な。			そこで貴殿の腕を借りたいのだ。モーエン商会に対価として納品する取引資本を用立ててほしい。それも、こたび「モーエンツール」に改良する道具を使用して、な。			誠実な改良計画							
土台となる道具を使い込み、さらなる将来性を示してこそ、改良の方向性が正しいのかどうか、判断できるというもの。優れた職人でもある貴殿にこそ、託したいのだ。			土台となる道具を使い込み、さらなる将来性を示してこそ、改良の方向性が正しいのかどうか、判断できるというもの。優れた職人でもある貴殿にこそ、託したいのだ。			誠実な改良計画							
私も、稀少材料を無駄にしないように、作業工程を見直して、練習しておかないとっ……！			私も、稀少材料を無駄にしないように、作業工程を見直して、練習しておかないとっ……！			誠実な改良計画							
うむ、いい心がけだ。我らもForename殿の助力に恥じぬよう、誠心誠意、職人仕事に打ち込むとしよう。			うむ、いい心がけだ。我らもForename殿の助力に恥じぬよう、誠心誠意、職人仕事に打ち込むとしよう。			誠実な改良計画							
また改良にご協力いただけるんですか！？よぉしっ、新たな「モーエンツール」作りの始まりですね！			また改良にご協力いただけるんですか！？よぉしっ、新たな「モーエンツール」作りの始まりですね！			誠実な改良計画							
えぇと、そうすると……今回必要となる稀少材料は、「[???]」ですっ！			えぇと、そうすると……今回必要となる稀少材料は、「[???]」ですっ！			誠実な改良計画							
