スイの里のクレナイは、碧のタマミズのインバンを心待ちにしている。			スイの里のクレナイは、碧のタマミズのインバンを心待ちにしている。			ヒスイとクレナイ							
おそらく、魂そのものが眠りについているのではないかと。魂はヒスイの身体にあるが、疲れ、弱っている……。ゆえに目覚めの霊薬とは、魂に滋養をあたえる薬でしょう。			おそらく、魂そのものが眠りについているのではないかと。魂はヒスイの身体にあるが、疲れ、弱っている……。ゆえに目覚めの霊薬とは、魂に滋養をあたえる薬でしょう。			ヒスイとクレナイ							
(-？？？？-)そのとおりじゃ、シオサイどのぉ～！			(-？？？？-)そのとおりじゃ、シオサイどのぉ～！			ヒスイとクレナイ							
碧のタマミズの……インバン様！			碧のタマミズの……インバン様！			ヒスイとクレナイ							
ハハハ……噂をすれば何とやら、じゃのぉ～！目覚めの霊薬を、持ってきたぞぉ～！			ハハハ……噂をすれば何とやら、じゃのぉ～！目覚めの霊薬を、持ってきたぞぉ～！			ヒスイとクレナイ							
さっきの話じゃがのぉ～、この霊薬は、ワシらの場合は、孵るはずの卵がなかなか孵らぬときに、振る薬でなぁ～。生まれる魂のための、滋養の薬というわけじゃぁ～。			さっきの話じゃがのぉ～、この霊薬は、ワシらの場合は、孵るはずの卵がなかなか孵らぬときに、振る薬でなぁ～。生まれる魂のための、滋養の薬というわけじゃぁ～。			ヒスイとクレナイ							
「振る」とは…………？よもや飲み薬でなく、振りかける薬なのですか？			「振る」とは…………？よもや飲み薬でなく、振りかける薬なのですか？			ヒスイとクレナイ							
そうじゃ、振りかけるんじゃぁ～！たくさん作ってきたから、景気よく全身にかけるといいぃ～！			そうじゃ、振りかけるんじゃぁ～！たくさん作ってきたから、景気よく全身にかけるといいぃ～！			ヒスイとクレナイ							
ヒスイ！			ヒスイ！			ヒスイとクレナイ							
あなたをこんな目にあわせてしまって、本当にごめんなさい……！			あなたをこんな目にあわせてしまって、本当にごめんなさい……！			ヒスイとクレナイ							
えっと…………あの……何が起きたのでしょうか？			えっと…………あの……何が起きたのでしょうか？			ヒスイとクレナイ							
そういうことだったんですね。そこまでしてくださった姫様、そして異邦のお方には、何と御礼を言ってよいか……。			そういうことだったんですね。そこまでしてくださった姫様、そして異邦のお方には、何と御礼を言ってよいか……。			ヒスイとクレナイ							
本当に、ごめんね…………ヒスイ……。			本当に、ごめんね…………ヒスイ……。			ヒスイとクレナイ							
あたしが身がわりを買って出たのは、ただ、姫様に無事でいてほしかったから……。だから謝られることなんて、何もありませんよ？			あたしが身がわりを買って出たのは、ただ、姫様に無事でいてほしかったから……。だから謝られることなんて、何もありませんよ？			ヒスイとクレナイ							
……ありがとう。			……ありがとう。			ヒスイとクレナイ							
……しかし、本当によく似た娘さんたちじゃのう。ワシには、まったく区別がつかんわぁ～。			……しかし、本当によく似た娘さんたちじゃのう。ワシには、まったく区別がつかんわぁ～。			ヒスイとクレナイ							
ふむ……たしかに。			ふむ……たしかに。			ヒスイとクレナイ							
掟により、姫様は再び紫水宮へと戻り、日々の儀式を執り行わねばなりません。貴方と会えるのも、これで最後ということになりますが……。			掟により、姫様は再び紫水宮へと戻り、日々の儀式を執り行わねばなりません。貴方と会えるのも、これで最後ということになりますが……。			ヒスイとクレナイ							
あまりに長く外界との接触を断つと、了見も狭くなり、為政者としての判断を誤ります。……そのあたりを踏まえまして、今後のことを考えましょう。			あまりに長く外界との接触を断つと、了見も狭くなり、為政者としての判断を誤ります。……そのあたりを踏まえまして、今後のことを考えましょう。			ヒスイとクレナイ							
ひとまずは、我らに最良の結果をもたらした貴方に、大いなる感謝と賛辞とをささげたく……。			ひとまずは、我らに最良の結果をもたらした貴方に、大いなる感謝と賛辞とをささげたく……。			ヒスイとクレナイ							
いよいよ、あなた様ともお別れなのですね……。最後に、私たちがお見送りします。			いよいよ、あなた様ともお別れなのですね……。最後に、私たちがお見送りします。			ヒスイとクレナイ							
姫様とヒスイは、ご覧いただいたように、とてもよく似ておりますゆえ……恥ずかしながら、私も間違いそうになることがございます……。			姫様とヒスイは、ご覧いただいたように、とてもよく似ておりますゆえ……恥ずかしながら、私も間違いそうになることがございます……。			ヒスイとクレナイ							
この目立つ格好で、長くいるのはよろしくありませんね。姫様が禁を破り、里に出てきたのではと、怪しまれてしまいます……。			この目立つ格好で、長くいるのはよろしくありませんね。姫様が禁を破り、里に出てきたのではと、怪しまれてしまいます……。			ヒスイとクレナイ							
本当に、お世話になりました……！あなた様との旅の思い出は、私にとって、月夜の珊瑚のごとくきらめきつづける、一生の宝でございます。			本当に、お世話になりました……！あなた様との旅の思い出は、私にとって、月夜の珊瑚のごとくきらめきつづける、一生の宝でございます。			ヒスイとクレナイ							
遠い異邦からやってきた旅人が、海の底で出会った姫様と、幻の霊薬を求めて旅をする……。何だか、この方の旅そのものが、御伽噺みたいに聞こえます。			遠い異邦からやってきた旅人が、海の底で出会った姫様と、幻の霊薬を求めて旅をする……。何だか、この方の旅そのものが、御伽噺みたいに聞こえます。			ヒスイとクレナイ							
あの御伽草子も、同じように数奇な旅をした誰かの旅を、どなたかが書き記したものなのかもしれませんね……！			あの御伽草子も、同じように数奇な旅をした誰かの旅を、どなたかが書き記したものなのかもしれませんね……！			ヒスイとクレナイ							
さて、私はこれを最後に、紫水宮へと戻りますが……実はシオサイのはからいで、この里へなら、お忍びで訪れてもよいことになったのです……！			さて、私はこれを最後に、紫水宮へと戻りますが……実はシオサイのはからいで、この里へなら、お忍びで訪れてもよいことになったのです……！			ヒスイとクレナイ							
そう……ときどきなら、召し物をあたしと交換して、「ヒスイ」のふりをして、里を訪ねてもいいって！			そう……ときどきなら、召し物をあたしと交換して、「ヒスイ」のふりをして、里を訪ねてもいいって！			ヒスイとクレナイ							
……シオサイですら、区別がつかないといいますもの。どちらがどちらか、まずわかりませんわよね？			……シオサイですら、区別がつかないといいますもの。どちらがどちらか、まずわかりませんわよね？			ヒスイとクレナイ							
ためしにお顔を近づけて、よく見てくださいまし。私はクレナイでしょうか……それともヒスイでしょうか？			ためしにお顔を近づけて、よく見てくださいまし。私はクレナイでしょうか……それともヒスイでしょうか？			ヒスイとクレナイ							
何と答える？			何と答える？			ヒスイとクレナイ							
クレナイ？			クレナイ？			ヒスイとクレナイ							
……実は、ヒスイ？			……実は、ヒスイ？			ヒスイとクレナイ							
ふふふ……ひっかかりましたね！実はさっき、召し物を交換してきたんです。ですから本当は、あたしがヒスイなのですけど……？			ふふふ……ひっかかりましたね！実はさっき、召し物を交換してきたんです。ですから本当は、あたしがヒスイなのですけど……？			ヒスイとクレナイ							
お気づきになりませんでした？つかのまとはいえ、旅をともにした間柄ですのに……。			お気づきになりませんでした？つかのまとはいえ、旅をともにした間柄ですのに……。			ヒスイとクレナイ							
……おふざけはこのへんでやめておきましょう、ヒスイ。しんみりするはずのお別れが、台無しです。			……おふざけはこのへんでやめておきましょう、ヒスイ。しんみりするはずのお別れが、台無しです。			ヒスイとクレナイ							
ご心配なく……。あなた様のお見立てどおり、私が本物のクレナイです。さすがの眼力でございましたね。			ご心配なく……。あなた様のお見立てどおり、私が本物のクレナイです。さすがの眼力でございましたね。			ヒスイとクレナイ							
すごい……よくわかりましたね！実はさっき、召し物を交換してきたんです。ですから本当は、あたしがヒスイです。			すごい……よくわかりましたね！実はさっき、召し物を交換してきたんです。ですから本当は、あたしがヒスイです。			ヒスイとクレナイ							
おや……姫様、何を言いだされるのです？あたしが本物のヒスイですけれど？			おや……姫様、何を言いだされるのです？あたしが本物のヒスイですけれど？			ヒスイとクレナイ							
あらあら……ヒスイ、そこは私の嘘に乗ってくれないと。もう少しで、本当にだまされていただけましたのに……。			あらあら……ヒスイ、そこは私の嘘に乗ってくれないと。もう少しで、本当にだまされていただけましたのに……。			ヒスイとクレナイ							
申し訳ありません……悪ふざけが過ぎました。私が本物のクレナイです。でも、あなた様が間違うほどですもの……まずは安心ですね。			申し訳ありません……悪ふざけが過ぎました。私が本物のクレナイです。でも、あなた様が間違うほどですもの……まずは安心ですね。			ヒスイとクレナイ							
それでは私たちは、紫水宮へ戻ります。お別れではありますけれど、御縁があればまたお会いできるはず。だから笑顔で、ごきげんよう……！			それでは私たちは、紫水宮へ戻ります。お別れではありますけれど、御縁があればまたお会いできるはず。だから笑顔で、ごきげんよう……！			ヒスイとクレナイ							
碧のタマミズのクレナイは、ジッカンと話す覚悟を決めたようだ。			碧のタマミズのクレナイは、ジッカンと話す覚悟を決めたようだ。			「外」を知るために							
スイの里のジッカンと話す			スイの里のジッカンと話す			「外」を知るために							
紅玉台場の指定地点で待機			紅玉台場の指定地点で待機			「外」を知るために							
楽座街のクレナイと話す			楽座街のクレナイと話す			「外」を知るために							
碧のタマミズのクレナイと話す			碧のタマミズのクレナイと話す			「外」を知るために							
弱音を吐いていられる状況ではありませんね。ジッカンは、私が禁を破ったことを盾に、「外」との交流を諦めさせようとしてくるでしょう。			弱音を吐いていられる状況ではありませんね。ジッカンは、私が禁を破ったことを盾に、「外」との交流を諦めさせようとしてくるでしょう。			「外」を知るために							
開国の芽が潰えるのは、何としても避けねばなりません。巻き込んですみませんが、おふたりも、「スイの里」まで、いらしてくださいまし……。			開国の芽が潰えるのは、何としても避けねばなりません。巻き込んですみませんが、おふたりも、「スイの里」まで、いらしてくださいまし……。			「外」を知るために							
きっとジッカンは、シオサイのところにいるはずです。私も、すぐにサナナさんと「スイの里」へ向かいますので……。			きっとジッカンは、シオサイのところにいるはずです。私も、すぐにサナナさんと「スイの里」へ向かいますので……。			「外」を知るために							
ヒスイが、ジッカン殿とやってきたということは……。ついに、気づかれてしまったのですね……。			ヒスイが、ジッカン殿とやってきたということは……。ついに、気づかれてしまったのですね……。			「外」を知るために							
私のせいで、姫様の願いが潰えるようなことになったら、なんとお詫びしたらいいか……。			私のせいで、姫様の願いが潰えるようなことになったら、なんとお詫びしたらいいか……。			「外」を知るために							
やっとお越しになりましたか、待ちくたびれましたぞ。それにしても……。			やっとお越しになりましたか、待ちくたびれましたぞ。それにしても……。			「外」を知るために							
こうして並ばれると、本当に瓜ふたつですな。わしら官吏も、すっかり騙されておりましたわ……。			こうして並ばれると、本当に瓜ふたつですな。わしら官吏も、すっかり騙されておりましたわ……。			「外」を知るために							
だが……民を謀り、紅玉姫が外を出歩くなど言語道断！姫様とヒスイには、今すぐ本来の務めに戻っていただきます。もちろん、外との交流とやらも打ち切らせていただこう！			だが……民を謀り、紅玉姫が外を出歩くなど言語道断！姫様とヒスイには、今すぐ本来の務めに戻っていただきます。もちろん、外との交流とやらも打ち切らせていただこう！			「外」を知るために							
待ってください……。私への処罰はともかく、交流の件はまったく別の話です！			待ってください……。私への処罰はともかく、交流の件はまったく別の話です！			「外」を知るために							
サナナさんと、Forename様のご尽力により、多くの民が、耐えるしかなかった苦痛を和らげてきました。伝統に固執するだけでは、なし得なかったことです！			サナナさんと、Forename様のご尽力により、多くの民が、耐えるしかなかった苦痛を和らげてきました。伝統に固執するだけでは、なし得なかったことです！			「外」を知るために							
どうか、ジッカンも思い出してください……。そもそも私たちアウラは、草原に暮らす民だったということを。			どうか、ジッカンも思い出してください……。そもそも私たちアウラは、草原に暮らす民だったということを。			「外」を知るために							
それを変えたのは、私たちの先祖が革新的な選択をしたからこそ！彼らが勇気を出してコウジン族と交流し、技術を学んだことで、こうして海中に里を築くことが出来たのではありませんか……。			それを変えたのは、私たちの先祖が革新的な選択をしたからこそ！彼らが勇気を出してコウジン族と交流し、技術を学んだことで、こうして海中に里を築くことが出来たのではありませんか……。			「外」を知るために							
私は為政者として、今こそふたたび変革をすべきと考えました。民に我慢を強いて、消せるはずの悲しみに目を瞑り涙するのは、もう、嫌なのです……！			私は為政者として、今こそふたたび変革をすべきと考えました。民に我慢を強いて、消せるはずの悲しみに目を瞑り涙するのは、もう、嫌なのです……！			「外」を知るために							
それは、詭弁に過ぎませぬ。民が本当に、そうした変化を望んでいるとお思いか。目先の実利に目がくらんでは、その奥の脅威に飲み込まれるのみ！			それは、詭弁に過ぎませぬ。民が本当に、そうした変化を望んでいるとお思いか。目先の実利に目がくらんでは、その奥の脅威に飲み込まれるのみ！			「外」を知るために							
……たしかに、最初は、「外」を恐れていた民も多くおりました。ですが、冒険者殿が納品してくださった品や姫様の言葉を受けて、皆も、考えを改めつつありますぞ……。			……たしかに、最初は、「外」を恐れていた民も多くおりました。ですが、冒険者殿が納品してくださった品や姫様の言葉を受けて、皆も、考えを改めつつありますぞ……。			「外」を知るために							
これも、民ひとりひとりが、真剣にこの里の未来を考えた結果。目の前で品物を手渡してきた相手が「紅玉姫」と知らずとも、民を想う姫様の心は、しかと皆に伝わっております……！			これも、民ひとりひとりが、真剣にこの里の未来を考えた結果。目の前で品物を手渡してきた相手が「紅玉姫」と知らずとも、民を想う姫様の心は、しかと皆に伝わっております……！			「外」を知るために							
ぬうっ……。だが、それも外の恐怖を知らぬゆえに違いない！！			ぬうっ……。だが、それも外の恐怖を知らぬゆえに違いない！！			「外」を知るために							
外が危険だ、危険だ……って二言目にはそればっかだな……。「外」からの代表として、アンタもなんか言ってやんなよ。			外が危険だ、危険だ……って二言目にはそればっかだな……。「外」からの代表として、アンタもなんか言ってやんなよ。			「外」を知るために							
ジッカンに何と言う？			ジッカンに何と言う？			「外」を知るために							
わからないから不安なのだ			わからないから不安なのだ			「外」を知るために							
自分の目で外を見てみれば？			自分の目で外を見てみれば？			「外」を知るために							
……となれば、外を知るところから始めてもらわないとな！ただの知識ではなく、心の底から理解してもらうには、自分の足で「外」へと踏み出すほかないねっ！			……となれば、外を知るところから始めてもらわないとな！ただの知識ではなく、心の底から理解してもらうには、自分の足で「外」へと踏み出すほかないねっ！			「外」を知るために							
おお、言うじゃねえか！確かに……自分の目で「外」を見るのが一番手っ取り早いよなあ！			おお、言うじゃねえか！確かに……自分の目で「外」を見るのが一番手っ取り早いよなあ！			「外」を知るために							
まあ、なんと素晴らしい提案でしょう！おふたりの仰るとおり、直接私たちが外へと赴き、この目で、実際の世界を確かめようではありませんか！			まあ、なんと素晴らしい提案でしょう！おふたりの仰るとおり、直接私たちが外へと赴き、この目で、実際の世界を確かめようではありませんか！			「外」を知るために							
な、何を世迷い言を！姫様はもちろん、高官たる私が危険な目にあったら……！			な、何を世迷い言を！姫様はもちろん、高官たる私が危険な目にあったら……！			「外」を知るために							
その心配は、ご無用。こちらの冒険者殿は、妖異に侵されたヒスイを救うべく、姫様に付き従い、護衛の任を見事に果たされた実績の持ち主です！			その心配は、ご無用。こちらの冒険者殿は、妖異に侵されたヒスイを救うべく、姫様に付き従い、護衛の任を見事に果たされた実績の持ち主です！			「外」を知るために							
お願いです、これが私の最後の我儘……。あなたのその目で見ても、外が脅威しかない世界に映るのなら、私はおとなしく、夢を諦めましょう。			お願いです、これが私の最後の我儘……。あなたのその目で見ても、外が脅威しかない世界に映るのなら、私はおとなしく、夢を諦めましょう。			「外」を知るために							
…………承知いたしました。今の誓い、ゆめゆめ忘れることのなきよう。			…………承知いたしました。今の誓い、ゆめゆめ忘れることのなきよう。			「外」を知るために							
よし、話は決まったな！この辺りで、外と交流するために見るべきところっていったら、やっぱり、様々な国の人間が集まるクガネかねえ。			よし、話は決まったな！この辺りで、外と交流するために見るべきところっていったら、やっぱり、様々な国の人間が集まるクガネかねえ。			「外」を知るために							
わ、私もお供します！姫様の側にお仕えすることが、私の本来の役目ですから！			わ、私もお供します！姫様の側にお仕えすることが、私の本来の役目ですから！			「外」を知るために							
そりゃ構わんが、これだけ大所帯だと、さすがに変装が必要だな。見た目はアウラ・レンとそう変わりねえし……よしっ、アタシがあんたらの服を用立ててやる！			そりゃ構わんが、これだけ大所帯だと、さすがに変装が必要だな。見た目はアウラ・レンとそう変わりねえし……よしっ、アタシがあんたらの服を用立ててやる！			「外」を知るために							
アタシは、この3人を着替えさせてから向かうからよ。「紅玉台場」で待ち合わせといこうぜ。			アタシは、この3人を着替えさせてから向かうからよ。「紅玉台場」で待ち合わせといこうぜ。			「外」を知るために							
クガネまでの付き添い、どうぞよろしくお願いいたします……。			クガネまでの付き添い、どうぞよろしくお願いいたします……。			「外」を知るために							
姫様のこと、どうぞよろしくお願いいたします……。そして、どうかジッカンの目を開いてやってください。			姫様のこと、どうぞよろしくお願いいたします……。そして、どうかジッカンの目を開いてやってください。			「外」を知るために							
よう、待たせたな！3人には、バッチリ着替えてもらったぜ！			よう、待たせたな！3人には、バッチリ着替えてもらったぜ！			「外」を知るために							
これが、異国の装いなのですね。自分がこうした服をまとえる日が来るとは、夢にも思っておりませんでした……。			これが、異国の装いなのですね。自分がこうした服をまとえる日が来るとは、夢にも思っておりませんでした……。			「外」を知るために							
なんだか、脚に布がまとわりつくような……。私たちと違い、常日頃から泳ぐ必要がないから、こうした作りでも問題ないのですね。			なんだか、脚に布がまとわりつくような……。私たちと違い、常日頃から泳ぐ必要がないから、こうした作りでも問題ないのですね。			「外」を知るために							
フンッ、たかが異国の装いでそんな興奮なさるとは……。私は、早く着慣れたスイの服に戻りたいですよ。			フンッ、たかが異国の装いでそんな興奮なさるとは……。私は、早く着慣れたスイの服に戻りたいですよ。			「外」を知るために							
そうですね、私、とてもドキドキしております。紅玉海の外へと出るのは、これが初めてですし……。でも遊びではないのですから、しっかりしないといけませんね。			そうですね、私、とてもドキドキしております。紅玉海の外へと出るのは、これが初めてですし……。でも遊びではないのですから、しっかりしないといけませんね。			「外」を知るために							
どうでしょう……。あなた様から見て、私はクガネの装いを着こなせていますか？服装に合わせて、髪も結ってみたのですが……。			どうでしょう……。あなた様から見て、私はクガネの装いを着こなせていますか？服装に合わせて、髪も結ってみたのですが……。			「外」を知るために							
良かった……。あなた様にそう言っていただけると安心できます。			良かった……。あなた様にそう言っていただけると安心できます。			「外」を知るために							
外と交流をして、有益な品を輸入しようってんなら、クガネの連中が商取引に励んでる様子を見たほうがいいだろう。確か、楽座街ってところが、商店が立ち並ぶ通りのはずだ。			外と交流をして、有益な品を輸入しようってんなら、クガネの連中が商取引に励んでる様子を見たほうがいいだろう。確か、楽座街ってところが、商店が立ち並ぶ通りのはずだ。			「外」を知るために							
承知いたしました……では、「楽座街」へ参るといたしましょう。現地では、よろしくお願いいたします。			承知いたしました……では、「楽座街」へ参るといたしましょう。現地では、よろしくお願いいたします。			「外」を知るために							
あわわ……こんなにも沢山の人、初めて見ましたよ。ちょっと酔いそう……。			あわわ……こんなにも沢山の人、初めて見ましたよ。ちょっと酔いそう……。			「外」を知るために							
これだけ、建物や店構えに趣向を凝らしているのは、通行客の目にとまるようにか……？我々の感覚にはない観点だ……。			これだけ、建物や店構えに趣向を凝らしているのは、通行客の目にとまるようにか……？我々の感覚にはない観点だ……。			「外」を知るために							
くぅ～、この活気、にぎわい！この街にいると、商人としての血が騒ぐよ。			くぅ～、この活気、にぎわい！この街にいると、商人としての血が騒ぐよ。			「外」を知るために							
まあ……なんと活気あふれる街並みでしょう。これほど多くの商店が立ち並んでいる通りは、初めて見ました！			まあ……なんと活気あふれる街並みでしょう。これほど多くの商店が立ち並んでいる通りは、初めて見ました！			「外」を知るために							
私の目が、もっと沢山あればいいのに……！あそこにいるのは、遠方からいらした旅商でしょうか……。どちらを向いても、今まで見たことがない景色ばかりです！			私の目が、もっと沢山あればいいのに……！あそこにいるのは、遠方からいらした旅商でしょうか……。どちらを向いても、今まで見たことがない景色ばかりです！			「外」を知るために							
もうっ、あんなにはしゃいで……。……夢にまで見た異国にいることが嬉しいんでしょうね。			もうっ、あんなにはしゃいで……。……夢にまで見た異国にいることが嬉しいんでしょうね。			「外」を知るために							
ここは繁華街だから、アンタらが目指す国のあり方には、そぐわない部分も大いにあるだろうけどよ……。自分たちがどれだけ井の中の蛙だったか、思い知ったかい？			ここは繁華街だから、アンタらが目指す国のあり方には、そぐわない部分も大いにあるだろうけどよ……。自分たちがどれだけ井の中の蛙だったか、思い知ったかい？			「外」を知るために							
たしかに、いろいろな種族・出身の者がいるようだ。それに、なんと多種多様な品が溢れていることか……。これが……「外」の世界なのだな。			たしかに、いろいろな種族・出身の者がいるようだ。それに、なんと多種多様な品が溢れていることか……。これが……「外」の世界なのだな。			「外」を知るために							
ジッカン、この光景を見ていかがでしょう……。クガネは、様々な国の船が停泊する寄港地。多くの品が各地から集まった結果が、この発展と活気です。			ジッカン、この光景を見ていかがでしょう……。クガネは、様々な国の船が停泊する寄港地。多くの品が各地から集まった結果が、この発展と活気です。			「外」を知るために							
異国の者たちと接する中で、ときには諍いも起きるでしょう。でも、そのエネルギーは、使い方を誤らねば、これだけの発展を生む力ともなるのです！			異国の者たちと接する中で、ときには諍いも起きるでしょう。でも、そのエネルギーは、使い方を誤らねば、これだけの発展を生む力ともなるのです！			「外」を知るために							
……まったく、姫様や彼らの言うとおりでしたな。外の民は、ただ争いを起こすだけの人間ではなさそうだ……。大海に出る勇気を持てば、スイの里は大いに発展するでしょう。			……まったく、姫様や彼らの言うとおりでしたな。外の民は、ただ争いを起こすだけの人間ではなさそうだ……。大海に出る勇気を持てば、スイの里は大いに発展するでしょう。			「外」を知るために							
……しかし、まだひとつ懸念がございます。それが晴れるまでは、交流を支持するわけにはいきません。			……しかし、まだひとつ懸念がございます。それが晴れるまでは、交流を支持するわけにはいきません。			「外」を知るために							
なんだ、まどろっこしいなあ！いったい何だよ、その懸念ってのは。			なんだ、まどろっこしいなあ！いったい何だよ、その懸念ってのは。			「外」を知るために							
私たちは、長らく門戸を閉ざしてきたがゆえに、外と交流するための準備が圧倒的に足りておりません。			私たちは、長らく門戸を閉ざしてきたがゆえに、外と交流するための準備が圧倒的に足りておりません。			「外」を知るために							
今のまま門戸を開いても、より便利な外の品々に押されて、たちまち里の経済は牛耳られてしまうでしょう……。「外に生かされる」状態にならないような対策が必要です。			今のまま門戸を開いても、より便利な外の品々に押されて、たちまち里の経済は牛耳られてしまうでしょう……。「外に生かされる」状態にならないような対策が必要です。			「外」を知るために							
なんだ、そんなことかい！だったら簡単さ、交流が一方通行である必要なんて、どこにもないんだからね！			なんだ、そんなことかい！だったら簡単さ、交流が一方通行である必要なんて、どこにもないんだからね！			「外」を知るために							
アンタらも、外の連中に負けない特産品を持てばいいんだよ！「アウラ・スイここにあり」と知らしめるような逸品をさ！			アンタらも、外の連中に負けない特産品を持てばいいんだよ！「アウラ・スイここにあり」と知らしめるような逸品をさ！			「外」を知るために							
それは素晴らしい提案にございますが……。海底で質素な生活を送ってきた私たちに、特産品が生み出せるでしょうか……。			それは素晴らしい提案にございますが……。海底で質素な生活を送ってきた私たちに、特産品が生み出せるでしょうか……。			「外」を知るために							
なに、いまさら乗りかかった船を降りるもんか。アタシらも一緒に、アイデアや見本くらい捻り出してやるさ！……な、そうだろ？			なに、いまさら乗りかかった船を降りるもんか。アタシらも一緒に、アイデアや見本くらい捻り出してやるさ！……な、そうだろ？			「外」を知るために							
わかった……。お前たちが挑戦している間、姫様の入れ替わりには、目を瞑ろう。だが、結果が出なかったときは……そこまでだぞ。			わかった……。お前たちが挑戦している間、姫様の入れ替わりには、目を瞑ろう。だが、結果が出なかったときは……そこまでだぞ。			「外」を知るために							
ジッカン、ありがとうございます。そして、おふたりにも、なんとお礼を言えばいいか……。あなた方に巡り会えたことは、私の生涯最高の幸せです……！			ジッカン、ありがとうございます。そして、おふたりにも、なんとお礼を言えばいいか……。あなた方に巡り会えたことは、私の生涯最高の幸せです……！			「外」を知るために							
よ、よせやい、まだ何も解決したわけじゃないんだ。そうと決まれば、碧のタマミズに戻って、特産品を考えようぜ！			よ、よせやい、まだ何も解決したわけじゃないんだ。そうと決まれば、碧のタマミズに戻って、特産品を考えようぜ！			「外」を知るために							
……外との交流について、まだ持論を翻すわけにはいかんが、ひとつだけ、お前に礼を言っておく。			……外との交流について、まだ持論を翻すわけにはいかんが、ひとつだけ、お前に礼を言っておく。			「外」を知るために							
私は、姫様が幼少の頃よりお仕えしてきたが、ああして飛び跳ねるように喜ぶ姫様を見たのは、初めてだ。あの笑顔は、お前が引き出したものだ……感謝する。			私は、姫様が幼少の頃よりお仕えしてきたが、ああして飛び跳ねるように喜ぶ姫様を見たのは、初めてだ。あの笑顔は、お前が引き出したものだ……感謝する。			「外」を知るために							
先ほどは、現地への付き添い、ありがとうございました。クガネで話したとおり、里が外とも対等に渡り合えるような、新たな特産品が、次の依頼となります。			先ほどは、現地への付き添い、ありがとうございました。クガネで話したとおり、里が外とも対等に渡り合えるような、新たな特産品が、次の依頼となります。			「外」を知るために							
