剣術士ギルドのルルツが、冒険者に耳寄りな情報を教えたいようだ。			剣術士ギルドのルルツが、冒険者に耳寄りな情報を教えたいようだ。			自由騎士の誓約							
そんなナイトが扱う「戦技」は、600年という長き歴史の中で、「銀冑団」の近衛騎士たちが編み出し、継承してきたもの。			そんなナイトが扱う「戦技」は、600年という長き歴史の中で、「銀冑団」の近衛騎士たちが編み出し、継承してきたもの。			自由騎士の誓約							
「銀冑団」は、ウルダハ王家を守護する近衛兵団。王家に仕える騎士のうちでも、特に忠誠心厚く、剣の腕に優れる者のみが任じられてきた。			「銀冑団」は、ウルダハ王家を守護する近衛兵団。王家に仕える騎士のうちでも、特に忠誠心厚く、剣の腕に優れる者のみが任じられてきた。			自由騎士の誓約							
だが、「銀冑団」の栄光の日々も今は昔……。近年、兵団の規模は縮小を続け、団員の士気は低下。ウルダハ王宮の警護すら、傭兵を雇わねばならぬ……。			だが、「銀冑団」の栄光の日々も今は昔……。近年、兵団の規模は縮小を続け、団員の士気は低下。ウルダハ王宮の警護すら、傭兵を雇わねばならぬ……。			自由騎士の誓約							
すべては逆賊……いや、ある者が残した歪みのため……。そこで、実力を備えた冒険者を見出し協力を仰ぐという、苦渋の決断を下さざるをえなかったのだ。			すべては逆賊……いや、ある者が残した歪みのため……。そこで、実力を備えた冒険者を見出し協力を仰ぐという、苦渋の決断を下さざるをえなかったのだ。			自由騎士の誓約							
この見返りとして、私がナイトの「戦技」を伝授する。王家と契約を結ばぬ「自由騎士」の自称も認めよう。			この見返りとして、私がナイトの「戦技」を伝授する。王家と契約を結ばぬ「自由騎士」の自称も認めよう。			自由騎士の誓約							
ただし、まず、それに値する実力を示してもらうぞ。南ザナラーン「リトルアラミゴ」南にある廃墟にて、我らが設置した「鉄製のかがり」に火をともせ。			ただし、まず、それに値する実力を示してもらうぞ。南ザナラーン「リトルアラミゴ」南にある廃墟にて、我らが設置した「鉄製のかがり」に火をともせ。			自由騎士の誓約							
その火に引き寄せられた魔物を討伐し、「亡者の遺骸」を「鉄製のかがり」にくべ、「亡者の遺灰」を討伐の証として私に提示せよ。			その火に引き寄せられた魔物を討伐し、「亡者の遺骸」を「鉄製のかがり」にくべ、「亡者の遺灰」を討伐の証として私に提示せよ。			自由騎士の誓約							
さあ、未来のナイトよ……貴公の気概と、剣の腕を見せてくれ！！			さあ、未来のナイトよ……貴公の気概と、剣の腕を見せてくれ！！			自由騎士の誓約							
(-？？？？-)こんなところで、亡者退治とは……貴君も、「銀冑団」にナイトの戦技を求める者か？			(-？？？？-)こんなところで、亡者退治とは……貴君も、「銀冑団」にナイトの戦技を求める者か？			自由騎士の誓約							
(-？？？？-)誤解してはならん。「戦技を体得すればナイトとなる」というわけではない。ましてや、貴君がまとう権威や武具によるものでもない。			(-？？？？-)誤解してはならん。「戦技を体得すればナイトとなる」というわけではない。ましてや、貴君がまとう権威や武具によるものでもない。			自由騎士の誓約							
(-？？？？-)「自由騎士」たる、この老いぼれから、ひとつ忠告だ。「意志縛る枷を断つ剣を得よ」……さすれば、己の「騎士道精神」が拓けよう。			(-？？？？-)「自由騎士」たる、この老いぼれから、ひとつ忠告だ。「意志縛る枷を断つ剣を得よ」……さすれば、己の「騎士道精神」が拓けよう。			自由騎士の誓約							
(-？？？？-)そうだ、ひとつ頼みがある。このクリスタルを総長殿へ渡してくれ。			(-？？？？-)そうだ、ひとつ頼みがある。このクリスタルを総長殿へ渡してくれ。			自由騎士の誓約							
(-？？？？-)……なに。貴君の剣さばきを見て、ある男を思い出してな。			(-？？？？-)……なに。貴君の剣さばきを見て、ある男を思い出してな。			自由騎士の誓約							
(-？？？？-)真実を見極めんとする、いい目をしておる。貴君なら、立派な「ナイト」となろう。精進に励み、常に人の光であれ！			(-？？？？-)真実を見極めんとする、いい目をしておる。貴君なら、立派な「ナイト」となろう。精進に励み、常に人の光であれ！			自由騎士の誓約							
火に引き寄せられた魔物を討伐し、「亡者の遺骸」を「鉄製のかがり」にくべ、「亡者の遺灰」を討伐の証として私に提示せよ。			火に引き寄せられた魔物を討伐し、「亡者の遺骸」を「鉄製のかがり」にくべ、「亡者の遺灰」を討伐の証として私に提示せよ。			自由騎士の誓約							
亡者を討ち取った証……確かに受け取った。貴公の実力は、今、ここに証明された。早速、最初の戦技を伝授しよう。			亡者を討ち取った証……確かに受け取った。貴公の実力は、今、ここに証明された。早速、最初の戦技を伝授しよう。			自由騎士の誓約							
貴公ほどの腕前ならば、この戦技をすぐに使いこなせるはずだ。以後、古の風習に伝わる「自由騎士」と名乗るがよい。			貴公ほどの腕前ならば、この戦技をすぐに使いこなせるはずだ。以後、古の風習に伝わる「自由騎士」と名乗るがよい。			自由騎士の誓約							
「自由騎士」とは、主君ではなく、己に誓いを立てた者のことだ。冒険者の貴公にとって、ふさわしい呼称だろう？			「自由騎士」とは、主君ではなく、己に誓いを立てた者のことだ。冒険者の貴公にとって、ふさわしい呼称だろう？			自由騎士の誓約							
騎士となった貴公に、「ナイトの証」を授けよう。このクリスタルには、歴代の騎士の記憶が刻まれている。騎士道を歩む者にとって、導きとなるものだ。			騎士となった貴公に、「ナイトの証」を授けよう。このクリスタルには、歴代の騎士の記憶が刻まれている。騎士道を歩む者にとって、導きとなるものだ。			自由騎士の誓約							
……なんと、「ナイトの証」に似た石を私へ渡すよう、見知らぬ「自由騎士」から手渡されたと？どれ、よく見せてみたまえ……。			……なんと、「ナイトの証」に似た石を私へ渡すよう、見知らぬ「自由騎士」から手渡されたと？どれ、よく見せてみたまえ……。			自由騎士の誓約							
見知らぬ「自由騎士」から手渡されたという「ナイトの証」に似た石をよく見せてみたまえ……。			見知らぬ「自由騎士」から手渡されたという「ナイトの証」に似た石をよく見せてみたまえ……。			自由騎士の誓約							
おのれ……愚弄しおって……。この「不思議なクリスタル」は確かに「ナイトの証」。……実は「銀冑団」から奪われたものなのだ。			おのれ……愚弄しおって……。この「不思議なクリスタル」は確かに「ナイトの証」。……実は「銀冑団」から奪われたものなのだ。			自由騎士の誓約							
この証を貴公に託したという老いた自由騎士こそ……私が、その行方を追っている逆賊。			この証を貴公に託したという老いた自由騎士こそ……私が、その行方を追っている逆賊。			自由騎士の誓約							
ウルダハ王家への忠義と、近衛騎士の誓約を踏みにじり、「銀冑団」の威信を地の底へと落としめた張本人だ。……それが、よくも騎士道精神を偉そうに語ったものだ。			ウルダハ王家への忠義と、近衛騎士の誓約を踏みにじり、「銀冑団」の威信を地の底へと落としめた張本人だ。……それが、よくも騎士道精神を偉そうに語ったものだ。			自由騎士の誓約							
そもそも証は、近衛騎士に任じられる際、総長より贈られるもの……。それを、部外者が手渡すなど……ゆゆしき事態！			そもそも証は、近衛騎士に任じられる際、総長より贈られるもの……。それを、部外者が手渡すなど……ゆゆしき事態！			自由騎士の誓約							
……この証は、責任もって私が処分しよう。貴公が「ナイト」として剣を抜くときは、必ずや、私が授けた証を身につけるのだぞ。			……この証は、責任もって私が処分しよう。貴公が「ナイト」として剣を抜くときは、必ずや、私が授けた証を身につけるのだぞ。			自由騎士の誓約							
……貴公には、くだらぬことと思えるやもしれぬな？だが、長年培われた儀礼や伝統こそ、遵守せねばならぬ。今や「銀冑団」の騎士さえ、この精神を忘れがちだ……			……貴公には、くだらぬことと思えるやもしれぬな？だが、長年培われた儀礼や伝統こそ、遵守せねばならぬ。今や「銀冑団」の騎士さえ、この精神を忘れがちだ……			自由騎士の誓約							
この難境に、私が「銀冑団」総長に任じられたのも運命。女王陛下に忠誠を誓った騎士として、この大役を果たし、失われた「銀冑団」の威信を取り戻さねばならぬ。			この難境に、私が「銀冑団」総長に任じられたのも運命。女王陛下に忠誠を誓った騎士として、この大役を果たし、失われた「銀冑団」の威信を取り戻さねばならぬ。			自由騎士の誓約							
剣の腕に優れ、なにより逆賊と面識ある貴公には、いずれ逆賊捕縛の大任を任せることになろう。			剣の腕に優れ、なにより逆賊と面識ある貴公には、いずれ逆賊捕縛の大任を任せることになろう。			自由騎士の誓約							
その時まで、貴公は任に備え、剣の腕により磨きをかけてもらいたい。これが騎士を名乗る者の務めであるぞ。			その時まで、貴公は任に備え、剣の腕により磨きをかけてもらいたい。これが騎士を名乗る者の務めであるぞ。			自由騎士の誓約							
「ナイト」のジョブクエストが開始されました。次のクエストは「ナイトレベル35」以上で受注可能になります。			「ナイト」のジョブクエストが開始されました。次のクエストは「ナイトレベル35」以上で受注可能になります。			自由騎士の誓約							
敵の気配を感じた！！			敵の気配を感じた！！			自由騎士の誓約							
新しいジョブを修得しました！受け取ったソウルクリスタルを装備することで、ジョブチェンジができます。			新しいジョブを修得しました！受け取ったソウルクリスタルを装備することで、ジョブチェンジができます。			自由騎士の誓約							
ジョブチェンジしたあとには、「ギアセット」を登録してみましょう！現在の装備が記録され、即座に着替えられるようになります。			ジョブチェンジしたあとには、「ギアセット」を登録してみましょう！現在の装備が記録され、即座に着替えられるようになります。			自由騎士の誓約							
「ギアセット」の登録は、装備変更と同じ「マイキャラクター」の画面から行えます。			「ギアセット」の登録は、装備変更と同じ「マイキャラクター」の画面から行えます。			自由騎士の誓約							
近衛兵団「銀冑団」総長ジェンリンスが、新たな戦技を伝授してくれるようだ。			近衛兵団「銀冑団」総長ジェンリンスが、新たな戦技を伝授してくれるようだ。			慕いし背中							
ジェンリンスから戦技の伝授を受けた。外地ラノシアの隠者の庵にある「鉄製のかがり」に点火し、引き寄せられた魔猿を討伐しよう。			ジェンリンスから戦技の伝授を受けた。外地ラノシアの隠者の庵にある「鉄製のかがり」に点火し、引き寄せられた魔猿を討伐しよう。			慕いし背中							
魔猿を討伐した。ウルダハのロイヤル・プロムナードにいる「ジェンリンス」に報告しよう。			魔猿を討伐した。ウルダハのロイヤル・プロムナードにいる「ジェンリンス」に報告しよう。			慕いし背中							
ジェンリンスに報告した。試練を達成したことで、戦技の勘所を掴むことができた。ジェンリンスは、逆賊の行方を追っているという。逆賊との対決に備え、鍛錬に励もう。※ナイトのレベルが40以上になると、ジェンリンスから次のナイトクエストを受注することができます。			ジェンリンスに報告した。試練を達成したことで、戦技の勘所を掴むことができた。ジェンリンスは、逆賊の行方を追っているという。逆賊との対決に備え、鍛錬に励もう。※ナイトのレベルが40以上になると、ジェンリンスから次のナイトクエストを受注することができます。			慕いし背中							
隠者の庵の鉄製のかがりに点火しリーピング・リングテイルを討伐			隠者の庵の鉄製のかがりに点火しリーピング・リングテイルを討伐			慕いし背中							
ロイヤル・プロムナードのジェンリンスに報告			ロイヤル・プロムナードのジェンリンスに報告			慕いし背中							
「自由騎士」と名乗るようになり、周囲の反応は、いかがかね？			「自由騎士」と名乗るようになり、周囲の反応は、いかがかね？			慕いし背中							
騎士の本分は、剣のみにあらず。常に自らを律して正義を行い、人としての模範を示さねばならぬ。			騎士の本分は、剣のみにあらず。常に自らを律して正義を行い、人としての模範を示さねばならぬ。			慕いし背中							
かつて「銀冑団」の近衛騎士は、市街も巡回していた。その隊列は、庶民の尊敬と感謝を集めたものだ。特に、「前総長」は近衛騎士の鑑と称えられていた。			かつて「銀冑団」の近衛騎士は、市街も巡回していた。その隊列は、庶民の尊敬と感謝を集めたものだ。特に、「前総長」は近衛騎士の鑑と称えられていた。			慕いし背中							
幼少のみぎり、私は前総長と出会ったことがある。市場で父とはぐれ、裏通りで乱闘にまきこまれてな。泥酔した狩人が放った矢が、私へ飛んできた。			幼少のみぎり、私は前総長と出会ったことがある。市場で父とはぐれ、裏通りで乱闘にまきこまれてな。泥酔した狩人が放った矢が、私へ飛んできた。			慕いし背中							
この窮地を救ってくれたのが、巡回中の前総長だ。見事な剣さばきで私を救い、父の礼も辞して立ち去った。その頼もしい後ろ姿……忘れようにも、忘れられぬ……。			この窮地を救ってくれたのが、巡回中の前総長だ。見事な剣さばきで私を救い、父の礼も辞して立ち去った。その頼もしい後ろ姿……忘れようにも、忘れられぬ……。			慕いし背中							
以来、私は騎士に憧れ、剣の稽古に打ちこんだ。ついに念願かない、「銀冑団」に入ってからも、前総長に追いつかんと、修練に励んだ……。			以来、私は騎士に憧れ、剣の稽古に打ちこんだ。ついに念願かない、「銀冑団」に入ってからも、前総長に追いつかんと、修練に励んだ……。			慕いし背中							
こうして、前総長の背中を追い続けた私が気づけば総長の座に……なんとも皮肉な話だ。……だが、今や「銀冑団」の威信も完全に地に落ちた。			こうして、前総長の背中を追い続けた私が気づけば総長の座に……なんとも皮肉な話だ。……だが、今や「銀冑団」の威信も完全に地に落ちた。			慕いし背中							
原因は、数多ある。……その中でも特に、「聖剣」の喪失が打撃であった。			原因は、数多ある。……その中でも特に、「聖剣」の喪失が打撃であった。			慕いし背中							
「聖剣」とは、初代総長がウルダハ王家から授かった宝剣。王家への忠誠の象徴として代々、総長に受け継がれてきた。いわば、銀冑団総長の証……。			「聖剣」とは、初代総長がウルダハ王家から授かった宝剣。王家への忠誠の象徴として代々、総長に受け継がれてきた。いわば、銀冑団総長の証……。			慕いし背中							
この「聖剣」を、逆賊が奪い去ったのだ！！それにより、王家からの信頼は揺らぎ……「銀冑団」の失態は、庶民の失望を深めた。			この「聖剣」を、逆賊が奪い去ったのだ！！それにより、王家からの信頼は揺らぎ……「銀冑団」の失態は、庶民の失望を深めた。			慕いし背中							
この状況を打開するには、「聖剣」奪還が急務。しかし、たるんだ近衛騎士では、結果は望めぬ。事の成就には、精鋭を集めて任にあたる必要がある。			この状況を打開するには、「聖剣」奪還が急務。しかし、たるんだ近衛騎士では、結果は望めぬ。事の成就には、精鋭を集めて任にあたる必要がある。			慕いし背中							
貴公には特に期待しているゆえ、大任に備えて新たな戦技を伝授しよう。魔物との戦いの中で、技の勘所を掴んでみせよ。			貴公には特に期待しているゆえ、大任に備えて新たな戦技を伝授しよう。魔物との戦いの中で、技の勘所を掴んでみせよ。			慕いし背中							
これには、予想外の動きを見せる敵の討伐が最適だ。外地ラノシア「隠者の庵」付近に我らが設置した、「鉄製のかがり」に火をともしてみよ。			これには、予想外の動きを見せる敵の討伐が最適だ。外地ラノシア「隠者の庵」付近に我らが設置した、「鉄製のかがり」に火をともしてみよ。			慕いし背中							
その火に引き寄せられた魔猿を、すべて討伐するのが今回の試練だ。見事、試練を達成したら、私まで報告するように。			その火に引き寄せられた魔猿を、すべて討伐するのが今回の試練だ。見事、試練を達成したら、私まで報告するように。			慕いし背中							
「ナイトの証」が輝きを増している……。戦技を体得したようだな。引き続き、任に備えて鍛錬に励んでおけ。			「ナイトの証」が輝きを増している……。戦技を体得したようだな。引き続き、任に備えて鍛錬に励んでおけ。			慕いし背中							
しかし……逆賊の行方については、有力な情報を掴めないでいる。動きがあり次第、貴公にも知らせよう。			しかし……逆賊の行方については、有力な情報を掴めないでいる。動きがあり次第、貴公にも知らせよう。			慕いし背中							
敵の気配を感じた！！			敵の気配を感じた！！			慕いし背中							
近衛兵団「銀冑団」総長ジェンリンスが、新たな戦技を伝授してくれるようだ。			近衛兵団「銀冑団」総長ジェンリンスが、新たな戦技を伝授してくれるようだ。			失望と怒りと責任と							
ジェンリンスから戦技の伝授を受けた。東ザナラーンのユグラム川にある「鉄製のかがり」に点火し、引き寄せられた怪魚を討伐しよう。			ジェンリンスから戦技の伝授を受けた。東ザナラーンのユグラム川にある「鉄製のかがり」に点火し、引き寄せられた怪魚を討伐しよう。			失望と怒りと責任と							
怪魚を討伐した。ウルダハのロイヤル・プロムナードにいるジェンリンスに報告しよう。			怪魚を討伐した。ウルダハのロイヤル・プロムナードにいるジェンリンスに報告しよう。			失望と怒りと責任と							
ジェンリンスに報告した。試練を達成したことで、戦技の勘所を掴むことができた。ジェンリンスも、ソルクザギル捕縛に本格的に動き出した。協力要請に応えられるよう、鍛錬を積んでおこう。※ナイトのレベルが45以上になると、ジェンリンスから次のナイトクエストを受注することができます。			ジェンリンスに報告した。試練を達成したことで、戦技の勘所を掴むことができた。ジェンリンスも、ソルクザギル捕縛に本格的に動き出した。協力要請に応えられるよう、鍛錬を積んでおこう。※ナイトのレベルが45以上になると、ジェンリンスから次のナイトクエストを受注することができます。			失望と怒りと責任と							
ユグラム川の鉄製のかがりに点火し怪魚を討伐			ユグラム川の鉄製のかがりに点火し怪魚を討伐			失望と怒りと責任と							
ロイヤル・プロムナードのジェンリンスに報告			ロイヤル・プロムナードのジェンリンスに報告			失望と怒りと責任と							
よくぞ来てくれた。貴公の活躍は、耳にしている。貴公のごとく騎士道を貫く者は多くない。同じ騎士として、誇りに思う。			よくぞ来てくれた。貴公の活躍は、耳にしている。貴公のごとく騎士道を貫く者は多くない。同じ騎士として、誇りに思う。			失望と怒りと責任と							
そんな貴公に、私も信頼をもって応えねばな。……そろそろ真実を明かすべきであろう。内輪の恥をさらすようで情けないが……。			そんな貴公に、私も信頼をもって応えねばな。……そろそろ真実を明かすべきであろう。内輪の恥をさらすようで情けないが……。			失望と怒りと責任と							
以前に話した「聖剣」を奪った逆賊は覚えているな？その逆賊の名はソルクザギル……「銀冑団」の前総長だった男なのだ。			以前に話した「聖剣」を奪った逆賊は覚えているな？その逆賊の名はソルクザギル……「銀冑団」の前総長だった男なのだ。			失望と怒りと責任と							
私が憧れ、私を騎士の道へ導いた人物。前総長こそ、騎士の中の騎士と信じていたのだが……彼は変わってしまった……。			私が憧れ、私を騎士の道へ導いた人物。前総長こそ、騎士の中の騎士と信じていたのだが……彼は変わってしまった……。			失望と怒りと責任と							
砂蠍衆の共和派との政争に敗れ、兵団の権威が失墜すると、総長の座が危ういと察したソルクザギルは、「聖剣」を持ち出し、姿を消した……。			砂蠍衆の共和派との政争に敗れ、兵団の権威が失墜すると、総長の座が危ういと察したソルクザギルは、「聖剣」を持ち出し、姿を消した……。			失望と怒りと責任と							
王家との誓約を投げ出すなど、騎士として許されぬ。この汚名をそそぎ、「銀冑団」の威信を取り戻すのが、総長たる我が使命。			王家との誓約を投げ出すなど、騎士として許されぬ。この汚名をそそぎ、「銀冑団」の威信を取り戻すのが、総長たる我が使命。			失望と怒りと責任と							
そのために、かつての師を斬らねばならぬなら、喜んで斬ろう……。難敵だが、相討ち覚悟で討ち取る自信はある。			そのために、かつての師を斬らねばならぬなら、喜んで斬ろう……。難敵だが、相討ち覚悟で討ち取る自信はある。			失望と怒りと責任と							
だが、奴を誅殺したところで、兵団の恥辱を闇に葬ったと断じられては、かなわぬ。公正な裁きの場で証言させるため、生け捕らねば。			だが、奴を誅殺したところで、兵団の恥辱を闇に葬ったと断じられては、かなわぬ。公正な裁きの場で証言させるため、生け捕らねば。			失望と怒りと責任と							
しかし、相手は30年以上も総長を務めた猛者。私と貴公が組んだとて、逆賊を捕らえるのは至難の業。ゆえに、貴公には、さらなる力をつけてもらいたい。			しかし、相手は30年以上も総長を務めた猛者。私と貴公が組んだとて、逆賊を捕らえるのは至難の業。ゆえに、貴公には、さらなる力をつけてもらいたい。			失望と怒りと責任と							
東ザナラーンの「ユグラム川」に我らが設置した「鉄製のかがり」に火をともせ。その火に引き寄せられた怪魚を討伐し、私に報告せよ。			東ザナラーンの「ユグラム川」に我らが設置した「鉄製のかがり」に火をともせ。その火に引き寄せられた怪魚を討伐し、私に報告せよ。			失望と怒りと責任と							
熾烈な生存競争を生き抜いた怪魚は、まさに難敵。戦技の心得を胸に刻み、戦いの中で勘所を掴むのだ！			熾烈な生存競争を生き抜いた怪魚は、まさに難敵。戦技の心得を胸に刻み、戦いの中で勘所を掴むのだ！			失望と怒りと責任と							
苦しい戦いだろうが、戦技の勘所を探り続ければ、クリスタルが貴公を導くであろう。			苦しい戦いだろうが、戦技の勘所を探り続ければ、クリスタルが貴公を導くであろう。			失望と怒りと責任と							
「ナイトの証」が輝きを増している……戦技を体得したようだな。引き続き、任に備えて鍛錬に励んでおけ。			「ナイトの証」が輝きを増している……戦技を体得したようだな。引き続き、任に備えて鍛錬に励んでおけ。			失望と怒りと責任と							
貴公が、ここまで力をつけたのならば、いよいよ本格的に逆賊の捕縛計画を実行しよう。その時は、貴公の力をぜひとも貸してほしい。			貴公が、ここまで力をつけたのならば、いよいよ本格的に逆賊の捕縛計画を実行しよう。その時は、貴公の力をぜひとも貸してほしい。			失望と怒りと責任と							
敵の気配を感じた！！			敵の気配を感じた！！			失望と怒りと責任と							
近衛兵団「銀冑団」総長ジェンリンスが、「白銀の騎士甲冑」を授けてくれるようだ。			近衛兵団「銀冑団」総長ジェンリンスが、「白銀の騎士甲冑」を授けてくれるようだ。			交わる毒心							
ジェンリンスが、「白銀の騎士甲冑」の場所を教えてくれた。南ザナラーンのカルン埋没寺院にある4つの「銀冑団の木箱」を調べ、「白銀の騎士甲冑」を入手しよう。			ジェンリンスが、「白銀の騎士甲冑」の場所を教えてくれた。南ザナラーンのカルン埋没寺院にある4つの「銀冑団の木箱」を調べ、「白銀の騎士甲冑」を入手しよう。			交わる毒心							
銀冑団の木箱を調べ、「白銀の騎士甲冑」を入手した。ウルダハのロイヤル・プロムナードにいる「ジェンリンス」に報告しよう。			銀冑団の木箱を調べ、「白銀の騎士甲冑」を入手した。ウルダハのロイヤル・プロムナードにいる「ジェンリンス」に報告しよう。			交わる毒心							
ジェンリンスに報告した。4つの「銀冑団の木箱」を調べて、「白銀の騎士甲冑」を揃えたことをジェンリンスに報告したところ、逆賊ソルクザギルとの交渉の場が設けられた事が明かされた。この交渉に立ち会う覚悟があるならば、ロイヤル・プロムナードの「ジェンリンス」に話しかけよう。			ジェンリンスに報告した。4つの「銀冑団の木箱」を調べて、「白銀の騎士甲冑」を揃えたことをジェンリンスに報告したところ、逆賊ソルクザギルとの交渉の場が設けられた事が明かされた。この交渉に立ち会う覚悟があるならば、ロイヤル・プロムナードの「ジェンリンス」に話しかけよう。			交わる毒心							
