ドマ冒険者団のヨウザンは、冒険者ともっと遊びたいようだ。			ドマ冒険者団のヨウザンは、冒険者ともっと遊びたいようだ。			容疑者ドマ冒険者団							
財宝の正体が怨念じゃなくてよかったけど、お姉さんお兄さんが戦っているところは見たかったかも。			財宝の正体が怨念じゃなくてよかったけど、お姉さんお兄さんが戦っているところは見たかったかも。			容疑者ドマ冒険者団							
……金銀財宝がなかったのは残念だけど、みんなが無事に帰ってこれてよかったわ。			……金銀財宝がなかったのは残念だけど、みんなが無事に帰ってこれてよかったわ。			容疑者ドマ冒険者団							
あら、Forenameさん！あの子に、耳飾りを届けてくれたのですか？ありがとうございます！			あら、Forenameさん！あの子に、耳飾りを届けてくれたのですか？ありがとうございます！			容疑者ドマ冒険者団							
そうですか、ロッカちゃんって言うんですね。とても優しい子ですね……私の娘とは大違いです。いずれ直接会って、お礼を言いたいと思います。			そうですか、ロッカちゃんって言うんですね。とても優しい子ですね……私の娘とは大違いです。いずれ直接会って、お礼を言いたいと思います。			容疑者ドマ冒険者団							
ところで、先ほど気になることを耳にしたのです。なんでも、子どもたちが窃盗を働いたとか。冒険者ギルドの方たちが、動いているみたいで……。			ところで、先ほど気になることを耳にしたのです。なんでも、子どもたちが窃盗を働いたとか。冒険者ギルドの方たちが、動いているみたいで……。			容疑者ドマ冒険者団							
詳しい事情はわかりませんが、あの子たちが、そのような事をするとは思えないのです。			詳しい事情はわかりませんが、あの子たちが、そのような事をするとは思えないのです。			容疑者ドマ冒険者団							
きっと、何かの間違いだと思いますが、スラフボーンさんに確認したほうがいいかもしれません。			きっと、何かの間違いだと思いますが、スラフボーンさんに確認したほうがいいかもしれません。			容疑者ドマ冒険者団							
私も同行したいのですが、次の仕事の時間なのです。……それでは、この辺で失礼しますね。			私も同行したいのですが、次の仕事の時間なのです。……それでは、この辺で失礼しますね。			容疑者ドマ冒険者団							
冒険者よ、どうしたのだ。また例の財宝の話でも聞きに来たのか？			冒険者よ、どうしたのだ。また例の財宝の話でも聞きに来たのか？			容疑者ドマ冒険者団							
……ふむ、もう嗅ぎつけたか、さすがだな。まだ我々も調査中なのだが、ロウェナ記念会館の保管庫から、貴重な「古の魔道書」が盗まれたらしい。			……ふむ、もう嗅ぎつけたか、さすがだな。まだ我々も調査中なのだが、ロウェナ記念会館の保管庫から、貴重な「古の魔道書」が盗まれたらしい。			容疑者ドマ冒険者団							
換気口のひとつに、取り外された形跡があってな。入口の扉が施錠されていたことを考えると、そこから侵入したと考えて間違いなさそうだ。			換気口のひとつに、取り外された形跡があってな。入口の扉が施錠されていたことを考えると、そこから侵入したと考えて間違いなさそうだ。			容疑者ドマ冒険者団							
……その換気口のサイズが問題でな。子どものような小柄な者でなければ通れないのだ。犯行時刻に、四人組を見たとの目撃情報も入っている。			……その換気口のサイズが問題でな。子どものような小柄な者でなければ通れないのだ。犯行時刻に、四人組を見たとの目撃情報も入っている。			容疑者ドマ冒険者団							
最近、ロウェナの店の近くで、子どもたちが遊んでいると聞く。まさかとは思うが、好奇心の強い奴らだ。遊び半分な気持ちで忍び込んでしまったのかもしれない。			最近、ロウェナの店の近くで、子どもたちが遊んでいると聞く。まさかとは思うが、好奇心の強い奴らだ。遊び半分な気持ちで忍び込んでしまったのかもしれない。			容疑者ドマ冒険者団							
子どもとはいえ、ドマの者が盗みをしたとなっては、難民との関係に、波風が立つかもしれないからな。			子どもとはいえ、ドマの者が盗みをしたとなっては、難民との関係に、波風が立つかもしれないからな。			容疑者ドマ冒険者団							
ロウェナと相談して、今はまだ大事にならないように、ギルドの一部の者だけで調査しているのだ。			ロウェナと相談して、今はまだ大事にならないように、ギルドの一部の者だけで調査しているのだ。			容疑者ドマ冒険者団							
お前は、ドマの子どもたちと親しかったな。あの子たちを見つけたら、話を聞いてみてくれないか。			お前は、ドマの子どもたちと親しかったな。あの子たちを見つけたら、話を聞いてみてくれないか。			容疑者ドマ冒険者団							
やあ、ねえちゃんにいちゃん！なんか面白いネタでも見つかったか？			やあ、ねえちゃんにいちゃん！なんか面白いネタでも見つかったか？			容疑者ドマ冒険者団							
オレたちに窃盗の容疑だって？そんなことするわけないじゃん！これは、ドマ冒険者団緊急集会だ！			オレたちに窃盗の容疑だって？そんなことするわけないじゃん！これは、ドマ冒険者団緊急集会だ！			容疑者ドマ冒険者団							
冒険者の人たちに聞いたんだけど、ウルダハに、どんな難事件でもババッと解決しちゃう、「事件屋」って人がいたんだって……私も会いたかったなぁ。			冒険者の人たちに聞いたんだけど、ウルダハに、どんな難事件でもババッと解決しちゃう、「事件屋」って人がいたんだって……私も会いたかったなぁ。			容疑者ドマ冒険者団							
えっ、私たちが容疑者なの！？これは大事件の予感……事件屋コハルの出番だね！			えっ、私たちが容疑者なの！？これは大事件の予感……事件屋コハルの出番だね！			容疑者ドマ冒険者団							
みんな、いつも何を見てるのかな？面白いものが見えるなら僕も見たいよ。			みんな、いつも何を見てるのかな？面白いものが見えるなら僕も見たいよ。			容疑者ドマ冒険者団							
僕は、そんなことしてないよ。みんなだって絶対にしないよ！			僕は、そんなことしてないよ。みんなだって絶対にしないよ！			容疑者ドマ冒険者団							
ここなら、何か面白い話が聞けるかと思ったけど…………空振りみたい。			ここなら、何か面白い話が聞けるかと思ったけど…………空振りみたい。			容疑者ドマ冒険者団							
……とんだ濡れ衣だわ。小柄な人なんて、ほかにもいるじゃない。とりあえず、みんなと合流しましょう。			……とんだ濡れ衣だわ。小柄な人なんて、ほかにもいるじゃない。とりあえず、みんなと合流しましょう。			容疑者ドマ冒険者団							
お前は、ドマの子どもたちと親しかったな。あの子たちを見つけたら、話を聞いてみてくれないか。			お前は、ドマの子どもたちと親しかったな。あの子たちを見つけたら、話を聞いてみてくれないか。			容疑者ドマ冒険者団							
私だって、あの子たちが犯人だとは思ってないよ。でも潔白を証明しないかぎり、容疑者には違いないのさ。			私だって、あの子たちが犯人だとは思ってないよ。でも潔白を証明しないかぎり、容疑者には違いないのさ。			容疑者ドマ冒険者団							
みんな聞いたか！？　言い掛かりもいいところだ！ねえちゃんにいちゃんと一緒にスラフボーンのところに行けば、身の潔白は証明されるだろう。			みんな聞いたか！？　言い掛かりもいいところだ！ねえちゃんにいちゃんと一緒にスラフボーンのところに行けば、身の潔白は証明されるだろう。			容疑者ドマ冒険者団							
……だが、オレたちはドマ冒険者団！ここは、ただ「犯人じゃない」って叫ぶよりも、真犯人から、盗まれた魔道書を奪い返して名を上げようぜ！！			……だが、オレたちはドマ冒険者団！ここは、ただ「犯人じゃない」って叫ぶよりも、真犯人から、盗まれた魔道書を奪い返して名を上げようぜ！！			容疑者ドマ冒険者団							
見た目は子どもでも、腕っ節は、その辺の冒険者に引けを取らないってところを見せつけよう！			見た目は子どもでも、腕っ節は、その辺の冒険者に引けを取らないってところを見せつけよう！			容疑者ドマ冒険者団							
でも、どうやって犯人を見つける？換気口を通れる小柄な四人組って情報しかないんでしょ？			でも、どうやって犯人を見つける？換気口を通れる小柄な四人組って情報しかないんでしょ？			容疑者ドマ冒険者団							
私たちと同じ……。いえ、私たちよりも小柄な人たちがいるじゃない。あっちこっちに、たーくさん！			私たちと同じ……。いえ、私たちよりも小柄な人たちがいるじゃない。あっちこっちに、たーくさん！			容疑者ドマ冒険者団							
オレたちより小柄って……ララフェル族か！			オレたちより小柄って……ララフェル族か！			容疑者ドマ冒険者団							
まって……ララフェルの四人組……。……それなら、私知ってるよ。			まって……ララフェルの四人組……。……それなら、私知ってるよ。			容疑者ドマ冒険者団							
ここって、いろんな冒険者の人がいるでしょ。見ていて楽しいから、よく観察してるんだけど……。			ここって、いろんな冒険者の人がいるでしょ。見ていて楽しいから、よく観察してるんだけど……。			容疑者ドマ冒険者団							
その中で、最近やってきた、ララフェル四人組が一組だけいます。それは…………。			その中で、最近やってきた、ララフェル四人組が一組だけいます。それは…………。			容疑者ドマ冒険者団							
ヨウザンが忍び込もうと思って、スラフボーンさんにゲンコツをもらった、荷車の持ち主さんです！			ヨウザンが忍び込もうと思って、スラフボーンさんにゲンコツをもらった、荷車の持ち主さんです！			容疑者ドマ冒険者団							
……た、確かに、ララフェル族だった気がする！よし、まずはアイツらを調査するぞ！！			……た、確かに、ララフェル族だった気がする！よし、まずはアイツらを調査するぞ！！			容疑者ドマ冒険者団							
事件屋コハルは、なんだか「ピーン！」っと来る気がしますよ。			事件屋コハルは、なんだか「ピーン！」っと来る気がしますよ。			容疑者ドマ冒険者団							
コハルは、なんか楽しそうだね。あとで、どんな話を聞いたか教えてもらわなくちゃ。			コハルは、なんか楽しそうだね。あとで、どんな話を聞いたか教えてもらわなくちゃ。			容疑者ドマ冒険者団							
……ヨウザンったら、何か企んでいる顔ね。おねえさんおにいさん、またよろしくお願いします。			……ヨウザンったら、何か企んでいる顔ね。おねえさんおにいさん、またよろしくお願いします。			容疑者ドマ冒険者団							
ドマ冒険者団のヨウザンは、調査を開始するようだ。			ドマ冒険者団のヨウザンは、調査を開始するようだ。			小さき者たちの大きな夢							
ドマ冒険者団は、怪しいララフェル族の四人組を調査することにした。モードゥナのレヴナンツトールにある南東の門近くにいる「コハル」と話そう。			ドマ冒険者団は、怪しいララフェル族の四人組を調査することにした。モードゥナのレヴナンツトールにある南東の門近くにいる「コハル」と話そう。			小さき者たちの大きな夢							
コハルに、ララフェル族たちを確認してもらった。コハルが見たという四人組に間違いないようだ。犯人であることを確認するために打った芝居で、四人組が犯人である可能性が濃厚となった。崩壊したキャンプの東にいる「ヨウザン」と話そう。			コハルに、ララフェル族たちを確認してもらった。コハルが見たという四人組に間違いないようだ。犯人であることを確認するために打った芝居で、四人組が犯人である可能性が濃厚となった。崩壊したキャンプの東にいる「ヨウザン」と話そう。			小さき者たちの大きな夢							
崩壊したキャンプ近くの岩陰に隠れ、ヨウザンと話した。しばらくすると、ララフェル族の四人組が「年代物の魔道書」を持ってやってきた。誘い出されたことに気が付いた頭目のガガルアは、ドマ冒険者団を懲らしめるよう仲間に指示を出す。崩壊したキャンプの東の「ガガルア」と話し、襲いかかってくるようなら返り討ちにしよう。			崩壊したキャンプ近くの岩陰に隠れ、ヨウザンと話した。しばらくすると、ララフェル族の四人組が「年代物の魔道書」を持ってやってきた。誘い出されたことに気が付いた頭目のガガルアは、ドマ冒険者団を懲らしめるよう仲間に指示を出す。崩壊したキャンプの東の「ガガルア」と話し、襲いかかってくるようなら返り討ちにしよう。			小さき者たちの大きな夢							
ガガルアの仲間たちが襲ってきたが、返り討ちにした。もう一度「ガガルア」に、話しかけてみよう。			ガガルアの仲間たちが襲ってきたが、返り討ちにした。もう一度「ガガルア」に、話しかけてみよう。			小さき者たちの大きな夢							
ガガルアたちは、冒険者の正体に気付いたようだ。強気なガガルアたちは、ハッタリでドマ冒険者団の視線を上空に逸らすと、一目散に逃げ去った。崩壊したキャンプの東に置かれた「年代物の魔道書」を入手しよう。			ガガルアたちは、冒険者の正体に気付いたようだ。強気なガガルアたちは、ハッタリでドマ冒険者団の視線を上空に逸らすと、一目散に逃げ去った。崩壊したキャンプの東に置かれた「年代物の魔道書」を入手しよう。			小さき者たちの大きな夢							
ロウェナ記念会館から盗まれた年代物の魔道書を入手した。崩壊したキャンプの東の「ヨウザン」に報告しよう。			ロウェナ記念会館から盗まれた年代物の魔道書を入手した。崩壊したキャンプの東の「ヨウザン」に報告しよう。			小さき者たちの大きな夢							
ヨウザンに、年代物の魔道書を取り戻したことを話した。レヴナンツトールの「スラフボーン」に「年代物の魔道書」を渡そう。			ヨウザンに、年代物の魔道書を取り戻したことを話した。レヴナンツトールの「スラフボーン」に「年代物の魔道書」を渡そう。			小さき者たちの大きな夢							
スラフボーンに、「年代物の魔道書」を渡した。スラフボーンは、子どもたちがガガルア一味から「年代物の魔道書」を取り返したことに驚いたようだ。スラフボーンに認められた「ドマ冒険者団」の小さな冒険者たちは、満足そうにその場を後にした。			スラフボーンに、「年代物の魔道書」を渡した。スラフボーンは、子どもたちがガガルア一味から「年代物の魔道書」を取り返したことに驚いたようだ。スラフボーンに認められた「ドマ冒険者団」の小さな冒険者たちは、満足そうにその場を後にした。			小さき者たちの大きな夢							
コハルと話す			コハルと話す			小さき者たちの大きな夢							
ヨウザンと話す			ヨウザンと話す			小さき者たちの大きな夢							
ガガルアと話し、その仲間たちを討伐			ガガルアと話し、その仲間たちを討伐			小さき者たちの大きな夢							
ガガルアと話す			ガガルアと話す			小さき者たちの大きな夢							
年代物の魔道書を入手			年代物の魔道書を入手			小さき者たちの大きな夢							
ヨウザンと話す			ヨウザンと話す			小さき者たちの大きな夢							
スラフボーンに年代物の魔道書を渡す			スラフボーンに年代物の魔道書を渡す			小さき者たちの大きな夢							
ねえちゃんにいちゃん！まずは、ララフェル四人組を調査してみようよ。			ねえちゃんにいちゃん！まずは、ララフェル四人組を調査してみようよ。			小さき者たちの大きな夢							
南東の門手前に、荷車を留めているはずだから、こっそりとコハルに確認してもらおう！			南東の門手前に、荷車を留めているはずだから、こっそりとコハルに確認してもらおう！			小さき者たちの大きな夢							
フッフッフ……。やはり「ピーン」と来てしまいましたね。			フッフッフ……。やはり「ピーン」と来てしまいましたね。			小さき者たちの大きな夢							
ララフェル四人組かぁ……武器とか持ってたらどうしよう……。念のために、忍具を取りに帰った方がいいんじゃないかな？			ララフェル四人組かぁ……武器とか持ってたらどうしよう……。念のために、忍具を取りに帰った方がいいんじゃないかな？			小さき者たちの大きな夢							
……そのララフェル四人組、調べてみる価値はありそう。それにしてもコハルは、なんであんなに楽しそうなのかしら。			……そのララフェル四人組、調べてみる価値はありそう。それにしてもコハルは、なんであんなに楽しそうなのかしら。			小さき者たちの大きな夢							
……うん、間違いないよ。今は、ふたりだけみたいだけど、最近来た四人組の人たちだ。			……うん、間違いないよ。今は、ふたりだけみたいだけど、最近来た四人組の人たちだ。			小さき者たちの大きな夢							
でも、犯人かどうか、どうやって確認するの？見た感じだと魔道書なんて持ってなさそうだし。荷台の中にあるのかな？			でも、犯人かどうか、どうやって確認するの？見た感じだと魔道書なんて持ってなさそうだし。荷台の中にあるのかな？			小さき者たちの大きな夢							
……今いないふたりが持っている可能性もあるわね。そもそも、全く関係ない可能性もね。			……今いないふたりが持っている可能性もあるわね。そもそも、全く関係ない可能性もね。			小さき者たちの大きな夢							
オレに、考えがある。……ロッカ、ちょっと手伝ってくれ。			オレに、考えがある。……ロッカ、ちょっと手伝ってくれ。			小さき者たちの大きな夢							
……そういえば、知ってる？ロウェナさんのところから盗まれた魔道書の話。			……そういえば、知ってる？ロウェナさんのところから盗まれた魔道書の話。			小さき者たちの大きな夢							
知ってるよー。悔しいよな、オレが手に入れてやろうと思ってたのにさ！			知ってるよー。悔しいよな、オレが手に入れてやろうと思ってたのにさ！			小さき者たちの大きな夢							
あの魔道書……「レヴナンツトールの財宝」の在り処が、隠されているんでしょ？			あの魔道書……「レヴナンツトールの財宝」の在り処が、隠されているんでしょ？			小さき者たちの大きな夢							
そう……かつての冒険者たちが、密かに集めた金銀財宝！あのガレマール帝国に、勝るとも劣らない究極兵器！			そう……かつての冒険者たちが、密かに集めた金銀財宝！あのガレマール帝国に、勝るとも劣らない究極兵器！			小さき者たちの大きな夢							
隠し場所が「崩壊したキャンプ」だってとこまでは掴んだのに。せっかくの苦労がムダになったよ。			隠し場所が「崩壊したキャンプ」だってとこまでは掴んだのに。せっかくの苦労がムダになったよ。			小さき者たちの大きな夢							
……魔道書がなければ、見つけるのは無理ね。もう、諦めなさいよ。			……魔道書がなければ、見つけるのは無理ね。もう、諦めなさいよ。			小さき者たちの大きな夢							
……おい、今の話聞いたか？金銀財宝に、究極兵器！こうしちゃいられない、すぐに報告だ！			……おい、今の話聞いたか？金銀財宝に、究極兵器！こうしちゃいられない、すぐに報告だ！			小さき者たちの大きな夢							
えっ！？……あれ、おにいちゃんどこ？			えっ！？……あれ、おにいちゃんどこ？			小さき者たちの大きな夢							
おい、早く来い！急いで報告だ！！			おい、早く来い！急いで報告だ！！			小さき者たちの大きな夢							
ちょっと、まってよ～。			ちょっと、まってよ～。			小さき者たちの大きな夢							
やるね、ヨウザン！これで魔道書を持ってきたら、犯人確定だね。			やるね、ヨウザン！これで魔道書を持ってきたら、犯人確定だね。			小さき者たちの大きな夢							
……仲間のふたりは、キャンプの外に出かけていたみたいね。ほかのふたりも、あんな感じだったら扱いやすいんだけど。			……仲間のふたりは、キャンプの外に出かけていたみたいね。ほかのふたりも、あんな感じだったら扱いやすいんだけど。			小さき者たちの大きな夢							
ふふふ、あんまり怖そうな人たちじゃないかも。ちょっとホッとしたよ。			ふふふ、あんまり怖そうな人たちじゃないかも。ちょっとホッとしたよ。			小さき者たちの大きな夢							
あの食いつきようだ、アイツらで間違いない。きっと、魔道書を持って「崩壊したキャンプ」にやってくる！オレたちも先回りして、アイツらが来るのを待とう！			あの食いつきようだ、アイツらで間違いない。きっと、魔道書を持って「崩壊したキャンプ」にやってくる！オレたちも先回りして、アイツらが来るのを待とう！			小さき者たちの大きな夢							
コハル、どうだ……アイツらで間違いないか？			コハル、どうだ……アイツらで間違いないか？			小さき者たちの大きな夢							
僕たち気配を消すのも得意だけど……さすがにここにいたら、スラフボーンさんも気付きそう……。			僕たち気配を消すのも得意だけど……さすがにここにいたら、スラフボーンさんも気付きそう……。			小さき者たちの大きな夢							
……実は、この中で一番好奇心旺盛なのは、コハルなのよね。ヨウザンとふたりで行動しているコハルを見てると、なんだかハラハラしてきちゃう。			……実は、この中で一番好奇心旺盛なのは、コハルなのよね。ヨウザンとふたりで行動しているコハルを見てると、なんだかハラハラしてきちゃう。			小さき者たちの大きな夢							
早く来ないかなー。大人しく捕まってくれれば、それでよし。もし抵抗するなら、ねえちゃんにいちゃんの出番だからな！			早く来ないかなー。大人しく捕まってくれれば、それでよし。もし抵抗するなら、ねえちゃんにいちゃんの出番だからな！			小さき者たちの大きな夢							
(-頭目らしき男-)ここに財宝が眠っているのか！クヒヒ……金銀財宝も、究極兵器も、すべていただくぞ！！遂に俺さまの時代が到来するのだ！！！			(-頭目らしき男-)ここに財宝が眠っているのか！クヒヒ……金銀財宝も、究極兵器も、すべていただくぞ！！遂に俺さまの時代が到来するのだ！！！			小さき者たちの大きな夢							
(-頭目らしき男-)これで夢にも、一歩近づいたというわけだ。帝国も、エオルゼアも、すべて手に入れてやる！やつらに滅ぼされた、俺さまの国を再建するのだ！！			(-頭目らしき男-)これで夢にも、一歩近づいたというわけだ。帝国も、エオルゼアも、すべて手に入れてやる！やつらに滅ぼされた、俺さまの国を再建するのだ！！			小さき者たちの大きな夢							
財宝を探すカギは、盗んだ魔道書にあるんだったな。「古の秘術」目的で盗んだコレに、まさか、こんな秘密まで潜んでいたとは……。			財宝を探すカギは、盗んだ魔道書にあるんだったな。「古の秘術」目的で盗んだコレに、まさか、こんな秘密まで潜んでいたとは……。			小さき者たちの大きな夢							
(-頭目らしき男-)……で、この魔道書をどうすればよいのだ？何か暗号でも記されているのか、それとも呪文でも唱えるのか……。おい、どうなんだ？			(-頭目らしき男-)……で、この魔道書をどうすればよいのだ？何か暗号でも記されているのか、それとも呪文でも唱えるのか……。おい、どうなんだ？			小さき者たちの大きな夢							
さぁ……。……どうするんでしょうね？			さぁ……。……どうするんでしょうね？			小さき者たちの大きな夢							
(-頭目らしき男-)オマエ、聞きだしてこなかったのか！こーの、バカタレが！！			(-頭目らしき男-)オマエ、聞きだしてこなかったのか！こーの、バカタレが！！			小さき者たちの大きな夢							
も、申し訳ありません、ガガルア様。			も、申し訳ありません、ガガルア様。			小さき者たちの大きな夢							
(-ガガルア-)なんだ、あのお子ちゃまたちは……？俺さまは忙しいんだ。遊ぶなら余所でやってくれ。			(-ガガルア-)なんだ、あのお子ちゃまたちは……？俺さまは忙しいんだ。遊ぶなら余所でやってくれ。			小さき者たちの大きな夢							
オレたちは「ドマ冒険者団」だ！ロウェナさんのところから、魔道書を盗んだのはオマエたちだな！			オレたちは「ドマ冒険者団」だ！ロウェナさんのところから、魔道書を盗んだのはオマエたちだな！			小さき者たちの大きな夢							
ガガルア様、この子たちですよ！この子たちが、財宝のこととか、魔道書に秘密があることを話していたんですよ。			ガガルア様、この子たちですよ！この子たちが、財宝のこととか、魔道書に秘密があることを話していたんですよ。			小さき者たちの大きな夢							
(-ガガルア-)…………。			(-ガガルア-)…………。			小さき者たちの大きな夢							
……騙されましたね。			……騙されましたね。			小さき者たちの大きな夢							
(-ガガルア-)こーの、バカタレが！！			(-ガガルア-)こーの、バカタレが！！			小さき者たちの大きな夢							
(-ガガルア-)この俺さまを欺くとは、ただでは済まさないぞ！こうなったら少し痛い目を見てもらおう。おい、アレを呼べ！！			(-ガガルア-)この俺さまを欺くとは、ただでは済まさないぞ！こうなったら少し痛い目を見てもらおう。おい、アレを呼べ！！			小さき者たちの大きな夢							
……いませんよ。			……いませんよ。			小さき者たちの大きな夢							
(-ガガルア-)……なんで？			(-ガガルア-)……なんで？			小さき者たちの大きな夢							
ガガルア様が、今回の仕事からは外したのではありませんか。目立つからって。			ガガルア様が、今回の仕事からは外したのではありませんか。目立つからって。			小さき者たちの大きな夢							
……仕方がありませんね。では、私たちが少し懲らしめてあげましょう。			……仕方がありませんね。では、私たちが少し懲らしめてあげましょう。			小さき者たちの大きな夢							
なんだか、ドキドキしてきちゃった。			なんだか、ドキドキしてきちゃった。			小さき者たちの大きな夢							
潜んで、じっと待つ……。ドマにいたころは、そんな修行もしたよ。ヨウザンは苦手だったみたいだけどね。			潜んで、じっと待つ……。ドマにいたころは、そんな修行もしたよ。ヨウザンは苦手だったみたいだけどね。			小さき者たちの大きな夢							
……ヨウザンったら、待ち伏せするのはいいけど、犯人がやってきた後はどうするつもりなのかしら。			……ヨウザンったら、待ち伏せするのはいいけど、犯人がやってきた後はどうするつもりなのかしら。			小さき者たちの大きな夢							
俺さまたちは、すーっごく強いぞ。怪我しても知らないからな！お前ら、やっちまえー！！			俺さまたちは、すーっごく強いぞ。怪我しても知らないからな！お前ら、やっちまえー！！			小さき者たちの大きな夢							
ねえちゃんにいちゃんの戦いが、また見られるんだな！大技決めちゃってよ！！			ねえちゃんにいちゃんの戦いが、また見られるんだな！大技決めちゃってよ！！			小さき者たちの大きな夢							
ここは、お姉ちゃんお兄ちゃんに譲ってあげましょう。いつか私も、イダお姉ちゃん仕込みの、必殺拳を見せてあげるね。			ここは、お姉ちゃんお兄ちゃんに譲ってあげましょう。いつか私も、イダお姉ちゃん仕込みの、必殺拳を見せてあげるね。			小さき者たちの大きな夢							
敵は複数だね……。僕も、後方から支援した方がいいかな？			敵は複数だね……。僕も、後方から支援した方がいいかな？			小さき者たちの大きな夢							
……あの人たち、なんだか自信あるみたい。おねえさんおにいさんなら心配ないと思うけど気をつけてね。ケガしたら、あとで薬塗ってあげるよ。			……あの人たち、なんだか自信あるみたい。おねえさんおにいさんなら心配ないと思うけど気をつけてね。ケガしたら、あとで薬塗ってあげるよ。			小さき者たちの大きな夢							
オ、オマエ、恐ろしく強いな……。			オ、オマエ、恐ろしく強いな……。			小さき者たちの大きな夢							
それにしても、どこかで見たような…………まさか！？　ガガルア様！！			それにしても、どこかで見たような…………まさか！？　ガガルア様！！			小さき者たちの大きな夢							
あの者の正体がわかりました。例の「暁の英雄」ですよ。たしか、Forename Surname。			あの者の正体がわかりました。例の「暁の英雄」ですよ。たしか、Forename Surname。			小さき者たちの大きな夢							
蛮神を次々倒して、帝国のなんとかって兵器まで、粉々に破壊したっていうアイツですか？			蛮神を次々倒して、帝国のなんとかって兵器まで、粉々に破壊したっていうアイツですか？			小さき者たちの大きな夢							
なんで、そんなやつが子どもたちと一緒にいるんだ？……仕方がない、こうなったらアレをやるぞ。			なんで、そんなやつが子どもたちと一緒にいるんだ？……仕方がない、こうなったらアレをやるぞ。			小さき者たちの大きな夢							
