彫金師ギルドのセレンディピティーは、わたわたしているようだ。			彫金師ギルドのセレンディピティーは、わたわたしているようだ。			ギルドへの私的な依頼							
(-ナナモ・ウル・ナモ-)そこでほうぼうの有識者を訪ね、意見を求めたが……職人を育成し、名産となる工芸品を生みだすのが有効という。そこで持ち上がったのが、職人養成塾の構想というわけじゃ。			(-ナナモ・ウル・ナモ-)そこでほうぼうの有識者を訪ね、意見を求めたが……職人を育成し、名産となる工芸品を生みだすのが有効という。そこで持ち上がったのが、職人養成塾の構想というわけじゃ。			ギルドへの私的な依頼							
(-ナナモ・ウル・ナモ-)設立の候補地は、アラミゴ解放軍の拠点ラールガーズリーチ。そこへ派遣するにふさわしい、ウルダハを代表する、優れた彫金師は誰かと、出入りの外商のマルセルに聞いたところ……			(-ナナモ・ウル・ナモ-)設立の候補地は、アラミゴ解放軍の拠点ラールガーズリーチ。そこへ派遣するにふさわしい、ウルダハを代表する、優れた彫金師は誰かと、出入りの外商のマルセルに聞いたところ……			ギルドへの私的な依頼							
(-ナナモ・ウル・ナモ-)奇しくも、わらわの頭にあった、Forenameの名をあげるではないか……！そなたならば、安心して師範をまかせられるというもの。			(-ナナモ・ウル・ナモ-)奇しくも、わらわの頭にあった、Forenameの名をあげるではないか……！そなたならば、安心して師範をまかせられるというもの。			ギルドへの私的な依頼							
以前から、ご相談を受けてはいたのですが……内々に進めておりましたので、突然のお話となってしまったこと、まずはお詫び申し上げます。			以前から、ご相談を受けてはいたのですが……内々に進めておりましたので、突然のお話となってしまったこと、まずはお詫び申し上げます。			ギルドへの私的な依頼							
ですがこの構想、砂蠍衆の重鎮がたも唸る良案にございます。もとよりアラミゴは、鍛冶をはじめとする職人基盤のある土地柄。未開発の鉱脈もあると思われ、新たな工芸品を生む素地は充分かと。			ですがこの構想、砂蠍衆の重鎮がたも唸る良案にございます。もとよりアラミゴは、鍛冶をはじめとする職人基盤のある土地柄。未開発の鉱脈もあると思われ、新たな工芸品を生む素地は充分かと。			ギルドへの私的な依頼							
(-ナナモ・ウル・ナモ-)わらわもただ資金を投じるだけで、済むとは思っておらぬ……。アラミゴの民の将来のために、この品を役立ててほしい。			(-ナナモ・ウル・ナモ-)わらわもただ資金を投じるだけで、済むとは思っておらぬ……。アラミゴの民の将来のために、この品を役立ててほしい。			ギルドへの私的な依頼							
(-ナナモ・ウル・ナモ-)これは、わが母の形見の宝冠……嫁入りの品じゃ。冠を飾る豪華な宝石をバラせば、活動の元手にもなろう。心優しき母上なら、民の将来に使うこと、喜んでくれるはずじゃ。			(-ナナモ・ウル・ナモ-)これは、わが母の形見の宝冠……嫁入りの品じゃ。冠を飾る豪華な宝石をバラせば、活動の元手にもなろう。心優しき母上なら、民の将来に使うこと、喜んでくれるはずじゃ。			ギルドへの私的な依頼							
女王陛下が、それほどのお覚悟でいらっしゃるなんて……！Forenameさん、私からもお願いします！どうか女王陛下のためにもっ！			女王陛下が、それほどのお覚悟でいらっしゃるなんて……！Forenameさん、私からもお願いします！どうか女王陛下のためにもっ！			ギルドへの私的な依頼							
何と答える？			何と答える？			ギルドへの私的な依頼							
まかせてほしい			まかせてほしい			ギルドへの私的な依頼							
…………			…………			ギルドへの私的な依頼							
(-ナナモ・ウル・ナモ-)ありがたい……実に頼もしい返事じゃ！そなたならばこの話、受けてくれるものと信じておった。			(-ナナモ・ウル・ナモ-)ありがたい……実に頼もしい返事じゃ！そなたならばこの話、受けてくれるものと信じておった。			ギルドへの私的な依頼							
(-ナナモ・ウル・ナモ-)…………20年の空白を埋めるのは、想像を絶する難業となろう。安請けあいできる仕事でないことは、重々承知しておる。			(-ナナモ・ウル・ナモ-)…………20年の空白を埋めるのは、想像を絶する難業となろう。安請けあいできる仕事でないことは、重々承知しておる。			ギルドへの私的な依頼							
(-ナナモ・ウル・ナモ-)だが……いや、なればこそ、そなたの力が必要なのじゃ。どうかこの話、受けてはもらえまいか……！			(-ナナモ・ウル・ナモ-)だが……いや、なればこそ、そなたの力が必要なのじゃ。どうかこの話、受けてはもらえまいか……！			ギルドへの私的な依頼							
(-ナナモ・ウル・ナモ-)幾重にも、感謝するぞ……！もろもろの手配については、このマルセルに協力を仰いでおる。ギルドマスターともども、今後の詳細を詰めてもらえるか？			(-ナナモ・ウル・ナモ-)幾重にも、感謝するぞ……！もろもろの手配については、このマルセルに協力を仰いでおる。ギルドマスターともども、今後の詳細を詰めてもらえるか？			ギルドへの私的な依頼							
失礼…………はい、マルセルでございますが……え、これからですか？善は急げと……ふむ、たしかに。			失礼…………はい、マルセルでございますが……え、これからですか？善は急げと……ふむ、たしかに。			ギルドへの私的な依頼							
実は、ナナモ陛下より正式にご依頼をいただき、アラミゴ難民のなかから、徒弟の募集を始めていたのですが……さっそく、有望な若者たちが集まったということです。			実は、ナナモ陛下より正式にご依頼をいただき、アラミゴ難民のなかから、徒弟の募集を始めていたのですが……さっそく、有望な若者たちが集まったということです。			ギルドへの私的な依頼							
Surname様、よい顔合わせの機会ですので、ぜひお越しいただきたく……。場所は、中央ザナラーンの「刺抜盆地」です。			Surname様、よい顔合わせの機会ですので、ぜひお越しいただきたく……。場所は、中央ザナラーンの「刺抜盆地」です。			ギルドへの私的な依頼							
あー、びっくりしましたね……。ナナモ陛下が、お忍びの訪問だなんて。			あー、びっくりしましたね……。ナナモ陛下が、お忍びの訪問だなんて。			ギルドへの私的な依頼							
徒弟になる方々との顔合わせは、もう終わりました？みなさん中央ザナラーンの「刺抜盆地」にいらっしゃるようですよ！			徒弟になる方々との顔合わせは、もう終わりました？みなさん中央ザナラーンの「刺抜盆地」にいらっしゃるようですよ！			ギルドへの私的な依頼							
あ、もしかして……Forename師範！？マルセルさんは、そちらっす！			あ、もしかして……Forename師範！？マルセルさんは、そちらっす！			ギルドへの私的な依頼							
オレの名前はウィド。どうぞ、よろしく。			オレの名前はウィド。どうぞ、よろしく。			ギルドへの私的な依頼							
え……おいらに用？そこの、マルセルさんじゃなくて？			え……おいらに用？そこの、マルセルさんじゃなくて？			ギルドへの私的な依頼							
このたびの職人養成塾の話は、ナナモ様ご自身、かつてないほどの覚悟で取り組んでおられます。師範として成功に導かれることを、願ってやみませんぞ。			このたびの職人養成塾の話は、ナナモ様ご自身、かつてないほどの覚悟で取り組んでおられます。師範として成功に導かれることを、願ってやみませんぞ。			ギルドへの私的な依頼							
これはこれは、Surname様……。徒弟がたが、中央ザナラーンの「刺抜盆地」でお待ちです。			これはこれは、Surname様……。徒弟がたが、中央ザナラーンの「刺抜盆地」でお待ちです。			ギルドへの私的な依頼							
Surname様……ようこそお越しいただきました。このお三方が、このたび徒弟となるべく門を叩いた方々です。			Surname様……ようこそお越しいただきました。このお三方が、このたび徒弟となるべく門を叩いた方々です。			ギルドへの私的な依頼							
まだ見習いの彫金師たちですが、他分野での経験もあり、若いながら、まったくの素人というわけではございません。どうかお三方に声をかけ、自己紹介を伺ってください。			まだ見習いの彫金師たちですが、他分野での経験もあり、若いながら、まったくの素人というわけではございません。どうかお三方に声をかけ、自己紹介を伺ってください。			ギルドへの私的な依頼							
お三方との話が終わりましたら、彫金師ギルドへお戻りになり、受付の「ジェマイム」さんへ、お声をおかけください。職人養成塾の準備についても、進展があったようですので。			お三方との話が終わりましたら、彫金師ギルドへお戻りになり、受付の「ジェマイム」さんへ、お声をおかけください。職人養成塾の準備についても、進展があったようですので。			ギルドへの私的な依頼							
まだ見習いではありますが、いずれ劣らぬ有望な若者たちです。お三方すべてから、自己紹介を伺ってみてください。			まだ見習いではありますが、いずれ劣らぬ有望な若者たちです。お三方すべてから、自己紹介を伺ってみてください。			ギルドへの私的な依頼							
お話が終わりましたら、彫金師ギルドへお戻りになり、受付の「ジェマイム」さんへ、お声をおかけください。			お話が終わりましたら、彫金師ギルドへお戻りになり、受付の「ジェマイム」さんへ、お声をおかけください。			ギルドへの私的な依頼							
はじめまして、ジャ・ケビカっす。可愛いものが大好きで、小さな宝飾店で働いてるっす！			はじめまして、ジャ・ケビカっす。可愛いものが大好きで、小さな宝飾店で働いてるっす！			ギルドへの私的な依頼							
売るだけじゃモノ足りなくなって、店の職人さんに教わって、修理の手伝いなんかもしてるっすけど……もっと本格的に習いたくて、徒弟に応募したっす。			売るだけじゃモノ足りなくなって、店の職人さんに教わって、修理の手伝いなんかもしてるっすけど……もっと本格的に習いたくて、徒弟に応募したっす。			ギルドへの私的な依頼							
ところで……Forenameさんって、「エシュテム」の依頼で、とあるご夫婦のために、特別な編曲をした、オルゴールを製作された方っすよね！？			ところで……Forenameさんって、「エシュテム」の依頼で、とあるご夫婦のために、特別な編曲をした、オルゴールを製作された方っすよね！？			ギルドへの私的な依頼							
やっぱり……近ごろ売りだし中の彫金師さんの作品ってことで、店でも、話題になってたっす。そんなすごい方に教えてもらえるなんて、感激っす！			やっぱり……近ごろ売りだし中の彫金師さんの作品ってことで、店でも、話題になってたっす。そんなすごい方に教えてもらえるなんて、感激っす！			ギルドへの私的な依頼							
はじめまして、Surname師範！オレの名はウィド、横にいるハルとは兄弟だ。前はアラミゴ解放軍で、鍛冶師として武器の修理をやってた。			はじめまして、Surname師範！オレの名はウィド、横にいるハルとは兄弟だ。前はアラミゴ解放軍で、鍛冶師として武器の修理をやってた。			ギルドへの私的な依頼							
故郷では、争いが絶えたことがなかったから、職人ってのは、武具をあつかう仕事ばかりだと思ってたんだ。			故郷では、争いが絶えたことがなかったから、職人ってのは、武具をあつかう仕事ばかりだと思ってたんだ。			ギルドへの私的な依頼							
…………でも、死んだおふくろがいつも言ってたんだよな。長い戦いが終わって平和になったら、アラミゴに富を……つまり、ゼニをもたらす仕事が大切になるって。			…………でも、死んだおふくろがいつも言ってたんだよな。長い戦いが終わって平和になったら、アラミゴに富を……つまり、ゼニをもたらす仕事が大切になるって。			ギルドへの私的な依頼							
最近、その言葉を思い返すことが増えてさ。アラミゴの将来を創る仕事は何か、真剣に考えた。……それで弟のハルを誘って、彫金を学ぶことにしたんだ！			最近、その言葉を思い返すことが増えてさ。アラミゴの将来を創る仕事は何か、真剣に考えた。……それで弟のハルを誘って、彫金を学ぶことにしたんだ！			ギルドへの私的な依頼							
えっ、えっ…………あれ？ウィド兄貴から、耳の長いエレゼン尻尾がゴージャスなアウラ山よりでっかいルガディンガッチリムキムキのヒューラン手のひらサイズのララフェルふさふさ尻尾のミコッテ耳が顔より大きいヴィエラ全身毛むくじゃらのロスガル族の、男女の先生が来るって聞いてたんだけど……？			えっ、えっ…………あれ？ウィド兄貴から、耳の長いエレゼン尻尾がゴージャスなアウラ山よりでっかいルガディンガッチリムキムキのヒューラン手のひらサイズのララフェルふさふさ尻尾のミコッテ耳が顔より大きいヴィエラ全身毛むくじゃらのロスガル族の、男女の先生が来るって聞いてたんだけど……？			ギルドへの私的な依頼							
あっ、そうか……！ちくしょー、また兄貴にだまされたんだ！オイラ、信じやすいタチなもんで、いつもこんな目にあってて……。			あっ、そうか……！ちくしょー、また兄貴にだまされたんだ！オイラ、信じやすいタチなもんで、いつもこんな目にあってて……。			ギルドへの私的な依頼							
……って、自己紹介が先だったね。おいらはハル。ギラバニアでは、鉱山で採掘の仕事をしてたんだけど……			……って、自己紹介が先だったね。おいらはハル。ギラバニアでは、鉱山で採掘の仕事をしてたんだけど……			ギルドへの私的な依頼							
兄貴に声をかけられて、彫金の見習いを始めた。自分が採掘した原石が、どんな風に加工されるかがわかると、すごく面白くて、すっかり夢中になってるよ！			兄貴に声をかけられて、彫金の見習いを始めた。自分が採掘した原石が、どんな風に加工されるかがわかると、すごく面白くて、すっかり夢中になってるよ！			ギルドへの私的な依頼							
徒弟がたの印象は、いかがでしたでしょう？次は彫金師ギルドの「ジェマイム」さんへ、お声をおかけください。職人養成塾の準備は、着々と進展しております。			徒弟がたの印象は、いかがでしたでしょう？次は彫金師ギルドの「ジェマイム」さんへ、お声をおかけください。職人養成塾の準備は、着々と進展しております。			ギルドへの私的な依頼							
あっ、Forenameさん！すぐにご紹介したい人がいますので、受付の「ジェマイム」さんに声をかけてください！			あっ、Forenameさん！すぐにご紹介したい人がいますので、受付の「ジェマイム」さんに声をかけてください！			ギルドへの私的な依頼							
彫金師のエメロスと申します。あなたが、当ギルドの看板彫金師と名高い……Forenameさんですのね？			彫金師のエメロスと申します。あなたが、当ギルドの看板彫金師と名高い……Forenameさんですのね？			ギルドへの私的な依頼							
あこがれの師範に教えてもらえるなんて、もう感激っす！どうぞ、よろしくっす！			あこがれの師範に教えてもらえるなんて、もう感激っす！どうぞ、よろしくっす！			ギルドへの私的な依頼							
どうぞよろしく、師範！オレ、がんばるからな！			どうぞよろしく、師範！オレ、がんばるからな！			ギルドへの私的な依頼							
変なこと言って、ごめんよ。ウィド兄貴に、大嘘を教えられてたもんだからさ……。			変なこと言って、ごめんよ。ウィド兄貴に、大嘘を教えられてたもんだからさ……。			ギルドへの私的な依頼							
……お待ちしておりましたわ。件の職人養成塾についてのお話で、進展がございます。			……お待ちしておりましたわ。件の職人養成塾についてのお話で、進展がございます。			ギルドへの私的な依頼							
Forenameさんを補佐する師範代として、ギルドマスターより推挙されました、エメロスさんをご紹介します。			Forenameさんを補佐する師範代として、ギルドマスターより推挙されました、エメロスさんをご紹介します。			ギルドへの私的な依頼							
エメロスでございます。お会いするのは初めてですが、お噂はかねがね……。同じく彫金の道をゆく者として、そのご活躍は、まぶしいかぎり。			エメロスでございます。お会いするのは初めてですが、お噂はかねがね……。同じく彫金の道をゆく者として、そのご活躍は、まぶしいかぎり。			ギルドへの私的な依頼							
わたくしの役目については、こう伺っておりますの。お忙しいForenameさんにかわって、徒弟たちに、みっちりむっちりと基礎を叩き込むこと、と。			わたくしの役目については、こう伺っておりますの。お忙しいForenameさんにかわって、徒弟たちに、みっちりむっちりと基礎を叩き込むこと、と。			ギルドへの私的な依頼							
いよいよ、塾がラールガーズリーチに置かれるめどがつきましたら、エメロスさんには、師範代として、現地に常駐していただくことになります。			いよいよ、塾がラールガーズリーチに置かれるめどがつきましたら、エメロスさんには、師範代として、現地に常駐していただくことになります。			ギルドへの私的な依頼							
ギルドを代表する人気彫金師と、ともに仕事ができる好機とあって、話を聞くなり、飛びつくことに決めましたのよ。どうぞ、よしなにお願いいたします。			ギルドを代表する人気彫金師と、ともに仕事ができる好機とあって、話を聞くなり、飛びつくことに決めましたのよ。どうぞ、よしなにお願いいたします。			ギルドへの私的な依頼							
職人養成塾の受け入れ時期は、決まりしだい、私からお伝えすることになっています。師範としての本格的なお仕事は、それからになると思いますわ。			職人養成塾の受け入れ時期は、決まりしだい、私からお伝えすることになっています。師範としての本格的なお仕事は、それからになると思いますわ。			ギルドへの私的な依頼							
「彫金師」の新たなクラスクエストが開始されました。次のクエストは「レベル63」以上で、彫金師ギルド受付のジェマイムから受注可能です。			「彫金師」の新たなクラスクエストが開始されました。次のクエストは「レベル63」以上で、彫金師ギルド受付のジェマイムから受注可能です。			ギルドへの私的な依頼							
今後の「彫金師」のクラスクエスト受注条件は、コンプリート後のジャーナルで確認できます。			今後の「彫金師」のクラスクエスト受注条件は、コンプリート後のジャーナルで確認できます。			ギルドへの私的な依頼							
彫金師ギルドのセレンディピティーは、冒険者に誰かを紹介したくてうずうずしているようだ。			彫金師ギルドのセレンディピティーは、冒険者に誰かを紹介したくてうずうずしているようだ。			形なきものに							
前回までの冒険録：ウルダハを騒がす怪盗「狐のジェイド」が彫金師ギルドに狙いを定めた。ギルドマスターのセレンディピティーは、魔法人形ネジの力を借りてその正体を見破るものの、ネジはジェイドの手で大事な「コア」を壊され、動作を停止してしまう。そんなネジの「命」を救ったのは、冒険者だった。冒険者が100年前のギルドマスターの作品に匹敵するコアを製作したことで、ネジの目に再び光が宿る。セレンディピティーは冒険者に、心からの感謝を告げるのだった……。　　　　　　　　　　　　*　*　*セレンディピティーに名門宝飾店「エシュテム」の外商を紹介された。ウルダハの宝飾店「エシュテム」の「マルセル」に話を聞こう。			前回までの冒険録：ウルダハを騒がす怪盗「狐のジェイド」が彫金師ギルドに狙いを定めた。ギルドマスターのセレンディピティーは、魔法人形ネジの力を借りてその正体を見破るものの、ネジはジェイドの手で大事な「コア」を壊され、動作を停止してしまう。そんなネジの「命」を救ったのは、冒険者だった。冒険者が100年前のギルドマスターの作品に匹敵するコアを製作したことで、ネジの目に再び光が宿る。セレンディピティーは冒険者に、心からの感謝を告げるのだった……。　　　　　　　　　　　　*　*　*セレンディピティーに名門宝飾店「エシュテム」の外商を紹介された。ウルダハの宝飾店「エシュテム」の「マルセル」に話を聞こう。			形なきものに							
マルセルから仕事を依頼された。ある女性が、夫に贈るための特別な品を求めているという。「形なきものに形をあたえ、心なき黄金に心を刻め」という言葉の意味を考えながら、ウルダハで、彫金師ギルドにいる「セレンディピティー」と、クイックサンドにいる「モモディ」に助言を請おう。			マルセルから仕事を依頼された。ある女性が、夫に贈るための特別な品を求めているという。「形なきものに形をあたえ、心なき黄金に心を刻め」という言葉の意味を考えながら、ウルダハで、彫金師ギルドにいる「セレンディピティー」と、クイックサンドにいる「モモディ」に助言を請おう。			形なきものに							
セレンディピティーとモモディから助言を受けた。宝飾店「エシュテム」の「マルセル」に報告しよう。			セレンディピティーとモモディから助言を受けた。宝飾店「エシュテム」の「マルセル」に報告しよう。			形なきものに							
マルセルへの報告中、顧客「ジュエルド・ピーク」が現れて、オルゴールを作ることになった。想い出の歌に「形」をあたえ、贈る「心」を刻むため、マルセルとオルゴール作りを進めていこう。※彫金師のレベルが53以上になると、宝飾店「エシュテム」のマルセルから次の彫金師クエストを受注することができます。			マルセルへの報告中、顧客「ジュエルド・ピーク」が現れて、オルゴールを作ることになった。想い出の歌に「形」をあたえ、贈る「心」を刻むため、マルセルとオルゴール作りを進めていこう。※彫金師のレベルが53以上になると、宝飾店「エシュテム」のマルセルから次の彫金師クエストを受注することができます。			形なきものに							
宝飾店「エシュテム」のマルセルと話す			宝飾店「エシュテム」のマルセルと話す			形なきものに							
彫金師ギルドのセレンディピティーと話す			彫金師ギルドのセレンディピティーと話す			形なきものに							
クイックサンドのモモディと話す			クイックサンドのモモディと話す			形なきものに							
宝飾店「エシュテム」のマルセルに報告			宝飾店「エシュテム」のマルセルに報告			形なきものに							
Forenameさん、いつもお世話になってます。あっ……何をあらたまってるのかって、思わないでくださいねっ！いつも助けてもらってる、お礼がしたいだけなんです！			Forenameさん、いつもお世話になってます。あっ……何をあらたまってるのかって、思わないでくださいねっ！いつも助けてもらってる、お礼がしたいだけなんです！			形なきものに							
実はあなたに、ご紹介したい方がいるんです。ウルダハで最高の格式を誇る宝飾店「エシュテム」……その中でも、特別な上客の方々を担当されている外商「マルセル」さんです！			実はあなたに、ご紹介したい方がいるんです。ウルダハで最高の格式を誇る宝飾店「エシュテム」……その中でも、特別な上客の方々を担当されている外商「マルセル」さんです！			形なきものに							
マルセルさんからご指名をいただけるのは、ただの一流ではなく、上に「超」がつく、「超一流」の域に達した職人さんだけ。その依頼は、エオルゼアで最高峰の彫金師であることの証です！			マルセルさんからご指名をいただけるのは、ただの一流ではなく、上に「超」がつく、「超一流」の域に達した職人さんだけ。その依頼は、エオルゼアで最高峰の彫金師であることの証です！			形なきものに							
あなたにはもう、その資格があると思うんですっ！宝飾店「エシュテム」でお待ちの「マルセル」さんと、ぜひ、お会いしてきてください。			あなたにはもう、その資格があると思うんですっ！宝飾店「エシュテム」でお待ちの「マルセル」さんと、ぜひ、お会いしてきてください。			形なきものに							
マルセルさんからご指名をいただけるのは、ただの一流ではなく、上に「超」がつく、「超一流」の域に達した職人さんだけ。その依頼は、エオルゼアで最高峰の彫金師であることの証です！			マルセルさんからご指名をいただけるのは、ただの一流ではなく、上に「超」がつく、「超一流」の域に達した職人さんだけ。その依頼は、エオルゼアで最高峰の彫金師であることの証です！			形なきものに							
あなたにはもう、その資格があると思うんですっ！宝飾店「エシュテム」でお待ちの「マルセル」さんと、ぜひ、お会いしてきてください。			あなたにはもう、その資格があると思うんですっ！宝飾店「エシュテム」でお待ちの「マルセル」さんと、ぜひ、お会いしてきてください。			形なきものに							
Surname様でございますね？宝飾店「エシュテム」の外商、マルセルと申します。			Surname様でございますね？宝飾店「エシュテム」の外商、マルセルと申します。			形なきものに							
……お会いしたばかりで恐縮なのですが、あなた様に、さっそくお仕事をお願いしたいと考えております。何しろセレンディピティー様ご推薦の名工、腕前はお墨つき……。			……お会いしたばかりで恐縮なのですが、あなた様に、さっそくお仕事をお願いしたいと考えております。何しろセレンディピティー様ご推薦の名工、腕前はお墨つき……。			形なきものに							
