巴術士ギルドのムリーには、冒険者に任せたい仕事があるようだ。			巴術士ギルドのムリーには、冒険者に任せたい仕事があるようだ。			学問ノススメ							
ただし、あの辺りはコボルド族の勢力圏にも近い。彼らと遭遇すると厄介だから、くれぐれも注意してくれよ。			ただし、あの辺りはコボルド族の勢力圏にも近い。彼らと遭遇すると厄介だから、くれぐれも注意してくれよ。			失われた記憶を求めて							
外地ラノシアにある「ニーム浮遊遺跡」を巡ってみるってのはどうだろう？縁のある風景を見せるってわけさ。			外地ラノシアにある「ニーム浮遊遺跡」を巡ってみるってのはどうだろう？縁のある風景を見せるってわけさ。			失われた記憶を求めて							
ただし、あの辺りはコボルド族の勢力圏にも近い。彼らと遭遇すると厄介だから、くれぐれも注意してくれよ。			ただし、あの辺りはコボルド族の勢力圏にも近い。彼らと遭遇すると厄介だから、くれぐれも注意してくれよ。			失われた記憶を求めて							
おかえり、Forename君。その様子だと、僕の提案はうまくいったようだね。			おかえり、Forename君。その様子だと、僕の提案はうまくいったようだね。			失われた記憶を求めて							
フェアリーの目覚めによって、「ソウルクリスタル」に秘められていた古の軍学魔法が、呼び覚まされるはずだよ。			フェアリーの目覚めによって、「ソウルクリスタル」に秘められていた古の軍学魔法が、呼び覚まされるはずだよ。			失われた記憶を求めて							
さあ、僕も負けていられないね。石版に記されていた「海兵の戦技」を体得するため、猛特訓をしてみるつもりさ。			さあ、僕も負けていられないね。石版に記されていた「海兵の戦技」を体得するため、猛特訓をしてみるつもりさ。			失われた記憶を求めて							
失われた技術を、どっちが次に復活させられるか、競争しようじゃないか！さあ、お互い修行に励もうぜ！			失われた技術を、どっちが次に復活させられるか、競争しようじゃないか！さあ、お互い修行に励もうぜ！			失われた記憶を求めて							
斧術士ギルドのアルカ・ゾルカは、冒険者に頼みたい仕事があるようだ。			斧術士ギルドのアルカ・ゾルカは、冒険者に頼みたい仕事があるようだ。			怨念の権化							
アルカ・ゾルカの依頼を受けた。高地ラノシアのワンダラーパレスにいる「アルカ・ゾルカ」と話そう。			アルカ・ゾルカの依頼を受けた。高地ラノシアのワンダラーパレスにいる「アルカ・ゾルカ」と話そう。			怨念の権化							
アルカ・ゾルカと話した。高地ラノシアのワンダラーパレスにいる「アルカ・ゾルカ」と話そう。			アルカ・ゾルカと話した。高地ラノシアのワンダラーパレスにいる「アルカ・ゾルカ」と話そう。			怨念の権化							
トンベリを取り逃がしてしまった……。リムサ・ロミンサの斧術士ギルドにいる「アルカ・ゾルカ」に報告しよう。			トンベリを取り逃がしてしまった……。リムサ・ロミンサの斧術士ギルドにいる「アルカ・ゾルカ」に報告しよう。			怨念の権化							
アルカ・ゾルカに報告した。今回のトンベリ退治において、フェアリーに言うことを聞かせられなかったことを、彼になじられてしまった。今後はフェアリーの躾けをしっかりとやってくれと、アルカ・ゾルカに頼まれた。※学者のレベルが45以上になると、アルカ・ゾルカから次の学者クエストを受注することができます。			アルカ・ゾルカに報告した。今回のトンベリ退治において、フェアリーに言うことを聞かせられなかったことを、彼になじられてしまった。今後はフェアリーの躾けをしっかりとやってくれと、アルカ・ゾルカに頼まれた。※学者のレベルが45以上になると、アルカ・ゾルカから次の学者クエストを受注することができます。			怨念の権化							
ワンダラーパレスのアルカ・ゾルカと話す			ワンダラーパレスのアルカ・ゾルカと話す			怨念の権化							
アルカ・ゾルカと話す			アルカ・ゾルカと話す			怨念の権化							
斧術士ギルドのアルカ・ゾルカに報告			斧術士ギルドのアルカ・ゾルカに報告			怨念の権化							
トンベリ・ワンダラーを迎え討て！			トンベリ・ワンダラーを迎え討て！			怨念の権化							
やあやあ、Forename君！いつもながら、キミはいいところに現れてくれるね。実は僕、石版にあった「海兵の戦技」を体得できたんだ！			やあやあ、Forename君！いつもながら、キミはいいところに現れてくれるね。実は僕、石版にあった「海兵の戦技」を体得できたんだ！			怨念の権化							
伝説の「ニーム海兵団」では、海兵と学者が協力していたって話は、もうしたよね？			伝説の「ニーム海兵団」では、海兵と学者が協力していたって話は、もうしたよね？			怨念の権化							
海兵の戦技を復活させたい僕としては、ぜひとも、現代に甦った学者であるキミと共闘して、体得した技を試してみたいんだよ。			海兵の戦技を復活させたい僕としては、ぜひとも、現代に甦った学者であるキミと共闘して、体得した技を試してみたいんだよ。			怨念の権化							
ちょうどいい話があってね。ニーム時代の遺跡が数多く残るブロンズレイクに、「トンベリ」が現れたらしい。			ちょうどいい話があってね。ニーム時代の遺跡が数多く残るブロンズレイクに、「トンベリ」が現れたらしい。			怨念の権化							
「トンベリ」っていうのは、ニーム時代の神殿遺跡……「ワンダラーパレス」に棲みついている不快な怪物さ。			「トンベリ」っていうのは、ニーム時代の神殿遺跡……「ワンダラーパレス」に棲みついている不快な怪物さ。			怨念の権化							
普段は遺跡から出てこないんだが、最近1匹のトンベリが、ブロンズレイクを徘徊してるらしい。その討伐依頼が、斧術士ギルドに回ってきてるのさ。			普段は遺跡から出てこないんだが、最近1匹のトンベリが、ブロンズレイクを徘徊してるらしい。その討伐依頼が、斧術士ギルドに回ってきてるのさ。			怨念の権化							
ニームに由来する場所で怪物退治……。フェアリーの記憶を刺激するのにも、うってつけだろう？			ニームに由来する場所で怪物退治……。フェアリーの記憶を刺激するのにも、うってつけだろう？			怨念の権化							
トンベリが目撃されたのは、高地ラノシアの「ブロンズレイク」中央部だ。現地に祭壇があるから、その前で待ち合わせよう！			トンベリが目撃されたのは、高地ラノシアの「ブロンズレイク」中央部だ。現地に祭壇があるから、その前で待ち合わせよう！			怨念の権化							
トンベリが目撃されたのは、「高地ラノシア」の「ブロンズレイク」中央部だ。現地に祭壇があるから、その前で待ち合わせよう！			トンベリが目撃されたのは、「高地ラノシア」の「ブロンズレイク」中央部だ。現地に祭壇があるから、その前で待ち合わせよう！			怨念の権化							
Forename君、待たせてしまったみたいだね。			Forename君、待たせてしまったみたいだね。			怨念の権化							
「トンベリ」が目撃されたのは、このあたりだ。まだ周囲に潜んでいるかもしれないから、慎重に行こう。			「トンベリ」が目撃されたのは、このあたりだ。まだ周囲に潜んでいるかもしれないから、慎重に行こう。			怨念の権化							
いたぞ！あいつが噂の怪物だ！			いたぞ！あいつが噂の怪物だ！			怨念の権化							
オオオオォォォォ……！我が輝き……失われた輝き……ついに見つけたぞォォォ……！			オオオオォォォォ……！我が輝き……失われた輝き……ついに見つけたぞォォォ……！			怨念の権化							
我が怨みを受けよォォォ！			我が怨みを受けよォォォ！			怨念の権化							
く、来るぞッ！			く、来るぞッ！			怨念の権化							
これでトドメだァ！			これでトドメだァ！			怨念の権化							
危ないじゃないかッ！邪魔だ、そこをどけッ！			危ないじゃないかッ！邪魔だ、そこをどけッ！			怨念の権化							
オオォォォォ……。			オオォォォォ……。			怨念の権化							
なんだってんだよ！			なんだってんだよ！			怨念の権化							
キミのフェアリーは、躾けがなってないよ！おかげで、トンベリを逃がしてしまったじゃないか！			キミのフェアリーは、躾けがなってないよ！おかげで、トンベリを逃がしてしまったじゃないか！			怨念の権化							
……まぁ、軍学魔法とフェアリーについては、まだまだ未知数の部分が多いから、仕方がないけどさ。			……まぁ、軍学魔法とフェアリーについては、まだまだ未知数の部分が多いから、仕方がないけどさ。			怨念の権化							
とにかく、今回の討伐は失敗だよ。トンベリは完全に見失ってしまったし……今日のところは「斧術士ギルド」に引きあげるとしようか。			とにかく、今回の討伐は失敗だよ。トンベリは完全に見失ってしまったし……今日のところは「斧術士ギルド」に引きあげるとしようか。			怨念の権化							
やあ、Forename君。さっきは怒鳴ったりして悪かったね。僕も少し、興奮しすぎていたようだ……。			やあ、Forename君。さっきは怒鳴ったりして悪かったね。僕も少し、興奮しすぎていたようだ……。			怨念の権化							
トンベリ討伐は失敗してしまったけど、僕の「海兵の戦技」と、キミの軍学魔法の連携が、実戦でも有効だってことを証明することはできた。			トンベリ討伐は失敗してしまったけど、僕の「海兵の戦技」と、キミの軍学魔法の連携が、実戦でも有効だってことを証明することはできた。			怨念の権化							
見たところ、キミのフェアリーも、記憶を刺激されているようだし、収穫はあったわけだ。			見たところ、キミのフェアリーも、記憶を刺激されているようだし、収穫はあったわけだ。			怨念の権化							
僕は、さらなる調査を続けるとするよ。また進展があったときは、協力してくれよな。……それと、フェアリーの躾けを忘れないでくれよ。			僕は、さらなる調査を続けるとするよ。また進展があったときは、協力してくれよな。……それと、フェアリーの躾けを忘れないでくれよ。			怨念の権化							
僕が前に出るから、支援を頼むッ！			僕が前に出るから、支援を頼むッ！			怨念の権化							
なんだコイツら？あいつが呼び出したとでもいうのか！？			なんだコイツら？あいつが呼び出したとでもいうのか！？			怨念の権化							
う、うわああああっ！？			う、うわああああっ！？			怨念の権化							
斧術士ギルドのアルカ・ゾルカは、冒険者に朗報を聞かせたいようだ。			斧術士ギルドのアルカ・ゾルカは、冒険者に朗報を聞かせたいようだ。			匠たちへの頼み							
アルカ・ゾルカの依頼を受けた。モードゥナの迷霧湿原の「湿林の霊妖花」を調べよう。			アルカ・ゾルカの依頼を受けた。モードゥナの迷霧湿原の「湿林の霊妖花」を調べよう。			匠たちへの頼み							
湿林の霊妖花を調べ、現れた魔物を討伐した。「湿林の霊妖花」を調べて「霊妖花の若葉」を入手しよう。			湿林の霊妖花を調べ、現れた魔物を討伐した。「湿林の霊妖花」を調べて「霊妖花の若葉」を入手しよう。			匠たちへの頼み							
霊妖花の若葉を入手した。ウルダハの裁縫師ギルドにいる「レドレント・ローズ」に「霊妖花の若葉」と「学者装束概論」を渡し、「学者の装束」を受け取ろう。			霊妖花の若葉を入手した。ウルダハの裁縫師ギルドにいる「レドレント・ローズ」に「霊妖花の若葉」と「学者装束概論」を渡し、「学者の装束」を受け取ろう。			匠たちへの頼み							
レドレント・ローズに霊妖花の若葉と学者装束概論を渡し「学者の装束」を受け取った。ウルダハの彫金師ギルドにいる「セレンディピティー」に「未完の学者装束」を渡し、「学者の装束」を受け取ろう。			レドレント・ローズに霊妖花の若葉と学者装束概論を渡し「学者の装束」を受け取った。ウルダハの彫金師ギルドにいる「セレンディピティー」に「未完の学者装束」を渡し、「学者の装束」を受け取ろう。			匠たちへの頼み							
セレンディピティーに未完の学者装束を渡し「学者の装束」を受け取った。グリダニアの革細工師ギルドにいる「ゲヴァ」に「未完の学者装束」を渡し、「学者の装束」を受け取ろう。			セレンディピティーに未完の学者装束を渡し「学者の装束」を受け取った。グリダニアの革細工師ギルドにいる「ゲヴァ」に「未完の学者装束」を渡し、「学者の装束」を受け取ろう。			匠たちへの頼み							
ゲヴァに未完の学者装束を渡し「学者の装束」を受け取った。グリダニアの革細工師ギルドにいる「ベリ」に「未完の学者装束」を渡し、「学者の装束」を受け取ろう。			ゲヴァに未完の学者装束を渡し「学者の装束」を受け取った。グリダニアの革細工師ギルドにいる「ベリ」に「未完の学者装束」を渡し、「学者の装束」を受け取ろう。			匠たちへの頼み							
ベリに未完の学者装束を渡し「学者の装束」を受け取った。学者の装備をして、リムサ・ロミンサの斧術士ギルドにいる「アルカ・ゾルカ」に報告しよう。			ベリに未完の学者装束を渡し「学者の装束」を受け取った。学者の装備をして、リムサ・ロミンサの斧術士ギルドにいる「アルカ・ゾルカ」に報告しよう。			匠たちへの頼み							
アルカ・ゾルカに報告した。彼は冒険者の集めた装束を見て、ご満悦のようだ。			アルカ・ゾルカに報告した。彼は冒険者の集めた装束を見て、ご満悦のようだ。			匠たちへの頼み							
迷霧湿原の湿林の霊妖花を調べる			迷霧湿原の湿林の霊妖花を調べる			匠たちへの頼み							
湿林の霊妖花を調べ、霊妖花の若葉を入手			湿林の霊妖花を調べ、霊妖花の若葉を入手			匠たちへの頼み							
裁縫師ギルドのレドレント・ローズに指定の品を渡して学者の装束を入手			裁縫師ギルドのレドレント・ローズに指定の品を渡して学者の装束を入手			匠たちへの頼み							
セレンディピティーに未完の学者装束を渡し、学者の装束を入手			セレンディピティーに未完の学者装束を渡し、学者の装束を入手			匠たちへの頼み							
革細工師ギルドのゲヴァに未完の学者装束を渡し、学者の装束を入手			革細工師ギルドのゲヴァに未完の学者装束を渡し、学者の装束を入手			匠たちへの頼み							
ベリに未完の学者装束を渡し、学者の装束を入手			ベリに未完の学者装束を渡し、学者の装束を入手			匠たちへの頼み							
学者の装備をしてアルカ・ゾルカに報告			学者の装備をしてアルカ・ゾルカに報告			匠たちへの頼み							
やあやあ、Forename君！相棒のフェアリーともども、腕を上げたようだね！こっちの調査にも進展があったよ。			やあやあ、Forename君！相棒のフェアリーともども、腕を上げたようだね！こっちの調査にも進展があったよ。			匠たちへの頼み							
第五星暦当時の「学者」が活躍する様子を描いたレリーフと、その装束にまつわる記述を発見したんだ。			第五星暦当時の「学者」が活躍する様子を描いたレリーフと、その装束にまつわる記述を発見したんだ。			匠たちへの頼み							
もし、学者の装束を再現できたとしたら……フェアリーの記憶も、おおいに刺激されるんじゃないかな？			もし、学者の装束を再現できたとしたら……フェアリーの記憶も、おおいに刺激されるんじゃないかな？			匠たちへの頼み							
とはいえ、1500年以上前の装束を、少ない資料を頼りに作るのは、並の職人じゃムリだろう。だから、専門家に協力を要請してみたんだ。			とはいえ、1500年以上前の装束を、少ない資料を頼りに作るのは、並の職人じゃムリだろう。だから、専門家に協力を要請してみたんだ。			匠たちへの頼み							
まずは、僕がまとめた「学者装束概論」を渡しておくよ。これをウルダハにある裁縫師ギルドのマスター、「レドレント・ローズ」さんに渡して、製作を依頼してくれ。			まずは、僕がまとめた「学者装束概論」を渡しておくよ。これをウルダハにある裁縫師ギルドのマスター、「レドレント・ローズ」さんに渡して、製作を依頼してくれ。			匠たちへの頼み							
