剣術士ギルドのミラは何やら慌てているようだ。			剣術士ギルドのミラは何やら慌てているようだ。			ナルザルの双剣							
Forename Surname！　まっていたぞ……！先程、知らせがあって……。ア、アルディスが法務庁に……逮捕された……。			Forename Surname！　まっていたぞ……！先程、知らせがあって……。ア、アルディスが法務庁に……逮捕された……。			ナルザルの双剣							
アルディスにかかった容疑は、「ナナモ女王陛下暗殺未遂」。王宮に忍び込み、酒宴の杯に猛毒を仕込んだと……。			アルディスにかかった容疑は、「ナナモ女王陛下暗殺未遂」。王宮に忍び込み、酒宴の杯に猛毒を仕込んだと……。			ナルザルの双剣							
バカバカしい！　アルディスに動機はなく、そもそも「ナルの剣」の異名を持つ剣士が、暗殺に毒など使うものか！			バカバカしい！　アルディスに動機はなく、そもそも「ナルの剣」の異名を持つ剣士が、暗殺に毒など使うものか！			ナルザルの双剣							
アルディスを暗殺で始末できないと悟り、「アラクラン」が裏で権力を動かしたんだ！共和派の権力者どもにとりいったに違いない。			アルディスを暗殺で始末できないと悟り、「アラクラン」が裏で権力を動かしたんだ！共和派の権力者どもにとりいったに違いない。			ナルザルの双剣							
情報屋の……「ワイモンド」といったか？仕方がない。アルディスの冤罪を証明するための証拠探し、奴にすがってみるしかなさそうだ……。			情報屋の……「ワイモンド」といったか？仕方がない。アルディスの冤罪を証明するための証拠探し、奴にすがってみるしかなさそうだ……。			ナルザルの双剣							
私はどうしてもアルディスを見捨てられない……。頼む！　どうか、手を貸してほしい！ワイモンドから、情報を聞き出してくれ！			私はどうしてもアルディスを見捨てられない……。頼む！　どうか、手を貸してほしい！ワイモンドから、情報を聞き出してくれ！			ナルザルの双剣							
よぉ、アンタか……聞いたぜ……アルディスの話。まったく……アイツもバカな男だ……まるで、死に場所を探してる亡霊じゃねえか……。			よぉ、アンタか……聞いたぜ……アルディスの話。まったく……アイツもバカな男だ……まるで、死に場所を探してる亡霊じゃねえか……。			ナルザルの双剣							
教えてください……			教えてください……			ナルザルの双剣							
7年前の「過去」って？			7年前の「過去」って？			ナルザルの双剣							
アルディスって……何者？			アルディスって……何者？			ナルザルの双剣							
……俺が知ってるのは、「7年前の事件」に、あの男が、深く関わっているということだけだ。			……俺が知ってるのは、「7年前の事件」に、あの男が、深く関わっているということだけだ。			ナルザルの双剣							
7年前のコロセウムで、ウルダハ全体を揺るがす巨額不正事件があったんだ……八百長ってやつさ。			7年前のコロセウムで、ウルダハ全体を揺るがす巨額不正事件があったんだ……八百長ってやつさ。			ナルザルの双剣							
知ってのとおり、剣闘はウルダハの国民的な娯楽。その試合は賭博の対象として、何億ギルもの金が動く。その事件で、スネに傷のある連中が芋づる式に摘発された。			知ってのとおり、剣闘はウルダハの国民的な娯楽。その試合は賭博の対象として、何億ギルもの金が動く。その事件で、スネに傷のある連中が芋づる式に摘発された。			ナルザルの双剣							
そして最終的にこの巨大不正事件は、一人の男の死と、一人の剣闘士のコロセウム永久追放という結末によって幕を閉じたんだ……。			そして最終的にこの巨大不正事件は、一人の男の死と、一人の剣闘士のコロセウム永久追放という結末によって幕を閉じたんだ……。			ナルザルの双剣							
死んだ男というのは、先代の剣術士ギルドマスター。つまりは、現マスターであるミラの父親。そして……言うまでもないな？　追放されたのがアルディスさ。			死んだ男というのは、先代の剣術士ギルドマスター。つまりは、現マスターであるミラの父親。そして……言うまでもないな？　追放されたのがアルディスさ。			ナルザルの双剣							
アルディスは、不正事件のすべての罪を被せられ、剣闘士界からその存在を完全に抹殺された……。……真相は闇の中さ。			アルディスは、不正事件のすべての罪を被せられ、剣闘士界からその存在を完全に抹殺された……。……真相は闇の中さ。			ナルザルの双剣							
なんだよ、お前のそのツラは……。お前はやつが無実だと思ってる、今回も陰謀だ、とな。俺に手伝えって顔をしてやがる。			なんだよ、お前のそのツラは……。お前はやつが無実だと思ってる、今回も陰謀だ、とな。俺に手伝えって顔をしてやがる。			ナルザルの双剣							
ちっ……あ～ァ、わかったよ！手がかりは「女王暗殺未遂」に使われた凶器、「ラールガーの胆汁」って名の猛毒だ。			ちっ……あ～ァ、わかったよ！手がかりは「女王暗殺未遂」に使われた凶器、「ラールガーの胆汁」って名の猛毒だ。			ナルザルの双剣							
ザナラーンで、そんな物騒なモンを調合できるのは、墜ちたアラミゴ軍残党「骸旅団」くらいのもんだろう。……俺が言えるのはここまでだ。			ザナラーンで、そんな物騒なモンを調合できるのは、墜ちたアラミゴ軍残党「骸旅団」くらいのもんだろう。……俺が言えるのはここまでだ。			ナルザルの双剣							
アルディスには昔、借りがあってな。なあに、くだらねえ女の話さ……。じゃあな、お互い生きてたら、また会おうぜ。			アルディスには昔、借りがあってな。なあに、くだらねえ女の話さ……。じゃあな、お互い生きてたら、また会おうぜ。			ナルザルの双剣							
大変なんだ！　アルディスの身柄が、法務庁から司法官に引き渡された！今日にでも死刑が執行されてしまうッ！			大変なんだ！　アルディスの身柄が、法務庁から司法官に引き渡された！今日にでも死刑が執行されてしまうッ！			ナルザルの双剣							
こ、これは……「ラールガーの胆汁」と「毒薬の取引明細」か！これがあれば、アルディスの冤罪が証明できる！			こ、これは……「ラールガーの胆汁」と「毒薬の取引明細」か！これがあれば、アルディスの冤罪が証明できる！			ナルザルの双剣							
時間がない！　この証拠品をもって大至急、「ハイブリッジ」へ急いでくれ！死刑執行官の司教にこれを渡すんだ！			時間がない！　この証拠品をもって大至急、「ハイブリッジ」へ急いでくれ！死刑執行官の司教にこれを渡すんだ！			ナルザルの双剣							
急げ！　Forename！　時間がない！処刑場は「ハイブリッジ」だ！			急げ！　Forename！　時間がない！処刑場は「ハイブリッジ」だ！			ナルザルの双剣							
急げッ！　アルディスさんが処刑されちまうッ！処刑場は橋の下だ！　そこの階段から行けるぜッ！			急げッ！　アルディスさんが処刑されちまうッ！処刑場は橋の下だ！　そこの階段から行けるぜッ！			ナルザルの双剣							
罪人アルディスよ！許しがたき国家反逆罪に対し、罪人を極刑に処し今、ここに死刑を……って、なんだ貴様？			罪人アルディスよ！許しがたき国家反逆罪に対し、罪人を極刑に処し今、ここに死刑を……って、なんだ貴様？			ナルザルの双剣							
何だ？　これは……「ラールガーの胆汁」……？その「毒薬の取引明細」……だと？			何だ？　これは……「ラールガーの胆汁」……？その「毒薬の取引明細」……だと？			ナルザルの双剣							
ふはは……残念だが、こんなものでは罪人の冤罪は証明できんぞ。砂金より価値あるものなし……だ！			ふはは……残念だが、こんなものでは罪人の冤罪は証明できんぞ。砂金より価値あるものなし……だ！			ナルザルの双剣							
Forename、ありがとうよ。あの世で美女と戯れるのも悪くないと思ってたが、どうやら、この世も捨てたモンじゃないらしい。			Forename、ありがとうよ。あの世で美女と戯れるのも悪くないと思ってたが、どうやら、この世も捨てたモンじゃないらしい。			ナルザルの双剣							
罪人は口をきくなッ！おい！　早く死刑執行をッ……！			罪人は口をきくなッ！おい！　早く死刑執行をッ……！			ナルザルの双剣							
ヒッ！			ヒッ！			ナルザルの双剣							
アルディスッ！			アルディスッ！			ナルザルの双剣							
やれやれ、お転婆娘にも困ったもんだ。色男は死ぬのも一苦労だな。			やれやれ、お転婆娘にも困ったもんだ。色男は死ぬのも一苦労だな。			ナルザルの双剣							
ナルだかザルだか知らねェが、神様ってやつに、えらく嫌われちまったなァ。天国行きの予約席に空きができたぜ。誰か代わりはいねェか？			ナルだかザルだか知らねェが、神様ってやつに、えらく嫌われちまったなァ。天国行きの予約席に空きができたぜ。誰か代わりはいねェか？			ナルザルの双剣							
ひ、ひいいいッ！			ひ、ひいいいッ！			ナルザルの双剣							
なに、死刑執行のスケジュールは変わらねェさ。少しばかし死体が増えるだけだ！			なに、死刑執行のスケジュールは変わらねェさ。少しばかし死体が増えるだけだ！			ナルザルの双剣							
ようやくお出ましか……。			ようやくお出ましか……。			ナルザルの双剣							
アルディス……やはりお前は直接始末すべきだったな。さあこの「ザルの剣」で、お前の血をすするとしよう。			アルディス……やはりお前は直接始末すべきだったな。さあこの「ザルの剣」で、お前の血をすするとしよう。			ナルザルの双剣							
よしてくれよ、男に吸われる趣味はねェ。だが……「ナルの剣」も、お前の血が欲しいってよ！			よしてくれよ、男に吸われる趣味はねェ。だが……「ナルの剣」も、お前の血が欲しいってよ！			ナルザルの双剣							
あいつは俺にまかせろ！お前はミラの加勢を頼む！死ぬなよ、Forename！			あいつは俺にまかせろ！お前はミラの加勢を頼む！死ぬなよ、Forename！			ナルザルの双剣							
アルディス……！			アルディス……！			ナルザルの双剣							
死ねッ！　アルディスッ！！			死ねッ！　アルディスッ！！			ナルザルの双剣							
リーヴォルド……。			リーヴォルド……。			ナルザルの双剣							
くッ…………よるなッ！お前は……お前にだけはッ……。			くッ…………よるなッ！お前は……お前にだけはッ……。			ナルザルの双剣							
…………「勝利」だ！このウルダハでは、勝利こそがすべて……！勝者はすべてを得、敗者はすべてを失う……。			…………「勝利」だ！このウルダハでは、勝利こそがすべて……！勝者はすべてを得、敗者はすべてを失う……。			ナルザルの双剣							
7年前……お前は俺からすべてを奪った！あの試合……互角だったはずの試合……たった一度、たった一度の敗北ですべてをッ！！			7年前……お前は俺からすべてを奪った！あの試合……互角だったはずの試合……たった一度、たった一度の敗北ですべてをッ！！			ナルザルの双剣							
だから……俺も奪ってやったのだ！お前から……すべてを！名声も、愛する者も、すべてッ！！			だから……俺も奪ってやったのだ！お前から……すべてを！名声も、愛する者も、すべてッ！！			ナルザルの双剣							
アルディス！　我こそが勝者！我が剣こそが「最強」なのだ！			アルディス！　我こそが勝者！我が剣こそが「最強」なのだ！			ナルザルの双剣							
「最強」の剣のいきつく果ては、決して「勝利」なんかじゃない。それがわからないから、お前は……。			「最強」の剣のいきつく果ては、決して「勝利」なんかじゃない。それがわからないから、お前は……。			ナルザルの双剣							
……ならば敗者の末路を教えてやる。ザル神の元で、お前を待っているぞ……アルディスッ！			……ならば敗者の末路を教えてやる。ザル神の元で、お前を待っているぞ……アルディスッ！			ナルザルの双剣							
リーヴォルドォォォォォッ！			リーヴォルドォォォォォッ！			ナルザルの双剣							
バカ野郎……俺は死んだって、神様の元なんざいかねェよ……。			バカ野郎……俺は死んだって、神様の元なんざいかねェよ……。			ナルザルの双剣							
帰ろう、ギルドへ。仲間が待っている……。			帰ろう、ギルドへ。仲間が待っている……。			ナルザルの双剣							
Forename、怪我はなかったか？今回の戦いに勝てたのは、お前のお陰だ。感謝している、本当にありがとう。			Forename、怪我はなかったか？今回の戦いに勝てたのは、お前のお陰だ。感謝している、本当にありがとう。			ナルザルの双剣							
Forename、強くなったな。俺の目に狂いはなかった。お前は誰もが認める立派な剣術士さ。			Forename、強くなったな。俺の目に狂いはなかった。お前は誰もが認める立派な剣術士さ。			ナルザルの双剣							
(CUT)			(CUT)			ナルザルの双剣							
アルディス、やはり行くのか……心変わりはしないんだな？			アルディス、やはり行くのか……心変わりはしないんだな？			ナルザルの双剣							
ああ。リーヴォルドが死に、もはや俺を縛りつけるものはなくなった。			ああ。リーヴォルドが死に、もはや俺を縛りつけるものはなくなった。			ナルザルの双剣							
ウルダハの美女と会えなくなるのは悲しいが、何、エオルゼアには、それ以上の上玉はわんさかいるぜ。			ウルダハの美女と会えなくなるのは悲しいが、何、エオルゼアには、それ以上の上玉はわんさかいるぜ。			ナルザルの双剣							
……アルディス、お願いだ……。			……アルディス、お願いだ……。			ナルザルの双剣							
(CUT)			(CUT)			ナルザルの双剣							
おっと！　その後を言うのはナシだぜ、ミラ。俺は追放された元剣闘士、剣術士ギルドとは無関係。……それがお互いのため、いちばんいい選択なんだ。			おっと！　その後を言うのはナシだぜ、ミラ。俺は追放された元剣闘士、剣術士ギルドとは無関係。……それがお互いのため、いちばんいい選択なんだ。			ナルザルの双剣							
(CUT)			(CUT)			ナルザルの双剣							
(CUT)			(CUT)			ナルザルの双剣							
(CUT)			(CUT)			ナルザルの双剣							
(CUT)			(CUT)			ナルザルの双剣							
(CUT)			(CUT)			ナルザルの双剣							
まあ、俺様が引き留めたくなるくらいイイ男だってのは、よ～くわかるんだけどよ！			まあ、俺様が引き留めたくなるくらいイイ男だってのは、よ～くわかるんだけどよ！			ナルザルの双剣							
……バカ。死んでナル神とザル神に、心を入れ替えて貰え。			……バカ。死んでナル神とザル神に、心を入れ替えて貰え。			ナルザルの双剣							
ははっ。ありがとよ。前にも言ったろ？その言葉は男にとって、最高の褒め言葉だってな。			ははっ。ありがとよ。前にも言ったろ？その言葉は男にとって、最高の褒め言葉だってな。			ナルザルの双剣							
あばよ、ミラ。いい女になれよ。			あばよ、ミラ。いい女になれよ。			ナルザルの双剣							
(CUT)			(CUT)			ナルザルの双剣							
Forename。餞別代わりに、お前にひとつ話をしておこう。			Forename。餞別代わりに、お前にひとつ話をしておこう。			ナルザルの双剣							
俺は7年前、八百長を持ちかけられたのを断り、試合でリーヴォルドを倒した……。ま、試合自体揉み消されちまって、このザマだが。			俺は7年前、八百長を持ちかけられたのを断り、試合でリーヴォルドを倒した……。ま、試合自体揉み消されちまって、このザマだが。			ナルザルの双剣							
しかし、それも自分の「信念」に従ってのこと。後悔なんざしちゃいない。			しかし、それも自分の「信念」に従ってのこと。後悔なんざしちゃいない。			ナルザルの双剣							
Forename、お前のその目に燃える信念を、いつまでも絶やすなよ。			Forename、お前のその目に燃える信念を、いつまでも絶やすなよ。			ナルザルの双剣							
あらゆる困難から仲間を守り、あらゆる敵に立ち向かう、その強い信念と意思こそ「最強の剣」……。			あらゆる困難から仲間を守り、あらゆる敵に立ち向かう、その強い信念と意思こそ「最強の剣」……。			ナルザルの双剣							
(CUT)			(CUT)			ナルザルの双剣							
(CUT)			(CUT)			ナルザルの双剣							
(CUT)			(CUT)			ナルザルの双剣							
さあて、行くか。あばよバカども。達者でな。			さあて、行くか。あばよバカども。達者でな。			ナルザルの双剣							
…………心配するな。泣いてなんか、いない！			…………心配するな。泣いてなんか、いない！			ナルザルの双剣							
(CUT)			(CUT)			ナルザルの双剣							
……私はもっと強くならないといけないな。ギルドマスターとしても、剣術士としても……			……私はもっと強くならないといけないな。ギルドマスターとしても、剣術士としても……			ナルザルの双剣							
…………何をつっ立っている!?サボるな！　さっさと剣の稽古を続けろ！			…………何をつっ立っている!?サボるな！　さっさと剣の稽古を続けろ！			ナルザルの双剣							
(CUT)			(CUT)			ナルザルの双剣							
剣の道は、まだまだ果てしなく続いている。私もお前も、まだその道の第一歩を踏み出したに過ぎないのだ。			剣の道は、まだまだ果てしなく続いている。私もお前も、まだその道の第一歩を踏み出したに過ぎないのだ。			ナルザルの双剣							
(CUT)			(CUT)			ナルザルの双剣							
(CUT)			(CUT)			ナルザルの双剣							
我ら剣術士ギルドの剣はァーッ！			我ら剣術士ギルドの剣はァーッ！			ナルザルの双剣							
(-剣術士一同-)最強ォォオオオオオオッーッ！			(-剣術士一同-)最強ォォオオオオオオッーッ！			ナルザルの双剣							
不要なテキストです。表示されたらバグです。			不要なテキストです。表示されたらバグです。			ナルザルの双剣							
敵の気配を感じた！！			敵の気配を感じた！！			ナルザルの双剣							
クエスト「ナルザルの双剣」のバトルを開始しますか？			クエスト「ナルザルの双剣」のバトルを開始しますか？			ナルザルの双剣							
はい			はい			ナルザルの双剣							
いいえ			いいえ			ナルザルの双剣							
剣術士ギルドを助け「アラクラン」を倒せ			剣術士ギルドを助け「アラクラン」を倒せ			ナルザルの双剣							
Forename、早く橋の上に来るんだ！			Forename、早く橋の上に来るんだ！			ナルザルの双剣							
Forename、こっちだ。今より攻勢に転じる！			Forename、こっちだ。今より攻勢に転じる！			ナルザルの双剣							
気をつけろ！　敵の幹部は呪術士だ！得体の知れぬ魔法を使うぞ！			気をつけろ！　敵の幹部は呪術士だ！得体の知れぬ魔法を使うぞ！			ナルザルの双剣							
こ、これは、ヴォイドの妖異だと！？禁忌の……召喚魔法かッ！？			こ、これは、ヴォイドの妖異だと！？禁忌の……召喚魔法かッ！？			ナルザルの双剣							
Forename、気をつけろよ！妖異の一撃をくらったらひとたまりもないぞ！			Forename、気をつけろよ！妖異の一撃をくらったらひとたまりもないぞ！			ナルザルの双剣							
ぐ、ぐああああッ！			ぐ、ぐああああッ！			ナルザルの双剣							
ミラさん、すみません……。			ミラさん、すみません……。			ナルザルの双剣							
ぐ、ぐああああッ！			ぐ、ぐああああッ！			ナルザルの双剣							
剣術士ギルドのミラは冒険者に頼みたいことがあるようだ。			剣術士ギルドのミラは冒険者に頼みたいことがあるようだ。			果たし合う剣と拳							
「アラクラン」を捜査していたメンバーが返り討ちにあったらしい。ミラは冒険者に仲間の救出を頼みたいようだ。「シルバーバザー」近くの「一号杭打機」近くにいる「熟練の剣術士」に話を聞き、襲ってくる敵の刺客を討伐しよう。			「アラクラン」を捜査していたメンバーが返り討ちにあったらしい。ミラは冒険者に仲間の救出を頼みたいようだ。「シルバーバザー」近くの「一号杭打機」近くにいる「熟練の剣術士」に話を聞き、襲ってくる敵の刺客を討伐しよう。			果たし合う剣と拳							
傷ついた熟練の剣術士を囮に、襲ってきたアラクランの格闘士を撃退した。「熟練の剣術士」に話を聞こう。			傷ついた熟練の剣術士を囮に、襲ってきたアラクランの格闘士を撃退した。「熟練の剣術士」に話を聞こう。			果たし合う剣と拳							
熟練の剣術士は冒険者の成長を認め、感謝したようだ。「剣術士ギルド」に戻り、「ミラ」に報告しよう。			熟練の剣術士は冒険者の成長を認め、感謝したようだ。「剣術士ギルド」に戻り、「ミラ」に報告しよう。			果たし合う剣と拳							
ミラは冒険者の活躍をとても喜んでくれたようだ。次の課題は、「剣術士ギルド受付」の「ルルツ」から指示を受けよう。			ミラは冒険者の活躍をとても喜んでくれたようだ。次の課題は、「剣術士ギルド受付」の「ルルツ」から指示を受けよう。			果たし合う剣と拳							
受付のルルツによると、ミラとアルディスは浅からぬ仲だったらしい。「アルディス」に会うため、「聖アダマ・ランダマ教会」の墓場へ向かおう。			受付のルルツによると、ミラとアルディスは浅からぬ仲だったらしい。「アルディス」に会うため、「聖アダマ・ランダマ教会」の墓場へ向かおう。			果たし合う剣と拳							
アルディスと話している最中に、アラクランの刺客「ザナ・リエーガ」が襲ってきた。彼女を倒した冒険者に、アルディスはミラとギルドの将来を託される。「剣術士ギルド」に戻り、「ミラ」と話そう。			アルディスと話している最中に、アラクランの刺客「ザナ・リエーガ」が襲ってきた。彼女を倒した冒険者に、アルディスはミラとギルドの将来を託される。「剣術士ギルド」に戻り、「ミラ」と話そう。			果たし合う剣と拳							
ミラによると、アラクランとの雌雄を決する戦いが近づいているという。待ち受ける戦いのため、より一層鍛錬に励もう。※剣術士のレベルが30以上になると、ミラから次の剣術士クエストを受注することができます。			ミラによると、アラクランとの雌雄を決する戦いが近づいているという。待ち受ける戦いのため、より一層鍛錬に励もう。※剣術士のレベルが30以上になると、ミラから次の剣術士クエストを受注することができます。			果たし合う剣と拳							
一号杭打機の熟練の剣術士と話し現れた敵を討伐			一号杭打機の熟練の剣術士と話し現れた敵を討伐			果たし合う剣と拳							
熟練の剣術士と話す			熟練の剣術士と話す			果たし合う剣と拳							
剣術士ギルドのミラと話す			剣術士ギルドのミラと話す			果たし合う剣と拳							
ルルツと話す			ルルツと話す			果たし合う剣と拳							
聖アダマ・ランダマ教会のアルディスと話す			聖アダマ・ランダマ教会のアルディスと話す			果たし合う剣と拳							
剣術士ギルドのミラに報告			剣術士ギルドのミラに報告			果たし合う剣と拳							
ああ、Forename Surnameか、この間は悪かったな。私としたことが……忘れてくれ。			ああ、Forename Surnameか、この間は悪かったな。私としたことが……忘れてくれ。			果たし合う剣と拳							
前回、お前は剣術士として充分な存在感を示した。お前はこの剣術士ギルドにおいて、なくてはならないメンバーとなっている。			前回、お前は剣術士として充分な存在感を示した。お前はこの剣術士ギルドにおいて、なくてはならないメンバーとなっている。			果たし合う剣と拳							
……前回のシルバーバザーでの戦い。その戦いの最後に現れた男を覚えているな？名は「リーヴォルド」、かつての同志だ……。			……前回のシルバーバザーでの戦い。その戦いの最後に現れた男を覚えているな？名は「リーヴォルド」、かつての同志だ……。			果たし合う剣と拳							
私はあれ以来、リーヴォルドの行動を探るため、ギルドのベテランメンバーに、秘密裏に捜査を頼んでいた。			私はあれ以来、リーヴォルドの行動を探るため、ギルドのベテランメンバーに、秘密裏に捜査を頼んでいた。			果たし合う剣と拳							
だが……結果は芳しくない。というより最悪だ。捜査をしていたメンバーが、捕まったらしい……。			だが……結果は芳しくない。というより最悪だ。捜査をしていたメンバーが、捕まったらしい……。			果たし合う剣と拳							
恥を忍んでお願いだ、Forename Surname。傷ついたメンバーの命を救ってほしい！			恥を忍んでお願いだ、Forename Surname。傷ついたメンバーの命を救ってほしい！			果たし合う剣と拳							
怪我をしている仲間が最後に連絡をくれた場所は、前回の戦いの舞台だったシルバーバザー周辺、「一号杭打塔」の近くだ。			怪我をしている仲間が最後に連絡をくれた場所は、前回の戦いの舞台だったシルバーバザー周辺、「一号杭打塔」の近くだ。			果たし合う剣と拳							
……わかっている。わかっているんだ。私はマスター失格だ……。ギルドの皆に、必要のない血を流させてしまっている……。			……わかっている。わかっているんだ。私はマスター失格だ……。ギルドの皆に、必要のない血を流させてしまっている……。			果たし合う剣と拳							
くそっ、ミラの言いつけか……！俺が生かされている理由を考えてみろ、これは罠だ！Forename、剣を抜けッ！			くそっ、ミラの言いつけか……！俺が生かされている理由を考えてみろ、これは罠だ！Forename、剣を抜けッ！			果たし合う剣と拳							
ふうっ……助かった、恩に着るよ。さすが、ミラが目をかけるだけのことはあるな。			ふうっ……助かった、恩に着るよ。さすが、ミラが目をかけるだけのことはあるな。			果たし合う剣と拳							
あいつが先代のギルドマスターの娘として、ギルドにやってきたのが5歳の時……剣を見ると怖がってた、あいつがな……。			あいつが先代のギルドマスターの娘として、ギルドにやってきたのが5歳の時……剣を見ると怖がってた、あいつがな……。			果たし合う剣と拳							
そして、アルディスが去ってから7年か……どれほどの困難が、ミラに圧しかかったことか……おっと、さあ、帰ってミラを安心させてやりな。			そして、アルディスが去ってから7年か……どれほどの困難が、ミラに圧しかかったことか……おっと、さあ、帰ってミラを安心させてやりな。			果たし合う剣と拳							
Forename Surname！よくぞ……よくぞ生きて戻ってくれた！			Forename Surname！よくぞ……よくぞ生きて戻ってくれた！			果たし合う剣と拳							
お前は、私……いや、剣術士ギルドにとって、なくてはならない存在だ。これからもギルドのために、その剣を振るって欲しい。			お前は、私……いや、剣術士ギルドにとって、なくてはならない存在だ。これからもギルドのために、その剣を振るって欲しい。			果たし合う剣と拳							
とにかく……今は休んでくれ。しばらくはギルドの中に待機し、受付のルルツから今後の指示を仰いでくれ。			とにかく……今は休んでくれ。しばらくはギルドの中に待機し、受付のルルツから今後の指示を仰いでくれ。			果たし合う剣と拳							
あらら、Forenameちゃん君じゃない～！君宛ての伝言を頼まれてるんだよぅ～。そう、お察しの通り……「アルディス」でぇす！			あらら、Forenameちゃん君じゃない～！君宛ての伝言を頼まれてるんだよぅ～。そう、お察しの通り……「アルディス」でぇす！			果たし合う剣と拳							
彼からご指名で、伝言で～すっ！「一人で聖アダマ・ランダマ教会に来い。話がある」だそうでぇ～す。　いや～ん、キ・ケ・ンな香り！			彼からご指名で、伝言で～すっ！「一人で聖アダマ・ランダマ教会に来い。話がある」だそうでぇ～す。　いや～ん、キ・ケ・ンな香り！			果たし合う剣と拳							
ミラさんとアルディスは、お似合いのカップルだったの。みんなアルディスは、ミラさんと結婚して、次のギルドマスターになると思っていたんだけど……。			ミラさんとアルディスは、お似合いのカップルだったの。みんなアルディスは、ミラさんと結婚して、次のギルドマスターになると思っていたんだけど……。			果たし合う剣と拳							
あらら、ごめんさい～。辛気臭いのはキャラじゃないわね～。アルディスとのデート、楽しんでキテね！			あらら、ごめんさい～。辛気臭いのはキャラじゃないわね～。アルディスとのデート、楽しんでキテね！			果たし合う剣と拳							
(CUT)			(CUT)			果たし合う剣と拳							
来たか、Forename、遅かったな。男を焦らすとは、おまえもイイ女になったじゃねェか。俺を待たせていいのは、余程のイイ女だけなんだぜ。			来たか、Forename、遅かったな。男を焦らすとは、おまえもイイ女になったじゃねェか。俺を待たせていいのは、余程のイイ女だけなんだぜ。			果たし合う剣と拳							
(CUT)			(CUT)			果たし合う剣と拳							
(CUT)			(CUT)			果たし合う剣と拳							
見な、この汚ねェ墓石を。この土の下に眠ってるのは、7年前に死んだ、先代の剣術士ギルドマスター……ミラの父親だ。			見な、この汚ねェ墓石を。この土の下に眠ってるのは、7年前に死んだ、先代の剣術士ギルドマスター……ミラの父親だ。			果たし合う剣と拳							
