ゲートタウンのルー・リークは、冒険者に白状したいことがあるようだ。			ゲートタウンのルー・リークは、冒険者に白状したいことがあるようだ。			不滅なる名コンビ							
と、父さんから……？			と、父さんから……？			不滅なる名コンビ							
お父上は、リーク様が賞金稼ぎとして狩っていたのが、罪喰いだと知って、大層ご立腹されております。即刻やめて、ユールモアに帰るようにと、仰せつかっております。			お父上は、リーク様が賞金稼ぎとして狩っていたのが、罪喰いだと知って、大層ご立腹されております。即刻やめて、ユールモアに帰るようにと、仰せつかっております。			不滅なる名コンビ							
お父上は、リーク様の賞金稼ぎとしての、悪評を耳になさり、大層ご立腹されております……。即刻やめて、ユールモアに帰るようにと、仰せつかっております。			お父上は、リーク様の賞金稼ぎとしての、悪評を耳になさり、大層ご立腹されております……。即刻やめて、ユールモアに帰るようにと、仰せつかっております。			不滅なる名コンビ							
もし、やめないというなら、もう息子とは思わないので、親子の縁を切り、ユールモアの市民権もはく奪する、とのこと。もちろん、お小遣いも二度ともらえません。			もし、やめないというなら、もう息子とは思わないので、親子の縁を切り、ユールモアの市民権もはく奪する、とのこと。もちろん、お小遣いも二度ともらえません。			不滅なる名コンビ							
そ、そんな……。			そ、そんな……。			不滅なる名コンビ							
父さんと、母さんに伝えてくれ……。俺は罪喰いを狩る賞金稼ぎのルー・リークだ。やめる気はないから、縁でも何でも切ってくれて結構。			父さんと、母さんに伝えてくれ……。俺は罪喰いを狩る賞金稼ぎのルー・リークだ。やめる気はないから、縁でも何でも切ってくれて結構。			不滅なる名コンビ							
こっちも、アンタらを親とは思わない、俺の親はオルヴァラ、ただひとりだってなッ……！			こっちも、アンタらを親とは思わない、俺の親はオルヴァラ、ただひとりだってなッ……！			不滅なる名コンビ							
かしこまりました。それでは、そうお伝えしておきます。			かしこまりました。それでは、そうお伝えしておきます。			不滅なる名コンビ							
ふん、とんだ邪魔が入ったな。さてと、大音響を出す切り札を作るため、クリスタリウムのミーン工芸館まで相談にいこう。			ふん、とんだ邪魔が入ったな。さてと、大音響を出す切り札を作るため、クリスタリウムのミーン工芸館まで相談にいこう。			不滅なる名コンビ							
あのリーク坊ちゃんが、立派になって……。あなたというお友達ができたおかげで、大きく成長してくれたみたいね、本当に感謝しているわ。			あのリーク坊ちゃんが、立派になって……。あなたというお友達ができたおかげで、大きく成長してくれたみたいね、本当に感謝しているわ。			不滅なる名コンビ							
リーク坊ちゃんは、あなたというお友達ができたおかげで、大きく成長してくれたみたいね、どうもありがとう。			リーク坊ちゃんは、あなたというお友達ができたおかげで、大きく成長してくれたみたいね、どうもありがとう。			不滅なる名コンビ							
クリスタリウムには長くいるが、ミーン工芸館は初めてだ。勝手がわからないんで、適当に話しかけてみよう。			クリスタリウムには長くいるが、ミーン工芸館は初めてだ。勝手がわからないんで、適当に話しかけてみよう。			不滅なる名コンビ							
おう、どうした？こちとら、ミーン工芸館に何か用かい？			おう、どうした？こちとら、ミーン工芸館に何か用かい？			不滅なる名コンビ							
ひとつ、作ってほしいものがあるんだ。とにかく大音響を出すことが目的なんだが……それも、持ち運びできるような、小型のものにしてほしい。			ひとつ、作ってほしいものがあるんだ。とにかく大音響を出すことが目的なんだが……それも、持ち運びできるような、小型のものにしてほしい。			不滅なる名コンビ							
こりゃまた、漠然とした注文がきたもんだ。そうだな、デカイ音となれば、特殊な火薬を調合して……			こりゃまた、漠然とした注文がきたもんだ。そうだな、デカイ音となれば、特殊な火薬を調合して……			不滅なる名コンビ							
うん、音だけに特化するなら、そんなに難しくはないはずだ。しかし、特殊な素材がいくつか必要になるだろう。それを集めてもらわないとな。			うん、音だけに特化するなら、そんなに難しくはないはずだ。しかし、特殊な素材がいくつか必要になるだろう。それを集めてもらわないとな。			不滅なる名コンビ							
ちょ、調達か……。いったい、何を取ってくればいいんだ？			ちょ、調達か……。いったい、何を取ってくればいいんだ？			不滅なる名コンビ							
まず、コルシア島に棲息する魔獣のフンだ。そして、ラケティカ大森林に自生する野草を数種……あとは、アム・アレーン産の黒鉄鉱がいる。			まず、コルシア島に棲息する魔獣のフンだ。そして、ラケティカ大森林に自生する野草を数種……あとは、アム・アレーン産の黒鉄鉱がいる。			不滅なる名コンビ							
そ、それってつまり、ノルヴラント中を駆け回れってことか？いったい、どれほどの労力が…………			そ、それってつまり、ノルヴラント中を駆け回れってことか？いったい、どれほどの労力が…………			不滅なる名コンビ							
いや、もうそんなことは言ってられない！わかった、すべて調達してこよう。			いや、もうそんなことは言ってられない！わかった、すべて調達してこよう。			不滅なる名コンビ							
Forename。お前には散々、迷惑をかけてきた。ここは俺に任せて、彷徨う階段亭で待っててくれ！			Forename。お前には散々、迷惑をかけてきた。ここは俺に任せて、彷徨う階段亭で待っててくれ！			不滅なる名コンビ							
やっこさん、あっという間に行っちまったが、ひとりですべて集めるのは大変だぞ。			やっこさん、あっという間に行っちまったが、ひとりですべて集めるのは大変だぞ。			不滅なる名コンビ							
な、なんとか、すべての素材を調達して……大音響を出すための……切り札が完成したぞ……。			な、なんとか、すべての素材を調達して……大音響を出すための……切り札が完成したぞ……。			不滅なる名コンビ							
あの職人、こっちに金がないと知ると、作り方だけ教えられ、俺が作らされるはめになった。こんなに駆け回って雑用をこなしたのは、生まれて初めてだぜ。			あの職人、こっちに金がないと知ると、作り方だけ教えられ、俺が作らされるはめになった。こんなに駆け回って雑用をこなしたのは、生まれて初めてだぜ。			不滅なる名コンビ							
疲れ果てたが、どこか清々しい気分だな。だが、本番はこれからだ……。			疲れ果てたが、どこか清々しい気分だな。だが、本番はこれからだ……。			不滅なる名コンビ							
大音響を出す火薬を仕込んだ特製の矢……名付けて「ソニックアロー」！これさえあれば、きっとアンドレイアを倒せる！			大音響を出す火薬を仕込んだ特製の矢……名付けて「ソニックアロー」！これさえあれば、きっとアンドレイアを倒せる！			不滅なる名コンビ							
さあ、今度こそ、リーク＆Forenameの伝説の始まりだ。ラケティカ大森林のシチュア湿地へ向かおう……！			さあ、今度こそ、リーク＆Forenameの伝説の始まりだ。ラケティカ大森林のシチュア湿地へ向かおう……！			不滅なる名コンビ							
Forename、頼むから、もう過去なんか視ないでくれよ……！			Forename、頼むから、もう過去なんか視ないでくれよ……！			不滅なる名コンビ							
どうだ……？今回は大丈夫なのか……？			どうだ……？今回は大丈夫なのか……？			不滅なる名コンビ							
よし、今度こそ仕留めるぞ！罪喰いにされた者たちと、レンダ・レイの魂を救ってやるんだ！			よし、今度こそ仕留めるぞ！罪喰いにされた者たちと、レンダ・レイの魂を救ってやるんだ！			不滅なる名コンビ							
俺が「ソニックアロー」でアンドレイアの動きを封じる。Forenameは、その隙にヤツを仕留めてくれ！			俺が「ソニックアロー」でアンドレイアの動きを封じる。Forenameは、その隙にヤツを仕留めてくれ！			不滅なる名コンビ							
さあ、入魂の「ソニックアロー」をお見舞いしてやるぜ！			さあ、入魂の「ソニックアロー」をお見舞いしてやるぜ！			不滅なる名コンビ							
グ、グウウゥ……。			グ、グウウゥ……。			不滅なる名コンビ							
やったぞ、効果ありだ！いまのうちにアンドレイアを……！			やったぞ、効果ありだ！いまのうちにアンドレイアを……！			不滅なる名コンビ							
なにッ！？　アンドレイアを……護っている？このままだとヤツに手を出せない、ほかの者から片付けるぞ！			なにッ！？　アンドレイアを……護っている？このままだとヤツに手を出せない、ほかの者から片付けるぞ！			不滅なる名コンビ							
ランビルド、この野郎！化け物になっても、相変わらずイヤなヤツだぜ！			ランビルド、この野郎！化け物になっても、相変わらずイヤなヤツだぜ！			不滅なる名コンビ							
いいぞ！　残るはふたりだけだ！			いいぞ！　残るはふたりだけだ！			不滅なる名コンビ							
アンドレイアは俺が引き付ける！お前は魔剣士を頼む！			アンドレイアは俺が引き付ける！お前は魔剣士を頼む！			不滅なる名コンビ							
気をつけろ！　空から矢が降ってくるぞ！			気をつけろ！　空から矢が降ってくるぞ！			不滅なる名コンビ							
Forename！　いまいくぞ！			Forename！　いまいくぞ！			不滅なる名コンビ							
チッ、アンドレイアをかばいやがった……！先に魔剣士を倒すぞ！			チッ、アンドレイアをかばいやがった……！先に魔剣士を倒すぞ！			不滅なる名コンビ							
残るはアンドレイアのみ！　このまま討ち取るぞ！リーク＆Forenameの伝説を作るんだ！			残るはアンドレイアのみ！　このまま討ち取るぞ！リーク＆Forenameの伝説を作るんだ！			不滅なる名コンビ							
Forename、こっちに来てくれ！			Forename、こっちに来てくれ！			不滅なる名コンビ							
安らかに眠ってくれよ……レンダ・レイ……。			安らかに眠ってくれよ……レンダ・レイ……。			不滅なる名コンビ							
クソッ……俺たちの……伝説……が……。			クソッ……俺たちの……伝説……が……。			不滅なる名コンビ							
やったぞ！ついに、アンドレイアの討伐を果たしたんだ……！！			やったぞ！ついに、アンドレイアの討伐を果たしたんだ……！！			不滅なる名コンビ							
どうしたんだ？何か見つけたのか……？			どうしたんだ？何か見つけたのか……？			不滅なる名コンビ							
なっ……お前は…………			なっ……お前は…………			不滅なる名コンビ							
レンダ……レイ……？			レンダ……レイ……？			不滅なる名コンビ							
(-レンダ・レイの幻影-)バラム・キツェーとの戦いで仲間に救われてから、アタシは仲間のために生きると誓った……。			(-レンダ・レイの幻影-)バラム・キツェーとの戦いで仲間に救われてから、アタシは仲間のために生きると誓った……。			不滅なる名コンビ							
(-レンダ・レイの幻影-)アルバートが「影の王」と戦って、世界を救うと誓ったときも、内心、怖かったけど……仲間といっしょに戦う道を選んだ。			(-レンダ・レイの幻影-)アルバートが「影の王」と戦って、世界を救うと誓ったときも、内心、怖かったけど……仲間といっしょに戦う道を選んだ。			不滅なる名コンビ							
(-レンダ・レイの幻影-)仲間についていくために、アタシは自分の自由を捨てた。故郷の両親が死んでたことは、「影の王」を倒したあとに知った。でも、それは仲間も同じこと。			(-レンダ・レイの幻影-)仲間についていくために、アタシは自分の自由を捨てた。故郷の両親が死んでたことは、「影の王」を倒したあとに知った。でも、それは仲間も同じこと。			不滅なる名コンビ							
(-レンダ・レイの幻影-)みんな、世界のためにすべてを捧げた。なのに……世界を救えなかった……。			(-レンダ・レイの幻影-)みんな、世界のためにすべてを捧げた。なのに……世界を救えなかった……。			不滅なる名コンビ							
(-レンダ・レイの幻影-)仲間は、世界を救うために命を断つことを選んだ。それならアタシも、いさぎよく捨ててみせよう……。世界ではなく、仲間のために……。			(-レンダ・レイの幻影-)仲間は、世界を救うために命を断つことを選んだ。それならアタシも、いさぎよく捨ててみせよう……。世界ではなく、仲間のために……。			不滅なる名コンビ							
な、なんだって……！？			な、なんだって……！？			不滅なる名コンビ							
(-レンダ・レイの幻影-)アタシは、どこまでも……仲間といっしょに…………。			(-レンダ・レイの幻影-)アタシは、どこまでも……仲間といっしょに…………。			不滅なる名コンビ							
ま、待ってくれ！俺はアンタに憧れて……			ま、待ってくれ！俺はアンタに憧れて……			不滅なる名コンビ							
いったい……どういうことだ……？			いったい……どういうことだ……？			不滅なる名コンビ							
命を投げうって、別世界に行った？それも、この世界を救うためだって……？			命を投げうって、別世界に行った？それも、この世界を救うためだって……？			不滅なる名コンビ							
Forename、ここまで俺に付き合ってくれて、本当にありがとう。			Forename、ここまで俺に付き合ってくれて、本当にありがとう。			不滅なる名コンビ							
俺は「光の戦士たち」のことを何も知らなかった。ただ伝わるままに、彼らのことを大罪人と蔑んでいたんだ……。			俺は「光の戦士たち」のことを何も知らなかった。ただ伝わるままに、彼らのことを大罪人と蔑んでいたんだ……。			不滅なる名コンビ							
両親のように享楽に溺れるヤツらを、俺は内心で見下していた。だが、世界から目を背け、真実を知ろうともしなかったところは、自分も同類だったのさ……。			両親のように享楽に溺れるヤツらを、俺は内心で見下していた。だが、世界から目を背け、真実を知ろうともしなかったところは、自分も同類だったのさ……。			不滅なる名コンビ							
でもこれで、レンダ・レイの無念を、少しでも晴らすことができただろうか……。			でもこれで、レンダ・レイの無念を、少しでも晴らすことができただろうか……。			不滅なる名コンビ							
討伐を果たしたことを、オルヴァラに伝えたい。そして、そのあとに詳しく聞かせてほしい。レンダ・レイの……真の英雄たちの物語を……。			討伐を果たしたことを、オルヴァラに伝えたい。そして、そのあとに詳しく聞かせてほしい。レンダ・レイの……真の英雄たちの物語を……。			不滅なる名コンビ							
オルヴァラも喜んでくれてるぞ！今度、懸賞金で何か買ってやろうかな……。			オルヴァラも喜んでくれてるぞ！今度、懸賞金で何か買ってやろうかな……。			不滅なる名コンビ							
リーク坊ちゃん、Forenameさん、念願のアンドレイアの討伐、おめでとう！そして、どうもありがとう……。			リーク坊ちゃん、Forenameさん、念願のアンドレイアの討伐、おめでとう！そして、どうもありがとう……。			不滅なる名コンビ							
実を言うとね、私もかつてレンダ・レイに憧れて、賞金稼ぎになった口なの。そんな目標だった人が罪喰いになるなんて、とても悲しかったのよ。			実を言うとね、私もかつてレンダ・レイに憧れて、賞金稼ぎになった口なの。そんな目標だった人が罪喰いになるなんて、とても悲しかったのよ。			不滅なる名コンビ							
でも、これで彼女の魂も浄化されたことでしょう。なぜだか、私も救われた気分だわ。世間では大罪人だけど、レンダ・レイは私にとって英雄だから……。			でも、これで彼女の魂も浄化されたことでしょう。なぜだか、私も救われた気分だわ。世間では大罪人だけど、レンダ・レイは私にとって英雄だから……。			不滅なる名コンビ							
彼女は俺にとっても英雄さ。今度は「勇気の狩人」の物語を、俺が語り継いでいく番だ。レンダ・レイと仲間たちで魔獣を退治した、本当の物語をな……。			彼女は俺にとっても英雄さ。今度は「勇気の狩人」の物語を、俺が語り継いでいく番だ。レンダ・レイと仲間たちで魔獣を退治した、本当の物語をな……。			不滅なる名コンビ							
それじゃあ、懸賞金をもらって、彷徨う階段亭で祝杯といこうぜ！			それじゃあ、懸賞金をもらって、彷徨う階段亭で祝杯といこうぜ！			不滅なる名コンビ							
これでレンダ・レイの魂も浄化されたことでしょう。なぜだか、私も救われた気分だわ。世間では大罪人だけど、彼女は私にとって英雄だから……。			これでレンダ・レイの魂も浄化されたことでしょう。なぜだか、私も救われた気分だわ。世間では大罪人だけど、彼女は私にとって英雄だから……。			不滅なる名コンビ							
懸賞金をもらってきたんで、さっそく、祝杯といこう！さあ、今日はじゃんじゃんやろうぜ……！			懸賞金をもらってきたんで、さっそく、祝杯といこう！さあ、今日はじゃんじゃんやろうぜ……！			不滅なる名コンビ							
さて、聞かせてもらおうか。レンダ・レイと、「光の戦士たち」の真実を……そしてよければ、お前がしてきた冒険の物語もな……。			さて、聞かせてもらおうか。レンダ・レイと、「光の戦士たち」の真実を……そしてよければ、お前がしてきた冒険の物語もな……。			不滅なる名コンビ							
なんて……話だ……。世界を救うために、命を絶ってまで別世界へ行って、なんとか光の氾濫を食い止めたのに……大罪人だなんてな……。			なんて……話だ……。世界を救うために、命を絶ってまで別世界へ行って、なんとか光の氾濫を食い止めたのに……大罪人だなんてな……。			不滅なる名コンビ							
それも、レンダ・レイは世界のためじゃなく、仲間のために、命を捨てたと言っていた。			それも、レンダ・レイは世界のためじゃなく、仲間のために、命を捨てたと言っていた。			不滅なる名コンビ							
俺はただ、一緒にいてくれる仲間がほしいだけだったが、彼女の言う「仲間」ってものは、生半可なものじゃないんだな。			俺はただ、一緒にいてくれる仲間がほしいだけだったが、彼女の言う「仲間」ってものは、生半可なものじゃないんだな。			不滅なる名コンビ							
Forenameは俺にとって、初めての本当に仲間といえる存在だ。お前が危険に飛び込むなら、俺も助けに行く覚悟はある。			Forenameは俺にとって、初めての本当に仲間といえる存在だ。お前が危険に飛び込むなら、俺も助けに行く覚悟はある。			不滅なる名コンビ							
だが、そのために自由を捨てたレンダ・レイは、親の死に目にもあえず、命まで捨てることになった。正直、俺はそこまで腹をくくれるとは言い切れない……。			だが、そのために自由を捨てたレンダ・レイは、親の死に目にもあえず、命まで捨てることになった。正直、俺はそこまで腹をくくれるとは言い切れない……。			不滅なる名コンビ							
それに、お前の冒険の話を聞いて、自分が世間知らずの、甘ちゃんだったと、痛いほど身の程を知ったよ。まさか、その身に世界を背負わされているなんてな……。			それに、お前の冒険の話を聞いて、自分が世間知らずの、甘ちゃんだったと、痛いほど身の程を知ったよ。まさか、その身に世界を背負わされているなんてな……。			不滅なる名コンビ							
Forenameと俺は器が違う。お前にどこまでもついていこうと思っていたが、すまない、俺は力不足だな……。			Forenameと俺は器が違う。お前にどこまでもついていこうと思っていたが、すまない、俺は力不足だな……。			不滅なる名コンビ							
何と言う？			何と言う？			不滅なる名コンビ							
本気でついてくる気だったのか？			本気でついてくる気だったのか？			不滅なる名コンビ							
お前には、お前にしかできないことがある……			お前には、お前にしかできないことがある……			不滅なる名コンビ							
ああ、もちろん本気だ。俺はこれから、ずっとお前と一緒にいるつもりだった……。			ああ、もちろん本気だ。俺はこれから、ずっとお前と一緒にいるつもりだった……。			不滅なる名コンビ							
……そうだよな。Forenameの言うとおりだ。			……そうだよな。Forenameの言うとおりだ。			不滅なる名コンビ							
お前はこれからも、世界を背負って冒険を続けるだろうが、俺は自分の身の丈に合ったものを背負うことにするよ。それは、育ての親であるオルヴァラだ……。			お前はこれからも、世界を背負って冒険を続けるだろうが、俺は自分の身の丈に合ったものを背負うことにするよ。それは、育ての親であるオルヴァラだ……。			不滅なる名コンビ							
久々に再会した彼女は、思いのほか年老いて小さくなっていた。オルヴァラは自ら望んでゲートタウンで暮らすようになったが、身寄りもなく貧しい生活をしている。 			久々に再会した彼女は、思いのほか年老いて小さくなっていた。オルヴァラは自ら望んでゲートタウンで暮らすようになったが、身寄りもなく貧しい生活をしている。 			不滅なる名コンビ							
俺を育て尽くしてくれた、彼女の面倒を見て幸せにすること。それが、いまの俺が背負うべきことだと思い至ったんだ。			俺を育て尽くしてくれた、彼女の面倒を見て幸せにすること。それが、いまの俺が背負うべきことだと思い至ったんだ。			不滅なる名コンビ							
そんなわけで、リーク＆Forenameは、ふたりが集まったときだけの、限定的なコンビってことになる。			そんなわけで、リーク＆Forenameは、ふたりが集まったときだけの、限定的なコンビってことになる。			不滅なる名コンビ							
それじゃあ、俺はゲートタウンのオルヴァラのもとにいるから、たまには足を運んでくれよな！俺たち名コンビは不滅だぞ……！			それじゃあ、俺はゲートタウンのオルヴァラのもとにいるから、たまには足を運んでくれよな！俺たち名コンビは不滅だぞ……！			不滅なる名コンビ							
彷徨う階段亭のルー・リークは、ふてぶてしく仁王立ちしている。			彷徨う階段亭のルー・リークは、ふてぶてしく仁王立ちしている。			高慢と罪喰い							
ルー・リークは「四使徒」の一角を仕留めるため、仲間を探しているという。冒険者は彼からの試練を受けることになった。レイクランドの迷える羊飼いの森で「ルー・リーク」と話そう。			ルー・リークは「四使徒」の一角を仕留めるため、仲間を探しているという。冒険者は彼からの試練を受けることになった。レイクランドの迷える羊飼いの森で「ルー・リーク」と話そう。			高慢と罪喰い							
ルー・リークの試練とは飢えたスミロドンの討伐だった。彼から受け取った「イグアナの生肉」を、迷える羊飼いの森の「指定地点」に置いて、飢えたスミロドンをおびき寄せよう。			ルー・リークの試練とは飢えたスミロドンの討伐だった。彼から受け取った「イグアナの生肉」を、迷える羊飼いの森の「指定地点」に置いて、飢えたスミロドンをおびき寄せよう。			高慢と罪喰い							
イグアナの生肉を置いた。迷える羊飼いの森の「指定地点」で待機して、現れた「飢えたスミロドン」を討伐しよう。			イグアナの生肉を置いた。迷える羊飼いの森の「指定地点」で待機して、現れた「飢えたスミロドン」を討伐しよう。			高慢と罪喰い							
飢えたスミロドンを討伐した。迷える羊飼いの森の「ルー・リーク」と話そう。			飢えたスミロドンを討伐した。迷える羊飼いの森の「ルー・リーク」と話そう。			高慢と罪喰い							
ルー・リークに報告した。彷徨う階段亭に戻り「ルー・リーク」と話そう。			ルー・リークに報告した。彷徨う階段亭に戻り「ルー・リーク」と話そう。			高慢と罪喰い							
ルー・リークと話したところ、冒険者は試練を突破したようで料理を奢られた。彼が狙う「四使徒」の一角は、光の戦士レンダ・レイの肉体を持つ「アンドレイア」だった。冒険者はルー・リークとともに、罪喰いにされた魔獣を倒しながら、アンドレイアの討伐を目指すことになった。折を見て、またルー・リークを訪ねよう。※いずれかのファイター系DPSジョブのレベルが72以上になると、彷徨う階段亭のルー・リークから次のファイター系DPSロールクエストを受注することができます。			ルー・リークと話したところ、冒険者は試練を突破したようで料理を奢られた。彼が狙う「四使徒」の一角は、光の戦士レンダ・レイの肉体を持つ「アンドレイア」だった。冒険者はルー・リークとともに、罪喰いにされた魔獣を倒しながら、アンドレイアの討伐を目指すことになった。折を見て、またルー・リークを訪ねよう。※いずれかのファイター系DPSジョブのレベルが72以上になると、彷徨う階段亭のルー・リークから次のファイター系DPSロールクエストを受注することができます。			高慢と罪喰い							
迷える羊飼いの森のルー・リークと話す			迷える羊飼いの森のルー・リークと話す			高慢と罪喰い							
イグアナの生肉を指定地点に置く			イグアナの生肉を指定地点に置く			高慢と罪喰い							
指定地点で待機して飢えたスミロドンを討伐			指定地点で待機して飢えたスミロドンを討伐			高慢と罪喰い							
ルー・リークと話す			ルー・リークと話す			高慢と罪喰い							
彷徨う階段亭のルー・リークと話す			彷徨う階段亭のルー・リークと話す			高慢と罪喰い							
お前は……？			お前は……？			高慢と罪喰い							
ほう……悪くないな。なかなかの腕利きと見た……ひとまず合格だ。			ほう……悪くないな。なかなかの腕利きと見た……ひとまず合格だ。			高慢と罪喰い							
俺は「ルー・リーク」、賞金稼ぎをしている。だが、並みの獲物なんざ相手にしてない。狙うは危険極まりない、はぐれ罪喰いさ。			俺は「ルー・リーク」、賞金稼ぎをしている。だが、並みの獲物なんざ相手にしてない。狙うは危険極まりない、はぐれ罪喰いさ。			高慢と罪喰い							
そして、俺の次なる標的は、その中でも悪名高い存在……光の氾濫を引き起こした大罪人の姿を持つ、「四使徒」の一角だ。			そして、俺の次なる標的は、その中でも悪名高い存在……光の氾濫を引き起こした大罪人の姿を持つ、「四使徒」の一角だ。			高慢と罪喰い							
