バルデシオン分館の新顔のバルデシオン委員は、冒険者の到来を待っていたようだ。			バルデシオン分館の新顔のバルデシオン委員は、冒険者の到来を待っていたようだ。			委員会へのとある依頼							
依頼主は、ご存知、聖コイナク財団のラムブルースさんよ。ラハくんも、これは初耳でしょう？			依頼主は、ご存知、聖コイナク財団のラムブルースさんよ。ラハくんも、これは初耳でしょう？			委員会へのとある依頼							
マジかよ！ってことは、モードゥナの調査地でなにか異変があったのか？			マジかよ！ってことは、モードゥナの調査地でなにか異変があったのか？			委員会へのとある依頼							
ええ、バルデシオン委員会に引き取ってほしい案件があるみたい。クリスタルタワーの一件で、監査役を務めた実績もあるしね。			ええ、バルデシオン委員会に引き取ってほしい案件があるみたい。クリスタルタワーの一件で、監査役を務めた実績もあるしね。			委員会へのとある依頼							
詳細は不明だけど、なんでも……古代アラグ文明の調査を専門とする聖コイナク財団では手に余る、「未知」に出会ったのだとか。			詳細は不明だけど、なんでも……古代アラグ文明の調査を専門とする聖コイナク財団では手に余る、「未知」に出会ったのだとか。			委員会へのとある依頼							
今回お願いしたいのは、その先行調査よ。ラムブルースさんに会って、詳細を聞いてきてほしいの。……どうかしら？			今回お願いしたいのは、その先行調査よ。ラムブルースさんに会って、詳細を聞いてきてほしいの。……どうかしら？			委員会へのとある依頼							
ありがとう、助かるわ！じゃあふたりで、レヴナンツトールに向かってもらえる？ラムブルースさんが迎えに来てくれるはずよ。			ありがとう、助かるわ！じゃあふたりで、レヴナンツトールに向かってもらえる？ラムブルースさんが迎えに来てくれるはずよ。			委員会へのとある依頼							
私は分館の管理のために残るけれど……もしも人手が不足するような事態になったら、いつでも呼んでね。			私は分館の管理のために残るけれど……もしも人手が不足するような事態になったら、いつでも呼んでね。			委員会へのとある依頼							
さあ行こう、Forename！準備を整えたらすぐに向かうから、あんたは先に「レヴナンツトール」で待っててくれ！			さあ行こう、Forename！準備を整えたらすぐに向かうから、あんたは先に「レヴナンツトール」で待っててくれ！			委員会へのとある依頼							
Forename！ラムブルースはまだ来てないみたいだな。			Forename！ラムブルースはまだ来てないみたいだな。			委員会へのとある依頼							
(-ラムブルースの声-)すまない、待たせてしまったかな。			(-ラムブルースの声-)すまない、待たせてしまったかな。			委員会へのとある依頼							
ラムブルース！元気だったか？			ラムブルース！元気だったか？			委員会へのとある依頼							
ええ。グ・ラハ・ティア、Forename。あなた方こそ、お元気そうでなにより。			ええ。グ・ラハ・ティア、Forename。あなた方こそ、お元気そうでなにより。			委員会へのとある依頼							
そして、要請に応えてくれてありがたい。さっそく本題に入ってしまうが……			そして、要請に応えてくれてありがたい。さっそく本題に入ってしまうが……			委員会へのとある依頼							
実は、我々のもとに、「幻域(げんいき)」を発見した、という探検家が現れたのだ。			実は、我々のもとに、「幻域(げんいき)」を発見した、という探検家が現れたのだ。			委員会へのとある依頼							
幻域って、あの！？クルルの言ってた「未知」ってそういうことか……！			幻域って、あの！？クルルの言ってた「未知」ってそういうことか……！			委員会へのとある依頼							
あんたは知らないか？一種の都市伝説みたいなものなんだが……			あんたは知らないか？一種の都市伝説みたいなものなんだが……			委員会へのとある依頼							
このエオルゼアには、蜃気楼のように現れるが、入ろうと近づくと消えてしまう、幻の領域が点在するって噂なんだ。			このエオルゼアには、蜃気楼のように現れるが、入ろうと近づくと消えてしまう、幻の領域が点在するって噂なんだ。			委員会へのとある依頼							
古くから伝承はあったようだが、未だに実在は証明されておらず、歴史書や公的な記録にも、ほとんど登場しない。			古くから伝承はあったようだが、未だに実在は証明されておらず、歴史書や公的な記録にも、ほとんど登場しない。			委員会へのとある依頼							
それなのに、見たという噂や与太話は絶えず語られる。多くの探検家の心を掴んで離さないロマンってわけさ。			それなのに、見たという噂や与太話は絶えず語られる。多くの探検家の心を掴んで離さないロマンってわけさ。			委員会へのとある依頼							
あんたが話を寄越すくらいだから嘘じゃないだろうが、その……本当に実在したのか？			あんたが話を寄越すくらいだから嘘じゃないだろうが、その……本当に実在したのか？			委員会へのとある依頼							
ええ、私たちも疑ったが、その探検家の話に嘘偽りはなかった。しかしそれは、我々の専門分野を凌駕するものだったのです。			ええ、私たちも疑ったが、その探検家の話に嘘偽りはなかった。しかしそれは、我々の専門分野を凌駕するものだったのです。			委員会へのとある依頼							
考古学を専門とするあんたが、そう断言するとなると……過去文明の遺跡を見間違えたって線は薄いか。			考古学を専門とするあんたが、そう断言するとなると……過去文明の遺跡を見間違えたって線は薄いか。			委員会へのとある依頼							
とにかく、自分の目で確かめてみないことには始まらない、よな。			とにかく、自分の目で確かめてみないことには始まらない、よな。			委員会へのとある依頼							
バルデシオン委員会が、「真実」にたどり着けるように願っているよ。			バルデシオン委員会が、「真実」にたどり着けるように願っているよ。			委員会へのとある依頼							
くだんの探検家には、バルデシオン委員会の到着を待ってほしいと伝えたのだが……。「人を待つのは性分じゃない」と、ひとり探索を続けている。			くだんの探検家には、バルデシオン委員会の到着を待ってほしいと伝えたのだが……。「人を待つのは性分じゃない」と、ひとり探索を続けている。			委員会へのとある依頼							
「銀泪湖」の周辺にいるはずだから、彼に案内を頼むといい。私たちよりも、幻域に詳しいはずだ。			「銀泪湖」の周辺にいるはずだから、彼に案内を頼むといい。私たちよりも、幻域に詳しいはずだ。			委員会へのとある依頼							
ああ、ありがとうラムブルース！			ああ、ありがとうラムブルース！			委員会へのとある依頼							
じゃあ手分けをして、その探検家を探そう！			じゃあ手分けをして、その探検家を探そう！			委員会へのとある依頼							
この辺りに人がいる様子はない……。他の場所を探してみよう。			この辺りに人がいる様子はない……。他の場所を探してみよう。			委員会へのとある依頼							
小さなオポオポが佇んでいる。まさか、探検家というのは彼のことなのだろうか……？			小さなオポオポが佇んでいる。まさか、探検家というのは彼のことなのだろうか……？			委員会へのとある依頼							
Forename……？あんたまさか、そいつを探検家だと思ってないだろうな……！？			Forename……？あんたまさか、そいつを探検家だと思ってないだろうな……！？			委員会へのとある依頼							
俺はデリック、幻域を発見した探検家だ。わざわざ探してくれたみたいで、悪かったな。			俺はデリック、幻域を発見した探検家だ。わざわざ探してくれたみたいで、悪かったな。			委員会へのとある依頼							
ああ、こいつが気になるか。			ああ、こいつが気になるか。			委員会へのとある依頼							
以前、怪我していたのを見つけてな。助けてやったら、ついて来るようになっちまったんだ。まぁ、気にしないでくれ。			以前、怪我していたのを見つけてな。助けてやったら、ついて来るようになっちまったんだ。まぁ、気にしないでくれ。			委員会へのとある依頼							
そっちの彼女彼が、終末から星を救った英雄だろう？噂は聞いてるよ、あんたが来てくれるとは僥倖だ。幻域の調査を請け負ってくれるのか？			そっちの彼女彼が、終末から星を救った英雄だろう？噂は聞いてるよ、あんたが来てくれるとは僥倖だ。幻域の調査を請け負ってくれるのか？			委員会へのとある依頼							
それについてなんだが、正式に引き受けるかを判断するために、まずは先行調査という形をとらせてくれ。そもそも、幻域は本当に実在するのか？			それについてなんだが、正式に引き受けるかを判断するために、まずは先行調査という形をとらせてくれ。そもそも、幻域は本当に実在するのか？			委員会へのとある依頼							
ああ、ここモードゥナに突如として現れた、幻域に至る門……			ああ、ここモードゥナに突如として現れた、幻域に至る門……			委員会へのとある依頼							
前人未到の、探検家たちの夢はすぐそこに。さあ、案内するよ。			前人未到の、探検家たちの夢はすぐそこに。さあ、案内するよ。			委員会へのとある依頼							
お、おい……！？			お、おい……！？			委員会へのとある依頼							
すごいだろ？門の出現と同時に、魔法が発動したみたいでな。こうして歩けるようになってる。			すごいだろ？門の出現と同時に、魔法が発動したみたいでな。こうして歩けるようになってる。			委員会へのとある依頼							
何と言う？			何と言う？			委員会へのとある依頼							
本当に大丈夫……？			本当に大丈夫……？			委員会へのとある依頼							
ウリエンジェ式水上歩行術……！			ウリエンジェ式水上歩行術……！			委員会へのとある依頼							
自力でやってのけた奴がいるのか？それは……ずいぶんと奇骨な奴もいたもんだな。			自力でやってのけた奴がいるのか？それは……ずいぶんと奇骨な奴もいたもんだな。			委員会へのとある依頼							
大丈夫だから。ほら、来いよ。			大丈夫だから。ほら、来いよ。			委員会へのとある依頼							
すごいな、本当に足場があるみたいだ！レビテトみたいな浮遊魔法とも違う感覚だし、永続的にかかっているなら、いったいどんな原理で……。			すごいな、本当に足場があるみたいだ！レビテトみたいな浮遊魔法とも違う感覚だし、永続的にかかっているなら、いったいどんな原理で……。			委員会へのとある依頼							
っと、今は先に進まないとな。じゃあ、行ってみるか……！			っと、今は先に進まないとな。じゃあ、行ってみるか……！			委員会へのとある依頼							
「幻域」へ移動しますか？			「幻域」へ移動しますか？			委員会へのとある依頼							
ここが、幻域……！？			ここが、幻域……！？			委員会へのとある依頼							
銀泪湖から、こんな場所に繋がるなんて……			銀泪湖から、こんな場所に繋がるなんて……			委員会へのとある依頼							
地面の感触に、不自然な点はなし。細かな土埃や匂いに至るまで、何から何まで本物……この場所は魔法でも幻影でもなく、本当に実在しているんだ……！			地面の感触に、不自然な点はなし。細かな土埃や匂いに至るまで、何から何まで本物……この場所は魔法でも幻影でもなく、本当に実在しているんだ……！			委員会へのとある依頼							
ようこそ、始まりの幻域「オムファロス」へ。			ようこそ、始まりの幻域「オムファロス」へ。			委員会へのとある依頼							
驚いたか？			驚いたか？			委員会へのとある依頼							
ウキッ！　ウキキッ！			ウキッ！　ウキキッ！			委員会へのとある依頼							
なぁ、デリック。ここについてひとつ聞きたいんだが、その「オムファロス」っていうのは？			なぁ、デリック。ここについてひとつ聞きたいんだが、その「オムファロス」っていうのは？			委員会へのとある依頼							
呼び名がないと不便だと思って、俺が考えた。モードゥナはアルデナード小大陸の中心に位置するからな。「ヘソ」って意味の古語から引用したんだ。			呼び名がないと不便だと思って、俺が考えた。モードゥナはアルデナード小大陸の中心に位置するからな。「ヘソ」って意味の古語から引用したんだ。			委員会へのとある依頼							
ご覧のとおり、人工物が存在するのに、人の気配はない。それでいて、妙にきれいで手入れされていたかのようだ。			ご覧のとおり、人工物が存在するのに、人の気配はない。それでいて、妙にきれいで手入れされていたかのようだ。			委員会へのとある依頼							
ここの調査を、君たちに手伝ってもらいたい。なんのためにあるのか、誰が造ったのか……。			ここの調査を、君たちに手伝ってもらいたい。なんのためにあるのか、誰が造ったのか……。			委員会へのとある依頼							
ああ、それにこの幻域が出現した理由も知りたい。いままで秘されていたのか、いまやっと見つかったのか、気になるだろ？			ああ、それにこの幻域が出現した理由も知りたい。いままで秘されていたのか、いまやっと見つかったのか、気になるだろ？			委員会へのとある依頼							
ともかく、まずは観察してみなくちゃな！この一帯を見てまわってみよう！			ともかく、まずは観察してみなくちゃな！この一帯を見てまわってみよう！			委員会へのとある依頼							
あのオポオポは、オムファロスに慣れてるみたいだな。デリックは、それだけここに足を運んでたってことか……？			あのオポオポは、オムファロスに慣れてるみたいだな。デリックは、それだけここに足を運んでたってことか……？			委員会へのとある依頼							
俺のことはいいから、ほら、オムファロスを見てまわるんだろう？			俺のことはいいから、ほら、オムファロスを見てまわるんだろう？			委員会へのとある依頼							
人工的なモニュメントが建っていて、足元には見覚えのある意匠が施されている。誰が造ったのだろうか……。			人工的なモニュメントが建っていて、足元には見覚えのある意匠が施されている。誰が造ったのだろうか……。			委員会へのとある依頼							
不可思議な建造物が、オムファロスに点在している。なんのために造られたのだろうか……？			不可思議な建造物が、オムファロスに点在している。なんのために造られたのだろうか……？			委員会へのとある依頼							
エオルゼアの各国の建築様式とは、明らかに違うよな？なんというか、よく出来すぎてる……。			エオルゼアの各国の建築様式とは、明らかに違うよな？なんというか、よく出来すぎてる……。			委員会へのとある依頼							
遠くにクリスタルタワーのようなものが見える。雲に隠れて見えにくいが、ここは銀泪湖上空のようだ。			遠くにクリスタルタワーのようなものが見える。雲に隠れて見えにくいが、ここは銀泪湖上空のようだ。			委員会へのとある依頼							
外界からは見えていなかったが、この島は、ずっとここに浮かんでいたのだろうか？			外界からは見えていなかったが、この島は、ずっとここに浮かんでいたのだろうか？			委員会へのとある依頼							
どうだ、変なところだろ？			どうだ、変なところだろ？			委員会へのとある依頼							
ああ、ひととおり見てきたが、あんたの言うとおり、謎の多い場所だな。			ああ、ひととおり見てきたが、あんたの言うとおり、謎の多い場所だな。			委員会へのとある依頼							
雲海の先に見えてる塔……あれって、クリスタルタワーで間違いないよな？			雲海の先に見えてる塔……あれって、クリスタルタワーで間違いないよな？			委員会へのとある依頼							
となると、湖上に仕掛けられていた転送魔法で、オレたちは銀泪湖のはるか上空に飛ばされた。と考えるのが妥当だが……			となると、湖上に仕掛けられていた転送魔法で、オレたちは銀泪湖のはるか上空に飛ばされた。と考えるのが妥当だが……			委員会へのとある依頼							
銀泪湖の上空と言えば、帝国の飛空戦艦とミドガルズオルムが激戦を繰り広げた空域だ。浮島があったら、影響を受けないはずがない。			銀泪湖の上空と言えば、帝国の飛空戦艦とミドガルズオルムが激戦を繰り広げた空域だ。浮島があったら、影響を受けないはずがない。			委員会へのとある依頼							
だから、なんというか、ここは……モードゥナであってモードゥナではない空間、「次元の狭間」とは言わないが、なにかがズレているんだと思う。			だから、なんというか、ここは……モードゥナであってモードゥナではない空間、「次元の狭間」とは言わないが、なにかがズレているんだと思う。			委員会へのとある依頼							
ズレた場所とは、言い得て妙だ。ほかにも、気になることがあるか？			ズレた場所とは、言い得て妙だ。ほかにも、気になることがあるか？			委員会へのとある依頼							
ああ、そこにある建造物の意匠……エオルゼア十二神のシンボルだよな？			ああ、そこにある建造物の意匠……エオルゼア十二神のシンボルだよな？			委員会へのとある依頼							
つまりここは、十二神への信仰のため、人為的に造られた場所である可能性が高い。			つまりここは、十二神への信仰のため、人為的に造られた場所である可能性が高い。			委員会へのとある依頼							
だが、銀泪湖上空戦の後、これほどの規模の設備を造った上で、魔法的に隠蔽する……そんなことができるヤツがいるとも思えないんだ。			だが、銀泪湖上空戦の後、これほどの規模の設備を造った上で、魔法的に隠蔽する……そんなことができるヤツがいるとも思えないんだ。			委員会へのとある依頼							
推察をするにも、判断材料が少なすぎるな……。			推察をするにも、判断材料が少なすぎるな……。			委員会へのとある依頼							
オムファロスのグ・ラハ・ティアは今後の方針について考えているようだ。			オムファロスのグ・ラハ・ティアは今後の方針について考えているようだ。			輝ける神域 アグライア							
突然現れた十二神の神々は、自分たちがこの星を統べるのだと話し、神域へ挑めと誘った。オムファロスの「グ・ラハ・ティア」と対策について話し合おう。			突然現れた十二神の神々は、自分たちがこの星を統べるのだと話し、神域へ挑めと誘った。オムファロスの「グ・ラハ・ティア」と対策について話し合おう。			輝ける神域 アグライア							
グ・ラハ・ティアは十二神の問題を解明する方法を探ってくれるようだ。デリックとともに「輝ける神域 アグライア」を攻略しよう。※コンテンツファインダーから攻略に参加できます。			グ・ラハ・ティアは十二神の問題を解明する方法を探ってくれるようだ。デリックとともに「輝ける神域 アグライア」を攻略しよう。※コンテンツファインダーから攻略に参加できます。			輝ける神域 アグライア							
輝ける神域 アグライアを攻略した。オムファロスへと戻ろう。			輝ける神域 アグライアを攻略した。オムファロスへと戻ろう。			輝ける神域 アグライア							
輝ける神域 アグライアで戦った神々は、とある目的のために人と戦うことが必要なのだと語った。オムファロスへ駆けつけてくれた「クルル」と話そう。			輝ける神域 アグライアで戦った神々は、とある目的のために人と戦うことが必要なのだと語った。オムファロスへ駆けつけてくれた「クルル」と話そう。			輝ける神域 アグライア							
クルルと話し、状況を整理することになった。神々の目的とは、いったいなんなのだろう……。			クルルと話し、状況を整理することになった。神々の目的とは、いったいなんなのだろう……。			輝ける神域 アグライア							
グ・ラハ・ティアと再度話す			グ・ラハ・ティアと再度話す			輝ける神域 アグライア							
「輝ける神域 アグライア」を攻略			「輝ける神域 アグライア」を攻略			輝ける神域 アグライア							
クルルと話す			クルルと話す			輝ける神域 アグライア							
魔法的な隠蔽、か……。			魔法的な隠蔽、か……。			輝ける神域 アグライア							
黒衣森にある古都アムダプールの遺跡は、第七霊災を境に精霊の力が弱まって姿を現したと聞く。似たような理屈の可能性もあるかもな……。			黒衣森にある古都アムダプールの遺跡は、第七霊災を境に精霊の力が弱まって姿を現したと聞く。似たような理屈の可能性もあるかもな……。			輝ける神域 アグライア							
よし、わからないことをオレたちだけで悩んでいても仕方ない！ここは本腰を入れて調査をしなおした方がよさそうだな。			よし、わからないことをオレたちだけで悩んでいても仕方ない！ここは本腰を入れて調査をしなおした方がよさそうだな。			輝ける神域 アグライア							
それには、人員や機材の確保なんかも必要になってくる。先行調査が役目のオレたちだけでは、手に余る案件だ。			それには、人員や機材の確保なんかも必要になってくる。先行調査が役目のオレたちだけでは、手に余る案件だ。			輝ける神域 アグライア							
まずはバルデシオン委員会の臨時代表クルルに、正式な調査の段取りをつけてきたい。それでもいいか？			まずはバルデシオン委員会の臨時代表クルルに、正式な調査の段取りをつけてきたい。それでもいいか？			輝ける神域 アグライア							
ああ、君たちは先行調査なんだろう？本腰を入れてくれるっていうのなら、ありがたいくらいだ。			ああ、君たちは先行調査なんだろう？本腰を入れてくれるっていうのなら、ありがたいくらいだ。			輝ける神域 アグライア							
なら、オレたちは、一度オールド・シャーレアンに戻って……			なら、オレたちは、一度オールド・シャーレアンに戻って……			輝ける神域 アグライア							
(-？？？？-)行かせはせぬぞ……。			(-？？？？-)行かせはせぬぞ……。			輝ける神域 アグライア							
(-？？？？-)人の身でありながら、神々の領域に足を踏み入れるとは、なんたる不遜……。そう易々と立ち去れると思うてか？			(-？？？？-)人の身でありながら、神々の領域に足を踏み入れるとは、なんたる不遜……。そう易々と立ち去れると思うてか？			輝ける神域 アグライア							
我は工神ビエルゴ……。人が神と称するもの……。			我は工神ビエルゴ……。人が神と称するもの……。			輝ける神域 アグライア							
エオルゼア十二神の！？嘘だろ、実在してたのか……！？			エオルゼア十二神の！？嘘だろ、実在してたのか……！？			輝ける神域 アグライア							
目に映しておきながら、なお疑うか。我々は、信仰に創られし虚像などではない……			目に映しておきながら、なお疑うか。我々は、信仰に創られし虚像などではない……			輝ける神域 アグライア							
十二神のすべてが、確かに存在しているのだ。			十二神のすべてが、確かに存在しているのだ。			輝ける神域 アグライア							
そして、ハイデリンの消失せし現下、この星の新たな支配者となる！			そして、ハイデリンの消失せし現下、この星の新たな支配者となる！			輝ける神域 アグライア							
(-豪気な貴婦人の声-)我らは、見届けつづけてきた……。エオルゼアで、この星で起きていたすべてのことを。			(-豪気な貴婦人の声-)我らは、見届けつづけてきた……。エオルゼアで、この星で起きていたすべてのことを。			輝ける神域 アグライア							
(-豪気な貴婦人の声-)そして悟ったのだ。我らが次なる「星の意志」となるために……光の加護を受けた「神殺し」が障害となると！			(-豪気な貴婦人の声-)そして悟ったのだ。我らが次なる「星の意志」となるために……光の加護を受けた「神殺し」が障害となると！			輝ける神域 アグライア							
(-怜悧な老人の声-)そやつ自ら神々の領域に飛び込んでくるとは……誅戮(ちゅうりく)するはたやすいが、どうしてくれようか。			(-怜悧な老人の声-)そやつ自ら神々の領域に飛び込んでくるとは……誅戮(ちゅうりく)するはたやすいが、どうしてくれようか。			輝ける神域 アグライア							
(-重なり響く声-)我らは人の神ゆえ、人の前では寛容であらねばなるまい。量るべきだ、この者の真価を……。			(-重なり響く声-)我らは人の神ゆえ、人の前では寛容であらねばなるまい。量るべきだ、この者の真価を……。			輝ける神域 アグライア							
(-豪気な貴婦人の声-)然れば、手合いにて審理するのがよかろうて。			(-豪気な貴婦人の声-)然れば、手合いにて審理するのがよかろうて。			輝ける神域 アグライア							
ふむ、審理か……。我らのそれは、人にとって命懸けの試練そのもの。結末は変わらぬだろうが、ただ滅するよりは愉しめよう。			ふむ、審理か……。我らのそれは、人にとって命懸けの試練そのもの。結末は変わらぬだろうが、ただ滅するよりは愉しめよう。			輝ける神域 アグライア							
突然現れて、なに勝手なことを……！			突然現れて、なに勝手なことを……！			輝ける神域 アグライア							
人の理が、神に通用すると思うてか？人の子らよ、神の理に従うがいい。			人の理が、神に通用すると思うてか？人の子らよ、神の理に従うがいい。			輝ける神域 アグライア							
見よ、我らが「神域(しんいき)」に至る門は開かれた……！			見よ、我らが「神域(しんいき)」に至る門は開かれた……！			輝ける神域 アグライア							
(-怜悧な老人の声-)人の力を、我らに示してみせよ。			(-怜悧な老人の声-)人の力を、我らに示してみせよ。			輝ける神域 アグライア							
(-豪気な貴婦人の声-)人の誠(まこと)を、我らに示してみせよ。			(-豪気な貴婦人の声-)人の誠(まこと)を、我らに示してみせよ。			輝ける神域 アグライア							
(-重なり響く声-)人の魂を、私たちに示してみせよ。			(-重なり響く声-)人の魂を、私たちに示してみせよ。			輝ける神域 アグライア							
存分に英気を養い、仲間を集め、武具を磨き、心して挑み来るがよい。この世界を、人の手に残しておきたくば、な……。			存分に英気を養い、仲間を集め、武具を磨き、心して挑み来るがよい。この世界を、人の手に残しておきたくば、な……。			輝ける神域 アグライア							
いまのは……いったいなんだ？俺がここの調査をしてたときには、あんなの出てこなかったぞ。			いまのは……いったいなんだ？俺がここの調査をしてたときには、あんなの出てこなかったぞ。			輝ける神域 アグライア							
しかも、えらく物騒なことを言っていたな。放っておいたら、マズいことになるんじゃないか……？			しかも、えらく物騒なことを言っていたな。放っておいたら、マズいことになるんじゃないか……？			輝ける神域 アグライア							
いや……ちょっと待ってくれ……。オレも、なにがなんだか……。			いや……ちょっと待ってくれ……。オレも、なにがなんだか……。			輝ける神域 アグライア							
十二神は、古くからエオルゼアの人々が信奉してきた神々だ。それぞれが異なる物理的要素と事象的要素を司るとされていて、各地に神話や伝承が残ってる。			十二神は、古くからエオルゼアの人々が信奉してきた神々だ。それぞれが異なる物理的要素と事象的要素を司るとされていて、各地に神話や伝承が残ってる。			輝ける神域 アグライア							
