シャバーブチェのズーヘは、優れた魔道士である冒険者の知恵と力を借りたいようだ。			シャバーブチェのズーヘは、優れた魔道士である冒険者の知恵と力を借りたいようだ。			祭器の秘された力							
ありがとうございます！見たところ、ずいぶんと熟練した魔道士のご様子。私たちは、そうした力と知識を持った方を求めていたのですよ！			ありがとうございます！見たところ、ずいぶんと熟練した魔道士のご様子。私たちは、そうした力と知識を持った方を求めていたのですよ！			祭器の秘された力							
力だけでなく、知識も……と言ったのには理由がありまして。実は私たちの村では、祀っていた祭器の力を、誰も知らないのです……。			力だけでなく、知識も……と言ったのには理由がありまして。実は私たちの村では、祀っていた祭器の力を、誰も知らないのです……。			祭器の秘された力							
順番に説明しましょう。遥か昔、私たちの村の周囲には危険な魔物が生息していて、村民は怯えながら日々を過ごしていました。			順番に説明しましょう。遥か昔、私たちの村の周囲には危険な魔物が生息していて、村民は怯えながら日々を過ごしていました。			祭器の秘された力							
そんな状況を打開しようと、村の魔道士たちが研鑽の末、祭器の使い方を解明。秘められた力で魔物を掃討し、平和をもたらしたといいます。			そんな状況を打開しようと、村の魔道士たちが研鑽の末、祭器の使い方を解明。秘められた力で魔物を掃討し、平和をもたらしたといいます。			祭器の秘された力							
その後、「大いなる力は安寧を遠ざける」と、村民で話し合い、祭器のさらなる使用は厳禁となりました。そして祭器は、村の秘宝として祀られることに……。			その後、「大いなる力は安寧を遠ざける」と、村民で話し合い、祭器のさらなる使用は厳禁となりました。そして祭器は、村の秘宝として祀られることに……。			祭器の秘された力							
それから幾星霜、村では平穏な日々が続き、祭器の能力を知る者も、数十年前には絶えていたそうです。			それから幾星霜、村では平穏な日々が続き、祭器の能力を知る者も、数十年前には絶えていたそうです。			祭器の秘された力							
しかし、平和は突如「自由の扉」の者によって崩されました。私の夫は魔道士として、祭器の守護役に就いていたのですが、その……犯人の男に隙をつかれて、昏倒させられてしまい……。			しかし、平和は突如「自由の扉」の者によって崩されました。私の夫は魔道士として、祭器の守護役に就いていたのですが、その……犯人の男に隙をつかれて、昏倒させられてしまい……。			祭器の秘された力							
いまだ目を覚まさない夫に代わり、我が娘「テペケ」が、犯人と祭器を追う役目につきました。ですが、彼女は魔法の才がなく剣の道に進んだ身……。			いまだ目を覚まさない夫に代わり、我が娘「テペケ」が、犯人と祭器を追う役目につきました。ですが、彼女は魔法の才がなく剣の道に進んだ身……。			祭器の秘された力							
そこで、祭器が持つ能力を探れる魔法的知識を持った方に、テペケへの協力をお願いしたいのです……！			そこで、祭器が持つ能力を探れる魔法的知識を持った方に、テペケへの協力をお願いしたいのです……！			祭器の秘された力							
何と言う？			何と言う？			祭器の秘された力							
任せておけ！			任せておけ！			祭器の秘された力							
祭器には興味がある			祭器には興味がある			祭器の秘された力							
心強い言葉、大変ありがたいです！目撃者いわく、犯人の男は村を訪れた際に、自分は「ラザハン」を変えたいのだ……と口走っていたとか。			心強い言葉、大変ありがたいです！目撃者いわく、犯人の男は村を訪れた際に、自分は「ラザハン」を変えたいのだ……と口走っていたとか。			祭器の秘された力							
トライヨラも大変な状況の中、大変ありがたいです……！目撃者いわく、犯人の男は村を訪れた際に、自分は「ラザハン」を変えたいのだ……と口走っていたとか。			トライヨラも大変な状況の中、大変ありがたいです……！目撃者いわく、犯人の男は村を訪れた際に、自分は「ラザハン」を変えたいのだ……と口走っていたとか。			祭器の秘された力							
娘はすでに、リムサ・ロミンサを経由して、ラザハンへ向かうという船に乗って旅立っていきました。			娘はすでに、リムサ・ロミンサを経由して、ラザハンへ向かうという船に乗って旅立っていきました。			祭器の秘された力							
協力者を待ちつつ情報収集を、と話していたので、到着後は、商店街など人気のある場所へ向かうはず。テペケ……トラル風の剣士を探し、合流をお願いいたします。			協力者を待ちつつ情報収集を、と話していたので、到着後は、商店街など人気のある場所へ向かうはず。テペケ……トラル風の剣士を探し、合流をお願いいたします。			祭器の秘された力							
(-トラル風の剣士-)えっと、あなたは……私に、なにか御用でしょうか？			(-トラル風の剣士-)えっと、あなたは……私に、なにか御用でしょうか？			祭器の秘された力							
はい、私がテペケです！母さん……あ、いえ母の依頼を受けてくれたんですね！			はい、私がテペケです！母さん……あ、いえ母の依頼を受けてくれたんですね！			祭器の秘された力							
おおよその話は、母から聞いたかと思いますが……私たちは、祭器の能力についてほとんど何も知りません。			おおよその話は、母から聞いたかと思いますが……私たちは、祭器の能力についてほとんど何も知りません。			祭器の秘された力							
伝承でわかってるのは、森に棲まう「フクロウ」のトラルヴィドラールの魂が、封じられてるということくらい。			伝承でわかってるのは、森に棲まう「フクロウ」のトラルヴィドラールの魂が、封じられてるということくらい。			祭器の秘された力							
村一番の高齢である長老も、覚えてたのは、過去の所持者が語ったとされる逸話だけでした。			村一番の高齢である長老も、覚えてたのは、過去の所持者が語ったとされる逸話だけでした。			祭器の秘された力							
逸話には、こう語られてます。「祭器の所持者には幸運が訪れるが、周囲に不幸をもたらす」と。			逸話には、こう語られてます。「祭器の所持者には幸運が訪れるが、周囲に不幸をもたらす」と。			祭器の秘された力							
こんな言葉が残されるほど、当時の村民は、祭器を危険視してたようです。それだけ、絶大な力が封じられてたんでしょう……。			こんな言葉が残されるほど、当時の村民は、祭器を危険視してたようです。それだけ、絶大な力が封じられてたんでしょう……。			祭器の秘された力							
それと、祭器を奪った男の行方についてですが……。			それと、祭器を奪った男の行方についてですが……。			祭器の秘された力							
犯人が口走った、「ラザハンを変えたい」という発言を頼りに、都市内で、現状への不満や、変革を訴えてる人を見てないか、尋ねてまわっておりました。			犯人が口走った、「ラザハンを変えたい」という発言を頼りに、都市内で、現状への不満や、変革を訴えてる人を見てないか、尋ねてまわっておりました。			祭器の秘された力							
そしたら、気になる話を聞いたんですよ……！どうも、この国で最近「ジャスティス・Ｒ(ラザハン)」とかいう、奇妙な格好をした男が出没してるんだとか！			そしたら、気になる話を聞いたんですよ……！どうも、この国で最近「ジャスティス・Ｒ(ラザハン)」とかいう、奇妙な格好をした男が出没してるんだとか！			祭器の秘された力							
なんでも、サベネア島は危険な魔物の脅威に晒されており、退治できるのは、世界を股にかけるヒーローである自分だけ……などと豪語してたそうです。			なんでも、サベネア島は危険な魔物の脅威に晒されており、退治できるのは、世界を股にかけるヒーローである自分だけ……などと豪語してたそうです。			祭器の秘された力							
その唐突な言動に、サベネアの人も遠巻きに見てるだけだったそうですが、本人は意に介さず、自信満々に都市の外へ出ていったとか。			その唐突な言動に、サベネアの人も遠巻きに見てるだけだったそうですが、本人は意に介さず、自信満々に都市の外へ出ていったとか。			祭器の秘された力							
祭器の強奪犯とは無関係の可能性も大いにありますが、この男の言動、気になりますよね……！			祭器の強奪犯とは無関係の可能性も大いにありますが、この男の言動、気になりますよね……！			祭器の秘された力							
相手は島の集落にも、姿を現してるかもしれません。ほかに、これといった情報もありませんでしたし、ひとまず、私たちもジャスティス・Ｒを追ってみませんか？			相手は島の集落にも、姿を現してるかもしれません。ほかに、これといった情報もありませんでしたし、ひとまず、私たちもジャスティス・Ｒを追ってみませんか？			祭器の秘された力							
決まりですね！じゃあ、サベネア島の集落……イェドリマンでしたっけ。そこに行って、話を聞いてみましょう！			決まりですね！じゃあ、サベネア島の集落……イェドリマンでしたっけ。そこに行って、話を聞いてみましょう！			祭器の秘された力							
ジャスティス・Ｒのこと？彼を探したいんなら、星戦士さんを追いかければいいんじゃないかな。			ジャスティス・Ｒのこと？彼を探したいんなら、星戦士さんを追いかければいいんじゃないかな。			祭器の秘された力							
あっ、Forenameさん！ちょうど、この子がジャスティス・Ｒを見たそうですよ。			あっ、Forenameさん！ちょうど、この子がジャスティス・Ｒを見たそうですよ。			祭器の秘された力							
魔物の脅威に関する発言を、ここでも繰り返したあと、「危険な魔物の気配を感じる！」と叫んで出ていったとか。			魔物の脅威に関する発言を、ここでも繰り返したあと、「危険な魔物の気配を感じる！」と叫んで出ていったとか。			祭器の秘された力							
本当に魔物が出るなら放置はできないと、この国を守護する星戦士さんが、あとを追ったそうです。私たちも、向かいましょう！			本当に魔物が出るなら放置はできないと、この国を守護する星戦士さんが、あとを追ったそうです。私たちも、向かいましょう！			祭器の秘された力							
星戦士さんは、衆園の森の方へ向かっていったよ。ただ森は広いから、まずは街道を北に進んだ先にある、ガジャーヤ演舞場を目指すといいんじゃないかな。			星戦士さんは、衆園の森の方へ向かっていったよ。ただ森は広いから、まずは街道を北に進んだ先にある、ガジャーヤ演舞場を目指すといいんじゃないかな。			祭器の秘された力							
演舞場は、ちょうど衆園の森全体を見渡せる位置にあるし、あそこから森を見渡すほうが、探しやすいと思う！			演舞場は、ちょうど衆園の森全体を見渡せる位置にあるし、あそこから森を見渡すほうが、探しやすいと思う！			祭器の秘された力							
なるほど、北にあるガジャーヤ演舞場ですね……。貴重な情報をありがとうございました。さっそく、そちらへ向かってみます！			なるほど、北にあるガジャーヤ演舞場ですね……。貴重な情報をありがとうございました。さっそく、そちらへ向かってみます！			祭器の秘された力							
星戦士さんは、衆園の森の方へ向かっていったから、ガジャーヤ演舞場のあたりで見渡せば、見つかるんじゃないかな！			星戦士さんは、衆園の森の方へ向かっていったから、ガジャーヤ演舞場のあたりで見渡せば、見つかるんじゃないかな！			祭器の秘された力							
それでは捜索といきましょうか！先行して、森に入っていったジャスティス・Ｒよりも、その後を追った星戦士さんの方を探すのがよさそうですね。			それでは捜索といきましょうか！先行して、森に入っていったジャスティス・Ｒよりも、その後を追った星戦士さんの方を探すのがよさそうですね。			祭器の秘された力							
ジャスティス・Ｒを追った「星戦士」の捜索を開始します。それらしき人物を発見したら、ズームをしてから、左クリック[???]ボタン/[???]ボタンで確認しましょう！			ジャスティス・Ｒを追った「星戦士」の捜索を開始します。それらしき人物を発見したら、ズームをしてから、左クリック[???]ボタン/[???]ボタンで確認しましょう！			祭器の秘された力							
大丈夫、気絶してるだけです！			大丈夫、気絶してるだけです！			祭器の秘された力							
うぅ、何が……。			うぅ、何が……。			祭器の秘された力							
あなたがジャスティス・Ｒを追ったと聞き、探してたんです。何があったか、覚えてますか？			あなたがジャスティス・Ｒを追ったと聞き、探してたんです。何があったか、覚えてますか？			祭器の秘された力							
ああ、私はここで、その男が魔物と対峙しているのを見かけて……			ああ、私はここで、その男が魔物と対峙しているのを見かけて……			祭器の秘された力							
ふふふ……いよいよ、ラザハンでの初陣だ！ジャスティス・Ｒの力、とくと見せてくれよう！			ふふふ……いよいよ、ラザハンでの初陣だ！ジャスティス・Ｒの力、とくと見せてくれよう！			祭器の秘された力							
む……この場に現れたということは、そなたも、襲来せし脅威に立ち向かわんとする勇士か？			む……この場に現れたということは、そなたも、襲来せし脅威に立ち向かわんとする勇士か？			祭器の秘された力							
しかし、この恐るべき魔物はそなたの手に余る……！下がっておられよ！			しかし、この恐るべき魔物はそなたの手に余る……！下がっておられよ！			祭器の秘された力							
いや、この程度の魔物も退治できぬほど、星戦士はヤワではないが……。			いや、この程度の魔物も退治できぬほど、星戦士はヤワではないが……。			祭器の秘された力							
ふふっ、その意気や良しッ！だが、ラザハンを守らんとする覚悟は私に託し、我が勇姿を見届けてもらいたい！			ふふっ、その意気や良しッ！だが、ラザハンを守らんとする覚悟は私に託し、我が勇姿を見届けてもらいたい！			祭器の秘された力							
「フクロウの祭器」が力……いざ、この身に宿らん！			「フクロウの祭器」が力……いざ、この身に宿らん！			祭器の秘された力							
どうした、祭器よ……！今こそ、その力を目覚めさせるときだ！			どうした、祭器よ……！今こそ、その力を目覚めさせるときだ！			祭器の秘された力							
何も、起きないが……？			何も、起きないが……？			祭器の秘された力							
何故だ……。私には、まだその資格がないというのか……？			何故だ……。私には、まだその資格がないというのか……？			祭器の秘された力							
あ、それともどこかに起動スイッチが……？			あ、それともどこかに起動スイッチが……？			祭器の秘された力							
こ、これは少々予定外の状態だな……。			こ、これは少々予定外の状態だな……。			祭器の秘された力							
おい、後ろに下がれ！私が魔物の相手をする！			おい、後ろに下がれ！私が魔物の相手をする！			祭器の秘された力							
ま、待て……このままでは、ただの愚か者だぞ！私は、ラザハンのヒーローに……！			ま、待て……このままでは、ただの愚か者だぞ！私は、ラザハンのヒーローに……！			祭器の秘された力							
そうだ……。あの男が「フクロウの祭器」と呼ぶものを掲げると、魔力の輝きを放ち始め……直後に落石が発生したんだ。			そうだ……。あの男が「フクロウの祭器」と呼ぶものを掲げると、魔力の輝きを放ち始め……直後に落石が発生したんだ。			祭器の秘された力							
次々と岩が落ちてきて魔物を倒したかと思うと、今度は私の頭にも直撃して……。			次々と岩が落ちてきて魔物を倒したかと思うと、今度は私の頭にも直撃して……。			祭器の秘された力							
朦朧とする意識の中で、あの男の声が聞こえたよ。「そういうことだったのか」とか、なんとか。			朦朧とする意識の中で、あの男の声が聞こえたよ。「そういうことだったのか」とか、なんとか。			祭器の秘された力							
あのタイミングでの落石とは、なんという偶然。ジャスティス・Ｒとやらは祭器の力と信じていたようだが、まさか、な……。			あのタイミングでの落石とは、なんという偶然。ジャスティス・Ｒとやらは祭器の力と信じていたようだが、まさか、な……。			祭器の秘された力							
祭器を持っていたのなら、ジャスティス・Ｒは故郷に現れた男と同一人物……ですよね。			祭器を持っていたのなら、ジャスティス・Ｒは故郷に現れた男と同一人物……ですよね。			祭器の秘された力							
……もう周辺には誰もいないようですし、私は、星戦士さんと一緒にイェドリマンへ戻ります。Forenameさんも来てくださいますか。			……もう周辺には誰もいないようですし、私は、星戦士さんと一緒にイェドリマンへ戻ります。Forenameさんも来てくださいますか。			祭器の秘された力							
星戦士さんは、報告のためラザハンへ向かいました。それにしても……			星戦士さんは、報告のためラザハンへ向かいました。それにしても……			祭器の秘された力							
「祭器の所持者には幸運が訪れるが、周囲に不幸をもたらす」。この逸話どおりの出来事が起きましたね。			「祭器の所持者には幸運が訪れるが、周囲に不幸をもたらす」。この逸話どおりの出来事が起きましたね。			祭器の秘された力							
星戦士さんが遭遇した落石は、偶然起きたものでしょうか。それとも……。			星戦士さんが遭遇した落石は、偶然起きたものでしょうか。それとも……。			祭器の秘された力							
あっ、お姉さんたちお兄さんとお姉さん！大変だよ！　ジャスティス・Ｒが現れたんだ！			あっ、お姉さんたちお兄さんとお姉さん！大変だよ！　ジャスティス・Ｒが現れたんだ！			祭器の秘された力							
君は、さっき星戦士さんのことを教えてくれた……。ジャスティス・Ｒが現れたって？			君は、さっき星戦士さんのことを教えてくれた……。ジャスティス・Ｒが現れたって？			祭器の秘された力							
ふたりが出てったあとに、あの人、イェドリマンに戻ってきたんだ！			ふたりが出てったあとに、あの人、イェドリマンに戻ってきたんだ！			祭器の秘された力							
星戦士も倒せなかった魔物を自分が退治したんだって、大声で笑いながら叫んでたよ。			星戦士も倒せなかった魔物を自分が退治したんだって、大声で笑いながら叫んでたよ。			祭器の秘された力							
ねえ、本当にジャスティス・Ｒが魔物を退治したの！？ジャスティス・Ｒは、星戦士より強いの！？			ねえ、本当にジャスティス・Ｒが魔物を退治したの！？ジャスティス・Ｒは、星戦士より強いの！？			祭器の秘された力							
何と言う？			何と言う？			祭器の秘された力							
魔物が倒れていたのは見た			魔物が倒れていたのは見た			祭器の秘された力							
強いかどうかはわからない			強いかどうかはわからない			祭器の秘された力							
そうなんだ……。僕の友達は「ジャスティス・Ｒかっこいい」って大騒ぎだったよ！大人たちは、なんだか困ってるみたいだったけど。			そうなんだ……。僕の友達は「ジャスティス・Ｒかっこいい」って大騒ぎだったよ！大人たちは、なんだか困ってるみたいだったけど。			祭器の秘された力							
彼のことは、私たちもよくわからないの。お話聞かせてくれて、ありがとうね。			彼のことは、私たちもよくわからないの。お話聞かせてくれて、ありがとうね。			祭器の秘された力							
魔物を倒した……そっか。今回、ジャスティス・Ｒは別に悪事を働いたわけじゃないんだ。			魔物を倒した……そっか。今回、ジャスティス・Ｒは別に悪事を働いたわけじゃないんだ。			祭器の秘された力							
祭器の能力を試したかっただけかもしれませんが、この村での宣言といい、どうも敵の目的がわかりませんね。奪った祭器で、わざわざ魔物退治だなんて……。			祭器の能力を試したかっただけかもしれませんが、この村での宣言といい、どうも敵の目的がわかりませんね。奪った祭器で、わざわざ魔物退治だなんて……。			祭器の秘された力							
「自由の扉」の名は聞いていますよね？トライヨラにも、悪事の被害にあった人が集まってました。なのに、こちらでは善行を成している……。			「自由の扉」の名は聞いていますよね？トライヨラにも、悪事の被害にあった人が集まってました。なのに、こちらでは善行を成している……。			祭器の秘された力							
村では私にあんな卑劣な真似をしておいて……いったい、何がしたいのか……。			村では私にあんな卑劣な真似をしておいて……いったい、何がしたいのか……。			祭器の秘された力							
……とにかく、祭器を奪っていったジャスティス・Ｒを、許すことはできません。			……とにかく、祭器を奪っていったジャスティス・Ｒを、許すことはできません。			祭器の秘された力							
私たちの村は、祭器のおかげで平穏な日々を得ました。そして、祖先が築いたこの暮らしを衰退させてはならないと、これまで、みんな懸命に働いてきたんです。			私たちの村は、祭器のおかげで平穏な日々を得ました。そして、祖先が築いたこの暮らしを衰退させてはならないと、これまで、みんな懸命に働いてきたんです。			祭器の秘された力							
あの祭器は、そうして自分たちで平穏を保ってきたという、いわば誇りの象徴……。			あの祭器は、そうして自分たちで平穏を保ってきたという、いわば誇りの象徴……。			祭器の秘された力							
だからこそ、その守護役も大変名誉ある務めなのです。私も、そんな父をずっと尊敬し自慢に思っていました。			だからこそ、その守護役も大変名誉ある務めなのです。私も、そんな父をずっと尊敬し自慢に思っていました。			祭器の秘された力							
しかし、祭器を奪われたことで、父は、村の人たちから落胆の目を向けられている。私はそれが悔しくて、申し訳なくて……。			しかし、祭器を奪われたことで、父は、村の人たちから落胆の目を向けられている。私はそれが悔しくて、申し訳なくて……。			祭器の秘された力							
だから私は、なんとしても祭器を取り返して、父の名誉を回復させたいんです！			だから私は、なんとしても祭器を取り返して、父の名誉を回復させたいんです！			祭器の秘された力							
おそらく、ジャスティス・Ｒは祭器の発動方法を見つけだした。落石が能力によるものかは、まだわかりませんが、無関係とも思えません……。			おそらく、ジャスティス・Ｒは祭器の発動方法を見つけだした。落石が能力によるものかは、まだわかりませんが、無関係とも思えません……。			祭器の秘された力							
私はここを拠点に、彼の行方を調べましょう。敵の目的も、祭器の能力もまだ未知数ですし、どうか力を蓄えておいていただけますとありがたいです……。			私はここを拠点に、彼の行方を調べましょう。敵の目的も、祭器の能力もまだ未知数ですし、どうか力を蓄えておいていただけますとありがたいです……。			祭器の秘された力							
イェドリマンのテペケは、冒険者に困りごとの相談をしたいようだ。			イェドリマンのテペケは、冒険者に困りごとの相談をしたいようだ。			ジャスティス・Ｒの人気							
テペケによると、危険性の薄い魔物を倒しているジャスティス・Ｒに、憧れる子どもや若者が増えているらしい。ラザハンのエーテライト・プラザにいる「テペケ」と合流しよう。			テペケによると、危険性の薄い魔物を倒しているジャスティス・Ｒに、憧れる子どもや若者が増えているらしい。ラザハンのエーテライト・プラザにいる「テペケ」と合流しよう。			ジャスティス・Ｒの人気							
テペケは落石が本当に祭器によるものか調べるため、アルキミヤ製薬堂へ行くという。情報を得るため、ラザハンの星戦士団本営にいる「星戦士団の兵士」と話そう。			テペケは落石が本当に祭器によるものか調べるため、アルキミヤ製薬堂へ行くという。情報を得るため、ラザハンの星戦士団本営にいる「星戦士団の兵士」と話そう。			ジャスティス・Ｒの人気							
星戦士団でもジャスティス・Ｒの調査が必要だと考えているようだ。また、彼の周りで落石が多発していることも話題に上っているらしい。エーテライト・プラザにいる「テペケ」と合流しよう。			星戦士団でもジャスティス・Ｒの調査が必要だと考えているようだ。また、彼の周りで落石が多発していることも話題に上っているらしい。エーテライト・プラザにいる「テペケ」と合流しよう。			ジャスティス・Ｒの人気							
テペケが手に入れた錬金薬と、魔道士である冒険者の力を合わせて、落石に魔法的関与があるか調べることになった。サベネア島で薫香の丘にいる「テペケ」と話そう。			テペケが手に入れた錬金薬と、魔道士である冒険者の力を合わせて、落石に魔法的関与があるか調べることになった。サベネア島で薫香の丘にいる「テペケ」と話そう。			ジャスティス・Ｒの人気							
落石は、祭器の能力によるものだった。それを調べ終わったところに星戦士がやってきて、少女がイェドリマンを出ていったと言う。サベネア島のハンサ牧場跡から北に向かった海岸で「アウラ族の少女」を探そう。			落石は、祭器の能力によるものだった。それを調べ終わったところに星戦士がやってきて、少女がイェドリマンを出ていったと言う。サベネア島のハンサ牧場跡から北に向かった海岸で「アウラ族の少女」を探そう。			ジャスティス・Ｒの人気							
襲いかかってきた魔物を倒した。ハンサ牧場跡から北に向かった海岸で「アウラ族の少女」を救助しよう。			襲いかかってきた魔物を倒した。ハンサ牧場跡から北に向かった海岸で「アウラ族の少女」を救助しよう。			ジャスティス・Ｒの人気							
少女も、ジャスティス・Ｒの行動について改めて考えてみるそうだ。イェドリマンの「テペケ」と話そう。			少女も、ジャスティス・Ｒの行動について改めて考えてみるそうだ。イェドリマンの「テペケ」と話そう。			ジャスティス・Ｒの人気							
テペケはジャスティス・Ｒに祭器のことを喋ってしまい、それが奪われた原因だと打ち明けた。引き続き、ジャスティス・Ｒを調査するテペケに協力しよう！※いずれかの遠隔魔法DPSジョブのレベルが94以上になると、イェドリマンのテペケから次の遠隔魔法DPSロールクエストを受注することができます。			テペケはジャスティス・Ｒに祭器のことを喋ってしまい、それが奪われた原因だと打ち明けた。引き続き、ジャスティス・Ｒを調査するテペケに協力しよう！※いずれかの遠隔魔法DPSジョブのレベルが94以上になると、イェドリマンのテペケから次の遠隔魔法DPSロールクエストを受注することができます。			ジャスティス・Ｒの人気							
ラザハンのテペケと話す			ラザハンのテペケと話す			ジャスティス・Ｒの人気							
星戦士団の兵士と話す			星戦士団の兵士と話す			ジャスティス・Ｒの人気							
テペケと話す			テペケと話す			ジャスティス・Ｒの人気							
薫香の丘でテペケと話す			薫香の丘でテペケと話す			ジャスティス・Ｒの人気							
アウラ族の少女を探す			アウラ族の少女を探す			ジャスティス・Ｒの人気							
アウラ族の少女を救助			アウラ族の少女を救助			ジャスティス・Ｒの人気							
テペケと話す			テペケと話す			ジャスティス・Ｒの人気							
Forenameさん。実は、ちょっと困ったことになりまして……。			Forenameさん。実は、ちょっと困ったことになりまして……。			ジャスティス・Ｒの人気							
魔物退治をしていたジャスティス・Ｒですが、子どもや若者の間で、彼に憧れる者が出始めているんです。			魔物退治をしていたジャスティス・Ｒですが、子どもや若者の間で、彼に憧れる者が出始めているんです。			ジャスティス・Ｒの人気							
魔物退治といっても、大した危険はないらしく、星戦士団がわざわざ討伐に繰り出す相手ではありません。			魔物退治といっても、大した危険はないらしく、星戦士団がわざわざ討伐に繰り出す相手ではありません。			ジャスティス・Ｒの人気							
ですがジャスティス・Ｒは、それすら逆手にとっているようです。「自分は、星戦士団も恐れる魔物を退治しているのだ」と、都合の良い発言を繰り返しているようでした。			ですがジャスティス・Ｒは、それすら逆手にとっているようです。「自分は、星戦士団も恐れる魔物を退治しているのだ」と、都合の良い発言を繰り返しているようでした。			ジャスティス・Ｒの人気							
そんな発言、普通なら誰も信じやしないでしょう。しかし彼の尊大な振る舞いが、妙な説得力を与えるとともに、若い人たちには、かっこよく見えるらしく……。			そんな発言、普通なら誰も信じやしないでしょう。しかし彼の尊大な振る舞いが、妙な説得力を与えるとともに、若い人たちには、かっこよく見えるらしく……。			ジャスティス・Ｒの人気							
ともかく相手が目立つ行動をしてくれているのは、追跡する私たちにとっては、有利とも言えます。ひとまずラザハンで情報収集をしてみましょう。			ともかく相手が目立つ行動をしてくれているのは、追跡する私たちにとっては、有利とも言えます。ひとまずラザハンで情報収集をしてみましょう。			ジャスティス・Ｒの人気							
それでは、いっしょに情報収集を……と思いましたが、ここで二手にわかれてみませんか？			それでは、いっしょに情報収集を……と思いましたが、ここで二手にわかれてみませんか？			ジャスティス・Ｒの人気							
というのも、少し前に聞き込みをしていた際に、魔具や魔法の痕跡に反応する錬金薬があると聞きましてね。これが使えるんじゃないかと思ったんです。			というのも、少し前に聞き込みをしていた際に、魔具や魔法の痕跡に反応する錬金薬があると聞きましてね。これが使えるんじゃないかと思ったんです。			ジャスティス・Ｒの人気							
ジャスティス・Ｒが魔物退治をしてた場所には、落石してきたと思しき岩が散乱してたそうですから……。件の錬金薬を使えば、落石が祭器によるものかわかるかな、と。			ジャスティス・Ｒが魔物退治をしてた場所には、落石してきたと思しき岩が散乱してたそうですから……。件の錬金薬を使えば、落石が祭器によるものかわかるかな、と。			ジャスティス・Ｒの人気							
私はアルキミヤ製薬堂で、錬金薬について詳しく聞いてこようと思います。			私はアルキミヤ製薬堂で、錬金薬について詳しく聞いてこようと思います。			ジャスティス・Ｒの人気							
ですから、その間にForenameさんは、星戦士団本営で、ジャスティス・Ｒについての情報がないか、確認してきてはいただけないでしょうか？			ですから、その間にForenameさんは、星戦士団本営で、ジャスティス・Ｒについての情報がないか、確認してきてはいただけないでしょうか？			ジャスティス・Ｒの人気							
ありがとうございます。では、お互い用件が済んだら、ここに戻ってきて、また合流しましょう！			ありがとうございます。では、お互い用件が済んだら、ここに戻ってきて、また合流しましょう！			ジャスティス・Ｒの人気							
