選者殿のキィ・アリアポーは、魔法大学の仕事を頼みたいようだ。			選者殿のキィ・アリアポーは、魔法大学の仕事を頼みたいようだ。			魔法大学職員からのお願い							
もうすぐ、例の人が来ることになっています。立っているのも何なので、座って待ちましょうか。			もうすぐ、例の人が来ることになっています。立っているのも何なので、座って待ちましょうか。			繋がる想い							
(-？？？？-)ふたりとも、待たせてすまんの。			(-？？？？-)ふたりとも、待たせてすまんの。			繋がる想い							
まず、おぬしには礼を言わねばなるまいな。それぞれに問題を抱えていた教授や学生たちの助けとなって、研究を成功へと導いてくれたこと、学長として感謝するぞ。			まず、おぬしには礼を言わねばなるまいな。それぞれに問題を抱えていた教授や学生たちの助けとなって、研究を成功へと導いてくれたこと、学長として感謝するぞ。			繋がる想い							
いずれの研究も、素晴らしい内容じゃった。すぐにでも「研究共有会」を開催したいと思っておる。			いずれの研究も、素晴らしい内容じゃった。すぐにでも「研究共有会」を開催したいと思っておる。			繋がる想い							
優れた成果を挙げた方々が、合同で研究内容を展示、発表する場、それが研究共有会です。			優れた成果を挙げた方々が、合同で研究内容を展示、発表する場、それが研究共有会です。			繋がる想い							
「知」は新たな「知」の呼び水となる。異なる分野の知識を集積し、統合し、新たな学問を拓くことこそ、この魔法大学の存在意義でもあるのでな……。			「知」は新たな「知」の呼び水となる。異なる分野の知識を集積し、統合し、新たな学問を拓くことこそ、この魔法大学の存在意義でもあるのでな……。			繋がる想い							
頼みたいことというのは、ほかでもない。おぬしが関わった5つの研究室や研究会に対して、「研究共有会」への参加を打診してもらいたいのだよ。			頼みたいことというのは、ほかでもない。おぬしが関わった5つの研究室や研究会に対して、「研究共有会」への参加を打診してもらいたいのだよ。			繋がる想い							
何と言う？			何と言う？			繋がる想い							
お安い御用だ			お安い御用だ			繋がる想い							
なぜ自分が……？			なぜ自分が……？			繋がる想い							
フォフォフォ……引き受けてくれるか！すべての研究が完遂する瞬間に立ち会ったおぬしにこそ、相応しい役目と思ったのでの！			フォフォフォ……引き受けてくれるか！すべての研究が完遂する瞬間に立ち会ったおぬしにこそ、相応しい役目と思ったのでの！			繋がる想い							
ワシが言えば、参加を命じるも同然になってしまうのでな。その点、すべての研究に力を貸したおぬしからの伝言であれば、彼らも素直に検討できるはず……頼めるかの？			ワシが言えば、参加を命じるも同然になってしまうのでな。その点、すべての研究に力を貸したおぬしからの伝言であれば、彼らも素直に検討できるはず……頼めるかの？			繋がる想い							
感謝するぞ。手数をかけてすまぬが、皆に声をかけてきてくれ。			感謝するぞ。手数をかけてすまぬが、皆に声をかけてきてくれ。			繋がる想い							
では、考古学部の「ルルシャ」教授に天文学部の「ジュード」君、医学部の「デブロイ」さんと文化学部の「ヒナゲシ」ちゃん、それから、エーテル学部の「チャ・ラカ・ティア」教授。			では、考古学部の「ルルシャ」教授に天文学部の「ジュード」君、医学部の「デブロイ」さんと文化学部の「ヒナゲシ」ちゃん、それから、エーテル学部の「チャ・ラカ・ティア」教授。			繋がる想い							
以上の5人に声をかけ終わったら、「選者殿」に戻ってきてくださいね！			以上の5人に声をかけ終わったら、「選者殿」に戻ってきてくださいね！			繋がる想い							
あらあら、Forenameさん。いらっしゃい、今日は何の御用かしら？			あらあら、Forenameさん。いらっしゃい、今日は何の御用かしら？			繋がる想い							
まあ！研究共有会だなんて、素敵なお話だわ。			まあ！研究共有会だなんて、素敵なお話だわ。			繋がる想い							
つ、ついに教授の研究が、再び日の目を見る日が……ウウッ！			つ、ついに教授の研究が、再び日の目を見る日が……ウウッ！			繋がる想い							
ボリックったら、困った子ねぇ。でも、その気持ちはとっても嬉しいわ。			ボリックったら、困った子ねぇ。でも、その気持ちはとっても嬉しいわ。			繋がる想い							
ナモノ教授にも声をかけて、私たちの研究成果を、盛大にお披露目しましょう。ふふ、なんだかウキウキするわね。			ナモノ教授にも声をかけて、私たちの研究成果を、盛大にお披露目しましょう。ふふ、なんだかウキウキするわね。			繋がる想い							
やあ、Forenameさん。また僕たちの研究会を訪ねてくれるなんて！			やあ、Forenameさん。また僕たちの研究会を訪ねてくれるなんて！			繋がる想い							
なるほど、研究共有会ですか。入学したばかりの僕でも、その存在は聞いたことがあります。まさか、僕がそんな晴れ舞台に立つことになろうとは……。			なるほど、研究共有会ですか。入学したばかりの僕でも、その存在は聞いたことがあります。まさか、僕がそんな晴れ舞台に立つことになろうとは……。			繋がる想い							
なんだ、びびってんのか？お前はこの星に数多いるジュードの中でも、もっともイケてるジュードだと思ったんだがな？			なんだ、びびってんのか？お前はこの星に数多いるジュードの中でも、もっともイケてるジュードだと思ったんだがな？			繋がる想い							
言ってる意味はよくわからないけど……星見鏡の有用性と、まだ見ぬ星の可能性を発表できるなんて、考えただけでわくわくしてきたよ！			言ってる意味はよくわからないけど……星見鏡の有用性と、まだ見ぬ星の可能性を発表できるなんて、考えただけでわくわくしてきたよ！			繋がる想い							
ぜひ、参加させてください。ジェロメールと協力して、発表内容を検討してみます！			ぜひ、参加させてください。ジェロメールと協力して、発表内容を検討してみます！			繋がる想い							
同志Forename！またあなたに会えて嬉しいです。再会を記念して、ラストスタンドでお食事でもいかがですか？			同志Forename！またあなたに会えて嬉しいです。再会を記念して、ラストスタンドでお食事でもいかがですか？			繋がる想い							
何と、私を研究共有会に？			何と、私を研究共有会に？			繋がる想い							
とてもありがたいお話です！「美食」の奥深さを皆さんに知っていただく、またとない機会ですからね！			とてもありがたいお話です！「美食」の奥深さを皆さんに知っていただく、またとない機会ですからね！			繋がる想い							
肝心の発表内容ですが……ガルヴロッシュ教授や、ラストスタンドの従業員も誘って、メルヴィンブレッドの試食会を開くのがいいかもしれません。			肝心の発表内容ですが……ガルヴロッシュ教授や、ラストスタンドの従業員も誘って、メルヴィンブレッドの試食会を開くのがいいかもしれません。			繋がる想い							
そうと決まれば、すぐに準備をしなければ！同志Forename、後ほどお会いしましょう！			そうと決まれば、すぐに準備をしなければ！同志Forename、後ほどお会いしましょう！			繋がる想い							
Forenameさんじゃないですかぁ！			Forenameさんじゃないですかぁ！			繋がる想い							
あ、大丈夫ですよ、今までどおりヒナゲシと呼んでくれて。もちろん、幸せのヒナゲシさん、でもいいですけどぉ！			あ、大丈夫ですよ、今までどおりヒナゲシと呼んでくれて。もちろん、幸せのヒナゲシさん、でもいいですけどぉ！			繋がる想い							
え、研究共有会……？なるほど、私と教授で研究中に再現した文化を展示すれば、皆さんにも他国の文化を知ってもらえますね！			え、研究共有会……？なるほど、私と教授で研究中に再現した文化を展示すれば、皆さんにも他国の文化を知ってもらえますね！			繋がる想い							
そういえば、エターナルバンドは突然のことだったので、お世話になっている先生方を、お招きできなかったんですよね。共有会の場を借りて、二次会をするという手もあるかも……？			そういえば、エターナルバンドは突然のことだったので、お世話になっている先生方を、お招きできなかったんですよね。共有会の場を借りて、二次会をするという手もあるかも……？			繋がる想い							
ともかく、わかりましたぁ～！教授と準備を進めておきますので、お待ちください！			ともかく、わかりましたぁ～！教授と準備を進めておきますので、お待ちください！			繋がる想い							
Forenameじゃないか！何か俺に、遠い土地の土産話でもあるのか？			Forenameじゃないか！何か俺に、遠い土地の土産話でもあるのか？			繋がる想い							
なるほどな、研究共有会かぁ……。教授への昇進に続いて、そんな好機をもらえるなんてな！			なるほどな、研究共有会かぁ……。教授への昇進に続いて、そんな好機をもらえるなんてな！			繋がる想い							
もちろん、断るわけないさ。水脈潮汐説(すいみゃくちょうせきせつ)の立証に、お前の力は欠かせなかった。大々的に展示してやろうぜ！			もちろん、断るわけないさ。水脈潮汐説(すいみゃくちょうせきせつ)の立証に、お前の力は欠かせなかった。大々的に展示してやろうぜ！			繋がる想い							
引退したネレー教授を安心させるためにも、何としても成功させなくちゃな！			引退したネレー教授を安心させるためにも、何としても成功させなくちゃな！			繋がる想い							
各学部の5人に声をかけたら、選者殿に戻ってきてくださいね！			各学部の5人に声をかけたら、選者殿に戻ってきてくださいね！			繋がる想い							
ふふ、なんだかウキウキするわね。			ふふ、なんだかウキウキするわね。			繋がる想い							
ジェロメールと協力して、発表内容を検討してみます！			ジェロメールと協力して、発表内容を検討してみます！			繋がる想い							
そうと決まれば、すぐに準備をしなければ！同志Forename、後ほどお会いしましょう！			そうと決まれば、すぐに準備をしなければ！同志Forename、後ほどお会いしましょう！			繋がる想い							
教授と準備を進めておきますので、お待ちください～！			教授と準備を進めておきますので、お待ちください～！			繋がる想い							
引退したネレー教授を安心させるためにも、何としても成功させなくちゃな！			引退したネレー教授を安心させるためにも、何としても成功させなくちゃな！			繋がる想い							
おかえりなさい。皆さん、研究共有会に参加してくれそうですか？			おかえりなさい。皆さん、研究共有会に参加してくれそうですか？			繋がる想い							
それはよかったです！5人とも、研究成果を挙げるために一生懸命でしたから、彼らの頑張りが報われる時がきて、私も嬉しいです！			それはよかったです！5人とも、研究成果を挙げるために一生懸命でしたから、彼らの頑張りが報われる時がきて、私も嬉しいです！			繋がる想い							
会場は、ラヴィリンソスのアポリア本部に決まったそうです。研究共有会が始まったら、ぜひアナタも聴衆のひとりとして、彼らの発表を見守ってあげてくださいね。			会場は、ラヴィリンソスのアポリア本部に決まったそうです。研究共有会が始まったら、ぜひアナタも聴衆のひとりとして、彼らの発表を見守ってあげてくださいね。			繋がる想い							
そうそう、あなたの協力へのお礼として、学長から、ラストスタンドの食事を振る舞うよう承っていますよ。共有会までは時間がありますし、これからどうですか？			そうそう、あなたの協力へのお礼として、学長から、ラストスタンドの食事を振る舞うよう承っていますよ。共有会までは時間がありますし、これからどうですか？			繋がる想い							
そうと決まれば、ラストスタンドに向かいましょう！			そうと決まれば、ラストスタンドに向かいましょう！			繋がる想い							
注文は済んでますから、ご安心を……！学長のおごりですし、どさくさ紛れに私のぶんも頼みましたので、めいっぱい、ふたりで楽しんじゃいましょう！			注文は済んでますから、ご安心を……！学長のおごりですし、どさくさ紛れに私のぶんも頼みましたので、めいっぱい、ふたりで楽しんじゃいましょう！			繋がる想い							
そうなんです、妹と言ったら、いつも岩みたいに硬いパンと野草ばかり食べて……いい加減、まともな食生活を……			そうなんです、妹と言ったら、いつも岩みたいに硬いパンと野草ばかり食べて……いい加減、まともな食生活を……			繋がる想い							
(-知りたがりのレポリット-)あなた、どこかで見た覚えが……もしかして、月に来たことがあるヒトッスか？			(-知りたがりのレポリット-)あなた、どこかで見た覚えが……もしかして、月に来たことがあるヒトッスか？			繋がる想い							
やっぱり！オイラはサーチングウェイ。面白そうなことを求めて、知の都をサーチしているッス。			やっぱり！オイラはサーチングウェイ。面白そうなことを求めて、知の都をサーチしているッス。			繋がる想い							
か、かわいい！アナタが噂のレポリットですか！あの、耳を触っても……？			か、かわいい！アナタが噂のレポリットですか！あの、耳を触っても……？			繋がる想い							
オイラの耳は、そう安くはないッス。触りたいなら、面白いことを教えてほしいッス。			オイラの耳は、そう安くはないッス。触りたいなら、面白いことを教えてほしいッス。			繋がる想い							
うーん、面白いことですか……。研究共有会は……アナタたちが見て面白いかどうか……。			うーん、面白いことですか……。研究共有会は……アナタたちが見て面白いかどうか……。			繋がる想い							
研究共有会……って何ッスか？			研究共有会……って何ッスか？			繋がる想い							
何と言う？			何と言う？			繋がる想い							
学生や教授が研究内容を発表する会			学生や教授が研究内容を発表する会			繋がる想い							
とにかく頑張ったことを自慢する会			とにかく頑張ったことを自慢する会			繋がる想い							
ざっくりしすぎです……。ここはシャーレアン魔法大学の職員であるこの私が、じっくり、どっぷり解説させていただきます！			ざっくりしすぎです……。ここはシャーレアン魔法大学の職員であるこの私が、じっくり、どっぷり解説させていただきます！			繋がる想い							
へぇ～、アーテリスでも最高の研究者たちが、新しく発見した知識だなんて、興味深いッスね……。オイラもついていっていいッス？			へぇ～、アーテリスでも最高の研究者たちが、新しく発見した知識だなんて、興味深いッスね……。オイラもついていっていいッス？			繋がる想い							
基本的に学内向けの催しなので……モンティシェーニュ学長の許可が必要だと思います。			基本的に学内向けの催しなので……モンティシェーニュ学長の許可が必要だと思います。			繋がる想い							
じゃあ、そのモン……なんとかさんと、話してみたいッス！おふたりさん案内してもらえるッス？			じゃあ、そのモン……なんとかさんと、話してみたいッス！おふたりさん案内してもらえるッス？			繋がる想い							
構いませんけど……断られても責任持てませんからね？学長には「公開講堂」に来てもらうよう伝えておきます。			構いませんけど……断られても責任持てませんからね？学長には「公開講堂」に来てもらうよう伝えておきます。			繋がる想い							
了解ッス！さっそく行ってみるッス！			了解ッス！さっそく行ってみるッス！			繋がる想い							
では、私たちも行きましょうか……って、耳……触らせてもらってない！！			では、私たちも行きましょうか……って、耳……触らせてもらってない！！			繋がる想い							
キィ君、Forename君。ワシに話があると聞いたが……？			キィ君、Forename君。ワシに話があると聞いたが……？			繋がる想い							
はい、レポリットのサーチングウェイさんが、是非とも研究共有会を見学したいとのことでして……。			はい、レポリットのサーチングウェイさんが、是非とも研究共有会を見学したいとのことでして……。			繋がる想い							
面白いことを求めて、アーテリスをサーチしてるッスけど、この魔法大学って場所は、知識の匂いがピョンピョンしてるッス！いったい、何をする場所ッスか？			面白いことを求めて、アーテリスをサーチしてるッスけど、この魔法大学って場所は、知識の匂いがピョンピョンしてるッス！いったい、何をする場所ッスか？			繋がる想い							
シャーレアン魔法大学は、知の都と謳われるシャーレアンにおいても最古の学術機関であり、学問を追い求める探求者たちが集う場所だ。			シャーレアン魔法大学は、知の都と謳われるシャーレアンにおいても最古の学術機関であり、学問を追い求める探求者たちが集う場所だ。			繋がる想い							
また、学問と学問を統合することで、新たな「知識」を生み出す場所でもある。			また、学問と学問を統合することで、新たな「知識」を生み出す場所でもある。			繋がる想い							
学問と学問を統合……なるほどッス。いまの説明を聞いて、俄然、研究共有会を見てみたくなったッス！			学問と学問を統合……なるほどッス。いまの説明を聞いて、俄然、研究共有会を見てみたくなったッス！			繋がる想い							
フォフォフォ……別に構わんよ。			フォフォフォ……別に構わんよ。			繋がる想い							
わかりました。学長がそうおっしゃるのであれば……ラヴィリンソスへの訪問手続きの方も進めておきますね！			わかりました。学長がそうおっしゃるのであれば……ラヴィリンソスへの訪問手続きの方も進めておきますね！			繋がる想い							
ああ、よろしく頼む。サーチングウェイ君もまた、知識の探求者のようなのでね。新たな知識の出会いを歓迎しようじゃないか。			ああ、よろしく頼む。サーチングウェイ君もまた、知識の探求者のようなのでね。新たな知識の出会いを歓迎しようじゃないか。			繋がる想い							
やったッス～！			やったッス～！			繋がる想い							
それでは、共有会の開始時間も近づいていますし、さっそく会場の「アポリア本部」まで向かいましょうか。			それでは、共有会の開始時間も近づいていますし、さっそく会場の「アポリア本部」まで向かいましょうか。			繋がる想い							
すごいッス！あれも、これもサーチするッスよ！			すごいッス！あれも、これもサーチするッスよ！			繋がる想い							
研究共有会は、楽しんでいただけたかな。			研究共有会は、楽しんでいただけたかな。			繋がる想い							
とても興味深かったッス！月で暮らすオイラたちには、まだまだ知らない知識はあると、思い直させてくれたッス。			とても興味深かったッス！月で暮らすオイラたちには、まだまだ知らない知識はあると、思い直させてくれたッス。			繋がる想い							
魔法大学の理念からすると、今日発表した研究も統合するつもりってことッスよね？			魔法大学の理念からすると、今日発表した研究も統合するつもりってことッスよね？			繋がる想い							
いかにも。学問と学問を統合することで、新たな知識を生み出す……研究共有会は、そのための場でもあるのじゃ。			いかにも。学問と学問を統合することで、新たな知識を生み出す……研究共有会は、そのための場でもあるのじゃ。			繋がる想い							
でも、どうやって統合するつもりッスか？それぞれの研究は独立してるように見えるッスけど……。			でも、どうやって統合するつもりッスか？それぞれの研究は独立してるように見えるッスけど……。			繋がる想い							
どうじゃ？すべての研究を見届けてきたおぬしなら、彼らの研究を発展させるための、良案が浮かぶのではないか？			どうじゃ？すべての研究を見届けてきたおぬしなら、彼らの研究を発展させるための、良案が浮かぶのではないか？			繋がる想い							
何と言う？			何と言う？			繋がる想い							
ラヴィリンソスに新たな役割を与える			ラヴィリンソスに新たな役割を与える			繋がる想い							
宇宙探査だ！			宇宙探査だ！			繋がる想い							
わからないが、未知の探求だ……！			わからないが、未知の探求だ……！			繋がる想い							
