トライヨラの武の院のマムージャ族は、冒険者のことを探しているようだ。			トライヨラの武の院のマムージャ族は、冒険者のことを探しているようだ。			トラル大陸のモブハント（初級）							
と言っても、基本は貴方の知るモブハント制度と同一でしょうな。なぜならばこの制度はそもそも、コーナ様のご提案をもとに、エオルゼアの文化を取り入れて設けたものなのですから。			と言っても、基本は貴方の知るモブハント制度と同一でしょうな。なぜならばこの制度はそもそも、コーナ様のご提案をもとに、エオルゼアの文化を取り入れて設けたものなのですから。			トラル大陸のモブハント（初級）							
然るに、狩人側がやることも同じ。手配書に記された害獣や魔物などを倒し、戦利品を持ち帰っていただければ、各種報酬と交換いたしますよ。			然るに、狩人側がやることも同じ。手配書に記された害獣や魔物などを倒し、戦利品を持ち帰っていただければ、各種報酬と交換いたしますよ。			トラル大陸のモブハント（初級）							
手始めに「初級」の手配書を確認できるようにしておきますので、ぜひ近隣地域にて狩猟に臨んでみてください。			手始めに「初級」の手配書を確認できるようにしておきますので、ぜひ近隣地域にて狩猟に臨んでみてください。			トラル大陸のモブハント（初級）							
なにはともあれ、まずはトラルに慣れていただくのが肝要ですからね！引き続き、よろしくお願いいたします！			なにはともあれ、まずはトラルに慣れていただくのが肝要ですからね！引き続き、よろしくお願いいたします！			トラル大陸のモブハント（初級）							
トライヨラの「トラルハントボード」から、「トラルモブ手配書：初級」を、入手できるようになりました。			トライヨラの「トラルハントボード」から、「トラルモブ手配書：初級」を、入手できるようになりました。			トラル大陸のモブハント（初級）							
手配書に記載されたモブの討伐に成功すると、トラルモブハント組合から、特別な報酬と交換できる、「モブハントの戦利品」を得ることができます。			手配書に記載されたモブの討伐に成功すると、トラルモブハント組合から、特別な報酬と交換できる、「モブハントの戦利品」を得ることができます。			トラル大陸のモブハント（初級）							
なお、報酬との交換は、トライヨラの「リュブージャ」より、行うことができます。			なお、報酬との交換は、トライヨラの「リュブージャ」より、行うことができます。			トラル大陸のモブハント（初級）							
また、「レベル94」以上になり、「メインクエスト」を特定の状態まで完了すると、ボロガーから、新たなクエストが受注できます。			また、「レベル94」以上になり、「メインクエスト」を特定の状態まで完了すると、ボロガーから、新たなクエストが受注できます。			トラル大陸のモブハント（初級）							
特殊ルール： レベルアジャストエクワーヤ広場の気の早い勇連隊士は、相棒の到着を待っているようだ。			特殊ルール： レベルアジャストエクワーヤ広場の気の早い勇連隊士は、相棒の到着を待っているようだ。			とりどりのマムージャ							
ブライトプルーム・ポスト内でブネワ族の勇連隊士を探す			ブライトプルーム・ポスト内でブネワ族の勇連隊士を探す			とりどりのマムージャ							
気の早い勇連隊士と話す			気の早い勇連隊士と話す			とりどりのマムージャ							
あんたはウクラマト様のご友人か……ちょうどいいところに。急ですまないが、ちょいと人を呼んできてもらえないか？			あんたはウクラマト様のご友人か……ちょうどいいところに。急ですまないが、ちょいと人を呼んできてもらえないか？			とりどりのマムージャ							
もう巡回に出る時間なのでね、相棒を探してきてほしいんだ。俺が呼びにいって、入れ違いになってもまずいからな。			もう巡回に出る時間なのでね、相棒を探してきてほしいんだ。俺が呼びにいって、入れ違いになってもまずいからな。			とりどりのマムージャ							
大方、ブライトプルーム・ポストの中で油を売ってるんだろう。相棒はマムージャのブネワ族……見ればすぐわかるような、青い鱗で、ギョロッとした目付きをしている奴だ！			大方、ブライトプルーム・ポストの中で油を売ってるんだろう。相棒はマムージャのブネワ族……見ればすぐわかるような、青い鱗で、ギョロッとした目付きをしている奴だ！			とりどりのマムージャ							
もう巡回に出る時間なんでな、ブライトプルーム・ポスト周辺で、俺の相棒である、マムージャのブネワ族を呼んできてくれ。青い鱗で、ギョロッとした目付きをしている奴だ！			もう巡回に出る時間なんでな、ブライトプルーム・ポスト周辺で、俺の相棒である、マムージャのブネワ族を呼んできてくれ。青い鱗で、ギョロッとした目付きをしている奴だ！			とりどりのマムージャ							
巡回の時間だぁ？おいおい、誰と間違えてやがるんだ……俺はたった今さっき仕事を終えたところだぜ。			巡回の時間だぁ？おいおい、誰と間違えてやがるんだ……俺はたった今さっき仕事を終えたところだぜ。			とりどりのマムージャ							
俺はドプロ族だぜ、間違えるなよな。ブネワ族の連中みたいな、ギョロギョロした目はしてないだろ？			俺はドプロ族だぜ、間違えるなよな。ブネワ族の連中みたいな、ギョロギョロした目はしてないだろ？			とりどりのマムージャ							
そのような任務は予定にないが……。いったい、誰と間違えているんだ？			そのような任務は予定にないが……。いったい、誰と間違えているんだ？			とりどりのマムージャ							
ブネワ族ならば、我々のような鶏冠がないだろう。異部族でも見分けはつきやすいはずだから、よくよく探してくれたまえ。			ブネワ族ならば、我々のような鶏冠がないだろう。異部族でも見分けはつきやすいはずだから、よくよく探してくれたまえ。			とりどりのマムージャ							
……なるほど、それはたしかに私のことでしょうが、あいにく我らが巡回に出る時間までは、まだ暇があります。どうやら、彼はまた腹時計で頃合いを計ったようですね。			……なるほど、それはたしかに私のことでしょうが、あいにく我らが巡回に出る時間までは、まだ暇があります。どうやら、彼はまた腹時計で頃合いを計ったようですね。			とりどりのマムージャ							
どうにも、せっかちなところが目立つ相棒なんですよ。時間はあるにせよ、そろそろ向かっておいてあげますか……声をかけてくださり、ありがとうございました。			どうにも、せっかちなところが目立つ相棒なんですよ。時間はあるにせよ、そろそろ向かっておいてあげますか……声をかけてくださり、ありがとうございました。			とりどりのマムージャ							
お手間を取らせてしまいましたね。相棒も、私が姿を見せて安心したようですよ。			お手間を取らせてしまいましたね。相棒も、私が姿を見せて安心したようですよ。			とりどりのマムージャ							
おう、呼んできてくれたんだな。相棒も、今さっき顔を見せたところだ。			おう、呼んできてくれたんだな。相棒も、今さっき顔を見せたところだ。			とりどりのマムージャ							
ほかにもマムージャ族の連中はいたでしょうに、すぐ私にお声がけくださったのは、お見事でした。我々の違いに相当お詳しい方と、お見受けしますよ。			ほかにもマムージャ族の連中はいたでしょうに、すぐ私にお声がけくださったのは、お見事でした。我々の違いに相当お詳しい方と、お見受けしますよ。			とりどりのマムージャ							
私の前に、ほかのマムージャ族にも声をかけたのではないですか？他部族の方には、我々のそれぞれの部族を、見分けるのに苦労する方もいるようですね。			私の前に、ほかのマムージャ族にも声をかけたのではないですか？他部族の方には、我々のそれぞれの部族を、見分けるのに苦労する方もいるようですね。			とりどりのマムージャ							
我々ブネワ族は魔力に優れており、賢士階級として、魔道士などの職につくものが多いです。一方、フビゴ族は身体能力に秀でた者が多い……。			我々ブネワ族は魔力に優れており、賢士階級として、魔道士などの職につくものが多いです。一方、フビゴ族は身体能力に秀でた者が多い……。			とりどりのマムージャ							
残るドプロ族は、家畜の扱いに長けた部族、今も向こうで、ウィヴルの世話をしていることでしょう。見かけ以外のそうした特徴も、どうぞご承知おきください。			残るドプロ族は、家畜の扱いに長けた部族、今も向こうで、ウィヴルの世話をしていることでしょう。見かけ以外のそうした特徴も、どうぞご承知おきください。			とりどりのマムージャ							
はは、相棒はこうやって講釈垂れがちなんだ！とにかく、あんたに呼んできてもらって助かったよ。			はは、相棒はこうやって講釈垂れがちなんだ！とにかく、あんたに呼んできてもらって助かったよ。			とりどりのマムージャ							
おっし……ぼちぼちいい時間になったな！それじゃ、行くか巡回に！			おっし……ぼちぼちいい時間になったな！それじゃ、行くか巡回に！			とりどりのマムージャ							
特殊ルール： レベルアジャスト満ちた玄関の早とちりな調理師は、自分宛の荷物を探しているようだ。			特殊ルール： レベルアジャスト満ちた玄関の早とちりな調理師は、自分宛の荷物を探しているようだ。			タコスに込める異国の風味							
ヒューラン族の船乗りと話す			ヒューラン族の船乗りと話す			タコスに込める異国の風味							
タコスのチーちゃん宛の荷物を持ち上げる			タコスのチーちゃん宛の荷物を持ち上げる			タコスに込める異国の風味							
早とちりな調理師のもとまでタコスのチーちゃん宛の荷物を運ぶ			早とちりな調理師のもとまでタコスのチーちゃん宛の荷物を運ぶ			タコスに込める異国の風味							
早とちりな調理師と話す			早とちりな調理師と話す			タコスに込める異国の風味							
あ、君ってもしかして！さっき入港してきた船の荷物のこと、わかるかなぁ……ちょっと頼みたいことがあるんだ！			あ、君ってもしかして！さっき入港してきた船の荷物のこと、わかるかなぁ……ちょっと頼みたいことがあるんだ！			タコスに込める異国の風味							
南側の桟橋にいる人に声をかけて、「タコスのチーちゃん」宛の、外つ国からの荷物が届いてないか確認してほしいんだ。こっち側に届くはずなんだけど、きっと間違えられたんだな。			南側の桟橋にいる人に声をかけて、「タコスのチーちゃん」宛の、外つ国からの荷物が届いてないか確認してほしいんだ。こっち側に届くはずなんだけど、きっと間違えられたんだな。			タコスに込める異国の風味							
で、もし荷物が届いてたら、店まで運んでほしいってワケ！僕は、もう店の準備に戻らなくちゃいけなくて……報酬は弾むから、よろしく頼むよー！			で、もし荷物が届いてたら、店まで運んでほしいってワケ！僕は、もう店の準備に戻らなくちゃいけなくて……報酬は弾むから、よろしく頼むよー！			タコスに込める異国の風味							
「タコスのチーちゃん宛の荷物」なら確かにこっちに届いてるね。エオルゼアから取り寄せたもんで、元々、こちらの桟橋で受け渡すことになっていたはずだが。			「タコスのチーちゃん宛の荷物」なら確かにこっちに届いてるね。エオルゼアから取り寄せたもんで、元々、こちらの桟橋で受け渡すことになっていたはずだが。			タコスに込める異国の風味							
あそこの調理師さん、作るタコスは絶品なんだが、どうにもそそっかしいというか、勘違いが多くてなあ。まあ、あんたが運んでくれるってんなら助かるよ。			あそこの調理師さん、作るタコスは絶品なんだが、どうにもそそっかしいというか、勘違いが多くてなあ。まあ、あんたが運んでくれるってんなら助かるよ。			タコスに込める異国の風味							
荷物は、そこの木箱に詰めてあるんで、悪いが「タコスのチーちゃん」まで運んでもらえるか？			荷物は、そこの木箱に詰めてあるんで、悪いが「タコスのチーちゃん」まで運んでもらえるか？			タコスに込める異国の風味							
「タコスのチーちゃん宛の荷物」なら、そこの木箱だぜ。店まで、運んでやってくれや。			「タコスのチーちゃん宛の荷物」なら、そこの木箱だぜ。店まで、運んでやってくれや。			タコスに込める異国の風味							
おっと、荷物が重かったか？「タコスのチーちゃん宛の荷物」、運んでやってくれや。			おっと、荷物が重かったか？「タコスのチーちゃん宛の荷物」、運んでやってくれや。			タコスに込める異国の風味							
あれれ？うちの店宛の、外つ国からの荷物は見つかったかい？南側の桟橋に人がいたら、探してみてよ！			あれれ？うちの店宛の、外つ国からの荷物は見つかったかい？南側の桟橋に人がいたら、探してみてよ！			タコスに込める異国の風味							
やあやあ、荷物を届けてくれたんだね、ありがとう！せっかく外つ国から取り寄せた料理書だから、船に積み忘れられでもしてたら、どうしようかと思ってさ。			やあやあ、荷物を届けてくれたんだね、ありがとう！せっかく外つ国から取り寄せた料理書だから、船に積み忘れられでもしてたら、どうしようかと思ってさ。			タコスに込める異国の風味							
ちょうど港に詳しい君みたいな人がいてくれて、とても助かったとも！			ちょうど港に詳しい君みたいな人がいてくれて、とても助かったとも！			タコスに込める異国の風味							
ええっ！　君って旅人さんだったの！？ごめんね、てっきり注文していた本を運んできてくれた、商船の船乗りなんだと、早とちりしちゃったよ……！			ええっ！　君って旅人さんだったの！？ごめんね、てっきり注文していた本を運んできてくれた、商船の船乗りなんだと、早とちりしちゃったよ……！			タコスに込める異国の風味							
このタコス屋は、外つ国からのお客さんも多いからさ。彼らの口に合う具材や味付けで、タコスを提供できればと、食の都と名高いリムサ・ロミンサの料理書を沢山取り寄せたんだ。			このタコス屋は、外つ国からのお客さんも多いからさ。彼らの口に合う具材や味付けで、タコスを提供できればと、食の都と名高いリムサ・ロミンサの料理書を沢山取り寄せたんだ。			タコスに込める異国の風味							
勘違いもあったけれど、君のおかげで助かったよ。運んでくれたお礼に、当店自慢のタコスをご馳走させてね！			勘違いもあったけれど、君のおかげで助かったよ。運んでくれたお礼に、当店自慢のタコスをご馳走させてね！			タコスに込める異国の風味							
特殊ルール： レベルアジャスト気球発着場のフブージャは、後輩の帰りを待っているようだ。			特殊ルール： レベルアジャスト気球発着場のフブージャは、後輩の帰りを待っているようだ。			気球飛ばしの眺める先							
雑貨屋の店員と話す			雑貨屋の店員と話す			気球飛ばしの眺める先							
ヘイザ・アロ族の若手整備士に金属製の気球部品を渡す			ヘイザ・アロ族の若手整備士に金属製の気球部品を渡す			気球飛ばしの眺める先							
フブージャと話す			フブージャと話す			気球飛ばしの眺める先							
あー……そこのアンタ、よかったら頼まれてくれないか？注文していた部品が届いたと連絡があったんで、後輩を使いに行かせたんだが、まだ戻ってこないんだ。			あー……そこのアンタ、よかったら頼まれてくれないか？注文していた部品が届いたと連絡があったんで、後輩を使いに行かせたんだが、まだ戻ってこないんだ。			気球飛ばしの眺める先							
あいにく俺は、気球の整備で手が離せなくてな。申し訳ないが、ベイサイド・ベヴィーの雑貨屋で、ヘイザ・アロ族の若手整備士が来なかったか、尋ねてきてくれ。			あいにく俺は、気球の整備で手が離せなくてな。申し訳ないが、ベイサイド・ベヴィーの雑貨屋で、ヘイザ・アロ族の若手整備士が来なかったか、尋ねてきてくれ。			気球飛ばしの眺める先							
申し訳ないが、ベイサイド・ベヴィーの雑貨屋へ行って、「ヘイザ・アロ族の若手整備士」を探してきてもらえないか？呼んできてくれたら、駄賃は渡すからさ。			申し訳ないが、ベイサイド・ベヴィーの雑貨屋へ行って、「ヘイザ・アロ族の若手整備士」を探してきてもらえないか？呼んできてくれたら、駄賃は渡すからさ。			気球飛ばしの眺める先							
気球発着場からの使いだって？いいや……来ていないね、今日はまだ。おおかた、また道草を食っているんだろうよ。			気球発着場からの使いだって？いいや……来ていないね、今日はまだ。おおかた、また道草を食っているんだろうよ。			気球飛ばしの眺める先							
彼を探しているなら、あんたに注文の品も預けておくよ！部品と探し人、両方揃って戻ったほうが、フブージャにとっても都合がいいだろう？			彼を探しているなら、あんたに注文の品も預けておくよ！部品と探し人、両方揃って戻ったほうが、フブージャにとっても都合がいいだろう？			気球飛ばしの眺める先							
お探しの「ヘイザ・アロ族の若手整備士」なら、よく「満ちた玄関」の桟橋辺りで眺めているからね、海を。あのあたりを探せば、きっと見つかるはずさ！			お探しの「ヘイザ・アロ族の若手整備士」なら、よく「満ちた玄関」の桟橋辺りで眺めているからね、海を。あのあたりを探せば、きっと見つかるはずさ！			気球飛ばしの眺める先							
お探しの「ヘイザ・アロ族の若手整備士」なら、よく「満ちた玄関」の桟橋辺りで眺めているからね、海を。部品の品代はツケておくから、気にしないでよ！			お探しの「ヘイザ・アロ族の若手整備士」なら、よく「満ちた玄関」の桟橋辺りで眺めているからね、海を。部品の品代はツケておくから、気にしないでよ！			気球飛ばしの眺める先							
……おぉっとすみません、つい海のほうばかり見ていて！えぇと、あなたは？			……おぉっとすみません、つい海のほうばかり見ていて！えぇと、あなたは？			気球飛ばしの眺める先							
先輩から頼まれて呼びにきてくれたんですか！？それに、商店から部品まで預かっていただいたと……まいったな、お手間をおかけしてすみません！			先輩から頼まれて呼びにきてくれたんですか！？それに、商店から部品まで預かっていただいたと……まいったな、お手間をおかけしてすみません！			気球飛ばしの眺める先							
もしかして、その出で立ち……外つ国からいらした方でしょうか？でしたら、お伺いしたいのですが……あなた、気球について詳しかったりしますでしょうか？			もしかして、その出で立ち……外つ国からいらした方でしょうか？でしたら、お伺いしたいのですが……あなた、気球について詳しかったりしますでしょうか？			気球飛ばしの眺める先							
何と答える？			何と答える？			気球飛ばしの眺める先							
全然知らない			全然知らない			気球飛ばしの眺める先							
詳しくはない			詳しくはない			気球飛ばしの眺める先							
作ったことがある！			作ったことがある！			気球飛ばしの眺める先							
そうなんですか。外つ国では飛空艇というものも浸透しているそうですし、空を飛ぶ手段も、気球に限らないのでしょうね。			そうなんですか。外つ国では飛空艇というものも浸透しているそうですし、空を飛ぶ手段も、気球に限らないのでしょうね。			気球飛ばしの眺める先							
存在や用途くらいは知っている……というところでしょうか？外つ国では、飛空艇というものが空の移動手段だそうですが、トラル大陸で空路を使う際は、気球に頼ることになります。			存在や用途くらいは知っている……というところでしょうか？外つ国では、飛空艇というものが空の移動手段だそうですが、トラル大陸で空路を使う際は、気球に頼ることになります。			気球飛ばしの眺める先							
ええっ作ったことが！？まさかそんな方にお会いできるとは……機を改めて、詳しくお話を伺いたいくらいです！			ええっ作ったことが！？まさかそんな方にお会いできるとは……機を改めて、詳しくお話を伺いたいくらいです！			気球飛ばしの眺める先							
僕は、気球の整備士としてはまだ駆け出し……。ですが、いつか自作の気球で大陸を飛び出し、この海を越えてみせるのが夢なんですよ！			僕は、気球の整備士としてはまだ駆け出し……。ですが、いつか自作の気球で大陸を飛び出し、この海を越えてみせるのが夢なんですよ！			気球飛ばしの眺める先							
最初に目指すは、オールド・シャーレアン！コーナ様が留学したという地まで、単独飛行が叶えば最高ですね。			最初に目指すは、オールド・シャーレアン！コーナ様が留学したという地まで、単独飛行が叶えば最高ですね。			気球飛ばしの眺める先							
それでつい、海を眺めに港に立ち寄る癖があるんですが……今日はちょっと、のんびりしすぎました。お使いの品もいただきましたし、先輩のもとへ戻らなくちゃ。			それでつい、海を眺めに港に立ち寄る癖があるんですが……今日はちょっと、のんびりしすぎました。お使いの品もいただきましたし、先輩のもとへ戻らなくちゃ。			気球飛ばしの眺める先							
おお、戻ったか！使いに出していた後輩なら、やっとこさ帰ってきた。なんでも、海辺でアンタに夢を語っていたとか……？			おお、戻ったか！使いに出していた後輩なら、やっとこさ帰ってきた。なんでも、海辺でアンタに夢を語っていたとか……？			気球飛ばしの眺める先							
いずれ気球で海を、ねぇ……。若いのがデカいことを語るのは、いいことだぁな。			いずれ気球で海を、ねぇ……。若いのがデカいことを語るのは、いいことだぁな。			気球飛ばしの眺める先							
コーナ様がもたらした技術や知識のおかげで、俺らの世代じゃ考えもしなかった夢を持つ若者が増えてきた。いずれ、そいつらがこの国を大きく変えるかもしれねぇ。			コーナ様がもたらした技術や知識のおかげで、俺らの世代じゃ考えもしなかった夢を持つ若者が増えてきた。いずれ、そいつらがこの国を大きく変えるかもしれねぇ。			気球飛ばしの眺める先							
俺なんかは、気球をきちんと整備し飛ばすってので精一杯だが……せめて、若い連中の夢が気球みたいにたっぷり膨らんでくよう、見守らせてもらうさ。			俺なんかは、気球をきちんと整備し飛ばすってので精一杯だが……せめて、若い連中の夢が気球みたいにたっぷり膨らんでくよう、見守らせてもらうさ。			気球飛ばしの眺める先							
ははっ、気球なんて飛ばす奴は、つい夢ばっか語っちまうな！これは今回の駄賃だ、あんがとうよ。			ははっ、気球なんて飛ばす奴は、つい夢ばっか語っちまうな！これは今回の駄賃だ、あんがとうよ。			気球飛ばしの眺める先							
特殊ルール： レベルアジャスト満ちた玄関にいるトウモロコシのような何かは、寂しげに佇んでいるようだ。			特殊ルール： レベルアジャスト満ちた玄関にいるトウモロコシのような何かは、寂しげに佇んでいるようだ。			はらへり旅情：立志篇							
※本クエストには「 レベルアジャスト」が、　設定されています。トウモロコシのような何かと話した。古い精霊を自称するこの謎めいた存在は、ひもじい思いをしている者に自らの実を割いたモロコシ料理を配りたいという。満ちた玄関の「モロコシ様」と話そう。			※本クエストには「 レベルアジャスト」が、　設定されています。トウモロコシのような何かと話した。古い精霊を自称するこの謎めいた存在は、ひもじい思いをしている者に自らの実を割いたモロコシ料理を配りたいという。満ちた玄関の「モロコシ様」と話そう。			はらへり旅情：立志篇							
モロコシ様と話した。モロコシ様を同行した状態で、トライヨラにいるはらへりの民と話そう。※同行状態が解除された場合、再度「モロコシ様」に話しかけることで同行を再開できます。			モロコシ様と話した。モロコシ様を同行した状態で、トライヨラにいるはらへりの民と話そう。※同行状態が解除された場合、再度「モロコシ様」に話しかけることで同行を再開できます。			はらへり旅情：立志篇							
モロコシ様とともに、はらへりの民と話した。焼きモロコシを配ったところ、皆が前向きになれたようだ。トライヨラの金煌なる旅程で「モロコシ様」と話そう。			モロコシ様とともに、はらへりの民と話した。焼きモロコシを配ったところ、皆が前向きになれたようだ。トライヨラの金煌なる旅程で「モロコシ様」と話そう。			はらへり旅情：立志篇							
モロコシ様と話した。トライヨラのグルージャジャ凱旋門の「モロコシ様」と話そう。			モロコシ様と話した。トライヨラのグルージャジャ凱旋門の「モロコシ様」と話そう。			はらへり旅情：立志篇							
モロコシ様と話した。まだまだ、はらへりの民を探すモロコシ様の旅は続くようだ。			モロコシ様と話した。まだまだ、はらへりの民を探すモロコシ様の旅は続くようだ。			はらへり旅情：立志篇							
モロコシ様と話して同行させる			モロコシ様と話して同行させる			はらへり旅情：立志篇							
モロコシ様を連れてはらへりの民と話す			モロコシ様を連れてはらへりの民と話す			はらへり旅情：立志篇							
連れているモロコシ様と金煌なる旅程で話す			連れているモロコシ様と金煌なる旅程で話す			はらへり旅情：立志篇							
再度モロコシ様と話す			再度モロコシ様と話す			はらへり旅情：立志篇							
(-トウモロコシ？-)…………。			(-トウモロコシ？-)…………。			はらへり旅情：立志篇							
トウモロコシのような何かが、海を見つめながら佇んでいる。			トウモロコシのような何かが、海を見つめながら佇んでいる。			はらへり旅情：立志篇							
(-トウモロコシ？-)ふぃ～、悲しいのぉ……。			(-トウモロコシ？-)ふぃ～、悲しいのぉ……。			はらへり旅情：立志篇							
何と言う？			何と言う？			はらへり旅情：立志篇							
なにが悲しい？			なにが悲しい？			はらへり旅情：立志篇							
悲しいねぇ……			悲しいねぇ……			はらへり旅情：立志篇							
(-トウモロコシ？-)お、おぬし……わしのこと見えるんか？			(-トウモロコシ？-)お、おぬし……わしのこと見えるんか？			はらへり旅情：立志篇							
(-トウモロコシ？-)ふぃ～、こがいに嬉しいことはないのぉ！			(-トウモロコシ？-)ふぃ～、こがいに嬉しいことはないのぉ！			はらへり旅情：立志篇							
(-トウモロコシ？-)わしゃ、古い古い精霊での……。大地に今ほど多くのヒトがおらんかった頃から、ずうっと畑の側から、みなの暮らしを見守ってきたんじゃ。			(-トウモロコシ？-)わしゃ、古い古い精霊での……。大地に今ほど多くのヒトがおらんかった頃から、ずうっと畑の側から、みなの暮らしを見守ってきたんじゃ。			はらへり旅情：立志篇							
(-トウモロコシ？-)じゃが、いつの頃からか、ヒトはわしのことを忘れてしもぉた。わしの声は届かず、姿は見えず、名も失われ、今じゃ消えかけの半端者……。			(-トウモロコシ？-)じゃが、いつの頃からか、ヒトはわしのことを忘れてしもぉた。わしの声は届かず、姿は見えず、名も失われ、今じゃ消えかけの半端者……。			はらへり旅情：立志篇							
(-トウモロコシ？-)わしゃ、寂しゅうて、悲しゅうて、だれか見つけてくれんものかと旅してきたのだけれども……わしの前を素通りする者ばかりで、落ち込んどったんじゃ。			(-トウモロコシ？-)わしゃ、寂しゅうて、悲しゅうて、だれか見つけてくれんものかと旅してきたのだけれども……わしの前を素通りする者ばかりで、落ち込んどったんじゃ。			はらへり旅情：立志篇							
(-トウモロコシ？-)おぬし、この老いぼれを哀れに思うなら、助けてくれんかいの？わしの望みは、ひもじい思いをしとる者らの腹を満たすことじゃ。			(-トウモロコシ？-)おぬし、この老いぼれを哀れに思うなら、助けてくれんかいの？わしの望みは、ひもじい思いをしとる者らの腹を満たすことじゃ。			はらへり旅情：立志篇							
(-トウモロコシ？-)腹ぁすかせると、ヒトの心にゃ悪いもんが入ってくる……そりゃあ、不幸なことじゃ。			(-トウモロコシ？-)腹ぁすかせると、ヒトの心にゃ悪いもんが入ってくる……そりゃあ、不幸なことじゃ。			はらへり旅情：立志篇							
(-トウモロコシ？-)ヒトは誰でも、生まれてきたんなら、幸せにならにゃいけん。じゃけえ、ようけモロコシ食って、腹も心も満たしてほしいんじゃ。			(-トウモロコシ？-)ヒトは誰でも、生まれてきたんなら、幸せにならにゃいけん。じゃけえ、ようけモロコシ食って、腹も心も満たしてほしいんじゃ。			はらへり旅情：立志篇							
(-トウモロコシ？-)なっ、ヒトに触れられんわしに代わって、はらへりの民らに、わしが己の実から作ったモロコシ料理を渡してくれんかいの？			(-トウモロコシ？-)なっ、ヒトに触れられんわしに代わって、はらへりの民らに、わしが己の実から作ったモロコシ料理を渡してくれんかいの？			はらへり旅情：立志篇							
(-トウモロコシ？-)ふぃ～、おぬしの心は太陽のようじゃ！よろしゅう頼むでの！			(-トウモロコシ？-)ふぃ～、おぬしの心は太陽のようじゃ！よろしゅう頼むでの！			はらへり旅情：立志篇							
ひとまず、この名もなき精霊を「モロコシ様」と呼ぶことにした。一緒にモロコシ料理を配りにいく準備が整ったら、「モロコシ様」に話しかけよう。			ひとまず、この名もなき精霊を「モロコシ様」と呼ぶことにした。一緒にモロコシ料理を配りにいく準備が整ったら、「モロコシ様」に話しかけよう。			はらへり旅情：立志篇							
さっそく、はらへりの民らにモロコシ届けに行くでの。			さっそく、はらへりの民らにモロコシ届けに行くでの。			はらへり旅情：立志篇							
ふぃ～、ヒトに己の実を割いて食ってもらうんは久しぶりじゃけぇ、ぶち楽しみじゃ！			ふぃ～、ヒトに己の実を割いて食ってもらうんは久しぶりじゃけぇ、ぶち楽しみじゃ！			はらへり旅情：立志篇							
何をする？			何をする？			はらへり旅情：立志篇							
話す			話す			はらへり旅情：立志篇							
同行状態を解除する			同行状態を解除する			はらへり旅情：立志篇							
キャンセル			キャンセル			はらへり旅情：立志篇							
何しよるんかいの？はよう、モロコシ配りに行きたいんじゃ！			何しよるんかいの？はよう、モロコシ配りに行きたいんじゃ！			はらへり旅情：立志篇							
何しよるんかいの？ちと話したいことがあるけえ、向こうに行きたいんじゃ！			何しよるんかいの？ちと話したいことがあるけえ、向こうに行きたいんじゃ！			はらへり旅情：立志篇							
