イディルシャイアのイロアズは、冒険者に興味があるようだ。			イディルシャイアのイロアズは、冒険者に興味があるようだ。			イシュガルドのモブハント（上級）							
荷運びの冒険者と話す			荷運びの冒険者と話す			イディルシャイアでこんにちは							
熟れた果実を入手			熟れた果実を入手			イディルシャイアでこんにちは							
荷運びの冒険者に熟れた果実を渡す			荷運びの冒険者に熟れた果実を渡す			イディルシャイアでこんにちは							
ミッドナイト・デューに報告			ミッドナイト・デューに報告			イディルシャイアでこんにちは							
アンタ、仕事を手伝ってみないかい？			アンタ、仕事を手伝ってみないかい？			イディルシャイアでこんにちは							
ここは、寄せ集めが作った新興の集落だからね。お互いを知るには、一緒に働くのが手っ取り早いのさ。そうだね……試してみようじゃないか。			ここは、寄せ集めが作った新興の集落だからね。お互いを知るには、一緒に働くのが手っ取り早いのさ。そうだね……試してみようじゃないか。			イディルシャイアでこんにちは							
アタシたちの同業の冒険者が、そこらで荷運びをしてるはずだ。ちょいと、奴の手伝いに行っておくれ。			アタシたちの同業の冒険者が、そこらで荷運びをしてるはずだ。ちょいと、奴の手伝いに行っておくれ。			イディルシャイアでこんにちは							
アタシたちの同業の冒険者が、そこらで荷運びをしてるはずだ。ちょいと、奴の手伝いに行っておくれ。			アタシたちの同業の冒険者が、そこらで荷運びをしてるはずだ。ちょいと、奴の手伝いに行っておくれ。			イディルシャイアでこんにちは							
……ん？　あれ！？壺の底に穴が空いてるぞ……どうりで軽いと思った！			……ん？　あれ！？壺の底に穴が空いてるぞ……どうりで軽いと思った！			イディルシャイアでこんにちは							
……おおっ、あんた、ちょうどいいところに！手が空いてたら、そこら辺に「熟れた果実」がないか、探してみちゃくれないかな？			……おおっ、あんた、ちょうどいいところに！手が空いてたら、そこら辺に「熟れた果実」がないか、探してみちゃくれないかな？			イディルシャイアでこんにちは							
……おおっ、あんた、ちょうどいいところに！手が空いてたら、そこら辺に「熟れた果実」がないか、探してみちゃくれないかな？			……おおっ、あんた、ちょうどいいところに！手が空いてたら、そこら辺に「熟れた果実」がないか、探してみちゃくれないかな？			イディルシャイアでこんにちは							
シュコォ……シュコォ……冒険者　熟れた果実を　拾ったぞ～持ち主　探して　渡してちょ～だい			シュコォ……シュコォ……冒険者　熟れた果実を　拾ったぞ～持ち主　探して　渡してちょ～だい			イディルシャイアでこんにちは							
シュコォ……シュコォ……ゴロゴロ転がる　熟れた果実　拾ったぞ～探してたのなら　はいどうぞ～			シュコォ……シュコォ……ゴロゴロ転がる　熟れた果実　拾ったぞ～探してたのなら　はいどうぞ～			イディルシャイアでこんにちは							
シュコォ……シュコォ……持ち主に　熟れた果実　渡せたか～？			シュコォ……シュコォ……持ち主に　熟れた果実　渡せたか～？			イディルシャイアでこんにちは							
シュコォ……シュコォ……熟れた果実　転がってきたときゃ　ビックリしたぞ～！			シュコォ……シュコォ……熟れた果実　転がってきたときゃ　ビックリしたぞ～！			イディルシャイアでこんにちは							
……おおっ、あんた、ちょうどいいところに！手が空いてたら、そこら辺に「熟れた果実」がないか、探してみちゃくれないかな？			……おおっ、あんた、ちょうどいいところに！手が空いてたら、そこら辺に「熟れた果実」がないか、探してみちゃくれないかな？			イディルシャイアでこんにちは							
ひぃ、ふぅ、みぃ……。ちゃんと、全部あるみたいだ！ありがとな、助かった！！			ひぃ、ふぅ、みぃ……。ちゃんと、全部あるみたいだ！ありがとな、助かった！！			イディルシャイアでこんにちは							
……って、あんた、ミッドナイト・デューに言われてきたのか。ははっ！　挨拶する前に、世話になっちまった。これからもよろしくな！			……って、あんた、ミッドナイト・デューに言われてきたのか。ははっ！　挨拶する前に、世話になっちまった。これからもよろしくな！			イディルシャイアでこんにちは							
お前さんのおかげで、果実が全部集まったぜ。これからもよろしくな！			お前さんのおかげで、果実が全部集まったぜ。これからもよろしくな！			イディルシャイアでこんにちは							
戻ってきたね……。どうやら、その様子だとウチの仲間たちと、上手くやっていけそうじゃないか。			戻ってきたね……。どうやら、その様子だとウチの仲間たちと、上手くやっていけそうじゃないか。			イディルシャイアでこんにちは							
アタシらも、来たばかりの時は、荒れてたけどね。今じゃ、ここで出会ったゴブリン族とも意気投合して、お互い支えあいながら、新しい街をこさえようとしてるのさ。			アタシらも、来たばかりの時は、荒れてたけどね。今じゃ、ここで出会ったゴブリン族とも意気投合して、お互い支えあいながら、新しい街をこさえようとしてるのさ。			イディルシャイアでこんにちは							
助け合うってことに、種族なんて関係ない。案外、ゴブリン族とわかりあうのも簡単なんだ。試すようなことをしてすまなかったね、よろしく頼むよ。			助け合うってことに、種族なんて関係ない。案外、ゴブリン族とわかりあうのも簡単なんだ。試すようなことをしてすまなかったね、よろしく頼むよ。			イディルシャイアでこんにちは							
イディルシャイアのゲイムロナは、冒険者に話があるようだ。			イディルシャイアのゲイムロナは、冒険者に話があるようだ。			お得意様アドキラー							
崖っぷち亭のアドキラーと話す			崖っぷち亭のアドキラーと話す			お得意様アドキラー							
これは冒険者様、いつもご利用いただきありがとうございます。			これは冒険者様、いつもご利用いただきありがとうございます。			お得意様アドキラー							
先日は、シロ・アリアポーの後援を快諾してくださったようで、僭越ながら、私からもお礼を言わせてください。あの子ったら、あなた様のことを楽しそうに話すのですよ。			先日は、シロ・アリアポーの後援を快諾してくださったようで、僭越ながら、私からもお礼を言わせてください。あの子ったら、あなた様のことを楽しそうに話すのですよ。			お得意様アドキラー							
ところで、またしてもあなた様に頼ってしまい恐縮なのですが……崖っぷち亭の店主、アドキラーさんをご存知でしょうか？			ところで、またしてもあなた様に頼ってしまい恐縮なのですが……崖っぷち亭の店主、アドキラーさんをご存知でしょうか？			お得意様アドキラー							
ここのところ、どこか思い詰めている様子が気になっていまして……。心なしか、ポーキーの被り物でも物憂げに見えるような……。			ここのところ、どこか思い詰めている様子が気になっていまして……。心なしか、ポーキーの被り物でも物憂げに見えるような……。			お得意様アドキラー							
とにかく、私がお声を掛けようにも、商売敵と思われているのか、警戒されてしまいまして……。			とにかく、私がお声を掛けようにも、商売敵と思われているのか、警戒されてしまいまして……。			お得意様アドキラー							
もしよろしければ、お仕事のついでにでも、崖っぷち亭の「アドキラー」さんの様子を見ていただけませんか？			もしよろしければ、お仕事のついでにでも、崖っぷち亭の「アドキラー」さんの様子を見ていただけませんか？			お得意様アドキラー							
もしよろしければ、お仕事のついでにでも、崖っぷち亭の「アドキラー」さんの様子を見ていただけませんか？			もしよろしければ、お仕事のついでにでも、崖っぷち亭の「アドキラー」さんの様子を見ていただけませんか？			お得意様アドキラー							
……うん？　珍しい客だな。我が「崖っぷち亭」の客、というわけではなさそうだが、このプリチー店主、アドキラーに何用か？			……うん？　珍しい客だな。我が「崖っぷち亭」の客、というわけではなさそうだが、このプリチー店主、アドキラーに何用か？			お得意様アドキラー							
アドキラーさんが、ここ最近思い詰めているようだったので、きっと、心配して来てくださったんですよ！			アドキラーさんが、ここ最近思い詰めているようだったので、きっと、心配して来てくださったんですよ！			お得意様アドキラー							
そうですよね、Forenameさん？			そうですよね、Forenameさん？			お得意様アドキラー							
フッ……順風満帆な店主人生を謳歌するこの我に、思い詰めることなど、あるはずもなかろう？このつぶらなおめめを見たまえ、悩みなど皆無だろうにッ！			フッ……順風満帆な店主人生を謳歌するこの我に、思い詰めることなど、あるはずもなかろう？このつぶらなおめめを見たまえ、悩みなど皆無だろうにッ！			お得意様アドキラー							
そうそう、さっきアドキラーさんが真剣に見ていたものって、この崖っぷち亭の帳簿ですよね？			そうそう、さっきアドキラーさんが真剣に見ていたものって、この崖っぷち亭の帳簿ですよね？			お得意様アドキラー							
久々に拝見させて…………………………えっ！？			久々に拝見させて…………………………えっ！？			お得意様アドキラー							
ぬあ！？ここここれは……！			ぬあ！？ここここれは……！			お得意様アドキラー							
大赤字！？？			大赤字！？？			お得意様アドキラー							
フ……ハハハハハハハ！そ、そそ、そんなわけ……！			フ……ハハハハハハハ！そ、そそ、そんなわけ……！			お得意様アドキラー							
ここのところ、東方だのなんだのに冒険者たちが浮かれおって、イディルシャイアなど見向きもしなくなってな……。まあ、なんだ……まさに、崖っぷちってことだなぁ！			ここのところ、東方だのなんだのに冒険者たちが浮かれおって、イディルシャイアなど見向きもしなくなってな……。まあ、なんだ……まさに、崖っぷちってことだなぁ！			お得意様アドキラー							
アドキラーさん！私にできることがあれば言ってください！なんなら、とっておきのフラットブレッドをお店に提供しますよ！			アドキラーさん！私にできることがあれば言ってください！なんなら、とっておきのフラットブレッドをお店に提供しますよ！			お得意様アドキラー							
でも……だって……このお店が潰れてしまったら、崖っぷち亭の一室を借りているメネフィナの家は……子供たちの住む家は、どうなってしまうのでしょう……？			でも……だって……このお店が潰れてしまったら、崖っぷち亭の一室を借りているメネフィナの家は……子供たちの住む家は、どうなってしまうのでしょう……？			お得意様アドキラー							
せっかくForenameさんにも、ご協力いただいているのに……。			せっかくForenameさんにも、ご協力いただいているのに……。			お得意様アドキラー							
(-慌てた様子の女性-)ハァ……ハァ……。お願いです、どうか、どうか……。かくまっていただけないでしょうか……！			(-慌てた様子の女性-)ハァ……ハァ……。お願いです、どうか、どうか……。かくまっていただけないでしょうか……！			お得意様アドキラー							
わわっ、なにごとですか！？			わわっ、なにごとですか！？			お得意様アドキラー							
トラブル発生……か。だが困っている女を見過ごすことはできぬ！さあ、早くこっちに来て、これを着るがよいぞ！			トラブル発生……か。だが困っている女を見過ごすことはできぬ！さあ、早くこっちに来て、これを着るがよいぞ！			お得意様アドキラー							
………………あぁ、あんたら店員なのか。			………………あぁ、あんたら店員なのか。			お得意様アドキラー							
イシュガルドから逃亡してきた女を知らないか？メロディーという名の女だ。嘘をついたら……容赦はしない。			イシュガルドから逃亡してきた女を知らないか？メロディーという名の女だ。嘘をついたら……容赦はしない。			お得意様アドキラー							
フッ……そのような女、知らぬなぁ？もっとも、この店で暴れることは、この店主アドキラーと……			フッ……そのような女、知らぬなぁ？もっとも、この店で暴れることは、この店主アドキラーと……			お得意様アドキラー							
そこの、冒険者Forenameが許さぬがなぁ！			そこの、冒険者Forenameが許さぬがなぁ！			お得意様アドキラー							
…………フン、そうかい。新しい雇い主様が大層ご立腹でな。邪魔したな。			…………フン、そうかい。新しい雇い主様が大層ご立腹でな。邪魔したな。			お得意様アドキラー							
……いったい、何があったんですか？			……いったい、何があったんですか？			お得意様アドキラー							
私はイシュガルドの、とある貴族の元で奉公する使用人でした。ですが、主からの酷い扱いに耐え兼ね……。夢中で逃げているうちに、この地にたどり着きましたわ……。			私はイシュガルドの、とある貴族の元で奉公する使用人でした。ですが、主からの酷い扱いに耐え兼ね……。夢中で逃げているうちに、この地にたどり着きましたわ……。			お得意様アドキラー							
幸か不幸か、残してきた家族はおりません！どうか、私をここで雇ってはいただけないでしょうか？イシュガルドに戻ったら、どんな酷い目に遭うか……。			幸か不幸か、残してきた家族はおりません！どうか、私をここで雇ってはいただけないでしょうか？イシュガルドに戻ったら、どんな酷い目に遭うか……。			お得意様アドキラー							
ふむ、事情はわかった。崖っぷち亭の店員として、我の店で働くがよい。ただし……この店の経営状況は火の車だがなぁ！			ふむ、事情はわかった。崖っぷち亭の店員として、我の店で働くがよい。ただし……この店の経営状況は火の車だがなぁ！			お得意様アドキラー							
そうだ！私、画期的な案をひらめいちゃいましたよ！この店で、新しいメニューを提供してはいかがでしょう？			そうだ！私、画期的な案をひらめいちゃいましたよ！この店で、新しいメニューを提供してはいかがでしょう？			お得意様アドキラー							
メロディーさん、使用人として働いていたのなら、イシュガルド料理などにも、詳しいのではないですか？もしそうでしたら、ぜひ新メニューの開発に力を貸してください！			メロディーさん、使用人として働いていたのなら、イシュガルド料理などにも、詳しいのではないですか？もしそうでしたら、ぜひ新メニューの開発に力を貸してください！			お得意様アドキラー							
ええ、もちろんです！イシュガルド料理のことでしたら、私もお力になれるはずです！喜んでお手伝いさせていただきますわ！			ええ、もちろんです！イシュガルド料理のことでしたら、私もお力になれるはずです！喜んでお手伝いさせていただきますわ！			お得意様アドキラー							
足りない素材や食器、調理器具といった品々は、熟練の職人さんの協力を得て、収集品として調達するんです！Forenameさん、腕の見せどころですよ！			足りない素材や食器、調理器具といった品々は、熟練の職人さんの協力を得て、収集品として調達するんです！Forenameさん、腕の見せどころですよ！			お得意様アドキラー							
みんなの力で、崖っぷち亭を盛り上げることができれば、相乗効果でイディルシャイアの活性化にもつながるはずですよ！スクリップのお支払いができるよう、ロウェナさんに頼んでみます！			みんなの力で、崖っぷち亭を盛り上げることができれば、相乗効果でイディルシャイアの活性化にもつながるはずですよ！スクリップのお支払いができるよう、ロウェナさんに頼んでみます！			お得意様アドキラー							
う、うむ……我が口を挟む間もなく決まってしまった……。			う、うむ……我が口を挟む間もなく決まってしまった……。			お得意様アドキラー							
だが、シロ嬢の考えにも一理ある……。このアドキラー、貴様に賭けてみることにしたぞ！崖っぷち亭を崖っぷちから救うため、我に力を貸してほしい！			だが、シロ嬢の考えにも一理ある……。このアドキラー、貴様に賭けてみることにしたぞ！崖っぷち亭を崖っぷちから救うため、我に力を貸してほしい！			お得意様アドキラー							
うん？　報酬については心配いらぬ。このまま、あのロウェナ商会が出資者として絡むとなれば、少なくとも職人である貴様は損をしないはずだ……。			うん？　報酬については心配いらぬ。このまま、あのロウェナ商会が出資者として絡むとなれば、少なくとも職人である貴様は損をしないはずだ……。			お得意様アドキラー							
たとえロウェナ商会に我の利益が喰らい尽くされようが……崖っぷち亭が、崖の下に堕ちるよりはマシというものである。すまぬが「イシュガルド料理必需品」を調達してきてくれ！			たとえロウェナ商会に我の利益が喰らい尽くされようが……崖っぷち亭が、崖の下に堕ちるよりはマシというものである。すまぬが「イシュガルド料理必需品」を調達してきてくれ！			お得意様アドキラー							
イディルシャイアのドライドクスは、ガラクタを前にして慌てているようだ。			イディルシャイアのドライドクスは、ガラクタを前にして慌てているようだ。			大事な大事なガラクタ							
ドライドクスから話を聞いた。袋に入れて集めていた廃品を、誰かに盗まれたらしい。低地ドラヴァニアのシャーレアン工匠街で、「ガラクタ袋」を4つ探しだそう。			ドライドクスから話を聞いた。袋に入れて集めていた廃品を、誰かに盗まれたらしい。低地ドラヴァニアのシャーレアン工匠街で、「ガラクタ袋」を4つ探しだそう。			大事な大事なガラクタ							
