トメラの村の噂好きのドワーフは、困っているようだ。			トメラの村の噂好きのドワーフは、困っているようだ。			コメラの村の事件							
まったく……お前って奴は！！今日は晩飯抜きだ！！			まったく……お前って奴は！！今日は晩飯抜きだ！！			コメラの村の事件							
ヒイイイッ……！！！そんなぁ～……。			ヒイイイッ……！！！そんなぁ～……。			コメラの村の事件							
しかし……坑道の番人に兄弟がいたとはな……。知らなかった……。			しかし……坑道の番人に兄弟がいたとはな……。知らなかった……。			コメラの村の事件							
あぁ、アナタに打ちのめされて目が覚めた。これからは心を入れ替えて、真面目に生きていくよ。			あぁ、アナタに打ちのめされて目が覚めた。これからは心を入れ替えて、真面目に生きていくよ。			コメラの村の事件							
自らの努力で夢を掴みとってこそ、一人前ってもんだよな。よし、まずはカネだ。カネさえあれば、すべてを手に入れられる！			自らの努力で夢を掴みとってこそ、一人前ってもんだよな。よし、まずはカネだ。カネさえあれば、すべてを手に入れられる！			コメラの村の事件							
特殊ルール： レベルアジャストトメラの村の噂好きのドワーフは、冒険者に頼みたいことがあるようだ。			特殊ルール： レベルアジャストトメラの村の噂好きのドワーフは、冒険者に頼みたいことがあるようだ。			コメラの村の噂							
コメラの村の外れにある坑道前にいる坑道の番人と話す			コメラの村の外れにある坑道前にいる坑道の番人と話す			コメラの村の噂							
ドワーフ族の親方と話す			ドワーフ族の親方と話す			コメラの村の噂							
アノッグと話す			アノッグと話す			コメラの村の噂							
オートマトンのコアを入手			オートマトンのコアを入手			コメラの村の噂							
アノッグにオートマトンのコアを渡す			アノッグにオートマトンのコアを渡す			コメラの村の噂							
坑道用のランタンを入手			坑道用のランタンを入手			コメラの村の噂							
ドワーフ族の親方に坑道用のランタンを渡す			ドワーフ族の親方に坑道用のランタンを渡す			コメラの村の噂							
トメラの村にいる噂好きのドワーフに報告			トメラの村にいる噂好きのドワーフに報告			コメラの村の噂							
なあ、コメラの村の噂を知っているか？何でも珍しい資源が発掘されたらしいのだが……噂が本当かどうか確かめてきてくれないか？			なあ、コメラの村の噂を知っているか？何でも珍しい資源が発掘されたらしいのだが……噂が本当かどうか確かめてきてくれないか？			コメラの村の噂							
様子がわかったら、報告しにきてくれ。うーん……どんな資源が発掘できるんだろう……？			様子がわかったら、報告しにきてくれ。うーん……どんな資源が発掘できるんだろう……？			コメラの村の噂							
様子がわかったら、報告しにきてくれ。うーん……どんな資源が発掘できるんだろう……？			様子がわかったら、報告しにきてくれ。うーん……どんな資源が発掘できるんだろう……？			コメラの村の噂							
ここは現在、貴重な資源を発掘しているんだ。関係者以外は立ち入り禁止だよ。			ここは現在、貴重な資源を発掘しているんだ。関係者以外は立ち入り禁止だよ。			コメラの村の噂							
でも……まあ、時と場合によっては、ここを通してあげてもいい。			でも……まあ、時と場合によっては、ここを通してあげてもいい。			コメラの村の噂							
…………。			…………。			コメラの村の噂							
……ほら、大人だからわかるでしょう？			……ほら、大人だからわかるでしょう？			コメラの村の噂							
もう～物わかりの悪い人だな！			もう～物わかりの悪い人だな！			コメラの村の噂							
具体的に言うと10000ギルを、アナタが、ボクに、くれればいいの。そうすれば、ここを通してあげるって言ってるの！			具体的に言うと10000ギルを、アナタが、ボクに、くれればいいの。そうすれば、ここを通してあげるって言ってるの！			コメラの村の噂							
通行料を支払いますか？			通行料を支払いますか？			コメラの村の噂							
じゃあいいよ。ここは永久に通さないから！			じゃあいいよ。ここは永久に通さないから！			コメラの村の噂							
へへっ……最初からそうやってカネを出していれば……。			へへっ……最初からそうやってカネを出していれば……。			コメラの村の噂							
コラアアアアアアアアッ！！！ちゃんと番をしてろって言ってるだろうが！！！			コラアアアアアアアアッ！！！ちゃんと番をしてろって言ってるだろうが！！！			コメラの村の噂							
ヒイイッ！！　親方！！！			ヒイイッ！！　親方！！！			コメラの村の噂							
今日の晩飯は抜きだ！！			今日の晩飯は抜きだ！！			コメラの村の噂							
ヒイイイッ……！！！			ヒイイイッ……！！！			コメラの村の噂							
うううっ辛い……人にコキ使われるのは辛スギル……。クソッ……カネだ……カネさえあれば……ボクは……。			うううっ辛い……人にコキ使われるのは辛スギル……。クソッ……カネだ……カネさえあれば……ボクは……。			コメラの村の噂							
というわけで、ここは立ち入り禁止だ……。どうしても入りたきゃ、そこにいる「ドワーフ族の親方」に、かけあってみるんだな。			というわけで、ここは立ち入り禁止だ……。どうしても入りたきゃ、そこにいる「ドワーフ族の親方」に、かけあってみるんだな。			コメラの村の噂							
ここは立ち入り禁止だ。どうしても入りたきゃ、そこにいる「ドワーフ族の親方」に、かけあってみるんだな。			ここは立ち入り禁止だ。どうしても入りたきゃ、そこにいる「ドワーフ族の親方」に、かけあってみるんだな。			コメラの村の噂							
貴重な資源が出土したのでな、採掘現場への道は「坑道の番人」に見張らせているんだ。			貴重な資源が出土したのでな、採掘現場への道は「坑道の番人」に見張らせているんだ。			コメラの村の噂							
ところで……あんた、もしかして面接に応募してきた人か？悪いが、実はもう決まっちまったんだ。			ところで……あんた、もしかして面接に応募してきた人か？悪いが、実はもう決まっちまったんだ。			コメラの村の噂							
ドワーフ族の親方に何と言う？			ドワーフ族の親方に何と言う？			コメラの村の噂							
面接って何のこと？			面接って何のこと？			コメラの村の噂							
この洞窟は？			この洞窟は？			コメラの村の噂							
最近この洞窟の奥で、未知の遺跡が発掘されたんだ。珍しい機械が沢山出てくるから、俺たちは「機械遺跡」って呼んでる。			最近この洞窟の奥で、未知の遺跡が発掘されたんだ。珍しい機械が沢山出てくるから、俺たちは「機械遺跡」って呼んでる。			コメラの村の噂							
それで、ここの門番を募集してたんだけどね。ちょうど先週に決まったところなんだ。			それで、ここの門番を募集してたんだけどね。ちょうど先週に決まったところなんだ。			コメラの村の噂							
まあ、こうやって経済を回すのは良い事だよな、うん。			まあ、こうやって経済を回すのは良い事だよな、うん。			コメラの村の噂							
そうだ、ついでにひとつ伝言を頼みたいのだが……。コメラの村に白い服と黒い服を着た、「アノッグ」とコノッグという双子の姉弟がいてな。			そうだ、ついでにひとつ伝言を頼みたいのだが……。コメラの村に白い服と黒い服を着た、「アノッグ」とコノッグという双子の姉弟がいてな。			コメラの村の噂							
そいつらに、この遺跡はお前らのような、子供の来る場所ではない！　と言っておいてくれないか？仕事の邪魔をされて困っているんだ、よろしく頼む。			そいつらに、この遺跡はお前らのような、子供の来る場所ではない！　と言っておいてくれないか？仕事の邪魔をされて困っているんだ、よろしく頼む。			コメラの村の噂							
悪いね。ここは立入禁止なんだ。			悪いね。ここは立入禁止なんだ。			コメラの村の噂							
「アノッグ」とコノッグという双子の姉弟だ。コメラの村にいるはずだから、伝言を頼む。			「アノッグ」とコノッグという双子の姉弟だ。コメラの村にいるはずだから、伝言を頼む。			コメラの村の噂							
ん？　何か用か？			ん？　何か用か？			コメラの村の噂							
ふむふむ……ドワーフ族の親方から伝言？今はそんなことにかまっている場合ではないのだ。			ふむふむ……ドワーフ族の親方から伝言？今はそんなことにかまっている場合ではないのだ。			コメラの村の噂							
あ……もしや、この人は……			あ……もしや、この人は……			コメラの村の噂							
噂に聞く「ヨソ者」のようだよ、アノッグ。コイツを利用しようよ。			噂に聞く「ヨソ者」のようだよ、アノッグ。コイツを利用しようよ。			コメラの村の噂							
おお、そうだな。コノッグは賢いな。			おお、そうだな。コノッグは賢いな。			コメラの村の噂							
あー、コホン。キミはどうやらヨソ者のようだが……ちょっと頼まれてくれないか？			あー、コホン。キミはどうやらヨソ者のようだが……ちょっと頼まれてくれないか？			コメラの村の噂							
ワタシ達姉弟は、とある秘密の研究をしている。その研究に必要な「オートマトンのコア」を取ってきて欲しいんだ。			ワタシ達姉弟は、とある秘密の研究をしている。その研究に必要な「オートマトンのコア」を取ってきて欲しいんだ。			コメラの村の噂							
アノッグに何と言う？			アノッグに何と言う？			コメラの村の噂							
なぜ？			なぜ？			コメラの村の噂							
自分で取りに行かないのか？			自分で取りに行かないのか？			コメラの村の噂							
ボク達は知ってるんだ。この世界のヨソ者は「お使い」が大好きだって。困ってる人を見ていると助けずにはいられないらしいじゃないか？			ボク達は知ってるんだ。この世界のヨソ者は「お使い」が大好きだって。困ってる人を見ていると助けずにはいられないらしいじゃないか？			コメラの村の噂							
アノッグとコノッグを助けますか？			アノッグとコノッグを助けますか？			コメラの村の噂							
助ける			助ける			コメラの村の噂							
助けない			助けない			コメラの村の噂							
ちぇっ、ケチー！！			ちぇっ、ケチー！！			コメラの村の噂							
ケチー！！			ケチー！！			コメラの村の噂							
でも、そんなつれない事を言いながらも、実は助けたくて仕方がないのだろう？ワタシは何でもお見通しなのだ。			でも、そんなつれない事を言いながらも、実は助けたくて仕方がないのだろう？ワタシは何でもお見通しなのだ。			コメラの村の噂							
さすが、噂に聞く旅人。			さすが、噂に聞く旅人。			コメラの村の噂							
ではさっそく、「オートマトンのコア」の在り処を教えよう。村外れに資材置き場があるから、こっそり仕入れてくるんだ。手に入れたら、「アノッグ」に渡してくれ。			ではさっそく、「オートマトンのコア」の在り処を教えよう。村外れに資材置き場があるから、こっそり仕入れてくるんだ。手に入れたら、「アノッグ」に渡してくれ。			コメラの村の噂							
お使いを頼んだからな。「オートマトンのコア」だぞ。			お使いを頼んだからな。「オートマトンのコア」だぞ。			コメラの村の噂							
お使いを頼んだからな。「オートマトンのコア」があるのは、村外れの資材置き場だぞ。			お使いを頼んだからな。「オートマトンのコア」があるのは、村外れの資材置き場だぞ。			コメラの村の噂							
今は取り込み中だぞ。「アノッグ」と作戦会議をしているのだ。			今は取り込み中だぞ。「アノッグ」と作戦会議をしているのだ。			コメラの村の噂							
まさか、アノッグとコノッグが、迷惑をかけているんじゃなかろうな？			まさか、アノッグとコノッグが、迷惑をかけているんじゃなかろうな？			コメラの村の噂							
おお、ヨソ者よ。帰ってきたか。			おお、ヨソ者よ。帰ってきたか。			コメラの村の噂							
ちゃんと「オートマトンのコア」を、手に入れてきたようじゃないか。			ちゃんと「オートマトンのコア」を、手に入れてきたようじゃないか。			コメラの村の噂							
では、お小遣いをやろう！これで、ワレワレの世界征服が一歩前進し……			では、お小遣いをやろう！これで、ワレワレの世界征服が一歩前進し……			コメラの村の噂							
シッ、ダメだよアノッグ。ボク達だけの秘密だ。			シッ、ダメだよアノッグ。ボク達だけの秘密だ。			コメラの村の噂							
おお、そうだったな。賢い弟よ。			おお、そうだったな。賢い弟よ。			コメラの村の噂							
では、次なる「お使い」を頼んでやろう……			では、次なる「お使い」を頼んでやろう……			コメラの村の噂							
コラアアッ！！また、人様に迷惑かけてるのか！？三枚に下ろして海に叩き込むぞッ！！			コラアアッ！！また、人様に迷惑かけてるのか！？三枚に下ろして海に叩き込むぞッ！！			コメラの村の噂							
(-アノッグとコノッグ-)ヒイイイッ！！！			(-アノッグとコノッグ-)ヒイイイッ！！！			コメラの村の噂							
……すまないな。あいつら、親がいなくてね。			……すまないな。あいつら、親がいなくてね。			コメラの村の噂							
あんたに、いろいろ失礼があったかもしれないな……許してくれ。			あんたに、いろいろ失礼があったかもしれないな……許してくれ。			コメラの村の噂							
……ところで、あんたは「ヨソ者」なんだろう？ヨソ者は「お使い」が大好きらしいじゃないか？			……ところで、あんたは「ヨソ者」なんだろう？ヨソ者は「お使い」が大好きらしいじゃないか？			コメラの村の噂							
ドワーフ族の親方に何と言う？			ドワーフ族の親方に何と言う？			コメラの村の噂							
…………			…………			コメラの村の噂							
あの姉弟からも同じことを言われた			あの姉弟からも同じことを言われた			コメラの村の噂							
現場で「坑道用のランタン」が足りてなくてな。村の外の洞窟を探せば見つかるはずだ。			現場で「坑道用のランタン」が足りてなくてな。村の外の洞窟を探せば見つかるはずだ。			コメラの村の噂							
「坑道用のランタン」を見つけたら、遺跡の入口の、坑道の番人がいた場所まで持ってきてくれ。もちろん報酬は払う、頼んだぞ。			「坑道用のランタン」を見つけたら、遺跡の入口の、坑道の番人がいた場所まで持ってきてくれ。もちろん報酬は払う、頼んだぞ。			コメラの村の噂							
「坑道用のランタン」を見つけたら、遺跡の入口の、坑道の番人がいた場所まで持ってきてくれ。村の外の洞窟を探せば見つかるはずだ。			「坑道用のランタン」を見つけたら、遺跡の入口の、坑道の番人がいた場所まで持ってきてくれ。村の外の洞窟を探せば見つかるはずだ。			コメラの村の噂							
「坑道用のランタン」は手に入ったか？			「坑道用のランタン」は手に入ったか？			コメラの村の噂							
おお、コレコレ。助かるよ、報酬はコレだ。			おお、コレコレ。助かるよ、報酬はコレだ。			コメラの村の噂							
さて、これであんたもカネを稼ぐことができて満足だろう。ほかに用事がなければ、俺も仕事に戻るが……。			さて、これであんたもカネを稼ぐことができて満足だろう。ほかに用事がなければ、俺も仕事に戻るが……。			コメラの村の噂							
そこの遺跡に、入れておくれよぉ！			そこの遺跡に、入れておくれよぉ！			コメラの村の噂							
入れておくれよぉ！			入れておくれよぉ！			コメラの村の噂							
ダメだって言ってるだろ。ここは危ないから立ち入り禁止だ。			ダメだって言ってるだろ。ここは危ないから立ち入り禁止だ。			コメラの村の噂							
まったく……どうしてこんな遺跡に皆興味を持つんだ？もしかして、機械以外にも、スゴイお宝が……？			まったく……どうしてこんな遺跡に皆興味を持つんだ？もしかして、機械以外にも、スゴイお宝が……？			コメラの村の噂							
ワレワレの発見によれば、あの遺跡の中には……。			ワレワレの発見によれば、あの遺跡の中には……。			コメラの村の噂							
シッ、ダメだよアノッグ。ボク達だけの秘密だ。			シッ、ダメだよアノッグ。ボク達だけの秘密だ。			コメラの村の噂							
そうだったね、コノッグ。			そうだったね、コノッグ。			コメラの村の噂							
という事で、何でも無いです。ボク達は平気です、ハイ。			という事で、何でも無いです。ボク達は平気です、ハイ。			コメラの村の噂							
……ったく、アイツらときたら……。あんたも用事がないなら「機械遺跡」には近づくんじゃねぇぞ。ケガでもされたら大変だからな。			……ったく、アイツらときたら……。あんたも用事がないなら「機械遺跡」には近づくんじゃねぇぞ。ケガでもされたら大変だからな。			コメラの村の噂							
クソッ……こんなところで油を売っている場合では……。			クソッ……こんなところで油を売っている場合では……。			コメラの村の噂							
ワレワレはこの遺跡に用があるのだ……。			ワレワレはこの遺跡に用があるのだ……。			コメラの村の噂							
この双子、さっきから何をブツブツ言っているんだ？			この双子、さっきから何をブツブツ言っているんだ？			コメラの村の噂							
おお、コメラの村からやっと帰ってきたか。で、珍しい資源の情報は何かわかったか？			おお、コメラの村からやっと帰ってきたか。で、珍しい資源の情報は何かわかったか？			コメラの村の噂							
