ワチュメキメキ万貨街のパメカは、こちらの様子を窺っている。			ワチュメキメキ万貨街のパメカは、こちらの様子を窺っている。			不思議なお話を							
そこでキミの出番です。熟練の[Job]の技術で装丁を担当していただければ、この依頼を、胸を張って受けられるでしょう！			そこでキミの出番です。熟練の[Job]の技術で装丁を担当していただければ、この依頼を、胸を張って受けられるでしょう！			不思議なお話を							
トライヨラが大変なこんなときに、呑気に本を作るだなんて……と、批判する声もあるかもしれません。			トライヨラが大変なこんなときに、呑気に本を作るだなんて……と、批判する声もあるかもしれません。			不思議なお話を							
しかし、未来が不透明な状況だからこそ、私は物語の記録に意義を感じているんです。			しかし、未来が不透明な状況だからこそ、私は物語の記録に意義を感じているんです。			不思議なお話を							
どうか、私と一緒に、物語の製本を引き受けてもらえませんか？			どうか、私と一緒に、物語の製本を引き受けてもらえませんか？			不思議なお話を							
何と言う？			何と言う？			不思議なお話を							
ぜひ協力させてくれ			ぜひ協力させてくれ			不思議なお話を							
仕方ないな……			仕方ないな……			不思議なお話を							
ありがとうございます！では製本を引き受ける旨、さっそく伝えにいきましょう。			ありがとうございます！では製本を引き受ける旨、さっそく伝えにいきましょう。			不思議なお話を							
依頼主はシャバーブチェに勤めている「デモウェニ」君です。私は店を空ける支度をしていきますので、キミは先に向かっててもらえますか？			依頼主はシャバーブチェに勤めている「デモウェニ」君です。私は店を空ける支度をしていきますので、キミは先に向かっててもらえますか？			不思議なお話を							
依頼主はシャバーブチェに勤めている「デモウェニ」君です。私は店を空ける支度をしていきますので、キミは先に向かっててもらえますか？			依頼主はシャバーブチェに勤めている「デモウェニ」君です。私は店を空ける支度をしていきますので、キミは先に向かっててもらえますか？			不思議なお話を							
ああパメカさん、いらっしゃい。			ああパメカさん、いらっしゃい。			不思議なお話を							
ごきげんよう、デモウェニ君。例の依頼、引き受ける準備が整いましたよ。			ごきげんよう、デモウェニ君。例の依頼、引き受ける準備が整いましたよ。			不思議なお話を							
こちらのForename君に、装丁をお任せすることになりましたので。この人なら間違いないと私の直感も告げています！			こちらのForename君に、装丁をお任せすることになりましたので。この人なら間違いないと私の直感も告げています！			不思議なお話を							
そりゃあいい、ぜひお願いするよ！			そりゃあいい、ぜひお願いするよ！			不思議なお話を							
僕はデモウェニ。サカ・トラルの辺境からトライヨラにやってきて、まだ日は浅いんだけど、この店で働かせてもらってます。			僕はデモウェニ。サカ・トラルの辺境からトライヨラにやってきて、まだ日は浅いんだけど、この店で働かせてもらってます。			不思議なお話を							
酒場には各地から旅してきた人々が集まるものだから、接客中にいろんな話を聞かせてもらうことがあるんですが……			酒場には各地から旅してきた人々が集まるものだから、接客中にいろんな話を聞かせてもらうことがあるんですが……			不思議なお話を							
信仰する神様や精霊にまつわる伝承はもちろん、逸話や訓話、それから子どもに聞かせるおとぎ話まで。実に多種多様で、驚くほどですよ。			信仰する神様や精霊にまつわる伝承はもちろん、逸話や訓話、それから子どもに聞かせるおとぎ話まで。実に多種多様で、驚くほどですよ。			不思議なお話を							
で、そうして教えてもらった話を、別のお客さんからせがまれて、僕が披露することもありましてね。結構、評判がいいんです。			で、そうして教えてもらった話を、別のお客さんからせがまれて、僕が披露することもありましてね。結構、評判がいいんです。			不思議なお話を							
ただ、人の記憶は色褪せるものでしょう？いつかは細部を忘れてしまうはずですから、今のうちに、本として残しておきたいと思うように……。			ただ、人の記憶は色褪せるものでしょう？いつかは細部を忘れてしまうはずですから、今のうちに、本として残しておきたいと思うように……。			不思議なお話を							
けれど、うちの一族では文字を使う文化がなかったから、パメカさんと同じトナワータ族でも、僕は読み書きできません。それで筆記工房を訪ねたってわけでして。			けれど、うちの一族では文字を使う文化がなかったから、パメカさんと同じトナワータ族でも、僕は読み書きできません。それで筆記工房を訪ねたってわけでして。			不思議なお話を							
デモウェニ君が語る物語を、私が片っ端から記録していく……いわゆる口述筆記という形式ですね。手紙の代筆などではよくある依頼です。			デモウェニ君が語る物語を、私が片っ端から記録していく……いわゆる口述筆記という形式ですね。手紙の代筆などではよくある依頼です。			不思議なお話を							
もちろん、僕自身も文字の読み書きを勉強するつもりですよ。本を作ってもらっても、読めなければ意味がありませんから。			もちろん、僕自身も文字の読み書きを勉強するつもりですよ。本を作ってもらっても、読めなければ意味がありませんから。			不思議なお話を							
ああ、それとよければ……ぜひあなたも口述筆記に立ち会ってください。きっと、装丁を作るにあたっての参考になると思います。			ああ、それとよければ……ぜひあなたも口述筆記に立ち会ってください。きっと、装丁を作るにあたっての参考になると思います。			不思議なお話を							
なにより各地に伝わる物語は、聞いていて楽しいはず！ぜひ一緒に本を作りましょう！			なにより各地に伝わる物語は、聞いていて楽しいはず！ぜひ一緒に本を作りましょう！			不思議なお話を							
さて、いつから始めます？こちらは、ほかの依頼も片付いたところなので、今ならすぐに対応可能なのですが……。			さて、いつから始めます？こちらは、ほかの依頼も片付いたところなので、今ならすぐに対応可能なのですが……。			不思議なお話を							
じゃあ、仕事が終わったらそちらに伺います。パメカさんたちは、筆記工房の方で少々お待ちください。			じゃあ、仕事が終わったらそちらに伺います。パメカさんたちは、筆記工房の方で少々お待ちください。			不思議なお話を							
仕事が終わったら筆記工房に伺いますので、「パメカ」さんと少々お待ちください。			仕事が終わったら筆記工房に伺いますので、「パメカ」さんと少々お待ちください。			不思議なお話を							
工房という名のとおり、作業はここで行います。長編の物語を書き留めるために、紙もインクも、たっぷり用意しましたからご心配なく。			工房という名のとおり、作業はここで行います。長編の物語を書き留めるために、紙もインクも、たっぷり用意しましたからご心配なく。			不思議なお話を							
デモウェニ君が来るまでに準備をしておきたいところですが……キミにはキミの事情があるでしょう。ご都合がよろしければ、お声がけをお願いします。			デモウェニ君が来るまでに準備をしておきたいところですが……キミにはキミの事情があるでしょう。ご都合がよろしければ、お声がけをお願いします。			不思議なお話を							
「パメカの筆記工房」の、ワチュメキメキ万貨街取引が開放されました！「パメカ」に話しかけて、納品を開始しましょう！			「パメカの筆記工房」の、ワチュメキメキ万貨街取引が開放されました！「パメカ」に話しかけて、納品を開始しましょう！			不思議なお話を							
ワチュメキメキ万貨街のパメカは、執筆の準備をしているようだ。			ワチュメキメキ万貨街のパメカは、執筆の準備をしているようだ。			翼は風に乗る							
パメカから装丁に使う部材の製作を依頼された。「真新しい装丁部材」を6個製作し、ワチュメキメキ万貨街の「パメカ」へ納品しよう。※納品は、収集価値「170」以上で可能となりますが、「340」以上で納品した場合、より多くの報酬が得られます。			パメカから装丁に使う部材の製作を依頼された。「真新しい装丁部材」を6個製作し、ワチュメキメキ万貨街の「パメカ」へ納品しよう。※納品は、収集価値「170」以上で可能となりますが、「340」以上で納品した場合、より多くの報酬が得られます。			翼は風に乗る							
パメカに「真新しい装丁部材」を納品した。デモウェニが語る次の物語に向けて、準備が整い次第ふたたびパメカに声をかけよう。			パメカに「真新しい装丁部材」を納品した。デモウェニが語る次の物語に向けて、準備が整い次第ふたたびパメカに声をかけよう。			翼は風に乗る							
パメカに真新しい装丁部材を納品			パメカに真新しい装丁部材を納品			翼は風に乗る							
仕事が終わったら筆記工房に伺いますので、「パメカ」さんと少々お待ちください。			仕事が終わったら筆記工房に伺いますので、「パメカ」さんと少々お待ちください。			翼は風に乗る							
どうやら、ご都合がよろしいようですね。			どうやら、ご都合がよろしいようですね。			翼は風に乗る							
さて、本の装丁とひとことで言っても、芯紙、表紙、綴じ紐など、様々なものが必要になります。			さて、本の装丁とひとことで言っても、芯紙、表紙、綴じ紐など、様々なものが必要になります。			翼は風に乗る							
それらの材質に決まりはなく、木材、布、皮革など、自由に選ぶことができます。			それらの材質に決まりはなく、木材、布、皮革など、自由に選ぶことができます。			翼は風に乗る							
そのあたりは職人としてのこだわりもあるでしょうし、キミの判断で「真新しい装丁部材」の準備をお願いします。その後にデモウェニ君から物語を聞いて、仕上げを行いましょう！			そのあたりは職人としてのこだわりもあるでしょうし、キミの判断で「真新しい装丁部材」の準備をお願いします。その後にデモウェニ君から物語を聞いて、仕上げを行いましょう！			翼は風に乗る							
「パメカの筆記工房」への納品が開始されました！依頼されたアイテムをパメカに納品し、貢献していきましょう！			「パメカの筆記工房」への納品が開始されました！依頼されたアイテムをパメカに納品し、貢献していきましょう！			翼は風に乗る							
なお、依頼品の納品には一定の収集価値が必要となり、価値が高いアイテムの場合は、報酬にボーナスがつきます。まずは依頼品リストを確認してみましょう！			なお、依頼品の納品には一定の収集価値が必要となり、価値が高いアイテムの場合は、報酬にボーナスがつきます。まずは依頼品リストを確認してみましょう！			翼は風に乗る							
デモウェニ君の物語の装丁に必要な、「真新しい装丁部材」の準備をお願いします！			デモウェニ君の物語の装丁に必要な、「真新しい装丁部材」の準備をお願いします！			翼は風に乗る							
ありがとうございます、こちらの品で問題ありません。どんな本ができあがるか、完成が楽しみですね……！			ありがとうございます、こちらの品で問題ありません。どんな本ができあがるか、完成が楽しみですね……！			翼は風に乗る							
これは、なんと素晴らしい品質でしょう……ああ、早く本を完成させて、その匂いを嗅ぎたい！			これは、なんと素晴らしい品質でしょう……ああ、早く本を完成させて、その匂いを嗅ぎたい！			翼は風に乗る							
依頼品を納品したことで、パメカはあなたの貢献を実感し始めました。			依頼品を納品したことで、パメカはあなたの貢献を実感し始めました。			翼は風に乗る							
今後も積極的に依頼品の納品を行い、貢献度を蓄積させていきましょう！			今後も積極的に依頼品の納品を行い、貢献度を蓄積させていきましょう！			翼は風に乗る							
さて、準備が整いましたね。さっそく口述筆記を開始いたしましょう。			さて、準備が整いましたね。さっそく口述筆記を開始いたしましょう。			翼は風に乗る							
これからお話しするのは、ハヌハヌ族が代々語り継いできたものだそうです。そのうちのいくつか代表的なものを語りましょう。			これからお話しするのは、ハヌハヌ族が代々語り継いできたものだそうです。そのうちのいくつか代表的なものを語りましょう。			翼は風に乗る							
まずはじめは、彼らが信仰する神、そして大切に育てている作物との出会いの物語……。			まずはじめは、彼らが信仰する神、そして大切に育てている作物との出会いの物語……。			翼は風に乗る							
むかしむかし、ハヌハヌ族は雲の上で暮らしておったそうな。雲上の大地は凍えるほど寒かったけれども外敵はおらず、皆、舞い踊り陽気に日々を過ごしていたという。			むかしむかし、ハヌハヌ族は雲の上で暮らしておったそうな。雲上の大地は凍えるほど寒かったけれども外敵はおらず、皆、舞い踊り陽気に日々を過ごしていたという。			翼は風に乗る							
ところがあるとき、恐ろしき暴風が彼らを襲った。吹き付ける雨風はあまりに激しく、ついには家が崩れ、ひと組の夫婦が雲より落ちてしまったそうな。			ところがあるとき、恐ろしき暴風が彼らを襲った。吹き付ける雨風はあまりに激しく、ついには家が崩れ、ひと組の夫婦が雲より落ちてしまったそうな。			翼は風に乗る							
ところがところが、ふたりは海には落ちなかった。なんと島ほどに大きな鳥が現れ、彼らを背に乗せたのだ！			ところがところが、ふたりは海には落ちなかった。なんと島ほどに大きな鳥が現れ、彼らを背に乗せたのだ！			翼は風に乗る							
この心優しき鳥は、風に乗って海を越え、ついに見知らぬ大陸に……そうトラルに降り立った。			この心優しき鳥は、風に乗って海を越え、ついに見知らぬ大陸に……そうトラルに降り立った。			翼は風に乗る							
ようやくようやく、ふたりは大地を踏みしめたわけだが、長旅の末に気力体力、魔力は底をついておったそうな。			ようやくようやく、ふたりは大地を踏みしめたわけだが、長旅の末に気力体力、魔力は底をついておったそうな。			翼は風に乗る							
どこかに食べ物はないか……夫婦が周囲を見渡したとき、彼らを運んできた鳥が、眼前に青々と茂る葦をついばんだ。			どこかに食べ物はないか……夫婦が周囲を見渡したとき、彼らを運んできた鳥が、眼前に青々と茂る葦をついばんだ。			翼は風に乗る							
それに倣って、ふたりが葦を食べると……甘やかな味が溢れ出し、みるみるうちに元気になり、さらには羽根の色までが鮮やかに変じたという。			それに倣って、ふたりが葦を食べると……甘やかな味が溢れ出し、みるみるうちに元気になり、さらには羽根の色までが鮮やかに変じたという。			翼は風に乗る							
以来、彼らは自らを救った大鳥キシャイヒーを神と崇め、葦を大切に育てながら、多くの子を成したのである……。			以来、彼らは自らを救った大鳥キシャイヒーを神と崇め、葦を大切に育てながら、多くの子を成したのである……。			翼は風に乗る							
どうですか、Forename君。今の物語にふさわしい装丁のイメージ、湧いてきましたか？			どうですか、Forename君。今の物語にふさわしい装丁のイメージ、湧いてきましたか？			翼は風に乗る							
それはよかった！お話はまだ続くようですから、こちらが筆記をしている傍らで、用意した部材を加工して装丁を完成させてください。			それはよかった！お話はまだ続くようですから、こちらが筆記をしている傍らで、用意した部材を加工して装丁を完成させてください。			翼は風に乗る							
Forenameは、用意した部材を加工して、物語の世界にふさわしい装丁を作り上げた。			Forenameは、用意した部材を加工して、物語の世界にふさわしい装丁を作り上げた。			翼は風に乗る							
それをパメカが筆記したページと組み合わせて、1冊の本が完成した！			それをパメカが筆記したページと組み合わせて、1冊の本が完成した！			翼は風に乗る							
ああ、僕が語った内容が本になるだなんて……！自分じゃまだ読めないけれど、とっても嬉しいよ！			ああ、僕が語った内容が本になるだなんて……！自分じゃまだ読めないけれど、とっても嬉しいよ！			翼は風に乗る							
口伝の物語は、語る者がいなくなれば消えてなくなります。それを本という形で残すのは、とても意義深いことかと。			口伝の物語は、語る者がいなくなれば消えてなくなります。それを本という形で残すのは、とても意義深いことかと。			翼は風に乗る							
……なーんて、堅苦しいことは抜きにして、単純に、面白いお話が聞けて楽しかったですね！			……なーんて、堅苦しいことは抜きにして、単純に、面白いお話が聞けて楽しかったですね！			翼は風に乗る							
何と言う？			何と言う？			翼は風に乗る							
ハヌハヌ族の出自に心当たりが……			ハヌハヌ族の出自に心当たりが……			翼は風に乗る							
彼らの信仰の由来がわかってよかった			彼らの信仰の由来がわかってよかった			翼は風に乗る							
空の上、雲海の島々に暮らすバヌバヌ族ですか……たしかに、ハヌハヌ族の物語と状況が似ていますし、ルーツを同じくするのかもしれませんね。			空の上、雲海の島々に暮らすバヌバヌ族ですか……たしかに、ハヌハヌ族の物語と状況が似ていますし、ルーツを同じくするのかもしれませんね。			翼は風に乗る							
大鳥キシャイヒー、でしたか。たしかトラル勇連隊の紋章も同じく大鳥だったはず……もしかすると、何か関連があるかもしれませんね。			大鳥キシャイヒー、でしたか。たしかトラル勇連隊の紋章も同じく大鳥だったはず……もしかすると、何か関連があるかもしれませんね。			翼は風に乗る							
この物語のほかにも、僕は、本当にたくさんの話を聞いてきたんだ。			この物語のほかにも、僕は、本当にたくさんの話を聞いてきたんだ。			翼は風に乗る							
たとえば、この前ペルペル族のお客さんから聞いた話も、とても興味深かったから、次はそれを本に記してほしいな。			たとえば、この前ペルペル族のお客さんから聞いた話も、とても興味深かったから、次はそれを本に記してほしいな。			翼は風に乗る							
もっとうまく伝えられるよう、そのときまでに、しゃべる内容をまとめておくよ。			もっとうまく伝えられるよう、そのときまでに、しゃべる内容をまとめておくよ。			翼は風に乗る							
ぜひぜひ。こちらはいつでも大歓迎ですよ。			ぜひぜひ。こちらはいつでも大歓迎ですよ。			翼は風に乗る							
キミと私の共同作業、うまくいきましたね。また次も依頼があるようですから、よろしくお願いします！			キミと私の共同作業、うまくいきましたね。また次も依頼があるようですから、よろしくお願いします！			翼は風に乗る							
パメカの筆記工房の貢献ランクが上昇しました！パメカはあなたの事を、「仕事が丁寧な装丁家」と感じているようです！			パメカの筆記工房の貢献ランクが上昇しました！パメカはあなたの事を、「仕事が丁寧な装丁家」と感じているようです！			翼は風に乗る							
次のクエストは「木工師／革細工師／裁縫師」の、いずれかがレベル93以上になると、ワチュメキメキ万貨街の「パメカ」から受注可能です。			次のクエストは「木工師／革細工師／裁縫師」の、いずれかがレベル93以上になると、ワチュメキメキ万貨街の「パメカ」から受注可能です。			翼は風に乗る							
ワチュメキメキ万貨街のパメカは、次の依頼の準備をしているようだ。			ワチュメキメキ万貨街のパメカは、次の依頼の準備をしているようだ。			精霊がくれたもの							
パメカから装丁に使う部材の製作を依頼された。「ペルペル様式の装丁部材」を6個製作し、ワチュメキメキ万貨街の「パメカ」へ納品しよう。※納品は、収集価値「210」以上で可能となりますが、「430」以上で納品した場合、より多くの報酬が得られます。			パメカから装丁に使う部材の製作を依頼された。「ペルペル様式の装丁部材」を6個製作し、ワチュメキメキ万貨街の「パメカ」へ納品しよう。※納品は、収集価値「210」以上で可能となりますが、「430」以上で納品した場合、より多くの報酬が得られます。			精霊がくれたもの							
パメカに「ペルペル様式の装丁部材」を納品した。デモウェニが語る次の物語に向けて、準備が整い次第ふたたびパメカに声をかけよう。			パメカに「ペルペル様式の装丁部材」を納品した。デモウェニが語る次の物語に向けて、準備が整い次第ふたたびパメカに声をかけよう。			精霊がくれたもの							
パメカにペルペル様式の装丁部材を納品			パメカにペルペル様式の装丁部材を納品			精霊がくれたもの							
Forename君、来てくれましたか。引き続き、デモウェニ君からの依頼に取りかかりましょう。			Forename君、来てくれましたか。引き続き、デモウェニ君からの依頼に取りかかりましょう。			精霊がくれたもの							
たしかデモウェニ君は、次の物語はペルペル族から聞いたものだと言ってましたよね？			たしかデモウェニ君は、次の物語はペルペル族から聞いたものだと言ってましたよね？			精霊がくれたもの							
彼らの集落があるオルコ・パチャ……そこで採れる素材を用いて、装丁部材を作ってみるのはどうでしょう？			彼らの集落があるオルコ・パチャ……そこで採れる素材を用いて、装丁部材を作ってみるのはどうでしょう？			精霊がくれたもの							
そうすれば、まるで暮らしに溶け込む調度品のように、物語の世界観に合った装丁が作れると思うんです。			そうすれば、まるで暮らしに溶け込む調度品のように、物語の世界観に合った装丁が作れると思うんです。			精霊がくれたもの							
それでは、ペルペル族の物語を本にするため、「ペルペル様式の装丁部材」の準備をお願いします！			それでは、ペルペル族の物語を本にするため、「ペルペル様式の装丁部材」の準備をお願いします！			精霊がくれたもの							
ペルペル族の物語を本にするにあたって必要な、「ペルペル様式の装丁部材」の準備をお願いします！			ペルペル族の物語を本にするにあたって必要な、「ペルペル様式の装丁部材」の準備をお願いします！			精霊がくれたもの							
どことなく無骨さを残した部材……まるでオルコ・パチャの山々に似た雰囲気を感じますね。どんな本ができあがるか、完成が楽しみです！			どことなく無骨さを残した部材……まるでオルコ・パチャの山々に似た雰囲気を感じますね。どんな本ができあがるか、完成が楽しみです！			精霊がくれたもの							
オルコ・パチャ産の雪木綿布を軸とした、しなやかな部材……ペルペル族の物語にふさわしいですね！ああ、早く本を完成させて、その表紙を撫でたい！			オルコ・パチャ産の雪木綿布を軸とした、しなやかな部材……ペルペル族の物語にふさわしいですね！ああ、早く本を完成させて、その表紙を撫でたい！			精霊がくれたもの							
さて、今回語るはペルペル族の物語。今でこそ、方々を旅する行商の民として知られているが、昔からそうであったわけじゃないらしい。			さて、今回語るはペルペル族の物語。今でこそ、方々を旅する行商の民として知られているが、昔からそうであったわけじゃないらしい。			精霊がくれたもの							
これはトライヨラが建国されるよりも、はるか昔。ペルペル族が、オルコ・パチャから出ることなく、ひっそりと暮らしていたころの物語……。			これはトライヨラが建国されるよりも、はるか昔。ペルペル族が、オルコ・パチャから出ることなく、ひっそりと暮らしていたころの物語……。			精霊がくれたもの							
あるところに、キーブリという男がいた。彼は小柄な一族の中でも、とりわけ身体が小さく、力も弱く、また病気がちであったそうな。			あるところに、キーブリという男がいた。彼は小柄な一族の中でも、とりわけ身体が小さく、力も弱く、また病気がちであったそうな。			精霊がくれたもの							
そんなわけだから、畑仕事でも役には立てず、アルパカの世話も満足にできなかったという。			そんなわけだから、畑仕事でも役には立てず、アルパカの世話も満足にできなかったという。			精霊がくれたもの							
だが、心優しき同胞たちは、決して彼を見捨てず、力がなくともできる仕事だけを与え、病を患えば看病した。キーブリは感謝しつつも、自分の不甲斐なさを嘆いた。			だが、心優しき同胞たちは、決して彼を見捨てず、力がなくともできる仕事だけを与え、病を患えば看病した。キーブリは感謝しつつも、自分の不甲斐なさを嘆いた。			精霊がくれたもの							
しかし、優しさだけではどうにもできないのが世の常。ある年のこと、オルコ・パチャの山々を襲った冷夏のおかげで、作物は実らず、家畜はやせ細るばかり……。			しかし、優しさだけではどうにもできないのが世の常。ある年のこと、オルコ・パチャの山々を襲った冷夏のおかげで、作物は実らず、家畜はやせ細るばかり……。			精霊がくれたもの							
ペルペル族は貯めていた食料を切り崩し、ときに家畜を潰して飢えをしのいだが、いずれ限界は訪れる。そこでキーブリは、こっそりと村から抜け出した。			ペルペル族は貯めていた食料を切り崩し、ときに家畜を潰して飢えをしのいだが、いずれ限界は訪れる。そこでキーブリは、こっそりと村から抜け出した。			精霊がくれたもの							
食料がなければ、食べる口を減らすしかない。そういうことなら、力のない自分でも皆の役に立てるぞ！			食料がなければ、食べる口を減らすしかない。そういうことなら、力のない自分でも皆の役に立てるぞ！			精霊がくれたもの							
……こうしてキーブリは独り死ぬべく、聖なる山を目指した。			……こうしてキーブリは独り死ぬべく、聖なる山を目指した。			精霊がくれたもの							
ところが山を登り始めると、行く手に精霊が現れ、これ以上は進ませないと立ちはだかった。キーブリは事情を話し、どうかここで死なせてほしいと懇願した。			ところが山を登り始めると、行く手に精霊が現れ、これ以上は進ませないと立ちはだかった。キーブリは事情を話し、どうかここで死なせてほしいと懇願した。			精霊がくれたもの							
すると精霊は、キーブリの健気な想いに心を打たれ、ひとにぎりの葉を差し出して、彼にこう伝えたそうな。その葉を里に持ち帰り、煎じて同胞に振る舞うがよい、と。			すると精霊は、キーブリの健気な想いに心を打たれ、ひとにぎりの葉を差し出して、彼にこう伝えたそうな。その葉を里に持ち帰り、煎じて同胞に振る舞うがよい、と。			精霊がくれたもの							
そして精霊の言葉に従うと、不思議と飢えが解消され、ひとりとして命を落とすことなく、翌年を迎えられた。これが、マテ茶の始まりであったという……。			そして精霊の言葉に従うと、不思議と飢えが解消され、ひとりとして命を落とすことなく、翌年を迎えられた。これが、マテ茶の始まりであったという……。			精霊がくれたもの							
今回も素晴らしい本ができましたね！ありがとう！			今回も素晴らしい本ができましたね！ありがとう！			精霊がくれたもの							
何と言う？			何と言う？			精霊がくれたもの							
不思議な物語だ			不思議な物語だ			精霊がくれたもの							
そんな精霊、本当にいるの？			そんな精霊、本当にいるの？			精霊がくれたもの							
もちろん、実話かどうかはわかりません。けれど、実際にマテ茶は栄養素が豊富であり、飢えを防ぐ効果があるとも言われているんですよ。			もちろん、実話かどうかはわかりません。けれど、実際にマテ茶は栄養素が豊富であり、飢えを防ぐ効果があるとも言われているんですよ。			精霊がくれたもの							
さあ、どうでしょう？重要なのは、この物語が実話かどうかではなくて、彼らがそれを大切に語り継いでいるということの方かと。			さあ、どうでしょう？重要なのは、この物語が実話かどうかではなくて、彼らがそれを大切に語り継いでいるということの方かと。			精霊がくれたもの							
とにかく、互いを想い合うことが大切ということですね！それが難題に直面したときに、思わぬ解決策をもたらすことになるのかも。			とにかく、互いを想い合うことが大切ということですね！それが難題に直面したときに、思わぬ解決策をもたらすことになるのかも。			精霊がくれたもの							
さて、読み書きの勉強もあるので、今回はここまでにして、次は……モブリン族のお客さんから聞いた物語にしようかな。それでは、また！			さて、読み書きの勉強もあるので、今回はここまでにして、次は……モブリン族のお客さんから聞いた物語にしようかな。それでは、また！			精霊がくれたもの							
フフ、まだまだ素敵な物語が聞けそうですね。また次もご依頼いただけるようですから、準備をお願いします！			フフ、まだまだ素敵な物語が聞けそうですね。また次もご依頼いただけるようですから、準備をお願いします！			精霊がくれたもの							
パメカの筆記工房の貢献ランクが上昇しました！パメカはあなたの事を、「感性の豊かな装丁家」と感じているようです！			パメカの筆記工房の貢献ランクが上昇しました！パメカはあなたの事を、「感性の豊かな装丁家」と感じているようです！			精霊がくれたもの							
次のクエストは「木工師／革細工師／裁縫師」の、いずれかがレベル95以上になると、ワチュメキメキ万貨街の「パメカ」から受注可能です。			次のクエストは「木工師／革細工師／裁縫師」の、いずれかがレベル95以上になると、ワチュメキメキ万貨街の「パメカ」から受注可能です。			精霊がくれたもの							
