ラールガーズリーチのガリエナは、冒険者に依頼したいことがあるようだ。			ラールガーズリーチのガリエナは、冒険者に依頼したいことがあるようだ。			未知なる島、その名はエウレカ							
話によると、その島……結構なお宝が眠っていそうなものでね。危険と利益は表裏一体……コレ、商売の鉄則よ。			話によると、その島……結構なお宝が眠っていそうなものでね。危険と利益は表裏一体……コレ、商売の鉄則よ。			未知なる島、その名はエウレカ							
フゥ～、さすがは新進気鋭のロウェナ商会の女主デ～ス。その儲け話を逃さない耳ざとさ、見習いたいものデスネ。			フゥ～、さすがは新進気鋭のロウェナ商会の女主デ～ス。その儲け話を逃さない耳ざとさ、見習いたいものデスネ。			未知なる島、その名はエウレカ							
……ともかく、こうして心強い協力者を得られた我々は、再度、問題の島へ調査隊を送ることにしました。デスが、半端者を投入しても、前回の二の舞デス。			……ともかく、こうして心強い協力者を得られた我々は、再度、問題の島へ調査隊を送ることにしました。デスが、半端者を投入しても、前回の二の舞デス。			未知なる島、その名はエウレカ							
だから、あたしたちが知る最高の戦力を使おうってことになってね。あなたに声をかけたってわけ。			だから、あたしたちが知る最高の戦力を使おうってことになってね。あなたに声をかけたってわけ。			未知なる島、その名はエウレカ							
私は……戦力というより、現地の研究調査が目的ね。「暁」にも依頼が来て、私が参加することになったの。			私は……戦力というより、現地の研究調査が目的ね。「暁」にも依頼が来て、私が参加することになったの。			未知なる島、その名はエウレカ							
「暁」が協力する案件じゃなさそう、ってところかしら？でも、ちょっと気になることがあって、もしかしたらって考えると、どうしても無視できなくてね……。			「暁」が協力する案件じゃなさそう、ってところかしら？でも、ちょっと気になることがあって、もしかしたらって考えると、どうしても無視できなくてね……。			未知なる島、その名はエウレカ							
ごめんなさい、あやふやな話で。確証が得られたら、ちゃんと説明するから、いまはこれで許してちょうだい。			ごめんなさい、あやふやな話で。確証が得られたら、ちゃんと説明するから、いまはこれで許してちょうだい。			未知なる島、その名はエウレカ							
さて、話がまとまったところで、行動開始といきましょう。現地までの足となる商船が、洋上に待機しています。第一波止場で連絡艇に乗ってくださいネ。			さて、話がまとまったところで、行動開始といきましょう。現地までの足となる商船が、洋上に待機しています。第一波止場で連絡艇に乗ってくださいネ。			未知なる島、その名はエウレカ							
そうそう、支援担当の職人も連れてきてあるわ。いまごろ第一波止場に到着しているはずだから、まずは、そいつと合流してちょうだい。			そうそう、支援担当の職人も連れてきてあるわ。いまごろ第一波止場に到着しているはずだから、まずは、そいつと合流してちょうだい。			未知なる島、その名はエウレカ							
私はロウェナさんたちとの打ち合わせがまだ残ってるから、先に第一波止場に向かってちょうだい。……それじゃ、またあとで。			私はロウェナさんたちとの打ち合わせがまだ残ってるから、先に第一波止場に向かってちょうだい。……それじゃ、またあとで。			未知なる島、その名はエウレカ							
俺をあの島まで連れて行け！何度も言っているが、俺には行かねばならん事情があるのだ！			俺をあの島まで連れて行け！何度も言っているが、俺には行かねばならん事情があるのだ！			未知なる島、その名はエウレカ							
そっちの事情なンざ、知ったことか！俺はテメェみてえなうるせえヤツが大ッ嫌いなンだよ！そもそも、見ず知らずの野郎を連れていけるかってンだ！！			そっちの事情なンざ、知ったことか！俺はテメェみてえなうるせえヤツが大ッ嫌いなンだよ！そもそも、見ず知らずの野郎を連れていけるかってンだ！！			未知なる島、その名はエウレカ							
(-ララフェル族の青年-)これだから、エオルゼアの野蛮人は……っ！いいからあの島へ俺を連れて行け！			(-ララフェル族の青年-)これだから、エオルゼアの野蛮人は……っ！いいからあの島へ俺を連れて行け！			未知なる島、その名はエウレカ							
(-？？？？-)あら、そんなところで立ち尽くしてどうしたの？			(-？？？？-)あら、そんなところで立ち尽くしてどうしたの？			未知なる島、その名はエウレカ							
さっそくトラブルかしら、ゲロルトさん？			さっそくトラブルかしら、ゲロルトさん？			未知なる島、その名はエウレカ							
おう、クルル嬢ちゃんか。この野郎がしつこくてよぉ。			おう、クルル嬢ちゃんか。この野郎がしつこくてよぉ。			未知なる島、その名はエウレカ							
エジカ……！？なんで、あなたがこんなところに！			エジカ……！？なんで、あなたがこんなところに！			未知なる島、その名はエウレカ							
はっ、決まっているだろう。貴様が賢人会宛てに送った報告の内容を、人づてに聞いたのだ。抜け駆けするつもりだったのだろうが、残念だったな。			はっ、決まっているだろう。貴様が賢人会宛てに送った報告の内容を、人づてに聞いたのだ。抜け駆けするつもりだったのだろうが、残念だったな。			未知なる島、その名はエウレカ							
そんなわけないでしょうに……。自分の推測に確信が持てていれば、あなたにも協力してもらうつもりだったわ。			そんなわけないでしょうに……。自分の推測に確信が持てていれば、あなたにも協力してもらうつもりだったわ。			未知なる島、その名はエウレカ							
ごめんなさい、状況が飲み込めないわよね？			ごめんなさい、状況が飲み込めないわよね？			未知なる島、その名はエウレカ							
こちらのハイランダー族の男性が、ゲロルトさん。エオルゼア随一の武具職人で、今回の調査に同行して、技術面の支援を担当してくれることになっているの。			こちらのハイランダー族の男性が、ゲロルトさん。エオルゼア随一の武具職人で、今回の調査に同行して、技術面の支援を担当してくれることになっているの。			未知なる島、その名はエウレカ							
ゲロルトさん……とは、知り合いなんでしょ？今回の調査に同行して、技術面の支援を担当してくれることになっているの。			ゲロルトさん……とは、知り合いなんでしょ？今回の調査に同行して、技術面の支援を担当してくれることになっているの。			未知なる島、その名はエウレカ							
で、こっちが……。			で、こっちが……。			未知なる島、その名はエウレカ							
バルデシオン委員会所属、エジカ・ツンジカだ。貴様の噂は聞いているぞ、「暁」の冒険者……。俺の邪魔だけはしてくれるなよ。			バルデシオン委員会所属、エジカ・ツンジカだ。貴様の噂は聞いているぞ、「暁」の冒険者……。俺の邪魔だけはしてくれるなよ。			未知なる島、その名はエウレカ							
エジカ、ちょっと失礼よ。というか、あなたも調査に同行するつもりなの？			エジカ、ちょっと失礼よ。というか、あなたも調査に同行するつもりなの？			未知なる島、その名はエウレカ							
当然だろう！正統な後継者だと思い上がる貴様だけに、あの島の調査を行わせるなど、俺が許すものか！			当然だろう！正統な後継者だと思い上がる貴様だけに、あの島の調査を行わせるなど、俺が許すものか！			未知なる島、その名はエウレカ							
……いいわ、優秀な研究員は歓迎だもの。私の方から話を通しておいてあげるから、口論はやめて、大人しく乗船してちょうだい。			……いいわ、優秀な研究員は歓迎だもの。私の方から話を通しておいてあげるから、口論はやめて、大人しく乗船してちょうだい。			未知なる島、その名はエウレカ							
エジカは、バルデシオン委員会時代の同僚なの。私を含めて数少ない「生き残り」といったところかしら。エーテル学の研究員としては一流だけど、性格はあのとおりよ。			エジカは、バルデシオン委員会時代の同僚なの。私を含めて数少ない「生き残り」といったところかしら。エーテル学の研究員としては一流だけど、性格はあのとおりよ。			未知なる島、その名はエウレカ							
さて、それじゃあ、私も乗船するとしましょうか。準備ができたら、「ロドニー」さんに声をかけて。現地へ向かう船までの連絡艇を出してくれるわ。			さて、それじゃあ、私も乗船するとしましょうか。準備ができたら、「ロドニー」さんに声をかけて。現地へ向かう船までの連絡艇を出してくれるわ。			未知なる島、その名はエウレカ							
そうそう！言い忘れてたけど、これから向かう島には、調査にあたって、仮の名前がつけられているの。			そうそう！言い忘れてたけど、これから向かう島には、調査にあたって、仮の名前がつけられているの。			未知なる島、その名はエウレカ							
古代アラグ帝国の伝承に残る、危険な武器を封印した迷宮の名からとって、こう呼ばれているわ。			古代アラグ帝国の伝承に残る、危険な武器を封印した迷宮の名からとって、こう呼ばれているわ。			未知なる島、その名はエウレカ							
禁断の地、エウレカ……ってね。			禁断の地、エウレカ……ってね。			未知なる島、その名はエウレカ							
ソロから、フルパーティ（8人）まで、任意の人数で挑むことができる探索型コンテンツ、「禁断の地 エウレカ：アネモス編」に挑戦可能になりました。			ソロから、フルパーティ（8人）まで、任意の人数で挑むことができる探索型コンテンツ、「禁断の地 エウレカ：アネモス編」に挑戦可能になりました。			未知なる島、その名はエウレカ							
「ロドニー」に話しかけて、「禁断の地 エウレカ：アネモス編」を選択することで、探索を開始することができます。			「ロドニー」に話しかけて、「禁断の地 エウレカ：アネモス編」を選択することで、探索を開始することができます。			未知なる島、その名はエウレカ							
「禁断の地 エウレカ：アネモス編」では、アイテムレベルシンクが設定されており、装備品の性能が、「アイテムレベル：[#1]」以下になるよう調整されます。			「禁断の地 エウレカ：アネモス編」では、アイテムレベルシンクが設定されており、装備品の性能が、「アイテムレベル：[#1]」以下になるよう調整されます。			未知なる島、その名はエウレカ							
コンテンツ内では、「エウレカウェポン」の製作を行えます。探索を開始する前に、素材となるレベル70用のジョブ専用装備を、準備しておくとよいでしょう。			コンテンツ内では、「エウレカウェポン」の製作を行えます。探索を開始する前に、素材となるレベル70用のジョブ専用装備を、準備しておくとよいでしょう。			未知なる島、その名はエウレカ							
また、「ロドニー」からは、コンテンツのルールなど、より詳しい情報を聞くことができます。探索前に、確認しておきましょう。			また、「ロドニー」からは、コンテンツのルールなど、より詳しい情報を聞くことができます。探索前に、確認しておきましょう。			未知なる島、その名はエウレカ							
