先輩レターモーグリは、冒険者に敏腕美容師への手紙を託したいようだ。			先輩レターモーグリは、冒険者に敏腕美容師への手紙を託したいようだ。			敏腕美容師の華麗なる妙技							
美容師様に手紙を届けるつもりなら、あなたも、木工師ギルドの「ベアティヌ」さんを訪ねたら？……それにしても、ああ、幸せすぎてコワイ。			美容師様に手紙を届けるつもりなら、あなたも、木工師ギルドの「ベアティヌ」さんを訪ねたら？……それにしても、ああ、幸せすぎてコワイ。			敏腕美容師の華麗なる妙技							
ベアティヌさんから出てくる話は、兄の知らない面ばかり……。家族には見せない顔があるのでしょうか。			ベアティヌさんから出てくる話は、兄の知らない面ばかり……。家族には見せない顔があるのでしょうか。			敏腕美容師の華麗なる妙技							
……おや、貴方もジャンドゥレーヌさんをお探しですか？弟さんにも伝えたところなのですが……彼は……つい先ほど、ここを出発したところです。			……おや、貴方もジャンドゥレーヌさんをお探しですか？弟さんにも伝えたところなのですが……彼は……つい先ほど、ここを出発したところです。			敏腕美容師の華麗なる妙技							
兄上ときたら……果たすべき使命を投げ出し、いつまで放蕩するつもりだ！			兄上ときたら……果たすべき使命を投げ出し、いつまで放蕩するつもりだ！			敏腕美容師の華麗なる妙技							
その件についてなのですが……貴方は……本当にジャンドゥレーヌさんが家業を継ぐに、ふさわしいとお考えですか……？			その件についてなのですが……貴方は……本当にジャンドゥレーヌさんが家業を継ぐに、ふさわしいとお考えですか……？			敏腕美容師の華麗なる妙技							
……放蕩の限りを尽くす兄では、当主としての務めを果たせないとでも！？			……放蕩の限りを尽くす兄では、当主としての務めを果たせないとでも！？			敏腕美容師の華麗なる妙技							
兄は、出奔するまでの間、父の仕事を見事に補佐していましたよ！……兄は、私の永遠の目標なのです！			兄は、出奔するまでの間、父の仕事を見事に補佐していましたよ！……兄は、私の永遠の目標なのです！			敏腕美容師の華麗なる妙技							
ジャンドゥレーヌさんが才能豊かなのは確か……。彼の……椰子の如く、しなやかな発想と行動には……いつも驚かされるばかりです……。			ジャンドゥレーヌさんが才能豊かなのは確か……。彼の……椰子の如く、しなやかな発想と行動には……いつも驚かされるばかりです……。			敏腕美容師の華麗なる妙技							
……初めて彼と出会ったときの話です。すれ違い様に……突然、切りつけられて……私は、この髪形に生まれ変わっていました。			……初めて彼と出会ったときの話です。すれ違い様に……突然、切りつけられて……私は、この髪形に生まれ変わっていました。			敏腕美容師の華麗なる妙技							
ジャンドゥレーヌさんに出会うまで……私の前髪は……柳のごとく長く……作業を妨げていたのです。			ジャンドゥレーヌさんに出会うまで……私の前髪は……柳のごとく長く……作業を妨げていたのです。			敏腕美容師の華麗なる妙技							
生まれ変わってからは集中力が増し……木との対話にのめりこみ、気づけばギルドマスターに……。ですから……今も、この髪型を貫いているんです。			生まれ変わってからは集中力が増し……木との対話にのめりこみ、気づけばギルドマスターに……。ですから……今も、この髪型を貫いているんです。			敏腕美容師の華麗なる妙技							
私は……木工のことしかわかりませんが……木には……生育に適した環境があるものです……。さて、ジャンドゥレーヌさんは……どうでしょう？			私は……木工のことしかわかりませんが……木には……生育に適した環境があるものです……。さて、ジャンドゥレーヌさんは……どうでしょう？			敏腕美容師の華麗なる妙技							
彼に相応しい環境は何処か……考えながら、追ってみてください……。次の目的地は……ウルダハの錬金術師ギルドのようですよ。			彼に相応しい環境は何処か……考えながら、追ってみてください……。次の目的地は……ウルダハの錬金術師ギルドのようですよ。			敏腕美容師の華麗なる妙技							
兄に相応しい環境……？考えてみます……ありがとうございました。			兄に相応しい環境……？考えてみます……ありがとうございました。			敏腕美容師の華麗なる妙技							
スギの木のような……弟さんでした。生真面目で……まっすぐで……。しかし、スギ材は乾燥を誤ると、すぐ割れるもの……。			スギの木のような……弟さんでした。生真面目で……まっすぐで……。しかし、スギ材は乾燥を誤ると、すぐ割れるもの……。			敏腕美容師の華麗なる妙技							
貴方も、ジャンドゥレーヌさんを……お探しでしたよね。よければ、弟さんを……見守ってあげてください。錬金術師ギルドの「セヴェリアン」さんを訪ねるついでに……。			貴方も、ジャンドゥレーヌさんを……お探しでしたよね。よければ、弟さんを……見守ってあげてください。錬金術師ギルドの「セヴェリアン」さんを訪ねるついでに……。			敏腕美容師の華麗なる妙技							
イシュガルドの豪邸で、執務するジャンドゥレーヌさん……雪深いイシュガルドに……南国の椰子を植えたら……どうなってしまうんでしょう！？			イシュガルドの豪邸で、執務するジャンドゥレーヌさん……雪深いイシュガルドに……南国の椰子を植えたら……どうなってしまうんでしょう！？			敏腕美容師の華麗なる妙技							
……なんて頑固な男だ、私の言葉がまるで通じない。スノークローク大氷壁よりも頭が固いのではないか……。			……なんて頑固な男だ、私の言葉がまるで通じない。スノークローク大氷壁よりも頭が固いのではないか……。			敏腕美容師の華麗なる妙技							
……なんと、お前までジャンドゥレーヌ探しか？弟にも言ったが、ここはヤツの家ではない！ヤツは用が済むなり、さっさと次の目的地へ向かったぞ。			……なんと、お前までジャンドゥレーヌ探しか？弟にも言ったが、ここはヤツの家ではない！ヤツは用が済むなり、さっさと次の目的地へ向かったぞ。			敏腕美容師の華麗なる妙技							
ですから、その目的地を教えてください！……何度言ったら、わかってくれるんですか！？			ですから、その目的地を教えてください！……何度言ったら、わかってくれるんですか！？			敏腕美容師の華麗なる妙技							
配達士さんからも、頼んでください！さっきから懇願しているのですが、埒があかないのです。			配達士さんからも、頼んでください！さっきから懇願しているのですが、埒があかないのです。			敏腕美容師の華麗なる妙技							
答えん、断じて答えんぞ……！ヤツをイシュガルドに押し込めるなど、笑止千万！家門が大切と言うなら、自分で守ればいいではないか。			答えん、断じて答えんぞ……！ヤツをイシュガルドに押し込めるなど、笑止千万！家門が大切と言うなら、自分で守ればいいではないか。			敏腕美容師の華麗なる妙技							
……私に、そのような手腕などありません！私は、なにひとつ兄上の足元に及びませんから。			……私に、そのような手腕などありません！私は、なにひとつ兄上の足元に及びませんから。			敏腕美容師の華麗なる妙技							
……うむ、確かにヤツは偉大だな！だが、それは飽くなき探求精神ゆえ。古くさい宗教都市では、価値ある化学反応など望めん！			……うむ、確かにヤツは偉大だな！だが、それは飽くなき探求精神ゆえ。古くさい宗教都市では、価値ある化学反応など望めん！			敏腕美容師の華麗なる妙技							
それに引き替え……お前は、実につまらん弟だな。凡庸で、革新性の欠片も見られん……。伝統なんぞに縛られるとしたら、お前の方が適任だ。			それに引き替え……お前は、実につまらん弟だな。凡庸で、革新性の欠片も見られん……。伝統なんぞに縛られるとしたら、お前の方が適任だ。			敏腕美容師の華麗なる妙技							
……いや待て。ふむ……そうか……そうなのだ、弟！お前は、やはり兄に即刻会うべきだ！			……いや待て。ふむ……そうか……そうなのだ、弟！お前は、やはり兄に即刻会うべきだ！			敏腕美容師の華麗なる妙技							
お前の兄ならば、今頃、リムサ・ロミンサの冒険者ギルド付近にいるだろう。さあ弟よ、いますぐ駆けつけるがいい！			お前の兄ならば、今頃、リムサ・ロミンサの冒険者ギルド付近にいるだろう。さあ弟よ、いますぐ駆けつけるがいい！			敏腕美容師の華麗なる妙技							
……唐突な心変わりの理由は理解に苦しみますが、兄の居場所を教えていただき、感謝します。それでは、私はこれにて……。			……唐突な心変わりの理由は理解に苦しみますが、兄の居場所を教えていただき、感謝します。それでは、私はこれにて……。			敏腕美容師の華麗なる妙技							
ふふ……ふははは！……弟め……ヤツにぞんぶんに切り刻まれるがいい！			ふふ……ふははは！……弟め……ヤツにぞんぶんに切り刻まれるがいい！			敏腕美容師の華麗なる妙技							
おっと……お前もジャンドゥレーヌに用があるのだろう？ならば、さっさとリムサ・ロミンサへ行くがいい！			おっと……お前もジャンドゥレーヌに用があるのだろう？ならば、さっさとリムサ・ロミンサへ行くがいい！			敏腕美容師の華麗なる妙技							
ふふ……ふははは！……弟め……ヤツにぞんぶんに切り刻まれるがいい！			ふふ……ふははは！……弟め……ヤツにぞんぶんに切り刻まれるがいい！			敏腕美容師の華麗なる妙技							
おっと、お前もジャンドゥレーヌに用があるのだろう？ならば、さっさとリムサ・ロミンサへ行くがいい！			おっと、お前もジャンドゥレーヌに用があるのだろう？ならば、さっさとリムサ・ロミンサへ行くがいい！			敏腕美容師の華麗なる妙技							
今日こそは、イシュガルドへ連れ帰りますよ……！病の父上に無理をさせるわけにはいきません。兄上なくして、誰が父上を助けるのですか！？			今日こそは、イシュガルドへ連れ帰りますよ……！病の父上に無理をさせるわけにはいきません。兄上なくして、誰が父上を助けるのですか！？			敏腕美容師の華麗なる妙技							
よう、オメーか……オレに手紙だと？見てのとおり、弟との再会で修羅場ってんだが……オメーに免じて、受け取ってやんよ！			よう、オメーか……オレに手紙だと？見てのとおり、弟との再会で修羅場ってんだが……オメーに免じて、受け取ってやんよ！			敏腕美容師の華麗なる妙技							
配達士さん、ありがとうございます！……私は今、改めて感動しました。困難を乗り越えて、配達という使命を果たす人の姿に！			配達士さん、ありがとうございます！……私は今、改めて感動しました。困難を乗り越えて、配達という使命を果たす人の姿に！			敏腕美容師の華麗なる妙技							
さすがはオレの弟だぁ、気が合うな！まったく同感だぜ。			さすがはオレの弟だぁ、気が合うな！まったく同感だぜ。			敏腕美容師の華麗なる妙技							
でしたら、兄上も使命を果たしてください！床に伏した父上に、いつまで無理をさせるつもりですか！？			でしたら、兄上も使命を果たしてください！床に伏した父上に、いつまで無理をさせるつもりですか！？			敏腕美容師の華麗なる妙技							
久方ぶりの再会だっつーのに、ずいぶんな対応だな。品行方正がウリのオメーらしさ、どこにいっちまった？			久方ぶりの再会だっつーのに、ずいぶんな対応だな。品行方正がウリのオメーらしさ、どこにいっちまった？			敏腕美容師の華麗なる妙技							
長い間、家を顧みることなく、遊び呆けている貴方に、尽くす礼なぞありません！引きずってでも、イシュガルドへ連れ帰りますよ！			長い間、家を顧みることなく、遊び呆けている貴方に、尽くす礼なぞありません！引きずってでも、イシュガルドへ連れ帰りますよ！			敏腕美容師の華麗なる妙技							
しばらく見ぬ間に、オメーは成長したようだ。だが……オメーは今、最高に生きてるか？本当の自分を生きてんのかっ！？			しばらく見ぬ間に、オメーは成長したようだ。だが……オメーは今、最高に生きてるか？本当の自分を生きてんのかっ！？			敏腕美容師の華麗なる妙技							
オメーの人生、ザックザクに切り刻んでやんよ！キィィイイルゥゥゥ　オア　ダイッ！			オメーの人生、ザックザクに切り刻んでやんよ！キィィイイルゥゥゥ　オア　ダイッ！			敏腕美容師の華麗なる妙技							
……あ、兄上？ちょ、ちょっと……ま、まさかっ！？			……あ、兄上？ちょ、ちょっと……ま、まさかっ！？			敏腕美容師の華麗なる妙技							
ぎやああああああああああ！！！			ぎやああああああああああ！！！			敏腕美容師の華麗なる妙技							
どうだ……新世界に生まれ変わった気分はよ？……バラ色だろ？			どうだ……新世界に生まれ変わった気分はよ？……バラ色だろ？			敏腕美容師の華麗なる妙技							
なんだ……この感覚は……？私には、ありもしないと思っていた威厳と風格……そして、自信が心の底からみなぎってくる……。			なんだ……この感覚は……？私には、ありもしないと思っていた威厳と風格……そして、自信が心の底からみなぎってくる……。			敏腕美容師の華麗なる妙技							
まるで、生まれ変わったかのような気分だ……。兄を追い続けていた私が見えていなかった……これが……本当の……私……。			まるで、生まれ変わったかのような気分だ……。兄を追い続けていた私が見えていなかった……これが……本当の……私……。			敏腕美容師の華麗なる妙技							
そうだッ！　今この瞬間、オメーは新しく生まれ変わった。だから今日は、オメーの誕生日だッ！			そうだッ！　今この瞬間、オメーは新しく生まれ変わった。だから今日は、オメーの誕生日だッ！			敏腕美容師の華麗なる妙技							
誕生日おめでとさん！			誕生日おめでとさん！			敏腕美容師の華麗なる妙技							
……そうか、そういうことか。ベアティヌさんとセヴェリアンさんの真意を……私は今、ようやく理解しました……。			……そうか、そういうことか。ベアティヌさんとセヴェリアンさんの真意を……私は今、ようやく理解しました……。			敏腕美容師の華麗なる妙技							
兄上……貴方はすごい人だ。家のことは、私が責任を持ってみせます！だから兄上は、これからも多くの人を切り刻んであげてください！			兄上……貴方はすごい人だ。家のことは、私が責任を持ってみせます！だから兄上は、これからも多くの人を切り刻んであげてください！			敏腕美容師の華麗なる妙技							
やはり、兄上……ジャンドゥレーヌは私の自慢で憧れです。私も、自分で選んだ使命を、きっと果たしてみせます。兄上や、配達士さんに負けないように！			やはり、兄上……ジャンドゥレーヌは私の自慢で憧れです。私も、自分で選んだ使命を、きっと果たしてみせます。兄上や、配達士さんに負けないように！			敏腕美容師の華麗なる妙技							
先輩レターモーグリから託された手紙の配達に成功したため、「配達士」として成長しました！			先輩レターモーグリから託された手紙の配達に成功したため、「配達士」として成長しました！			敏腕美容師の華麗なる妙技							
聖コイナク財団の調査地のクリントータは、冒険者にあるものを託したいようだ。			聖コイナク財団の調査地のクリントータは、冒険者にあるものを託したいようだ。			配達士は突然に							
クリントータから、誤って配達されたという彼女の兄宛の手紙を受け取った。リムサ・ロミンサのブルワークホール付近にいる「リスフロー」へ届けよう。			クリントータから、誤って配達されたという彼女の兄宛の手紙を受け取った。リムサ・ロミンサのブルワークホール付近にいる「リスフロー」へ届けよう。			配達士は突然に							
リスフローへ手紙を届けたところ、レターモーグリに才能を認められ、冒険者は「配達士」に任命された。「配達士」の仕事があるときは、ブルワークホール付近で先輩レターモーグリが待っているようだ。先輩レターモーグリを見かけたら、積極的に配達を引き受けて、エオルゼア中の人々へ手紙を届けてあげよう。			リスフローへ手紙を届けたところ、レターモーグリに才能を認められ、冒険者は「配達士」に任命された。「配達士」の仕事があるときは、ブルワークホール付近で先輩レターモーグリが待っているようだ。先輩レターモーグリを見かけたら、積極的に配達を引き受けて、エオルゼア中の人々へ手紙を届けてあげよう。			配達士は突然に							
リムサ・ロミンサのリスフローに手紙を渡す			リムサ・ロミンサのリスフローに手紙を渡す			配達士は突然に							
やあ冒険者さん、いいところに来てくれた。先ほど、レターモーグリが手紙を届けてくれたようなんだが、ボク宛てじゃなかったんだ……。			やあ冒険者さん、いいところに来てくれた。先ほど、レターモーグリが手紙を届けてくれたようなんだが、ボク宛てじゃなかったんだ……。			配達士は突然に							
父親の名が同じだったから、間違えてしまったんだろう。ほら、ゼーヴォルフって、父親の名を受け継ぐからさ。			父親の名が同じだったから、間違えてしまったんだろう。ほら、ゼーヴォルフって、父親の名を受け継ぐからさ。			配達士は突然に							
モーグリ族って、魔法で姿を消しているんだろ？いつも、いつの間にか手紙が配達されているから、間違っていることにも気付けなかったのさ。			モーグリ族って、魔法で姿を消しているんだろ？いつも、いつの間にか手紙が配達されているから、間違っていることにも気付けなかったのさ。			配達士は突然に							
……この手紙を、冒険者さんに託してもいいかな？レターモーグリが手紙を回収しに来るのを待ってたら、いつになるかわからないからね。			……この手紙を、冒険者さんに託してもいいかな？レターモーグリが手紙を回収しに来るのを待ってたら、いつになるかわからないからね。			配達士は突然に							
本当の受取人は、我が兄の「リスフロー」。リムサ・ロミンサのブルワークホール付近で、警備にあたっているはずさ。			本当の受取人は、我が兄の「リスフロー」。リムサ・ロミンサのブルワークホール付近で、警備にあたっているはずさ。			配達士は突然に							
急ぎの手紙ではなさそうだから、近くに立ち寄ったときに届けてくれればいい。……ついでに、食べ過ぎに注意するよう伝えてくれよ。			急ぎの手紙ではなさそうだから、近くに立ち寄ったときに届けてくれればいい。……ついでに、食べ過ぎに注意するよう伝えてくれよ。			配達士は突然に							
本当の受取人は、我が兄の「リスフロー」。リムサ・ロミンサのブルワークホール付近で、警備にあたっているはずさ。			本当の受取人は、我が兄の「リスフロー」。リムサ・ロミンサのブルワークホール付近で、警備にあたっているはずさ。			配達士は突然に							
急ぎの手紙ではなさそうだから、近くに立ち寄ったときに届けてくれればいい。……ついでに、食べ過ぎに注意するよう伝えてくれよ。			急ぎの手紙ではなさそうだから、近くに立ち寄ったときに届けてくれればいい。……ついでに、食べ過ぎに注意するよう伝えてくれよ。			配達士は突然に							
おう、久しぶりだな！君の活躍は聞いてるよ、立派になったもんだな！それで、今日は何か用か？			おう、久しぶりだな！君の活躍は聞いてるよ、立派になったもんだな！それで、今日は何か用か？			配達士は突然に							
どうした、道にでも迷ったか？俺はここの警備を担当している者だが、何か用か？			どうした、道にでも迷ったか？俺はここの警備を担当している者だが、何か用か？			配達士は突然に							
……俺宛ての手紙が、妹のところに行ってたのか。わざわざ届けてくれて、ありがとよ。妹の伝言どおり、食べ過ぎにも注意するよ！			……俺宛ての手紙が、妹のところに行ってたのか。わざわざ届けてくれて、ありがとよ。妹の伝言どおり、食べ過ぎにも注意するよ！			配達士は突然に							
(-？？？？-)クポ、クポ、クポー！リスフローさん、ごめんなさいクポー！！			(-？？？？-)クポ、クポ、クポー！リスフローさん、ごめんなさいクポー！！			配達士は突然に							
みんなの大切な手紙を預かる「配達士」モグとしたことが、リスフローさん宛てのレターを、なくしちゃったみたいなのクポ……。			みんなの大切な手紙を預かる「配達士」モグとしたことが、リスフローさん宛てのレターを、なくしちゃったみたいなのクポ……。			配達士は突然に							
これは、配達士としてあるまじきことクポ！お詫びにモグの、とっておきダンスを……。			これは、配達士としてあるまじきことクポ！お詫びにモグの、とっておきダンスを……。			配達士は突然に							
おお、こいつはモーグリ族じゃないか！自分から姿を見せてくれるなんて、珍しいこともあるもんだ！			おお、こいつはモーグリ族じゃないか！自分から姿を見せてくれるなんて、珍しいこともあるもんだ！			配達士は突然に							
はっはっはっ、そう落ち込むなって！一生見ることがないと思ってたモーグリ族と話ができて、俺としちゃ、むしろ嬉しいぐらいさ！			はっはっはっ、そう落ち込むなって！一生見ることがないと思ってたモーグリ族と話ができて、俺としちゃ、むしろ嬉しいぐらいさ！			配達士は突然に							
レターモーグリっていやぁ……お前ひとりで、エオルゼアの各地に行っては、たくさんの手紙を届けてるらしいじゃないか。			レターモーグリっていやぁ……お前ひとりで、エオルゼアの各地に行っては、たくさんの手紙を届けてるらしいじゃないか。			配達士は突然に							
