リムサ・ロミンサの下甲板層にいるナシュメラは、冒険者の成長を喜んでいるようだ。			リムサ・ロミンサの下甲板層にいるナシュメラは、冒険者の成長を喜んでいるようだ。			新天地へと舞い挑め							
Forename、ラナー、急なんだけど、「中央ラノシア」まで来てくれる？最近抱えていた悩みに、答えが出たかもしれない。			Forename、ラナー、急なんだけど、「中央ラノシア」まで来てくれる？最近抱えていた悩みに、答えが出たかもしれない。			新天地へと舞い挑め							
座長は、最近とみにラナーを信頼していますよ。実際、アタシから見ても、彼女の活躍は目覚ましい。もう気軽に「嬢ちゃん」とは言えませんね。			座長は、最近とみにラナーを信頼していますよ。実際、アタシから見ても、彼女の活躍は目覚ましい。もう気軽に「嬢ちゃん」とは言えませんね。			新天地へと舞い挑め							
秘密はなし、って約束してから、ナシュメラ先生、色んなことを話してくれるようになったんだ。今回も、一座に関することかな……。			秘密はなし、って約束してから、ナシュメラ先生、色んなことを話してくれるようになったんだ。今回も、一座に関することかな……。			新天地へと舞い挑め							
さて……急な話になるんだけど、つい先日、クガネの無地鼓座から公演依頼が届いたの。それも、かなりの高待遇でね。			さて……急な話になるんだけど、つい先日、クガネの無地鼓座から公演依頼が届いたの。それも、かなりの高待遇でね。			新天地へと舞い挑め							
えっ、無地鼓座って多くの劇団や舞踏家を招聘している、ひんがしの国でも伝統ある劇場ですよね！？すごい……！　いつからなんです？			えっ、無地鼓座って多くの劇団や舞踏家を招聘している、ひんがしの国でも伝統ある劇場ですよね！？すごい……！　いつからなんです？			新天地へと舞い挑め							
それが……すぐに発たないと間に合わないの。でも、「トーテンタンツ」の影も完全に払えたとは言えないし、私も後進の発掘と育成に着手したばかり……。			それが……すぐに発たないと間に合わないの。でも、「トーテンタンツ」の影も完全に払えたとは言えないし、私も後進の発掘と育成に着手したばかり……。			新天地へと舞い挑め							
依頼を受ける場合、これらの課題をどうするか。あなたと相談しようと思っていたんだけど……さっきの会話の中で、ある案が浮かんだの。			依頼を受ける場合、これらの課題をどうするか。あなたと相談しようと思っていたんだけど……さっきの会話の中で、ある案が浮かんだの。			新天地へと舞い挑め							
ラナー……あなた、私の後を継いで、ファルシャム一座の座長にならないかしら？			ラナー……あなた、私の後を継いで、ファルシャム一座の座長にならないかしら？			新天地へと舞い挑め							
…………ハイ？			…………ハイ？			新天地へと舞い挑め							
ラナーがファルシャム一座を率いてくれれば、私はエオルゼアに残り、「トーテンタンツ」に備えられる。一座の東方巡業と、後進の育成も両立でき、一石三鳥なのよ。			ラナーがファルシャム一座を率いてくれれば、私はエオルゼアに残り、「トーテンタンツ」に備えられる。一座の東方巡業と、後進の育成も両立でき、一石三鳥なのよ。			新天地へと舞い挑め							
そんな！　私なんてまだまだ未熟で……！とてもナシュメラ先生の代わりなんて無理です！			そんな！　私なんてまだまだ未熟で……！とてもナシュメラ先生の代わりなんて無理です！			新天地へと舞い挑め							
……誰でも、始めたばかりの頃は未熟者よ。多少の失敗はあったとしても、それを糧に成長すればいい。それに、一座の皆が支えてくれるわ。			……誰でも、始めたばかりの頃は未熟者よ。多少の失敗はあったとしても、それを糧に成長すればいい。それに、一座の皆が支えてくれるわ。			新天地へと舞い挑め							
私はそう思うけど、あなたが無理と言うなら、この話は断るしかなさそう……。ふたりで相談してもいいから、少し考えてみて。			私はそう思うけど、あなたが無理と言うなら、この話は断るしかなさそう……。ふたりで相談してもいいから、少し考えてみて。			新天地へと舞い挑め							
え、えええ、どうしよう。ナシュメラ先生の教えがあったって失敗だらけなのに、そんな私が、一座の責任まで負うなんて……！			え、えええ、どうしよう。ナシュメラ先生の教えがあったって失敗だらけなのに、そんな私が、一座の責任まで負うなんて……！			新天地へと舞い挑め							
でも、この話を断ったら、無地鼓座での公演もなくなる……。エオルゼアには、まだ踊り子が必要だし、ナシュメラ先生も、後進を見出すのに張り切ってて……。			でも、この話を断ったら、無地鼓座での公演もなくなる……。エオルゼアには、まだ踊り子が必要だし、ナシュメラ先生も、後進を見出すのに張り切ってて……。			新天地へと舞い挑め							
あああ……なんだか、よくわかんなくなってきたよ。私は、身体を動かすのが取り柄で、悩むなんて柄じゃないのに。……ねえ、こういうときって、どうすれば答えが出せるのかな？			あああ……なんだか、よくわかんなくなってきたよ。私は、身体を動かすのが取り柄で、悩むなんて柄じゃないのに。……ねえ、こういうときって、どうすれば答えが出せるのかな？			新天地へと舞い挑め							
なんと答える？			なんと答える？			新天地へと舞い挑め							
考えて駄目なら動けばいい			考えて駄目なら動けばいい			新天地へと舞い挑め							
君には踊りがある			君には踊りがある			新天地へと舞い挑め							
……そうだよね、うじうじ悩んだって答えは出ない。それよりも私らしいやり方……踊りで身体を動かしていた方が、自分が本当に望んでいることが見えてきそう。			……そうだよね、うじうじ悩んだって答えは出ない。それよりも私らしいやり方……踊りで身体を動かしていた方が、自分が本当に望んでいることが見えてきそう。			新天地へと舞い挑め							
……そっか、踊りしかないんなら、この悩みの答えも、踊りで出せばいいのかな……。身体を動かしている方が、自分の本当の望みが見えてきそう。			……そっか、踊りしかないんなら、この悩みの答えも、踊りで出せばいいのかな……。身体を動かしている方が、自分の本当の望みが見えてきそう。			新天地へと舞い挑め							
ねえ、Forename、いっしょに踊って！旅を通じて磨いてきたキミの舞を通して、今の私を見つめ直したいんだ！			ねえ、Forename、いっしょに踊って！旅を通じて磨いてきたキミの舞を通して、今の私を見つめ直したいんだ！			新天地へと舞い挑め							
人の気配もないし、見晴らしもいい……。ここで、私たちふたりの久方ぶりの共演といこう。			人の気配もないし、見晴らしもいい……。ここで、私たちふたりの久方ぶりの共演といこう。			新天地へと舞い挑め							
それと、せっかく踊るのなら、向い合わせで踊らせてくれるかな。こんな機会は滅多にないし……成長したキミの踊りから、学び取れる部分を見つけて吸収したいんだ。			それと、せっかく踊るのなら、向い合わせで踊らせてくれるかな。こんな機会は滅多にないし……成長したキミの踊りから、学び取れる部分を見つけて吸収したいんだ。			新天地へと舞い挑め							
ありがとう……すっごい、すっごい気持ちよかった！			ありがとう……すっごい、すっごい気持ちよかった！			新天地へと舞い挑め							
何度、キミに見とれちゃったか……。あまりに夢中で……座長になるか悩んでたこと、忘れてたよ。			何度、キミに見とれちゃったか……。あまりに夢中で……座長になるか悩んでたこと、忘れてたよ。			新天地へと舞い挑め							
キミも、少しは楽しんで踊ってくれたなら嬉しいな。それと……私の舞、少しは成長したと思う？			キミも、少しは楽しんで踊ってくれたなら嬉しいな。それと……私の舞、少しは成長したと思う？			新天地へと舞い挑め							
なんと答える？			なんと答える？			新天地へと舞い挑め							
素晴らしい舞だった			素晴らしい舞だった			新天地へと舞い挑め							
まだ成長できる			まだ成長できる			新天地へと舞い挑め							
えへへ……ありがとう。だとしたら、それはキミに引き出してもらった力だよ。こうしてキミと向かい合って、本当に沢山のことを感じ取れた。			えへへ……ありがとう。だとしたら、それはキミに引き出してもらった力だよ。こうしてキミと向かい合って、本当に沢山のことを感じ取れた。			新天地へと舞い挑め							
ちぇ、今は、まだまだってことだね。でも……成長の余地があるんだって言ってもらえるのは嬉しいや。もっと優れた踊り子になるんだって、がんばり甲斐があるもんね！			ちぇ、今は、まだまだってことだね。でも……成長の余地があるんだって言ってもらえるのは嬉しいや。もっと優れた踊り子になるんだって、がんばり甲斐があるもんね！			新天地へと舞い挑め							
……うん、私、踊ることが何よりも好きだ。もっと成長したい、もっと沢山の人に向けて踊りたい。その夢を叶えるには……逃げてちゃ駄目だよね。			……うん、私、踊ることが何よりも好きだ。もっと成長したい、もっと沢山の人に向けて踊りたい。その夢を叶えるには……逃げてちゃ駄目だよね。			新天地へと舞い挑め							
私、やるよ。ナシュメラ先生みたいに、優れた座長にはなれないだろうけど、みんなと歩みながら成長していく座長なら、なれる気がする。			私、やるよ。ナシュメラ先生みたいに、優れた座長にはなれないだろうけど、みんなと歩みながら成長していく座長なら、なれる気がする。			新天地へと舞い挑め							
よしっ……そうと決まれば、さっそくナシュメラ先生に報告しよう！「リムサ・ロミンサ」で、私たちを待っているだろうから。			よしっ……そうと決まれば、さっそくナシュメラ先生に報告しよう！「リムサ・ロミンサ」で、私たちを待っているだろうから。			新天地へと舞い挑め							
よし、深呼吸……！			よし、深呼吸……！			新天地へと舞い挑め							
この子、まっすぐ私のもとに走り込んできたわ……。その様子を見ていれば、もう何も聞かなくてもわかる。……決めたのね？			この子、まっすぐ私のもとに走り込んできたわ……。その様子を見ていれば、もう何も聞かなくてもわかる。……決めたのね？			新天地へと舞い挑め							
座長として、ナシュメラ先生の代わりにはなれませんけど……自分なりのやり方で、挑戦してみようと思います！			座長として、ナシュメラ先生の代わりにはなれませんけど……自分なりのやり方で、挑戦してみようと思います！			新天地へと舞い挑め							
……素敵な答えだわ。さあ、そうと決めたなら、座員に報告してきなさい。私も、Forenameとすぐに向かうから。			……素敵な答えだわ。さあ、そうと決めたなら、座員に報告してきなさい。私も、Forenameとすぐに向かうから。			新天地へと舞い挑め							
予想外だったわ……。まさか、この短時間で……なんてアドバイスしたの？			予想外だったわ……。まさか、この短時間で……なんてアドバイスしたの？			新天地へと舞い挑め							
なんと答える？			なんと答える？			新天地へと舞い挑め							
一緒に踊った			一緒に踊った			新天地へと舞い挑め							
内緒だ			内緒だ			新天地へと舞い挑め							
なるほど、あの子らしい……。やっぱり、あなたには人を映す鏡のような才があるわ。きっとこれからも、多くの人に影響を与えていくでしょうね。			なるほど、あの子らしい……。やっぱり、あなたには人を映す鏡のような才があるわ。きっとこれからも、多くの人に影響を与えていくでしょうね。			新天地へと舞い挑め							
ふふ……ふたりだけの秘密ってこと？以前、弟子に嫉妬しないなんて言ったことがあるけど、ちょっと妬けちゃうわね。			ふふ……ふたりだけの秘密ってこと？以前、弟子に嫉妬しないなんて言ったことがあるけど、ちょっと妬けちゃうわね。			新天地へと舞い挑め							
あの子の力になってくれて、ありがとうね……。さあ、私たちも戻りましょう。			あの子の力になってくれて、ありがとうね……。さあ、私たちも戻りましょう。			新天地へと舞い挑め							
「嬢ちゃん」呼びを辞めようかと思っていた矢先に、これは、たまげた……！			「嬢ちゃん」呼びを辞めようかと思っていた矢先に、これは、たまげた……！			新天地へと舞い挑め							
ふふふ……みんな、ビックリしているみたいね。			ふふふ……みんな、ビックリしているみたいね。			新天地へと舞い挑め							
青天の霹靂とは、このことですな。喜びと寂しさが同時に襲ってきて、なんとも筆舌に尽くしがたい気持ちじゃありますが……。			青天の霹靂とは、このことですな。喜びと寂しさが同時に襲ってきて、なんとも筆舌に尽くしがたい気持ちじゃありますが……。			新天地へと舞い挑め							
ラナーの嬢ちゃん……いえ、ラナー座長の就任には大賛成でさ。こんなに晴れ晴れとした顔の新座長を迎え入れられるんだ。なんの不安もありゃしませんよ。			ラナーの嬢ちゃん……いえ、ラナー座長の就任には大賛成でさ。こんなに晴れ晴れとした顔の新座長を迎え入れられるんだ。なんの不安もありゃしませんよ。			新天地へと舞い挑め							
クイールド、みんな……私がんばるよ。ファルシャム一座が、これからも最高の一座でいられるよう、一緒に、盛り立てていこう！			クイールド、みんな……私がんばるよ。ファルシャム一座が、これからも最高の一座でいられるよう、一緒に、盛り立てていこう！			新天地へと舞い挑め							
そうと決まれば、善は急げ！急いで、クガネへの旅支度をして……出港だ！			そうと決まれば、善は急げ！急いで、クガネへの旅支度をして……出港だ！			新天地へと舞い挑め							
そうなれば、私もリムサ・ロミンサに留まる理由はない。エオルゼア各地を巡り、後進の育成を本格的に始めるわ。……ここで、お別れね。			そうなれば、私もリムサ・ロミンサに留まる理由はない。エオルゼア各地を巡り、後進の育成を本格的に始めるわ。……ここで、お別れね。			新天地へと舞い挑め							
Forenameも、自分の冒険に戻るんでしょう？でも、私にナシュメラ先生、そしてキミも……「踊り子」として歩んでいくことに変わりはない。			Forenameも、自分の冒険に戻るんでしょう？でも、私にナシュメラ先生、そしてキミも……「踊り子」として歩んでいくことに変わりはない。			新天地へと舞い挑め							
だから、またそれぞれの道が交わるときが、きっと来る。それまでに、私は一座で公演を重ねて……さらに優れた踊り子になってみせるから！			だから、またそれぞれの道が交わるときが、きっと来る。それまでに、私は一座で公演を重ねて……さらに優れた踊り子になってみせるから！			新天地へと舞い挑め							
それじゃ……今は「行ってきます」って言わせてね。私の妹弟弟子で、ライバルで……最高の共演者。また、一緒に踊れる日を楽しみにしておくよ！			それじゃ……今は「行ってきます」って言わせてね。私の妹弟弟子で、ライバルで……最高の共演者。また、一緒に踊れる日を楽しみにしておくよ！			新天地へと舞い挑め							
双蛇党：統合司令部前のラナー・ミーゴに、手紙が届いたようだ。			双蛇党：統合司令部前のラナー・ミーゴに、手紙が届いたようだ。			至上の舞を披露せよ							
ナシュメラから、アラミゴで公演を行えることになったと連絡が届いた。ギラバニア山岳地帯のアラガーナで「ラナー・ミーゴ」と話そう。			ナシュメラから、アラミゴで公演を行えることになったと連絡が届いた。ギラバニア山岳地帯のアラガーナで「ラナー・ミーゴ」と話そう。			至上の舞を披露せよ							
ラナー・ミーゴは公演に向けて気合充分なようだ。冒険者も準備を整えアラガーナの「ラナー・ミーゴ」と話そう。			ラナー・ミーゴは公演に向けて気合充分なようだ。冒険者も準備を整えアラガーナの「ラナー・ミーゴ」と話そう。			至上の舞を披露せよ							
アラミゴの民が抱えていた心の闇を打ち砕いた。ギラバニア山岳地帯で、助太刀に駆けつけたナシュメラのもとへ向かおう。			アラミゴの民が抱えていた心の闇を打ち砕いた。ギラバニア山岳地帯で、助太刀に駆けつけたナシュメラのもとへ向かおう。			至上の舞を披露せよ							
ナシュメラの友人はフ・ラミンだった。ナシュメラも、冒険者とラナー・ミーゴの舞に感服したようだ。アラガーナの「ラナー・ミーゴ」と話そう。			ナシュメラの友人はフ・ラミンだった。ナシュメラも、冒険者とラナー・ミーゴの舞に感服したようだ。アラガーナの「ラナー・ミーゴ」と話そう。			至上の舞を披露せよ							
五ヶ国をまわり、エオルゼアでの興行は完了したようだ。リムサ・ロミンサの下甲板層で「ラナー・ミーゴ」と話そう。			五ヶ国をまわり、エオルゼアでの興行は完了したようだ。リムサ・ロミンサの下甲板層で「ラナー・ミーゴ」と話そう。			至上の舞を披露せよ							
ファルシャム一座は、エオルゼアでの興行を続けていくようだ。またともに踊れる日を楽しみにしつつ、それぞれの方法で踊りの道を追求していこう。※以下の条件を満たすと、下甲板層のナシュメラから、新たなジョブクエストを受注することができます。1「メインクエスト：漆黒のヴィランズ」の、　「漆黒のヴィランズ」を完了する。2.ファイター系DPSロールの「ロールクエスト 漆黒編」を完了する。			ファルシャム一座は、エオルゼアでの興行を続けていくようだ。またともに踊れる日を楽しみにしつつ、それぞれの方法で踊りの道を追求していこう。※以下の条件を満たすと、下甲板層のナシュメラから、新たなジョブクエストを受注することができます。1「メインクエスト：漆黒のヴィランズ」の、　「漆黒のヴィランズ」を完了する。2.ファイター系DPSロールの「ロールクエスト 漆黒編」を完了する。			至上の舞を披露せよ							
アラガーナのラナー・ミーゴと話す			アラガーナのラナー・ミーゴと話す			至上の舞を披露せよ							
ラナー・ミーゴと再度話す			ラナー・ミーゴと再度話す			至上の舞を披露せよ							
ラナー・ミーゴとさらに話す			ラナー・ミーゴとさらに話す			至上の舞を披露せよ							
リムサ・ロミンサのラナー・ミーゴと話す			リムサ・ロミンサのラナー・ミーゴと話す			至上の舞を披露せよ							
エーテル体を倒せ！			エーテル体を倒せ！			至上の舞を披露せよ							
本クエストを進行するためには、「メインクエスト：紅蓮のリベレーター」の、「混乱のスペキュラ」を完了する必要があります。			本クエストを進行するためには、「メインクエスト：紅蓮のリベレーター」の、「混乱のスペキュラ」を完了する必要があります。			至上の舞を披露せよ							
ラナーの嬢ちゃんは、エオルゼアで大きく成長しましたな。いっときとはいえ、一座を任せられるまでになるとは。			ラナーの嬢ちゃんは、エオルゼアで大きく成長しましたな。いっときとはいえ、一座を任せられるまでになるとは。			至上の舞を披露せよ							
ナシュメラ先生から手紙が届いたよ！いよいよ、アラミゴへ出発のときだ……！			ナシュメラ先生から手紙が届いたよ！いよいよ、アラミゴへ出発のときだ……！			至上の舞を披露せよ							
なんでも、ギラバニア山岳地帯の「アラガーナ」という集落で、公演を行う許可を取り付けられたみたい。			なんでも、ギラバニア山岳地帯の「アラガーナ」という集落で、公演を行う許可を取り付けられたみたい。			至上の舞を披露せよ							
国境地帯で、戦端が開かれたことで、また帝国に支配されるんじゃないかと、不安が広がってるって。つまり、「トーテンタンツ」の影が迫ってるってことだよ。			国境地帯で、戦端が開かれたことで、また帝国に支配されるんじゃないかと、不安が広がってるって。つまり、「トーテンタンツ」の影が迫ってるってことだよ。			至上の舞を披露せよ							
帝国の支配をついに脱したとはいえ、アラミゴの人たちは、平和を守れるか不安に思ってもいる。つまり、「トーテンタンツ」の影が迫ってるってことだよ。			帝国の支配をついに脱したとはいえ、アラミゴの人たちは、平和を守れるか不安に思ってもいる。つまり、「トーテンタンツ」の影が迫ってるってことだよ。			至上の舞を披露せよ							
アラガーナは解放されたけど、まだ帝国との戦いは続いているし、不安は尽きないとか。つまり、「トーテンタンツ」の影が迫ってるってことだよ。			アラガーナは解放されたけど、まだ帝国との戦いは続いているし、不安は尽きないとか。つまり、「トーテンタンツ」の影が迫ってるってことだよ。			至上の舞を披露せよ							
ナシュメラ先生いわく、公演の準備はバッチリだって。アラミゴ解放軍の協力も得られて、各地の集落の有力者たちも、可能な限り集めてくれているみたい。			ナシュメラ先生いわく、公演の準備はバッチリだって。アラミゴ解放軍の協力も得られて、各地の集落の有力者たちも、可能な限り集めてくれているみたい。			至上の舞を披露せよ							
だから、公演を成功させて、観客たちを勇気付けられれば、彼らを通じて、ほかの集落にも好影響が与えられるはず！			だから、公演を成功させて、観客たちを勇気付けられれば、彼らを通じて、ほかの集落にも好影響が与えられるはず！			至上の舞を披露せよ							
先生も、手紙の最後にこう書いていた……。「ファルシャム一座の、最高の公演を観せて」って！			先生も、手紙の最後にこう書いていた……。「ファルシャム一座の、最高の公演を観せて」って！			至上の舞を披露せよ							
さあ、ファルシャム一座の全員で、一世一代の公演を披露しよう！ナシュメラ先生も、出先から「アラガーナ」に向かうそうだから、現地で合流しようか！			さあ、ファルシャム一座の全員で、一世一代の公演を披露しよう！ナシュメラ先生も、出先から「アラガーナ」に向かうそうだから、現地で合流しようか！			至上の舞を披露せよ							
座長は、まだ到着していないようですね。なに、きっと公演中に駆けつけてくださいますよ。一座が贈る最上の公演を、その座長が見逃すはずがない。			座長は、まだ到着していないようですね。なに、きっと公演中に駆けつけてくださいますよ。一座が贈る最上の公演を、その座長が見逃すはずがない。			至上の舞を披露せよ							
よし、Forenameも到着だね。ナシュメラ先生は、まだ着いていないんだけど……大丈夫、公演の最中に駆けつけてきてくれるって信じてる。			よし、Forenameも到着だね。ナシュメラ先生は、まだ着いていないんだけど……大丈夫、公演の最中に駆けつけてきてくれるって信じてる。			至上の舞を披露せよ							
あ、それと、せっかく多くの人に観てもらえるんだし、一座の荷物から、舞台の装飾になる物を見繕ってきたんだ！なにせ、エオルゼア巡業の最終公演だからね！			あ、それと、せっかく多くの人に観てもらえるんだし、一座の荷物から、舞台の装飾になる物を見繕ってきたんだ！なにせ、エオルゼア巡業の最終公演だからね！			至上の舞を披露せよ							
今回も、観客には「トーテンタンツ」については説明せず、あくまでも舞の公演として、楽しんでもらうつもりだよ。さあ……公演の準備が整ったら、私に教えて！			今回も、観客には「トーテンタンツ」については説明せず、あくまでも舞の公演として、楽しんでもらうつもりだよ。さあ……公演の準備が整ったら、私に教えて！			至上の舞を披露せよ							
こっちは、もう少しで公演の準備を終えられそうだよ。さあ、キミも舞台に臨む心構えはできた？			こっちは、もう少しで公演の準備を終えられそうだよ。さあ、キミも舞台に臨む心構えはできた？			至上の舞を披露せよ							
近いようで、通うにゃ遠い……。なれば、こちらから参りましょう！我ら、神秘の都「ラザハン」より来たりし「ファルシャム一座」！			近いようで、通うにゃ遠い……。なれば、こちらから参りましょう！我ら、神秘の都「ラザハン」より来たりし「ファルシャム一座」！			至上の舞を披露せよ							
さて、此度、披露いたしますのは、戦禍の痛みも失せろと意気込む、武の舞踏「クリークタンツ」！皆様の、明日への糧にと踊りますゆえ、どうか拍手喝采を！			さて、此度、披露いたしますのは、戦禍の痛みも失せろと意気込む、武の舞踏「クリークタンツ」！皆様の、明日への糧にと踊りますゆえ、どうか拍手喝采を！			至上の舞を披露せよ							
ここまでは、想定どおり……。観衆たちが公演の一部だと思っているうちに、片をつけよう。			ここまでは、想定どおり……。観衆たちが公演の一部だと思っているうちに、片をつけよう。			至上の舞を披露せよ							
これから戦いだっていうのに、すごい昂ぶってるんだ……。みんなが、こんなに盛り上がっているんだもん。観衆の前に立つのが生業の者にとって、これ以上の晴れ舞台はないよ。			これから戦いだっていうのに、すごい昂ぶってるんだ……。みんなが、こんなに盛り上がっているんだもん。観衆の前に立つのが生業の者にとって、これ以上の晴れ舞台はないよ。			至上の舞を披露せよ							
この歓声が途絶えぬかぎり、私はどこまでだって舞い踊れる！さあ、みんなの心にこびり付いたデッカイ不安の塊を、踊って、踊って……打ち砕いてやろう！			この歓声が途絶えぬかぎり、私はどこまでだって舞い踊れる！さあ、みんなの心にこびり付いたデッカイ不安の塊を、踊って、踊って……打ち砕いてやろう！			至上の舞を披露せよ							
ナシュメラ先生、間に合ってよかったです！それに……素晴らしい舞でした！私が幼い頃に憧れた舞そのままの……とても、綺麗な舞。			ナシュメラ先生、間に合ってよかったです！それに……素晴らしい舞でした！私が幼い頃に憧れた舞そのままの……とても、綺麗な舞。			至上の舞を披露せよ							
グリダニアでは、不甲斐ない姿を晒してしまったからね。全盛期の肉体と技を取り戻すべく、調査の合間に鍛え直したの。			グリダニアでは、不甲斐ない姿を晒してしまったからね。全盛期の肉体と技を取り戻すべく、調査の合間に鍛え直したの。			至上の舞を披露せよ							
