弓術士ギルドマスター、ルシアヌの周囲で、何やら揉め事があるようだが……。			弓術士ギルドマスター、ルシアヌの周囲で、何やら揉め事があるようだが……。			迷い無き瞳							
ルシアヌに、Forenameに、……シルヴェル、アンタに教わったことだ。			ルシアヌに、Forenameに、……シルヴェル、アンタに教わったことだ。			迷い無き瞳							
確かにアタシらは、グリダニアをよく知らない。だから、もっと教えて、見せてくれよ。グリダニアのいいところをさ。			確かにアタシらは、グリダニアをよく知らない。だから、もっと教えて、見せてくれよ。グリダニアのいいところをさ。			迷い無き瞳							
……ふん。今回の貸しは、それでチャラだぞ。			……ふん。今回の貸しは、それでチャラだぞ。			迷い無き瞳							
ああ！			ああ！			迷い無き瞳							
パワたちは移動を開始した。だが、まだ奴らを捕らえるチャンスはある。			パワたちは移動を開始した。だが、まだ奴らを捕らえるチャンスはある。			迷い無き瞳							
この、密猟者の間で使われる「骨細工の警笛」を使ってパワたちにニセの合図を送り、おびき出すんだ。			この、密猟者の間で使われる「骨細工の警笛」を使ってパワたちにニセの合図を送り、おびき出すんだ。			迷い無き瞳							
そうか、アンタはこれを手に入れるために「朽葉の吹き溜まり」に……。			そうか、アンタはこれを手に入れるために「朽葉の吹き溜まり」に……。			迷い無き瞳							
この笛は、Forename、お前に預ける。			この笛は、Forename、お前に預ける。			迷い無き瞳							
「イソム・ハーの穴蔵」の東、岩に囲まれた泉の中で、この「骨細工の警笛」を吹いてくれ。周囲の岩が笛の音を響かせ、奴らの耳に届くはずだ。			「イソム・ハーの穴蔵」の東、岩に囲まれた泉の中で、この「骨細工の警笛」を吹いてくれ。周囲の岩が笛の音を響かせ、奴らの耳に届くはずだ。			迷い無き瞳							
後のことは心配するな。グリダニアの弓術士の名にかけて、仲間を守ってみせる。			後のことは心配するな。グリダニアの弓術士の名にかけて、仲間を守ってみせる。			迷い無き瞳							
まったく、勘だけはいいんだから。			まったく、勘だけはいいんだから。			迷い無き瞳							
……懲りないのね。			……懲りないのね。			迷い無き瞳							
しつこい男は嫌いか？			しつこい男は嫌いか？			迷い無き瞳							
情熱的な男は……嫌いじゃないわ。			情熱的な男は……嫌いじゃないわ。			迷い無き瞳							
子猫ちゃんたちも、いらっしゃい。まとめて可愛がってあげる。			子猫ちゃんたちも、いらっしゃい。まとめて可愛がってあげる。			迷い無き瞳							
さあ、遊びましょう？			さあ、遊びましょう？			迷い無き瞳							
よそ見か？　妬けるな。			よそ見か？　妬けるな。			迷い無き瞳							
く……アタシが、こんな……			く……アタシが、こんな……			迷い無き瞳							
まったく、お前の弓術は、俺達の戦い方とは似ても似つかん。……だが、悪くはないな。			まったく、お前の弓術は、俺達の戦い方とは似ても似つかん。……だが、悪くはないな。			迷い無き瞳							
こいつのことは俺が見張っている。二度と逃しはしないさ。			こいつのことは俺が見張っている。二度と逃しはしないさ。			迷い無き瞳							
ふふん！見たか、これがアタシらの弓術だ！			ふふん！見たか、これがアタシらの弓術だ！			迷い無き瞳							
さぁ、Forename、グリダニアに戻ろう！			さぁ、Forename、グリダニアに戻ろう！			迷い無き瞳							
うぅ…………。			うぅ…………。			迷い無き瞳							
おかえりなさい。そして……ありがとう、Forename。			おかえりなさい。そして……ありがとう、Forename。			迷い無き瞳							
あなたの弓術士たる目が、ふたりを支え、パワ・ムジュークを捕らえることができたのよ。			あなたの弓術士たる目が、ふたりを支え、パワ・ムジュークを捕らえることができたのよ。			迷い無き瞳							
私が教えることは、これが最後。あなたに、このギルドで修練を終えた証として弓術士ギルドに伝わる技を、教えましょう。			私が教えることは、これが最後。あなたに、このギルドで修練を終えた証として弓術士ギルドに伝わる技を、教えましょう。			迷い無き瞳							
技の名は、「ウィンドバイト」。鋭い一矢に加えて、風の力で相手を苦しませ続ける技。今のあなたなら、きっと使いこなせるはずよ。			技の名は、「ウィンドバイト」。鋭い一矢に加えて、風の力で相手を苦しませ続ける技。今のあなたなら、きっと使いこなせるはずよ。			迷い無き瞳							
弓術士として腕を磨く道は、まだまだ続くでしょう。それはあなたが戦い続ける限り、終わりはしない道。			弓術士として腕を磨く道は、まだまだ続くでしょう。それはあなたが戦い続ける限り、終わりはしない道。			迷い無き瞳							
時には暗闇に迷うかもしれません。けれど、あなたなら必ず、道を見つけることができるわ。			時には暗闇に迷うかもしれません。けれど、あなたなら必ず、道を見つけることができるわ。			迷い無き瞳							
あなたの目を信じて。これからも頑張ってちょうだいね。			あなたの目を信じて。これからも頑張ってちょうだいね。			迷い無き瞳							
クエスト「迷い無き瞳」のバトルを開始しますか？			クエスト「迷い無き瞳」のバトルを開始しますか？			迷い無き瞳							
はい			はい			迷い無き瞳							
いいえ			いいえ			迷い無き瞳							
クエスト「迷い無き瞳」のバトルを開始しますか？			クエスト「迷い無き瞳」のバトルを開始しますか？			迷い無き瞳							
はい			はい			迷い無き瞳							
いいえ			いいえ			迷い無き瞳							
仲間か？　逃がさんぞ！			仲間か？　逃がさんぞ！			迷い無き瞳							
Forenameと一緒ならこの程度の賊なんて！			Forenameと一緒ならこの程度の賊なんて！			迷い無き瞳							
気をつけろ！　こいつら、手練れだ！			気をつけろ！　こいつら、手練れだ！			迷い無き瞳							
くそ……冒険者ごときが……っ！			くそ……冒険者ごときが……っ！			迷い無き瞳							
足ひっぱっちゃって、ごめん……			足ひっぱっちゃって、ごめん……			迷い無き瞳							
レイ、Forename、まずはザコを片付けろ。パワは俺がやる！			レイ、Forename、まずはザコを片付けろ。パワは俺がやる！			迷い無き瞳							
任せといてっ！			任せといてっ！			迷い無き瞳							
ふふっ、たっぷり可愛がってあげる。			ふふっ、たっぷり可愛がってあげる。			迷い無き瞳							
ふふっ、まだまだよ！			ふふっ、まだまだよ！			迷い無き瞳							
くっ、これはパライズ……麻痺魔法だと……？なぜ弓術士が、こんな魔法を！？			くっ、これはパライズ……麻痺魔法だと……？なぜ弓術士が、こんな魔法を！？			迷い無き瞳							
ふふっ、ギルドでぬくぬく暮らしてるあなた達とは鍛え方が違うのよ。			ふふっ、ギルドでぬくぬく暮らしてるあなた達とは鍛え方が違うのよ。			迷い無き瞳							
……生意気ね……とっておきを見せてあげる。			……生意気ね……とっておきを見せてあげる。			迷い無き瞳							
弓術を極めしムーンキーパーの妙技をくらいなさい！			弓術を極めしムーンキーパーの妙技をくらいなさい！			迷い無き瞳							
レイ、Forename、気をつけろ！パワが仕掛けてくるぞっ！			レイ、Forename、気をつけろ！パワが仕掛けてくるぞっ！			迷い無き瞳							
どうして、こんな時に……ごめん……。			どうして、こんな時に……ごめん……。			迷い無き瞳							
くっ、面目ない、切りぬけろよ……。----			くっ、面目ない、切りぬけろよ……。----			迷い無き瞳							
弓術士ギルドのルシアヌは、冒険者に、ギルドのメンバーについて相談にのってほしいようだ。			弓術士ギルドのルシアヌは、冒険者に、ギルドのメンバーについて相談にのってほしいようだ。			霧の中の岐路							
ルシアヌから、レイとシルヴェルの話を聞いてあげてほしいと相談を受けた。まずは「弓術士ギルド」の「シルヴェル」に声をかけよう。			ルシアヌから、レイとシルヴェルの話を聞いてあげてほしいと相談を受けた。まずは「弓術士ギルド」の「シルヴェル」に声をかけよう。			霧の中の岐路							
シルヴェルは、パワ・ムジュークとの決着をつけるために弓術士ギルドを去るつもりだと言うが……。「弓術士ギルド」の「レイ・アリアポー」に声をかけよう。			シルヴェルは、パワ・ムジュークとの決着をつけるために弓術士ギルドを去るつもりだと言うが……。「弓術士ギルド」の「レイ・アリアポー」に声をかけよう。			霧の中の岐路							
レイは、冒険者に知ってほしいことがあるらしい。南部森林へ向かい、指定された場所でレイを待とう。			レイは、冒険者に知ってほしいことがあるらしい。南部森林へ向かい、指定された場所でレイを待とう。			霧の中の岐路							
レイは、冒険者の強さの理由を教えてほしいと言う。戦いの準備をして、中央森林の「バノック練兵所」に向かい、「レイ・アリアポー」に声をかけよう。			レイは、冒険者の強さの理由を教えてほしいと言う。戦いの準備をして、中央森林の「バノック練兵所」に向かい、「レイ・アリアポー」に声をかけよう。			霧の中の岐路							
冒険者と戦い、弓術士に大切なことを知ったと言うレイ。彼女は弓術士ギルドに留まることにしたようだ。「弓術士ギルド」に戻り、「ルシアヌ」に報告しよう。			冒険者と戦い、弓術士に大切なことを知ったと言うレイ。彼女は弓術士ギルドに留まることにしたようだ。「弓術士ギルド」に戻り、「ルシアヌ」に報告しよう。			霧の中の岐路							
ギルドに戻った冒険者に、詳しい説明は不要と言うルシアヌ。冒険者のしたことは、レイの目を見ればわかると言う。弓術の腕を上げるために、そして、仲間を支えるためにも、視野を広く持ちながら鍛錬に励もう。※弓術士のレベルが30以上になると、ルシアヌから次の弓術士クエストを受注することができます。			ギルドに戻った冒険者に、詳しい説明は不要と言うルシアヌ。冒険者のしたことは、レイの目を見ればわかると言う。弓術の腕を上げるために、そして、仲間を支えるためにも、視野を広く持ちながら鍛錬に励もう。※弓術士のレベルが30以上になると、ルシアヌから次の弓術士クエストを受注することができます。			霧の中の岐路							
シルヴェルと話す			シルヴェルと話す			霧の中の岐路							
レイ・アリアポーと話す			レイ・アリアポーと話す			霧の中の岐路							
南部森林の指定地点でレイを待つ			南部森林の指定地点でレイを待つ			霧の中の岐路							
バノック練兵所でレイと話す			バノック練兵所でレイと話す			霧の中の岐路							
弓術士ギルドのルシアヌに報告			弓術士ギルドのルシアヌに報告			霧の中の岐路							
レイ・アリアポーを倒せ！			レイ・アリアポーを倒せ！			霧の中の岐路							
Forename。お願いがあるわ。あのふたり、レイとシルヴェルのことなんだけど……。			Forename。お願いがあるわ。あのふたり、レイとシルヴェルのことなんだけど……。			霧の中の岐路							
……いいえ、私から言うべきではないわね。今回の私からの依頼は、ふたりの弓術士のために、あなたの弓術士の力を、目を、貸してほしいということ。			……いいえ、私から言うべきではないわね。今回の私からの依頼は、ふたりの弓術士のために、あなたの弓術士の力を、目を、貸してほしいということ。			霧の中の岐路							
ふたりの話を聞いてあげてくれる？まずは、シルヴェルに声をかけて……お願いね。			ふたりの話を聞いてあげてくれる？まずは、シルヴェルに声をかけて……お願いね。			霧の中の岐路							
何だ？　ルシアヌが俺に声をかけろって？余計な世話を……。			何だ？　ルシアヌが俺に声をかけろって？余計な世話を……。			霧の中の岐路							
だが、それももう最後だ。俺は弓術士ギルドを離れる。			だが、それももう最後だ。俺は弓術士ギルドを離れる。			霧の中の岐路							
俺は、「パワ・ムジューク」……あのムーンキーパーの密猟者の手がかりを追う。神勇隊も鬼哭隊も動けずにいる今、逃すわけにはいかない。			俺は、「パワ・ムジューク」……あのムーンキーパーの密猟者の手がかりを追う。神勇隊も鬼哭隊も動けずにいる今、逃すわけにはいかない。			霧の中の岐路							
ああ、そういえば、話していなかったな。俺が神勇隊を辞めた理由を……			ああ、そういえば、話していなかったな。俺が神勇隊を辞めた理由を……			霧の中の岐路							
あと一歩というところで、パワを取り逃がしたのは俺だ。怪我をした仲間を助けたいなどという、パワの見え透いた嘘に騙されてな。			あと一歩というところで、パワを取り逃がしたのは俺だ。怪我をした仲間を助けたいなどという、パワの見え透いた嘘に騙されてな。			霧の中の岐路							
密猟者を信じようとした愚か者は、都市の誇りを傷つけた。その償いは、この手でしなければならない。			密猟者を信じようとした愚か者は、都市の誇りを傷つけた。その償いは、この手でしなければならない。			霧の中の岐路							
まあ、さすらい人の冒険者にはわからんだろうがな。			まあ、さすらい人の冒険者にはわからんだろうがな。			霧の中の岐路							
今すぐにここを発つというわけじゃない。パワの情報を集めながら、機を見て行動に移す。とは言え、もうそれほど猶予はないが……			今すぐにここを発つというわけじゃない。パワの情報を集めながら、機を見て行動に移す。とは言え、もうそれほど猶予はないが……			霧の中の岐路							
俺に構っている暇があるなら、あの腑抜けのムーンキーパーに声でもかけてやれ。あんな面を晒していたら、ギルドの士気に関わるだろう。			俺に構っている暇があるなら、あの腑抜けのムーンキーパーに声でもかけてやれ。あんな面を晒していたら、ギルドの士気に関わるだろう。			霧の中の岐路							
……まあ、俺には関係ないことだがな。			……まあ、俺には関係ないことだがな。			霧の中の岐路							
なぁ……冒険者には故郷ってないのか？帰りたくなったり、しないのか？			なぁ……冒険者には故郷ってないのか？帰りたくなったり、しないのか？			霧の中の岐路							
アタシの故郷はさ、森の奥の小さな村落だった。裕福じゃなかったけど、幸せな暮らしだったよ。……あの霊災で、メチャクチャになっちまったけどな。			アタシの故郷はさ、森の奥の小さな村落だった。裕福じゃなかったけど、幸せな暮らしだったよ。……あの霊災で、メチャクチャになっちまったけどな。			霧の中の岐路							
命からがらグリダニアに逃げてきて、知らない土地で、知り合いもいなくて……			命からがらグリダニアに逃げてきて、知らない土地で、知り合いもいなくて……			霧の中の岐路							
でも、アタシの誇り、ムーンキーパーの狩りの術……「弓術」を信じて、ここまできた。			でも、アタシの誇り、ムーンキーパーの狩りの術……「弓術」を信じて、ここまできた。			霧の中の岐路							
だけどそれも……あのパワ・ムジュークには、敵わなかった。			だけどそれも……あのパワ・ムジュークには、敵わなかった。			霧の中の岐路							
そろそろ潮時なのかもしれない。確かに、シルヴェルの言うとおり、よそ者のアタシがこの都市にいたって意味ないんだ。			そろそろ潮時なのかもしれない。確かに、シルヴェルの言うとおり、よそ者のアタシがこの都市にいたって意味ないんだ。			霧の中の岐路							
アタシはこのギルドを去るよ。Forename、短い間だったけど、アンタと一緒にいられてよかった。			アタシはこのギルドを去るよ。Forename、短い間だったけど、アンタと一緒にいられてよかった。			霧の中の岐路							
最後にひとつ、わがままを聞いてくれるか？アタシの行き先を……アンタにだけは知っててほしい。			最後にひとつ、わがままを聞いてくれるか？アタシの行き先を……アンタにだけは知っててほしい。			霧の中の岐路							
ひとりで、南部森林まで来てくれないか？			ひとりで、南部森林まで来てくれないか？			霧の中の岐路							
待て！　この冒険者は敵じゃない！			待て！　この冒険者は敵じゃない！			霧の中の岐路							
……嬉しいわ。アタシの誘いに応えてくれる気になったのね。			……嬉しいわ。アタシの誘いに応えてくれる気になったのね。			霧の中の岐路							
……アラ、この冒険者は？			……アラ、この冒険者は？			霧の中の岐路							
弓術士ギルドの者だ。だけど、グリダニアは関係ない。			弓術士ギルドの者だ。だけど、グリダニアは関係ない。			霧の中の岐路							
この子も仲間に？			この子も仲間に？			霧の中の岐路							
違う。……お別れを、言いたくて。			違う。……お別れを、言いたくて。			霧の中の岐路							
Forename……。アタシはパワに負けて……悩んで……アタシのいるべき場所は、あの都市じゃないって思ったんだ。			Forename……。アタシはパワに負けて……悩んで……アタシのいるべき場所は、あの都市じゃないって思ったんだ。			霧の中の岐路							
アタシは、グリダニアとはわかり合えない。森の中でこそムーンキーパーの弓術は生きる。弓術……アタシの唯一の故郷。			アタシは、グリダニアとはわかり合えない。森の中でこそムーンキーパーの弓術は生きる。弓術……アタシの唯一の故郷。			霧の中の岐路							
だから、ごめん。アタシはパワたちと行く。ルシアヌと……シルヴェルには黙っておいてくれ。			だから、ごめん。アタシはパワたちと行く。ルシアヌと……シルヴェルには黙っておいてくれ。			霧の中の岐路							
何て言う？			何て言う？			霧の中の岐路							
わかった			わかった			霧の中の岐路							
できない			できない			霧の中の岐路							
Forename……。			Forename……。			霧の中の岐路							
お別れは済んだ？それじゃあ……			お別れは済んだ？それじゃあ……			霧の中の岐路							
Forename……！			Forename……！			霧の中の岐路							
あら、聞き分けのない子ね。……でも、心配いらないわ。			あら、聞き分けのない子ね。……でも、心配いらないわ。			霧の中の岐路							
やってしまいなさい。			やってしまいなさい。			霧の中の岐路							
何をッ！？			何をッ！？			霧の中の岐路							
あら、都市にもギルドにも未練がないのなら、何を困ることがあるの？冒険者がひとり死んだくらい。			あら、都市にもギルドにも未練がないのなら、何を困ることがあるの？冒険者がひとり死んだくらい。			霧の中の岐路							
だ……駄目だ、駄目だ……！Forenameは……			だ……駄目だ、駄目だ……！Forenameは……			霧の中の岐路							
その程度よ、レイ・アリアポー。あなたは牙も、狩人たる誇りもなくした。余計な情を持つ者を、アタシの団には入れられない。			その程度よ、レイ・アリアポー。あなたは牙も、狩人たる誇りもなくした。余計な情を持つ者を、アタシの団には入れられない。			霧の中の岐路							
死にかけの獣を狩る趣味はないわ。見逃してあげるから、さっさと行きなさい。			死にかけの獣を狩る趣味はないわ。見逃してあげるから、さっさと行きなさい。			霧の中の岐路							
アタシ達は、そろそろ根城を移動する。火傷したくなければ、手を出さないことね。			アタシ達は、そろそろ根城を移動する。火傷したくなければ、手を出さないことね。			霧の中の岐路							
……Forename。さすらい人の冒険者は、何を信じて戦っている？			……Forename。さすらい人の冒険者は、何を信じて戦っている？			霧の中の岐路							
なんで、アンタは強いんだ？何がアンタをそうさせている？アンタは、その目で何を見ている？			なんで、アンタは強いんだ？何がアンタをそうさせている？アンタは、その目で何を見ている？			霧の中の岐路							
教えてくれ……アンタの弓で。アタシはあんたの強さの理由を見つけてみせる。			教えてくれ……アンタの弓で。アタシはあんたの強さの理由を見つけてみせる。			霧の中の岐路							
これが最後のチャンスだ。アンタと戦って、答えを見つけられなかったら、……その時は、弓を捨てる。			これが最後のチャンスだ。アンタと戦って、答えを見つけられなかったら、……その時は、弓を捨てる。			霧の中の岐路							
準備ができたら、バノック練兵所に来てくれ。			準備ができたら、バノック練兵所に来てくれ。			霧の中の岐路							
Forename、準備はいいか？			Forename、準備はいいか？			霧の中の岐路							
アンタの準備ができたら、いつでも声をかけてくれ。			アンタの準備ができたら、いつでも声をかけてくれ。			霧の中の岐路							
アンタの強さの意味、教えてくれ。手加減はなしだ！			アンタの強さの意味、教えてくれ。手加減はなしだ！			霧の中の岐路							
はは……負けるわけだ。			はは……負けるわけだ。			霧の中の岐路							
アンタは、アタシが教えた以上のことを知ってる。シルヴェルから教わったこと、冒険で学んだこと。			アンタは、アタシが教えた以上のことを知ってる。シルヴェルから教わったこと、冒険で学んだこと。			霧の中の岐路							
……わかったよ。アタシは見てなかったんだな。学ぶべきことが、たくさんあることを。			……わかったよ。アタシは見てなかったんだな。学ぶべきことが、たくさんあることを。			霧の中の岐路							
自分の……故郷の弓術が正しいと盲信して、こんなにいい仲間がいて、教えてくれる、支えてくれることも。			自分の……故郷の弓術が正しいと盲信して、こんなにいい仲間がいて、教えてくれる、支えてくれることも。			霧の中の岐路							
ずーっと故郷のことに囚われて塞ぎこんでた。「見る」ことが大事な弓術士として恥ずかしいよ。			ずーっと故郷のことに囚われて塞ぎこんでた。「見る」ことが大事な弓術士として恥ずかしいよ。			霧の中の岐路							
ありがとう、Forename。アタシの居場所は、アンタやルシアヌ、それと、あの気に食わないフォレスターのいる弓術士ギルドだ。			ありがとう、Forename。アタシの居場所は、アンタやルシアヌ、それと、あの気に食わないフォレスターのいる弓術士ギルドだ。			霧の中の岐路							
さあ、ギルドへ戻ろう！			さあ、ギルドへ戻ろう！			霧の中の岐路							
お帰りなさい、Forename。			お帰りなさい、Forename。			霧の中の岐路							
詳しくは聞かないわ。レイの目を見れば、わかるもの。			詳しくは聞かないわ。レイの目を見れば、わかるもの。			霧の中の岐路							
彼女の答えを見つける手伝いをしてくれて、ありがとう。			彼女の答えを見つける手伝いをしてくれて、ありがとう。			霧の中の岐路							
何かを懸命に見つめるがゆえに、ほかのことを疎かにしてしまうこともある。それは、戦いにおいても、そうでなくても同じよ。			何かを懸命に見つめるがゆえに、ほかのことを疎かにしてしまうこともある。それは、戦いにおいても、そうでなくても同じよ。			霧の中の岐路							
あなたの弓と目は、必ず仲間を支えるでしょう。視野を広く持つことを忘れずに、これからも鍛錬に励んでちょうだい。			あなたの弓と目は、必ず仲間を支えるでしょう。視野を広く持つことを忘れずに、これからも鍛錬に励んでちょうだい。			霧の中の岐路							
クエスト「霧の中の岐路」のバトルを開始しますか？			クエスト「霧の中の岐路」のバトルを開始しますか？			霧の中の岐路							
はい			はい			霧の中の岐路							
いいえ			いいえ			霧の中の岐路							
アンタの強さの理由、見せてくれ！			アンタの強さの理由、見せてくれ！			霧の中の岐路							
来いっ、ハンティング・ファルコン！			来いっ、ハンティング・ファルコン！			霧の中の岐路							
やるな……でも、アタシだって！			やるな……でも、アタシだって！			霧の中の岐路							
くっ……アタシとアンタ、何が違う？			くっ……アタシとアンタ、何が違う？			霧の中の岐路							
そうか、アンタの目は……！			そうか、アンタの目は……！			霧の中の岐路							
弓術士ギルドのルシアヌは、酒房「バスカロンドラザーズ」のマスター、バスカロンを訪ねてほしいようだ。			弓術士ギルドのルシアヌは、酒房「バスカロンドラザーズ」のマスター、バスカロンを訪ねてほしいようだ。			闇に放たれし矢							
酒房「バスカロンドラザーズ」のマスターから、ある依頼が来た。南部森林の酒房「バスカロンドラザーズ」に向かい、マスター「バスカロン」から話を聞こう。			酒房「バスカロンドラザーズ」のマスターから、ある依頼が来た。南部森林の酒房「バスカロンドラザーズ」に向かい、マスター「バスカロン」から話を聞こう。			闇に放たれし矢							
バスカロンから、酒場の付近に出没する密猟者についての手がかりを集めてほしいと依頼を受けた。南部森林の酒房「バスカロンドラザーズ」付近を探索し、手がかりになりそうなものを3つ探そう。			バスカロンから、酒場の付近に出没する密猟者についての手がかりを集めてほしいと依頼を受けた。南部森林の酒房「バスカロンドラザーズ」付近を探索し、手がかりになりそうなものを3つ探そう。			闇に放たれし矢							
3つの手がかりを見つけた。南部森林の酒房「バスカロンドラザーズ」に戻り、レイとシルヴェルを待とう。			3つの手がかりを見つけた。南部森林の酒房「バスカロンドラザーズ」に戻り、レイとシルヴェルを待とう。			闇に放たれし矢							
悪名高い密猟者「パワ・ムジューク」を追うため、南部森林の「バスカロン監視所跡」へ向かい、手がかりを探して調べよう。			悪名高い密猟者「パワ・ムジューク」を追うため、南部森林の「バスカロン監視所跡」へ向かい、手がかりを探して調べよう。			闇に放たれし矢							
バスカロン監視所跡を調べると、潜んでいた「パワ・ムジューク」と出くわした。南部森林の酒房「バスカロンドラザーズ」に戻り、店主「バスカロン」に報告しよう。			バスカロン監視所跡を調べると、潜んでいた「パワ・ムジューク」と出くわした。南部森林の酒房「バスカロンドラザーズ」に戻り、店主「バスカロン」に報告しよう。			闇に放たれし矢							
3人の働きに、感謝を告げるバスカロン。「弓術士ギルド」に戻り、「ルシアヌ」に報告しよう。			3人の働きに、感謝を告げるバスカロン。「弓術士ギルド」に戻り、「ルシアヌ」に報告しよう。			闇に放たれし矢							
