アゴラの大繁盛商店の新人店員は、呼び込みをしているようだ。			アゴラの大繁盛商店の新人店員は、呼び込みをしているようだ。			出航！ いざ、無人島へ！							
Forenameさんは顔が広いでっすから、日々の人付き合いやらで、気疲れすることもあると思いまっして。			Forenameさんは顔が広いでっすから、日々の人付き合いやらで、気疲れすることもあると思いまっして。			出航！ いざ、無人島へ！							
たまには、誰もいない大自然の中で、何に縛られることもなく、自由気ままな時を過ごす……。いい気分転換になること請け合いでっす！			たまには、誰もいない大自然の中で、何に縛られることもなく、自由気ままな時を過ごす……。いい気分転換になること請け合いでっす！			出航！ いざ、無人島へ！							
いかがでっすか？無人島の開拓に挑戦してみませんか？			いかがでっすか？無人島の開拓に挑戦してみませんか？			出航！ いざ、無人島へ！							
何と言う？			何と言う？			出航！ いざ、無人島へ！							
待ってました！			待ってました！			出航！ いざ、無人島へ！							
無人島ライフを満喫したい！			無人島ライフを満喫したい！			出航！ いざ、無人島へ！							
そう言っていただけて嬉しいでっす！無人島の開拓には夢がありまっすからね！			そう言っていただけて嬉しいでっす！無人島の開拓には夢がありまっすからね！			出航！ いざ、無人島へ！							
そうこなくっちゃ！自由気ままな無人島ライフを満喫してくださいまっせ！			そうこなくっちゃ！自由気ままな無人島ライフを満喫してくださいまっせ！			出航！ いざ、無人島へ！							
そうと決まれば、さっそくご案内を！無人島があるシェルダレー諸島までは船で行きまっすから、低地ラノシアの「モラビー造船廠」で合流しましょう。			そうと決まれば、さっそくご案内を！無人島があるシェルダレー諸島までは船で行きまっすから、低地ラノシアの「モラビー造船廠」で合流しましょう。			出航！ いざ、無人島へ！							
エーテライト付近にいらっしゃる、船頭の「バルディン」さんにお声がけくださいまっせ！			エーテライト付近にいらっしゃる、船頭の「バルディン」さんにお声がけくださいまっせ！			出航！ いざ、無人島へ！							
よお、タタルの嬢ちゃんが言っていたのはアンタか。今度は自分の島に向かうんだってな。			よお、タタルの嬢ちゃんが言っていたのはアンタか。今度は自分の島に向かうんだってな。			出航！ いざ、無人島へ！							
アンタがForenameかい？タタルの嬢ちゃんから連絡は受けてるぜ。			アンタがForenameかい？タタルの嬢ちゃんから連絡は受けてるぜ。			出航！ いざ、無人島へ！							
嬢ちゃんの方も、間もなく到着するって聞いてるが……お、来た来た。			嬢ちゃんの方も、間もなく到着するって聞いてるが……お、来た来た。			出航！ いざ、無人島へ！							
えへへ……あちらの気候に合わせて、軽装に着替えてきまっした。南国の島は暖かいでっすからね！			えへへ……あちらの気候に合わせて、軽装に着替えてきまっした。南国の島は暖かいでっすからね！			出航！ いざ、無人島へ！							
バルディンさんも、無人島までよろしくお願いしまっす！			バルディンさんも、無人島までよろしくお願いしまっす！			出航！ いざ、無人島へ！							
おう、任せときな！声をかけてくれりゃ、いつでも船を出すぜ。			おう、任せときな！声をかけてくれりゃ、いつでも船を出すぜ。			出航！ いざ、無人島へ！							
……にしても、無人島開拓か。海賊禁止令が定着してきたおかげか、このあたりの海域もすっかり平和になったもんだぜ。			……にしても、無人島開拓か。海賊禁止令が定着してきたおかげか、このあたりの海域もすっかり平和になったもんだぜ。			出航！ いざ、無人島へ！							
メルウィブ提督が海賊の失業対策として始めたのが、この「無人島開拓事業」なんだってな。おかげで、俺もこうして船頭の仕事にありつけたってわけだ。			メルウィブ提督が海賊の失業対策として始めたのが、この「無人島開拓事業」なんだってな。おかげで、俺もこうして船頭の仕事にありつけたってわけだ。			出航！ いざ、無人島へ！							
……ところで、アンタら無人島の開拓に行くんだろ？随分と身軽だが、道具や資材は足りてるのか？			……ところで、アンタら無人島の開拓に行くんだろ？随分と身軽だが、道具や資材は足りてるのか？			出航！ いざ、無人島へ！							
ご心配無用でっす！道具も資材も、現地で調達しまっすから。			ご心配無用でっす！道具も資材も、現地で調達しまっすから。			出航！ いざ、無人島へ！							
現地で調達だって？そりゃまた、どうして？			現地で調達だって？そりゃまた、どうして？			出航！ いざ、無人島へ！							
実はそれが今回、開拓者として採用された決め手……「独自の開拓論」ってやつなのでっす！			実はそれが今回、開拓者として採用された決め手……「独自の開拓論」ってやつなのでっす！			出航！ いざ、無人島へ！							
へえ、そりゃすごいな。応援してるぜ、姉ちゃん兄ちゃんたち。			へえ、そりゃすごいな。応援してるぜ、姉ちゃん兄ちゃんたち。			出航！ いざ、無人島へ！							
早く島に行きたいでしょうから、詳細は現地に着いてからご説明いたしまっすね！			早く島に行きたいでしょうから、詳細は現地に着いてからご説明いたしまっすね！			出航！ いざ、無人島へ！							
よっしゃ、それじゃあぼちぼち出発するか！			よっしゃ、それじゃあぼちぼち出発するか！			出航！ いざ、無人島へ！							
では、ご支度が済みましたら、バルディンさんに、「自分の島」へ行きたいとお伝えください。私は先に船で待っていまっすね！			では、ご支度が済みましたら、バルディンさんに、「自分の島」へ行きたいとお伝えください。私は先に船で待っていまっすね！			出航！ いざ、無人島へ！							
Forenameさん、Forenameさん！前方をご覧くださいまっせ！			Forenameさん、Forenameさん！前方をご覧くださいまっせ！			出航！ いざ、無人島へ！							
島の全景がはっきり見えるようになりまっした！いよいよ、待ちに待った上陸でっすよ！			島の全景がはっきり見えるようになりまっした！いよいよ、待ちに待った上陸でっすよ！			出航！ いざ、無人島へ！							
船旅おつかれさまでっした！			船旅おつかれさまでっした！			出航！ いざ、無人島へ！							
いかがでしょうか？この場所が、気ままで新たな挑戦の舞台……			いかがでしょうか？この場所が、気ままで新たな挑戦の舞台……			出航！ いざ、無人島へ！							
Forenameさんだけの「無人島」でっす！			Forenameさんだけの「無人島」でっす！			出航！ いざ、無人島へ！							
やっとForenameさんを、この島にご案内できたことが嬉しくて、私もついつい、気分が上がってしまいまっした！			やっとForenameさんを、この島にご案内できたことが嬉しくて、私もついつい、気分が上がってしまいまっした！			出航！ いざ、無人島へ！							
実はこの島、今は無人なのでっすが……かつてはさる海賊団が補給地として使っていたのだとか。それが、解散に伴って放棄されたようで……。			実はこの島、今は無人なのでっすが……かつてはさる海賊団が補給地として使っていたのだとか。それが、解散に伴って放棄されたようで……。			出航！ いざ、無人島へ！							
そうして、平和の兆しが見えてきた今、メルウィブ提督が、新たな入植政策として、「無人島開拓」計画を進めていたのでっす。			そうして、平和の兆しが見えてきた今、メルウィブ提督が、新たな入植政策として、「無人島開拓」計画を進めていたのでっす。			出航！ いざ、無人島へ！							
その対象である島群のうち、いくつかの無人島の開拓者を、一般に募集していたことが今回の契機でっした！			その対象である島群のうち、いくつかの無人島の開拓者を、一般に募集していたことが今回の契機でっした！			出航！ いざ、無人島へ！							
ぱぱっと企画書を作って応募してみたところ……「現地調達」をベースにした独自の開拓論が採用されて、島の開拓権が手に入ったのでっす！			ぱぱっと企画書を作って応募してみたところ……「現地調達」をベースにした独自の開拓論が採用されて、島の開拓権が手に入ったのでっす！			出航！ いざ、無人島へ！							
何と言う？			何と言う？			出航！ いざ、無人島へ！							
タタルも手伝ってくれるの？			タタルも手伝ってくれるの？			出航！ いざ、無人島へ！							
さすがに人手が足りないのでは……			さすがに人手が足りないのでは……			出航！ いざ、無人島へ！							
もちろん、手伝うのはやぶさかでないのでっすが……私よりもはるかに頼もしい助っ人をご用意いたしまっした！			もちろん、手伝うのはやぶさかでないのでっすが……私よりもはるかに頼もしい助っ人をご用意いたしまっした！			出航！ いざ、無人島へ！							
その点もご心配無用なのでっす。私よりもはるかに頼もしい助っ人をご用意いたしまっした！			その点もご心配無用なのでっす。私よりもはるかに頼もしい助っ人をご用意いたしまっした！			出航！ いざ、無人島へ！							
彼らはすでに島へ「運び込まれて」いますので、さっそくご紹介させていただきまっすね。			彼らはすでに島へ「運び込まれて」いますので、さっそくご紹介させていただきまっすね。			出航！ いざ、無人島へ！							
出迎えにきてくれるはずでっすが……ひとまず「拠点」がある方に向かってみましょう！			出迎えにきてくれるはずでっすが……ひとまず「拠点」がある方に向かってみましょう！			出航！ いざ、無人島へ！							
開拓のことなら、お任せくださいニャー！			開拓のことなら、お任せくださいニャー！			出航！ いざ、無人島へ！							
いました、いました！この子が先ほどお話しした「助っ人」の筆頭……猫型魔法人形、「ねこみみさん」でっす！			いました、いました！この子が先ほどお話しした「助っ人」の筆頭……猫型魔法人形、「ねこみみさん」でっす！			出航！ いざ、無人島へ！							
Forenameさん、初めまして！無人島開拓について、私がいろいろとアドバイスしますニャー。			Forenameさん、初めまして！無人島開拓について、私がいろいろとアドバイスしますニャー。			出航！ いざ、無人島へ！							
この子以外にも、建築や開拓の際の労働力として、様々なタイプの魔法人形をご用意させていただきまっした。			この子以外にも、建築や開拓の際の労働力として、様々なタイプの魔法人形をご用意させていただきまっした。			出航！ いざ、無人島へ！							
これらはシャーレアン魔法大学の、とある教授から、無償で提供していただいたものなのでっすよ。			これらはシャーレアン魔法大学の、とある教授から、無償で提供していただいたものなのでっすよ。			出航！ いざ、無人島へ！							
というのも、シャーレアンによる星外脱出が計画されていた頃、異なる星に居住環境を構築するための労働力として、ひそかに大量の魔法人形が開発されていたそうなのでっす。			というのも、シャーレアンによる星外脱出が計画されていた頃、異なる星に居住環境を構築するための労働力として、ひそかに大量の魔法人形が開発されていたそうなのでっす。			出航！ いざ、無人島へ！							
終末が退けられたことで、それらが不要となったという噂を小耳に挟みまっして……			終末が退けられたことで、それらが不要となったという噂を小耳に挟みまっして……			出航！ いざ、無人島へ！							
処分に困っていた開発元の教授に直接交渉して、開拓データの提供を条件に、無償で譲っていただいたのでっす！			処分に困っていた開発元の教授に直接交渉して、開拓データの提供を条件に、無償で譲っていただいたのでっす！			出航！ いざ、無人島へ！							
「現地調達」のご協力については、ご不便をおかけしてしまいまっすが……			「現地調達」のご協力については、ご不便をおかけしてしまいまっすが……			出航！ いざ、無人島へ！							
実は、メルウィブ提督が目指しているのは、より多くの人が参加可能な、開拓計画を練ることなのでっす。			実は、メルウィブ提督が目指しているのは、より多くの人が参加可能な、開拓計画を練ることなのでっす。			出航！ いざ、無人島へ！							
当然ながら、お金をかけて資材や道具を運び込めば、それだけ楽に開拓は進むと思うのでっす。でもそれは、一部の資本力のある人に限られてしまう。			当然ながら、お金をかけて資材や道具を運び込めば、それだけ楽に開拓は進むと思うのでっす。でもそれは、一部の資本力のある人に限られてしまう。			出航！ いざ、無人島へ！							
たとえ資金に余裕がない人でも、自然の恵みを活かして、知恵と工夫で開拓していく……			たとえ資金に余裕がない人でも、自然の恵みを活かして、知恵と工夫で開拓していく……			出航！ いざ、無人島へ！							
それが実現可能だと証明できれば、無人島は多くの人にとっての「希望の島」になると思うのでっす！			それが実現可能だと証明できれば、無人島は多くの人にとっての「希望の島」になると思うのでっす！			出航！ いざ、無人島へ！							
シャーレアン仕込みの開拓知識ですから、安心して頼ってくださいニャー！			シャーレアン仕込みの開拓知識ですから、安心して頼ってくださいニャー！			出航！ いざ、無人島へ！							
さて、専門的なアドバイスはねこみみさんにお任せして……私はこれで失礼させていただきまっすね。次に遊びにくるときが楽しみでっす！			さて、専門的なアドバイスはねこみみさんにお任せして……私はこれで失礼させていただきまっすね。次に遊びにくるときが楽しみでっす！			出航！ いざ、無人島へ！							
これで正真正銘この島は……Forenameさんだけの、「無人島」ということになりまっすから！			これで正真正銘この島は……Forenameさんだけの、「無人島」ということになりまっすから！			出航！ いざ、無人島へ！							
自由に開拓して、自由に散策して、気ままなスローライフを送ってくださいまっせ！			自由に開拓して、自由に散策して、気ままなスローライフを送ってくださいまっせ！			出航！ いざ、無人島へ！							
まずは開拓の基礎をお伝えしますので、良きタイミングで、私にお声がけくださいニャー！			まずは開拓の基礎をお伝えしますので、良きタイミングで、私にお声がけくださいニャー！			出航！ いざ、無人島へ！							
あなたのパーティメンバー、フリーカンパニーメンバー、フレンドが島を所持している場合、モラビー造船廠の「バルディン」から遊びに行くことができます。			あなたのパーティメンバー、フリーカンパニーメンバー、フレンドが島を所持している場合、モラビー造船廠の「バルディン」から遊びに行くことができます。			出航！ いざ、無人島へ！							
ただし、島に誰もいない場合や、15名以上が入場している場合、島主が入場禁止にしている場合は、その島に入ることはできません。			ただし、島に誰もいない場合や、15名以上が入場している場合、島主が入場禁止にしている場合は、その島に入ることはできません。			出航！ いざ、無人島へ！							
また、その島主のホームワールド以外からは、知り合いの島へ入島することはできません。			また、その島主のホームワールド以外からは、知り合いの島へ入島することはできません。			出航！ いざ、無人島へ！							
自分の島へあなたのパーティメンバー、フリーカンパニーメンバー、フレンドを招待する場合は、一定以上開拓をする必要があります。			自分の島へあなたのパーティメンバー、フリーカンパニーメンバー、フレンドを招待する場合は、一定以上開拓をする必要があります。			出航！ いざ、無人島へ！							
開拓拠点のれんらくくんは、島の主を待っていたようだ。			開拓拠点のれんらくくんは、島の主を待っていたようだ。			余談？ エンジョイ不足な野郎ども							
れんらくくんと話した。無人島の南西の浜辺に向かい、「指定地点」でタタルを待とう。			れんらくくんと話した。無人島の南西の浜辺に向かい、「指定地点」でタタルを待とう。			余談？ エンジョイ不足な野郎ども							
タタルに連れられユルスたちがやってきた。無人島のアイランドホール付近にいる「タタル」と話そう。			タタルに連れられユルスたちがやってきた。無人島のアイランドホール付近にいる「タタル」と話そう。			余談？ エンジョイ不足な野郎ども							
タタルと話した。採集環境の方へ向かった「はりきった軍団兵」と、開拓拠点の南側にいる「ユルス」に、「バカンス装束」を渡そう。			タタルと話した。採集環境の方へ向かった「はりきった軍団兵」と、開拓拠点の南側にいる「ユルス」に、「バカンス装束」を渡そう。			余談？ エンジョイ不足な野郎ども							
それぞれに服を渡し終えた。アイランドホール付近にいる「タタル」と話そう。			それぞれに服を渡し終えた。アイランドホール付近にいる「タタル」と話そう。			余談？ エンジョイ不足な野郎ども							
全員でゆったりと島でのひとときを過ごした。南西の浜辺にいる「ユルス」と話そう。			全員でゆったりと島でのひとときを過ごした。南西の浜辺にいる「ユルス」と話そう。			余談？ エンジョイ不足な野郎ども							
ユルスたちは英気を養うことができたようだ。いつかは冒険者を復興したガレマルドに招待したいと言って、彼らは帰っていった。この島では、誰もが笑顔になる。これからも自由に島を開拓し、楽しい時間を過ごしていこう。			ユルスたちは英気を養うことができたようだ。いつかは冒険者を復興したガレマルドに招待したいと言って、彼らは帰っていった。この島では、誰もが笑顔になる。これからも自由に島を開拓し、楽しい時間を過ごしていこう。			余談？ エンジョイ不足な野郎ども							
指定地点で待機			指定地点で待機			余談？ エンジョイ不足な野郎ども							
タタルと話す			タタルと話す			余談？ エンジョイ不足な野郎ども							
はりきった軍団兵にバカンス装束を渡す			はりきった軍団兵にバカンス装束を渡す			余談？ エンジョイ不足な野郎ども							
ユルスにバカンス装束を渡す			ユルスにバカンス装束を渡す			余談？ エンジョイ不足な野郎ども							
タタルと話す			タタルと話す			余談？ エンジョイ不足な野郎ども							
ユルスと話す			ユルスと話す			余談？ エンジョイ不足な野郎ども							
ご連絡、ご連絡！タタルからの伝言をお伝えします！			ご連絡、ご連絡！タタルからの伝言をお伝えします！			余談？ エンジョイ不足な野郎ども							
前回ご相談させていただいた「追加の招待客」について、諸々の準備が整ったので、そちらにお連れします……とのこと。			前回ご相談させていただいた「追加の招待客」について、諸々の準備が整ったので、そちらにお連れします……とのこと。			余談？ エンジョイ不足な野郎ども							
今や名実ともに最高の開拓事例となったこの島なら、どなた様が来ても、きっとご満足いただけるかと！島の南西の浜辺でお出迎えをお願いします！			今や名実ともに最高の開拓事例となったこの島なら、どなた様が来ても、きっとご満足いただけるかと！島の南西の浜辺でお出迎えをお願いします！			余談？ エンジョイ不足な野郎ども							
ウフフ、最高の開拓事例というのが、声に出すたび誇らしいです……！ここで働くことができた我々は、本当に幸せな人形ですね！			ウフフ、最高の開拓事例というのが、声に出すたび誇らしいです……！ここで働くことができた我々は、本当に幸せな人形ですね！			余談？ エンジョイ不足な野郎ども							
Forenameさん、お待たせしまっした！			Forenameさん、お待たせしまっした！			余談？ エンジョイ不足な野郎ども							
悪いな、突然……。ユルス・ピル・ノルバヌス、ただいま到着した。			悪いな、突然……。ユルス・ピル・ノルバヌス、ただいま到着した。			余談？ エンジョイ不足な野郎ども							
それから、お招きにあずかった、第I軍団の軍卒たちだ。軍服を着てないからわかりにくいかもしれないけどな。			それから、お招きにあずかった、第I軍団の軍卒たちだ。軍服を着てないからわかりにくいかもしれないけどな。			余談？ エンジョイ不足な野郎ども							
いずれもガレマルドに留まって、ガレアン・コミュニティの生活を守るために働いてる奴らだよ。			いずれもガレマルドに留まって、ガレアン・コミュニティの生活を守るために働いてる奴らだよ。			余談？ エンジョイ不足な野郎ども							
俺たち自身、今回のことには驚いてるんだが……この前、手伝いに来てくれてたアルフィノとアリゼーに、休みを取れって話をしただろ？			俺たち自身、今回のことには驚いてるんだが……この前、手伝いに来てくれてたアルフィノとアリゼーに、休みを取れって話をしただろ？			余談？ エンジョイ不足な野郎ども							
ふたりは当然、イルサバード派遣団側にも事情を告げてから帝都を発った。そしたらそこから……伝わったらしくてな。			ふたりは当然、イルサバード派遣団側にも事情を告げてから帝都を発った。そしたらそこから……伝わったらしくてな。			余談？ エンジョイ不足な野郎ども							
エマネランさんとシカルドさんでっす！「いや、帝国軍の連中こそずっと休んでないだろ」って、ルキアさんからの通信に図らずも声をそろえたのだとか！			エマネランさんとシカルドさんでっす！「いや、帝国軍の連中こそずっと休んでないだろ」って、ルキアさんからの通信に図らずも声をそろえたのだとか！			余談？ エンジョイ不足な野郎ども							
彼らはユルスさんたちに休暇を取らせる計画を練った……。そしてすぐに、Forenameさんの島ならば、気兼ねなく羽を伸ばせるだろうと気づいたのでっす。			彼らはユルスさんたちに休暇を取らせる計画を練った……。そしてすぐに、Forenameさんの島ならば、気兼ねなく羽を伸ばせるだろうと気づいたのでっす。			余談？ エンジョイ不足な野郎ども							
ということで！エマネランさんが飛空艇を、シカルドさんが船を手配し、私タタルが細々とした予定を根気よく調整！			ということで！エマネランさんが飛空艇を、シカルドさんが船を手配し、私タタルが細々とした予定を根気よく調整！			余談？ エンジョイ不足な野郎ども							
勤勉なるガレアン・コミュニティの守り手たちを、一部ではありますが、ここにお連れした次第でっす！			勤勉なるガレアン・コミュニティの守り手たちを、一部ではありますが、ここにお連れした次第でっす！			余談？ エンジョイ不足な野郎ども							
俺たちも最初は渋ってたんだけどな。あまりに丁重に準備されるものだから、最後には頷いてた。			俺たちも最初は渋ってたんだけどな。あまりに丁重に準備されるものだから、最後には頷いてた。			余談？ エンジョイ不足な野郎ども							
そんなこんなで短い休暇を取りにきた。少しの間、世話になる。			そんなこんなで短い休暇を取りにきた。少しの間、世話になる。			余談？ エンジョイ不足な野郎ども							
それではみなさん、ここから先は自由時間でっす！			それではみなさん、ここから先は自由時間でっす！			余談？ エンジョイ不足な野郎ども							
旅の疲れをゆっくり癒すもよし、とにかく遊びに繰り出すもよし……何かご希望はありまっすか？			旅の疲れをゆっくり癒すもよし、とにかく遊びに繰り出すもよし……何かご希望はありまっすか？			余談？ エンジョイ不足な野郎ども							
…………どうするのがいいんだ？			…………どうするのがいいんだ？			余談？ エンジョイ不足な野郎ども							
何と言う？			何と言う？			余談？ エンジョイ不足な野郎ども							
海水浴はどう？			海水浴はどう？			余談？ エンジョイ不足な野郎ども							
虫捕りをしよう！			虫捕りをしよう！			余談？ エンジョイ不足な野郎ども							
島内を散策とか……			島内を散策とか……			余談？ エンジョイ不足な野郎ども							
問題はないはずだ。一応全員、軍の訓練として泳ぎは習ってる。			問題はないはずだ。一応全員、軍の訓練として泳ぎは習ってる。			余談？ エンジョイ不足な野郎ども							
こういう場合、どれくらい泳げれば事足りるんだ？海での実践は初めてだから、あまり遠距離じゃないといいんだが……。			こういう場合、どれくらい泳げれば事足りるんだ？海での実践は初めてだから、あまり遠距離じゃないといいんだが……。			余談？ エンジョイ不足な野郎ども							
なるほど、虫を捕るんだな……！			なるほど、虫を捕るんだな……！			余談？ エンジョイ不足な野郎ども							
………………捕ってどうするんだ？			………………捕ってどうするんだ？			余談？ エンジョイ不足な野郎ども							
確かに、それはよさそうだ。見たところ、この島には森も山も存在してる。水辺だって多いだろう。			確かに、それはよさそうだ。見たところ、この島には森も山も存在してる。水辺だって多いだろう。			余談？ エンジョイ不足な野郎ども							
そういった自然の中を歩き回って、生き残る(サバイバル)術を学ぶ……間違いなく、今の俺たちに必要な訓練だな。			そういった自然の中を歩き回って、生き残る(サバイバル)術を学ぶ……間違いなく、今の俺たちに必要な訓練だな。			余談？ エンジョイ不足な野郎ども							
これは……典型的な休み下手、やることがないとかえって困ってしまうタイプでっす……！			これは……典型的な休み下手、やることがないとかえって困ってしまうタイプでっす……！			余談？ エンジョイ不足な野郎ども							
でしたらひとまず、Forenameさんと魔法人形たちの、島での仕事を体験してみるのはいかがでっすか？			でしたらひとまず、Forenameさんと魔法人形たちの、島での仕事を体験してみるのはいかがでっすか？			余談？ エンジョイ不足な野郎ども							
畑仕事なら任せてくれ！うちは代々農家だから、俺もよく手伝ってたんだ！			畑仕事なら任せてくれ！うちは代々農家だから、俺もよく手伝ってたんだ！			余談？ エンジョイ不足な野郎ども							
家畜の世話もそれなりにできるわよ。……懐かしいわ、父さんも母さんも牧場に勤めてたの。			家畜の世話もそれなりにできるわよ。……懐かしいわ、父さんも母さんも牧場に勤めてたの。			余談？ エンジョイ不足な野郎ども							
うちは林業を営んでたんだ。木の伐採から、日々の薪割りまでお手のものだぞ！			うちは林業を営んでたんだ。木の伐採から、日々の薪割りまでお手のものだぞ！			余談？ エンジョイ不足な野郎ども							
ガレアンは、もともと農耕の民だからな。			ガレアンは、もともと農耕の民だからな。			余談？ エンジョイ不足な野郎ども							
北方に追いやられてからも、可能性のある土地を探しては拓いて畑にしてきたし、作物を飼料として家畜を育ててきた。			北方に追いやられてからも、可能性のある土地を探しては拓いて畑にしてきたし、作物を飼料として家畜を育ててきた。			余談？ エンジョイ不足な野郎ども							
それに、青燐水と鉄が取って代わるまでは、燃料も建物も木材に頼ってたんだ。			それに、青燐水と鉄が取って代わるまでは、燃料も建物も木材に頼ってたんだ。			余談？ エンジョイ不足な野郎ども							
お前たちもラピス・マナリスの探索中に廃村を見ただろうが……親や祖父母の代までは、ああいう素朴な家に暮らして、自然と隣り合った仕事をしてる人が大半だったんだよ。			お前たちもラピス・マナリスの探索中に廃村を見ただろうが……親や祖父母の代までは、ああいう素朴な家に暮らして、自然と隣り合った仕事をしてる人が大半だったんだよ。			余談？ エンジョイ不足な野郎ども							
そうでっしたか。なんだか意外というか……教えてもらえて嬉しいでっす！			そうでっしたか。なんだか意外というか……教えてもらえて嬉しいでっす！			余談？ エンジョイ不足な野郎ども							
これは安心して仕事をお任せできそうでっすね！さっそく開拓拠点にご案内しても？			これは安心して仕事をお任せできそうでっすね！さっそく開拓拠点にご案内しても？			余談？ エンジョイ不足な野郎ども							
ではではみなさん、こちらへどうぞ！			ではではみなさん、こちらへどうぞ！			余談？ エンジョイ不足な野郎ども							
ひとまず各々のやりたい仕事を伺って、魔法人形たちに案内をお願いしておきまっした。みなさん、はりきって持ち場に向かわれまっしたよ！			ひとまず各々のやりたい仕事を伺って、魔法人形たちに案内をお願いしておきまっした。みなさん、はりきって持ち場に向かわれまっしたよ！			余談？ エンジョイ不足な野郎ども							
この島で体験できることの多くは、今のガレマルドに暮らす方々にとって新鮮で特別なはず……きっといい気分転換になりまっす！			この島で体験できることの多くは、今のガレマルドに暮らす方々にとって新鮮で特別なはず……きっといい気分転換になりまっす！			余談？ エンジョイ不足な野郎ども							
って、ああっ！？大事なものを渡しそびれてまっす！？			って、ああっ！？大事なものを渡しそびれてまっす！？			余談？ エンジョイ不足な野郎ども							
ユルスさんたちに、バカンスらしい服をご用意したんでっす。島に着いたら渡そうと思っていたのに、私が持ったままに……。			ユルスさんたちに、バカンスらしい服をご用意したんでっす。島に着いたら渡そうと思っていたのに、私が持ったままに……。			余談？ エンジョイ不足な野郎ども							
