宝杖通りの商人マスは、商品の手配に追われているようだ。			宝杖通りの商人マスは、商品の手配に追われているようだ。			聖アンダリム神学院の消えた書物							
「正教法大全」の10巻が置いてある。			「正教法大全」の10巻が置いてある。			聖アンダリム神学院の消えた書物							
はっ、す、すいません！「正教法大全」なら、12巻と13巻を借りています。			はっ、す、すいません！「正教法大全」なら、12巻と13巻を借りています。			聖アンダリム神学院の消えた書物							
貴方が、今すぐ必要なら、お渡ししますよ。内容が難しいので、なかなか読み進められなくて、僕が読破するまでには、時間がかかりそうですから……。			貴方が、今すぐ必要なら、お渡ししますよ。内容が難しいので、なかなか読み進められなくて、僕が読破するまでには、時間がかかりそうですから……。			聖アンダリム神学院の消えた書物							
えっ、本を読みたいわけじゃないんですか？それなら、お言葉に甘えてしばらく借りておきますね。聖職者を目指すなら、正教法の修得は必須ですから。			えっ、本を読みたいわけじゃないんですか？それなら、お言葉に甘えてしばらく借りておきますね。聖職者を目指すなら、正教法の修得は必須ですから。			聖アンダリム神学院の消えた書物							
「正教法大全」なら、12巻と13巻を借りています。			「正教法大全」なら、12巻と13巻を借りています。			聖アンダリム神学院の消えた書物							
あーん、「正教法大全」を探しているって？貴様、平民の分際で正教の法典を学ぼうというのか？はっ、無駄な努力を……。			あーん、「正教法大全」を探しているって？貴様、平民の分際で正教の法典を学ぼうというのか？はっ、無駄な努力を……。			聖アンダリム神学院の消えた書物							
確かに、私は「正教法大全」を借りている。だが、それはもっとも難解とされる最終巻……。			確かに、私は「正教法大全」を借りている。だが、それはもっとも難解とされる最終巻……。			聖アンダリム神学院の消えた書物							
未来の高位聖職者となる私ならまだしも、貴様のような凡人では、一生理解できない内容だぞ。ハッ、どうしても学びたいなら、1巻でも繰り返し読んでおけ。			未来の高位聖職者となる私ならまだしも、貴様のような凡人では、一生理解できない内容だぞ。ハッ、どうしても学びたいなら、1巻でも繰り返し読んでおけ。			聖アンダリム神学院の消えた書物							
確かに、私は「正教法大全」を借りている。だが、それはもっとも難解とされる最終巻……。			確かに、私は「正教法大全」を借りている。だが、それはもっとも難解とされる最終巻……。			聖アンダリム神学院の消えた書物							
未来の高位聖職者となる私ならまだしも、貴様のような凡人では、一生理解できない内容だぞ。ハッ、どうしても学びたいなら、1巻でも繰り返し読んでおけ。			未来の高位聖職者となる私ならまだしも、貴様のような凡人では、一生理解できない内容だぞ。ハッ、どうしても学びたいなら、1巻でも繰り返し読んでおけ。			聖アンダリム神学院の消えた書物							
……あら、あなたも「正教法大全」を探しているの？私も、4巻を探しているところですの。			……あら、あなたも「正教法大全」を探しているの？私も、4巻を探しているところですの。			聖アンダリム神学院の消えた書物							
「正教法大全」は、イシュガルド正教の教会法を記した法典。特に複雑な制裁について扱う、12巻以降を理解するためには、基礎的な信仰生活を論じた4巻の暗記が必須ですから。			「正教法大全」は、イシュガルド正教の教会法を記した法典。特に複雑な制裁について扱う、12巻以降を理解するためには、基礎的な信仰生活を論じた4巻の暗記が必須ですから。			聖アンダリム神学院の消えた書物							
4巻を借りたレイが、延滞してることはわかってるんですが、彼は、いじめられっこを助けるのに忙しそうなもので、催促できないでいますの……。			4巻を借りたレイが、延滞してることはわかってるんですが、彼は、いじめられっこを助けるのに忙しそうなもので、催促できないでいますの……。			聖アンダリム神学院の消えた書物							
4巻を借りたレイが、延滞してることはわかってるんですが、彼は、いじめられっこを助けるのに忙しそうなもので、催促できないでいますの……。			4巻を借りたレイが、延滞してることはわかってるんですが、彼は、いじめられっこを助けるのに忙しそうなもので、催促できないでいますの……。			聖アンダリム神学院の消えた書物							
ああ……「正教法大全」なら、一冊借りているぞ。だが、最近は本を開く暇もないほど忙しくて、何巻だったかは、すまんが覚えていないな……。			ああ……「正教法大全」なら、一冊借りているぞ。だが、最近は本を開く暇もないほど忙しくて、何巻だったかは、すまんが覚えていないな……。			聖アンダリム神学院の消えた書物							
っていうのも、貴族組の嫌がらせが、お人よしのテオモサンに集中してしまってな……。幼馴染の俺が、陰ながら露払いしてるってわけさ。			っていうのも、貴族組の嫌がらせが、お人よしのテオモサンに集中してしまってな……。幼馴染の俺が、陰ながら露払いしてるってわけさ。			聖アンダリム神学院の消えた書物							
それでも、腹黒い貴族組の方が、卒業後には、高位の聖職者になるんだから、世の中は、何か間違ってるとしか思えないぜ……。			それでも、腹黒い貴族組の方が、卒業後には、高位の聖職者になるんだから、世の中は、何か間違ってるとしか思えないぜ……。			聖アンダリム神学院の消えた書物							
ああ……「正教法大全」なら、一冊借りているぞ。だが、最近は本を開く暇もないほど忙しくて、何巻だったかは、すまんが覚えていないな……。			ああ……「正教法大全」なら、一冊借りているぞ。だが、最近は本を開く暇もないほど忙しくて、何巻だったかは、すまんが覚えていないな……。			聖アンダリム神学院の消えた書物							
おお、神学院での調査は終わりましたか？それで、「正教法大全」のうち神学院に在庫がなかったのは、何巻だったでしょうか？			おお、神学院での調査は終わりましたか？それで、「正教法大全」のうち神学院に在庫がなかったのは、何巻だったでしょうか？			聖アンダリム神学院の消えた書物							
発注すべき「正教法大全」は？			発注すべき「正教法大全」は？			聖アンダリム神学院の消えた書物							
「1巻」だと思う			「1巻」だと思う			聖アンダリム神学院の消えた書物							
「4巻」かもしれない			「4巻」かもしれない			聖アンダリム神学院の消えた書物							
「6巻」かなぁ……			「6巻」かなぁ……			聖アンダリム神学院の消えた書物							
「8巻」に違いない			「8巻」に違いない			聖アンダリム神学院の消えた書物							
「11巻」だ！			「11巻」だ！			聖アンダリム神学院の消えた書物							
「13巻」を購入すべき			「13巻」を購入すべき			聖アンダリム神学院の消えた書物							
「14巻」がない……			「14巻」がない……			聖アンダリム神学院の消えた書物							
う～ん……なんだか、ピンときません。その巻ではなかったような気がするのですが……。			う～ん……なんだか、ピンときません。その巻ではなかったような気がするのですが……。			聖アンダリム神学院の消えた書物							
注文する巻が異なっていたようです。ジャーナルをよく確認し、聖アンダリム神学院になかった巻を導き出しましょう。			注文する巻が異なっていたようです。ジャーナルをよく確認し、聖アンダリム神学院になかった巻を導き出しましょう。			聖アンダリム神学院の消えた書物							
あーーーー！！そうでした、そうでした！！よかった、これで神学院からの信用を失わずに済みます。			あーーーー！！そうでした、そうでした！！よかった、これで神学院からの信用を失わずに済みます。			聖アンダリム神学院の消えた書物							
なにせ「聖アンダリム神学院」は、聖職者の卵たちが集う場所ですからね。将来、教皇庁入りを果たす高位聖職者になる方もいます。			なにせ「聖アンダリム神学院」は、聖職者の卵たちが集う場所ですからね。将来、教皇庁入りを果たす高位聖職者になる方もいます。			聖アンダリム神学院の消えた書物							
そんな神学院の生徒たちからの信用を失ったら、商人生命が行き詰まることだって、あり得るんですよ。皇都を導くのは、教皇庁の聖職者様ですからね。			そんな神学院の生徒たちからの信用を失ったら、商人生命が行き詰まることだって、あり得るんですよ。皇都を導くのは、教皇庁の聖職者様ですからね。			聖アンダリム神学院の消えた書物							
いやー、想像しただけで、ぞっとします……。本当に、ありがとうございました。			いやー、想像しただけで、ぞっとします……。本当に、ありがとうございました。			聖アンダリム神学院の消えた書物							
宝杖通りの商人マスは、不安にさいなまれているようだ。			宝杖通りの商人マスは、不安にさいなまれているようだ。			正教騒乱							
イシュガルドの歴史の真実が暴かれ、今まで搾取されていた人々が暴徒化しているという。マスに、「聖アンダリム神学院」の神学生を護衛するよう依頼された。イシュガルド上層で、神学生を襲う「粗暴な貧民」を探し、声をかけよう。			イシュガルドの歴史の真実が暴かれ、今まで搾取されていた人々が暴徒化しているという。マスに、「聖アンダリム神学院」の神学生を護衛するよう依頼された。イシュガルド上層で、神学生を襲う「粗暴な貧民」を探し、声をかけよう。			正教騒乱							
襲われていた神学生と話した。しかし、その神学生と一緒にいたテオモサンは、大事な聖典を奪われたため、貧民を追っていってしまった。イシュガルド下層の「テオモサン」と話そう。			襲われていた神学生と話した。しかし、その神学生と一緒にいたテオモサンは、大事な聖典を奪われたため、貧民を追っていってしまった。イシュガルド下層の「テオモサン」と話そう。			正教騒乱							
テオモサンを貧民から守りぬいた。しかし、彼が大切にしていた聖典は焼け焦げてしまった。宝杖通りの「マス」に報告しよう。			テオモサンを貧民から守りぬいた。しかし、彼が大切にしていた聖典は焼け焦げてしまった。宝杖通りの「マス」に報告しよう。			正教騒乱							
マスに報告した。居合わせた聖アンダリム神学院の司祭ガエテルは、冒険者と学院長を引き合わせたいようだ。			マスに報告した。居合わせた聖アンダリム神学院の司祭ガエテルは、冒険者と学院長を引き合わせたいようだ。			正教騒乱							
粗暴な貧民と話す			粗暴な貧民と話す			正教騒乱							
雲霧街のテオモサンと話す			雲霧街のテオモサンと話す			正教騒乱							
宝杖通りのマスと話す			宝杖通りのマスと話す			正教騒乱							
「正教法大全」の発注の件では、お世話になりました。とはいえ、「聖アンダリム神学院」からの仕事も、いつまで続くことやら……。			「正教法大全」の発注の件では、お世話になりました。とはいえ、「聖アンダリム神学院」からの仕事も、いつまで続くことやら……。			正教騒乱							
常識と教え込まれてきた教義の欺瞞が暴かれ、精神的な支柱を失い、人々は動揺しているのです。中には、怒りを神学院に向ける者までいる始末……。			常識と教え込まれてきた教義の欺瞞が暴かれ、精神的な支柱を失い、人々は動揺しているのです。中には、怒りを神学院に向ける者までいる始末……。			正教騒乱							
聖職者が暴漢に襲われたという話や、聖具が盗まれたりといった事件も少なくないとか。			聖職者が暴漢に襲われたという話や、聖具が盗まれたりといった事件も少なくないとか。			正教騒乱							
先刻、宗教書を見にきた神学生がいたのですが、彼女もガラの悪い連中に、跡をつけられていましてね。もしや、宗教書が狙われていたのでは……。			先刻、宗教書を見にきた神学生がいたのですが、彼女もガラの悪い連中に、跡をつけられていましてね。もしや、宗教書が狙われていたのでは……。			正教騒乱							
……ああ、やはり見過ごせません。どうか、ここから「聖アンダリム神学院」までの道中を見回って、神学生を襲うような粗暴な輩がいたら、止めていただけませんか！			……ああ、やはり見過ごせません。どうか、ここから「聖アンダリム神学院」までの道中を見回って、神学生を襲うような粗暴な輩がいたら、止めていただけませんか！			正教騒乱							
どうか、ここから「聖アンダリム神学院」までの道中を見回って、神学生を襲うような粗暴な輩がいたら、止めていただけませんか！			どうか、ここから「聖アンダリム神学院」までの道中を見回って、神学生を襲うような粗暴な輩がいたら、止めていただけませんか！			正教騒乱							
ど、ど、どうか、落ち着いて僕らの話をお聞きください……！			ど、ど、どうか、落ち着いて僕らの話をお聞きください……！			正教騒乱							
あわわわ、た、助けてください。購入したばかりの宗教書を渡せと脅されて……。			あわわわ、た、助けてください。購入したばかりの宗教書を渡せと脅されて……。			正教騒乱							
なにが正教だ！でたらめな話で平民を脅して、こき使いやがって！			なにが正教だ！でたらめな話で平民を脅して、こき使いやがって！			正教騒乱							
そ、その苦しみを取り除くと誓います……！それが今後の聖職者の役目となるでしょうから……。ですから……どうか僕の聖典をお返しください！			そ、その苦しみを取り除くと誓います……！それが今後の聖職者の役目となるでしょうから……。ですから……どうか僕の聖典をお返しください！			正教騒乱							
へん、やなこった！欲しいのは口先のごまかしなんかじゃねぇ！こんなペテン師の本なんて……燃やしてやる！			へん、やなこった！欲しいのは口先のごまかしなんかじゃねぇ！こんなペテン師の本なんて……燃やしてやる！			正教騒乱							
あああ、お待ちください！その聖典だけは、お渡しできません！僕の大事な恩人の形見なんです！			あああ、お待ちください！その聖典だけは、お渡しできません！僕の大事な恩人の形見なんです！			正教騒乱							
テオモサン、追いかけて！私なら、もう大丈夫だから！助けてくれて、ありがとう！			テオモサン、追いかけて！私なら、もう大丈夫だから！助けてくれて、ありがとう！			正教騒乱							
通りがかりの冒険者さん、お願いがあります！不幸なテオモサンを助けてやってくださいませんか！非力な私では、勝ち目はありませんから……。			通りがかりの冒険者さん、お願いがあります！不幸なテオモサンを助けてやってくださいませんか！非力な私では、勝ち目はありませんから……。			正教騒乱							
テオモサンと私は「聖アンダリム神学院」の神学生です。暴漢に絡まれたところを、彼が助けてくれたのです。でも、そのせいで彼の大事な品が奪われてしまって……。			テオモサンと私は「聖アンダリム神学院」の神学生です。暴漢に絡まれたところを、彼が助けてくれたのです。でも、そのせいで彼の大事な品が奪われてしまって……。			正教騒乱							
身なりからすると、襲ってきたのは雲霧街の者でしょう。向かった先は、おそらく下層の方……。……どうか、お願いします！			身なりからすると、襲ってきたのは雲霧街の者でしょう。向かった先は、おそらく下層の方……。……どうか、お願いします！			正教騒乱							
不幸なテオモサンを助けてやってください！非力な私では、勝ち目はありませんから……。			不幸なテオモサンを助けてやってください！非力な私では、勝ち目はありませんから……。			正教騒乱							
……取り込み中だ、部外者は引っ込んでな。			……取り込み中だ、部外者は引っ込んでな。			正教騒乱							
な、なんだてめぇ……。聖典狩りを邪魔しようってのか……？			な、なんだてめぇ……。聖典狩りを邪魔しようってのか……？			正教騒乱							
ベン……こんなところで貴方に会えるとは……。どうか聖典を返すよう、お仲間を説得してください。			ベン……こんなところで貴方に会えるとは……。どうか聖典を返すよう、お仲間を説得してください。			正教騒乱							
ちっ、仲間が奪ったデタラメ聖典……まさか、テオモサンのモンだったとはな。			ちっ、仲間が奪ったデタラメ聖典……まさか、テオモサンのモンだったとはな。			正教騒乱							
おっと、動くな。どこのお人よしだか知らないが、邪魔したら、こいつが必死に守ろうとしてるモンを火に放り込むぞ。			おっと、動くな。どこのお人よしだか知らないが、邪魔したら、こいつが必死に守ろうとしてるモンを火に放り込むぞ。			正教騒乱							
この聖典は、俺たち孤児を育ててくれた、ショワソー司祭の形見だろ？			この聖典は、俺たち孤児を育ててくれた、ショワソー司祭の形見だろ？			正教騒乱							
はい、だからそれだけは返していただきたいのです！司祭様との約束を果たすまでは、それを手離すわけにはいきません……。			はい、だからそれだけは返していただきたいのです！司祭様との約束を果たすまでは、それを手離すわけにはいきません……。			正教騒乱							
……だったら、なおさらこんなモン処分しちまわないと！			……だったら、なおさらこんなモン処分しちまわないと！			正教騒乱							
司祭が神学院に推薦した孤児は、たったのふたり……。残された俺たちは、貧しい暮らしに苦労したんだ。死んだ方がましなぐらいだった……！			司祭が神学院に推薦した孤児は、たったのふたり……。残された俺たちは、貧しい暮らしに苦労したんだ。死んだ方がましなぐらいだった……！			正教騒乱							
(-激高した神学生-)ベン、てめぇ、やめろ！やめねえと、ガキのころのようにボコボコにすんぞ！！			(-激高した神学生-)ベン、てめぇ、やめろ！やめねえと、ガキのころのようにボコボコにすんぞ！！			正教騒乱							
くそっ、レイか……厄介なヤツが来ちまった。ええい、とにかく俺たちは、平民をだまし続けた正教の坊主たちを許さねえぞ！			くそっ、レイか……厄介なヤツが来ちまった。ええい、とにかく俺たちは、平民をだまし続けた正教の坊主たちを許さねえぞ！			正教騒乱							
ショワソー司祭の形見は取り戻せたが……。……これじゃ、読めそうもないな。			ショワソー司祭の形見は取り戻せたが……。……これじゃ、読めそうもないな。			正教騒乱							
ありがとうございます。読めなくても構いません、内容は覚えていますから……。司祭様の形見が手元にあることが我が喜びです。			ありがとうございます。読めなくても構いません、内容は覚えていますから……。司祭様の形見が手元にあることが我が喜びです。			正教騒乱							
ったく、お前らしいな。恩知らずのベンの野郎には、天罰を食らわしちまえばいいのに。			ったく、お前らしいな。恩知らずのベンの野郎には、天罰を食らわしちまえばいいのに。			正教騒乱							
貴方が来てくれなかったら、きっとこの聖典は、すぐさま燃やされていたでしょう……。			貴方が来てくれなかったら、きっとこの聖典は、すぐさま燃やされていたでしょう……。			正教騒乱							
我々は、聖職者の学びの途にある身。清貧を是とするゆえに、お渡しできる品もありません。せめて、貴方の冒険に幸あれと祈りを捧げたいのですが……。			我々は、聖職者の学びの途にある身。清貧を是とするゆえに、お渡しできる品もありません。せめて、貴方の冒険に幸あれと祈りを捧げたいのですが……。			正教騒乱							
ありがとう、Forenameさん……僕たちは、「聖アンダリム神学院」にいますので、何かありましたら、いつでも訪ねてくださいね。			ありがとう、Forenameさん……僕たちは、「聖アンダリム神学院」にいますので、何かありましたら、いつでも訪ねてくださいね。			正教騒乱							
(-邪気に満ちた声-)煤けた聖典に、教え導く力はあるのか？それとも灰にまみれ、新たな教えを紡ぐのか？さあて、これからが見ものだね……ウフフフ。			(-邪気に満ちた声-)煤けた聖典に、教え導く力はあるのか？それとも灰にまみれ、新たな教えを紡ぐのか？さあて、これからが見ものだね……ウフフフ。			正教騒乱							
……これは失礼、冒険者の方でしたか。最近は、どこへいっても、正教への抗議を浴びせられるもので、思わず身構えるクセがついてしまいました。			……これは失礼、冒険者の方でしたか。最近は、どこへいっても、正教への抗議を浴びせられるもので、思わず身構えるクセがついてしまいました。			正教騒乱							
話は聞きましたよ、神学生を助けてくださったのですね。ともかく無事だったようで、なによりです。いやはや、心配の種が消えました。			話は聞きましたよ、神学生を助けてくださったのですね。ともかく無事だったようで、なによりです。いやはや、心配の種が消えました。			正教騒乱							
おや、うちの神学生に何か問題でもありましたか？			おや、うちの神学生に何か問題でもありましたか？			正教騒乱							
えぇ、ガエテル司祭様……。うちを訪れた神学生が貧民に跡をつけられていましてね。こちらの方に頼んで、様子を見ていただいたのです。			えぇ、ガエテル司祭様……。うちを訪れた神学生が貧民に跡をつけられていましてね。こちらの方に頼んで、様子を見ていただいたのです。			正教騒乱							
それはそれは、ご親切にありがとうございました。私は「聖アンダリム神学院」にて教鞭を執る、司祭のガエテルと申します。			それはそれは、ご親切にありがとうございました。私は「聖アンダリム神学院」にて教鞭を執る、司祭のガエテルと申します。			正教騒乱							
……おや、もしや貴方は皇都の真実を暴かれた名高き英雄、Forename様では……？			……おや、もしや貴方は皇都の真実を暴かれた名高き英雄、Forename様では……？			正教騒乱							
なな、な、なんですって！？そんな偉大な方に、私はなんて無礼な依頼を……！しかも、快く引き受けてくださるとは、やはり器が大きい！			なな、な、なんですって！？そんな偉大な方に、私はなんて無礼な依頼を……！しかも、快く引き受けてくださるとは、やはり器が大きい！			正教騒乱							
これも天の導きでありましょう。英雄様、もしよろしければ我が神学院を訪れ、学院長とお会いしてはいただけないでしょうか？			これも天の導きでありましょう。英雄様、もしよろしければ我が神学院を訪れ、学院長とお会いしてはいただけないでしょうか？			正教騒乱							
……英雄様の働きにより、歴代の教皇猊下が、イシュガルドの歴史を歪めていたことが明らかになりました。			……英雄様の働きにより、歴代の教皇猊下が、イシュガルドの歴史を歪めていたことが明らかになりました。			正教騒乱							
その結果、噴出したのが、正教の教えに従い、戦地に駆り出されていた平民たちの不満です。怒りの矛先は、神学院にまで突きつけられています……。			その結果、噴出したのが、正教の教えに従い、戦地に駆り出されていた平民たちの不満です。怒りの矛先は、神学院にまで突きつけられています……。			正教騒乱							
我ら聖職者もまた、偽りの歴史を信じ込まされ、教皇猊下に従っていたに過ぎないというのに……。			我ら聖職者もまた、偽りの歴史を信じ込まされ、教皇猊下に従っていたに過ぎないというのに……。			正教騒乱							
ですが、そんな言い訳が通用するはずもありません。ゆえに我ら非力な聖職者たちは、日々を、ただ怯えながら過ごすのみという有様なのです……。			ですが、そんな言い訳が通用するはずもありません。ゆえに我ら非力な聖職者たちは、日々を、ただ怯えながら過ごすのみという有様なのです……。			正教騒乱							
このような難局に、救いの手を差し伸べて下さった貴方は、神学院にとって、まさに福音と言えましょう。ぜひ学院長より直接、謝意を伝えさせていただきたいのです！			このような難局に、救いの手を差し伸べて下さった貴方は、神学院にとって、まさに福音と言えましょう。ぜひ学院長より直接、謝意を伝えさせていただきたいのです！			正教騒乱							
宝杖通りのガエテルは、冒険者を尊敬のまなざしで見つめている。			宝杖通りのガエテルは、冒険者を尊敬のまなざしで見つめている。			天に選ばれし特別顧問							
ガエテルから、聖アンダリム神学院の学院長と面会するよう依頼された。ガエテルに学長へ取次いでもらうため、上層の聖レマノー大聖堂にいる「神学院の司祭」と話し、聖アンダリム神学院へ入ろう。			ガエテルから、聖アンダリム神学院の学院長と面会するよう依頼された。ガエテルに学長へ取次いでもらうため、上層の聖レマノー大聖堂にいる「神学院の司祭」と話し、聖アンダリム神学院へ入ろう。			天に選ばれし特別顧問							
神学院の司祭と話し、聖アンダリム神学院へ入った。聖アンダリム神学院の「ガエテル」と話そう。			神学院の司祭と話し、聖アンダリム神学院へ入った。聖アンダリム神学院の「ガエテル」と話そう。			天に選ばれし特別顧問							
ガエテルのもとを訪れたところ、学院長は不在だった。代わりに、ブリアルディアンとともに石像盗難事件の捜査にあたることになった。聖アンダリム神学院の「修復作業にあたっていた神学生」と話そう。			ガエテルのもとを訪れたところ、学院長は不在だった。代わりに、ブリアルディアンとともに石像盗難事件の捜査にあたることになった。聖アンダリム神学院の「修復作業にあたっていた神学生」と話そう。			天に選ばれし特別顧問							
修復作業にあたっていたのは、テオモサンだった。彼は、事件の責任を取るため、石像の頭部を探しにいってしまった。イシュガルドの下層の「テオモサン」と話そう。			修復作業にあたっていたのは、テオモサンだった。彼は、事件の責任を取るため、石像の頭部を探しにいってしまった。イシュガルドの下層の「テオモサン」と話そう。			天に選ばれし特別顧問							
テオモサンと話した。窃盗犯に正教の欺瞞を糾弾され、心揺らぐテオモサンだったが、冒険者の導きによって、聖職者となることで正教の罪を贖うと決意した。聖アンダリム神学院の「ブリュヴァニョン副学長」に報告しよう。			テオモサンと話した。窃盗犯に正教の欺瞞を糾弾され、心揺らぐテオモサンだったが、冒険者の導きによって、聖職者となることで正教の罪を贖うと決意した。聖アンダリム神学院の「ブリュヴァニョン副学長」に報告しよう。			天に選ばれし特別顧問							
ブリュヴァニョン副学長に報告した。石像盗難事件は解決をみたが、学院内には問題が山積しているようだ。「ブリュヴァニョン副学長」と話そう。			ブリュヴァニョン副学長に報告した。石像盗難事件は解決をみたが、学院内には問題が山積しているようだ。「ブリュヴァニョン副学長」と話そう。			天に選ばれし特別顧問							
ブリュヴァニョン副学長と話した。功績が認められ、冒険者も正式に神学院の顧問に指名された。顧問の招聘の背景には、隠された目的があるようだ……。			ブリュヴァニョン副学長と話した。功績が認められ、冒険者も正式に神学院の顧問に指名された。顧問の招聘の背景には、隠された目的があるようだ……。			天に選ばれし特別顧問							
神学院の司祭と話す			神学院の司祭と話す			天に選ばれし特別顧問							
聖アンダリム神学院のガエテルと話す			聖アンダリム神学院のガエテルと話す			天に選ばれし特別顧問							
修復作業にあたった神学生と話す			修復作業にあたった神学生と話す			天に選ばれし特別顧問							
下層のテオモサンと話す			下層のテオモサンと話す			天に選ばれし特別顧問							
聖アンダリム神学院のブリュヴァニョン副学長に報告			聖アンダリム神学院のブリュヴァニョン副学長に報告			天に選ばれし特別顧問							
ブリュヴァニョン副学長と話す			ブリュヴァニョン副学長と話す			天に選ばれし特別顧問							
それでは、Forename様。ご都合のよろしいときに「聖アンダリム神学院」をお訪ねください。聖レマノー大聖堂にいる「神学院の司祭」が学院に案内いたします。			それでは、Forename様。ご都合のよろしいときに「聖アンダリム神学院」をお訪ねください。聖レマノー大聖堂にいる「神学院の司祭」が学院に案内いたします。			天に選ばれし特別顧問							
これは、Forenameさん！来てくださったのですね！心を込めて、貴方の冒険の幸を祈念しておきました。			これは、Forenameさん！来てくださったのですね！心を込めて、貴方の冒険の幸を祈念しておきました。			天に選ばれし特別顧問							
学院長は多忙ゆえに、面会など滅多にかないません。やはり英雄様となると、待遇が違いますね。うらやましいかぎりです。			学院長は多忙ゆえに、面会など滅多にかないません。やはり英雄様となると、待遇が違いますね。うらやましいかぎりです。			天に選ばれし特別顧問							
あなたが、Forename様ですね？ご足労いただき、ありがとうございます。どうぞ、こちらへ。			あなたが、Forename様ですね？ご足労いただき、ありがとうございます。どうぞ、こちらへ。			天に選ばれし特別顧問							
「聖アンダリム神学院」に移動しますか？			「聖アンダリム神学院」に移動しますか？			天に選ばれし特別顧問							
はい			はい			天に選ばれし特別顧問							
いいえ			いいえ			天に選ばれし特別顧問							
これは、英雄Forename様……！ご足労いただき申し訳ないのですが、学院長とのお話は、日を改めていただかねばならなくなりました。			これは、英雄Forename様……！ご足労いただき申し訳ないのですが、学院長とのお話は、日を改めていただかねばならなくなりました。			天に選ばれし特別顧問							
私は、副学長ブリュヴァニョンです。ガエテルから話を伺いました。私からも、感謝の意を示させていただきます。			私は、副学長ブリュヴァニョンです。ガエテルから話を伺いました。私からも、感謝の意を示させていただきます。			天に選ばれし特別顧問							
